O=C(C1CCCO1)N2CCN(CC2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641671	pIC50=7.53
Cc1cc(Nc2nccc(n2)C(C)(C)C)cc(c1)c3cnc(s3)C4(O)CCC4	CHEMBL3685797	pIC50=7.6
Cc1ccc(Nc2cc(NCCN)nnc2C(=O)N)nc1C	CHEMBL3237566	pIC50=7.6
Cc1cccc(Nc2nc(N[C@@H]3CCNC3)ncc2C(=O)N)c1	CHEMBL1835057	pIC50=7.6
Cc1nc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(=O)N)ccc1F	CHEMBL3237560	pIC50=7.6
Oc1cccc(Nc2ccnc3cc(sc23)c4cccc(CN5CCOCC5)c4)c1	CHEMBL2336005	pIC50=7.6
CCCC(C)(CO)COc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3641577	pIC50=7.61
CN(Cc1nccn1C)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2	CHEMBL3668852	pIC50=7.61
CN(Cc1nccs1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2	CHEMBL3668866	pIC50=7.61
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCC(CO)CO)ccn5)ccc3[nH]2	CHEMBL3641604	pIC50=7.61
CN1CCN(CC1)c2ccc(cc2)c3cc4N=CN(C)C(=O)c4c(OCCc5cnn[nH]5)n3	CHEMBL3643532	pIC50=7.61
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5cncn5C	CHEMBL3668824	pIC50=7.61
Cc1oc2ccc(Nc3nccc(n3)n4cc(CN5CC(O)C5)c(C)n4)cc2c1Cl	CHEMBL3657546	pIC50=7.61
CC(C)(CO)NC(=O)c1c[nH]c2ncc(nc12)n3ncc4ccc(Cl)cc34	CHEMBL2347998	pIC50=7.62
CC(C)N1CCCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5ccccn5)ccc3[nH]2	CHEMBL3641682	pIC50=7.62
CN1C=Nc2cc(nc(N[C@@H]3CCOC3)c2C1=O)c4ccc(cc4)N5CCC(CC5)N6CCCC6	CHEMBL3643535	pIC50=7.62
CN1CCN(CC1)c2ccc(cc2)c3cc4N=CN(C)C(=O)c4c(NCc5cnn[nH]5)n3	CHEMBL3641273	pIC50=7.62
CNC1CC2(CCN(C2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3)C1	CHEMBL3641614	pIC50=7.62
COc1ccc(Nc2nc(cn3ccnc23)c4ccc(C(=O)N)c(OC)c4)cc1OC	CHEMBL3265014	pIC50=7.62
COc1ccc(Nc2nc(cn3ccnc23)c4ccc5cn[nH]c5c4)cc1OC	CHEMBL3265017	pEC50=7.62
COc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCCN(CC5)C(C)C)n2	CHEMBL3641517	pIC50=7.62
CSc1ccnc(Nc2cc(C)cc(c2)c3cnc(s3)C4(O)CCC4)n1	CHEMBL3685816	pIC50=7.62
C[C@H](CO)Nc1nc(cc2N=CN(C)C(=O)c12)c3ccc(cc3)N4CCN(CC4)C(C)C	CHEMBL3641381	pIC50=7.62
O=C(N1CCC(CC1)N2CCOCC2)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641636	pIC50=7.62
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4ccccn4)ccc2[nH]1	CHEMBL3641549	pIC50=7.63
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(Cl)c2n1C	CHEMBL3664167	pIC50=7.63
C1COCCN(C1)c2ccc(Nc3nc(cn4ccnc34)c5ccc6cn[nH]c6c5)cc2	CHEMBL3265036	pIC50=7.64
CCCOc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3643741	pIC50=7.64
CCN(Cc1cnn(C)c1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2	CHEMBL3668822	pIC50=7.64
CCOc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3641509	pIC50=7.64
CCn1ccc2cc(Nc3nccc(n3)n4cc(CN5CC(O)C5)c(C)n4)ccc12	CHEMBL3622954	pIC50=7.64
CN(CCCN1CCOCC1)C(=O)c2cc3cc(Nc4nccc(n4)c5ccccn5)ccc3[nH]2	CHEMBL3641638	pIC50=7.64
COc1cc(Nc2nccc(n2)c3ncc(C)s3)cc(c1)C(F)(F)F	CHEMBL451450	pKi=7.64
COc1ccc(cc1OC)c2cc3ncccc3c(NC[C@H]4CC(=O)N[C@@H]4C)n2	CHEMBL3696031	pIC50=7.64
Cc1cc(C)cc(Nc2nccc(n2)c3ncc(C)s3)c1	CHEMBL470780	pKi=7.64
NCCNc1ncc(C(=O)N)c(Nc2cccc(Br)c2)n1	CHEMBL508339	pIC50=7.64
CC1CN(CCN1C(=O)N2CCCC2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641633	pIC50=7.65
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cc(ccn4)C(C)(C)C#N)cc(Cl)c2[nH]1	CHEMBL3643811	pIC50=7.65
COc1c(F)cc(cc1F)c2cc3ncccc3c(OC[C@H]4CNC(=O)C4)n2	CHEMBL3695958	pIC50=7.65
COc1ccc(cn1)c2cc(OCc3ncccc3C(=O)N)c4cccnc4c2	CHEMBL3653785	pIC50=7.65
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2	CHEMBL3664177	pIC50=7.66
COc1nc(Nc2cc(C)cc(c2)c3cnc(s3)C(C)(O)CO)ncc1F	CHEMBL3685793	pIC50=7.66
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)N5CCn6cncc6C5	CHEMBL3668840	pIC50=7.66
Cc1cc(Nc2nccc(n2)c3nc(C)c(CCO)s3)cc(c1)C(F)(F)F	CHEMBL475249	pKi=7.66
N[C@H]1COCC[C@H]1Nc2cc3C=CNC(=O)c3c(Nc4cccc5cc[nH]c45)n2	CHEMBL3262624	pIC50=7.66
CC(C)n1cnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N(C)C)n2	CHEMBL3664158	pIC50=7.67
CN(Cc1ccn(C)n1)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2	CHEMBL3668842	pIC50=7.67
COc1ccnc(c1)c2ccnc(Nc3ccc4sc(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3641561	pIC50=7.67
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)N5CCn6c(C)ncc6C5	CHEMBL3668868	pIC50=7.67
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCC(F)F	CHEMBL3668809	pIC50=7.67
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(O[C@H]6CCOC6)ccn5)ccc3[nH]2	CHEMBL3641588	pIC50=7.68
CN1CCc2ccc(cc2CC1)c3cc(OCc4ncccc4C(=O)N)c5cccnc5c3	CHEMBL3653831	pIC50=7.68
CNc1ccc(cc1S(=O)(=O)C)c2cc3N=CN(C)C(=O)c3c(N[C@@H]4CCOC4)n2	CHEMBL3698106	pIC50=7.68
COCc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(C)(C)C)n2	CHEMBL3641506	pIC50=7.68
COc1cc(ccc1O)c2cc(OC[C@H]3CNC(=O)C3)c4cccnc4c2	CHEMBL3653748	pIC50=7.68
COc1ccc(Nc2nc(cn3ccnc23)c4ccc5c(cnn5C)c4)cc1OC	CHEMBL3265023	pIC50=7.68
C[C@H](N)CNc1cc2N=CNC(=O)c2c(Nc3cccc4cc[nH]c34)n1	CHEMBL3262618	pIC50=7.68
Cc1cc(C)cc(Nc2nc(N[C@H](CN)c3ccccc3)n4ccnc4c2C(=O)N)c1	CHEMBL475248	pIC50=7.68
Cc1cc(Nc2nccc(n2)C(F)(F)F)cc(c1)c3cnc(s3)c4cc[nH]n4	CHEMBL3685802	pIC50=7.68
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)N5CCN(CC5)C(=O)C6CCCO6	CHEMBL3664175	pIC50=7.68
O=C(N1CCN(CC1)C2CCCC2)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3643723	pIC50=7.68
O=C(N1CCN(CCCN2CCCC2)CC1)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641666	pIC50=7.68
CC(O)CCC(C)Oc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCN(C)CC5)n2	CHEMBL3641576	pIC50=7.69
CN1CCc2cc(Nc3nccc(n3)n4cc(CN5CC(O)C5)c(C)n4)ccc12	CHEMBL3622951	pIC50=7.69
COc1ccnc(c1)c2ccnc(Nc3ccc4[nH]ccc4c3)n2	CHEMBL3641522	pIC50=7.69
Cc1cc2ncccc2c(OC[C@H]3CNC(=O)C3)n1	CHEMBL3695999	pIC50=7.69
CCN(CC)c1ccc(cc1)c2cc3ncccc3c(NCCCN)n2	CHEMBL30381	pIC50=7.7
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cn(C)cn4)cc(C)c2[nH]1	CHEMBL3664146	pIC50=7.7
CN(C)C(=O)c1sc2ccc(Nc3nccc(n3)c4ccccn4)cc2c1C	CHEMBL3641504	pIC50=7.7
CNS(=O)(=O)c1ccc2NC(=O)\C(=C/c3cn(C)c4ccc(OC)cc34)\c2c1	CHEMBL104519	pIC50=7.7
COc1cc(Nc2nc(cn3ccnc23)c4ccc5cn[nH]c5c4)ccc1N6CCOCC6	CHEMBL3265037	pEC50=7.7
COc1nc(Nc2cc(C)cc(c2)c3cnc(s3)[C@@]4(O)CC[C@H](C(=O)O)C(C)(C)C4)ncc1C(F)(F)F	CHEMBL3685795	pIC50=7.7
N[C@H]1COCC[C@H]1Nc2cc3N=CNC(=O)c3c(Nc4cccc5cc[nH]c45)n2	CHEMBL3262617	pIC50=7.7
CN1C(=O)COCC12CCN(CC2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641680	pIC50=7.71
COCc1ccnc(c1)c2ccnc(Nc3cc(Cl)c4[nH]c(cc4c3)C(=O)N(C)C)n2	CHEMBL3643784	pIC50=7.71
COc1ccnc(c1)c2ccnc(Nc3ccc4c(c3)cc(C(=O)N5CCN(C)CC5)n4C)n2	CHEMBL3641531	pIC50=7.71
Cc1nn(cc1CN2CC(O)C2)c3ccnc(Nc4ccc5c(cnn5C)c4)n3	CHEMBL3622959	pIC50=7.71
CCc1cc(Nc2nccc(n2)c3ccccn3)cc4cc([nH]c14)C(=O)N(C)C	CHEMBL3643774	pIC50=7.72
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cc(ccn4)C(C)(C)C#N)cc(C)c2[nH]1	CHEMBL3643812	pIC50=7.72
CN(C)c1ccc(cc1)c2cc3ncccc3c(NCCCCN)n2	CHEMBL282342	pIC50=7.72
CN1C=Nc2cc(nc(N[C@@H]3CCOC3)c2C1=O)c4ccc(cc4)N5CCNCC5	CHEMBL3641354	pIC50=7.72
CN1CC(Cn2nc(c3cnc4[nH]cc(C(=O)NC(C)(C)C)c4n3)c5cc(OC(F)F)ccc25)C1	CHEMBL2347416	pIC50=7.72
CN1CCC(CC1)c2nn(c3cnc4[nH]cc(C(=O)NC(C)(C)CO)c4n3)c5ccccc25	CHEMBL2347999	pIC50=7.72
COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC	CHEMBL475251	pKd=7.72
C[C@H](CO)Nc1nc(cc2N=CN(C)C(=O)c12)c3ccc(cc3)N4CCNCC4	CHEMBL3641366	pIC50=7.72
Cc1cc(C)nc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)ncc2C(=O)N)c1	CHEMBL3415582	pIC50=7.72
N[C@H]1CCCC[C@H]1Nc2ccc(C(=O)N)c(Nc3cccc(c3)n4nccn4)n2	CHEMBL3416021	pIC50=7.72
O=C(N1CCN(CC2CC2)CC1)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641630	pIC50=7.72
CCN1CCC2(CCN(C2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3)C1	CHEMBL3641617	pIC50=7.73
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cccc(F)n4)cc(C)c2[nH]1	CHEMBL3643810	pIC50=7.73
COc1ccc(Nc2nc(cn3ccnc23)c4ccc(C(=O)N)c(F)c4)cc1OC	CHEMBL3265012	pIC50=7.73
COc1ccnc(c1)c2ccnc(Nc3ccc4cc[nH]c4c3)n2	CHEMBL3641524	pIC50=7.73
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)N5CCc6nocc6C5	CHEMBL3668876	pIC50=7.73
O=C(N1CCN2CCCC2C1)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641621	pIC50=7.73
CN(Cc1cncn1C)C(=O)c2cc3cc(Nc4nccc(n4)c5ccccn5)ccc3[nH]2	CHEMBL3641662	pIC50=7.74
CN1CCN(C2CCN(CC2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3)C1=O	CHEMBL3641647	pIC50=7.74
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCC6(C)COC6)ccn5)ccc3[nH]2	CHEMBL3641605	pIC50=7.74
CCn1cc(CNC(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2)cn1	CHEMBL3668823	pIC50=7.75
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5ccccn5)ccc3s2	CHEMBL3641553	pIC50=7.75
CNC(=O)c1c[nH]c2ccc(Nc3nccc(n3)c4ccccn4)cc12	CHEMBL3643816	pIC50=7.75
COc1ccc(Nc2nc(cn3ccnc23)c4ccc(cc4)C(=O)N)cc1OC	CHEMBL3259820	pIC50=7.75
COc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N(C)CC5(C)COC5)n2	CHEMBL3643789	pIC50=7.75
Cc1cc(C)cc(Nc2nccc(n2)n3cc(C)c(CN4CC[C@@H](C4)C(=O)O)c3)c1	CHEMBL3622937	pIC50=7.75
CN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4cccc(F)n4)cc(Cl)c2[nH]1	CHEMBL3643804	pIC50=7.76
CN(Cc1cn(C)nc1C)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2	CHEMBL3668847	pIC50=7.76
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCC6CNC(=O)C6)ccn5)ccc3[nH]2	CHEMBL3641595	pIC50=7.76
CN1CCOc2cc(cnc12)c3cc4ncccc4c(OCC5CNC(=O)C5)n3	CHEMBL3695968	pIC50=7.76
COc1cc(cc(OC)c1OC)c2cc3ncccc3c(OC(C)C4CC(=O)NO4)n2	CHEMBL3695976	pIC50=7.76
COc1cc(cc(OC)c1OC)c2cc3ncccc3c(OC[C@H]4CNC(=O)[C@@H]4C)n2	CHEMBL3695980	pIC50=7.76
Cc1cc(Nc2nccc(n2)n3cc(C)c(CN4CC[C@@H](O)C4)c3)cc(C)c1OCCO	CHEMBL3622939	pIC50=7.76
Cc1nn(cc1CCN2CC[C@@H](O)C2)c3ccnc(Nc4ccc5c(c4)c(Cl)c(C)n5C)n3	CHEMBL3657555	pIC50=7.76
O=C(N1CCC(CC1)N2CCCCC2)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641686	pIC50=7.76
O=C(N1CCCOCC1)c2cc3cc(Nc4nccc(n4)c5ccccn5)ccc3[nH]2	CHEMBL3641639	pIC50=7.76
CN(C)C(=O)c1cc2ccc(Nc3nccc(n3)c4cc(OCCO)ccn4)cc2n1C	CHEMBL3643801	pIC50=7.77
CN1CCN(CC1)C2CCN(CC2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641632	pIC50=7.77
COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)N(COP(=O)(O)O)c4n3)n2)cc(OC)c1OC	CHEMBL2103830	pIC50=7.77
Cc1cc(Nc2nccc(n2)c3ccccn3)cc4OC(=O)Nc14	CHEMBL3643729	pIC50=7.77
[Na+].[Na+].COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)N(COP(=O)([O-])[O-])c4n3)n2)cc(OC)c1OC	CHEMBL2105644	pIC50=7.77
CCCn1ccc(CNC(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2)n1	CHEMBL3668848	pIC50=7.78
CN1CCC(CN2CCN(CC2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3)CC1	CHEMBL3641643	pIC50=7.78
COCc1ccnc(c1)c2ccnc(Nc3cc(C)c4[nH]c(cc4c3)C(=O)N(C)C)n2	CHEMBL3643780	pIC50=7.78
COCc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N(C)C5CCOCC5)n2	CHEMBL3643786	pIC50=7.78
COc1ccc(Nc2nc(cn3ccnc23)c4cccc(c4)C(=O)Nc5ccc(cc5)c6ncc[nH]6)cc1OC	CHEMBL3265002	pIC50=7.78
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)N5CCn6ccnc6C5	CHEMBL3668834	pIC50=7.78
Cc1cc(Nc2nccc(n2)c3cn(C)cn3)cc4cc([nH]c14)C(=O)NCc5ccccc5	CHEMBL3668819	pIC50=7.78
Cn1cnc2cc(ccc12)c3cc(OCc4ncccc4C(=O)N)c5cccnc5c3	CHEMBL3653826	pIC50=7.78
OCCCOc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCOCC5)n2	CHEMBL3643793	pIC50=7.78
COc1c(F)cc(cc1F)c2cc(OC[C@H]3CNC(=O)O3)c4cccnc4c2	CHEMBL3653744	pIC50=7.79
COc1cc(cc(OC)c1OC2CCOCC2)c3cc4ncccc4c(OC[C@H]5CNC(=O)C5)n3	CHEMBL3695988	pIC50=7.79
CC(C)(CO)NC(=O)c1c[nH]c2ncc(nc12)c3nn(CCC(O)CO)c4cc(F)ccc34	CHEMBL2347990	pIC50=7.8
CC(C)(CO)NC(=O)c1c[nH]c2ncc(nc12)c3nn(CCCS(=O)(=O)C)c4cc(F)ccc34	CHEMBL2347992	pIC50=7.8
CC(C)n1ncc2CN(CCc12)C(=O)c3cc4cc(Nc5nccc(n5)c6cn(C)cn6)cc(C)c4[nH]3	CHEMBL3668821	pIC50=7.8
