OCCN(CCO)c1nc(N2CCCCC2)c3nc(nc(N4CCCCC4)c3n1)N(CCO)CCO	dipyridamole	pIC50=5.49	pIC50=5.49	pIC50=5.49
CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(N)ncnc12	CHEMBL50378	pKi=6.0
COC1CN(C1)c2ncnn3c(C)nc(c4cnn(C)c4c5ccc(C)cn5)c23	CHEMBL3655803	pIC50=6.59
COC1CN(C1)c2ncnn3c(C)nc(c4cnn(C)c4c5ccc(C)cc5)c23	CHEMBL3655802	pIC50=6.6
COc1ccc2nc(C)c3c(C)nc(c4ccccc4OC(F)(F)F)n3c2n1	CHEMBL1915894	pIC50=6.63
Cc1ccc(O)cc1c2nnc3c(C)nc4cccnc4n23	CHEMBL3639921	pIC50=6.64
Cc1ccc2nc(C)c3nnc(c4cccc(OCCCO)c4)n3c2n1	CHEMBL3693295	pIC50=6.66
Cc1nc2cccnc2n3c(nnc13)c4cc(CCC(C)(C)O)ccc4F	CHEMBL3693322	pIC50=6.67
Cc1nc2cccnc2n3c(nnc13)c4cc(OC5CCOC5)ccc4Cl	CHEMBL3693281	pIC50=6.67
COc1cc2NC(=O)C(=C(c3cccc(c3)C#N)c2cc1c4ccccc4)c5cccs5	CHEMBL3665537	pKi=6.7
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4F)C5(O)CCOCC5)C(F)(F)F	CHEMBL3693354	pIC50=6.7
Cc1nc2cccnc2n3c(nnc13)c4cc(CC(C)(C)O)ccc4Cl	CHEMBL3693339	pIC50=6.7
Cc1nc2cccnc2n3c(nnc13)c4cc(OCCC(C)(C)O)ccc4Cl	CHEMBL3693273	pIC50=6.7
COc1cc(F)cc2c1nc(C)c3c(C)nc(c4c(C)nn(C)c4C)n23	CHEMBL1916116	pIC50=6.71
COc1cc(OC)c2nnc3c(C)nc(c4cccnc4C)n3c2c1	CHEMBL2070651	pIC50=6.71
Cc1ccc(OCC2(O)CCC2)cc1c3nnc4c(C)nc5cccnc5n34	CHEMBL3693308	pIC50=6.71
Cc1ccc(cc1c2nnc3c(C)nc4cccnc4n23)C5(O)CCC5	CHEMBL3693330	pIC50=6.72
Cc1nc2ncccc2n3c(nnc13)c4ccccc4Cl	CHEMBL3425541	pIC50=6.72
COc1cccc2c1nnc3c(C)nc(c4ccccc4C)n23	CHEMBL2070647	pIC50=6.76
Cc1ccc(CCC(C)(C)O)cc1c2nnc3c(C)nc4cccnc4n23	CHEMBL3693324	pIC50=6.76
Cc1nc2cccnc2n3c(nnc13)c4cc(OCC5(C)COC5)ccc4Cl	CHEMBL3693296	pIC50=6.77
COc1cc(OC)c2nc(C)c3c(C)nc(c4cnccc4C)n3c2c1	CHEMBL1916123	pIC50=6.78
COc1cc(cc2c1nc(C)c3c(C)nc(c4ccc(F)nc4)n23)c5ccncc5	CHEMBL3741207	pIC50=6.79
C[C@@H](O)COc1ccc(Cl)c(c1)c2nnc3c(C)nc4cccnc4n23	CHEMBL3693276	pIC50=6.79
Cc1nc2cccnc2n3c(nnc13)c4cc(ccc4Cl)C(C)(C)O	CHEMBL3693327	pIC50=6.79
O=C1Nc2ccc(cc2C(=C1c3cccs3)OCc4ccccn4)c5ccncc5	CHEMBL3665539	pKi=6.8
COc1ccccc1c2cc(ccc2OC)C3=Nc4c(C(=O)NC3)n(CCCO)nc4C(C)(C)C	CHEMBL2387434	pIC50=6.81
Cc1ccc2nc(C)c3nnc(c4cccc(O)c4)n3c2n1	CHEMBL3693262	pIC50=6.81
Cc1nc2cccnc2n3c(nnc13)c4cc(OCC(C)(C)O)ccc4Cl	CHEMBL3693302	pIC50=6.81
Cc1cnccc1c2nc(C)c3c(C)nc4c(F)cc(F)cc4n23	CHEMBL1916111	pIC50=6.82
Cc1nc2ccncc2n3c(nnc13)c4cc(OC(F)(F)F)ccc4Cl	CHEMBL3425536	pIC50=6.82
CC(C)c1cnc2c(c1)nc(C)c3nnc(c4cc(ccc4C)C(C)(C)O)n23	CHEMBL3693336	pIC50=6.84
CC(O)CCOc1ccc(Cl)c(c1)c2nnc3c(C)nc4cccnc4n23	CHEMBL3693278	pIC50=6.84
COc1ccc2nnc3c(C)nc(c4cnccc4C)n3c2n1	CHEMBL2070638	pIC50=6.85
Cc1nc2cccnc2n3c(nnc13)c4cc(OC5COCCC5O)ccc4Cl	CHEMBL3693316	pIC50=6.85
Cc1nc2cccnc2n3c(nnc13)c4cc(OCC5(O)CCC5)ccc4F	CHEMBL3693311	pIC50=6.85
Cc1ccccc1c2nc(C)c3c(C)nc4c(OC(F)F)cc(F)cc4n23	CHEMBL1916118	pIC50=6.86
Cc1nc2cccnc2n3c(nnc13)c4cc(O)ccc4F	CHEMBL3693263	pIC50=6.86
Cc1nc2cccnc2n3c(nnc13)c4cc(ccc4Cl)C5(O)CCOC5	CHEMBL3693331	pIC50=6.86
COc1ccc2nc(C)c3c(C)nc(c4ccccc4C(F)(F)F)n3c2n1	CHEMBL1915889	pIC50=6.87
CCc1ccc(cc1)n2cncc2c3nn(C)c4ncnc(N5CC[C@H](C5)N(C)C)c34	CHEMBL3676180	pIC50=6.88
Cc1cnccc1c2nc(C)c3c(C)nc4c(F)cc(OCC(F)(F)F)cc4n23	CHEMBL1916137	pIC50=6.89
CCNc1ncnc2c1c(nn2C)c3cnn(C)c3c4ccc(cc4)C(F)(F)F	CHEMBL3676229	pIC50=6.9
COCCOc1cncc(c1)c2nnc3c(C)nc4ccc(CN5CCOCC5)cc4n23	CHEMBL3331522	pIC50=6.91
COc1ccc2nc(C)c3c(C)nc(c4cccnc4OC)n3c2n1	CHEMBL1916096	pIC50=6.94
Cc1nc2cccnc2n3c(nnc13)c4cc(OCCCO)ccc4F	CHEMBL3693283	pIC50=6.94
COc1cc(cc2c1nc(C)c3c(C)nc(c4ccncc4C)n23)C(F)(F)F	CHEMBL1916130	pIC50=6.95
COc1ccc(nc1)c2c(cnn2C)c3nc(C)n4ncnc(N5CC(F)(F)C5)c34	CHEMBL3655795	pIC50=6.95
Cc1nc2cccnc2n3c(nnc13)c4cc(OCCO)ccc4Cl	CHEMBL3693274	pIC50=6.95
COc1cc(cc2c1nnc3c(C)nc(c4ccccc4C)n23)N5CCOCC5	CHEMBL2070654	pIC50=6.96
COc1cc2NC(=O)C(=C(c3cccc(c3)C4CCCC4)c2cc1OC)c5cccs5	CHEMBL3665543	pKi=6.96
Cc1ccc2nc(C)c3nnc(c4cc(ccc4Cl)C(C)(C)O)n3c2n1	CHEMBL3693328	pIC50=6.96
Cc1nc2cccnc2n3c(nnc13)c4cc(OCC5(O)CC5)ccc4Cl	CHEMBL3693301	pIC50=6.96
COc1cc(F)cc2c1nc(C)c3c(C)nc(c4ccncc4C)n23	CHEMBL1916113	pIC50=6.97
COc1ccc(CN(C)c2ncnn3c(C)nc(c4cnn(C)c4c5ccc(Br)cc5)c23)cc1	CHEMBL3655841	pIC50=6.97
COc1ccc2nc(c3c(C)nc(c4ccccc4Cl)n3c2n1)C(F)(F)F	CHEMBL1915903	pIC50=6.97
CCC(C)(C)c1nn(CCO)c2C(=O)NCC(=Nc12)c3ccc(cc3)n4cc(C)nc4C	CHEMBL2387141	pIC50=6.98
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4F)C5(O)CCOCC5O)C6CC6	CHEMBL3693368	pIC50=6.98
CCC(CC)c1nn(CCO)c2C(=O)NCC(=Nc12)c3ccccc3	CHEMBL2387136	pIC50=6.99
COc1ccc2nnc3c(C)nc(c4cc(OC(C)C)ccc4F)n3c2n1	CHEMBL2070643	pIC50=6.99
COc1cccc2c1nnc3c(C)nc(c4ccccc4Cl)n23	CHEMBL2070648	pIC50=6.99
Cc1ccc2nc(C)c3nnc(c4cc(ccc4C)C5(O)CCC5)n3c2n1	CHEMBL3693364	pIC50=6.99
Cc1ccc2nc(C)c3nnc(c4cc(ccc4F)C5(O)CCC5)n3c2n1	CHEMBL3693347	pIC50=6.99
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4Cl)C(C)(C)O)C(F)(F)F	CHEMBL3693366	pIC50=7.0
CC(C)c1nccn1c2ccc(cc2)C3=Nc4c(C(=O)NC3)n(CCO)nc4C(C)(C)C	CHEMBL2387142	pIC50=7.01
CC(O)COc1ccc(Cl)c(c1)c2nnc3c(C)nc4cccnc4n23	CHEMBL3693275	pIC50=7.01
COc1cc(cc2c1nc(C)c3c(C)nc(c4cccnc4F)n23)C#N	CHEMBL3741518	pIC50=7.01
COCCOc1ccc(Cl)c(c1)c2nnc3c(C)nc4ccncc4n23	CHEMBL3427723	pIC50=7.02
COc1cc(OC)c2nnc3c(C)nc(c4ccccc4C)n3c2c1	CHEMBL2070649	pIC50=7.02
COc1ccc(CN(C)c2ncnn3c(C)nc(c4cnn(C)c4c5ccc(OC(F)F)cc5)c23)cc1	CHEMBL3655840	pIC50=7.02
Cc1nc(c2cnn(C)c2c3ccc(cn3)[N+](=O)[O-])c4c(ncnn14)N5CCC5	CHEMBL3655839	pIC50=7.02
Cc1nc2cccnc2n3c(nnc13)c4cc(OCCCO)ccc4Cl	CHEMBL3693272	pIC50=7.02
CCC(CC)c1nn(CCCO)c2C(=O)NCC(=Nc12)c3ccc(OC)c(OC)c3	CHEMBL2387138	pIC50=7.03
COC1CN(C1)c2ncnn3c(C)nc(c4cnn(C)c4c5ccc(Cl)cc5)c23	CHEMBL3655800	pIC50=7.04
COc1cc(F)cc2c1nc(C)c3c(C)nc(c4cccnc4C)n23	CHEMBL1916114	pIC50=7.04
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(C)cc4C#N)c12	CHEMBL3655845	pIC50=7.05
COc1ccc2nc(C)c3c(C)nc(c4cnccc4C)n3c2c1	CHEMBL1916104	pIC50=7.05
C[C@H](O)COc1ccc(Cl)c(c1)c2nnc3c(C)nc4cccnc4n23	CHEMBL3693277	pIC50=7.05
Cc1ccc(cc1c2nnc3c(C)nc4ccc(nc4n23)C(F)(F)F)C5(O)CCOCC5	CHEMBL3693355	pIC50=7.06
Cc1nc2cccnc2n3c(nnc13)c4cc(ccc4Cl)C5(O)CCOCC5	CHEMBL3693350	pIC50=7.07
COc1cc(OC)c2nc(C)c3c(C)nc(c4ccncc4C)n3c2c1	CHEMBL1916124	pIC50=7.08
COc1cc(OCc2ccccc2)cc3c1nnc4c(C)nc(c5ccncc5C)n34	CHEMBL2180775	pIC50=7.09
Cc1cnccc1c2nc(C)c3c(C)nc4c(F)cc(OCC5CC5)cc4n23	CHEMBL1916138	pIC50=7.09
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4Cl)C5(O)CCOC5)C(F)(F)F	CHEMBL3693361	pIC50=7.09
Cc1nc2cccnc2n3c(nnc13)c4cc(OC5CCC(O)C5)ccc4Cl	CHEMBL3693299	pIC50=7.1
Cc1nc2cccnc2n3c(nnc13)c4cc(OC5COCC5O)ccc4Cl	CHEMBL3693313	pIC50=7.1
COc1cc(cc2c1nc(C)c3c(C)nc(c4ccc(F)nc4)n23)c5cccnc5	CHEMBL3741492	pIC50=7.11
Cc1nc2cccnc2n3c(nnc13)c4cc(OC5CCOCC5)ccc4Cl	CHEMBL3693279	pIC50=7.11
Cc1ccccc1c2nc(C)c3c(C)nc4ccc(F)cc4n23	CHEMBL1916101	pIC50=7.13
Cc1nc2cccnc2n3c(nnc13)c4cc(ccc4Cl)C5(O)CCC5	CHEMBL3693344	pIC50=7.13
CN1CCC(COC2=C(C(=O)Nc3ccc(Br)cc23)c4cccs4)CC1	CHEMBL3665536	pKi=7.14
COC1CN(C1)c2ncnn3c(C)nc(c4cnn(C)c4c5ccc(OC)cc5)c23	CHEMBL3655801	pIC50=7.14
COc1cc(F)c2nc(C)c3c(C)nc(c4ccncc4C)n3c2c1	CHEMBL1916134	pIC50=7.15
COc1cc(OC(F)F)cc2c1nc(C)c3c(C)nc(c4cccnc4C)n23	CHEMBL1916129	pIC50=7.15
COc1cc(F)c2nc(C)c3c(C)nc(c4cnccc4C)n3c2c1	CHEMBL1916133	pIC50=7.16
COc1ccc(cn1)c2cc(ccc2OC)C3=Nc4c(C(=O)NC3)n(CCCO)nc4C(C)(C)C	CHEMBL2387438	pIC50=7.16
Cc1nc2cccnc2n3c(nnc13)c4cc(OC5CCC(F)(F)CC5)ccc4Cl	CHEMBL3693280	pIC50=7.16
Cc1nc2ccncc2n3c(nnc13)c4ccccc4Cl	CHEMBL3092559	pIC50=7.16
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ncc(C)cc4F)c12	CHEMBL3655813	pIC50=7.17
Cc1nc2cccnc2n3c(nnc13)c4cc(ccc4Cl)C5(O)CCCOC5	CHEMBL3693358	pIC50=7.17
COc1cc(F)cc2c1nc(C)c3c(C)nc(c4ccccc4C)n23	CHEMBL1916117	pIC50=7.18
COc1cc(cc2c1nc(C)c3c(C)nc(c4ccncc4)n23)c5ccc(F)nc5	CHEMBL3741781	pIC50=7.18
Cc1nc(c2cnn(C)c2c3ccc(Cl)cc3)c4c(ncnn14)N5CCC5	CHEMBL3655779	pIC50=7.18
COc1ccc2nc(C)c3c(C)nc(c4ccccc4OC)n3c2n1	CHEMBL1915893	pIC50=7.19
Cc1nc2ccc(nc2n3c(nnc13)c4cc(OC5COCC5O)ccc4Cl)C(F)(F)F	CHEMBL3693371	pIC50=7.19
CN1CCC(COC2=C(C(=O)Nc3ccc(cc23)C#Cc4cccnc4)c5cccs5)CC1	CHEMBL3665538	pKi=7.21
COc1ccc2nc(C)c3c(C)nc(c4sccc4C)n3c2n1	CHEMBL1915906	pIC50=7.21
CC(=O)c1ccc(nc1)c2c(cnn2C)c3nc(C)n4ncnc(N5CCC5)c34	CHEMBL3655833	pIC50=7.22
CC(O)c1ccc(Cl)c(c1)c2nnc3c(C)nc4ccc(C)nc4n23	CHEMBL3693320	pIC50=7.22
Cc1cnc2c(c1)nc(C)c3nnc(c4cc(O)ccc4Cl)n23	CHEMBL3693269	pIC50=7.23
Cc1nc2ccc(nc2n3c(nnc13)c4cc(OC5CCOCC5O)ccc4F)C6CC6	CHEMBL3693373	pIC50=7.23
CC(C)c1cnc2c(c1)nc(C)c3nnc(c4cc(OCC(C)(C)O)ccc4Cl)n23	CHEMBL3693312	pIC50=7.24
Cc1ccc2nc(C)c3nnc(c4cc(OC5CCOC5)ccc4Cl)n3c2n1	CHEMBL3693300	pIC50=7.24
Cc1nc2cccnc2n3c(nnc13)c4cc(OCC5CCOC5)ccc4Cl	CHEMBL3693282	pIC50=7.26
CCC(CC)c1nn(CCO)c2C(=O)NCC(=Nc12)c3ccc(cc3)n4ccnc4C	CHEMBL2387021	pIC50=7.27
CCCCOc1cncc(c1)c2nnc3c(C)nc4ccncc4n23	CHEMBL3425539	pIC50=7.27
Cc1nc2ccc(nc2n3c(nnc13)c4cc(OC5COCC5O)ccc4Cl)C6CC6	CHEMBL3693314	pIC50=7.27
COc1cc(cc2c1nnc3c(C)nc(c4ccccc4Cl)n23)N5CCOCC5	CHEMBL2070655	pIC50=7.3
Cc1ccc2nc(C)c3nnc(c4cc(OCC(C)(C)O)ccc4Cl)n3c2n1	CHEMBL3693304	pIC50=7.3
COc1cc(cc2c1nc(C)c3c(C)nc(c4ccnc(F)c4)n23)c5cccnc5	CHEMBL3741660	pIC50=7.33
COc1ccc2nc(C)c3c(C)nc(c4ccccc4C)n3c2n1	CHEMBL1915888	pIC50=7.33
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4F)C(C)(C)CO)C5CC5	CHEMBL3693363	pIC50=7.33
COc1ccc(OC)c(c1)c2cc(ccc2OC)C3=Nc4c(C(=O)NC3)n(CCCO)nc4C(C)(C)C	CHEMBL2387435	pIC50=7.34
CCC(C)(C)c1nn(CCO)c2C(=O)NCC(=Nc12)c3ccc(cc3)n4ccnc4C	CHEMBL2387140	pIC50=7.35
Cc1nc2cccnc2n3c(nnc13)c4cc(CCC(C)(C)O)ccc4Cl	CHEMBL3693321	pIC50=7.35
CCC(CC)c1nn(CCCO)c2C(=O)NCC(=Nc12)c3ccccc3	CHEMBL2387139	pIC50=7.36
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4Cl)C5(O)CCOCC5)C(F)(F)F	CHEMBL3693353	pIC50=7.37
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(Cl)cn4)c12	CHEMBL3655834	pIC50=7.38
COc1cc(cc2c1nc(C)c3c(C)nc(c4cccnc4C)n23)N5CCOCC5	CHEMBL1916127	pIC50=7.38
COc1ccc2nc(C)c3c(C)nc(c4ccncc4C)n3c2n1	CHEMBL1916094	pIC50=7.39
Cc1nc2cccnc2n3c(nnc13)c4cc(O)ccc4Cl	CHEMBL3693260	pIC50=7.39
CN1C(=O)C(C(=O)Nc2nncs2)c3cc4occc4cc13	CHEMBL200906	pIC50=7.4
COc1ccc(cc1c2ccc(cc2)C(=O)O)C3=Nc4c(C(=O)NC3)n(CCCO)nc4C(C)(C)C	CHEMBL2387437	pIC50=7.4
Cc1ccc(cc1c2nnc3c(C)nc4ccc(nc4n23)C5CC5)C6(O)CCOCC6O	CHEMBL3639922	pIC50=7.4
Cc1ccncc1c2nc(C)c3c(C)nc4ccc(Cl)cc4n23	CHEMBL1916102	pIC50=7.4
CCNC(=O)c1ccc2nc(C)c3nnc(c4cccnc4)n3c2c1	CHEMBL2313252	pIC50=7.41
COc1cncc(c1)c2nc(C)c3nnc4c(F)cc(OC)cc4n23	CHEMBL2180774	pIC50=7.41
COc1ccc2nc(C)c3c(C)nc(c4cnccc4C)n3c2n1	CHEMBL1916091	pIC50=7.42
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(OC)c(F)c4)c12	CHEMBL3655809	pIC50=7.43
COCCOc1ccc(Cl)c(c1)c2nnc3c(C)nc4ccc(C)nc4n23	CHEMBL3693286	pIC50=7.43
COc1ccc(cc1F)c2c(cnn2C)c3nc(C)n4ncnc(N5CC(F)(F)C5)c34	CHEMBL3655794	pIC50=7.43
COc1ccc2nc(C)c3c(C)nc(c4cccc(c4)C(=O)N)n3c2n1	CHEMBL1915896	pIC50=7.43
COc1ccc(cc1c2cnn(C)c2)C3=Nc4c(C(=O)NC3)n(CCCO)nc4C(C)(C)C	CHEMBL2387439	pIC50=7.44
Cc1ccc(O)cc1c2nnc3c(C)nc4ccc(nc4n23)C(F)(F)F	CHEMBL3693271	pIC50=7.44
Cc1cnccc1c2nc(C)c3c(C)nc4c(F)cc(OC(F)F)cc4n23	CHEMBL1916136	pIC50=7.44
COc1cc(F)c2nnc3c(C)nc(c4sccc4C)n3c2c1	CHEMBL2070671	pIC50=7.45
COc1ccc2nc(C#N)c3c(C)nc(c4ccccc4Cl)n3c2n1	CHEMBL1915905	pIC50=7.45
COc1cc2NC(=O)C(=C(c3cccc(c3)c4ccccn4)c2cc1OC)c5cccs5	CHEMBL3665542	pKi=7.47
Cc1nc2cccnc2n3c(nnc13)c4cc(OCC5(O)CCC5)ccc4Cl	CHEMBL3693307	pIC50=7.48
COc1ccc2nc(C)c3c(C)nc(c4cccnc4)n3c2n1	CHEMBL1916089	pIC50=7.5
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4F)C(C)(C)O)C5(C)CC5	CHEMBL3693329	pIC50=7.5
CCCOc1cncc(c1)c2nnc3c(C)nc4ccc(CN5CCOCC5)cc4n23	CHEMBL3331519	pIC50=7.52
CCOC(=O)c1ccc2nc(C)c3nnc(c4ccccc4)n3c2c1	CHEMBL2313245	pIC50=7.52
CNc1ncnn2c(C)nc(c3cnn(C)c3c4ccc(F)cc4)c12	CHEMBL3655820	pIC50=7.52
COc1cc(OC)c2nc(C)c3c(C)nc(c4cccnc4C)n3c2c1	CHEMBL1916125	pIC50=7.52
COc1cc(OC)c2nnc3c(C)nc(c4ccccc4Cl)n3c2c1	CHEMBL2069321	pIC50=7.52
COc1ccc2nc(C)c3c(C)nc(c4sc(C)nc4C)n3c2n1	CHEMBL1915912	pIC50=7.52
COc1ccc2nc(C)c3c(nc(c4ccc(F)cc4Cl)n3c2n1)C(F)(F)F	CHEMBL1915900	pIC50=7.52
COC1CN(C1)c2ncnn3c(C)nc(c4cnn(C)c4c5ccc(Br)cc5)c23	CHEMBL3655804	pIC50=7.53
CCNC(=O)c1ccc2nc(C)c3nnc(c4ccncc4)n3c2c1	CHEMBL2313253	pIC50=7.54
CCOc1ccc(F)c(c1)c2nc(C)c3nnc4ccc(OC)nc4n23	CHEMBL2070642	pIC50=7.54
COc1cc(cc2c1nc(C)c3c(C)nc(c4cccnc4)n23)c5ccc(F)nc5	CHEMBL3739783	pIC50=7.54
CCNC(=O)c1ccc2nc(C)c3nnc(c4cccnc4OC)n3c2c1	CHEMBL2313256	pIC50=7.55
COc1ccc2nc(C)c3c(C)nc(c4ccc(F)cc4Cl)n3c2n1	CHEMBL1915892	pIC50=7.56
CNc1ncnc2c1c(nn2C)c3cnn(C)c3c4ccc(cc4)C(F)(F)F	CHEMBL3676230	pIC50=7.57
