CC(C)C[C@H](NC(=O)[C@@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O	triptorelin	pEC50=9.025	pEC50=9.025	pEC50=9.025
CC(C)C[C@H](NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O	nafarelin	pKd=9.699	pKd=9.699	pKd=9.699
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1	leuprorelin	pIC50=9.5229	pIC50=9.5229	pIC50=9.5229	pIC50=9.1
CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O	abarelix	pKi=9.30000019	pKi=9.30000019	pKi=9.30000019
[H][C@]1(CC(=O)NC(=O)N1)C(=O)NC1=CC=C(C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](CC2=CN=CC=C2)NC(=O)[C@@H](CC2=CC=C(Cl)C=C2)NC(=O)[C@@H](CC2=CC3=C(C=CC=C3)C=C2)NC(C)=O)C(=O)N[C@H](CC2=CC=C(NC(N)=O)C=C2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(N)=O)C=C1	degarelix	pKi=8.77000046	pKi=8.77000046	pKi=8.77000046
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1	buserelin
CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O	gonadorelin	pIC50=8.0	pIC50=8.0	pIC50=8.0
CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O	goserelin
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC1=CN(CC2=CC=CC=C2)C=N1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1	histrelin
CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O	cetrorelix	pKi=8.8	pKi=8.8	pKi=8.8
CCNC(NCC)=NCCCC[C@@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN=C(NCC)NCC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O	ganirelix
Cc1cc(CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C)nn1C	CHEMBL494021	pIC50=7.08
Cc1ccc(CNC(=O)c2oc(Cc3cc4c(cc3C)C(C)(C)CCC4(C)C)cc2)cc1	CHEMBL324771	pKi=7.08
Fc1ccc(CNS(=O)(=O)c2ccc3c(c2)nc(CCNC(=O)Nc4ccccc4Cl)n3Cc5ccccc5)cc1	CHEMBL359914	pIC50=7.08
CN(CCN1C(=O)N(Cc2c(F)cccc2F)C(=C(C1=O)c3ccccc3F)C)CCc4ccccn4	CHEMBL277439	pKi=7.09
COc1cccc(c1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(CC(C)NCCCOCC(C)C)C2=O	CHEMBL325391	pKi=7.09
CC(C)OC(=O)\N=C(\NC[C@@H](C)c1c([nH]c2sc(cc12)C(C)(C)C(=O)N3C4CCC3CC4)c5cc(C)cc(C)c5)/N6CCC(CC6)c7ccncc7	CHEMBL250568	pIC50=7.1
CCCC(=O)Nc1ccc(cc1)c2nc3N(Cc4ccccc4F)C=C(C(=O)OCC)C(=O)n3c2CN(C)Cc5ccccc5	CHEMBL67638	pKi=7.1
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)N2C(=O)OCC2(C)C)[C@H](C)[C@@H](OC3O[C@H](C)C[C@@H]([C@H]3O)N(C)C(C)C)[C@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]4N(CCc5ccc(Cl)cc5)C(=O)O[C@]14C)OC	CHEMBL273536	pKi=7.1
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](OC3O[C@H](C)C[C@H](NC)[C@H]3O)[C@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]4N(CCc5ccc(Cl)cc5)C(=O)O[C@]14C)OC	CHEMBL288396	pKi=7.1
CN(C)Cc1ccc(CNC(=O)c2oc(Cc3cc4c(cc3C)C(C)(C)CCC4(C)C)cc2)cc1	CHEMBL326606	pKi=7.1
CN(CCN1C(=O)N(Cc2ccccc2F)C3=C(CN(Cc4sc5ccccc5c4C)CC3)C1=O)CCc6ccccn6	CHEMBL262581	pKi=7.1
COc1ccc(cc1)c2nc3N(Cc4ccccc4F)C(=C(C(=O)n3c2CN(C)CCc5ccccn5)c6cccc(F)c6)C	CHEMBL69361	pKi=7.1
COc1ccc(cc1)c2sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c3c2CN(C)Cc5ccccc5)c6ccccc6Cl	CHEMBL277435	pIC50=7.1
COc1ccc(cc1CSc2nc3cc(NC(=O)NC(C)(C)C)ccc3n2C4CC4)[N+](=O)[O-]	CHEMBL195516	pIC50=7.1
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](N)c4ccccc4)C2=O)c1F	CHEMBL179691	pIC50=7.1
COc1cccc(c1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@@H](C)NCCc4ccccn4)C2=O	CHEMBL23337	pKi=7.1
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCc4cccc(CNc5nccc(n5)N6CCOCC6)c4)C(C)(C)CCC2(C)C	CHEMBL121367	pKi=7.1
Clc1ccc(cc1N2C(=O)Nc3sccc3C2=O)S(=O)(=O)N4CCCc5ccccc45	CHEMBL3668004	pIC50=7.1
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3ccccn3)c4ccccc4F.OC(=O)C(F)(F)F	CHEMBL311407	pKi=7.11
NCC(=O)OCc1ccc(cc1)C2=CN(Cc3c(F)cccc3C(F)(F)F)C(=O)N(C[C@H](N)c4ccccc4)C2=O	CHEMBL499307	pKi=7.11
CCN(CC)CCN(C)Cc1c(sc2N(Cc3c(F)cccc3F)C(=O)N(C(=O)c12)c4ccccc4)c5ccc(cc5)[N+](=O)[O-]	CHEMBL333213	pKi=7.12
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4ccc5OCCOc5c4	CHEMBL359754	pKi=7.13
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3ccc(F)cc3)c4ccccc4F.OC(=O)C(F)(F)F	CHEMBL76277	pKi=7.13
COc1cccc(c1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N([C@H](C)CNCc4ccccc4)C2=O	CHEMBL23237	pKi=7.13
COc1cccc(c1)N2C(=O)N(CCC(N)c3ccccc3C)C(=O)N(Cc4c(F)cccc4F)C2=O	CHEMBL176284	pKi=7.13
Cc1cc(C)cc(c1)c2[nH]c3sc(cc3c2CCN4CCN(CC(O)CN5CCNCC5)CC4)C(C)(C)C(=O)N6C7CCC6CC7	CHEMBL401418	pIC50=7.13
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCC4CCC(CNc5nccc(NCC6CCCO6)n5)CC4)C(C)(C)CCC2(C)C	CHEMBL120420	pKi=7.13
COc1cccc(N2C(=O)N(C[C@H](N)c3ccccc3)C(=O)N(Cc4c(Cl)cccc4C#N)C2=O)c1F	CHEMBL367548	pKi=7.14
COc1cccc(c1)C2=C(C)N(Cc3ccccc3F)c4nc(c(CN(C)Cc5ccccc5)n4C2=O)C(C)(C)C	CHEMBL48316	pKi=7.14
COc1cccc(C2=C(C)N(Cc3c(F)cccc3C(F)(F)F)C(=O)N(C[C@H](NCC(=O)O)c4ccccc4)C2=O)c1F	CHEMBL509440	pKi=7.15
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](N)CC(C)(C)C)C2=O)c1F	CHEMBL115965	pKi=7.15
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4csc(Nc5ccccc5)n4	CHEMBL184855	pKi=7.16
CCCn1c(SCc2cc(ccc2OC)[N+](=O)[O-])nc3cc(NC(=O)NC(C)(C)C)cc(C(=O)NCc4cccnc4)c13	CHEMBL372455	pIC50=7.16
CCNC(=O)Nc1ccc(cc1)c2nc3N(Cc4c(F)cccc4F)C=C(C(=O)OCC)C(=O)n3c2CN(CC(=O)NCc5cn(CCOCCOCCOCCn6cc(CNC(=O)CN(Cc7ccccc7)Cc8c(nc9N(Cc%10c(F)cccc%10F)C=C(C(=O)OCC)C(=O)n89)c%11ccc(NC(=O)NCC)cc%11)nn6)nn5)Cc%12ccccc%12	CHEMBL395826	pKi=7.16
CCOC(=O)C1=CN(Cc2ccccc2OC)c3sc(c(CN(C)Cc4ccccc4)c3C1=O)c5ccc(OC)cc5	CHEMBL336319	pIC50=7.16
CN(C)[C@@H](CN1C(=O)N(Cc2c(F)cccc2F)C3=C(CN(Cc4ccc(Cl)cc4)CC3)C1=O)c5ccccc5	CHEMBL430171	pKi=7.16
CN(Cc1ccccc1)Cc2c(sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c23)c5ccccc5)c6ccc(NC(=O)NCc7ccccc7)cc6	CHEMBL385175	pIC50=7.16
COc1cccc(c1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N([C@H](C)CNCc4ccccc4C)C2=O	CHEMBL23321	pKi=7.16
COc1cccc(c1)N2C(=O)N(CCC(N)c3ccccc3)C(=O)N(Cc4c(F)cccc4F)C2=O	CHEMBL360447	pKi=7.16
N[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C=C(C1=O)c3ccc(CO)cc3)c4ccccc4	CHEMBL495882	pKi=7.16
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3cccc(F)c3)c4ccccc4F.OC(=O)C(F)(F)F	CHEMBL311380	pKi=7.17
COc1ccc(cc1)c2nc3N(Cc4ccccc4F)C(=C(C(=O)n3c2CN(C)CCc5ccccc5F)c6ccc7OCOc7c6)C	CHEMBL305034	pKi=7.17
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@@H](C)NC4CCCC4)C2=O)c1F	CHEMBL255242	pKi=7.17
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCC4CCCC(CNc5ncccn5)C4)C(C)(C)CCC2(C)C	CHEMBL333730	pKi=7.17
Cc1n[nH]c(C)c1CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C	CHEMBL495189	pIC50=7.17
FC(F)(F)Oc1cccc(c1)S(=O)(=O)N2C(C3CC3)C4(CCS(=O)(=O)CC4)c5cc(ccc25)C(=O)NCc6ncc(cc6Cl)C(F)(F)F	CHEMBL3358415	pIC50=7.17
CC[C@H]1COC(=O)N1C(=O)O[C@H]2[C@H](C)[C@@H](OC3O[C@H](C)C[C@@H]([C@H]3O)N(C)C(C)C)[C@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]4N(CCc5ccc(Cl)cc5)C(=O)O[C@]4(C)[C@@H](CC)OC(=O)[C@@H]2C)OC	CHEMBL412634	pKi=7.18
COC(=O)CCCN[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C=C(C1=O)c3ccccc3Cl)c4ccccc4	CHEMBL445691	pKi=7.18
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](N)Cc4ccccc4)C2=O)c1F	CHEMBL119149	pKi=7.18
COc1cccc(N2C(=O)N(C[C@H](N)c3ccccc3)C(=O)N(Cc4cccnc4Cl)C2=O)c1F	CHEMBL177182	pKi=7.18
COc1cccc(c1)N2C(=O)N(CCC(N)c3cccc(F)c3)C(=O)N(Cc4c(F)cccc4F)C2=O	CHEMBL175491	pKi=7.18
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCC4CCC(CNC(=O)C(F)(F)F)CC4)C(C)(C)CCC2(C)C	CHEMBL332923	pKi=7.18
Fc1ccc(CNS(=O)(=O)c2ccc3c(c2)nc(CCNC(=O)Nc4ccccc4F)n3Cc5ccccc5)cc1	CHEMBL435334	pIC50=7.18
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3ccccn3)c4ccccc4F	CHEMBL178142	pKi=7.19
CN(CCc1ccccn1)Cc2c(cc3N(Cc4ccccc4F)C=C(C(=O)n23)c5occ(n5)C(C)(C)C)c6ccc(cc6)[N+](=O)[O-]	CHEMBL132338	pKi=7.19
CN[C@@H](CN1C(=O)N(Cc2c(F)cccc2F)C(=C(C1=O)c3cccc(OC)c3)C)c4ccccc4	CHEMBL179269	pKi=7.19
COc1ccc(cc1)c2nc3N(Cc4ccccc4F)C(=C(C(=O)n3c2CN(C)CCc5ccccn5)c6ccccc6OC)C	CHEMBL71400	pKi=7.19
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3ccc(F)cc3)c4ccccc4F	CHEMBL178127	pKi=7.2
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCC4CCC(CNc5ncc(C#N)c(N)n5)CC4)C(C)(C)CCC2(C)C	CHEMBL331087	pKi=7.2
CCC(CC)OC(=O)C1=CN(Cc2ccccc2F)c3cc(c(CN(C)Cc4ccccc4)n3C1=O)c5ccc(OC)cc5	CHEMBL337865	pKi=7.21
COc1ccc(cc1CSc2nc3cc(NC(=O)NC(C)(C)C)ccc3n2C(C)C)[N+](=O)[O-]	CHEMBL434955	pIC50=7.21
CC(C)OC(=O)C1=CN(Cc2c(F)cccc2F)c3sc(c(CN(C)Cc4ccccc4)c3C1=O)c5ccc(NC(=O)C(C)C)cc5	CHEMBL71917	pIC50=7.22
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3cccc(F)c3)c4ccccc4F	CHEMBL179663	pKi=7.22
CCCn1c(SCc2cc(ccc2OC)[N+](=O)[O-])nc3cc(NC(=O)NC(C)(C)C)cc(C(=O)NCc4ccncc4)c13	CHEMBL439860	pIC50=7.22
