CCN(CC)C(=O)[C@]1(C[C@H]1CN)C1=CC=CC=C1	levomilnacipran	pKi=7.03526926	pKi=7.03526926	pKi=7.03526926	pIC50=7.4
CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1	tapentadol	pKi=6.31875896	pKi=6.31875896	pKi=6.31875896
CC(N)CC1=CC=CC=C1	amfetamine
CN[C@@H](C)[C@@H](O)C1=CC=CC=C1	pseudoephedrine
NC(=N)NCC1COC2(CCCCC2)O1	guanadrel
CNC(NC)=NCC1=CC=CC=C1	betanidine
Clc1ccc2Oc3ccccc3N=C(N4CCNCC4)c2c1	amoxapine	pKi=7.88605665	pKi=7.88605665	pKi=7.88605665	pIC50=7.89
[H][C@@]1(C)N(C)CCO[C@@]1([H])C1=CC=CC=C1	phendimetrazine
CCN(CC)C(C)C(=O)C1=CC=CC=C1	diethylpropion
[H]C1(CCCCN1)C(C(=O)OC)C1=CC=CC=C1	methylphenidate	pKi=6.18	pKi=6.18	pKi=6.18	pKi=6.18
CCOc1ccccc1OCC2CNCCO2	viloxazine	pKd=6.81	pKd=6.81	pKd=6.81	pKd=6.81
C[C@@H](CC1=CC=CC=C1)N(C)CC1=CC=CC=C1	benzphetamine
CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1	bupropion	pKi=5.16	pKi=5.16	pKi=5.16	pIC50=6.35
CC[N+](C)(C)CC1=C(Br)C=CC=C1	bretylium
CNCC[C@@H](Oc1ccccc1C)c2ccccc2	atomoxetine	pKd=8.69	pKd=8.69	pKd=8.69	pIC50=8.29
OC1(N2CCN=C2c3ccccc13)c4ccc(Cl)cc4	mazindol	pKd=9.3	pKd=9.3	pKd=9.3	pKi=7.75
CNCC[C@H](Oc1cccc2ccccc12)c3cccs3	duloxetine	pKi=8.22	pKi=8.22	pKi=8.22	pIC50=6.29
CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1	desvenlafaxine	pKi=6.2747	pKi=6.2747	pKi=6.2747
COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1	venlafaxine	pKd=5.9747	pKd=5.9747	pKd=5.9747	pIC50=6.17
CC(CN(C)C)CN1C2=CC=CC=C2CCC2=C1C=CC=C2	trimipramine	pKi=5.61000013	pKi=5.61000013	pKi=5.61000013
CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1	sibutramine	pKi=5.2635	pKi=5.2635	pKi=5.2635
CNCCCC1C2=CC=CC=C2C=CC2=C1C=CC=C2	protriptyline	pKi=8.39	pKi=8.39	pKi=8.39	pIC50=7.77
CC(C)(N)CC1=CC=CC=C1	phentermine
CC1NCCOC1C1=CC=CC=C1	phenmetrazine	pEC50=7.2976	pEC50=7.2976	pEC50=7.2976
CNCCC=C1c2ccccc2CCc3ccccc13	nortriptyline	pKd=8.3595	pKd=8.3595	pKd=8.3595	pKi=8.2
CCC1=NN(CCCN2CCN(CC2)c3cccc(Cl)c3)C(=O)N1CCOc4ccccc4	nefazodone	pKd=6.4437	pKd=6.4437	pKd=6.4437	pKd=6.44
CCN(CC)C(=O)C1(CC1CN)C1=CC=CC=C1	milnacipran	pKi=7.6	pKi=7.6	pKi=7.6	pIC50=7.11
CNCCCC12CCC(c3ccccc13)c4ccccc24	maprotiline	pKd=8.27	pKd=8.27	pKd=8.27	pIC50=7.52
CN(C)CCCN1c2ccccc2CCc3ccccc13	imipramine	pKd=7.4318	pKd=7.4318	pKd=7.4318	pIC50=7.13
NC(=N)NCCN1CCCCCCC1	guanethidine
CN(C)CCC=C1c2ccccc2COc3ccccc13	doxepin	pKd=7.53	pKd=7.53	pKd=7.53	pIC50=7.54
[H][C@@]1(CCCCN1)[C@H](C(=O)OC)C1=CC=CC=C1	dexmethylphenidate
CNCCCN1c2ccccc2CCc3ccccc13	desipramine	pKd=9.0809	pKd=9.0809	pKd=9.0809	pKi=6.24
CN(C)CCC=C1c2ccccc2CCc3ccccc13	amitriptyline	pKd=7.4559	pKd=7.4559	pKd=7.4559	pKi=6.48
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13	clomipramine	pKd=7.4202	pKd=7.4202	pKd=7.4202	pIC50=7.15
CN1CC(C2=CC=CC=C2)C2=CC=CC(N)=C2C1	nomifensine	pKi=7.67	pKi=7.67	pKi=7.67	pIC50=6.2
CN(CCCN1C2=CC=CC=C2CCC2=C1C=CC=C2)CC(=O)C1=CC=C(Cl)C=C1	lofepramine	pKi=8.2676	pKi=8.2676	pKi=8.2676
CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12	dosulepin	pKd=7.3372	pKd=7.3372	pKd=7.3372
C[C@H](N)CC1=CC=CC=C1	dexamfetamine	pKi=7.0	pKi=7.0	pKi=7.0	pIC50=6.2
C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN	lisdexamfetamine
Cc1ccccc1O[C@@H]2CC[C@@H](N)c3ccccc23	CHEMBL453321	pIC50=6.02
Cl.CN(C)C1CCC(=CC1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23	CHEMBL2036264	pIC50=6.02
Fc1ccc(cc1Cl)C23CCN(Cc4cc(ccc24)c5ccc6ncnn6c5)C3	CHEMBL3673176	pIC50=6.02
NCC[C@@H](Oc1cccc2ccccc12)c3cccs3	CHEMBL594585	pKi=6.02
NCCc1cccc2[nH]cc(c12)S(=O)(=O)c3ccccc3	CHEMBL608380	pIC50=6.02
OC(=O)C(=O)O.Fc1ccc(cc1)C(OCCC2CCN(C[C@@H]3C[C@H]3c4ccccc4)CC2)c5ccc(F)cc5	CHEMBL381256	pKi=6.02
CNC1CCN(c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL1643511	pIC50=6.03
Clc1ccc(cc1)C(CC2CCCCC2)C3CCCCN3	CHEMBL219707	pIC50=6.03
NC1CCN(c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL1643509	pIC50=6.03
N[C@@H](CN1CCC(CCOC(c2ccc(F)cc2)c3ccc(F)cc3)CC1)Cc4ccccc4.OC(=O)C(=O)O.OC(=O)C(=O)O	CHEMBL204814	pKi=6.03
Nc1cnc(cn1)c2ccc3c(CN4CCC3(CC4)c5ccc(Cl)cc5)c2	CHEMBL3673144	pIC50=6.03
[Na+].CC[Hg]Sc1ccccc1C(=O)[O-]	CHEMBL508338	pIC50=6.03
CN1C2CCC1[C@H]([C@H](C2)c3ccccc3)c4ccccc4	CHEMBL388850	pIC50=6.04
CN1C[C@@H]2CCCC[C@@]2(C1)c3ccc(Cl)cc3Cl	CHEMBL1813306	pIC50=6.04
CNCCCN1Cc2ccccc2N(c3ccc(Cl)cc3)S1(=O)=O	CHEMBL1077202	pIC50=6.04
CNCc1cnc(C)cc1Oc2ccccc2OC	CHEMBL262357	pKi=6.04
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccc(CC(=O)N)cc13	CHEMBL203674	pIC50=6.04
COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c3ccccc3)N2C	CHEMBL83729	pIC50=6.04
C[C@@H]1NC(C)(C)CO[C@@]1(O)c2cccc(Br)c2	CHEMBL1173276	pIC50=6.04
Cc1ccc(Oc2ncccc2C3CCNCC3)c(F)c1	CHEMBL599371	pKi=6.04
Cl.COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c3ccccc3)N2C	CHEMBL1790051	pIC50=6.04
Clc1ccc(cc1)C23CCN(CC2)Cc4cc(Oc5cnccn5)ccc34	CHEMBL3673155	pIC50=6.04
[Cl-].CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1	CHEMBL221753	pIC50=6.04
Brc1ccc2cc(ccc2c1)C(=O)NCCCN3CCC(Cc4ccccc4)CC3	CHEMBL3612834	pIC50=6.05
CC(C)CC(N)C1(CCCCC1)c2ccc(Cl)c(Cl)c2	CHEMBL1684044	pIC50=6.05
CC(NC(C)(C)C)C(=O)c1ccc(C)c(Cl)c1	CHEMBL565844	pIC50=6.05
CNC[C@@H]1CCCC[C@@]1(OC)c2cccc(OC)c2	CHEMBL256163	pIC50=6.05
CNC[C@H]1OCc2ccccc2[C@H]1Oc3ccccc3C(F)(F)F	CHEMBL498141	pIC50=6.05
COC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3	cocaine	pKi=6.05
COc1ccccc1N2CCN(CCCN3CCC(Cc4ccccc4)CC3)CC2	CHEMBL3774732	pIC50=6.05
FC(F)(F)c1cc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)cc(c1)c4ccccc4	CHEMBL1644600	pIC50=6.05
CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CC=C)cc(c1)C(=O)C	CHEMBL218262	pKi=6.06
CCN(CC)CCOc1ccc(cc1)\C(=C(\Cl)/c2ccccc2)\c3ccccc3	CHEMBL954	pIC50=6.06
CNC[C@@H]1Cc2ccccc2[C@@H]1Oc3ccc(cc3)C(F)(F)F	CHEMBL497666	pIC50=6.06
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3cccc(C(=O)O)c13	CHEMBL204005	pIC50=6.06
COc1ccc2c(CN3CCC2(CC3)c4ccc(Cl)cc4)c1	CHEMBL3673138	pIC50=6.06
Cc1cc(CCC2CCC(CCN)O2)ccc1F	CHEMBL457968	pKi=6.06
Cl.CN[C@H]1CCC[C@@H](C1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23	CHEMBL2036274	pIC50=6.06
Cl.Cl.COc1cccc(c1)C(CN2CCNCC2)C3(O)CCCCC3	CHEMBL469460	pIC50=6.06
Clc1ccc(cc1Cl)C2CNC(=O)C2c3ccccc3	CHEMBL2430695	pIC50=6.06
OC(Cc1ccc(O)cc1)C(=O)Cc2c[nH]c3ccccc23	CHEMBL2414911	pKi=6.06
CC(C)(C)NCC(O)CCN1c2ccccc2N(c3ccccc3)S1(=O)=O	CHEMBL1084292	pIC50=6.07
CCCCCC(C1CCCCN1)c2ccc(Cl)cc2	CHEMBL219703	pIC50=6.07
CCCCCCc1ccc2C(CN)c3ccccc3Cc2c1	CHEMBL86760	pKi=6.07
CCNCC1CC1(C(=O)N(CC)CC)c2ccccc2	CHEMBL272744	pIC50=6.07
CN1C2CCC1CC(C2)OC(c3ccc(F)cc3)c4ccc(F)cc4	CHEMBL317757	pKi=6.07
COC(=O)[C@@H]1CN(C)CC[C@@H]1c2ccc(I)cc2	CHEMBL215988	pKi=6.07
Cc1cc(F)ccc1O[C@@H]([C@H]2CNCCO2)c3ccccc3	CHEMBL404956	pKi=6.07
Fc1ccc(CC(=O)NCCNCCOC(c2ccc(F)cc2)c3ccc(F)cc3)cc1	CHEMBL123830	pKi=6.07
N[C@H](CN1CCC(CCOC(c2ccc(F)cc2)c3ccc(F)cc3)CC1)Cc4ccccc4.OC(=O)C(=O)O.OC(=O)C(=O)O	CHEMBL381842	pKi=6.07
N[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1642892	pIC50=6.07
CC(C)CC(C1CCCCN1)c2ccc(Cl)cc2	CHEMBL220247	pKi=6.08
CC(C)CCC(C1CCCCN1)c2ccc(Cl)cc2	CHEMBL373710	pKi=6.08
CC(C)c1ccccc1C(=O)N(CC2CCC2)[C@@H]3CCNC3	CHEMBL559319	pKi=6.08
CCCC(N1CCCC1)C(=O)c2ccc(F)cc2	CHEMBL203640	pKi=6.08
CN1C2CCC1C(C(C2)c3ccc(Cl)cc3)C(=O)NCCCCCCCCNC(=O)C4C5CCC(CC4c6ccc(Cl)cc6)N5C	CHEMBL307314	pKi=6.08
COC(=O)[C@@H]1[C@H]2CC[C@H](C[C@@H]1c3ccc(F)cc3)N2C	CHEMBL2079586	pIC50=6.08
COCC(Oc1ccc2ccccc2c1)C3CCNCC3	CHEMBL471035	pIC50=6.08
C[C@@H]1NC(C)(C)CO[C@@]1(O)c2ccc(Cl)cc2	CHEMBL1173354	pIC50=6.08
Cc1ccccc1O[C@H]2C[C@H](N)c3ccccc23	CHEMBL486043	pIC50=6.08
Cl.CN1C2CCC1[C@H]([C@H](C2)c3ccc(C)cc3)c4onc(Cc5ccc(Cl)cc5)c4	CHEMBL486042	pKi=6.08
Fc1ccc(O[C@@H]([C@H]2CNCCO2)c3ccccc3)c(Cl)c1	CHEMBL260823	pKi=6.08
CC(C)C(C1CCCCN1)c2ccc(Cl)cc2	CHEMBL218848	pKi=6.09
CN1C2CCC1[C@H]([C@H](C2)c3ccc(Cl)cc3)C(=O)Nc4ccc(CNC(=O)[C@H]5C6CCC(C[C@@H]5c7ccc(Cl)cc7)N6C)cc4	CHEMBL611959	pKi=6.09
CN1CC(c2ccccc2)c3c(C)cccc3C1	CHEMBL2206522	pKi=6.09
ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl	mitotane	pIC50=6.09
Clc1ccc(cc1)C23CCN(CC2)Cc4cc(ccc34)C5=CC6OC(=O)NC6C=C5	CHEMBL3673147	pIC50=6.09
Clc1ccc(cc1)C23CCN(Cc4cc(ccc24)c5ccc6ncnn6c5)C3	CHEMBL3673129	pIC50=6.09
CN(C)Cc1ccccc1Sc2ccc(CO)cc2N	CHEMBL190937	pKi=6.1
CN(C)[C@@H]1C[C@H](Oc2ccccc2)c3ccccc13	CHEMBL520735	pIC50=6.1
CNCCCN1Cc2ccccc2N(c3cccc(OC)c3)S1(=O)=O	CHEMBL1085904	pIC50=6.1
COC[C@@]12CN(C)CC[C@@]1(C2)c3ccc(Cl)c(Cl)c3	CHEMBL1170233	pKi=6.1
COc1ccc2cc(ccc2c1Cl)C(O)CCN3CCC(O)(Cc4ccccc4)CC3	CHEMBL2047572	pIC50=6.1
COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C	tramadol	pIC50=6.1
Cl.CN1C2CCC1[C@H]([C@H](C2)c3ccc(Cl)cc3)c4onc(C)c4c5ccc(Cl)cc5	CHEMBL471899	pKi=6.1
Cl.COC(=O)C(C1CCCCN1)c2ccccc2	CHEMBL1722	pIC50=6.1
Clc1ccc(cc1Cl)C2(CN3CCOCC3)CCCCC2	CHEMBL1683879	pIC50=6.1
Clc1ccc(cc1Cl)[C@@]23CNC[C@@H]2C3	CHEMBL488638	pKi=6.1
Clc1ccc(cc1Cl)[C@]23CCN4CC[C@]2(C4)C3	CHEMBL1172902	pKi=6.1
Fc1ccc(cc1Cl)C23CCN(Cc4cc(ccc24)c5ccc(nn5)C(F)(F)F)C3	CHEMBL3673177	pIC50=6.1
NC(=O)[C@@]12CNCC[C@@]1(C2)c3ccc(Cl)c(Cl)c3	CHEMBL1173752	pKi=6.1
O=C(N(C1CCNCC1)c2ccc3[nH]ccc3c2)c4ccccc4	CHEMBL555565	pKi=6.1
CC(N)C1(CCCCC1)c2ccc3ccccc3c2	CHEMBL1684050	pIC50=6.11
CN(C)Cc1cc(NS(=O)(=O)C)ccc1Oc2ccc(cc2)C(F)(F)F	CHEMBL479410	pIC50=6.11
CN1C2CCC1[C@H]([C@H](C2)c3ccc(C)cc3)c4ccc(C)cc4	CHEMBL2096877	pIC50=6.11
CNC[C@@]1(O)Cc2ccccc2[C@H]1Oc3ccccc3C	CHEMBL462401	pIC50=6.11
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccc(cc13)S(=O)(=O)N	CHEMBL383706	pIC50=6.11
Cl.CN1C2CCC1[C@H]([C@H](C2)c3ccc(C)cc3)c4onc(Cc5ccc(C)cc5)c4	CHEMBL487873	pKi=6.11
Cl.Cl.CN1CCN(C[C@@H](c2cccc(OC(F)(F)F)c2)C3(O)CCCCC3)CC1	CHEMBL511959	pKi=6.11
FCCCOc1ccc2CN(CCc2c1)[C@@H]3CC[C@@H](CC3)c4c[nH]c5ccc(cc45)C#N	CHEMBL449277	pKi=6.11
N#Cc1ccc2cc(OC[C@@H]3CCNC3)ccc2c1	CHEMBL506397	pIC50=6.11
N(c1ccccc1)c2ccc(Nc3ccccc3)cc2	CHEMBL1333512	pIC50=6.11
OC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1c3ccc(I)cc3)N2C\C=C\I	CHEMBL3105242	pKi=6.11
O[C@@H](CN1CCC(CCOC(c2ccccc2)c3ccccc3)CC1)Cc4ccccc4.OC(=O)C(=O)O	CHEMBL382783	pKi=6.11
CN(C)Cc1ccccc1Oc2ccc(Br)cc2	CHEMBL452376	pIC50=6.12
CNCc1cc(ccc1Oc2cccc(F)c2)C(=O)N3CCCN(CC3)C4CC4	CHEMBL401867	pKi=6.12
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccc(cc13)n4cncn4	CHEMBL383427	pIC50=6.12
CN[C@H]1CCc2ccccc2[C@@H]1c3ccc(Cl)c(Cl)c3	CHEMBL1642914	pIC50=6.12
COC(=O)[C@H]1C2CCC(C[C@@H]1c3ccc(I)cc3)N2C	CHEMBL2096860	pIC50=6.12
COc1ccc(cc1)[C@@H](CN(C)C)C2(O)CCCCC2	CHEMBL252720	pIC50=6.12
Cl.CCN[C@H]1CCC[C@@H](C1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23	CHEMBL2036276	pIC50=6.12
Clc1ccc(N2CCN(CCCN3CCC(Cc4ccccc4)CC3)CC2)c(Cl)c1	CHEMBL3775703	pIC50=6.12
CN1CC[C@@H](C1)N(Cc2ccccc2c3ccccc3)S(=O)(=O)C	CHEMBL476315	pKi=6.13
COC(=O)[C@@H]1C2CCC(C[C@H]1c3ccc(F)cc3)N2C	CHEMBL222705	pKi=6.13
C[C@@H]1NC(C)(C)CO[C@@]1(O)c2ccc(F)c(F)c2	CHEMBL1173427	pIC50=6.13
C[C@@H]1NC(C)(C)CO[C@@]1(O)c2cccc(F)c2	CHEMBL1173275	pIC50=6.13
Cc1c(CN([C@@H]2CCNC2)S(=O)(=O)C)ccc3cc(F)ccc13	CHEMBL576821	pIC50=6.13
Clc1ccccc1Oc2ncccc2N3CCNCC3	CHEMBL599593	pKi=6.13
