CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)C1=CN=C(C2=CC=CC=C2)C(=N1)C1=CC=CC=C1	selexipag	pKi=7.69896984	pKi=7.69896984	pKi=7.69896984
[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)C(C)CC#CC)[C@@]1([H])C\C(C2)=C\CCCC(O)=O	iloprost	pEC50=7.75	pEC50=7.75	pEC50=7.75	pIC50=7.57
[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)CCCCC)[C@@]1([H])C\C(O2)=C\CCCC(O)=O	epoprostenol
[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)C(C)CC#CC)[C@@]1([H])C1=C(O2)C(CCCC(O)=O)=CC=C1	beraprost	pIC50=8.37	pIC50=8.37	pIC50=8.37
[H][C@]12C[C@@H](O)[C@H](CC[C@@H](O)CCCCC)[C@@]1([H])CC1=CC=CC(OCC(O)=O)=C1C2	treprostinil	pKi=7.48999977	pKi=7.48999977	pKi=7.48999977
Cc1ccc(Sc2ccc(NC3=NCCN3)cc2)cc1	CHEMBL9172	pKi=7.0
COc1cccc(C2=CC(=O)N(CC3CCc4c(C3)cccc4OCC(=O)O)N=C2c5ccccc5)c1F	CHEMBL3398212	pEC50=7.43
CC(C)Oc1ccc(Sc2ccc(NC3=NCCN3)cc2)cc1	CHEMBL9604	pKi=7.5
CCCC1(CCC1)[C@@H](O)C\C=C\[C@H]2[C@H](O)CC(=O)[C@@H]2CCCCCCC(=O)O	CHEMBL1628262	pIC50=7.6
COc1ccc(Cc2ccc(NC3=NCCN3)cc2)cc1	CHEMBL9910	pKi=7.6
Cc1ccc(cc1)C2=NN(CC3CCc4c(C3)cccc4OCC(=O)O)C(=O)C=C2c5ccccc5	CHEMBL3398216	pEC50=7.62
COc1ccc(C2=NN(CC3CCc4c(C3)cccc4OCC(=O)O)C(=O)C=C2c5ccccc5)c(F)c1	CHEMBL3398218	pEC50=7.7
OC(=O)COc1cccc2CC(CC(=O)NN(c3ccccc3)c4ccccc4)CCc12	CHEMBL10836	pIC50=7.7
OC(=O)COc1cccc2CC(CN3N=CC(=C(C3=O)c4ccc(F)cc4)c5ccccc5)CCc12	CHEMBL3398232	pEC50=7.7
OC(=O)COc1cccc2C(CCn3cc(cn3)C(c4ccccc4)c5ccccc5)CCCc12	CHEMBL11746	pIC50=7.75
OC(=O)COc1cccc2N(CCN(C(=O)c3ccccc3)c4ccc(Cl)cc4)CCOc12	CHEMBL3793903	pIC50=7.89
[Na+].[O-]C(=O)COc1cccc2[C@@H](CCCc12)N3CCC[C@@H]3c4oc(c5ccccc5)c(n4)c6ccccc6	CHEMBL190497	pKi=7.92
O[C@@H](COc1ccccc1)\C=C\[C@H]2[C@H](O)C[C@@H]3O[C@H](CC[C@H]23)c4nc(cs4)C(=O)O	CHEMBL3804978	pEC50=7.96
COc1ccc(cc1F)C2=NN(CC3CCc4c(C3)cccc4OCC(=O)O)C(=O)C=C2c5ccccc5	CHEMBL3398219	pEC50=8.0
OC(=O)COc1cccc2C(CCC(=O)NN(c3ccccc3)c4ccccc4)CCCc12	CHEMBL11211	pIC50=8.0
COc1cccc(c1)C2=CC(=O)N(CC3CCc4c(C3)cccc4OCC(=O)O)N=C2c5ccc(C)cc5	CHEMBL3398220	pEC50=8.02
OC(=O)COc1cccc2C[C@@](O)(COC(=O)N(c3ccccc3)c4ccccc4)CCc12	CHEMBL196779	pKi=8.05
COc1ccc(cc1)C2=NN(CC3CCc4c(C3)cccc4OCC(=O)O)C(=O)C=C2c5ccccc5	CHEMBL3398215	pEC50=8.07
OC(=O)COc1cccc2C=C(Cn3cc(cn3)C(c4ccccc4)c5ccccc5)CCc12	CHEMBL430154	pIC50=8.1
[Na+].[O-]C(=O)COc1cccc(C[C@@H]2CCC[C@@H]3O[C@]23c4oc(c5ccccc5)c(n4)c6ccccc6)c1	CHEMBL2373410	pKi=8.22
COc1ccc(cc1)C2=C(C=NN(CC3CCc4c(C3)cccc4OCC(=O)O)C2=O)c5ccccc5	CHEMBL3398233	pEC50=8.4
CCCC[C@H](C)C[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1SCCCCCC(=O)O	CHEMBL64854	pKi=8.48
