CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C	sunitinib	pKd=8.7	pKd=8.7	pKd=8.7	pKd=8.6
CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib	pKd=8.1	pKd=8.1	pKd=8.1	pKd=8.1
COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3C)c2cc1OC	CHEMBL481407	pIC50=7.54
COc1cc2ncc(C(=O)N)c(Nc3ccccc3Cl)c2cc1OC	CHEMBL450208	pIC50=7.66
NC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(CN6CCOCC6)cc5)ncc4C1=O	CHEMBL256406	pIC50=7.66
O=C(Nc1ccc(cc1C2=CCCCC2)C3CCN(CC3)c4ccccn4)c5nc(c[nH]5)C#N	CHEMBL2158222	pIC50=7.66
CCOc1ccc(NC(=O)c2oc(cc2)C#N)c(c1)N3CCCCC3	CHEMBL253884	pIC50=7.68
CN(C)Cc1ccc(Nc2ncc3C(=O)C(=CN(c4ccc5CCCc5c4)c3n2)C(=O)N)cc1	CHEMBL256405	pIC50=7.68
CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=CC=CC=N3)=C2)C=CC=C1	axitinib	pKd=7.68
COCCOc1ccn2c(cnc2c1)c3ccc4cccc(O[C@H]5CCCNC5)c4n3	CHEMBL3109344	pIC50=7.68
CCn1cc(NC(=O)Cc2ncc(Oc3ccnc4cc(OC)ccc34)cc2OC)cn1	CHEMBL2023495	pIC50=7.7
CN(C)S(=O)(=O)c1ccc(cc1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL1172529	pIC50=7.7
COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1CC(=O)Nc4noc(C)c4C	CHEMBL2023477	pIC50=7.7
COc1cc2nccc(Oc3ccc4c(cccc4c3)C(=O)Nc5ccc(Cl)cc5)c2cc1OC	CHEMBL429743	pIC50=7.7
COc1cc2ncnc(Oc3cnn(CC(=O)Nc4ccc(cn4)N(C)C)c3)c2cc1OC	CHEMBL1940107	pIC50=7.7
CC(C)(Nc1ccccn1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3085827	pIC50=7.72
CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1	imatinib	pKd=7.72
COc1cc(ccc1OCc2ccc(cc2)C(F)(F)F)[C@H](C)n3c(N)nc4cc(cnc34)c5cnn(C)c5	CHEMBL3678297	pIC50=7.72
COc1cc(ccc1OCc2ccc(nc2)C(F)(F)F)C(C)n3c(N)nc4cc(cnc34)c5cnn(C)c5	CHEMBL3678300	pIC50=7.72
OCC(O)COCc1ccc(N2CCCCC2)c(NC(=O)c3oc(cc3)C#N)c1	CHEMBL398360	pIC50=7.72
CSc1ccn2c(cnc2c1)C(=O)Nc3cccc4c3c(nn4Cc5cccc(C)n5)C6CC6	CHEMBL3644248	pIC50=7.73
CN1CCN(CC1)c2ccc(NC(=O)c3oc(cc3)C#N)c(c2)C4=CCCCC4	CHEMBL265432	pIC50=7.75
COCCN(C)CCOc1cc2ncc(C(=O)N)c(Nc3ccc(F)c(Cl)c3)c2cc1OC	CHEMBL481222	pIC50=7.75
COc1cc(Cn2c(N)nc3cc(cnc23)c4cnn(C)c4)ccc1OCc5ccc(SC(F)(F)F)cc5	CHEMBL3678284	pIC50=7.75
COc1cc2ncc(C(=O)N)c(Nc3ccc(Cl)cc3F)c2cc1OC	CHEMBL479845	pIC50=7.75
COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3)c2cc1OC	CHEMBL517544	pIC50=7.75
Clc1ccc(Nc2nnc(Cc3ccncc3)c4ccccc24)cc1	CHEMBL101253	pKd=7.75
COc1cc2c(Nc3ccc(F)c(Cl)c3)c(cnc2cc1OCCN4CCCC4)C(=O)N	CHEMBL521422	pIC50=7.77
COc1cc2c(Nc3ccc(F)c(Cl)c3)c(cnc2cc1OCCNC4CC4)C(=O)N	CHEMBL521255	pIC50=7.77
C[C@@H](Nc1c(nnc2cc(ccc12)c3ccc(cc3)S(=O)(=O)C)C(=O)N)C4CC4	CHEMBL2333128	pIC50=7.77
O=C(Nc1cc(ccc1N2CCCCC2)N3CCCCC3)c4oc(cc4)C#N	CHEMBL249957	pIC50=7.77
O=C(Nc1ccc(cc1N2CCCCC2)N3CCCCC3)c4oc(cc4)C#N	CHEMBL398238	pIC50=7.77
Oc1ccc(N2CCCCC2)c(NC(=O)c3oc(cc3)C#N)c1	CHEMBL249747	pIC50=7.77
CC1CCN(CC1)c2cc(ccc2NC(=O)c3oc(cc3)C#N)C#CCN(C)S(=O)(=O)C	CHEMBL430214	pIC50=7.8
CN(C)c1cccc(c1)C(=O)Nc2ccc(Cl)c(c2)C(=O)Nc3cccnc3	CHEMBL516813	pIC50=7.8
COc1cc2ncc(C(=O)N)c(Nc3ccc(F)c(Cl)c3)c2cc1OC	CHEMBL482000	pIC50=7.8
COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)N5CCN(C)CC5)cc2OC)cn1	CHEMBL3673454	pIC50=7.8
COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)N5CCN(CC5)C6CC6)cc2OC)cn1	CHEMBL3673457	pIC50=7.8
CS(=O)(=O)c1ccc(cc1)c2ccc3c(Nc4ccccc4)c(cnc3c2)C(=O)N	CHEMBL250364	pIC50=7.8
FC(F)(F)c1cccc(c1)C(=O)Nc2ccc(Cl)c(c2)C(=O)Nc3cccnc3	CHEMBL510386	pIC50=7.8
NC(=O)c1cnc2cc(ccc2c1Nc3ccccc3)c4ccc(Br)cc4	CHEMBL399441	pIC50=7.8
NC(=O)c1cnc2cc(ccc2c1Nc3ccccc3)c4ccc(cc4)C(=O)N5CCCCC5	CHEMBL250161	pIC50=7.8
NC(=O)c1cnc2cc(ccc2c1Nc3ccccc3)c4ccncc4	CHEMBL249169	pIC50=7.8
Nc1ncc(c2cnn(CCO)c2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13	CHEMBL1980297	pIC50=7.8
CC1CCN(CC1)c2cc(ccc2NC(=O)c3oc(cc3)C#N)C#CCN(C)C	CHEMBL255501	pIC50=7.82
CCCCNc1ncc2C(=O)C(=CN(c3ccc4CCCc4c3)c2n1)C(=O)NOC	CHEMBL523802	pIC50=7.82
CN1C(C)(C)CC(CC1(C)C)Oc2ccc(nc2)C(=O)Nc3ccc(NC(=O)Nc4cc(on4)C(C)(C)C)cc3	CHEMBL2206277	pIC50=7.82
COc1cc2c(Nc3cccc(Cl)c3Cl)c(cnc2cc1NCCN4CCCCC4)C(=O)N	CHEMBL480813	pIC50=7.82
COc1cc2ncc(C(=O)N)c(Nc3cc(F)ccc3F)c2cc1OC	CHEMBL480825	pIC50=7.82
COc1ccc(COc2ccc(Cn3cnc4cc(ccc34)c5noc(n5)C6CCNCC6)cc2OC)cn1	CHEMBL3673465	pIC50=7.82
COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)C5=CC6(C)CCCN5C6)cc2OC)cn1	CHEMBL3673471	pIC50=7.82
CS(=O)(=O)O.OC(=Nc1cccc(Cl)c1)Nc2ncc(CCN=C3NC=Nc4ccsc34)s2	CHEMBL518051	pIC50=7.82
C[C@H](Nc1cncc(Cl)n1)c2cccc(NC(=O)c3ccnc(C)c3)c2	CHEMBL456008	pIC50=7.82
CN1CCN(Cc2ccc(Nc3ncc4C(=O)C(=CN(c5ccc6CCCc6c5)c4n3)C(=O)N)cc2)CC1	CHEMBL256893	pIC50=7.85
Clc1ccc(NC(=O)c2cccc(Br)c2)cc1C(=O)Nc3cccnc3	CHEMBL461951	pIC50=7.85
CC(C)c1ncc(NC(=O)c2cc(NC(=O)c3cccc(c3)C(F)(F)F)ccc2Cl)s1	CHEMBL472342	pIC50=7.89
CN1CCN(CC1)c2ccc(Nc3ncc4C(=O)C(=CN(c5ccc6CCCc6c5)c4n3)C(=O)N)cc2	CHEMBL414001	pIC50=7.89
COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN5CCCC5	CHEMBL491473	pKd=7.89
COc1cc2ncc(C(=O)N)c(Nc3cc(C)ccc3F)c2cc1OC	CHEMBL521248	pIC50=7.89
COc1cc2ncc(C(=O)N)c(Nc3ccc(F)c(Cl)c3)c2cc1OCCN4CCCC4	CHEMBL480646	pIC50=7.89
COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3F)c2cc1OC	CHEMBL520925	pIC50=7.89
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)C#CCCO)cc2OC)cn1	CHEMBL3678289	pIC50=7.89
COc1ccc(COc2ccc(Cn3cnc4cc(ccc34)N5CCC(CC5)C(C)(C)N)cc2OC)cn1	CHEMBL3673447	pIC50=7.89
COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)c5oc(nn5)C6CCNCC6)cc2OC)cn1	CHEMBL3673466	pIC50=7.89
O=C(Nc1ccc(CS(=O)(=O)N2CCOCC2)cc1C3=CCCCC3)c4nc(c[nH]4)C#N	CHEMBL3085985	pIC50=7.89
O=C(Nc1ccc(Cc2nnn[nH]2)cc1C3=CCCCC3)c4nc(c[nH]4)C#N	CHEMBL3085986	pIC50=7.89
CC(C)(C)c1onc(NC(=O)Nc2ccc(cc2)c3cn4c5ccc(OCCN6CCOCC6)cc5sc4n3)c1	CHEMBL576982	pKd=7.92
CC(C)Nc1c(nnc2cc(ccc12)c3ccc(cc3)S(=O)(=O)C)C(=O)N	CHEMBL2333126	pIC50=7.92
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C.O[C@@H](CC(=O)O)C(=O)O	CHEMBL1567	pIC50=7.92
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL388978	pKd=7.92
COc1cc2c(Nc3ccc(F)c(Cl)c3)c(cnc2cc1OCCN(C)C)C(=O)N	CHEMBL517069	pIC50=7.92
COc1ccc(COc2ccc(Cn3cnc4cc(ccc34)N5CC6(CCNCC6)C5)cc2OC)cn1	CHEMBL3673448	pIC50=7.92
COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)N5CCC(N)CC5)cc2OC)cn1	CHEMBL3673460	pIC50=7.92
COc1ccc(COc2ncc(Oc3nc(cnc3N)c4cnn(C)c4)cc2OC)cc1	CHEMBL1087280	pIC50=7.92
NC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(C[C@H]6COC(=O)N6)cc5)ncc4C1=O	CHEMBL273193	pIC50=7.92
CC1CCN(CC1)c2cc(ccc2NC(=O)c3oc(cc3)C#N)N4CCOCC4	CHEMBL254496	pIC50=7.96
COc1cc(ccc1O)c2cncc(N[C@@H](C)c3cccc(NC(=O)c4cccnc4)c3)n2	CHEMBL516200	pIC50=7.96
COc1cc2c(Nc3ccc(F)cc3F)c(cnc2cc1N4CCN(C)CC4)C(=O)N	CHEMBL480618	pIC50=7.96
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)c5cncnc5)cc2OC)cn1	CHEMBL3673484	pIC50=7.96
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1NC(=O)c3cccnc3	CHEMBL507803	pIC50=7.96
Cc1ncc(NC(=O)c2cc(NC(=O)c3cc(F)cc(Cl)c3)ccc2Cl)s1	CHEMBL513588	pIC50=7.96
O=C(Nc1ccc(cc1C2=CCCCC2)c3ccccn3)c4nc(c[nH]4)C#N	CHEMBL1172117	pIC50=7.96
CCN1C(C)(C)CC(CC1(C)C)Oc2ccc(nc2)C(=O)Nc3ccc(NC(=O)Nc4cc(on4)C(C)(C)C)cc3	CHEMBL2206278	pIC50=7.98
CC(C)(C)c1onc(NC(=O)Nc2ccc(NC(=O)c3cn4c5ccccc5sc4n3)cc2)c1	CHEMBL575925	pKd=8.0
CC1CCN(CC1)c2cc(ccc2NC(=O)c3oc(cc3)C#N)c4ccncc4	CHEMBL258709	pIC50=8.0
CC1CCN(CC1)c2nc(ccc2NC(=O)c3oc(cc3)C#N)N4CCN(C)CC4	CHEMBL252834	pIC50=8.0
CN1CCN(CC1)c2cc(cc(c2)C(F)(F)F)C(=O)Nc3ccc(C)c(NC(=O)c4cnoc4C)c3	CHEMBL3616960	pIC50=8.0
CN1CCN(CC1)c2ccc(Nc3ncc4C=C(C#N)C(=O)N(C5CCCC5)c4n3)cc2	CHEMBL3115681	pIC50=8.0
COc1cc(Cn2c(N)nc3cc(cnc23)c4cnn(C)c4)ccc1OCc5ccc(CC(F)(F)F)cc5	CHEMBL3678286	pIC50=8.0
COc1cc2c(Nc3ccc(F)c(Cl)c3)c(cnc2cc1OCCN(C)CCO)C(=O)N	CHEMBL481230	pIC50=8.0
COc1cc2ncc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1OC	CHEMBL516601	pIC50=8.0
COc1cc2ncc(C(=O)N)c(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCN(C)CC4	CHEMBL481402	pIC50=8.0
COc1ccc2c(Oc3ccc(CC(=O)Nc4ncc(C)s4)c(OC)c3)ccnc2c1	CHEMBL2023476	pIC50=8.0
COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OC)cc34)cn2)c1	CHEMBL1940108	pIC50=8.0
C[C@H](Nc1cncc(Cl)n1)c2cccc(NC(=O)c3cccc(c3)C(F)(F)F)c2	CHEMBL473061	pIC50=8.0
Cc1cc(C(=O)Nc2cc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)ccc2C)n(C)n1	CHEMBL2180604	pIC50=8.0
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(C)s3	CHEMBL461574	pIC50=8.0
Cc1cccc(c1)C(=O)Nc2ccc(Cl)c(c2)C(=O)Nc3cccnc3	CHEMBL454876	pIC50=8.0
Clc1cccc(c1)C(=O)Nc2ccc(Cl)c(c2)C(=O)Nc3cccnc3	CHEMBL461950	pIC50=8.0
O=C(Nc1ccc(cc1C2=CCCCC2)S(=O)(=O)N3CCOCC3)c4nc(c[nH]4)C#N	CHEMBL3086168	pIC50=8.0
COCCOCC#Cc1cc(cs1)c2n[nH]c3c2Cc4ccc(Cn5cncn5)cc34	CHEMBL223971	pIC50=8.05
COc1cc2ncc(C(=O)N)c(Nc3ccc(Cl)c(Cl)c3)c2cc1OC	CHEMBL480630	pIC50=8.05
COc1cc2ncc(C(=O)N)c(Nc3ccccc3F)c2cc1OC	CHEMBL442591	pIC50=8.05
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(on4)C(C)(C)C(F)(F)F)c3)c2cc1OC	CHEMBL2029988	pKd=8.05
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)c5ccc(F)cc5)cc2OC)cn1	CHEMBL3673482	pIC50=8.05
COc1ccc2c(Oc3ccc(CC(=O)Nc4cc(C)cc(CN(C)C)c4)c(OC)c3)ccnc2c1	CHEMBL2023494	pIC50=8.05
COc1cccc(c1)C(=O)Nc2ccc(Cl)c(c2)C(=O)Nc3cccnc3	CHEMBL461952	pIC50=8.05
C[C@H](Nc1cncc(Cl)n1)c2cccc(NC(=O)c3ccc(C)cc3)c2	CHEMBL472864	pIC50=8.05
C[C@H](Nc1cncc(Cl)n1)c2cccc(NC(=O)c3ccc(F)c(Cl)c3)c2	CHEMBL474489	pIC50=8.05
CC(C)(C)c1onc(NC(=O)Nc2ccc(NC(=O)c3cc4ccccc4cn3)cc2)c1	CHEMBL1081509	pKd=8.07
CC(C)(CN1CCOCC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3085970	pIC50=8.1
CN1CCN(CC1)c2ccc3ncc(C(=O)N)c(Nc4cccc(Cl)c4Cl)c3c2	CHEMBL480457	pIC50=8.1
CN1CCN(CC1)c2cccc(Nc3ncc4C(=O)C(=CN(c5ccc6CCCc6c5)c4n3)C(=O)N)c2	CHEMBL255584	pIC50=8.1
CN1CCN(CCc2ccc(Nc3ncc4C(=O)C(=CN(c5ccc6CCCc6c5)c4n3)C(=O)N)cc2)CC1	CHEMBL403776	pIC50=8.1
CN1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5csc(c5)C#CCOc6ccccc6)c2)CC1	CHEMBL390156	pIC50=8.1
COCCOc1cc2ncnc(Oc3cnn(CC(=O)Nc4cccc(OC)c4)c3)c2cc1OC	CHEMBL1940109	pIC50=8.1
COc1cc(Cn2c(N)nc3cc(cnc23)c4cnn(C)c4)ccc1OCc5ccc(OC(F)(F)F)cc5	CHEMBL3678283	pIC50=8.1
COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)N5CCOCC5)cc2OC)cn1	CHEMBL3673456	pIC50=8.1
COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(CC(C)(C)O)c5)cc1	CHEMBL2004290	pIC50=8.1
Cc1cc(C)cc(c1)C(=O)Nc2ccc(Cl)c(c2)C(=O)Nc3cccnc3	CHEMBL459470	pIC50=8.1
Cc1ccc(Nc2c(cnc3cc(ccc23)c4ccc(cc4)S(=O)(=O)C)C(=O)N)cc1C	CHEMBL250571	pIC50=8.1
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CC(C)(C)N)c1	CHEMBL1979577	pKi=8.1
NC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(CCN6CCOCC6)cc5)ncc4C1=O	CHEMBL404188	pIC50=8.1
NC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(cc5)C6CCNCC6)ncc4C1=O	CHEMBL257528	pIC50=8.1
O=C(Nc1ccc(cc1C2=CCCC2)C3CCNCC3)c4ncc(C#N)[nH]4	CHEMBL256950	pIC50=8.1
CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nc(cs4)c5cccnc5)c3)CC1	CHEMBL1908391	pKd=8.12
CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1	dasatinib	pIC50=8.13
CN(CCS(=O)(=O)C)C(C)(C)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCC(C)(C)CC3	CHEMBL3086323	pIC50=8.14
[O-][n+]1ccccc1c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL1172116	pIC50=8.15
CC1CN(CC(C)N1)c2ccc(Nc3ncc4C(=O)C(=CN(c5ccc6CCCc6c5)c4n3)C(=O)N)cc2	CHEMBL255794	pIC50=8.16
CCN1CCC(CC1)Oc2ccc(nc2)C(=O)Nc3ccc(NC(=O)Nc4cc(on4)C(C)(C)C)cc3	CHEMBL2203434	pIC50=8.16
CCN1CCCC(O)(C1)c2cccc(Nc3ncc4C(=O)C(=CN(c5cnc6CCCc6c5)c4n3)C(=O)NOC)c2	CHEMBL450914	pIC50=8.16
COc1cc(Cn2c(N)nc3cc(cnc23)c4cnn(C)c4)ccc1OCc5csc(n5)C(F)(F)F	CHEMBL3678287	pIC50=8.16
COc1cc2c(Nc3ccc(F)c(Cl)c3)c(cnc2cc1OCCCN4CCN(C)CC4)C(=O)N	CHEMBL481231	pIC50=8.16
COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1NCCN(C)C	CHEMBL479445	pIC50=8.16
COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1NCCN4CCOCC4	CHEMBL479446	pIC50=8.16
COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1NCCN4CCCCC4	CHEMBL481595	pIC50=8.16
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)c5ccccc5)cc2OC)cn1	CHEMBL3673481	pIC50=8.16
COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)N5CC6(CCNCC6)C5)cc2OC)cn1	CHEMBL3673459	pIC50=8.16
COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)c5noc(n5)C6CCNCC6)cc2OC)cn1	CHEMBL3673464	pIC50=8.16
COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)n5cc(nn5)C(C)(C)N)cc2OC)cn1	CHEMBL3673467	pIC50=8.16
Cc1ccc(NC(=O)c2cccc(Cl)c2)cc1C(=O)Nc3cnc(C)s3	CHEMBL462130	pIC50=8.16
Cc1ncc(NC(=O)c2cc(NC(=O)c3cc(F)cc(c3)C(F)(F)F)ccc2Cl)s1	CHEMBL459675	pIC50=8.16
Cc1ncc(NC(=O)c2cc(NC(=O)c3cccc(c3)C(F)(F)F)ccc2Cl)s1	CHEMBL462132	pIC50=8.16
NS(=O)(=O)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCCCC3	CHEMBL3086161	pIC50=8.16
OCCc1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCCCC3	CHEMBL3086173	pIC50=8.17
CN1CCN(CC1)c2ccc(NC(=O)c3oc(cc3)C#N)c(c2)N4CCCC(F)C4	CHEMBL252633	pIC50=8.2
CCOc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCN(C)CC4	CHEMBL481806	pIC50=8.22
CCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1NCCN4CCCCC4	CHEMBL480815	pIC50=8.22
COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCN(C)CC4	CHEMBL480445	pIC50=8.22
COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1OC	CHEMBL519779	pIC50=8.22
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)c5cccnc5)cc2OC)cn1	CHEMBL3673487	pIC50=8.22
COc1ccc(COc2ccc(Cn3cnc4cc(ccc34)n5cc(nn5)C6CCCNC6)cc2OC)cn1	CHEMBL3673443	pIC50=8.22
Cc1cc(C)cc(c1)C(=O)Nc2ccc(Cl)c(c2)C(=O)Nc3cnc(C)s3	CHEMBL462128	pIC50=8.22
OC(=O)CCc1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCCCC3	CHEMBL3085979	pIC50=8.23
CC(=O)N1CCN(CC(C)(C)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4)CC1	CHEMBL3085971	pIC50=8.24
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1	CHEMBL574738	pKd=8.24
CC1(C)CNc2cc(NC(=O)c3cccnc3NCc4ccncc4)ccc12	CHEMBL572881	pKd=8.25
C[C@H](O)Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(C)c5)cc4	CHEMBL3646210	pIC50=8.25
NNS(=O)(=O)CCc1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C3=CCCCC3	CHEMBL3086177	pIC50=8.25
CONC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(OC)nc5)ncc4C1=O	CHEMBL491078	pIC50=8.28
CC(C)(C(=O)N)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4	CHEMBL1967720	pKi=8.3
CC1CCN(CC1)c2cc(ccc2NC(=O)c3oc(cc3)C#N)C#CCN4CCOCC4	CHEMBL402908	pIC50=8.3
