Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC(C4CCC(F)(F)CC4)C(=O)O)c(C)c1	CHEMBL519796	pIC50=6.0
OC1CCN(CC1)C(=O)CN2C(=O)C(Cc3ccccc23)NC(=O)c4cc5cc(Cl)sc5[nH]4	CHEMBL397192	pIC50=6.15
CC(C)O\C(=C/1\C(C(=C(N=C1C)C(=O)O)C(=O)O)c2ccccc2Cl)\O	CHEMBL323707	pIC50=6.16
CC[C@H](C)[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cc(C)cc3C)C(=O)O	CHEMBL475766	pIC50=6.16
Cc1cc(Oc2ccc(C(=O)O)c(c2)C(=O)O)c(NC(=O)c3cccc(c3)[N+](=O)[O-])cc1NC(=O)c4cccc(c4)[N+](=O)[O-]	CHEMBL324770	pIC50=6.16
Cc1cccc(Cl)c1NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL453580	pIC50=6.16
OC[C@H]1CNC[C@@H](O)[C@@H]1O	CHEMBL206468	pIC50=6.16
CC(C)OCCCN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL181228	pIC50=6.17
CN(C(=O)CNC(=O)c1cc2cc(Cl)ccc2[nH]1)C(C)(C)C	CHEMBL182205	pIC50=6.17
CN(C1CC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL179438	pIC50=6.17
CNC(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL319152	pIC50=6.17
Clc1ccc2[nH]c(cc2c1)C(=O)NCC(=O)N(C3CCCC3)C4CCCC4	CHEMBL181380	pIC50=6.18
OC(=O)C[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(Cl)cccc3Cl)C(=O)O	CHEMBL471372	pIC50=6.19
Clc1ccc(NC(=O)C2CCN(CCCCCNC(=O)\C=C\c3ccc(Cl)c(Cl)c3)CC2)cc1Cl	CHEMBL373869	pIC50=6.2
CC(C)C[C@@H](OCc1ccccc1)[C@H](NC(=O)c2cc3ccccc3cc2NC(=O)Nc4c(C)cc(C)cc4C)C(=O)O	CHEMBL444032	pIC50=6.21
CC(C)C[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cccc3Cl)C(=O)O	CHEMBL460064	pIC50=6.22
Cc1cccc(Cl)c1NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](C4CCCCC4)C(=O)O	CHEMBL453311	pIC50=6.22
CCc1cccc(CC)c1NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](C4CCCCC4)C(=O)O	CHEMBL469700	pIC50=6.23
COc1c(NC(=O)c2cc3cc(Cl)ccc3[nH]2)ccc4C(O)C(F)(F)CCc14	CHEMBL505339	pIC50=6.23
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC4(CCCCCC4)C(=O)O)c(C)c1	CHEMBL481363	pIC50=6.23
CN(CCO)C(=O)CNC(=O)c1cc2cc(Cl)ccc2[nH]1	CHEMBL179486	pIC50=6.24
CNC(=O)[C@H](Cc1ccccc1)NC(=O)c2cc3sc(Cl)cc3[nH]2	CHEMBL373748	pIC50=6.24
Cc1cccc(Cl)c1NC(=O)Nc2cc3ccccc3cc2C(=O)NCC(=O)O	CHEMBL452277	pIC50=6.24
Cc1cccc(Cl)c1NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](N4CCC[C@H]4C(=O)O)C(=O)O	CHEMBL459864	pIC50=6.24
OCCN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL179563	pIC50=6.24
CC(C)(C)[C@@H]1CC[C@@H](CC1)[C@H](NC(=O)c2cc3ccccc3cc2NC(=O)Nc4c(Cl)cc(Cl)cc4Cl)C(=O)O	CHEMBL480733	pIC50=6.26
CN(Cc1ccccc1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL360287	pIC50=6.26
OCCN(CC1CCCO1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL178171	pIC50=6.26
C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1ccccc1NC(=O)Nc2c(C)cc(C)cc2C)C(=O)O	CHEMBL516369	pIC50=6.27
OC(=O)c1ccc(NC(=O)NC(=O)c2ccc(Cl)cc2Cl)cc1O	CHEMBL196014	pIC50=6.27
CCOC(=O)CN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL361006	pIC50=6.28
C[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cccc3Cl)C(=O)O	CHEMBL452276	pIC50=6.28
CCc1cc(C)c(NC(=O)Nc2cc(F)ccc2C(=O)N[C@@H](C3CCCCC3)C(=O)O)c(C)c1	CHEMBL474298	pIC50=6.29
CN(C1CCOCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL361389	pIC50=6.29
COc1cc(ccc1NC(=O)NC(=O)c2ccc(Cl)cc2Cl)C(=O)O	CHEMBL382298	pIC50=6.29
NC(CO)CN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL361645	pIC50=6.29
OC(=O)c1ccc(NC(=O)NC(=O)c2ccc(F)cc2Cl)cc1O	CHEMBL198149	pIC50=6.29
CCCC[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cc(C)cc3C)C(=O)O	CHEMBL482147	pIC50=6.3
C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1ccc(F)cc1NC(=O)Nc2c(C)cc(C)cc2C)C(=O)O	CHEMBL516038	pIC50=6.3
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC4(CCCCCCC4)C(=O)O)c(C)c1	CHEMBL481534	pIC50=6.3
Cl.OC[C@H]1NC[C@@H](O)[C@@H]1O	CHEMBL215137	pIC50=6.31
CN(CC1CC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL178253	pIC50=6.33
Clc1ccc(NC(=O)N2CCCN(CCCCCNC(=O)\C=C\c3ccc(Cl)c(Cl)c3)CC2)cc1Cl	CHEMBL375397	pIC50=6.33
CC(C)CC[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cc(C)cc3C)C(=O)O	CHEMBL516081	pIC50=6.35
CC(C)OC[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cc(C)cc3C)C(=O)O	CHEMBL473643	pIC50=6.35
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC4(CCCCCCCCC4)C(=O)O)c(C)c1	CHEMBL481535	pIC50=6.35
Cc1ccc(Oc2ccc(C(=O)O)c(c2)C(=O)O)c(NC(=O)c3cccc(c3)[N+](=O)[O-])c1	CHEMBL118326	pIC50=6.35
Cc1cccc(Cl)c1NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](Cc4ccc(O)cc4)C(=O)O	CHEMBL452026	pIC50=6.35
Clc1ccc(\C=C\C(=O)NCCSCCNC(=O)\C=C\c2ccc(Cl)c(Cl)c2)cc1Cl	CHEMBL488273	pIC50=6.35
OC(=O)c1ccc(NC(=O)NC(=O)c2cc(F)c(F)cc2Cl)c(OCC(F)(F)F)c1	CHEMBL196785	pIC50=6.35
CN(C)C(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cc3ccccc3[nH]2	CHEMBL99556	pIC50=6.36
C[C@@H](OC1CCC1)[C@H](NC(=O)c2cc3ccccc3cc2NC(=O)Nc4c(C)cc(C)cc4C)C(=O)O	CHEMBL473852	pIC50=6.36
Clc1ccc(NC(=O)N2CCN(CCCCCCNC(=O)\C=C\c3ccc(Cl)c(Cl)c3)CC2)cc1Cl	CHEMBL219730	pIC50=6.36
OC1CCc2cc(NC(=O)c3cc4cc(Cl)ccc4[nH]3)ccc12	CHEMBL458092	pIC50=6.36
OCC(O)c1cnc(NC(=O)c2cc3cc(Cl)ccc3[nH]2)cn1	CHEMBL494980	pIC50=6.36
CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c2cc3cc(F)ccc3[nH]2	CHEMBL327504	pIC50=6.37
C[C@@H](O)[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cccc3Cl)C(=O)O	CHEMBL453049	pIC50=6.37
Clc1ccc(\C=C\C(=O)NCCOCCNC(=O)\C=C\c2ccc(Cl)c(Cl)c2)cc1Cl	CHEMBL487421	pIC50=6.37
OCCN(Cc1ncc[nH]1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL178586	pIC50=6.37
C[C@@H](OCc1ccccc1)[C@H](NC(=O)c2cc3ccccc3cc2NC(=O)Nc4c(C)cc(C)cc4C)C(=O)O	CHEMBL475217	pIC50=6.38
Cc1cccc(Cl)c1NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](CC(=O)N)C(=O)O	CHEMBL452792	pIC50=6.38
Clc1ccc(\C=C\C(=O)NCCCCNC(=O)\C=C\c2ccc(Cl)c(Cl)c2)cc1Cl	CHEMBL488451	pIC50=6.38
OC(=O)c1ccc(NC(=O)NC(=O)c2ccc(Cl)cc2Cl)c(Cl)c1	CHEMBL196630	pIC50=6.38
OCC(O)c1ccc(NC(=O)c2cc3cc(Cl)ccc3[nH]2)c(F)c1	CHEMBL508747	pIC50=6.38
CN(C)C(=O)CN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL362828	pIC50=6.39
CN(C1CCS(=O)(=O)C1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL433950	pIC50=6.39
CNC(=O)c1ccc(NC(=O)NC(=O)c2ccc(Cl)cc2Cl)c(OC)c1	CHEMBL365785	pIC50=6.39
CCN1C(=C(C(C(=C1C(=O)O)C(=O)O)c2ccccc2)C(=O)OC(C)C)C	CHEMBL114858	pIC50=6.4
CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c2cc3ccccc3[nH]2	CHEMBL319165	pIC50=6.4
CS(=O)(=O)NC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL233240	pIC50=6.4
OC[C@H]1NC[C@@H](O)[C@@H]1O	CHEMBL80254	pKi=6.4
CC(C)[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cc(C)cc3C)C(=O)O	CHEMBL480765	pIC50=6.41
CNC(=O)[C@H](Cc1ccccc1)NC(=O)c2cc3scc(Cl)c3[nH]2	CHEMBL387096	pIC50=6.41
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](COC(C)(C)C)C(=O)O)c(C)c1	CHEMBL475822	pIC50=6.41
Cc1cccc(Cl)c1NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL507504	pIC50=6.41
Cc1cc(CC2CC2)cc(C)c1NC(=O)Nc3cc(F)ccc3C(=O)N[C@@H](C4CCCCC4)C(=O)O	CHEMBL474098	pIC50=6.42
COCCCN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL181723	pIC50=6.43
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](C4CCCCC4)C(=O)O)c(C)c1	CHEMBL472140	pIC50=6.43
Cc1cccc(Cl)c1NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](C(=O)O)c4cccs4	CHEMBL452278	pIC50=6.44
COc1ccccc1c2ccc(C(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O)c(NC(=O)Nc3c(C)cc(C)cc3C)c2	CHEMBL516918	pIC50=6.45
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@](C)(C4CCCCC4)C(=O)O)c(C)c1	CHEMBL482146	pIC50=6.46
OCC(CO)N(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL179609	pIC50=6.46
CCCN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL181023	pIC50=6.47
CN(C(=O)CNC(=O)c1cc2cc(Cl)ccc2[nH]1)c3ccccn3	CHEMBL181386	pIC50=6.47
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC4(CCCCC4)C(=O)O)c(C)c1	CHEMBL481507	pIC50=6.47
OCC(O)c1ccc(NC(=O)c2cc3cc(Cl)ccc3[nH]2)cc1F	CHEMBL494037	pIC50=6.47
OCCN(C1CCSC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL178357	pIC50=6.47
CN(C(=O)CNC(=O)c1cc2cc(Cl)ccc2[nH]1)c3cccnc3	CHEMBL181626	pIC50=6.48
O[C@H]([C@H](Cc1ccccc1)NC(=O)c2cc3cc(Cl)ccc3[nH]2)C(=O)O	CHEMBL317861	pIC50=6.48
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](C4CCCC4)C(=O)O)c(C)c1	CHEMBL513400	pIC50=6.49
CN(C1CCCCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL361998	pIC50=6.5
Clc1ccc(NC(=O)N2CCN(CCCNC(=O)\C=C\c3ccc(Cl)c(Cl)c3)CC2)cc1Cl	CHEMBL223087	pIC50=6.5
OC(=O)[C@@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(Cl)cccc3Cl)C4CCCCC4	CHEMBL516945	pIC50=6.5
OC1CCCc2cc(NC(=O)c3cc4cc(Cl)ccc4[nH]3)ccc12	CHEMBL457877	pIC50=6.5
OCCN(Cc1ccccc1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL179132	pIC50=6.5
O[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL386015	pIC50=6.5
CC[C@@H](OCc1ccccc1)[C@H](NC(=O)c2cc3ccccc3cc2NC(=O)Nc4c(C)cc(C)cc4C)C(=O)O	CHEMBL475378	pIC50=6.51
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](CCC(C)(C)C)C(=O)O)c(C)c1	CHEMBL475639	pIC50=6.51
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@H](C(=O)O)C(C)(C)C)c(C)c1	CHEMBL475764	pIC50=6.51
[O-][S+](CCNC(=O)\C=C\c1ccc(Cl)c(Cl)c1)CCNC(=O)\C=C\c2ccc(Cl)c(Cl)c2	CHEMBL488274	pIC50=6.51
CN1C(=O)C(CCc2ccccc12)NC(=O)c3cc4cc(Cl)ccc4[nH]3	CHEMBL342364	pIC50=6.52
CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cccc(c4[nH]3)[N+](=O)[O-]	CHEMBL138822	pIC50=6.52
CNC(=O)c1ccc(OC)c(NC(=O)NC(=O)c2ccc(Cl)cc2Cl)c1	CHEMBL194893	pIC50=6.52
COc1cc(ccc1NC(=O)NC(=O)c2ccc(F)cc2Cl)C(=O)N	CHEMBL197722	pIC50=6.52
CO[C@H](C)[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cc(C)cc3C)C(=O)O	CHEMBL473828	pIC50=6.53
CC(C)(C)N(CCO)C(=O)CNC(=O)c1cc2cc(Cl)ccc2[nH]1	CHEMBL360993	pIC50=6.54
CC[C@H](C)[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cccc3Cl)C(=O)O	CHEMBL453312	pIC50=6.55
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC4(CCCC4)C(=O)O)c(C)c1	CHEMBL480368	pIC50=6.55
OC(=O)[C@@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(Cl)cc(OC(F)(F)F)cc3Cl)C4CCCCC4	CHEMBL480195	pIC50=6.56
Cc1cccc(Cl)c1NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@H](N[C@@H](Cc4cc5ccccc5[nH]4)C(=O)O)C(=O)O	CHEMBL508123	pIC50=6.57
CN(C)C(=O)[C@@H](Cc1ccccc1)NC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL316598	pIC50=6.59
Clc1ccc(\C=C\C(=O)NCCCCCNC(=O)\C=C\c2ccc(Cl)c(Cl)c2)cc1Cl	CHEMBL474520	pIC50=6.59
OC(=O)CN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL181553	pIC50=6.59
OC(=O)C[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(Cl)ncc4[nH]3	CHEMBL1084761	pIC50=6.59
OC1CCN(CC1)C(=O)[C@H](Cc2ccccc2)NC(=O)c3cc4cc(Cl)ccc4[nH]3	CHEMBL317410	pIC50=6.59
OCCN(Cc1occc1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL427311	pIC50=6.59
CN(C1CCN(C1)C=O)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL178569	pIC50=6.6
COc1cc(ccc1NC(=O)NC(=O)c2cc(F)c(F)cc2Cl)c3n[nH]c(C)n3	CHEMBL381443	pIC50=6.6
OC(=O)c1ccc(Oc2ccc(Br)cc2NC(=O)c3cccc(c3)[N+](=O)[O-])cc1C(=O)O	CHEMBL333866	pIC50=6.6
OC(=O)c1ccc(Oc2cccc(F)c2NC(=O)c3cccc(c3)[N+](=O)[O-])cc1C(=O)O	CHEMBL133745	pIC50=6.6
OCC(O)c1ccc(NC(=O)c2cc3cc(Cl)ccc3[nH]2)nc1	CHEMBL494811	pIC50=6.6
OCCN(C1CCOCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL178906	pIC50=6.6
Clc1ccc2[nH]c(cc2c1)C(=O)N[C@H]3CCc4ccccc4NC3=O	CHEMBL136712	pIC50=6.62
OC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)ccc4[nH]3	CHEMBL232628	pIC50=6.63
CC(C)CN(C)C(=O)CNC(=O)c1cc2cc(Cl)ccc2[nH]1	CHEMBL181996	pIC50=6.64
CCCc1cc(C)c(NC(=O)Nc2cc(F)ccc2C(=O)N[C@@H](C3CCCCC3)C(=O)O)c(C)c1	CHEMBL474297	pIC50=6.64
OCCOCCN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL178497	pIC50=6.64
CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL390701	pIC50=6.65
OC(=O)[C@@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(Cl)cc(Cl)cc3Cl)C4CCCCC4	CHEMBL512527	pIC50=6.65
CNC(=O)[C@@H](Cc1ccccc1)NC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL98891	pIC50=6.66
CC(C)N(CCO)C(=O)CNC(=O)c1cc2cc(Cl)ccc2[nH]1	CHEMBL360236	pIC50=6.68
CC(CCO)N(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL178288	pIC50=6.68
CCN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL361780	pIC50=6.68
CN(C(=O)CNC(=O)c1cc2cc(Cl)ccc2[nH]1)c3ccccc3	CHEMBL179127	pIC50=6.68
COC(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL319854	pIC50=6.68
COCCN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL178160	pIC50=6.68
COc1cc(ccc1NC(=O)NC(=O)c2ccc(F)cc2Cl)C(=O)O	CHEMBL197090	pIC50=6.68
OCCN(C1CCCCCCCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL179368	pIC50=6.68
CNC(=O)c1ccc(Cl)c(NC(=O)NC(=O)c2ccc(Cl)cc2Cl)c1	CHEMBL194840	pIC50=6.7
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC(C4CCC(=O)CC4)C(=O)O)c(C)c1	CHEMBL473421	pIC50=6.7
OCCN(C1CC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL180666	pIC50=6.7
Clc1sc2cc([nH]c2c1Cl)C(=O)NC3Cc4ccccc4C3	CHEMBL218462	pIC50=6.71
Fc1ccc(C(=O)NC(=O)Nc2ccc(cc2Cl)c3nn[nH]n3)c(Cl)c1	CHEMBL198229	pIC50=6.72
CCCc1cc(C)c(NC(=O)Nc2cc(ccc2C(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O)c3ccc(F)c(F)c3)c(C)c1	CHEMBL443938	pIC50=6.74
CC(C)CN(CCO)C(=O)CNC(=O)c1cc2cc(Cl)ccc2[nH]1	CHEMBL361860	pIC50=6.75
CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(ccc4[nH]3)C#N	CHEMBL137196	pIC50=6.75
CN(C)C(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cc3cc(F)ccc3[nH]2	CHEMBL99597	pIC50=6.77
CN(C1CCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL178256	pIC50=6.77
COCCC([C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3)C(=O)O	CHEMBL1084328	pIC50=6.77
C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1ccc(cc1NC(=O)Nc2c(C)cc(C)cc2C)c3ccc(F)c(F)c3)C(=O)O	CHEMBL512725	pIC50=6.77
Clc1ccc(NC(=O)N2CCCN(CCCCNC(=O)\C=C\c3ccccc3)CC2)cc1Cl	CHEMBL220976	pIC50=6.77
OC(=O)c1ccc(Oc2cc3ccccc3cc2NC(=O)c4ccccn4)cc1C(=O)O	CHEMBL133109	pIC50=6.78
CN(C)C(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL232830	pIC50=6.79
CSCCN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3	CHEMBL395707	pIC50=6.79
CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4ccccc4[nH]3	CHEMBL136218	pIC50=6.8
CNC(=O)Nc1ccc(Cl)c(NC(=O)NC(=O)c2ccc(Cl)cc2Cl)c1	CHEMBL372673	pIC50=6.8
COc1cc(C(=O)O)c(O)cc1NC(=O)NC(=O)c2ccc(F)cc2Cl	CHEMBL194839	pIC50=6.8
C[C@@H](OC1(C)CCCC1)[C@H](NC(=O)c2cc3ccccc3cc2NC(=O)Nc4c(C)cc(C)cc4C)C(=O)O	CHEMBL474193	pIC50=6.8
Clc1ccc2[nH]c(cc2c1)C(=O)NC3Cc4ccccc4N(Cc5n[nH]c(n5)c6ncc[nH]6)C3=O	CHEMBL342032	pIC50=6.8
OC(=O)C[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(F)ccc4[nH]3	CHEMBL1083943	pIC50=6.8
OC(=O)c1ccc(NC(=O)NC(=O)c2ccc(F)cc2Cl)c(Cl)c1	CHEMBL370119	pIC50=6.8
OCCN(CC1CC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL181455	pIC50=6.8
