CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C	boceprevir	pIC50=7.12	pIC50=7.12	pIC50=7.12
COc1cc(O)c2C(=O)c3cccc(O)c3N(C)c2c1OC	CHEMBL451705	pKi=6.0
Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1	CHEMBL565079	pIC50=6.4
Clc1cccc(C[C@H](NC(=O)C2=CCCCC2)C(=O)NCC#N)c1	CHEMBL561725	pIC50=6.4
[O-][N+](=O)c1ccc2Nc3ccc(OCc4ccccc4)cc3C(=O)c2c1	CHEMBL2042470	pKi=6.4
CCCC[C@H](NC(=O)OC1C2CC3CC(CC1C3)C2)C(=O)C(=O)N[C@H](C)c4ccccc4	CHEMBL197509	pIC50=6.41
CCCC[C@H](NC(=O)O[C@H]1CCCc2ccccc12)C(=O)C(=O)N[C@H](C)c3ccccc3	CHEMBL195963	pIC50=6.47
CCCC[C@H](NC(=O)O[C@H]1CCc2ccccc12)C(=O)C(=O)N[C@H](C)c3ccccc3	CHEMBL196240	pIC50=6.54
Cc1nc(C)c(s1)C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N	CHEMBL551060	pIC50=6.6
CCn1cnc2c(Nc3cc(F)cc(F)c3)nc(nc12)C#N	CHEMBL567341	pIC50=6.62
Cl[C@H]1CN([C@H]2[C@@H]1OCC2=O)C(=O)[C@@H](NC(=O)c3cccc(c3)n4cnnn4)C5CCCCC5	CHEMBL3648405	pKi=6.62
COc1c(O)c2C(=O)c3cccc(O)c3N(C)c2c(OC)c1OC	CHEMBL1668599	pKi=6.7
Cc1cc(C)cc(c1)C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N	CHEMBL559238	pIC50=6.7
Clc1cccc(C[C@H](NC(=O)c2cccc(Cl)c2)C(=O)NCC#N)c1	CHEMBL551805	pIC50=6.7
Cn1nc(cc1C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N)C(C)(C)C	CHEMBL564131	pIC50=6.7
CCCC[C@H](NC(=O)OC1CC2CCC1C2)C(=O)C(=O)N[C@H](C)c3ccccc3	CHEMBL196298	pIC50=6.72
Fc1cc(F)cc(Nc2nc(NC3CCCC3)nc(n2)C#N)c1	CHEMBL568171	pIC50=6.74
CCCC[C@H](NC(=O)OC1C2(C)CCC(C2)C1(C)C)C(=O)C(=O)N[C@H](C)c3ccccc3	CHEMBL193582	pIC50=6.75
CCCC[C@H](NC(=O)O[C@H](Cn1ccc(n1)c2ccc(cc2)C(F)(F)F)C(C)(C)C)C(=O)C(=O)Nc3ccn[nH]3	CHEMBL234367	pIC50=6.77
Cl[C@H]1CN([C@H]2[C@@H]1OCC2=O)C(=O)[C@@H](NC(=O)c3cccc(c3)n4ccnc4)C5CCCCC5	CHEMBL3648411	pKi=6.77
Cn1cc(cn1)c2cccc(C[C@H](NC(=O)c3cc(nn3C)C(C)(C)C)C(=O)NCC#N)c2	CHEMBL563471	pIC50=6.8
O=C(NCC#N)[C@H](Cc1cccc(c1)c2ocnn2)NC(=O)c3ccccc3	CHEMBL564626	pIC50=6.8
O=C1O[C@@H]2CN1CC[C@@H]2Oc3ccccc3	CHEMBL230474	pIC50=6.8
Cc1cccc(O[C@H]2CCN3C[C@H]2OC3=O)c1C	CHEMBL390474	pIC50=6.88
CCCC[C@H](NC(=O)O[C@H](Cn1cnc(c1)c2ccc(cc2)C(F)(F)F)C(C)(C)C)C(=O)C(=O)Nc3ccn[nH]3	CHEMBL191584	pIC50=6.89
Cl[C@H]1CN([C@H]2[C@@H]1OCC2=O)C(=O)[C@@H](NC(=O)c3ccccc3)C4CCCCC4	CHEMBL3648398	pKi=7.0
Cn1nc(cc1C(=O)N[C@@H](Cc2cccc(c2)c3oc(CCN)nn3)C(=O)NCC#N)C(C)(C)C	CHEMBL555122	pIC50=7.0
CC(C)[C@H](N[C@@H](c1ccc(cc1)c2ccc(cc2)C3(CC3)C(=O)N)C(F)(F)F)C(=O)N[C@@H](Cc4ccc(cc4F)C#N)C#N	CHEMBL1288531	pIC50=7.1
CCCC[C@H](NC(=O)O[C@@H]1C(=O)OCC1(C)C)C(=O)C(=O)N[C@H](C)c2ccccc2	CHEMBL196896	pIC50=7.1
CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC3CCC3)C(=O)C(=O)N)C2(C)C)C(C)(C)C	CHEMBL218394	pIC50=7.13
CC(C)[C@H](N[C@@H](c1ccc(cc1)c2ccc(cc2)[C@@H](O)C(F)F)C(F)(F)F)C(=O)N[C@@H](Cc3ccc(cc3F)C#N)C#N	CHEMBL1288532	pIC50=7.16
O=C(NCC#N)[C@H](Cc1cccc(c1)c2cccnn2)NC(=O)c3ccccc3	CHEMBL556436	pIC50=7.2
Cn1nc(cc1C(=O)N[C@@H](Cc2cccc(c2)c3oc(CN)nn3)C(=O)NCC#N)C(C)(C)C	CHEMBL557455	pIC50=7.4
CC(NC(=O)c1ccc(OCc2ccccn2)c(c1Cl)C(F)(F)F)C(=O)C(=O)Nc3ccn(C)n3	CHEMBL1289644	pIC50=7.44
CCC(NC(=O)c1cccc(c1Cl)C(F)(F)F)C(=O)C(=O)Nc2cc[nH]n2	CHEMBL1289305	pIC50=7.53
CCCC[C@H](NC(=O)O[C@@H]1C(=O)NCC1(C)C)C(=O)C(=O)N[C@H](C)c2ccccc2	CHEMBL194068	pIC50=7.54
CC(C)[C@H](N[C@@H](c1ccc(cc1)c2ccc(cc2)S(=O)(=O)C)C(F)(F)F)C(=O)N[C@@H](Cc3ccc(cc3F)C#N)C#N	CHEMBL1288530	pIC50=7.55
O=C(NCC#N)[C@H](Cc1cccc(c1)c2nncs2)NC(=O)c3ccccc3	CHEMBL559880	pIC50=7.6
Cn1nc(cc1C(=O)N[C@@H](Cc2cccc(c2)c3ocnn3)C(=O)NCC#N)C(C)(C)C	CHEMBL562915	pIC50=7.7
CCC(NC(=O)c1ccc(OCc2ccccn2)c(c1Cl)C(F)(F)F)C(=O)C(=O)Nc3ccn(C)n3	CHEMBL1289645	pIC50=7.78
Cn1nc(cc1C(=O)N[C@@H](Cc2cccc(c2)c3oc(CO)nn3)C(=O)NCC#N)C(C)(C)C	CHEMBL549791	pIC50=8.1
Cc1oc(nn1)c2cccc(C[C@H](NC(=O)c3cc(nn3C)C(C)(C)C)C(=O)NCC#N)c2	CHEMBL550872	pIC50=8.2
Cn1nc(cc1C(=O)N[C@@H](Cc2cccc(c2)c3nncs3)C(=O)NCC#N)C(C)(C)C	CHEMBL549378	pIC50=8.2
Cc1nnc(s1)c2cccc(C[C@H](NC(=O)c3cc(nn3C)C(C)(C)C)C(=O)NCC#N)c2	CHEMBL562844	pIC50=8.5
COCc1oc(nn1)c2cccc(C[C@H](NC(=O)c3cc(nn3C)C(C)(C)C)C(=O)NCC#N)c2	CHEMBL554065	pIC50=8.7
CC(C)C[C@H](NC(=O)c1oc2ccccc2c1)C(=O)N[C@H]3CCCN(CC3=O)S(=O)(=O)c4ccccn4	CHEMBL286364	pKi=8.75
CC(C)C[C@H](NC(=O)c1oc2ccccc2c1)C(=O)N[C@H]3CC[C@@H](C)N(CC3=O)S(=O)(=O)c4ccccn4	CHEMBL203665	pKi=10.2
