NC1=CC(F)=CC=C1NC(=O)C1=CC=C(CNC(=O)\C=C\C2=CC=CN=C2)C=C1	chidamide	pIC50=7.0222764	pIC50=7.0222764	pIC50=7.0222764
[H][C@]12CC(=O)N[C@]([H])(C(C)C)C(=O)N[C@]([H])(CSSCC\C=C\1)C(=O)N\C(=C/C)C(=O)N[C@@]([H])(C(C)C)C(=O)O2	romidepsin	pIC50=6.55
Nc1ccccc1NC(=O)\C=C\c2ccc(cc2)c3oc(Cc4cccc5ccccc45)nn3	CHEMBL3314864	pIC50=6.0
Nc1ccccc1NC(=O)c2ccc(CC3COc4ccccc4C3)cc2	CHEMBL238569	pIC50=6.0
Nc1ccccc1NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2	CHEMBL27759	pIC50=6.0
Nc1ccccc1NC(=O)c2ccc(CNCc3ccc(cc3)c4cccs4)cc2	CHEMBL1163887	pIC50=6.0
Nc1ccccc1NC(=O)c2ccc(CNc3nc4ccc(OCCN5CCOCC5)cc4s3)cc2	CHEMBL254519	pEC50=6.0
Nc1ccccc1NC(=O)c2ccc(CNc3nc4ccccc4[nH]3)cc2	CHEMBL403466	pEC50=6.0
Nc1ccccc1NC(=O)c2ccc(CNc3oc4ccc(Cl)cc4n3)cc2	CHEMBL254111	pEC50=6.0
Nc1ccccc1NC(=O)c2ccc(NCC(=O)Nc3ccc(Cl)cc3)cc2	CHEMBL2035390	pIC50=6.0
Nc1ccccc1NC(=O)c2ccc(\C=C\C(=O)NCCc3c[nH]c4ccccc34)cc2	CHEMBL270097	pIC50=6.0
OC(=O)CCCCC[C@@H]1NC(=O)[C@H](Cc2c(F)c(F)c(F)c(F)c2F)NC(=O)C[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](Cc4cccc5ccccc45)NC1=O	CHEMBL566817	pIC50=6.0
OCc1ccc(cc1)[C@@H]2C[C@H](CSc3oc(c4ccccc4)c(n3)c5ccccc5)O[C@@H](O2)c6ccc(NC(=O)CCCCCCC(=O)NO)cc6	CHEMBL356769	pKi=6.0
ONC(=O)CCCc1ccc(NS(=O)(=O)c2ccccc2)cc1	CHEMBL97860	pIC50=6.0
ONC(=O)Cc1ccc(NS(=O)(=O)c2ccccc2)cc1	CHEMBL319248	pIC50=6.0
ONC(=O)c1ccc(CCc2ccccc2)cc1	CHEMBL541426	pIC50=6.0
ONC(=O)c1ccc(CNCCc2cccc(Cl)c2)cc1	CHEMBL472861	pIC50=6.0
CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2	CHEMBL1835422	pIC50=6.01
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N2CC3(C[C@H]2C(=O)NCCCCCC(=O)NO)SCCS3	CHEMBL1835416	pIC50=6.01
CCC[C@@H]1NC(=O)[C@H](C)NC(=O)C[C@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O	CHEMBL2063395	pIC50=6.01
CCSC(=S)SCC(=O)c1ccc(NC(=O)c2cnc3ccccc3c2)cc1	CHEMBL482075	pIC50=6.01
C[C@@]12Nc3ccccc3[C@]1(O)CCN2Cc4ccc(\C=C\C(=O)N)cc4	CHEMBL3526396	pIC50=6.01
Cc1onc(C)c1c2cc(OCCCCCCC(=O)NO)cc(c2)C(O)c3ccccc3	CHEMBL3819533	pIC50=6.01
Oc1ccc(cc1NC(=O)c2ccc(CNCCc3ccccc3)cc2)c4ccccc4	CHEMBL474693	pIC50=6.01
CCCCCCCC(=O)SCC\C=C\[C@@H]1CC(=O)NCc2occ(n2)C3=N[C@@](C)(CS3)C(=O)N[C@@H](C(C)C)C(=O)O1	CHEMBL2436594	pIC50=6.02
CCSC(=S)SCC(=O)c1ccc(CN(C)C(=O)C)cc1	CHEMBL482287	pIC50=6.02
CCn1c(C)nc2cc(\C=C\C(=O)NO)ccc12	CHEMBL3648313	pIC50=6.02
CN(CCN(C)c1ccc(cn1)C(=O)Nc2ccccc2N)C(=O)OCc3ccccc3	CHEMBL236679	pIC50=6.02
COC(=O)[C@H](Cc1ccc(cc1)c2ccc(cc2)c3ccccc3)NC(=O)CCCCCCC(=O)NO	CHEMBL259517	pIC50=6.02
COc1cccc(c1)C(=O)c2oc3ccc(\C=C\C(=O)NO)cc3c2	CHEMBL244887	pIC50=6.02
Nc1ccccc1NC(=O)c2ccc(CNc3nccc(n3)c4cccnc4)cc2	CHEMBL272980	pIC50=6.02
ONC(=O)CCCCCC1OCCCCCOc2ccccc2NC1=O	CHEMBL1631910	pIC50=6.02
CC(=O)CCCCC[C@H](NC(=O)C)C(=O)NCCc1c([nH]c2ccccc12)c3ccccc3	CHEMBL216336	pIC50=6.03
Nc1ccccc1NC(=O)c2ccc(CNC3=N[C@H](CS3)c4ccccc4)cc2	CHEMBL2407717	pIC50=6.03
ONC(=O)Cc1ccc(CCCCc2cccc(c2)C(F)(F)F)cc1	CHEMBL3698522	pIC50=6.03
ONC(=O)c1ccc(s1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2	CHEMBL1630118	pIC50=6.03
CC(C)(C)OC(=O)Nc1ccc(cc1)c2onc(c2)C(=O)NCC(=O)Nc3ccc(cc3)c4onc(c4)C(=O)NO	CHEMBL466459	pIC50=6.04
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)Cc4ccccc4c5cn(CCCCCCC(=O)NO)nn5)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	CHEMBL3735183	pIC50=6.04
CN1C(CCNC(=O)Cc2ccccc2)Nc3cc(\C=C\C(=O)NO)ccc13	CHEMBL3648300	pIC50=6.04
COc1ccc(cc1)c2noc(CCCCCCC(=O)Nc3ccccc3N)n2	CHEMBL3585971	pIC50=6.04
FC(F)(F)C(=O)c1ccc(s1)c2ccc3nccnc3c2	CHEMBL571505	pIC50=6.04
Nc1ccccc1NC(=O)c2ccc(CNC3=N[C@@H](Cc4ccccc4)CS3)cc2	CHEMBL2407720	pIC50=6.04
ONC(=O)\C=C\c1ccc(NC(=O)Nc2cccc3ccccc23)cc1	CHEMBL3698510	pIC50=6.04
ONC(=O)c1cnc(NC2c3ccccc3c4ccccc24)nc1	CHEMBL3655988	pIC50=6.04
[O-][N+](=O)c1ccc(cc1)c2nn(cc2\C=C/C(=O)Nc3ccccc3)c4ccccc4	CHEMBL2047617	pIC50=6.04
CC(=O)Nc1ccc(cc1)C(=O)Nc2ccccc2N	CHEMBL235191	pIC50=6.05
CC(C)(C)OC(=O)N[C@@H](CCCCCS)C(=O)NC1CCCCCC1	CHEMBL379049	pIC50=6.05
CC(C)(Nc1ncc(cn1)C(=O)NO)c2ccc(cc2)C(F)(F)F	CHEMBL3655951	pIC50=6.05
CC(C)[C@H]1NC(=O)C[C@@H](CCCCCC(=O)O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](C)NC1=O	CHEMBL3352995	pKi=6.05
CC(C)[C@H]1NC(=O)C[C@@H](CCCCCC(=O)O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](C)NC1=O	CHEMBL3352993	pKi=6.05
CCCn1cnc2cc(\C=C\C(=O)NO)ccc12	CHEMBL3648271	pIC50=6.05
CCSC(=S)SCC(=O)c1ccc(CC(=O)NCc2ccc(OC)cc2)s1	CHEMBL516915	pIC50=6.05
CN(Cc1ccccc1)C(=O)c2ccc(s2)C(=O)C(F)(F)F	CHEMBL462209	pIC50=6.05
COc1ccc(cc1)C2(CCCCC2)Nc3ncc(cn3)C(=O)NO	CHEMBL3655991	pIC50=6.05
C[C@H]1C[C@@H](Nc2ccccc2)c3cc(NC(=O)CCCCCCC(=O)NO)ccc3N1C(=O)C	CHEMBL3220925	pIC50=6.05
Nc1ccccc1NC(=O)CCCNCC(=O)Nc2ccc(cc2)[N+](=O)[O-]	CHEMBL2035382	pIC50=6.05
Nc1ccccc1NC(=O)c2ccc(CNCc3ccc(cc3)c4ccccc4)cc2	CHEMBL1165443	pIC50=6.05
ONC(=O)CCCCCNC(=O)c1ccc(cc1)c2ccc(cc2)c3cc(O)cc(O)c3	CHEMBL3335367	pIC50=6.05
ONC(=O)CCc1ccc(CCCCc2ccccc2)cc1	CHEMBL3698514	pIC50=6.05
ONC(=O)\C=C\c1ccc(NS(=O)(=O)c2ccc(cc2)[N+](=O)[O-])cc1	CHEMBL95680	pIC50=6.05
ONC(=O)\C=C\c1ccc2NCNc2c1	CHEMBL3648299	pIC50=6.05
ONC(=O)c1cc(CCCCC(=O)Nc2ccc(cc2)c3ccccc3)on1	CHEMBL468527	pIC50=6.05
ONC(=O)c1ccc(CCSc2ccccc2)cc1	CHEMBL3698496	pIC50=6.05
ONC(=O)c1ccc(NS(=O)(=O)c2ccccc2)cc1	CHEMBL98345	pIC50=6.05
CCCCCCc1nc2cc(\C=C\C(=O)NO)ccn2c1NCCC(=O)N(C)C	CHEMBL3689790	pIC50=6.06
COc1cc(Br)c(Cn2cc(CCCCC(=O)NO)nn2)cc1OC	CHEMBL2381743	pIC50=6.06
COc1ccc(cc1)c2cc([nH]c2C(=O)NCc3ccc(cc3)C(=O)Nc4ccccc4S)c5ccccc5	CHEMBL3670667	pIC50=6.06
COc1ccc2c(c1)cc(C(=O)c3ccc(\C=C\C(=O)NO)cc3)n2S(=O)(=O)c4ccccc4	CHEMBL244040	pIC50=6.06
FC(F)(F)C(=O)c1ccc(s1)C(=O)NCCc2ccccc2	CHEMBL523588	pIC50=6.06
Nc1ccccc1NC(=O)CCCCCCc2onc(n2)c3ccc(F)cc3	CHEMBL3585973	pIC50=6.06
ONC(=O)CCCCCNC(=O)NC(=O)c1ccc(Br)cc1	CHEMBL1083086	pIC50=6.06
ONC(=O)CCCCCNC(=O)NC(=O)c1ccc(I)cc1	CHEMBL1083088	pIC50=6.06
ONC(=O)\C=C\c1ccc2c(c1)nc(CCc3ccccc3)n2CCc4ccccc4	CHEMBL489124	pIC50=6.06
ONC(=O)\C=C\c1ccn2cc(nc2c1)c3ccccc3	CHEMBL3689794	pIC50=6.06
SCCCCCCC(=O)NC1CCCC1	CHEMBL3356930	pIC50=6.06
Fc1ccc(cc1)c2onc(c2)C(=O)NCCCCCCS	CHEMBL3759880	pIC50=6.07
NS(=O)(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc2nc(c3ccccc3)c(s2)c4ccccc4	CHEMBL475043	pIC50=6.07
OCCCn1c(nc2cc(\C=C\C(=O)NO)ccc12)c3ccncc3	CHEMBL3645374	pIC50=6.07
CC(C)(C)OC(=O)Nc1cccc(c1)c2onc(c2)C(=O)NCCCCC(=O)NO	CHEMBL469275	pIC50=6.08
CC(NC(=O)c1ccc(s1)C(=O)C(F)(F)F)c2cccc3ccccc23	CHEMBL485967	pIC50=6.08
CCCCCCc1nc2cc(\C=C\C(=O)NO)ccn2c1NCCC(=O)N(CCC)CCO	CHEMBL3689793	pIC50=6.08
CCSC(=S)SCC(=O)c1ccc(s1)c2ccc(N)cn2	CHEMBL481878	pIC50=6.08
ONC(=O)Cc1ccc(CCCCc2ccccc2C(F)(F)F)cc1	CHEMBL3698523	pIC50=6.08
ONC(=O)\C=C\c1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1	CHEMBL552465	pIC50=6.08
CCCCCCCC(=O)SCC\C=C\[C@@H]1CC(=O)NCc2cc(ccn2)C3=N[C@@](C)(CS3)C(=O)N[C@@H](C(C)C)C(=O)N1	CHEMBL3593414	pIC50=6.09
CCCCCCCCSSCC\C=C\[C@@H]1CC(=O)N[C@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@H](C(C)C)C(=O)NCC(=O)O1	CHEMBL3628320	pIC50=6.09
C[C@@H]1CN(C[C@H](C)N1)c2ccc(cn2)C(=O)Nc3ccccc3N	CHEMBL538906	pIC50=6.09
Nc1ccccc1NC(=O)CCCCCCc2onc(n2)c3cccc(c3)[N+](=O)[O-]	CHEMBL3585977	pIC50=6.09
O=C(CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](Cc4ccccc4)NC1=O)C5CO5	CHEMBL274445	pEC50=6.09
ON(CCCCCCCC(=O)Nc1ccc2ccccc2c1)C=O	CHEMBL141909	pIC50=6.09
ONC(=O)CCCCc1cn(Cc2ccccc2Cn3cc(CCCCC(=O)NO)nn3)nn1	CHEMBL2381744	pIC50=6.09
ONC(=O)c1cnc(NC2CCOCC2)nc1	CHEMBL3655981	pIC50=6.09
CC(C)(Nc1ncc(cn1)C(=O)NO)c2ccc(cc2F)C(F)(F)F	CHEMBL3655963	pIC50=6.1
CN(C)C(=O)N(Cc1ccc(cc1)C(=O)Nc2ccccc2N)Cc3ccc(cc3)c4cccs4	CHEMBL1165774	pIC50=6.1
COc1cc(OC)cc(\C=C\c2ccc(OC)c(NC(=O)CCCCCCC(=O)NO)c2)c1	CHEMBL3335369	pIC50=6.1
NS(=O)(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)c2csc(n2)c3ccccc3	CHEMBL492312	pIC50=6.1
NS(=O)(=O)c1ccc(cc1)S(=O)(=O)Nc2ccc(\C=C\C(=O)NO)cc2	CHEMBL95749	pIC50=6.1
Nc1ccccc1NC(=O)c2ccc(CN(CCO)Cc3ccc(cc3)c4cccs4)cc2	CHEMBL1163973	pIC50=6.1
Nc1ccccc1NC(=O)c2ccc(CSc3nc4ccc(NCc5cccnc5)cc4s3)cc2	CHEMBL403695	pIC50=6.1
Nc1ccccc1NC(=O)c2ccc(cc2)C(=O)Nc3ccc4c(Nc5cccc(c5)C#C)ncnc4c3	CHEMBL3217996	pIC50=6.1
ONC(=O)\C=C\c1ccc(\C=N\OCc2ccc(cc2)[N+](=O)[O-])cc1	CHEMBL471042	pIC50=6.1
ONC(=O)\C=C\c1ccc(cc1)c2oc(Cc3cccc4ccccc34)nn2	CHEMBL3314859	pIC50=6.1
ONC(=O)\C=C\c1ccc2CN(Cc2c1)S(=O)(=O)C3CC3	CHEMBL1808628	pIC50=6.1
ONC(=O)\C=C\c1ccc2nc(CCc3ccccc3)c(Nc4ccc(cc4)N5CCCCC5)n2c1	CHEMBL3689764	pIC50=6.1
SCCCCCC(=O)Nc1ccccc1	CHEMBL109654	pIC50=6.1
CCCCCCc1nc2ccc(\C=C\C(=O)NO)cn2c1NCCC(=O)NCCN(C)C	CHEMBL3689779	pIC50=6.11
CN(Cc1c(C)nc2cc(\C=C\C(=O)NO)ccn12)CC(C)(C)C	CHEMBL3689861	pIC50=6.11
Nc1ccc(cc1NC(=O)c2ccc(CNC(=O)OCc3cccc(c3)N=[N+]=[N-])cc2)c4ccccc4	CHEMBL2057820	pIC50=6.11
CC(C)(Nc1ncc(cn1)C(=O)NO)c2ccc(F)cc2	CHEMBL3639548	pIC50=6.12
CC1(C)NC(=O)C[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc4cccc5ccccc45)NC(=O)[C@H](CCCCCC(=O)O)NC1=O	CHEMBL567457	pIC50=6.12
CC1=Nc2cc(\C=C\C(=O)NO)ccc2C(=O)N1CCc3c[nH]c4ccccc34	CHEMBL2425959	pIC50=6.12
CCSC(=S)SCC(=O)c1ccc(CC(=O)NCc2ccccc2)s1	CHEMBL479971	pIC50=6.12
COCCNc1c(CC(C)CC(C)(C)C)nc2ccc(\C=C\C(=O)NO)cn12	CHEMBL3689775	pIC50=6.12
Cc1onc(C)c1c2cc(NC(=O)CCCCC(=O)NO)cc(c2)C(=O)c3ccccc3	CHEMBL3818971	pIC50=6.12
Nc1ccccc1NC(=O)CCCCCCc2onc(n2)c3cccs3	CHEMBL3585978	pIC50=6.12
Nc1ccccc1NC(=O)c2ccc(cc2)C(=O)Nc3cccc(Nc4ncc(cn4)c5cccnc5)c3	CHEMBL473826	pIC50=6.12
CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N3CC4(C[C@H]3C(=O)NCCCCCC(=O)NO)SCCS4	CHEMBL1835420	pIC50=6.13
CN1C(=O)[C@H](O)N=C(c2ccccc2)c3cc(ccc13)C#CCCCC(=O)NO	CHEMBL2408689	pIC50=6.13
COc1cc2ncnc(Nc3ccc(cc3)C(=O)Nc4ccccc4N)c2cc1OCCCN5CCOCC5	CHEMBL3700342	pIC50=6.13
Nc1ccccc1NC(=O)c2ccc(CNCOC(=O)c3cccnc3)cc2	CHEMBL514671	pIC50=6.13
ONC(=O)CCCc1ccc(CCCCc2ccccc2)cc1	CHEMBL3698515	pIC50=6.13
ONC(=O)\C=C\c1ccc(NS(=O)(=O)Cc2ccccc2)cc1	CHEMBL3698501	pIC50=6.13
ONC(=O)c1ccc(CNC(=O)c2[nH]c(cc2c3cocc3)c4ccc(O)cc4)cc1	CHEMBL3670661	pIC50=6.13
CC(=O)CCCCC[C@H](Nc1cncs1)C(=O)Nc2cccc(c2)c3ccccc3	CHEMBL272403	pIC50=6.14
CCCCNc1c(CCCC)nc2ccc(\C=C\C(=O)NO)cn12	CHEMBL3689773	pIC50=6.14
CCCSC(=S)SCC(=O)c1ccc(s1)C(=O)N[C@H](C)c2ccccc2	CHEMBL510856	pIC50=6.14
COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)CCCCC(=O)NO	CHEMBL2385954	pIC50=6.14
COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(=O)C)C(=O)NCCc3c([nH]c4ccccc34)c5ccccc5)c2c1	CHEMBL412598	pIC50=6.14
ONC(=O)CCCCCC(c1c[nH]c2ccccc12)c3c[nH]c4ccccc34	CHEMBL564876	pIC50=6.14
ONC(=O)CCCCc1ccn(Cc2cccc(Oc3ccccc3)c2)n1	CHEMBL3335302	pIC50=6.14
ONC(=O)\C=C\C=C\CC\C=C\c1ccc2OCOc2c1	CHEMBL1808673	pIC50=6.14
ONC(=O)\C=C\c1ccc2nc(CCc3ccccc3)c(Nc4ccc5OCOc5c4)n2c1	CHEMBL3689763	pIC50=6.14
CC(C)(C)c1ccc(cc1)C(=O)NO	CHEMBL249284	pIC50=6.15
CCSC(=S)SCC(=O)c1ccc(cc1)C(=O)NCCOc2ccccc2	CHEMBL480973	pIC50=6.15
CN1CCCCC1C(=O)N[C@@H](CCCCCC(=O)C)c2ncc([nH]2)c3ccccc3	CHEMBL486568	pIC50=6.15
Nc1cccc(c1)c2onc(c2)C(=O)NCCCCC(=O)NO	CHEMBL446512	pIC50=6.15
ONC(=O)CCCCc1cn(Cc2ccc(cc2)C#N)nn1	CHEMBL2381730	pIC50=6.15
ONC(=O)c1cnc(NC2(CCCC2)c3ccccc3)nc1	CHEMBL3655965	pIC50=6.15
CC(C)[C@H]1NC(=O)C[C@H](NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@@H](C)NC1=O)\C=C\CCCC(=O)O	CHEMBL3352991	pKi=6.16
CCC(=O)CCCCC[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)CCN(CC=C(C)C)C(=O)CN(CCc2c[nH]c3ccccc23)C1=O	CHEMBL2170017	pIC50=6.16
CN1C(=O)[C@H](NC(=O)CCCCCCC(=O)NO)N=C(c2ccccc2)c3ccccc13	CHEMBL2408695	pIC50=6.16
Cc1nc(sc1CNCc2ccc(cc2)C(=O)Nc3cc(ccc3O)c4ccccc4)c5ccccc5	CHEMBL3664090	pIC50=6.16
NS(=O)(=O)NCCCC[C@H](NC(=O)Cc1ccccc1)C(=O)Nc2nc(cs2)c3ccccc3	CHEMBL514485	pIC50=6.16
Nc1ccccc1NC(=O)c2ccc(CN(CCO)Cc3ccc(cc3)c4ccccc4)cc2	CHEMBL1164063	pIC50=6.16
Nc1ccccc1NC(=O)c2ccc(CNc3ncccn3)cc2	CHEMBL271308	pIC50=6.16
Nc1ccccc1NC(=O)c2ccc(CSC3=N[C@@H](Cc4ccccc4)CO3)cc2	CHEMBL3605493	pIC50=6.16
Nc1ccccc1NC(=O)c2ccc(NCC(=O)Nc3ccc(cc3)[N+](=O)[O-])cc2	CHEMBL2035393	pIC50=6.16
ONC(=O)Cc1ccc(CCCCc2ccc(cc2)C(F)(F)F)cc1	CHEMBL3698525	pIC50=6.16
ONC(=O)Cc1ccc(s1)c2csc(NC(=O)COc3ccccc3)n2	CHEMBL270249	pIC50=6.16
ONC(=O)\C=C\c1ccc(cc1)C(=O)c2cc3ccccc3n2S(=O)(=O)c4ccccc4	CHEMBL243181	pIC50=6.16
CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2	CHEMBL1835352	pIC50=6.17
CC1(C)CC(=O)Nc2ccc(cc12)C(=O)NCc3cccc(\C=C\C(=O)NO)c3	CHEMBL3309290	pIC50=6.17
CCC[C@@H]1NC(=O)[C@H](C)NC(=O)C[C@H](CC(C)C)NC(=O)[C@H](Cc2cn(CN(C)C)c3ccccc23)NC1=O	CHEMBL2063396	pIC50=6.17
CCSC(=S)SCC(=O)c1cccc(c1)C(=O)NCc2ccccc2	CHEMBL451289	pIC50=6.17
COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(=O)C)c3nc4ccc(Cl)cc4[nH]3)c2c1	CHEMBL406927	pIC50=6.17
Nc1ccc(cc1NC(=O)c2cccnc2)N3CCCC3	CHEMBL403962	pIC50=6.17
ONC(=O)CCCCCCc1onc(n1)c2ccc(Cl)cc2	CHEMBL3585963	pIC50=6.17
ONC(=O)c1cc2ccccc2s1	CHEMBL245946	pIC50=6.17
CC(C)(C)OC(=O)N1CC2CCC1CN2c3ccc(cn3)C(=O)Nc4ccccc4N	CHEMBL393116	pIC50=6.18
CC(C)(Nc1ncc(cn1)C(=O)NO)c2ccc(F)cc2F	CHEMBL3655947	pIC50=6.19
CCN(CC)CCNCc1c(nc2cc(\C=C\C(=O)NO)ccn12)c3ccccc3	CHEMBL3689805	pIC50=6.19
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@](O)(CN(C)Cc3ccc(cc3)c4cn(CCCCCC(=O)NO)nn4)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]5O[C@H](C)C[C@@H]([C@H]5O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC	CHEMBL3735660	pIC50=6.19
Cc1cn(Cc2ccccc2)nc1CCCCC(=O)NO	CHEMBL3335309	pIC50=6.19
Nc1ccc(cc1NC(=O)c2cccnc2)c3ccncc3	CHEMBL256656	pIC50=6.19
OC(=O)CCn1nc(cc1C(=O)NCCCCCCS)c2ccc(F)cc2	CHEMBL3759543	pIC50=6.19
ONC(=O)CCCCCC=C(c1ccccn1)c2ccccn2	CHEMBL3675759	pIC50=6.19
ONC(=O)CCCCNC(=O)c1cc(on1)c2ccccc2	CHEMBL467998	pIC50=6.19
ONC(=O)CCCCc1cn(Cc2ccc(F)c(Cl)c2)nn1	CHEMBL2381742	pIC50=6.19
ONC(=O)CCCCc1cn(Cc2ccc(F)cc2)nn1	CHEMBL2381756	pIC50=6.19
ONC(=O)CCc1ccc(CCCc2ccccc2)cc1	CHEMBL3698497	pIC50=6.19
ONC(=O)\C=C\c1ccc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2	CHEMBL1630110	pIC50=6.19
CC(C)(C)OC(=O)Nc1ccc(cc1)c2onc(c2)C(=O)NCCCCC(=O)NO	CHEMBL467792	pIC50=6.2
CC(C)C1CC1c2sc(nc2C(=O)NCCCCC(=O)NO)c3nccs3	CHEMBL3287269	pIC50=6.2
