COc1ccc(cc1)c2c(onc2C(=O)NC3CCN(CC4CC4)CC3)c5cc(Cl)c(O)cc5O	CHEMBL3354656 	pIC50=7.55
CN(Cc1cccc2ccccc12)C(=O)c3ccc(cc3)N(Cc4cccnc4)C(=O)c5ccc(O)cc5O	CHEMBL3732265 	pIC50=8.0
CN(Cc1cccc2cnccc12)C(=O)c3ccc(cc3)N(Cc4ccsc4)C(=O)c5ccc(O)cc5O	CHEMBL3731784 	pIC50=8.0
CN1CCN(CC1)C(=O)NCc2ccc(CN(C(=O)c3ccc(O)cc3O)c4ccc(cc4)c5nc(Cl)ncc5C)cc2	CHEMBL3731590 	pIC50=8.0
CN1CCN(CC1)S(=O)(=O)c2cnc(c(C)c2)c3ccc(cc3)N(Cc4ccccc4)C(=O)c5ccc(O)cc5O	CHEMBL3727492 	pIC50=8.0
CN1CCN(CC1)S(=O)(=O)c2cnc(c(C)c2)c3ccc(cc3)N(Cc4cccnc4)C(=O)c5ccc(O)cc5O	CHEMBL3729360 	pIC50=8.0
CN1CCN(CC1)S(=O)(=O)c2cnc(c(C)c2)c3ccc(cc3)N(Cc4ccsc4)C(=O)c5ccc(O)cc5O	CHEMBL3729526 	pIC50=8.0
CNCC(=O)NCc1ccc(CN(C(=O)c2ccc(O)cc2O)c3ccc(cc3)c4nc(Cl)ncc4C)cc1	CHEMBL3729957 	pIC50=8.0
CNS(=O)(=O)c1cnc(c(C)c1)c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O	CHEMBL3732102 	pIC50=8.0
COCC(=O)NCc1ccc(CN(C(=O)c2ccc(O)cc2O)c3ccc(cc3)c4nc(Cl)ncc4C)cc1	CHEMBL3731973 	pIC50=8.0
COCCN(C)S(=O)(=O)c1cnc(c(C)c1)c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O	CHEMBL3728542 	pIC50=8.0
COc1ccc(CN(C)C(=O)c2ccc(cc2)N(Cc3cccnc3)C(=O)c4cc(Cl)c(O)cc4O)cc1	CHEMBL3730764 	pIC50=8.0
COc1ccc(CN(C)C(=O)c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O)cc1	CHEMBL3731319 	pIC50=8.0
COc1ccc(CN(C)C(=O)c2ccc(cc2)N(Cc3ccsc3)C(=O)c4cc(C)c(O)cc4O)cc1	CHEMBL3730864 	pIC50=8.0
COc1cnc(Cl)nc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4cc(Cl)c(O)cc4O	CHEMBL3732532 	pIC50=8.0
COc1cnc(Cl)nc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O	CHEMBL3728428 	pIC50=8.0
COc1cnc(Cl)nc1c2ccc(cc2)N(Cc3cnsc3)C(=O)c4ccc(O)cc4O	CHEMBL3727595 	pIC50=8.0
C[C@H](N(C(=O)c1ccc(O)cc1O)c2ccc(cc2)c3nc(Cl)ncc3C)c4ccccc4	CHEMBL3733014 	pIC50=8.0
C[C@H](NC(=O)OCc1ccccc1)C(=O)NCc2ccc(CN(C(=O)c3ccc(O)cc3O)c4ccc(cc4)c5nc(Cl)ncc5C)cc2	CHEMBL3730908 	pIC50=8.0
Cc1c(Cl)nc(Cl)nc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O	CHEMBL3732388 	pIC50=8.0
Cc1cc(Cl)nnc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O	CHEMBL3733033 	pIC50=8.0
Cc1cc(N)cnc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O	CHEMBL3729515 	pIC50=8.0
Cc1cc(cnc1c2ccc(cc2)N(Cc3ccccc3)C(=O)c4ccc(O)cc4O)S(=O)(=O)NCCCC(=O)N	CHEMBL3730940 	pIC50=8.0
Cc1cc(cnc1c2ccc(cc2)N(Cc3ccccc3)C(=O)c4ccc(O)cc4O)S(=O)(=O)NCc5ccccn5	CHEMBL3727940 	pIC50=8.0
Cc1cc(cnc1c2ccc(cc2)N(Cc3ccccc3)C(=O)c4ccc(O)cc4O)S(=O)(=O)NCc5cccnc5	CHEMBL3729230 	pIC50=8.0
Cc1cc(cnc1c2ccc(cc2)N(Cc3ccccc3)C(=O)c4ccc(O)cc4O)S(=O)(=O)NCc5cccs5	CHEMBL3733362 	pIC50=8.0
Cc1cc(cnc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O)S(=O)(=O)N5CC(F)(F)C5	CHEMBL3729314 	pIC50=8.0
Cc1cc(cnc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O)S(=O)(=O)N5CCC(F)(F)CC5	CHEMBL3732037 	pIC50=8.0
Cc1cc(cnc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O)S(=O)(=O)N5CCCCC5	CHEMBL3731211 	pIC50=8.0
Cc1cc(cnc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O)S(=O)(=O)N5CCOCC5	CHEMBL3731577 	pIC50=8.0
Cc1cc(cnc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O)S(=O)(=O)NCCCC(=O)N	CHEMBL3733153 	pIC50=8.0
Cc1cc(cnc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O)S(=O)(=O)NCc5ccccc5	CHEMBL3728913 	pIC50=8.0
Cc1cc(cnc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O)S(=O)(=O)NCc5ccccn5	CHEMBL3729383 	pIC50=8.0
Cc1cc(cnc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O)S(=O)(=O)NCc5cccnc5	CHEMBL3732100 	pIC50=8.0
Cc1cc(cnc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O)S(=O)(=O)NCc5cccs5	CHEMBL3728475 	pIC50=8.0
Cc1cc(cnc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O)S(=O)(=O)NCc5ccncc5	CHEMBL3728923 	pIC50=8.0
Cc1cc(cnc1c2ccc(cc2)N(Cc3ccsc3)C(=O)c4ccc(O)cc4O)S(=O)(=O)N5CCCCC5	CHEMBL3728570 	pIC50=8.0
Cc1cc(cnc1c2ccc(cc2)N(Cc3ccsc3)C(=O)c4ccc(O)cc4O)S(=O)(=O)NCc5cccnc5	CHEMBL3732512 	pIC50=8.0
Cc1cc2ccccc2nc1c3ccc(cc3)N(Cc4cccc(F)c4)C(=O)c5ccc(O)cc5O	CHEMBL3730047 	pIC50=8.0
Cc1cc2ccccc2nc1c3ccc(cc3)N(Cc4ccccc4c5onc(C)n5)C(=O)c6ccc(O)cc6O	CHEMBL3729663 	pIC50=8.0
Cc1cc2ccccc2nc1c3ccc(cc3)N(Cc4cccnc4)C(=O)c5ccc(O)cc5O	CHEMBL3730739 	pIC50=8.0
Cc1ccc(C)c(n1)c2ccc(cc2)N(Cc3ccccc3)C(=O)c4ccc(O)cc4O	CHEMBL3727900 	pIC50=8.0
Cc1ccc(CN(C(=O)c2ccc(O)cc2O)c3ccc(cc3)c4nc(C)ncc4C)cc1	CHEMBL3732653 	pIC50=8.0
Cc1ccc(CN(C(=O)c2ccc(O)cc2O)c3ccc(cc3)c4nc5ccccc5cc4C)cc1	CHEMBL3733308 	pIC50=8.0
Cc1cccnc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4cc(Cl)c(O)cc4O	CHEMBL3730027 	pIC50=8.0
Cc1cnc(C)nc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O	CHEMBL3728447 	pIC50=8.0
Cc1cnc(C)nc1c2ccc(cc2)N(Cc3ccsc3)C(=O)c4ccc(O)cc4O	CHEMBL3731184 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3ccc(CN4CCCC4)cc3)C(=O)c5ccc(O)cc5O	CHEMBL3727843 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3ccc(CNC(=O)C(C)(C)C)cc3)C(=O)c4ccc(O)cc4O	CHEMBL3732330 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3ccc(CNC(=O)C(F)F)cc3)C(=O)c4ccc(O)cc4O	CHEMBL3727577 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3ccc(CNC(=O)C4CC4)cc3)C(=O)c5ccc(O)cc5O	CHEMBL3727487 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3ccc(CNC(=O)C4CCC4)cc3)C(=O)c5ccc(O)cc5O	CHEMBL3730344 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3ccc(CNC(=O)C4CCCC4)cc3)C(=O)c5ccc(O)cc5O	CHEMBL3727731 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3ccc(CNC(=O)C4CCCO4)cc3)C(=O)c5ccc(O)cc5O	CHEMBL3730985 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3ccc(CNC(=O)CC(C)(C)C)cc3)C(=O)c4ccc(O)cc4O	CHEMBL3727499 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3ccc(CNC(=O)CO)cc3)C(=O)c4ccc(O)cc4O	CHEMBL3729380 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3ccc(CNC(=O)N4CCCC4)cc3)C(=O)c5ccc(O)cc5O	CHEMBL3732302 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3ccc(CNC(=O)N4CCOCC4)cc3)C(=O)c5ccc(O)cc5O	CHEMBL3729400 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3ccc(CNC(=O)[C@@H]4CCCN4)cc3)C(=O)c5ccc(O)cc5O	CHEMBL3728184 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3ccc(CNC(=O)c4cccs4)cc3)C(=O)c5ccc(O)cc5O	CHEMBL3732329 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3ccc(CNC(=O)c4oncc4)cc3)C(=O)c5ccc(O)cc5O	CHEMBL3731468 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3cccc(CN4CCCC4)c3)C(=O)c5cc(Cl)c(O)cc5O	CHEMBL3732196 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3cccc(Cn4ccnc4)c3)C(=O)c5cc(Cl)c(O)cc5O	CHEMBL3729277 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3ccccc3)C(=O)c4cc(Cl)c(O)cc4O	CHEMBL3731207 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3ccccc3)C(=O)c4ccc(O)cc4O	CHEMBL3732469 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4cc(Cl)c(O)cc4O	CHEMBL3732144 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O	CHEMBL3732778 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3ccsc3)C(=O)c4cc(Cl)c(O)cc4O	CHEMBL3730847 	pIC50=8.0
Cc1cnc(Cl)nc1c2ccc(cc2)N(Cc3cnsc3)C(=O)c4ccc(O)cc4O	CHEMBL3730756 	pIC50=8.0
Cc1cnc(c(C)n1)c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O	CHEMBL3729086 	pIC50=8.0
Cc1nc(nc(c1C)c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O)C(F)(F)F	CHEMBL3733225 	pIC50=8.0
Cc1nccn1c2ccc(nn2)c3ccc(cc3)N(Cc4ccccc4)C(=O)c5ccc(O)cc5O	CHEMBL3732549 	pIC50=8.0
O=C(NC1CC1)Nc2c[nH]nc2c3nc4cc(CN5CCOCC5)ccc4[nH]3	CHEMBL495727 	pIC50=8.0
OCc1cc2cc(Cl)ccc2nc1c3ccc(cc3)N(Cc4cccnc4)C(=O)c5ccc(O)cc5O	CHEMBL3729303 	pIC50=8.0
Oc1ccc(C(=O)N(Cc2ccccc2)c3ccc(cc3)c4ccccc4Cl)c(O)c1	CHEMBL3727570 	pIC50=8.0
Oc1ccc(C(=O)N(Cc2ccccc2)c3ccc(cc3)c4nc(Cl)c5CSCCc5n4)c(O)c1	CHEMBL3732310 	pIC50=8.0
Oc1ccc(C(=O)N(Cc2cccnc2)c3ccc(cc3)c4nc(ccc4C(F)(F)F)C(F)(F)F)c(O)c1	CHEMBL3728894 	pIC50=8.0
Oc1ccc(C(=O)N(Cc2cccnc2)c3ccc(cc3)c4ncnc5cccc(F)c45)c(O)c1	CHEMBL3730141 	pIC50=8.0
[O-][N+](=O)c1ccccc1c2n[nH]cc2\C=C\3/C(=O)Nc4ccccc34	CHEMBL2347053 	pIC50=8.08
CC(C)(O)CCOc1cc(c2cnn(c2)C(C)(C)C(=O)N)c3c4ccccc4[C@@](O)(c3c1)C(F)(F)F	CHEMBL3673096 	pIC50=8.18
CC(C)(O)CCCOc1cc(c2cnn(c2)C(C)(C)C(=O)N)c3c4ccccc4[C@@](O)(c3c1)C(F)(F)F	CHEMBL3673097 	pIC50=8.46
