NC(=O)OCC(COC(N)=O)C1=CC=CC=C1	felbamate	pIC50=4.284	pIC50=4.284	pIC50=4.284
CC12CC3CC(C)(C1)CC(N)(C3)C2	memantine	pIC50=5.26	pIC50=5.26	pIC50=5.26
CC(=O)NCCCS(O)(=O)=O	acamprosate
CNC1(CCCCC1=O)C1=C(Cl)C=CC=C1	ketamine	pKi=6.38000011	pKi=6.38000011	pKi=6.38000011
NC12CC3CC(CC(C3)C1)C2	amantadine	pKi=4.98000002	pKi=4.98000002	pKi=4.98000002
N=C(NCc1ccccc1)c2ccccc2	CHEMBL350615	pKi=5.0
FC(F)(F)c1ccc(cc1)C(=N)NCc2cccc(c2)C(F)(F)F	CHEMBL348360	pKi=6.16
Oc1ccc2[nH]c(nc2c1CNCc3cccs3)c4cccc(F)c4F	CHEMBL2013205	pIC50=6.2
Fc1ccc(cc1)C(=N)NCc2cccc(Cl)c2	CHEMBL159879	pKi=6.22
CC(OC(=O)N1CCC(CNc2ncccn2)CC1)c3ccccc3	CHEMBL425642	pKi=6.27
FC(F)(F)Oc1ccc(cc1Cl)C2=NCC(N2)c3ccccc3OC(F)(F)F	CHEMBL247115	pKi=6.3
FC(F)(F)c1ccc(cc1)C(=N)NCc2ccccc2	CHEMBL159530	pKi=6.32
COc1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1	CHEMBL217904	pKi=6.34
C(N1CCCCC1)c2cccc3[nH]c(nc23)c4ccccc4	CHEMBL2010880	pIC50=6.4
CN1CCN(Cc2c(O)ccc3[nH]c(nc23)c4ccccc4)CC1	CHEMBL2013203	pIC50=6.4
FC(F)(F)Oc1ccc(cc1Cl)C2=NCC(N2)c3ccccc3C(F)(F)F	CHEMBL247114	pKi=6.45
O=C(CCc1ccccc1)N2CCC(CNc3ncccn3)CC2	CHEMBL217955	pKi=6.51
FC(F)(F)Oc1ccc(cc1)C2=NCC(N2)c3cccc(Cl)c3	CHEMBL247717	pKi=6.53
C(CN1CCC(CNc2ncccn2)CC1)Cc3ccccc3	CHEMBL218075	pKi=6.58
CN(C)Cc1c(O)ccc2[nH]c(nc12)c3ccccc3	CHEMBL2013202	pIC50=6.6
Cc1ccccc1COC(=O)N2CCC(CNc3ncccn3)CC2	CHEMBL425462	pKi=6.64
O=C(OCCc1ccccc1)N2CCC(CNc3ncccn3)CC2	CHEMBL219114	pKi=6.64
FC(F)(F)Oc1ccc(cc1Cl)C2=NCC(N2)c3cc(Cl)cc(Cl)c3	CHEMBL247113	pKi=6.65
O=C(OCc1ccccc1)N2CCC(Cc3nc4ccccc4[nH]3)CC2	CHEMBL218546	pKi=6.66
Cc1cccc(COC(=O)N2CCC(CNc3ncccn3)CC2)c1	CHEMBL218104	pKi=6.69
Fc1ccc2[nH]c(nc2c1CN3CCCCCC3)c4ccccc4	CHEMBL2010885	pIC50=6.7
O=C(OCc1ccccc1)N2CCC(CNc3nncs3)CC2	CHEMBL219113	pKi=6.72
O=C(OCc1ccccc1)N2CCC(CNc3cccnc3)CC2	CHEMBL218067	pKi=6.75
Clc1ccc(cc1)C(=N)NCc2cccc(Cl)c2	CHEMBL161871	pIC50=6.8
Fc1cccc(COC(=O)N2CCC(CNc3ncccn3)CC2)c1	CHEMBL374865	pKi=6.82
O=C(OCc1ccccc1)N2CCC(CNc3nccs3)CC2	CHEMBL218547	pKi=6.91
FC(F)(F)Oc1ccc(cc1)C(=N)NCc2ccccc2	CHEMBL161421	pKi=6.92
Clc1cccc(CNC(=N)c2ccc(Cl)c(Cl)c2)c1	CHEMBL159818	pIC50=6.96
C(Cc1ccc(OCc2ccccc2)cc1)Nc3ccncc3	CHEMBL48029	pKi=7.03
C[C@@H]([C@H](O)c1ccc(O)cc1)N2CCC(Cc3ccccc3)CC2	CHEMBL49623	pKd=7.03
Fc1ccc2[nH]c(nc2c1CN3CCCC3)c4ccccc4	CHEMBL2010883	pIC50=7.1
Fc1ccc2[nH]c(nc2c1CN3CCCCC3)c4ccccc4	CHEMBL2010884	pIC50=7.1
Oc1ccc2[nH]c(nc2c1CN3CCC(CC3)c4ccccc4)c5ccccc5	CHEMBL2013201	pIC50=7.1
COc1ccccc1C2CN=C(N2)c3ccc(OC(F)(F)F)c(Cl)c3	CHEMBL397784	pKi=7.13
O=C(OCc1ccccc1)N2CCC(CNc3ccncn3)CC2	CHEMBL218068	pKi=7.13
FC(F)(F)Oc1ccc(cc1)C(=N)NCc2ccccc2C(F)(F)F	CHEMBL159279	pKi=7.14
FC(F)(F)Oc1ccc(cc1Cl)C2=NCC(N2)c3cccc(Cl)c3	CHEMBL429475	pKi=7.18
C(NC1CCc2ccccc2CC1)c3ccccc3	CHEMBL3357785	pKi=7.24
FC(F)(F)Oc1ccccc1CNC(=N)c2ccc(Cl)c(Cl)c2	CHEMBL161876	pIC50=7.24
FC(F)(F)c1ccc(cc1)C(=N)NCc2ccccc2Cl	CHEMBL421976	pKi=7.25
CCCNCc1c(O)ccc2[nH]c(nc12)c3ccccc3	CHEMBL2013199	pIC50=7.4
Cc1ccc(cc1)c2nc3c(CNC4CC4)c(O)ccc3[nH]2	CHEMBL2013207	pIC50=7.4
Oc1ccc2[nH]c(nc2c1CN3CCOCC3)c4ccccc4	CHEMBL2013200	pIC50=7.4
O=C(OCc1ccccc1)N2CCC(CNc3ccccn3)CC2	CHEMBL218017	pKi=7.43
FC(F)(F)c1ccc(cc1)C(=N)NCc2cccc(Cl)c2	CHEMBL159558	pIC50=7.5
Oc1ccc2[nH]c(nc2c1CNC3CCCC3)c4ccccc4	CHEMBL2013198	pIC50=7.5
[O-][S+](CCN1CCC(Cc2ccc(F)cc2)CC1)c3ccc4NC(=O)Oc4c3	CHEMBL219631	pKi=7.52
FC(F)(F)Oc1ccc(cc1)C(=N)NCc2cc(Cl)cc(Cl)c2	CHEMBL161180	pIC50=7.62
COc1cccc(C\N=C(/N)\c2ccc(OC(F)(F)F)cc2)c1	CHEMBL349727	pKi=7.64
O=C(OC1Cc2ccccc2C1)N3CCC(CNc4ncccn4)CC3	CHEMBL221133	pKi=7.64
O=C(OCc1ccccc1)N2CCC(CNc3ncccn3)CC2	CHEMBL435316	pKi=7.64
C(Cc1ccccc1)NC2CCc3ccccc3CC2	CHEMBL3357786	pKi=7.7
CC(C(O)c1ccc(O)cc1)N2CCC(Cc3ccccc3)CC2	CHEMBL305187	pIC50=7.7
Fc1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1	CHEMBL218275	pKi=7.75
Fc1ccccc1COC(=O)N2CCC(CNc3ncccn3)CC2	CHEMBL221605	pKi=7.75
C(CCc1ccccc1)CNC2CCc3ccccc3CC2	CHEMBL3357787	pKi=7.77
C(CNC1CCc2ccccc2CC1)Cc3ccccc3	CHEMBL296601	pKi=7.8
COc1ccc2C(O)CC(CCc2c1)NCCCc3ccccc3	CHEMBL3357783	pKi=7.8
O=C(OCc1ccccc1)N2CCC(CNc3cnccn3)CC2	CHEMBL220660	pKi=7.85
OC(CN1CCC(Cc2ccc(F)cc2)CC1)c3ccc(Cl)cc3	CHEMBL28564	pKi=7.89
Oc1ccc2[nH]c(nc2c1CN3CCCC3)c4cccc(F)c4F	CHEMBL2013204	pIC50=7.9
C1Cc2ccccc2CCC1N3CCN(CC3)c4ccccc4	CHEMBL3357789	pKi=7.92
O=C(OCc1ccccc1)N2CCC(CNc3ccncc3)CC2	CHEMBL219060	pKi=7.98
COc1ccc2CCC(CCc2c1)NCCCc3ccccc3	CHEMBL3357784	pKi=8.0
C[C@@H]([C@@H](O)c1ccc(O)cc1)N2CCC(Cc3ccccc3)CC2	CHEMBL319706	pKi=8.0
N=C(NCc1ccccc1)\C=C\c2ccccc2	CHEMBL158874	pKi=8.05
Cc1cc(C)cc(C\N=C(/N)\c2ccc(cc2)C(F)(F)F)c1	CHEMBL162080	pIC50=8.06
FC(F)(F)Oc1ccc2C(=N)N(Cc3cccc(Cl)c3)Cc2c1	CHEMBL247718	pKi=8.1
Oc1ccc2[nH]c(nc2c1CN3CCCC3)c4ccccc4	CHEMBL2013197	pIC50=8.1
Oc1ccc2[nH]c(nc2c1CN3CCCCC3)c4ccccc4	CHEMBL2013195	pIC50=8.1
Oc1ccc2[nH]c(nc2c1CN3CCCCCC3)c4ccccc4	CHEMBL2013196	pIC50=8.1
CC(C)c1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1	CHEMBL386184	pKi=8.11
[O-][N+](=O)c1ccc2CCC(CCc2c1)NCc3ccccc3	CHEMBL3735173	pKi=8.12
C1CN(CCC1c2ccccc2)C3CCc4ccccc4CC3	CHEMBL3357788	pKi=8.16
C1C[C@@H](CC[C@H]1NC2CCc3ccccc3CC2)c4ccccc4	CHEMBL3357792	pKi=8.24
COc1ccccc1C\N=C(/N)\c2ccc(OC(F)(F)F)cc2	CHEMBL159560	pKi=8.24
COc1ccc2C(O)CN(CCCCc3ccccc3)CCc2c1	CHEMBL1289403	pKi=8.27
Cc1cc(C)cc(C\N=C(/N)\c2ccc(OC(F)(F)F)cc2)c1	CHEMBL159744	pIC50=8.38
[O-][N+](=O)c1ccc2CCC(CCc2c1)NCCCCc3ccccc3	CHEMBL3736502	pKi=8.42
CCc1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1	CHEMBL218211	pKi=8.43
COc1ccccc1CN2Cc3cc(OC(F)(F)F)ccc3C2=N	CHEMBL247323	pKi=8.44
Cc1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1	CHEMBL218713	pKi=8.47
[O-][N+](=O)c1ccc2CCC(CCc2c1)NCCc3ccccc3	CHEMBL3735485	pKi=8.48
C(C1CCN(CC1)C2CCc3ccccc3CC2)c4ccccc4	CHEMBL3357790	pKi=8.54
C1C[C@@H](CC[C@@H]1NC2CCc3ccccc3CC2)c4ccccc4	CHEMBL3357791	pKi=8.64
FC(F)(F)Oc1ccc2C(=N)N(Cc3cccc4ccoc34)Cc2c1	CHEMBL393670	pKi=8.66
Cc1cc(C)cc(CN2Cc3cc(OC(F)(F)F)ccc3C2=N)c1	CHEMBL429656	pKi=8.7
[O-][N+](=O)c1ccc2CCC(CCc2c1)NCCCc3ccccc3	CHEMBL3735947	pKi=8.8
COc1ccccc1C\N=C(/N)\C=C\c2ccccc2	CHEMBL158737	pKd=9.0
