NC1=CC(O)=C(C=C1)C(O)=O	aminosalicylic acid
OC(=O)CC1=CC=C(C=C1)C1=CC=CC=C1	felbinac	pIC50=6.04866248	pIC50=6.04866248	pIC50=6.04866248	pIC50=6.05
OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1	oxaprozin	pIC50=6.06752624	pIC50=6.06752624	pIC50=6.06752624	pIC50=6.07
CC(C(O)=O)C1=CC=C(CC2CCCC2=O)C=C1	loxoprofen	pIC50=5.19	pIC50=5.19	pIC50=5.19
C[C@H](C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	dexketoprofen	pIC50=8.72	pIC50=8.72	pIC50=8.72	pIC50=8.35
OC(=O)C1=CC(=CC=C1O)N=NC1=CC(C(O)=O)=C(O)C=C1	olsalazine
CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3	phenylbutazone	pIC50=5.52	pIC50=5.52	pIC50=5.52
CCCCC1C(=O)N(N(C1=O)C1=CC=C(O)C=C1)C1=CC=CC=C1	oxyphenbutazone
CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1	tolmetin	pIC50=6.27	pIC50=6.27	pIC50=6.27	pIC50=7.39
CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1	suprofen	pIC50=5.96	pIC50=5.96	pIC50=5.96	pIC50=6.25
CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=CC=CC=C2S1(=O)=O	piroxicam	pIC50=5.18	pIC50=5.18	pIC50=5.18
COC1=CC=C2C=C(C=CC2=C1)[C@H](C)C(O)=O	naproxen	pIC50=5.16	pIC50=5.16	pIC50=5.16	pIC50=6.46
Nc1ccc(O)c(c1)C(=O)O	mesalazine
Cc1cccc(Nc2ccccc2C(=O)O)c1C	mefenamic acid	pIC50=4.78	pIC50=4.78	pIC50=4.78	pIC50=6.94
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl	meclofenamic acid	pIC50=6.66	pIC50=6.66	pIC50=6.66	pIC50=6.66
OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1	ketorolac	pIC50=9.72	pIC50=9.72	pIC50=9.72	pIC50=7.89
CC(C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	ketoprofen	pIC50=7.33	pIC50=7.33	pIC50=7.33	pIC50=6.48
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3	indomethacin	pIC50=7.21	pIC50=7.21	pIC50=7.21	pIC50=6.3
CC(C)CC1=CC=C(C=C1)C(C)C(O)=O	ibuprofen	pIC50=5.12	pIC50=5.12	pIC50=5.12	pIC50=6.54
CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1	flurbiprofen	pIC50=8.74	pIC50=8.74	pIC50=8.74	pIC50=7.68
CC(C(O)=O)C1=CC=CC(OC2=CC=CC=C2)=C1	fenoprofen	pIC50=5.36	pIC50=5.36	pIC50=5.36	pIC50=6.84
OC(=O)c1cc(ccc1O)c2ccc(F)cc2F	diflunisal	pIC50=4.4	pIC50=4.4	pIC50=4.4
OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1	diclofenac	pIC50=7.52	pIC50=7.52	pIC50=7.52	pIC50=6.82
NC1=C(C=CC=C1CC(O)=O)C(=O)C1=CC=C(Br)C=C1	bromfenac	pIC50=8.29	pIC50=8.29	pIC50=8.29
OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O	balsalazide
NC(=O)CC1=C(N)C(=CC=C1)C(=O)C1=CC=CC=C1	nepafenac	pIC50=6.6	pIC50=6.6	pIC50=6.6
CC(=O)OC1=CC=CC=C1C(O)=O	acetylsalicylic acid	pIC50=5.77	pIC50=5.77	pIC50=5.77
CC(C(O)=O)C1=CC=C(S1)C(=O)C1=CC=CC=C1	tiaprofenic acid	pIC50=5.9	pIC50=5.9	pIC50=5.9
OC(=O)c1ccccc1Nc2cccc(c2)C(F)(F)F	flufenamic acid	pIC50=5.52	pIC50=5.52	pIC50=5.52
OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1	fenbufen
OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1	sulfasalazine
O[Bi]1OC(=O)C2=CC=CC=C2O1	bismuth subsalicylate
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O	acemetacin
OCC(O)COC(=O)C1=C(NC2=CC=NC3=C(C=CC=C23)C(F)(F)F)C=CC=C1	floctafenine	pIC50=6.26760626	pIC50=6.26760626	pIC50=6.26760626
CC(C(=O)NC1=CC(C)=CC=N1)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	piketoprofen
CSc1ccc(cc1)c2c(nc3sccn23)c4ccccc4	CHEMBL359143	pIC50=6.5
CSc1nc(c2ccc(Cl)cc2)c([nH]1)c3ccc(cc3)S(=O)(=O)C	CHEMBL2347668	pIC50=6.5
Cc1oc(cc1)c2noc(C)c2c3ccccc3	CHEMBL2380867	pIC50=6.5
NS(=O)(=O)c1ccc(cc1)C2=C(CC3(CC3)C2)c4ccc(F)c(Cl)c4	CHEMBL312822	pIC50=6.51
CC(C)c1ccc(OC(=O)CCc2cc(c3ccc(C)cc3)n(n2)c4ccccc4)cc1	CHEMBL1830478	pIC50=6.52
CC1(C)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)Oc3ccc(Cl)cc3	CHEMBL325804	pIC50=6.52
CC1(C)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)Oc3ncc(Cl)cc3Cl	CHEMBL110824	pIC50=6.52
CNc1nnc(s1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C	CHEMBL279755	pIC50=6.52
COc1ccc2c(CSc3c2n(nc3C(F)(F)F)c4ccc(cc4)S(=O)(=O)N)c1	CHEMBL319512	pIC50=6.52
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)CC2)c3ccc(F)c(Cl)c3	CHEMBL23808	pIC50=6.52
Cc1cccc(OC2=C(c3ccc(cc3)S(=O)(=O)C)C(C)(C)OC2=O)c1	CHEMBL110392	pIC50=6.52
OC(=O)CC1=C\C(=C/c2ccc(cc2)c3ccccc3)\c4ccc(F)cc14	CHEMBL457404	pIC50=6.52
CC(C)(C)c1cc(cc2c1OCC2(C)C)C(=O)NC3CC3	CHEMBL119170	pIC50=6.54
COc1ccc(\C=C\c2cc(O)cc(O)c2)cc1OC	CHEMBL473518	pIC50=6.54
Cc1onc(c2ccccc2Cl)c1c3ccccc3	CHEMBL2380863	pIC50=6.57
FC(F)(F)S(=O)(=O)Nc1ccncc1Oc2ccccc2Cl	CHEMBL224640	pIC50=6.57
Fc1ccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)cc1	CHEMBL3113240	pIC50=6.57
NS(=O)(=O)c1ccc(cc1)n2nc(c3SCc4cc(F)ccc4c23)C(F)(F)F	CHEMBL316455	pIC50=6.57
O.Cl.CS(=O)(=O)Nc1ccncc1NC2CCCCC2	CHEMBL1204024	pIC50=6.57
Nc1c(nc2ccccn12)C(=O)O	CHEMBL2235866	pKd=6.58
COc1ccc(Oc2cnccc2NS(=O)(=O)C(F)(F)F)cc1	CHEMBL225092	pIC50=6.59
N(c1ccccc1)c2ccc(Nc3ccccc3)cc2	CHEMBL1333512	pIC50=6.59
CC(C)(C)c1cc(\C=C\2/SC(=NC2=O)N=C(N)N)cc(c1O)C(C)(C)C	CHEMBL16434	pIC50=6.6
CC(C)(C)c1cc(cc(c1O)C(C)(C)C)C(=O)CCCC#C	CHEMBL13878	pIC50=6.6
CC(C)S(=O)(=O)C1=C(O)N(Cc2ccc(F)cc2)C(=O)c3ccccc13	CHEMBL18148	pIC50=6.6
CCSc1nc(c2ccc(F)cc2)c([nH]1)c3ccc(cc3)S(=O)(=O)C	CHEMBL2347672	pIC50=6.62
CN1C(=C(C(=O)Nc2ccc(F)cc2F)c3cc(Cl)ccc3S1(=O)=O)O	CHEMBL177606	pIC50=6.62
FC(F)(F)S(=O)(=O)Nc1ccncc1Oc2ccc(Br)cc2	CHEMBL374168	pIC50=6.62
OC(=O)C1=Cc2cc(Cl)cc(c2OC1C(F)(F)F)c3ccc(Cl)cc3	CHEMBL1669033	pIC50=6.62
CC(C)c1cc(c2ccc(cc2)S(=O)(=O)N)c(s1)c3ccc(F)cc3	CHEMBL417204	pIC50=6.64
CSc1nc(c2ccc(F)cc2)c([nH]1)c3ccc(cc3)S(=O)(=O)C	CHEMBL2347667	pIC50=6.68
Fc1ccc(cc1)c2sccc2c3ccc(cc3)C#N	CHEMBL294050	pIC50=6.68
CC(C)(C)c1cc(cc2c1OCC2(C)C)c3cccs3	CHEMBL118839	pIC50=6.7
COc1ccc(cc1)C2=C(CCC2)c3ccc(cc3)S(=O)(=O)N	CHEMBL111562	pIC50=6.7
COc1nnc(s1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C	CHEMBL16881	pIC50=6.7
CSc1nnc(s1)c2nc(c(O)c(n2)C(C)(C)C)C(C)(C)C	CHEMBL275188	pIC50=6.7
N1c2ccccc2Sc3ccccc13	CHEMBL828	pIC50=6.71
FC(F)(F)S(=O)(=O)Nc1ccncc1Nc2ccccc2Cl	CHEMBL1075636	pIC50=6.72
CC(C(=O)O)c1ccc(cc1)c2cn3ccccc3n2	CHEMBL2106551	pKd=6.73
COc1ccc(cc1)C2=C(C(=O)OC2)c3cccc(F)c3	CHEMBL3357103	pIC50=6.75
CSc1nnc(s1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C	CHEMBL12532	pIC50=6.75
FC(F)(F)S(=O)(=O)Nc1ccncc1Nc2ccccc2	CHEMBL224400	pIC50=6.75
CCSc1nc(c2ccccc2)c([nH]1)c3ccc(cc3)S(=O)(=O)C	CHEMBL2347671	pIC50=6.77
CC\C(=C/c1cc(O)cc(O)c1)\c2ccc3ccccc3c2	CHEMBL513053	pIC50=6.77
Cc1ccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)cc1	CHEMBL1080231	pIC50=6.77
NS(=O)(=O)c1ccc(cc1)n2nc(CO)c(Cl)c2c3ccc(Cl)cc3	CHEMBL287447	pIC50=6.77
NS(=O)(=O)c1ccc(cc1)c2cc(nc(NC3CCCCC3)n2)C(F)(F)F	CHEMBL561609	pIC50=6.78
CC1(C)Cc2c(c3ccccc3)c(c(CC(=O)O)n2C1)c4ccc(Cl)cc4	CHEMBL300982	pIC50=6.8
COc1ccc(cc1)n2nc(cc2c3ccc(Cl)cc3)C(F)(F)F	CHEMBL26915	pIC50=6.8
CSc1nc(c2ccccc2)c([nH]1)c3ccc(cc3)S(=O)(=O)C	CHEMBL2347677	pIC50=6.8
CC(C)(C)c1cc(cc2c1OCC2(C)C)C(=O)c3ccccc3	CHEMBL275120	pIC50=6.82
Cc1ccnc(c1)C(=O)c2[nH]c3ccc(F)cc3c2CC(=O)O	CHEMBL1950017	pIC50=6.82
CCc1cc(C)c2OC(C(=Cc2c1)C(=O)O)C(F)(F)F	CHEMBL1288641	pIC50=6.85
CN1C(=C(C(=O)Nc2ccc(Br)cc2Br)c3cc(Cl)ccc3S1(=O)=O)O	CHEMBL173724	pIC50=6.85
CS(=O)(=O)c1ccc(cc1)C2=C(CC3(CC3)C2)c4ccc(F)cc4	CHEMBL92154	pIC50=6.85
Cc1cc(OC(F)(F)F)cc2C=C(C(Oc12)C(F)(F)F)C(=O)O	CHEMBL1290564	pIC50=6.85
FC(F)(F)S(=O)(=O)Nc1ccncc1Oc2ccccc2	CHEMBL147165	pIC50=6.85
NS(=O)(=O)c1ccc(cc1)C2=C(CC3(CC3)C2)c4ccc(Cl)cc4	CHEMBL88717	pIC50=6.85
NS(=O)(=O)c1ccc(cc1)n2nc(C#N)c(Cl)c2c3ccc(Cl)cc3	CHEMBL29840	pIC50=6.85
OC(=O)C1=Cc2cc(Cl)cc(C=C)c2OC1C(F)(F)F	CHEMBL1288618	pIC50=6.85
OC(=O)C1=Cc2cc(cc(Cl)c2OC1C(F)(F)F)C#C	CHEMBL1288640	pIC50=6.85
Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)O	CHEMBL153	pIC50=6.89
C1CCc2c(CC1)n(nc2c3ccccc3)c4ccccc4	CHEMBL348390	pIC50=6.92
CC1(C)C(=C)C(=C1c2ccc(cc2)S(=O)(=O)C)c3ccccc3	CHEMBL92443	pIC50=6.92
CCc1ccc2OC(C(=Cc2c1)C(=O)O)C(F)(F)F	CHEMBL1288539	pIC50=6.92
CN1C(=O)\C(=C(\O)/Nc2ccc(Cl)cc2)\c3ccccc3C1=O	CHEMBL174990	pIC50=6.92
NS(=O)(=O)c1ccc(cc1)c2sc(COc3cc(Cl)cc(Cl)c3)nc2c4ccc(F)cc4	CHEMBL276324	pIC50=6.92
CSc1ccc(\C=C\2/C=C(CC(=O)O)c3cc(F)ccc23)cc1	CHEMBL496464	pIC50=6.94
COc1ccc(c(F)c1)c2c(Cl)ncn2c3ccc(cc3)S(=O)(=O)C	CHEMBL117528	pIC50=6.96
CS(=O)(=O)c1ccc(cc1)n2cnc(Cl)c2c3ccc4OCCc4c3	CHEMBL325894	pIC50=6.96
CC(C)Cc1ccc(cc1)[C@H](C)C(=O)O	CHEMBL175	pIC50=6.98
COc1ccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)cc1	CHEMBL1079876	pIC50=7.0
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)CC2)c3cc4ccccc4s3	CHEMBL23378	pIC50=7.0
CCCC(=O)c1cc(c2OCC(C)(C)c2c1)C(C)(C)C	CHEMBL13980	pIC50=7.02
Cc1onc(c2ccccc2)c1c3ccccc3	CHEMBL365033	pIC50=7.05
CN1C(=C(C(=O)Nc2ccc(Cl)cc2Cl)c3cc(Cl)ccc3S1(=O)=O)O	CHEMBL174777	pIC50=7.1
Cl.FC(F)(F)S(=O)(=O)Nc1ccncc1NC2CCCCC2	CHEMBL1204023	pIC50=7.1
NS(=O)(=O)c1ccc(cc1)c2cc(nn2c3ccc(F)cc3)C(F)(F)F	CHEMBL29257	pIC50=7.1
NS(=O)(=O)c1ccc(cc1)c2sc(nc2c3ccc(F)cc3)c4ccccc4Cl	CHEMBL17739	pIC50=7.1
CSc1ccc(cc1)c2nc3sccn3c2c4ccccc4	CHEMBL148666	pIC50=7.11
CC(C)(C)c1cc(cc2c1OCC2(C)C)c3cn4ccsc4n3	CHEMBL332028	pIC50=7.13
CC(C)(C)c1cc(cc2c1OCC2(C)C)C3=NOC(C)(C)C3	CHEMBL421608	pIC50=7.16
Cc1ccnc(c1)C(=O)c2[nH]c3cc(Cl)c(F)cc3c2CC(=O)O	CHEMBL1950016	pIC50=7.18
NS(=O)(=O)c1ccc(cc1)n2nc(c(Cl)c2c3ccc(Cl)cc3)C(F)(F)F	CHEMBL280636	pIC50=7.19
CC(C)(C)c1cc(cc2c1OCC2(C)C)C(=O)CCCC#C	CHEMBL13920	pIC50=7.22
COc1ccncc1C2=C(CCC2=O)c3ccc(cc3)S(=O)(=O)C	CHEMBL23241	pIC50=7.22
CSc1ccc(cc1)C2=C3C(CCc4ccc(C)cc34)OC2=O	CHEMBL44142	pIC50=7.22
FC(F)(F)c1cc(c2ccc(Cl)cc2)n(n1)c3ccc(Cl)cc3	CHEMBL284914	pIC50=7.26
NC(=O)N1C(=O)\C(=C(/O)\c2cccs2)\c3cc(Cl)ccc13	CHEMBL1908355	pIC50=7.26
CC(C)(C)OC1Oc2ccccc2c3nc(NN)ncc13	CHEMBL1938840	pIC50=7.27
CSc1ccc(cc1)C2=C3C(CCc4ccccc34)OC2=O	CHEMBL42011	pIC50=7.28
CC(C(=O)O)c1cc(ccc1O)C(=O)c2ccccc2	CHEMBL274587	pIC50=7.29
CCc1onc(c2ccccc2)c1c3ccccc3	CHEMBL361504	pIC50=7.3
CC(C)(C)c1cc(\C=C\2/CCOC2=O)cc3c1OCC3(C)C	CHEMBL2112567	pIC50=7.35
CC(C)(C)c1cc(cc2c1OCC2(C)C)C(=O)c3cccs3	CHEMBL332937	pIC50=7.35
CN=[S+](C)([O-])c1ccc(cc1)C2=C(C(=O)OC2)c3ccccc3	CHEMBL1814813	pIC50=7.37
COc1ccc(cc1C(C)C(=O)O)C(=O)c2ccccc2	CHEMBL74276	pIC50=7.38
CN1C(=C(C(=O)Nc2ccccc2Cl)c3cc(Cl)ccc3S1(=O)=O)O	CHEMBL173072	pIC50=7.39
Cc1ccc(cc1)c2cc(CCC(=O)N3CCN(Cc4ccc(cc4)C(C)(C)C)CC3)nn2c5ccc6ccccc6n5	CHEMBL1830471	pIC50=7.39
Cn1cccc1C(=O)c2cc(c3OCC(C)(C)c3c2)C(C)(C)C	CHEMBL119720	pIC50=7.46
Fc1ccc(cc1)c2[nH]c(c3ccc(F)cc3)c4C5CCC(CC5)c24	CHEMBL140167	pIC50=7.52
COc1ccc(cc1)c2nc(sc2c3ccc(OC)cc3)C(=O)N4CCN(C)CC4	CHEMBL275809	pIC50=7.55
CC(C)(C)c1cc(\C=C/c2cccs2)cc3c1OCC3(C)C	CHEMBL117911	pIC50=7.7
COc1ccc(cc1F)C2NC(NCc3ccccc3)SC2c4ccc(cc4)S(=O)(=O)N	CHEMBL2037483	pIC50=7.7
COc1ccc(cc1)c2cc(nn2c3ccc(Cl)cc3)C(F)(F)F	CHEMBL30011	pIC50=7.75
OC(=O)c1nc2ccccn2c1[N+](=O)[O-]	CHEMBL2235865	pKd=7.81
CC(C)c1ccc(OC(=O)CCc2cc(c3ccc(C)cc3)n(n2)c4ccc5ccccc5n4)cc1	CHEMBL1830480	pIC50=7.85
COc1cc(\C=C\c2cc(\C=C\c3cc(CC=C(C)C)c(O)c(OC)c3)[nH]n2)cc(CC=C(C)C)c1O	CHEMBL3290441	pIC50=7.89
COc1ccc(cc1F)c2nc(NCc3ccccc3)sc2c4ccc(cc4)S(=O)(=O)N	CHEMBL16996	pIC50=8.0
Cc1c(CC(=O)O)c2ccccc2n1C(=O)c3ccc(Cl)cc3	CHEMBL1241992	pIC50=8.0
Nc1c(CC(=O)O)cccc1C(=O)c2ccc(Br)cc2	CHEMBL1077	pIC50=8.07
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1	CHEMBL404108	pIC50=8.16
NS(=O)(=O)c1ccc(cc1)C2=C(c3ccc(F)cc3)c4ccccc4C2	CHEMBL80405	pIC50=8.16
COc1ccc(cc1)C2=C(CC3(CC3)C2)c4ccc(cc4)S(=O)(=O)N	CHEMBL432945	pIC50=8.3
COc1ccc(cc1)C2=C(CCC2)c3ccc(cc3)S(=O)(=O)C	CHEMBL108201	pIC50=8.3
COc1ccc(cc1)c2cc(nn2c3ccc(OC)cc3)C(F)(F)F	CHEMBL29204	pIC50=8.3
COc1ccc(cc1)c2nc(OC)nn2c3ccc(OC)cc3	CHEMBL3427203	pIC50=8.31
[Na+].[O-]C(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl	CHEMBL1034	pIC50=8.52
CC(C)COc1c(Cl)cc2C=C([C@@H](Oc2c1Cl)C(F)(F)F)C(=O)O	CHEMBL1232083	pIC50=8.7
COc1ccc(cc1)c2noc(CC(=O)O)c2c3ccc(OC)cc3	CHEMBL259972	pIC50=8.85
CC(C)Cc1ccc(cc1)[C@H](CF)C(=O)O	CHEMBL1945285	pIC50=8.91
Fc1ccc(cc1)c2[nH]c(c3ccc(F)cc3)c4C5CCC(C5)c24	CHEMBL143776	pIC50=9.0
