CC(OC(C)=O)C(=O)OCC[N+](C)(C)C	aclatonium
C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1	glycopyrronium bromide	pKi=9.06000042	pKi=9.06000042	pKi=9.06000042	pIC50=9.8
CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2	methanthelinium
CCN(Cc1ccncc1)C(=O)C(CO)c2ccccc2	CHEMBL1200604	pIC50=7.6
COc1nsc(OCCOCCOCCOCCOc2nsnc2C3C=CCCN3C)n1	CHEMBL216928	pKi=7.6
O[C@@H]1C[C@H](N(C1)C(=O)CC(c2ccc(Cl)cc2)(c3ccc(Cl)cc3)c4ccc(Cl)cc4)C(=O)N5CCC[C@@H]5C(=O)NCCC6CCNCC6	CHEMBL378859	pKi=7.62
C[C@@H]1O[C@H](C[N+](C)(C)C)C[C@H]1O	CHEMBL12587	pKi=7.64
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24	olanzapine	pKi=7.66
CCN(CC)CCCOC(=O)N1c2ccccc2Sc3ccccc13	CHEMBL519609	pKi=7.68
CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13	chlorpromazine	pKi=7.68
CN1CCC[C@@H]1CCO[C@](C)(c2ccccc2)c3ccc(Cl)cc3	clemastine	pIC50=7.7
COc1nsnc1OCCCCCCCCCCCCOc2nsnc2C3=CCCN(C)C3	CHEMBL136027	pKi=7.7
O[C@@H]1C[C@H](N(C1)C(=O)CC(c2ccc(F)cc2)(c3ccc(F)cc3)c4ccc(F)cc4)C(=O)N5CCC[C@@H]5C(=O)NCC6CCN(CC7CC7)CC6	CHEMBL378772	pKi=7.7
[I-].C[N+]1(C)CCCC1c2oc(cc2)C(C3CCCCC3)c4ccccc4	CHEMBL569712	pKi=7.71
CN1CCCC(CN2c3ccccc3Sc4ccccc24)C1	CHEMBL395110	pKi=7.72
[I-].C[N+]1(C)CCC[C@@H]1[C@@H]2C[S+]([O-])[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL539121	pKi=7.72
CCN(CC)CCOC(=O)C(C)(C1CCCCC1)c2ccccc2	CHEMBL443780	pKi=7.73
CN(C)[C@H]1CCCC[C@@H]1N(C)CC(=O)N2c3ccccc3NC(=O)c4ccccc24.OC(=O)C(=O)O.OC(=O)C(=O)O	CHEMBL2021477	pKi=7.73
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(C#N)N3CCN(CC3)C4CCCCC4	CHEMBL71971	pKi=7.73
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(C#N)N3CCN(CC3)C4CCCCC4	CHEMBL2114066	pKi=7.74
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(=O)C3CCN(CC3)C4CCCCC4	CHEMBL2114067	pKi=7.75
CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1	orphenadrine	pKi=7.77
COc1ccccc1CN2CCC(CC2)C3CCN(CC3)C(=O)CCCCCCC(=O)N4CCC(CC4)C5CCN(Cc6ccccc6OC)CC5	CHEMBL130835	pKi=7.78
CN(C)[C@H]1CCCC[C@H]1N(C)CC(=O)N2c3ccccc3NC(=O)c4ccccc24.OC(=O)C(=O)O.OC(=O)C(=O)O	CHEMBL2021479	pKi=7.8
CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1	cyproheptadine	pIC50=7.8
Cl.COc1nsnc1OCCOCCOCCOCCOc2nsnc2C3=CCCN(C)C3	CHEMBL553058	pIC50=7.8
[I-].C[N+]1(C)CCCC1c2oc(cc2)C(O)(C3CCCCC3)c4ccccc4	CHEMBL569760	pKi=7.81
CCOC(=O)c1c(C)n(C)c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c12	CHEMBL107444	pKi=7.82
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(=O)C3CCN(CC3)C4CCCCC4	CHEMBL2115127	pKi=7.82
COc1ccc2C3Oc4ccc5[nH]c(C)c(C(=O)OCC=C)c5c4CN3CCc2c1	CHEMBL420662	pKi=7.82
COc1ccccc1CN2CCC(CC2)C3CCN(CCCCCCCCN4CCC(CC4)C5CCN(Cc6ccccc6OC)CC5)CC3	CHEMBL127273	pKi=7.82
[Br-].CCCCCCCCCCCCCCCC[n+]1ccccc1	CHEMBL334255	pKi=7.82
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(C#N)N3CCN(CC3)C4CCCCC4	CHEMBL2111540	pKi=7.83
CN1CCC=C(C1)c2nsnc2OCCCCCCCCCCCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354071	pKi=7.84
CCCCCCc1[nH]c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c2c1C(=O)OCC	CHEMBL105160	pKi=7.85
CN1CCCC1c2oc(cc2)C(O)(C3CCCCC3)c4ccccc4	CHEMBL583051	pKi=7.85
O=C(CCNC(=O)CNC(=O)CC(c1ccccc1)(c2ccccc2)c3ccccc3)NC[C@H]4CCCN(CC5CCCCC5)C4	CHEMBL2112955	pKi=7.85
[Br-].CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)c2ccccc2	CHEMBL2106570	pKi=7.88
CN(C)[C@@H]1CCCC[C@H]1N(C)CC(=O)N2c3ccccc3NC(=O)c4ccccc24.OC(=O)C(=O)O.OC(=O)C(=O)O	CHEMBL2021476	pKi=7.89
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(C#N)C3CCN(CC3)C4CCCCC4	CHEMBL2114064	pKi=7.9
COc1nsnc1OCCOCCOCCOCCOCCOc2nsnc2C3=CCCN(C)C3	CHEMBL386983	pKi=7.9
[I-].[I-].C[N+]1(CCCC(O)(c2ccccc2)c3ccccc3)CCC(CC1)C4CC[N+](C)(CCCC(O)(c5ccccc5)c6ccccc6)CC4	CHEMBL402207	pKi=7.9
CN(C)[C@@H]1CCCC[C@@H]1N(C)CC(=O)N2c3ccccc3NC(=O)c4ccccc24.OC(=O)C(=O)O.OC(=O)C(=O)O	CHEMBL2021478	pKi=7.91
CN(CCCCCCCCN(C)CCCCCCN(CC(=O)N1c2ccccc2C(=O)Nc3cccnc13)CC(=O)N4c5ccccc5C(=O)Nc6cccnc46)CCCCCCNCC(=O)N7c8ccccc8C(=O)Nc9cccnc79	CHEMBL265256	pKi=7.94
[I-].C[N+]1(C)CCC2(CC1)OC(=O)C(O2)(c3ccccc3)c4ccccc4	CHEMBL306182	pKi=7.95
CCCCCc1[nH]c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c2c1C(=O)OCC	CHEMBL104210	pKi=7.96
C[C@H]1CCC[C@H](\C=C\[C@@H]2[C@H]3CCCC[C@@H]3C[C@H]4[C@@H]2[C@H](C)OC4=O)N1C	CHEMBL277642	pKi=7.96
O=C(CCNC(=O)[C@@H]1CCCN1C(=O)CC(c2ccccc2)(c3ccccc3)c4ccccc4)NC[C@H]5CCCN(CC6CCCCC6)C5	CHEMBL2112958	pKi=7.96
O[C@@H]1C[C@H](N(C1)C(=O)CC(c2ccc(F)cc2)(c3ccc(F)cc3)c4ccc(F)cc4)C(=O)N5CCC[C@@H]5C(=O)NCC6CCN(CC7CCCC7)CC6	CHEMBL214898	pKi=7.96
CCCN(CCC)CC1CCCCN1CCNC(=O)N2c3ccccc3C(=O)Nc4cccnc24	CHEMBL279453	pKi=8.0
Cc1c(NC2CC2)nc(nc1N3CCCCCC3)C4CC4	CHEMBL205654	pKi=8.0
NC(CCCNC(=N)N)C(=O)CCCCCCCCNC(=N)N	CHEMBL477542	pIC50=8.0
CCN(CC)CCOC(=O)C(c1ccccc1)C2(O)CCCCC2	CHEMBL2377269	pKi=8.02
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(=O)C3CCN(CC3)C4CCCCC4	CHEMBL71531	pKi=8.04
NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c4ccccc4)c5ccccc5	CHEMBL1346	pKi=8.07
CC(CN1c2ccccc2Sc3ccccc13)N(C)C	promethazine	pIC50=8.12
CCN(CC)CCOC(=O)C(C)(c1ccccc1)c2ccccc2	CHEMBL26505	pKi=8.13
CCN(CC)CCSC(=O)C(O)(c1ccccc1)c2ccccc2	CHEMBL2377387	pKi=8.14
CCOC(=O)c1c(C)[nH]c2ccc3OC4N(CCc5cc(SC)ccc45)Cc3c12	CHEMBL105122	pKi=8.15
OC(CCN1CCCCC1)(C2CCCCC2)c3ccccc3	trihexyphenidyl	pIC50=8.17	pIC50=8.26
CN1CCC=C(C1)c2nsnc2OCCCCCCCCCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354070	pKi=8.18
CC(C)N(CC[C@H](c1ccccc1)c2cc(CCNC(=O)CCCCCNC(=O)COc3ccc(\C=C\C4=[N+]5C(=Cc6ccc(c7cccs7)n6[B-]5(F)F)C=C4)cc3)ccc2O)C(C)C	CHEMBL271108	pKi=8.2
[I-].C[N+](C)(C)C[C@@H]1CS[C@](O1)(C2CCCCC2)c3ccccc3	CHEMBL45454	pKi=8.21
CN(C)CCC=C1c2ccccc2CCc3ccccc13	CHEMBL629	pIC50=8.28
CN(C)CC1COCC(O1)(c2ccccc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL2042552	pKi=8.31
[I-].C[N+]1(C)C2CCC1CC3(C2)OC(=O)C(O3)(c4ccccc4)c5ccccc5	CHEMBL292857	pKi=8.33
CCN(CC)CCCOC(=O)C(C)(C1CCCCC1)c2ccccc2	CHEMBL284137	pKi=8.34
[I-].C[N+]1(C)CCC[C@@H]1c2oc(cc2)[C@@](O)(C3CCCCC3)c4ccccc4	CHEMBL569307	pKi=8.37
CCOC(=O)c1c(CC)[nH]c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c12	CHEMBL105148	pKi=8.4
CN1CCC[C@@H]1c2oc(cc2)[C@@](O)(C3CCCCC3)c4ccccc4	CHEMBL571121	pKi=8.4
CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c2ccccc2	oxybutynin	pKi=8.44
[I-].C[N+]1(C)CCC[C@@H]1[C@@H]2CSC(O2)(c3ccccc3)c4ccccc4	CHEMBL375851	pKi=8.46
CN1CCC[C@H]1[C@H]2CSC(O2)(c3ccccc3)c4ccccc4	CHEMBL373515	pKi=8.48
CC(C)N(CC[C@H](c1ccccc1)c2cc(C)ccc2O)C(C)C	tolterodine	pKi=8.51
CCCCc1[nH]c2ccc3OC4N(CCc5cc(SC)ccc45)Cc3c2c1C(=O)OCC	CHEMBL318995	pKi=8.52
CCOC(=O)c1c(CC)n(C)c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c12	CHEMBL106218	pKi=8.52
[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(=O)C(CO)C1=CC=CC=C1)N2C	atropine	pKi=8.52
CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2	dicycloverine	pIC50=8.53
[I-].C[N+](C)(C)CC1COCC(O1)(c2ccccc2)c3ccccc3	CHEMBL2042404	pKi=8.58
COc1nsnc1OCCOCCOCCOCCOc2nsnc2C3=CCCN(C)C3	CHEMBL216927	pKi=8.6
CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(c3ccccc3)c4ccccc4	benzatropine	pIC50=8.62
CN(C)C[C@H]1COCC(O1)(c2ccccc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL2042553	pKi=8.63
CN1CCC[C@H]1[C@H]2CS[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL385328	pKi=8.63
C[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1	methscopolamine	pIC50=8.64
O=C(CC(c1ccccc1)(c2ccccc2)c3ccccc3)N4CCC[C@H]4C(=O)N5CCC[C@@H]5C(=O)NC[C@H]6CCCN(CC7CCCCC7)C6	CHEMBL2112957	pKi=8.64
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(C)N3CCN(CC3)C4CCCCC4	CHEMBL307810	pKi=8.66
CCCc1[nH]c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c2c1C(=O)OCC	CHEMBL320465	pKi=8.7
CCCc1c(C(=O)OCC)c2c3CN4CCc5cc(OC)ccc5C4Oc3ccc2n1C	CHEMBL106224	pKi=8.7
CCCc1c(C(=O)OCC)c2c3CN4CCc5cc(SC)ccc5C4Oc3ccc2n1C	CHEMBL280220	pKi=8.7
CN1CCC=C(C1)c2nsnc2OCCOCCOCCOCCOc3nsnc3C4=CCCN(C)C4	CHEMBL335542	pKi=8.7
CN1CCC[C@@H]1[C@@H]2CSC(O2)(c3ccccc3)c4ccccc4	CHEMBL375073	pKi=8.7
[I-].C[N+]1(C)CCC[C@@H]1[C@@H]2CS[C@@](O2)(C3CCCCC3)c4ccccc4	CHEMBL220393	pKi=8.74
CN(C)CCCOC(=O)C(C)(C1CCCCC1)c2ccccc2	CHEMBL286008	pKi=8.82
CCN(CC)CCOC(=O)C(O)(C1CCCCC1)c2cccs2	CHEMBL2377267	pKi=8.83
[I-].C[N+](C)(C)C[C@H]1COCC(O1)(c2ccccc2)c3ccccc3	CHEMBL2042405	pKi=8.83
CN1CCC[C@@H]1[C@@H]2CS[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL219825	pKi=8.9
CN1CCC[C@H]1[C@H]2CS[C@@](O2)(C3CCCCC3)c4ccccc4	CHEMBL376255	pKi=8.92
[I-].C[N+]1(C)CCC(CC1)OC(=O)C(c2ccccc2)c3ccccc3	CHEMBL76897	pIC50=8.96
CN1CCC=C(C1)c2nsnc2OCCCCCCCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354069	pKi=8.97
CCCCc1[nH]c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c2c1C(=O)OCC	CHEMBL326450	pKi=9.0
CCCc1[nH]c2ccc3OC4N(CCc5cc(SC)ccc45)Cc3c2c1C(=O)OCC	CHEMBL104693	pKi=9.0
CN1CCC[C@@H]1[C@@H]2CS[C@@](O2)(C3CCCCC3)c4ccccc4	CHEMBL376870	pKi=9.0
[I-].C[N+]1(C)CCC[C@H]1[C@H]2CS[C@@](O2)(C3CCCCC3)c4ccccc4	CHEMBL376057	pKi=9.06
[I-].C[N+]1(C)CCC[C@H]1[C@H]2CS[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL219786	pKi=9.06
CN1CCC=C(C1)c2nsnc2OCCCCCCCCCOc3nsnc3C4=CCCN(C)C4	CHEMBL143469	pKi=9.11
[Br-].C[N+]1(C)[C@H]2C[C@@H](C[C@H]1[C@H]3O[C@@H]23)OC(=O)[C@H](CO)c4ccccc4	CHEMBL1201024	pIC50=9.15
[I-].C[N+]1(C)CCC[C@@H]1[C@@H]2CS[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL222259	pKi=9.15
[I-].C[N+]1(C)CCC[C@H]1[C@H]2CSC(O2)(c3ccccc3)c4ccccc4	CHEMBL375969	pKi=9.33
[Br-].CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3	CHEMBL1464005	pKi=9.42
O[C@@H](CNCCc1ccc(CCN2CCC(Cn3cnc(n3)[C@@](O)(C4CCCCC4)c5ccccc5)CC2)cc1)c6ccc(O)c7NC(=O)C=Cc67	CHEMBL3629360	pKi=9.46
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(=C)C3CCN(CC3)C4CCCCC4	CHEMBL71147	pKi=9.48
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(=C)C3CCN(CC3)C4CCCCC4	CHEMBL2115128	pKi=9.5
[Br-].OC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c4cccs4)c5cccs5	CHEMBL551466	pIC50=9.7
