N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O	levothyroxine	pIC50=8.52000046	pIC50=8.52000046	pIC50=8.52000046
N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O	liothyronine	pKi=10.1	pKi=10.1	pKi=10.1	pEC50=7.82
N[C@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O	dextrothyroxine
CC(C)c1cc(Oc2c(Br)cc3nc(cc(O)c3c2Br)C(=O)O)ccc1O	CHEMBL378593	pIC50=7.29
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)c3ccccc3O)c(Cl)c1	CHEMBL236648	pIC50=7.3
Cc1cccc(n1)c2nn3CCCc3c2c4ccnc5cc(Cl)ccc45	CHEMBL332344	pIC50=7.32
CCCC(C)C(=O)Nc1ccc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)cc1Br	CHEMBL205171	pIC50=7.33
Cc1cccc(n1)c2nn3CCCc3c2c4ccc(O)cc4	CHEMBL330814	pIC50=7.33
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(Oc3cccc(O)c3)c2)c(Br)c1	CHEMBL235385	pIC50=7.33
CCCC(CCC)C(=O)Nc1ccc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)cc1Br	CHEMBL202336	pIC50=7.35
CC(C)c1cc(Oc2c(C)cc(SCP(=O)(O)O)cc2C)ccc1O	CHEMBL458784	pKi=7.38
Cc1cc(NC(=O)CC(=O)O)c2CCCc2c1Oc3ccc(O)c(CCc4cccc(Cl)c4)c3	CHEMBL2312271	pKi=7.39
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)c3cccnc3)c(Cl)c1	CHEMBL237722	pIC50=7.39
CC(C)C1=CC(=NN(C)C1=O)Oc2c(Cl)cc(cc2Cl)N3N=C(C#N)C(=O)NC3=O	CHEMBL3261333	pEC50=7.4
CC(C)Cc1cc(Oc2c(C)cc(NC(=O)CC(=O)O)c3CCCc23)ccc1O	CHEMBL2312278	pKi=7.4
CC(C)c1cc(Cn2c(C)cc3c(NC(=O)C(=O)O)cccc23)ccc1O	CHEMBL3126367	pIC50=7.4
Cc1cc(NC(=O)CC(=O)O)c2CCCc2c1Oc3ccc(O)c(CCc4ccc(Cl)cc4)c3	CHEMBL2312272	pKi=7.4
Cc1cc(NC(=O)CC(=O)O)c2CCCc2c1Oc3ccc(O)c(CCc4ccccc4)c3	CHEMBL2312263	pKi=7.4
CC(C)c1cc(Cc2c(C)cc(OCC(=O)O)cc2C)cc(C#Cc3ccccc3)c1O	CHEMBL111953	pKd=7.43
CC(C)c1cc(Cn2c(C)c(CCC(=O)O)c3ccccc23)ccc1O	CHEMBL3126374	pEC50=7.43
CC(C)c1cc(Cn2c(C)c(CCCC(=O)O)c3ccccc23)ccc1O	CHEMBL3126375	pEC50=7.43
COc1ccc(CCNC(=O)c2cc(Oc3c(Br)cc(CC(=O)O)cc3Br)ccc2O)cc1	CHEMBL237958	pIC50=7.43
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(c2)C(=O)NCC(c3ccccc3)c4ccccc4)c(Br)c1	CHEMBL235177	pIC50=7.43
CC(C)c1cc(Oc2c(C)cc(NC(=O)P(=O)(O)O)cc2C)ccc1O	CHEMBL505084	pKi=7.44
Oc1ccc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)cc1I	CHEMBL259096	pKd=7.44
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(c2)C(=O)Nc3ccccc3)c(Br)c1	CHEMBL235608	pIC50=7.45
CC(C)c1cc(Cc2c(C)cc(OCC(=O)O)cc2C)cc(c1O)c3ccc(cc3)[N+](=O)[O-]	CHEMBL112087	pKd=7.46
CC(C)CCc1cc(Oc2c(C)cc(NC(=O)CC(=O)O)c3CCCc23)ccc1O	CHEMBL2312279	pKi=7.5
CC(C)c1cc(Cc2c(C)cc(CCP(=O)(O)O)cc2C)ccc1O	CHEMBL519215	pKi=7.5
CC(C)c1cc(Oc2c(Br)cc(CC3NC(=O)NC3=O)cc2Br)ccc1O	CHEMBL263631	pEC50=7.5
CC(C)c1cc(Oc2c(Cl)cc(NCP(=O)(O)O)cc2Cl)ccc1O	CHEMBL516330	pKi=7.52
Cc1cc(NC(=O)CC(=O)O)c2CCCc2c1Oc3ccc(O)c(CCc4ccccc4Cl)c3	CHEMBL2312270	pKi=7.52
OC(=O)Nc1cc(Cl)c(c(Cl)c1)c2cccc3c(c(O)ccc23)c4ccccc4	CHEMBL196613	pIC50=7.54
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)c3nccs3)c(Cl)c1	CHEMBL235164	pIC50=7.55
CCc1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O	CHEMBL264153	pEC50=7.57
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@H](CC(=O)O)C(=O)O)cc2Br)ccc1O	CHEMBL236498	pIC50=7.59
Oc1ccc(Oc2c(I)cc(CP(=O)(O)O)cc2I)cc1I	CHEMBL459148	pKi=7.59
CC(C)c1cc(Oc2c(C)cc(OCP(=O)(O)O)cc2C)ccc1O	CHEMBL457529	pKi=7.6
CC(C)c1cc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)ccc1O	CHEMBL41036	pEC50=7.64
CCNc1cccc(COc2c(Br)cc(CCC(=O)O)cc2Br)c1	CHEMBL250308	pIC50=7.64
CC(C)c1cc(Oc2c(Br)cc(CCC(=O)O)cc2Br)cc(\C=C\c3ccncc3)c1O	CHEMBL217221	pIC50=7.66
OC(=O)CCC(=O)Nc1cc(Cl)c(c(Cl)c1)c2cccc3c(Br)c(O)ccc23	CHEMBL372428	pIC50=7.66
CC(C)c1cc(Oc2c(Cl)cc(cc2Cl)C(=O)O)ccc1O	CHEMBL40738	pIC50=7.68
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)c3cccc(c3)c4ccccc4)c(Cl)c1	CHEMBL442082	pIC50=7.68
CC(C)c1cc(Oc2c(C)cc(NC(=O)CC(=O)O)c(C)c2C)ccc1O	CHEMBL2035877	pKi=7.69
CC(C)c1cc(Cc2c(C)cc(OCC(=O)O)cc2C)cc(C#Cc3ccc(cc3)[N+](=O)[O-])c1O	CHEMBL109279	pKd=7.7
CC(C)c1cc(Cc2c(C)cc(NC(=O)CC(=O)O)c3CCCc23)ccc1O	CHEMBL2035884	pKi=7.71
CC(C)C(=O)Nc1ccc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)cc1Br	CHEMBL202940	pIC50=7.74
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(c2)C(=O)NCCCCc3ccccc3)c(Br)c1	CHEMBL429078	pIC50=7.74
CC(C)c1cc(Cc2c(C)cc(OCC(=O)O)cc2C)ccc1O	CHEMBL107400	pEC50=7.75
Cc1cc(NC(=O)CC(=O)O)c2CCCc2c1Oc3ccc(O)c(CCC4CCCCC4)c3	CHEMBL2312280	pKi=7.77
CCC(CC)C(=O)Nc1ccc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)cc1Br	CHEMBL204609	pIC50=7.8
CC(C)c1cc(Oc2c(Br)cc(CP(=O)(O)O)cc2Br)ccc1O	CHEMBL519721	pKi=7.81
CC(C)c1cc(Oc2c(C)cc(C(=O)NCC(=O)O)c3CCCc23)ccc1O	CHEMBL2035882	pKi=7.82
CC(C)c1cc(Oc2c(C)cc3nc(ccc3c2C)C(=O)O)ccc1O	CHEMBL203555	pIC50=7.82
CC(C)c1cc(Oc2c(Cl)cc3NC(=CC(=O)c3c2Cl)C(=O)O)ccc1O	CHEMBL250880	pIC50=7.82
Cc1cc(NC(=O)CC(=O)O)c2CCCc2c1Oc3ccc(O)c(CC4=NNC(=O)C=C4)c3	CHEMBL2312262	pKi=7.85
CN1CCN(CC1)S(=O)(=O)c2cc(Oc3c(C)cc(cc3Cl)N4N=CC(=O)NC4=O)ccc2O	CHEMBL127338	pKi=7.89
OC(=O)Cc1cc(Cl)c(c(Cl)c1)c2cccc3c(Br)c(O)ccc23	CHEMBL195079	pIC50=7.89
CC(C)[C@H](NC(=O)Cc1cc(Br)c(Oc2cc(F)c(O)c(c2)C(C)C)c(Br)c1)C(=O)O	CHEMBL236499	pIC50=7.92
Cc1cc(NC(=O)CC(=O)O)c2CCCc2c1Oc3ccc(O)c(CCc4ccc(F)cc4F)c3	CHEMBL2312268	pKi=7.92
COc1cccc(c1)c2cc(Oc3c(Cl)cc(CC(=O)O)cc3Cl)ccc2O	CHEMBL394644	pIC50=7.96
CC(C)c1cc(Oc2c(C)cc(NC(=O)CC(=O)O)cc2C)ccc1O	CHEMBL2035875	pKi=8.0
CCc1cc(Cc2c(C)cc(OCP(=O)(O)O)cc2C)ccc1O	CHEMBL485928	pKi=8.01
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(Cc3ccc(cc3)C(F)(F)F)c2)c(Br)c1	CHEMBL251090	pIC50=8.02
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(Oc3ccc(cc3)C(F)(F)F)c2)c(Br)c1	CHEMBL394176	pIC50=8.02
CC(C)c1cc(Cc2c(C)cc(NCP(=O)(O)O)cc2C)ccc1O	CHEMBL485758	pKi=8.04
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(Br)c2)c(Cl)c1	CHEMBL371245	pIC50=8.05
CC(C)c1cc(Oc2c(Br)cc3CC(Cc3c2Br)C(=O)O)ccc1O	CHEMBL203828	pIC50=8.07
CC(C)c1cc(Oc2c(Br)cc3NC(Cc3c2Br)C(=O)O)ccc1O	CHEMBL401392	pIC50=8.07
COc1cccc(CCNC(=O)c2cc(Oc3c(Br)cc(CC(=O)O)cc3Br)ccc2O)c1	CHEMBL238178	pIC50=8.07
COc1ccccc1CCNC(=O)c2cc(Oc3c(Br)cc(CC(=O)O)cc3Br)ccc2O	CHEMBL392925	pIC50=8.07
Cc1cc(NC(=O)CC(=O)O)c2CCCc2c1Oc3ccc(O)c(CCc4ccc(F)cc4)c3	CHEMBL2312264	pKi=8.09
Cc1cn(Cc2ccc(O)c(c2)C3CCCCC3)c4ccc(OCC(=O)O)cc14	CHEMBL3397347	pKi=8.1
CC(C)c1cc(Oc2c(C)cc(NC(=O)CC(=O)O)c3CCCc23)ccc1O	CHEMBL2035878	pKi=8.11
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)C3CCCCC3)c(Cl)c1	CHEMBL396304	pIC50=8.11
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(Oc3ccccc3C(F)(F)F)c2)c(Br)c1	CHEMBL235383	pIC50=8.12
Cc1c(O)ccc2c(cccc12)c3c(Cl)cc(NC(=O)O)cc3Cl	CHEMBL193615	pIC50=8.14
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(c2)C(=O)NCCCc3ccccc3)c(Br)c1	CHEMBL235816	pIC50=8.17
CCC(C)c1cc(Cc2c(C)cc(OCP(=O)(O)O)cc2C)ccc1O	CHEMBL448595	pKi=8.18
CC(C)c1cc(Oc2c(C)cc(C[C@H](N)C(=O)O)cc2C)ccc1O	CHEMBL105983	pKd=8.21
Cc1cc(NC(=O)CC(=O)O)c2CCCc2c1Oc3ccc(O)c(CCc4ccc(F)c(F)c4)c3	CHEMBL2312269	pKi=8.22
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(Oc3ccc(O)cc3)c2)c(Br)c1	CHEMBL235607	pIC50=8.22
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(Oc3ccccc3)c2)c(Br)c1	CHEMBL235165	pIC50=8.22
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@H](C)C(=O)O)cc2Br)ccc1O	CHEMBL440975	pIC50=8.23
Oc1ccc(Oc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O)cc1C(=O)N4CCCCC4	CHEMBL125242	pIC50=8.28
CCC(C)C(=O)Nc1ccc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)cc1Br	CHEMBL381937	pIC50=8.37
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(c2)C(=O)NC(=O)c3ccccc3)c(Br)c1	CHEMBL391945	pIC50=8.38
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(c2)C(=O)NCc3ccccc3)c(Br)c1	CHEMBL249445	pIC50=8.38
CC(C)c1cccc(c1)c2cc(Oc3c(Cl)cc(CC(=O)O)cc3Cl)ccc2O	CHEMBL393489	pIC50=8.4
Cc1cc(NC(=O)CC(=O)O)c2CCCc2c1Oc3ccc(O)c(Cc4ccc(F)cc4)c3	CHEMBL2312281	pKi=8.43
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)C(=O)NCCc3ccccc3)c(Cl)c1	CHEMBL235835	pIC50=8.46
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)C(=O)NCc3ccccc3)c(Cl)c1	CHEMBL254607	pIC50=8.46
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)c3cccc(OC(F)(F)F)c3)c(Cl)c1	CHEMBL236438	pIC50=8.47
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)c3ccccc3C(F)(F)F)c(Cl)c1	CHEMBL442280	pIC50=8.49
Cc1cn(Cc2ccc(O)c(c2)c3ccccc3)c4ccc(OCC(=O)O)cc14	CHEMBL3397346	pKi=8.5
CC(C)c1cc(Cc2c(C)cc(OCP(=O)(O)O)cc2C)ccc1O	CHEMBL471488	pKi=8.53
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)c3ccccc3)c(Cl)c1	CHEMBL235788	pEC50=8.54
CC(C)c1cc(Oc2c(Br)cc(CC(=O)NCC(=O)O)cc2Br)ccc1O	CHEMBL236080	pIC50=8.57
CC(C)c1cc(Oc2c(C)cc(NC(=O)C(=O)O)c3CCCc23)ccc1O	CHEMBL2035881	pKi=8.59
CC(C)c1cc(Oc2c(Br)cc(CCP(=O)(O)O)cc2Br)ccc1O	CHEMBL486359	pKi=8.6
CC(C)c1cc(Oc2c(Br)cc(OCP(=O)(O)O)cc2Br)ccc1O	CHEMBL457527	pKi=8.6
CCOC(=O)C(=O)Nc1cc(C)c(Oc2ccc(O)c(c2)C(O)c3ccc(F)cc3)c(C)c1	CHEMBL159682	pKi=8.66
CC(C)c1cc(Oc2c(Br)cc(cc2Br)C(=O)O)ccc1O	CHEMBL289965	pIC50=8.68
CSc1ccc(Oc2c(C)cc(cc2C)N3N=CC(=O)NC3=O)cc1C	CHEMBL56801	pKi=8.7
Oc1ccc(Oc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O)cc1C(=O)N4CCOCC4	CHEMBL124819	pIC50=8.7
Oc1ccc(Oc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O)cc1C(=O)N4CCc5ccccc5C4	CHEMBL596350	pKi=8.7
Cc1cc(cc(Cl)c1Oc2ccc(O)c(c2)C(=O)N3CCCCC3)N4N=CC(=O)NC4=O	CHEMBL340490	pKi=8.72
OC(=O)CCNc1cc(Cl)c(c(Cl)c1)c2cccc3c(Br)c(O)ccc23	CHEMBL198875	pIC50=8.75
OC(=O)CNc1cc(Cl)c(c(Cl)c1)c2cccc3c(Br)c(O)ccc23	CHEMBL193864	pIC50=8.75
Oc1ccc(Oc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O)cc1C(=O)NC4CCC4	CHEMBL124318	pIC50=8.75
CC(C)c1cc(Oc2c(Cl)cc(NC(=O)CC(=O)O)c(Cl)c2Cl)ccc1O	CHEMBL2035876	pKi=8.81
CC(C)c1cc(Oc2c(Br)cc(NCP(=O)(O)O)cc2Br)ccc1O	CHEMBL511862	pKi=8.82
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@@H](C)C(=O)O)cc2Br)ccc1O	CHEMBL391367	pIC50=8.89
Cc1cc(cc(C)c1Oc2ccc(O)c(c2)S(=O)(=O)N3CCCCC3)N4N=CC(=O)NC4=O	CHEMBL333650	pIC50=8.89
Oc1ccc(Oc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O)cc1S(=O)(=O)NC4CCCCC4	CHEMBL340158	pIC50=8.89
CC(C)c1cc(Cc2c(C)cc(C[C@H](N)C(=O)O)cc2C)ccc1O	CHEMBL110335	pKd=8.9
CC(C)c1cc(Oc2c(Br)cc(NC(=O)CC(=O)O)c3CCCc23)ccc1O	CHEMBL2035879	pKi=8.92
CC(C)c1cc(Cn2c(C)cc3cc(OCC(=O)O)ccc23)ccc1O	CHEMBL3397334	pKi=8.95
Oc1ccc(Oc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O)cc1S(=O)(=O)NC4CCC4	CHEMBL124039	pIC50=8.95
Cc1cn(Cc2ccc(O)c(CC3CCCCC3)c2)c4ccc(OCC(=O)O)cc14	CHEMBL3397345	pKi=8.96
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(Oc3cccc(c3)C(F)(F)F)c2)c(Br)c1	CHEMBL235384	pIC50=8.96
CC(C)c1cc(Cn2ccc3cc(OCC(=O)O)ccc23)ccc1O	CHEMBL3397333	pKi=8.98
CC1(C)C2CCC1(C)[C@@H](C2)NC(=O)c3cc(Oc4c(Cl)cc(cc4Cl)N5N=CC(=O)NC5=O)ccc3O	CHEMBL237529	pIC50=8.99
CC(C)c1cc(Oc2c(I)cc(OCP(=O)(O)O)cc2I)ccc1O	CHEMBL457528	pKi=9.01
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)c3cccc(c3)C(F)(F)F)c(Cl)c1	CHEMBL442243	pIC50=9.03
Oc1ccc(Oc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O)cc1S(=O)(=O)N4C5CCC4CC6(C5)OCCO6	CHEMBL125317	pIC50=9.06
CC(C)c1cc(Oc2c(I)cc(CP(=O)(O)O)cc2I)ccc1O	CHEMBL512383	pKi=9.08
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@H](C(=O)O)c3ccccc3)cc2Br)ccc1O	CHEMBL236290	pIC50=9.11
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)c3cccc(OC(F)F)c3)c(Cl)c1	CHEMBL236436	pIC50=9.11
CC(C)[C@@H](NC(=O)Cc1cc(Br)c(Oc2ccc(O)c(c2)C(C)C)c(Br)c1)C(=O)O	CHEMBL391512	pIC50=9.15
Cc1cn(Cc2ccc(O)c(c2)C3CCCC3)c4ccc(OCC(=O)O)cc14	CHEMBL3397344	pKi=9.19
Oc1ccc(Oc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O)cc1S(=O)(=O)N4CCc5ccccc45	CHEMBL237096	pIC50=9.19
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(c2)C(=O)NCCc3ccccc3)c(Br)c1	CHEMBL235609	pIC50=9.21
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@@H](C(=O)O)c3ccccc3)cc2Br)ccc1O	CHEMBL236291	pIC50=9.22
Oc1ccc(Oc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O)cc1C(=O)N4CC5CCC4C5	CHEMBL338602	pKi=9.23
Cc1cn(Cc2ccc(O)c(Cc3ccccc3)c2)c4ccc(OCC(=O)O)cc14	CHEMBL3397343	pKi=9.27
CCCCCc1ccc(cc1)C#Cc2cc(Cc3c(C)cc(OCC(=O)O)cc3C)cc(C(C)C)c2O	CHEMBL109430	pKd=9.28
Oc1ccc(Oc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O)cc1Cc4ccc(F)cc4	CHEMBL594024	pKi=9.29
Cc1cc(NC(=O)C(=O)O)cc(C)c1Oc2ccc(O)c3CCCc23	CHEMBL608990	pKi=9.3
Cc1cc(NC(=O)CC(=O)O)cc(Cl)c1Oc2ccc(O)c(c2)S(=O)(=O)CC3CCC3	CHEMBL594047	pKi=9.3
CC(C)c1cc(Oc2c(C)cc(NC(=O)C(=O)O)cc2C)ccc1O	CHEMBL46882	pKi=9.33
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)C(=O)NCC(c3ccccc3)c4ccccc4)c(Cl)c1	CHEMBL2203702	pEC50=9.33
CC(C)c1cc(Oc2c(Br)cc(NC(=O)CC(=O)O)cc2Br)ccc1O	CHEMBL2035874	pKi=9.37
Cc1cc(cc(C)c1Oc2ccc(O)c(Cc3ccc(F)cc3)c2)N4N=CC(=O)NC4=O	CHEMBL594025	pKi=9.4
CC(C)c1cc(Cn2cc(C)c3cc(OCC(=O)O)ccc23)ccc1O	CHEMBL3397335	pKi=9.42
CC(C)c1cc(Oc2c(C)cc(OCC(=O)O)cc2C)ccc1O	CHEMBL419016	pKd=9.44
Cc1cc(cc(Cl)c1Oc2ccc(O)c(c2)S(=O)(=O)N3CCCCC3)N4N=CC(=O)NC4=O	CHEMBL125728	pIC50=9.44
COc1ccc2c(cccc2c1C(C)C)c3c(Cl)cc(NC(=O)CC(=O)O)cc3Cl	CHEMBL196642	pIC50=9.52
Cc1cn(Cc2ccc(O)c(c2)C(C)(C)C)c3ccc(OCC(=O)O)cc13	CHEMBL3397342	pKi=9.52
OC(=O)C(=O)Nc1cc(Cl)c(c(Cl)c1)c2cccc3c(Br)c(O)ccc23	CHEMBL198367	pIC50=9.52
OC(=O)CC(=O)Nc1cc(Cl)c(c(Cl)c1)c2cccc3c(Br)c(O)ccc23	CHEMBL194242	pIC50=9.52
CC(C)c1cc(Oc2c(Br)cc3[nH]c(cc3c2Br)C(=O)O)ccc1O	CHEMBL425939	pIC50=9.55
CC(C)c1cc(Oc2c(Cl)cc(CCC(=O)O)cc2Cl)ccc1O	CHEMBL418432	pEC50=9.55
Oc1ccc(Oc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O)cc1S(=O)(=O)Nc4ccccc4	CHEMBL126693	pIC50=9.55
CC(C)[C@H](NC(=O)Cc1cc(Br)c(Oc2ccc(O)c(c2)C(C)C)c(Br)c1)C(=O)O	CHEMBL236289	pIC50=9.57
N[C@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O	CHEMBL557	pIC50=9.58
CC(C)c1cc(Cn2ccc3cc(OCC(=O)O)cc(C)c23)ccc1O	CHEMBL3397336	pKi=9.59
Oc1ccc(Oc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O)cc1S(=O)(=O)n4ccc5ccccc45	CHEMBL123920	pKi=9.64
CC(C)c1cc(Cc2c(C)cc(CCC(=O)O)cc2C)ccc1O	CHEMBL322361	pKd=9.66
CC(C)c1cc(Oc2c(Br)cc(CC(=O)O)cc2Br)ccc1O	CHEMBL39174	pEC50=9.7
CCc1cccc(c1)c2cc(Oc3c(Cl)cc(CC(=O)O)cc3Cl)ccc2O	CHEMBL251456	pIC50=9.7
