CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O	alprostadil	pEC50=8.0	pEC50=8.0	pEC50=8.0
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O	dinoprostone	pKi=8.77	pKi=8.77	pKi=8.77	pIC50=7.42
[H][C@@]1(O)CC(=O)[C@]([H])(CCCCCCCO)[C@@]1([H])\C=C\CC(C)(O)CCCC	rioprostil
O[C@@H](Cc1ccccc1)\C=C\[C@H]2CCC(=O)N2CCSc3nc(cs3)C(=O)O	CHEMBL1933725	pEC50=8.25
O[C@@H]1C[C@@H]2O[C@H](CC[C@@H]2[C@H]1COc3cccc(F)c3)c4nc(cs4)C(=O)O	CHEMBL3806076	pEC50=8.27
ONC(=O)c1ccc(CNC(=O)c2[nH]c(cc2c3ccc(O)cc3)c4cocc4)cc1	CHEMBL3670657	pKi=8.36
Cc1cc(OC[C@H]2[C@H](O)C[C@@H]3O[C@H](CC[C@H]23)c4nc(cs4)C(=O)O)ccc1C(F)(F)F	CHEMBL3793809	pEC50=8.41
O[C@@H]1C[C@@H]2O[C@H](CC[C@@H]2[C@H]1COc3ccc(Cl)cc3)c4nc(cs4)C(=O)O	CHEMBL3793786	pEC50=8.41
O[C@@H]1C[C@@H]2O[C@H](CC[C@@H]2[C@H]1\C=C\CCOc3ccccc3)c4nc(cs4)C(=O)O	CHEMBL3805176	pEC50=8.41
CCC1(CCC1)[C@@H](O)C\C=C\[C@H]2[C@H](O)C[C@@H](Cl)[C@@H]2C\C=C/CCCC(=O)O	CHEMBL64246	pEC50=8.42
COC(=O)c1ccc(CNC(=O)c2[nH]c(cc2c3ccc(F)cc3)c4cccs4)nc1	CHEMBL3670656	pKi=8.42
ONC(=O)c1ccc(CNC(=O)c2[nH]c(cc2c3ccc(F)cc3)c4cccs4)nc1	CHEMBL3670658	pKi=8.42
O[C@@H]1C[C@@H]2O[C@H](CC[C@@H]2[C@H]1\C=C\COc3ccccc3)c4nc(cs4)C(=O)O	CHEMBL3805693	pEC50=8.42
O[C@@H]1C[C@@H]2O[C@H](CC[C@@H]2[C@H]1COc3cc(Cl)c(Cl)cc3Cl)c4nc(cs4)C(=O)O	CHEMBL3793862	pEC50=8.43
Cc1cccc(OC[C@H]2[C@H](O)C[C@@H]3O[C@H](CC[C@H]23)c4nc(cs4)C(=O)O)c1	CHEMBL3805554	pEC50=8.44
O[C@@H]1C[C@@H]2O[C@H](CC[C@@H]2[C@H]1COc3ccccc3Cl)c4nc(cs4)C(=O)O	CHEMBL3805767	pEC50=8.48
COc1ccc(cc1)c2cc([nH]c2C(=O)Nc3oc(cc3)C(=O)NO)c4ccccc4	CHEMBL3670662	pKi=8.51
CCCCC1(CCC1)[C@H](O)\C=C\[C@H]2COC(=O)N2CCSc3nc(cs3)C(=O)O	CHEMBL3753221	pEC50=8.54
Cc1ccc(OC[C@H]2[C@H](O)C[C@@H]3O[C@H](CC[C@H]23)c4nc(cs4)C(=O)O)cc1C	CHEMBL3793797	pEC50=8.54
O[C@H](\C=C\[C@H]1COC(=O)N1CCSc2nc(cs2)C(=O)O)C3(CCCCF)CCC3	CHEMBL3751951	pEC50=8.54
OC(=O)c1[nH]c(cc1c2ccc(O)cc2)c3cocc3	CHEMBL3670654	pKi=8.55
Cc1cc(OC[C@H]2[C@H](O)C[C@@H]3O[C@H](CC[C@H]23)c4nc(cs4)C(=O)O)cc(C)c1Cl	CHEMBL3794016	pEC50=8.64
O[C@@H]1C[C@@H]2O[C@H](CC[C@@H]2[C@H]1COc3ccc(Cl)c(Cl)c3Cl)c4nc(cs4)C(=O)O	CHEMBL3792632	pEC50=8.64
Cc1cc(OC[C@H]2[C@H](O)C[C@@H]3O[C@H](CC[C@H]23)c4oc(cc4)C(=O)O)ccc1Cl	CHEMBL3794226	pEC50=8.66
CC(C)c1cc(OC[C@H]2[C@H](O)C[C@@H]3O[C@H](CC[C@H]23)c4nc(cs4)C(=O)O)ccc1Cl	CHEMBL3793020	pEC50=8.7
OC(=O)c1[nH]c(cc1c2ccc(F)cc2)c3cccs3	CHEMBL3670653	pKi=8.72
COc1cc(OC[C@H]2[C@H](O)C[C@@H]3O[C@H](CC[C@H]23)c4nc(cs4)C(=O)O)ccc1Cl	CHEMBL3794585	pEC50=8.75
O[C@@H](C\C=C\[C@H]1[C@H](O)C[C@@H](Cl)[C@@H]1C\C=C/CCCC(=O)O)C2(CC=C)CCC2	CHEMBL3286796	pEC50=8.75
ONC(=O)c1oc(CNC(=O)c2[nH]c(cc2c3ccc(F)cc3)c4ccccc4)cc1	CHEMBL3670663	pKi=8.82
O[C@@H]1C[C@@H]2O[C@H](CC[C@@H]2[C@H]1CCOc3ccccc3)c4nc(cs4)C(=O)O	CHEMBL3806130	pEC50=8.85
ONC(=O)c1ccc(CNC(=O)c2[nH]c(cc2c3ccc(F)cc3)c4cocc4)cc1	CHEMBL3670659	pKi=8.96
CCCCC(C)(C)[C@H](O)\C=C\[C@H]1CCC(=O)N1CCSc2nc(cs2)C(=O)O	CHEMBL3752377	pEC50=9.04
Cc1cc(OC[C@H]2[C@H](O)C[C@@H]3O[C@H](CC[C@H]23)c4nc(cs4)C(=O)O)ccc1Cl	CHEMBL3793892	pEC50=9.16
CCc1cc(OC[C@H]2[C@H](O)C[C@@H]3O[C@H](CC[C@H]23)c4nc(cs4)C(=O)O)ccc1Cl	CHEMBL3794466	pEC50=9.17
O[C@@H]1C[C@@H]2O[C@H](CC[C@@H]2[C@H]1COc3ccc(Cl)c(Cl)c3)c4nc(cs4)C(=O)O	CHEMBL3793802	pEC50=9.24
CCCC[C@H](C)C[C@H](O)\C=C\[C@H]1CCC(=O)N1CCSc2nc(cs2)C(=O)O	CHEMBL3754586	pEC50=9.41
Cc1cc(OC[C@H]2[C@@H](O)C[C@@H]3O[C@H](CC[C@H]23)c4nc(cs4)C(=O)O)ccc1Cl	CHEMBL3793515	pEC50=9.85
O[C@@H]1C[C@@H]2O[C@H](CC[C@@H]2[C@H]1COc3ccc(Cl)c(c3)C(F)(F)F)c4nc(cs4)C(=O)O	CHEMBL3794302	pEC50=9.96
