NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N1	pemetrexed	pIC50=6.4685	pIC50=6.4685	pIC50=6.4685	pKi=6.47
CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O	capecitabine
FC1=CNC(=O)NC1=O	fluorouracil
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O	floxuridine
Nc1cc(N)c2nc(c(Nc3ccc(Cl)c(Cl)c3)nc2c1)c4ccccc4	CHEMBL465890	pKi=6.05
[O-][N+](=O)c1cc(ccc1S(=O)(=O)Nc2cc3C(=O)OC(=O)c4cccc(c2)c34)C(F)(F)F	CHEMBL2323392	pKi=6.05
CN(Cc1ccc2N=C(C)NC(=O)c2c1)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(N)c3	CHEMBL105597	pIC50=6.07
CN(Cc1ccc(cc1)S(=O)(=O)N2CCNCC2)c3ccc4NC(=O)c5cccc3c45	CHEMBL57002	pKi=6.08
Cc1[nH]c2nc(N)nc(O)c2c1Sc3ccc(F)c(Cl)c3	CHEMBL370106	pIC50=6.08
CC1=Nc2sc3cccc(CNc4ccc5C(=O)N(Cc5c4)[C@@H](CCC(=O)O)C(=O)O)c3c2C(=O)N1	CHEMBL1818549	pIC50=6.1
Cc1[nH]c2nc(N)nc(O)c2c1Sc3ccc(cc3)C(F)(F)F	CHEMBL364453	pIC50=6.1
Cn1cc(cc1C(F)(F)F)c2ccc(s2)S(=O)(=O)Nc3cc4C(=O)OC(=O)c5cccc(c3)c45	CHEMBL2323362	pKi=6.1
O=C1OC(=O)c2cc(NS(=O)(=O)c3cccc4ccccc34)cc5cccc1c25	CHEMBL2323395	pKi=6.1
CN(Cc1ccc(cc1)S(=O)(=O)c2ccccc2)c3ccc4NC(=O)c5cccc3c45	CHEMBL301844	pKi=6.11
CNc1nc2cc3CCCN(Cc4ccc(cc4)S(=O)(=O)c5ccccc5)c3cc2[nH]1	CHEMBL169726	pKi=6.11
Cc1ccccc1[S+]([O-])c2ccc(cc2)N(CC#C)Cc3ccc4nc(C)nc(O)c4c3	CHEMBL159209	pKi=6.11
OCCN(Cc1ccc2N=C(CO)NC(=O)c2c1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL105519	pIC50=6.11
CC1=Nc2ccc(CN(CC=C)c3ccc(nc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL41445	pIC50=6.12
CCN(Cc1ccc2N=C(C)NC(=O)c2c1)c3ncc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL1097597	pIC50=6.12
Cc1nc(O)c2cc(CN(CC#C)c3ccc(cc3)[S+]([O-])c4ccccc4Cl)ccc2n1	CHEMBL161685	pKi=6.12
CCc1sc2N=C(N)NC(=O)c2c1Sc3ccc(Cl)cc3	CHEMBL564277	pIC50=6.13
CN(CC1CNC2=C(N1CC3=CNC(=O)NC3=O)C(=O)NC(=N2)N)c4ccc(cc4)C(=O)NC(CCC(=O)O)C(=O)O	CHEMBL1161432	pKi=6.13
OC(=O)CCC(NC(=O)c1ccc(CN(CC#C)Cc2ccc3ccnc(O)c3c2)cc1)C(=O)O	CHEMBL92234	pIC50=6.13
Cc1ccc2CCc3nc(N)nc(O)c3c2c1	CHEMBL306046	pIC50=6.14
Nc1nc(O)c2c(ccc3cc(Cl)c(Cl)cc23)n1	CHEMBL73594	pIC50=6.15
CCc1sc2N=C(N)NC(=O)c2c1Sc3cc(Cl)cc(Cl)c3	CHEMBL560912	pIC50=6.16
COc1ccc(Nc2nc3cc(cc(c3nc2c4ccccc4)[N+](=O)[O-])[N+](=O)[O-])cc1	CHEMBL463668	pKi=6.16
CCN(Cc1ccc2N=C(C)NC(=O)c2c1)c3ccc(cc3F)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL105384	pIC50=6.17
Nc1nc(O)c2c(CCc3cc(ccc23)S(=O)(=O)N(CC#C)c4ccc(cc4)C(=O)N[C@@H](CCC(=O)O)C(=O)O)n1	CHEMBL333402	pKi=6.18
Nc1nc(O)c2c(CCc3ccc(Cl)cc23)n1	CHEMBL76322	pIC50=6.18
CN(Cc1ccc2N=C(CO)NC(=O)c2c1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL321284	pIC50=6.19
COc1ccc2nc(C)nc(O)c2c1Sc3ccncc3	CHEMBL164289	pKi=6.19
Nc1ccc2ccc3nc(N)nc(O)c3c2c1	CHEMBL73200	pIC50=6.2
CC(C)C1=Nc2ccc(CN(CC#C)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL102317	pIC50=6.21
Cc1ncc([N+](=O)[O-])n1CCSc2oc(nn2)c3ccccc3[N+](=O)[O-]	CHEMBL2348578	pIC50=6.21
CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O	methotrexate	pKi=6.22
Nc1nc(O)c2c(ccc3ccc(cc23)C#C)n1	CHEMBL423859	pIC50=6.22
O=C1OC(=O)c2cc(NS(=O)(=O)\C=C\c3ccccc3)cc4cccc1c24	CHEMBL2323403	pKi=6.22
CC1=Nc2ccc(CN(CCCO)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c3)cc2C(=O)N1	CHEMBL104851	pIC50=6.23
CCc1ccc2nc(C)nc(O)c2c1Sc3ccncc3	CHEMBL351840	pKi=6.23
CCN(Cc1ccc2N=C(C)NC(=O)c2c1)c3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL1095266	pIC50=6.24
OC(=O)CC[C@H](NC(=O)c1ccc(cc1)N(CC#C)Cc2ccc3N=C(CF)NC(=O)c3c2)C(=O)O	CHEMBL322176	pIC50=6.24
CC1=Nc2ccc(CN(CCF)c3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL1096899	pIC50=6.26
Cc1nc(O)c2cc(CN(CC#C)c3ccc(cc3)[S+]([O-])c4ccccc4)ccc2n1	CHEMBL162754	pKi=6.26
CC1=Nc2ccc(CN(CCCO)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL104748	pIC50=6.27
Cc1c(Sc2ccc(cc2)C(=O)N[C@@H](CCC(=O)O)C(=O)O)[nH]c3nc(N)nc(N)c13	CHEMBL389643	pIC50=6.27
Nc1nc(N)c2c(n1)[nH]c3cccc(Sc4ccccc4)c23	CHEMBL1093099	pIC50=6.27
Oc1nc(NC=O)nc2ccc3ccc(Br)cc3c12	CHEMBL75759	pIC50=6.27
Oc1nc(NCc2ccccc2)nc3ccc4c(Br)cccc4c13	CHEMBL73314	pIC50=6.28
Cc1ccc(cc1)N(CC#C)Cc2nc3cc(ccc3nc2c4ccccc4)C(F)(F)F	CHEMBL3121447	pKi=6.29
CC1=Nc2ccc(CN(CC#C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(C)c3)cc2C(=O)N1	CHEMBL323294	pIC50=6.3
CC1=Nc2ccc(CN(CCO)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL104025	pIC50=6.3
Nc1nc(O)c2c(ccc3ccc(F)cc23)n1	CHEMBL74440	pIC50=6.3
O=C1OC(=O)c2cc(NS(=O)(=O)c3cccs3)cc4cccc1c24	CHEMBL2323391	pKi=6.3
CCc1ccc2ccc3nc(N)nc(O)c3c2c1	CHEMBL307237	pIC50=6.31
CC(=O)NCC1=Nc2ccc(CN(CC#C)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL105726	pIC50=6.32
CC1=Nc2ccc(CN(CC#C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(c3)C(F)(F)F)cc2C(=O)N1	CHEMBL102938	pIC50=6.32
CC1=Nc2ccc(CN(CC=C)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL323539	pIC50=6.32
CN(Cc1ccc(cc1)C(=O)NC(CCC(=O)O)C(=O)O)c2cnc3nc(N)nc(O)c3c2	CHEMBL156551	pIC50=6.32
COc1ccc(cc1)S(=O)(=O)c2ccc(CN3CCCc4cc5c(cc34)nc(C)n5C)cc2	CHEMBL352620	pKi=6.32
NC1=Nc2[nH]c3cccc(Sc4ccccc4)c3c2C(=O)N1	CHEMBL3099580	pIC50=6.32
Nc1nc(O)c2c(ccc3ccc(O)cc23)n1	CHEMBL306790	pIC50=6.32
CSc1ccc2ccc3nc(N)nc(O)c3c2c1	CHEMBL72371	pIC50=6.34
Cc1[nH]c2nc(N)nc(O)c2c1Sc3ccc(Br)cc3	CHEMBL195782	pIC50=6.34
Cc1[nH]c2nc(N)nc(O)c2c1Sc3ccc(Cl)c(c3)[N+](=O)[O-]	CHEMBL371698	pIC50=6.34
CC1=Nc2ccc(CN(CC#C)c3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL1095264	pIC50=6.36
COc1ccc(cc1)S(=O)(=O)c2ccc(CN3CCCc4cc5[nH]c(C)nc5cc34)cc2	CHEMBL169727	pKi=6.36
Cc1nc(O)c2c(ccc3ccc(Cl)cc23)n1	CHEMBL74724	pIC50=6.36
C[C@H]1NC(=O)c2cc(CN(CC#C)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)ccc2N1	CHEMBL330484	pIC50=6.37
CC1=Nc2ccc(CN(CCO)c3cnc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL1094275	pIC50=6.38
CN(Cc1ccc2N=C(C)NC(=O)c2c1)c3cnc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL1097598	pIC50=6.38
Oc1ccc(cc1)C2(OC(=O)c3c2ccc4ccccc34)c5ccc(O)cc5	CHEMBL386442	pKi=6.4
CCc1sc2N=C(N)NC(=O)c2c1Sc3ccc(Br)cc3	CHEMBL565179	pIC50=6.41
Cc1ccc(Sc2cccc3[nH]c4nc(N)nc(N)c4c23)cc1	CHEMBL1093100	pIC50=6.41
Cc1ccccc1S(=O)(=O)c2ccc(cc2C(F)(F)F)N(CC#C)Cc3ccc4nc(C)nc(O)c4c3	CHEMBL159144	pKi=6.41
Cc1nc(O)c2cc(CN(CC#C)c3cccc(c3)C(F)(F)F)ccc2n1	CHEMBL301423	pKi=6.41
Nc1nc(O)c2N(CC3=CN([C@H]4C[C@H](O)[C@@H](COP(=O)(O)O)O4)C(=O)NC3=O)C(CNc5ccc(cc5)C(=O)NC(CCC(=O)O)C(=O)O)CCc2n1	CHEMBL2368783	pIC50=6.41
CCc1sc2N=C(N)NC(=O)c2c1Sc3cccc(Cl)c3	CHEMBL551985	pIC50=6.42
NC1=Nc2[nH]c3cccc(Sc4cccc5ccccc45)c3c2C(=O)N1	CHEMBL3099581	pKi=6.42
CC1Cc2nc(N)nc(O)c2c3cc(Cl)ccc13	CHEMBL73487	pIC50=6.43
CCN(Cc1ccc2N=C(CF)NC(=O)c2c1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL103029	pIC50=6.43
Nc1nc(O)c2c(ccc3ccc(Br)c(N)c23)n1	CHEMBL73440	pIC50=6.44
CN(Cc1ccc2N=C(C)NC(=O)c2c1)c3ccc(nc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL295866	pIC50=6.46
CC1=C(Sc2ccncc2)C3C(N1)N=C(N)NC3=O	CHEMBL138500	pIC50=6.47
CC1=Nc2[nH]c(C)c(Sc3ccncc3)c2C(=O)N1	CHEMBL1096259	pIC50=6.47
CN1CCN(CC1)C(=O)CN2C(=N)SC=C2c3ccc(Cl)cc3	CHEMBL2437298	pKi=6.47
Cc1[nH]c2nc(N)nc(O)c2c1Sc3ccncc3	CHEMBL57310	pIC50=6.47
Nc1cc2ccc3nc(N)nc(O)c3c2cc1Br	CHEMBL75044	pIC50=6.47
OC(=O)CC[C@H](NC(=O)c1ccc(cc1)N(CCF)Cc2ccc3N=C(CF)NC(=O)c3c2)C(=O)O	CHEMBL102469	pIC50=6.47
Nc1nc(O)c2c(ccc3ccc(Br)cc23)n1	CHEMBL306705	pIC50=6.49
CCN(Cc1ccc2N=C(C)NC(=O)c2c1)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(C)c3	CHEMBL104871	pIC50=6.5
CCN(Cc1ccc2N=C(C)NC(=O)c2c1)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(N)c3	CHEMBL102275	pIC50=6.51
CNC1=Nc2ccc(N(C)Cc3ccnnc3)c4cccc1c24	CHEMBL417763	pKi=6.51
Cc1ccc2nc(C)nc(O)c2c1Sc3cccnc3	CHEMBL162498	pKi=6.51
CN(Cc1ccc2N=C(C)NC(=O)c2c1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL40321	pIC50=6.52
O=C1OC(=O)c2cc(NS(=O)(=O)c3cccc4cccnc34)cc5cccc1c25	CHEMBL2323396	pKi=6.52
O=C1OC(=O)c2cc(NS(=O)(=O)c3ccccc3)cc4cccc1c24	CHEMBL2323388	pKi=6.52
CC1=Nc2ccc(CN(CC#C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(N)c3)cc2C(=O)N1	CHEMBL104096	pIC50=6.54
CN(Cc1ccc2nc(N)nc(O)c2c1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL347223	pIC50=6.54
Cc1nc(O)c2c(ccc3ccc(Br)cc23)n1	CHEMBL307015	pIC50=6.54
Cc1nc(O)c2cc(CN(CC#C)c3ccc([S+]([O-])c4ccccc4)c(F)c3)ccc2n1	CHEMBL161025	pKi=6.54
CCc1sc2N=C(N)NC(=O)c2c1Sc3ccncc3	CHEMBL550842	pIC50=6.55
Cc1[nH]c2nc(N)nc(O)c2c1Sc3ccc(cc3)C#N	CHEMBL195867	pIC50=6.55
Cc1sc2N=C(N)NC(=O)c2c1Sc3ccncc3	CHEMBL495125	pIC50=6.55
CN(Cc1nc2cc(ccc2nc1c3ccccc3)C(F)(F)F)c4ccc(F)c(F)c4	CHEMBL3121462	pKi=6.57
CNC1=Nc2ccc(N(C)Cc3ccncc3)c4cccc1c24	CHEMBL55361	pKi=6.57
Oc1nc(NCc2ccccc2)nc3ccc4ccc(Cl)cc4c13	CHEMBL76122	pIC50=6.57
CCN(Cc1ccc2N=C(CO)NC(=O)c2c1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL104483	pIC50=6.58
CC1=Nc2sc3cccc(CNc4ccc(cc4)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c3c2C(=O)N1	CHEMBL1818548	pIC50=6.59
Cc1sc2N=C(N)NC(=O)c2c1Sc3ccc(Cl)cc3	CHEMBL522517	pIC50=6.59
OP(=O)(O)CCCP(=O)(O)O	CHEMBL1230579	pKi=6.59
NC1=NC2=C(N(CC3=CN([C@H]4C[C@H](O)[C@@H](COP(O)O)O4)C(=O)NC3=O)C(CNc5ccc(cc5)C(=O)NC(CCC(=O)O)C(=O)O)CC2)C(=O)N1	CHEMBL3144212	pKi=6.6
CC1=Nc2ccc(CN(CCF)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL104759	pIC50=6.62
CCc1[nH]c2nc(N)nc(O)c2c1Sc3ccc(cc3)[N+](=O)[O-]	CHEMBL201617	pIC50=6.62
OC(=O)CC[C@H](NC(=O)c1ccc(cc1)N(CC#C)Cc2ccc3N=C(CSc4ncccn4)NC(=O)c3c2)C(=O)O	CHEMBL317901	pIC50=6.62
CC1=Nc2ccc(CN(CC#C)c3cnc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL1095919	pIC50=6.64
CCN(Cc1ccc2N=C(C)NC(=O)c2c1)c3cnc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL1097599	pIC50=6.64
CCc1[nH]c2nc(N)nc(O)c2c1Sc3ccc(Cl)c(Cl)c3	CHEMBL201941	pIC50=6.64
CCc1sc2N=C(N)NC(=O)c2c1Sc3ccc(Cl)c(Cl)c3	CHEMBL556091	pIC50=6.64
Nc1nc(O)c2c(ccc3ccc(Br)c(c23)[N+](=O)[O-])n1	CHEMBL263192	pIC50=6.64
Nc1nc2cc3C(CCCc3cc2[nH]1)Sc4ccc(cc4)S(=O)(=O)c5ccccc5	CHEMBL353191	pKi=6.64
CCc1sc2N=C(N)NC(=O)c2c1Sc3ccc(cc3)[N+](=O)[O-]	CHEMBL564937	pIC50=6.66
Cc1[nH]c2nc(N)nc(O)c2c1Sc3ccc(Br)c(Cl)c3	CHEMBL372371	pIC50=6.66
OC(=O)CC[C@H](NC(=O)c1ccc(cc1)N(CC#C)Cc2ccc3N=C(NC(=O)c3c2)c4ccccc4)C(=O)O	CHEMBL420279	pIC50=6.66
OCC1=Nc2ccc(CN(CCF)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL104846	pIC50=6.66
Cc1[nH]c2nc(N)nc(O)c2c1Sc3ccc(Br)c(c3)[N+](=O)[O-]	CHEMBL195355	pIC50=6.68
CC1=Nc2ccc(CN(CCF)c3cnc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL1094274	pIC50=6.72
CCN(Cc1ccc2N=C(C)NC(=O)c2c1)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(OC)c3	CHEMBL105435	pIC50=6.72
Cc1ccc2ccc3nc(N)nc(O)c3c2c1	CHEMBL312542	pIC50=6.75
NC1=NC(=O)c2cc(CN(CC#C)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)ccc2N1	CHEMBL389051	pIC50=6.75
Nc1nc(O)c2cc(CN(CC#C)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O)ccc2n1	CHEMBL265510	pIC50=6.75
CC1=Nc2ccc(CN(CC#N)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c3)cc2C(=O)N1	CHEMBL321527	pIC50=6.77
CCN(Cc1ccc2N=C(C)NC(=O)c2c1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL44037	pIC50=6.77
OC(=O)CC[C@H](NC(=O)c1ccc(cc1)N(CC#C)Cc2ccc3N=CNC(=O)c3c2)C(=O)O	CHEMBL103059	pIC50=6.77
CC1=Nc2ccc(CN(CCF)c3ccc(nc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL41609	pIC50=6.8
Cc1ccccc1S(=O)(=O)c2ccc(cc2)N(CC#C)Cc3ccc4nc(C)nc(O)c4c3	CHEMBL159364	pKi=6.8
Cc1nc(O)c2c(ccc3ccc(I)cc23)n1	CHEMBL75136	pIC50=6.8
Cc1nc(O)c2cc(CN(CC#C)c3ccc([S+]([O-])c4ccccc4)c(c3)C(F)(F)F)ccc2n1	CHEMBL161450	pKi=6.8
CC1=Nc2cc(Br)c(CN(CC#C)c3ccc(cc3)C(=O)NCc4ccccn4)cc2C(=O)N1	CHEMBL1801872	pIC50=6.81
CC1=Nc2cc(Br)c(CN(CC#C)c3ccc(cc3)C(=O)NCc4ccncc4)cc2C(=O)N1	CHEMBL1801873	pIC50=6.81
Cc1nc(O)c2cc(CN(CC#C)c3ccc(cc3)C(=O)NCc4cccnc4)c(Br)cc2n1	CHEMBL123446	pIC50=6.81
CCN(Cc1ccc2N=C(C)NC(=O)c2c1)c3ccc(nc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL43454	pIC50=6.82
Cc1[nH]c2N=C(N)NC(=O)c2c1Sc3ccc(Cl)c(Cl)c3	CHEMBL400485	pIC50=6.82
Cc1[nH]c2N=C(N)NC(=O)c2c1Sc3ccc(cc3)[N+](=O)[O-]	CHEMBL400364	pIC50=6.82
NC1=NC(=O)c2cc(CN(CC#C)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)ccc2N1	CHEMBL422395	pIC50=6.82
CCN(Cc1ccc2N=C(C)NC(=O)c2c1)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(c3)[N+](=O)[O-]	CHEMBL101425	pIC50=6.84
CCC1=Nc2ccc(CN(CC#C)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL105370	pIC50=6.85
Cc1ccc2nc(C)nc(O)c2c1Sc3ccc(cc3)C(=O)O	CHEMBL165453	pKi=6.85
CC1=Nc2ccc(CN(CC#C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(c3)[N+](=O)[O-])cc2C(=O)N1	CHEMBL320464	pIC50=6.89
Cc1ccc2nc(C)nc(O)c2c1Sc3ccnc(c3)C(F)(F)F	CHEMBL163410	pKi=6.89
Cc1nc(O)c2cc(CN(CC#C)c3ccc([S+]([O-])c4ccccc4)c(Cl)c3)ccc2n1	CHEMBL160215	pKi=6.89
CCN(Cc1ccc2N=C(C)NC(=O)c2c1)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(Cl)c3	CHEMBL105899	pIC50=6.92
CN(Cc1ccc2N=C(C)NC(=O)c2c1)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c3	CHEMBL307914	pIC50=6.92
Cc1ccc2nc(C)nc(O)c2c1Sc3ccc(cc3)S(=O)(=O)c4ccccc4	CHEMBL423282	pKi=6.92
Cc1nc(O)c2c(Sc3ccnnc3)c(C)ccc2n1	CHEMBL164624	pKi=6.92
Cc1sc2N=C(N)NC(=O)c2c1Sc3ccc4ccccc4c3	CHEMBL495124	pIC50=6.92
Nc1nc(O)c2c(ccc3ccc(C=C)cc23)n1	CHEMBL75213	pIC50=6.92
Cc1sc2N=C(N)NC(=O)c2c1Sc3ccc(Cl)c(Cl)c3	CHEMBL492838	pIC50=6.96
Cc1sc2N=C(N)NC(=O)c2c1Sc3ccc(cc3)[N+](=O)[O-]	CHEMBL492836	pIC50=6.96
Nc1nc(O)c2c(CCc3ccc(I)cc23)n1	CHEMBL74847	pIC50=6.99
OCC1=Nc2ccc(CN(CC#C)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL321977	pIC50=7.01
Cc1ccc2nc(C)nc(O)c2c1Sc3ccncc3	CHEMBL351403	pKi=7.03
CC1=Nc2ccc(CN(CC#C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(O)c3)cc2C(=O)N1	CHEMBL320621	pIC50=7.05
CCc1[nH]c2nc(N)nc(O)c2c1Sc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL371860	pIC50=7.05
Nc1nc(O)c2cc(CN(CC#C)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2n1	CHEMBL114987	pIC50=7.05
CN(C)c1cc(Sc2c(C)ccc3nc(C)nc(O)c23)ccn1	CHEMBL349969	pKi=7.1
Nc1nc(O)c2c(CCc3cc(Br)c(cc23)S(=O)(=O)Nc4ccc(cc4)C(=O)N[C@@H](CCC(=O)O)C(=O)O)n1	CHEMBL117611	pKi=7.1
CC1=Nc2ccc(CN(CCO)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c3)cc2C(=O)N1	CHEMBL105425	pIC50=7.11
Cc1ccc2nc(C)nc(O)c2c1Sc3ccc(cc3)[N+](=O)[O-]	CHEMBL162613	pKi=7.11
CC1=Nc2ccc(CN(CC=C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(F)c3)cc2C(=O)N1	CHEMBL320108	pIC50=7.12
