CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCC(=O)N1)[C@@H](C)O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O	ceruletide
COc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5nc6ccccc6[nH]5	CHEMBL477996	pIC50=7.77
CC(C)N(C(=O)CN1C(=O)C(NC(=O)c2cc3ccccc3[nH]2)C(=O)N(c4ccccc4)c5ccccc15)c6ccccc6	CHEMBL356408	pIC50=7.8
CCCC[C@H](NC(=O)CCc1ccc(OS(=O)(=O)O)cc1)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCC)C(=O)N4CC(C[C@H]4C(=O)N[C@@H](Cc5ccccc5)C(=O)N)OS(=O)(=O)O	CHEMBL2310857	pIC50=7.8
COc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5ccc6ccccc6n5	CHEMBL476739	pIC50=7.8
CC(C)N(Cc1ccccc1)C(=O)CN2C(=O)C(Oc3ccccc3)c4nnc(c5ccccc5)n4c6ccccc26	CHEMBL1269262	pIC50=7.82
COc1ccc(cc1)N(C(C)C)C(=O)CN2C(=O)C(Cc3n[nH]c4ccccc34)(OC)C(=O)N(c5ccccc5)c6ccccc26	CHEMBL327815	pIC50=7.84
COc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5cccc(Cl)c5	CHEMBL478604	pIC50=7.85
COc1ccc(cc1)N(C(C)C)C(=O)CN2C(=O)C(Cc3c[nH]c4ccccc34)(OC)C(=O)N(c5ccccc5)c6ccccc26	CHEMBL328285	pIC50=7.86
COc1ccc(cc1)N(C(C)C)C(=O)CN2C(=O)C(C)(Cc3n[nH]c4ccccc34)C(=O)N(c5ccccc5)c6ccccc26	CHEMBL88629	pIC50=7.88
COc1ccc(cc1)c2cnc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5cc6ccccc6cn5	CHEMBL1774035	pIC50=7.89
CC(CNC(=O)c1ccc(Cl)cc1NS(=O)(=O)c2cccc3nsnc23)c4ccc(Cl)c(Cl)c4	CHEMBL583457	pKi=7.9
Cc1ccccc1NC(=O)NCCCC[C@H](CNC(=O)[C@@](C)(Cc2c[nH]c3ccccc23)NC(=O)OC4C5CC6CC(CC4C6)C5)NC(=O)CCC(=O)O	CHEMBL432256	pIC50=7.92
COc1ccc(cc1)N(C(C)C)C(=O)CN2C(=O)C(Cc3c[nH]c4ccccc34)C(=O)N(c5ccccc5)c6ccccc26	CHEMBL88602	pIC50=7.96
CN1C(=O)C(NC(=O)c2cc3ccccc3[nH]2)N=C(c4ccccc4)c5ccccc15	CHEMBL39263	pKi=7.98
COC(=O)n1c(cc2ccccc12)C(=O)NC3C(=O)N(CC(=O)N(C(C)C)c4ccccc4)c5ccccc5N(C3=O)c6ccccc6	CHEMBL358778	pIC50=8.0
COCCC1CCCCN1C(=O)CN2C(=O)[C@@H](Cc3n[nH]c4ccccc34)c5nnc(c6ccccc6)n5c7ccccc27	CHEMBL2017832	pIC50=8.0
COc1ccc(cc1)c2cnc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5ccc6ccoc6c5	CHEMBL1774037	pIC50=8.0
Fc1ccc(NC(=O)NC2C(=O)N(CC(=O)N3CC4CCC(CC4)C3)c5ccccc5N(C2=O)c6ccccc6F)cc1	CHEMBL320624	pKi=8.0
COc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5ccc6ncccc6c5	CHEMBL478630	pIC50=8.07
COc1ccc(cc1)N(C(C)C)C(=O)CN2C(=O)C(C)(Cc3c[nH]c4ccccc34)C(=O)N(c5ccccc5)c6ccccc26	CHEMBL316164	pIC50=8.08
COc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5ccc(Cl)c(Cl)c5	CHEMBL476095	pIC50=8.1
COc1ccc(cc1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL516113	pIC50=8.16
COc1ccc(cc1)c2cnc(nc2c3ccc(F)cc3)C(=O)N4CCN(CC4)c5cnc6ccccc6c5	CHEMBL1773896	pIC50=8.17
OC(=O)[C@@H](CCc1ccccc1)NC(=O)c2ccccc2NC(=O)c3cc4ccccc4[nH]3	CHEMBL1933104	pKi=8.24
CCOc1cccc(c1)n2cc(nc2c3ccc(Cl)cc3)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL476531	pIC50=8.25
CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H]3CCCN4[C@H]3CC(=O)N(C4=O)c5ccccc5	CHEMBL189634	pIC50=8.28
CCCC[C@H](NC(=O)CCc1ccc(OS(=O)(=O)O)cc1)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N\C(=C/c4ccccc4)\C(=O)N	CHEMBL99499	pIC50=8.28
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(CCCCNC(=O)Nc3ccccc3Cl)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc4ccc(C)cc4)C(=O)N	CHEMBL63707	pIC50=8.3
COC(=O)c1cc(cc2ccccc12)N3CCN(CC3)C(=O)c4ncc(c5ccc(OC)cc5)c(n4)c6ccc(C)cc6	CHEMBL1774041	pIC50=8.33
O=C(CN1C(=O)C(Cc2c[nH]c3ccccc23)c4nnc(c5ccccc5)n4c6ccccc16)N7CCCCC7CC8CCCCC8	CHEMBL2017828	pIC50=8.37
CCCC[C@H](NC(=O)CCc1ccc(OS(=O)(=O)O)cc1)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N4CCC(CCC)[C@H]4C(=O)N[C@@H](CC(=O)O)C(=O)N(C)[C@@H](Cc5ccccc5)C(=O)N	CHEMBL269355	pIC50=8.38
OC(=O)C(CCc1ccccc1)NC(=O)c2ccccc2NC(=O)c3cc4ccccc4[nH]3	CHEMBL1933100	pKi=8.41
CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H]3CCCN4C(S)N(Cc5ccccc5)C(=O)C[C@@H]34	CHEMBL363916	pIC50=8.42
CN1C(=O)[C@H](NC(=O)Nc2cccc([125I])c2)N=C(c3ccccc3)c4ccccc14	CHEMBL515288	pKi=8.43
CCOc1cccc(c1)n2cc(nc2c3ccccc3)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL476520	pIC50=8.47
C[C@@](N)(Cc1cn(C(=O)OC2C3CC4CC(CC2C4)C3)c5ccccc15)C(=O)N[C@H](CC(=O)O)Cc6ccccc6	CHEMBL168182	pKi=8.52
COc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL479046	pIC50=8.6
CCOc1ccc(cc1)c2cnc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5cnc6ccccc6c5	CHEMBL1773888	pIC50=8.62
COc1ccc(cc1)c2cnc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5cnc6ccccc6c5	CHEMBL1773887	pIC50=8.62
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL515616	pIC50=8.64
CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H]3CCCN4[C@H]3CC(=O)N(C4=O)c5cccc6ccccc56	CHEMBL366344	pIC50=8.68
COc1ccc(cc1)c2cnc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5cc(C(=O)O)c6ccccc6c5	CHEMBL1774042	pIC50=8.7
CCOc1cccc(c1)n2cc(nc2c3c(F)cccc3F)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL473457	pIC50=8.72
CCOc1cccc(c1)n2cc(nc2c3ccc(F)cc3)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL476530	pIC50=8.72
CCOc1cccc(c1)n2cc(nc2c3ccccc3F)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL516355	pIC50=8.72
COc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5cc6ccccc6cn5	CHEMBL515161	pIC50=8.72
CN1C(=O)[C@@H](NC(=O)c2cc3ccccc3[nH]2)N=C(c4ccccc4)c5ccccc15	CHEMBL9506	pKi=8.74
COc1ccc(cc1)c2cnc(nc2c3ccccc3F)C(=O)N4CCN(CC4)c5cnc6ccccc6c5	CHEMBL1774032	pIC50=8.85
COc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5cc6ccccc6cc5C(=O)O	CHEMBL455742	pIC50=8.89
COc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5cnc6ccccc6c5	CHEMBL479256	pIC50=8.89
CN1C(=O)[C@@H](NC(=O)Nc2cccc([125I])c2)N=C(c3ccccc3)c4ccccc14	CHEMBL475226	pKd=8.94
CCCC[C@H](NC(=O)CCc1ccc(OS(=O)(=O)O)cc1)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N(C)[C@@H](Cc4ccccc4)C(=O)N	CHEMBL263742	pIC50=9.0
CCOc1cccc(c1)n2cc(nc2c3ccc(F)cc3F)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL473663	pIC50=9.0
C\C(=N/OC(=O)Nc1ccccc1)\c2cccc(c2)c3cccs3	CHEMBL1210154	pIC50=9.0
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@H]4CNS(=O)(=O)C)c5cnc6ccccc6c5	CHEMBL448118	pIC50=9.14
CCOc1cccc(c1)n2cc(nc2c3ccc(F)cc3)C(=O)N4CCN(CC4)c5cnc6ccccc6c5	CHEMBL473865	pIC50=9.22
CCOc1cccc(c1)n2cc(nc2c3ccccc3F)C(=O)N4CCN(CC4)c5cnc6ccccc6c5	CHEMBL515887	pIC50=9.24
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(C[C@@H]4CNC(=O)NC)c5cnc6ccccc6c5	CHEMBL446502	pIC50=9.25
CCOc1cccc(c1)n2cc(nc2c3ccc(C)cc3F)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL473664	pIC50=9.25
OC(=O)Cn1c(cc2ccccc12)C(=O)Nc3nc(cs3)c4ccccc4Cl	CHEMBL249973	pIC50=9.25
