CCCN(CCC)C(=O)C(CCC(O)=O)NC(=O)C1=CC=CC=C1	proglumide
CC(C)Oc1cccc(c1)N2C(=Nc3ccccc3C2=O)CCc4c[nH]c5ccc(Br)cc45	CHEMBL37312	pIC50=7.09
CCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1cccc2ccccc12)N(C)C)C(=O)N(C)[C@@H](Cc3c[nH]c4ccccc34)C(=O)OC(C)(C)C	CHEMBL3351059	pKi=7.09
CN1C(=O)C(NC(=O)Nc2ccc(Cl)cc2)N=C(c3ccccc3)c4ccccc14	CHEMBL41361	pIC50=7.09
Brc1ccc(C(=O)N2CCCCC2)c(NS(=O)(=O)c3cccc4scnc34)c1	CHEMBL259762	pKi=7.1
CC(C)NC(=O)CN1[C@H](C[C@H](C[C@@H](NC(=O)Nc2cccc(C)c2)C1=O)c3ccccc3C)c4ccccc4	CHEMBL319569	pIC50=7.1
CC(Cc1c[nH]c2ccccc12)(NC(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)NCCc6ccc(cc6)[N+](=O)[O-]	CHEMBL328852	pKi=7.1
CCCC[C@H](NC(=O)[C@H](Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)OC(C)(C)C)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)NCCc4ccccc4	CHEMBL384505	pIC50=7.1
CN1C(=O)C(NC(=O)Nc2cccc3ccccc23)N=C(c4ccccc4)c5ccccc15	CHEMBL135364	pIC50=7.1
CN1C(=O)[C@H](NC(=O)Nc2cccc(CC(=O)NCCC(=O)NCCSCc3csc(N=C(N)N)n3)c2)N=C(c4ccccc4)c5ccccc15	CHEMBL30821	pIC50=7.1
CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](C)NC(=O)CCC(=O)N(Cc3ccccc3)N=NCCCl)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL3143011	pEC50=7.1
Cc1cccc(NC(=O)N[C@@H]2C[C@@H](C[C@@H](N(CC(=O)Nc3cccc(Cl)c3)C2=O)c4ccccc4)c5ccccc5C)c1	CHEMBL414223	pIC50=7.1
Clc1ccc(C(=O)N2CCSC2)c(NS(=O)(=O)c3cccc4nsnc34)c1	CHEMBL216233	pKi=7.1
OC(=O)[C@H](Cc1ccccc1)NC(=O)c2ccc(Cl)cc2NS(=O)(=O)c3cccc4nsnc34	CHEMBL566390	pKi=7.1
CN(Cc1ccccc1)C(=O)CC[C@H](NC(=O)CCC(NC(=O)c2cc(Cl)cc(Cl)c2)C(=O)N3CCC4(CCCC4)CC3)C(=O)O	CHEMBL29891	pIC50=7.11
CN1CC[C@]23[C@H]4Oc5cc(O)cc(C[C@@H]1[C@]2(O)CC[C@@H]4NC(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)NCCOc6cccc(NC(=O)N[C@@H]7N=C(c8ccccc8)c9ccccc9N(C)C7=O)c6)c35	CHEMBL502398	pKi=7.11
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)ON3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N6C[C@@H](C[C@@H]6C(=O)O)Oc7ccc(cc7)[N+](=O)[O-]	CHEMBL406359	pKi=7.12
CCCC[C@H](NC(=O)[C@H](Cc1ccc(cc1)S(=O)(=O)O)NC(=O)OC(C)(C)C)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCC)C(=O)N[C@H](CCCCc4ccccc4)CC(=O)O	CHEMBL216079	pIC50=7.13
CN(C)[C@@H](Cc1cccc2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C3CCCCC3)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)OC(C)(C)C	CHEMBL3351056	pKi=7.13
CNc1cccc(NC(=O)CN2N=C(c3ccccc3)c4ccccc4N(CC(=O)C(C)(C)C)C2=O)c1	CHEMBL206709	pKi=7.13
Cc1cccc(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(CC(=O)NCCC(=O)NCCSCc5csc(N=C(N)N)n5)C2=O)c1	CHEMBL286908	pIC50=7.13
CCCC[C@H](NC(=O)[C@H](Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)OC(C)(C)C)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)NC(Cc4ccccc4)Cc5ccccc5	CHEMBL436690	pIC50=7.14
OC(=O)CN1C(=O)C(NC(=O)Nc2ccc(Cl)cc2)N=C(c3ccccc3)c4ccccc14	CHEMBL342614	pIC50=7.14
CC(C)N(Cc1ccccc1)C(=O)CN2C(=O)[C@@H](Cc3c[nH]c4ccccc34)c5nnc(c6ccccc6)n5c7ccccc27	CHEMBL1269258	pKi=7.15
CCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@H](Cc2cc3ccccc3[nH]2)C(=O)NNC(=O)[C@H](Cc4ccccc4)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc5ccc(O)cc5	CHEMBL217957	pKi=7.15
CN1CC[C@]23[C@H]4Oc5cc(O)cc(C[C@@H]1[C@]2(O)CC[C@@H]4NC(=O)COCC(=O)NCCNC(=O)COCC(=O)NCCOc6cccc(NC(=O)N[C@@H]7N=C(c8ccccc8)c9ccccc9N(C)C7=O)c6)c35	CHEMBL509792	pKi=7.15
Cc1cccc(NC(=O)N[C@@H]2C[C@@H](C[C@@H](N(CC(=O)Nc3ccccc3C)C2=O)c4ccccc4)c5ccccc5C)c1	CHEMBL317615	pIC50=7.15
CS[C@H]1C[C@@H](N(C1)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL3350334	pIC50=7.16
Cc1cc(C)cc(C[C@H]2CCCCN2C(=O)CN3C(=O)[C@@H](Cc4n[nH]c5ccccc45)c6nnc(c7ccccc7)n6c8ccccc38)c1	CHEMBL2017835	pKi=7.16
CN1C(=O)C(NC(=O)Nc2ccc(Cl)c(Cl)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL135702	pIC50=7.17
OC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)CCC(NC(=O)c3cc(Cl)cc(Cl)c3)C(=O)N4CCC5(CCCC5)CC4	CHEMBL282149	pIC50=7.17
CN1C(=O)C(NC(=O)Nc2ccc(F)cc2)N=C(c3ccccc3)c4ccccc14	CHEMBL336749	pIC50=7.18
CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(c3ccccn3)c4ccccc14	CHEMBL82685	pIC50=7.18
Cc1cccc(NC(=O)N[C@@H]2C[C@@H](C[C@@H](N(CC(=O)NC(C)(C)C)C2=O)c3ccccc3)c4cccc(C)c4)c1	CHEMBL316619	pIC50=7.18
CCCC[C@H](NC(=O)[C@H](Cc1ccc(cc1)S(=O)(=O)O)NC(=O)OC(C)(C)C)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCC)C(=O)N[C@H](CCCOc4ccccc4)CC(=O)O	CHEMBL262155	pIC50=7.19
Cc1cccc(NC(=O)N[C@@H]2C[C@@H](C[C@@H](N(CC(=O)NC(C)(C)C)C2=O)c3ccccc3)c4ccc(F)cc4)c1	CHEMBL95209	pIC50=7.19
Fc1ccccc1C2=NC(NC(=O)c3cc4ccccc4[nH]3)c5nncn5c6ccccc26	CHEMBL50986	pIC50=7.19
Brc1ccc(C(=O)N2CCCCC2)c(NS(=O)(=O)c3cccc4nccnc34)c1	CHEMBL261682	pKi=7.2
Brc1ccc(C(=O)N2CCCCC2)c(NS(=O)(=O)c3cccc4nccnc34)n1	CHEMBL263475	pKi=7.2
Brc1ccc(C(=O)N2CCOCC2)c(NS(=O)(=O)c3cccc4nccnc34)c1	CHEMBL215416	pKi=7.2
CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(c3cccc(OCC(=O)NCC(=O)NCCCOc4cccc(CN5CCCCC5)c4)c3)c6ccccc16	CHEMBL33819	pIC50=7.2
C[C@@](Cc1c[nH]c2ccccc12)(NC(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N6C[C@H](C[C@H]6C(=O)O)Oc7ccccc7	CHEMBL336965	pKi=7.2
Clc1ccc(C(=O)N2CCC(CC2)c3ccccc3)c(NS(=O)(=O)c4cccc5nsnc45)c1	CHEMBL217878	pKi=7.2
Clc1ccc(C(=O)N2CCCCCC2)c(NS(=O)(=O)c3cccc4nsnc34)c1	CHEMBL217720	pKi=7.2
FC(F)(F)c1ccc(C(=O)N2CCCCC2)c(NS(=O)(=O)c3cccc4nsnc34)c1	CHEMBL386598	pKi=7.2
OC(=O)CC[C@H](NC(=O)CCC(NC(=O)c1cc(Cl)cc(Cl)c1)C(=O)N2CCC3(CCCC3)CC2)C(=O)NCc4cccc5ccccc45	CHEMBL30061	pIC50=7.2
OC(=O)[C@H](Cc1ccc(Cl)cc1)NC(=O)c2ccc(Cl)cc2NS(=O)(=O)c3cccc4nsnc34	CHEMBL584259	pKi=7.2
CN(C(=O)[C@H](CCC(=O)O)NC(=O)CCC(NC(=O)c1cc(Cl)cc(Cl)c1)C(=O)N2CCC3(CCCC3)CC2)c4cccc5ccccc45	CHEMBL286941	pIC50=7.21
C[C@]1(Cc2c[nH]c3ccccc23)NC(=O)CCCCCC[C@@H](NC1=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL2371225	pKi=7.21
CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(c3cccc(OCC(=O)NCCCC(=O)NCCCOc4cccc(CN5CCCCC5)c4)c3)c6ccccc16	CHEMBL282645	pIC50=7.22
CN1C(=O)[C@H](NC(=O)Nc2ccccc2Cl)N=C(c3ccccc3)c4ccccc14	CHEMBL2112748	pIC50=7.22
CSc1cccc(NC(=O)NC2C(=O)N(CCC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)c6ccccc6N(C2=O)c7ccccc7)c1	CHEMBL121624	pKi=7.22
OC(=O)[C@H](CC(=O)Nc1cccc2ccccc12)NC(=O)CCC(NC(=O)c3cc(Cl)cc(Cl)c3)C(=O)N4CCC5(CCCC5)CC4	CHEMBL264606	pIC50=7.22
Cc1cccc(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(Cc5ncc[nH]5)C2=O)c1	CHEMBL336221	pIC50=7.23
CN([C@H](Cc1c[nH]c2ccccc12)C(=O)O)C(=O)CCC(NC(=O)c3cc(Cl)cc(Cl)c3)C(=O)N4CCC5(CCCC5)CC4	CHEMBL283276	pIC50=7.24
CN1CC[C@]23[C@H]4Oc5cc(O)cc(C[C@@H]1[C@]2(O)CC[C@@H]4NC(=O)COCC(=O)NNC(=O)COCC(=O)NCCOc6cccc(NC(=O)N[C@@H]7N=C(c8ccccc8)c9ccccc9N(C)C7=O)c6)c35	CHEMBL501238	pKi=7.24
OC(=O)CC[C@H](NC(=O)CCC(NC(=O)c1cc(Cl)cc(Cl)c1)C(=O)N2CCC3(CCCC3)CC2)C(=O)Nc4cccc5CCCCc45	CHEMBL34332	pIC50=7.24
[I-].Cc1cccc(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(CC(=O)N5CC[N+](C)(C)CC5)C2=O)c1	CHEMBL343949	pIC50=7.24
CN1C(=O)[C@H](NC(=O)Nc2ccc(cc2)c3noc(O)n3)N=C(c4ccccc4)c5ccccc15	CHEMBL163610	pIC50=7.25
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)ON3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N6C[C@@H](C[C@@H]6C(=O)O)OCc7cccc(Cl)c7	CHEMBL434631	pKi=7.25
Cc1ccccc1NC(=O)N[C@@H]2C[C@H](c3ccccc3)c4ccccc4N(CC(=O)NC(C)(C)C)C2=O	CHEMBL127687	pIC50=7.26
CC(C)Oc1cccc(c1)N2C(=Nc3ccccc3C2=O)NNC(=O)Nc4ccc(Br)cc4	CHEMBL9422	pIC50=7.27
CCCN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C([C@H]3CCCCN3C)c4ccccc14	CHEMBL311638	pIC50=7.27
CN1C(=O)C(NC(=O)Nc2cccc(F)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL335666	pIC50=7.27
CCCC[C@H](NC(=O)[C@H](Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)OC(C)(C)C)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(c4ccccc4)c5ccccc5	CHEMBL265147	pIC50=7.28
CN1C(=O)C(NC(=O)Nc2ccc3ncccc3c2)N=C(c4ccccc4)c5ccccc15	CHEMBL137238	pIC50=7.28
CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(c3ccncc3)c4ccccc14	CHEMBL134657	pIC50=7.28
CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N	CHEMBL1328	pKi=7.28
Cc1cccc(NC(=O)N[C@H](CCC(=O)N2CCCC2)C(=O)N3CCC(CC3)C(=O)c4ccccc4)c1	CHEMBL420658	pIC50=7.28
CC(Cc1c[nH]c2ccccc12)(NC(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)NCCc6ccc(Br)cc6	CHEMBL432389	pKi=7.29
C[C@]1(Cc2c[nH]c3ccccc23)NC(=O)CCCCSSCC[C@@H](NC1=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL3143501	pKi=7.29
CC(Cc1ccc(Br)cc1)(NC(=O)OC2[C@@H]3C[C@H]4C[C@H](C[C@@H]2C4)C3)C(=O)N(CCc5ccccc5)CC(=O)O	CHEMBL320399	pKi=7.3
COc1ccc(cc1)N(C(C)C)C(=O)CN2C(=O)C(NC(=O)Nc3ccccc3)C(=O)N(c4ccccc4)c5ccccc25	CHEMBL108130	pIC50=7.3
CN(Cc1ccccc1)C(=O)[C@@H](CC(=O)O)NC(=O)CCC(NC(=O)c2cc(Cl)cc(Cl)c2)C(=O)N3CCC4(CCCC4)CC3	CHEMBL34743	pIC50=7.31
COc1ccc(cc1)N(C)C(=O)CN2C(=O)C(NC(=O)Nc3ccccc3)C(=O)N(c4ccccc4)c5ccccc25	CHEMBL105775	pIC50=7.31
OC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCC(NC(=O)c3cc(Cl)cc(Cl)c3)C(=O)N4CCC5(CCCC5)CC4	CHEMBL286228	pIC50=7.31
CN1C(=O)C(NC(=O)Nc2ccc(Br)cc2)N=C(c3ccccc3)c4ccccc14	CHEMBL134750	pIC50=7.32
Cc1cccc(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(CC(=O)Nc5ccncc5)C2=O)c1	CHEMBL335239	pIC50=7.32
CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]3CCCCNC(=O)CC[C@@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](Cc4ccc(O)cc4)C(=O)N[C@@H](CCCC)C(=O)N3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc5ccccc5)C(=O)N	CHEMBL273880	pKi=7.33
CN1C(=O)C(NC(=O)Nc2ccc(Cl)nc2)N=C(c3ccccc3)c4ccccc14	CHEMBL135290	pIC50=7.34
CN1C(=O)C(NC(=O)Nc2ccc(cc2)[N+](=O)[O-])N=C(c3ccccc3)c4ccccc14	CHEMBL137240	pIC50=7.34
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)ON3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N6C[C@@H](C[C@@H]6C(=O)O)Oc7ccc(Cl)cc7Cl	CHEMBL338525	pKi=7.34
OC(=O)CC[C@H](NC(=O)CCC(NC(=O)c1cc(Cl)cc(Cl)c1)C(=O)N2CCC3(CCCC3)CC2)C(=O)NC4CCCc5ccccc45	CHEMBL286847	pIC50=7.34
CCOCCNc1cccc(NC(=O)CN2N=C(C3CCCCC3)c4ccccc4N(CC(=O)C(C)(C)C)C2=O)c1	CHEMBL206079	pKi=7.35
CN1C(=O)[C@H](NC(=O)Nc2cccc(CC(=O)NCCCCCC(=O)NCCSCc3csc(N=C(N)N)n3)c2)N=C(c4ccccc4)c5ccccc15	CHEMBL281318	pIC50=7.35
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)ON3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N6C[C@@H](C[C@@H]6C(=O)O)Oc7ccc(I)cc7	CHEMBL337933	pKi=7.35
OC(=O)CC(Cc1c[nH]c2ccccc12)NC(=O)CCC(NC(=O)c3cc(Cl)cc(Cl)c3)C(=O)N4CCC5(CCCC5)CC4	CHEMBL283460	pIC50=7.35
Cc1cccc(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(CCO)C2=O)c1	CHEMBL342201	pIC50=7.36
Clc1ccc(NC(=O)NC2N=C(c3ccccc3)c4ccccc4N(CC(=O)OCc5ccccc5)C2=O)cc1	CHEMBL138122	pIC50=7.36
OC(=O)[C@H](CCC(=O)Nc1cccc2ccccc12)NC(=O)CCC(NC(=O)c3cc(Cl)cc(Cl)c3)C(=O)N4CCC5(CCCC5)CC4	CHEMBL443781	pIC50=7.36
CC(C)(C)NC(=O)CN1C(=O)[C@@H](C[C@H](c2ccccc2)c3ccccc13)NC(=O)Nc4ccc(Cl)cc4	CHEMBL333813	pIC50=7.37
O=C(NC1C(=O)N(CC23CC4CC(CC(C4)C2)C3)c5ccccc5N(C6CCCCC6)C1=O)Oc7ccccc7	CHEMBL318569	pKi=7.37
CN([C@@H](Cc1ccccc1)C(=O)N)C(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCNC(=O)Nc2ccccc2C)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)C(F)(F)F	CHEMBL104598	pIC50=7.38
CCCN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C([C@@H]3CCCCN3)c4ccccc14	CHEMBL313653	pIC50=7.39
CC(C)N(C(=O)CN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c3ccccc3)c4ccccc14)c5ccc(cc5)C(=O)O	CHEMBL346179	pIC50=7.4
C[C@]1(Cc2c[nH]c3ccccc23)NC(=O)CC(=O)NCCCC[C@@H](NC1=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL2371224	pKi=7.4
Cc1ccc(NC(=O)CN2[C@H](C[C@H](C[C@@H](NC(=O)Nc3cccc(C)c3)C2=O)c4ccccc4C)c5ccccc5)cc1	CHEMBL318024	pIC50=7.4
Cc1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c4ccccc4NC2=O)c1	CHEMBL2111921	pIC50=7.4
Clc1ccc(C(=O)N2CCCCC2)c(NS(=O)(=O)c3cccc4nsnc34)c1	CHEMBL437908	pKi=7.4
Fc1ccc2nsnc2c1S(=O)(=O)Nc3cc(Br)ccc3C(=O)N4CCCCC4	CHEMBL387287	pKi=7.4
OC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)CCC(NC(=O)c3cc(Cl)cc(Cl)c3)C(=O)N4CCC5(CCCC5)CC4	CHEMBL281559	pIC50=7.4
OC(=O)[C@H](Cc1ccc(Cl)c(Br)c1)NC(=O)c2ccc(Cl)cc2NS(=O)(=O)c3cccc4nsnc34	CHEMBL569470	pKi=7.4
CC(Cc1c[nH]c2ccccc12)(NC(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)NCCc6ccc(Cl)cc6	CHEMBL433407	pKi=7.41
CN(C)C(=O)[C@H](Cc1cccc2ccccc12)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)OC(C)(C)C)c5ccccc5	CHEMBL436722	pKi=7.41
CN(C)[C@@H](Cc1cccc2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)OC(C)(C)C)c5ccccc5	CHEMBL3351057	pKi=7.41
CN(Cc1ccccc1)C(=O)[C@H](CC(=O)O)NC(=O)CCC(NC(=O)c2cc(Cl)cc(Cl)c2)C(=O)N3CCC4(CCCC4)CC3	CHEMBL31018	pIC50=7.41
CCc1cccc(NC(=O)N[C@@H]2C[C@@H](C[C@@H](N(CC(=O)NC3(C)CCCCC3)C2=O)c4ccccc4)c5ccccc5C)c1	CHEMBL322381	pIC50=7.42
CC(Cc1c[nH]c2ccccc12)(NC(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N(CCc6ccc(Cl)cc6Cl)CC(=O)O	CHEMBL319880	pKi=7.43
CN1C(=O)[C@H](NC(=O)Nc2cccc(CCOC(=O)NCCCNCCSCc3csc(C=C(N)N)n3)c2)N=C(c4ccccc4)c5ccccc15	CHEMBL285995	pIC50=7.43
Cc1cccc(NC(=O)NC2CCc3ccccc3N(CC(=O)N4CCCC4)C2=O)c1	CHEMBL170293	pIC50=7.43
CC(Cc1c[nH]c2ccccc12)(NC(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N(CCC(=O)O)CCc6ccccc6	CHEMBL330390	pKi=7.44
CCCN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C([C@H]3CCCCN3)c4ccccc14	CHEMBL309299	pIC50=7.44
CN1C(=O)[C@H](NC(=O)Nc2cccc(COC(=O)NCCC(=O)NCCCOc3cccc(CN4CCCCC4)c3)c2)N=C(c5ccccc5)c6ccccc16	CHEMBL406844	pIC50=7.44
Cc1ccccc1[C@H]2C[C@@H](NC(=O)Nc3cccc(F)c3)C(=O)N(CC(=O)NC(C)(C)C)[C@H](C2)c4ccccc4	CHEMBL327496	pIC50=7.44
Cc1ccc2[C@@H](C[C@H](NC(=O)Nc3cccc(Cl)c3)C(=O)N(CC(=O)NC(C)(C)C)c2c1)c4ccccc4	CHEMBL337937	pIC50=7.45
CN1C(=O)[C@H](NC(=O)Nc2cccc(C=C)c2)N=C(c3ccccc3)c4ccccc14	CHEMBL2112752	pIC50=7.46
Cc1ccc(NC(=O)N[C@@H]2C[C@H](c3ccccc3)c4ccccc4N(CC(=O)NC(C)(C)C)C2=O)cc1	CHEMBL339260	pIC50=7.46
O=C(NC1C(=O)N(CC23CC4CC(CC(C4)C2)C3)c5ccccc5N(CC67CC8CC(CC(C8)C6)C7)C1=O)Nc9ccccc9	CHEMBL101456	pKi=7.46
CC(C)CCN1C(=O)C(NC(=O)Oc2ccccc2)C(=O)N(CC34CC5CC(CC(C5)C3)C4)c6ccccc16	CHEMBL318291	pKi=7.47
Cc1cccc(NC(=O)N[C@H](COC(=O)N2CCCC2)C(=O)N3CCC(CC3)C(=O)Nc4ccccc4)c1	CHEMBL320154	pIC50=7.47
