CN(CCCCCCN(C)C(=O)OC1=C[N+](C)=CC=C1)C(=O)OC1=C[N+](C)=CC=C1	distigmine
NC1=C2CCCCC2=NC2=CC=CC=C12	tacrine	pKi=7.14	pKi=7.14	pKi=7.14	pIC50=6.03
CN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C	neostigmine	pIC50=7.59	pIC50=7.59	pIC50=7.59	pIC50=7.38
COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC	donepezil	pKi=7.8	pKi=7.8	pKi=7.8	pIC50=6.8
C[N+]1=CC=CC=C1C=NO	pralidoxime	pKd=4.59	pKd=4.59	pKd=4.59
CC[N+](C)(C)C1=CC=CC(O)=C1	edrophonium	pKi=8.79	pKi=8.79	pKi=8.79	pKi=6.1
CN(CCCCCCCCCCN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C	demecarium
CN(C)C(=O)OC1=C[N+](C)=CC=C1	pyridostigmine	pIC50=6.44	pIC50=6.44	pIC50=6.44	pIC50=6.44
CC(C)OP(F)(=O)OC(C)C	fluostigmine	pKi=5.22	pKi=5.22	pKi=5.22	pIC50=6.92
CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C	rivastigmine	pIC50=7.43	pIC50=7.43	pIC50=7.43	pIC50=6.04
CCOP(=O)(OCC)SCC[N+](C)(C)C	echothiophate
[H][C@]12N(C)CC[C@@]1(C)C1=CC(OC(=O)NC)=CC=C1N2C	physostigmine	pIC50=9.37	pIC50=9.37	pIC50=9.37	pIC50=6.3
[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=CC=C(OC)C(O2)=C13	galantamine	pKi=7.21	pKi=7.21	pKi=7.21	pIC50=6.0
COC1=CC(O)=C(C=C1OC)C(=O)NC1=NC(=CS1)C(=O)NCCN(C(C)C)C(C)C	acotiamide	pIC50=5.52287865	pIC50=5.52287865	pIC50=5.52287865
C[N+](C)(CCCCCC[N+](C)(C)C1C2=CC=CC=C2C2=C1C=CC=C2)C1C2=CC=CC=C2C2=C1C=CC=C2	hexafluronium
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=C(Cl)C=CC=C1)CC1=C(Cl)C=CC=C1	ambenonium
Clc1ccc(cc1)C2=NN(CC2c3ccccc3)\C(=N\S(=O)(=O)c4ccc(Cl)cc4)\NCCCCCCCNc5c6CCCCc6nc7ccccc57	CHEMBL570158	pIC50=6.0
O=C1N(CCC2CCN(Cc3ccccc3)CC2)CCc4ccccc14	CHEMBL142014	pIC50=6.0
[Br-].CC(=O)Oc1cccc(c1)[N+](C)(C)CC=C	CHEMBL59192	pIC50=6.0
[Br-].COc1ccccc1[N+](C)(C)CC=C	CHEMBL58194	pIC50=6.0
C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C	decamethonium	pIC50=6.0
CC(=O)O[C@H]1C=C2CCN3Cc4cc5OCOc5cc4[C@H]([C@@H]1OC(=O)c6ccccc6)[C@@H]23	CHEMBL1222026	pKi=6.01
CN(C)C(=O)Oc1ccc2N(C)C3N(C)CC[C@@]3(C)c2c1	CHEMBL609149	pIC50=6.01
COc1cc2OC(=O)C(=Cc2cc1OC)c3ccc(CN(C)Cc4ccccc4[N+](=O)[O-])cc3	CHEMBL265416	pIC50=6.01
C[N+](C)(C)c1cccc(O)c1	CHEMBL422459	pIC50=6.01
O=C1\C(=C\C2CCN(Cc3ccccc3)CC2)\Cc4cc5OCOc5cc14	CHEMBL3818801	pKi=6.01
OC1=C(C(=O)NCC2CCN(Cc3ccccc3)CC2)C(=O)Nc4cc(O)c(O)cc14	CHEMBL3233935	pIC50=6.01
[Br-].[Br-].C(CCCC[n+]1ccc2ccccc2c1)CCC[n+]3ccc4ccccc4c3	CHEMBL1669486	pKi=6.01
CC(=O)O[C@@H]1[C@@H](O)C=C2CCN3Cc4cc5OCOc5cc4[C@H]1[C@@H]23	CHEMBL251077	pIC50=6.02
CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)OC(C)(C)C	CHEMBL1082081	pIC50=6.02
CCCN(CCC)c1ccc(\C=C\2/Cc3cc(OC)c(OCCN4CCCCC4)cc3C2=O)cc1	CHEMBL3343714	pIC50=6.02
CN(Cc1ccccc1)Cc2ccc(COc3ccc4C=CC(=O)Oc4c3)cc2	CHEMBL3586592	pIC50=6.02
COc1cc2OC(=CC(=O)c2c(OC)c1OC)c3ccc(OCCCCN(C)Cc4ccccc4)cc3	CHEMBL3577508	pIC50=6.02
COc1ccccc1CN(C)CCCN(C)CCCNCCC[n+]2c(c3ccccc3)c4cc(N)ccc4c5ccc(N)cc25	CHEMBL361165	pIC50=6.02
COc1ccccc1CNCCCNCCCNCCC[n+]2c(c3ccccc3)c4cc(N)ccc4c5ccc(N)cc25	CHEMBL257540	pIC50=6.02
Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)NCCCCNc3c4CCCCc4nc5ccccc35	CHEMBL3410952	pIC50=6.02
Nc1c2C(O)CCCc2nc3ccccc13	CHEMBL51934	pIC50=6.02
O=C1C=CC(=O)C=C1	CHEMBL8320	pKi=6.02
CCNCc1ccc2nc(c3CCCN(Cc4ccccc4)c3c2c1)c5ccc(Cl)cc5	CHEMBL3122150	pIC50=6.03
CCOC(=O)c1c(C)nc2nc3CCCCc3c(N)c2c1c4cccc(c4)[N+](=O)[O-]	CHEMBL400675	pIC50=6.03
CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib	pIC50=6.03
CN1CC[C@]2(C)[C@H]1N(C)c3ccc(OC(=O)NCCCCCCN4CCOCC4)cc23	CHEMBL65356	pIC50=6.03
COc1cc(N)c(Cl)cc1C(=O)CCC2CCN(CC3CC3)CC2	CHEMBL3414597	pIC50=6.03
Cc1ccc2NC(=O)C3(C(=C(N)N4CCCNC4=C3[N+](=O)[O-])C#N)c2c1	CHEMBL3764100	pIC50=6.03
Cl.CN(CCCCCNc1ccc(nn1)c2ccccc2)Cc3ccccc3	CHEMBL553187	pIC50=6.03
Cn1ncc2C(NC(=O)CN3CCN(Cc4ccccc4)CC3)c5ccsc5c12	CHEMBL3133427	pIC50=6.03
Fc1ccccc1CNCCCCCCN2C(=O)c3ccccc3C2=O	CHEMBL3415564	pIC50=6.03
CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@H]4[C@](O)(CC[C@H]5C(C)(C)[C@H](CC[C@]45C)OC(=O)C)C[C@]3(C)CC[C@H]2C1(C)C	CHEMBL3586199	pIC50=6.04
CCN(C)Cc1ccc(CC2Cc3cc(OC)c(OC)cc3C2=O)cc1	CHEMBL474190	pKi=6.04
CCN(C)Cc1ccc(\C=C\2/Cc3cc(OC)c(OC)cc3C2=O)cc1	CHEMBL464024	pKi=6.04
CCOC(OCC)c1ccc(\C=C\2/CNC\C(=C/c3ccc(cc3)C(OCC)OCC)\C2=O)cc1	CHEMBL3289926	pIC50=6.04
Cl.CN(Cc1ccccc1)Cc2ccc(COc3ccc4C(=CC(=O)Oc4c3)C)cc2	CHEMBL3586594	pIC50=6.04
O=C(NCCCCCc1ccccc1)Oc2cccc(Cn3cc(COc4ccc5C=CC(=O)Oc5c4)nn3)c2	CHEMBL3827220	pIC50=6.04
[O-][N+](=O)c1ccc2C(=O)C(=O)c3ccc(c1c23)[N+](=O)[O-]	CHEMBL235289	pKi=6.04
C(CC1CCN(Cc2ccccc2)CC1)Cc3noc4ccccc34	CHEMBL93241	pIC50=6.05
CCN(CC)CCCCOc1ccc2C\C(=C/c3ccc(CN(C)Cc4ccccc4)cc3)\C(=O)c2c1	CHEMBL598645	pIC50=6.05
CCN(CCCOc1ccc(cc1)C2=CC(=O)c3c(O)c(OC)c(OC)cc3O2)Cc4ccccc4OC	CHEMBL3577520	pIC50=6.05
CN(C)Cc1oc(CSCCCCCSCc2oc(CN(C)C)cc2)cc1	CHEMBL13166	pIC50=6.05
CN(CCCOc1ccc2C=C(C(=O)Oc2c1)c3ccc(Cl)cc3)Cc4cccc(OC(=O)NCCCCCc5ccccc5)c4	CHEMBL3827189	pIC50=6.05
CN(Cc1ccccc1)Cc2ccc(\C=C\3/Cc4ccc(OCCCCN5CCOCC5)cc4C3=O)cc2	CHEMBL597821	pIC50=6.05
COc1cc(N)c(Cl)cc1C(=O)NC2CCN(Cc3ccccc3)CC2	CHEMBL325109	pIC50=6.05
COc1cc2CC(Sc2cc1OC)C(=O)CCc3cc[n+](C)cc3	CHEMBL366114	pIC50=6.05
COc1ccc2C=C(C(=O)Oc2c1)c3ccc(CN(C)Cc4ccccc4)cc3	CHEMBL413793	pIC50=6.05
FC(F)(F)Oc1ccc(NC(=O)CC2S\C(=N\c3ccc(cc3)C4CCCCC4)\NC2=O)cc1	CHEMBL187030	pKi=6.05
FC1CCN(Cc2ccc(cc2)c3cnc4[nH]c5cnc(cc5c4c3)C#N)CC1	CHEMBL3582209	pIC50=6.05
Nc1cc(nc2nc(cc(c12)C(F)(F)F)c3ccccc3)c4ccccc4Br	CHEMBL2237995	pIC50=6.05
O=C1Oc2cc(OCCCN3CCN(Cc4ccccc4)CC3)ccc2C5=C1CCCC5	CHEMBL3335048	pIC50=6.05
O=C1Oc2cc(OCCN3CCN(Cc4ccccc4)CC3)ccc2c5ccccc15	CHEMBL3335060	pIC50=6.05
[Br-].COc1cc2cc(sc2cc1OC)C(=O)CCc3cc[n+](C)cc3	CHEMBL441632	pIC50=6.05
[Cl-].COc1ccccc1CN(C)CCCN(C)CCCNCCC[n+]2c(c3ccccc3)c4cc(N)ccc4c5ccc(N)cc25	CHEMBL1085703	pIC50=6.05
Brc1sc(Br)c2c1C(NC(=O)CN3CCN(Cc4ccccc4)CC3)c5cnn(c6ccccc6)c25	CHEMBL3133434	pIC50=6.06
CC(C)n1cc(cn1)C(=O)C(F)F	CHEMBL3623555	pIC50=6.06
CCN(CC)C(C)c1cccc(OC2Cc3cc(OC)c(OC)cc3C2=O)c1	CHEMBL180640	pKi=6.06
CCOC(=O)C1=C(C)Oc2nc3CCCCc3c(N)c2C1c4ccc(OC)cc4	CHEMBL398628	pIC50=6.06
CCOC(=O)C1=C(C)Oc2nc3CCCCc3c(N)c2[C@H]1c4ccc(OC)cc4	CHEMBL2234546	pIC50=6.06
CN(C)c1ccc(\C=C/2\CNC\C(=C/c3ccc(cc3[N+](=O)[O-])N(C)C)\C2=O)c(c1)[N+](=O)[O-]	CHEMBL3289936	pIC50=6.06
COC(=O)C1=C(C[C@H](N([C@@H]1c2ccc(Cl)cc2)c3ccc(Br)cc3)c4ccc(Cl)cc4)Nc5ccc(Br)cc5	CHEMBL3597063	pIC50=6.06
COC(=O)C1=C(C[C@H](N([C@@H]1c2ccc(Cl)cc2)c3ccccc3)c4ccc(Cl)cc4)Nc5ccccc5	CHEMBL3597061	pIC50=6.06
Cn1cc(cn1)c2cc3c(cn2)[nH]c4ncc(cc34)c5ccc(CN6CCCCC6)cc5	CHEMBL3582227	pIC50=6.06
Cn1ncc2C(NC(=O)CN3CCN(Cc4ccccc4F)CC3)c5c(Br)sc(Br)c5c12	CHEMBL3133436	pIC50=6.06
CC(C)(C)[Si](C)(C)O[C@H]1C=C2CCN3Cc4cc5OCOc5cc4[C@H]([C@@H]1O)[C@@H]23	CHEMBL558873	pKi=6.07
CCC1=CC2CC(C1)c3c(N)c4cccnc4nc3C2	CHEMBL584603	pIC50=6.07
CCCCCCCNC(=O)Oc1ccc2N(C)C(N(C)Cc2c1)c3cc[nH]c3	CHEMBL3785861	pIC50=6.07
CN(CCc1cccc(OC(=O)N(C)C)c1)CC#C	CHEMBL150638	pIC50=6.07
COc1cccc(CN2CCC(CC2)\C=C\3/Cc4cc(OC)ccc4C3=O)c1	CHEMBL3819531	pIC50=6.07
COc1cccc(CN2CCC(CCC(=O)c3ccc4CCCCNc4c3)CC2)c1	CHEMBL72967	pIC50=6.07
Cl.CN(CCCCCCCCN1C(=O)c2ccccc2C1=O)Cc3ccccc3	CHEMBL3402710	pIC50=6.07
Cl.COc1ccc(cc1)N(C)C(=O)Oc2ccc3CCC(NCC#C)c3c2	CHEMBL545801	pIC50=6.07
O=C(CCC1CCN(Cc2ccccc2)CC1)c3ccc4CCN(Cc5ccccc5)c4c3	CHEMBL307693	pIC50=6.07
[O-][N+](=O)c1ccc2c(c1)C(=O)C(=O)c3ccccc23	CHEMBL433282	pKi=6.07
CC(C)C1=N[C@H]2CC=C3C[C@@H]4[C@@H](CC[C@H]3[C@]2(C)CO1)[C@]5(C)C[C@@H](OC(=O)C(C)(C)C)[C@H]([C@H](C)N(C)C)[C@@]5(C)CC4=O	CHEMBL396190	pIC50=6.08
CCC(=O)N(CCC1CCN(Cc2ccccc2)CC1)c3ccccc3	CHEMBL141853	pIC50=6.08
CCNC(=O)Oc1ccc2OC3CC(C)(CO3)c2c1	CHEMBL362704	pIC50=6.08
Cc1ccccc1NC(=O)Oc2ccc3N[C@H]4NCC[C@@]4(C)c3c2	CHEMBL1243140	pIC50=6.08
Cl.CNC(=C(C#N)C#N)NCCNCc1oc(CN2CCCCC2)cc1	CHEMBL1203537	pIC50=6.08
C(CC1CCN(Cc2ccccc2)CC1)Nc3noc4ccccc34	CHEMBL328715	pIC50=6.09
CC(C)N(CCNC(=O)N1c2ccccc2Sc3ccccc13)C(C)C	CHEMBL605824	pKi=6.09
CC1=CC2CC(C1)c3c(C2)nc4ncccc4c3N	CHEMBL575613	pIC50=6.09
CCN(CC)CCCCCCCOc1ccc(cc1)C(=O)c2ccc(CN(C)Cc3ccccc3)cc2	CHEMBL1773490	pIC50=6.09
CCOC(=O)c1c(C)nc2nc3CCCCc3c(N)c2c1c4ccccc4	CHEMBL253386	pIC50=6.09
COc1ccc2nc3CCCCc3c(NCCCNC4=C(Cl)C(=O)c5ccccc5C4=O)c2c1	CHEMBL3356950	pIC50=6.09
COc1cccc(CCc2cccc(OC)[n+]2C)[n+]1C.[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F	CHEMBL2441665	pIC50=6.09
COc1ccccc1CN2CCC(CCC(=O)c3ccc4NCCc4c3)CC2	CHEMBL306776	pIC50=6.09
O=C1N2CCCCCC2=Nc3ccc(OCCCN4CCCCC4)cc13	CHEMBL3323065	pIC50=6.09
CCN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)Cc1ccccc1[N+](=O)[O-])Cc2ccccc2[N+](=O)[O-]	CHEMBL176308	pIC50=6.1
CCNC(=O)c1ccc2nc(c3CCCN(Cc4ccccc4)c3c2c1)c5ccc(Cl)cc5	CHEMBL3122149	pIC50=6.1
CN(CCCCOc1ccc2C(=C(C)C(=O)Oc2c1)C)Cc3ccccc3	CHEMBL3586576	pIC50=6.1
COc1cc2CC(Oc3cccc(CN4CCOCC4)c3)C(=O)c2cc1OC	CHEMBL182251	pKi=6.1
COc1ccc(cc1)c2nc(SC)n(n2)C(=O)N(C)C	CHEMBL336538	pIC50=6.1
COc1ccc2[nH]c3c(C)[n+](C)ccc3c2c1	CHEMBL374729	pIC50=6.1
CSc1nc(nn1C(=O)N(C)C)c2ccc(C)cc2	CHEMBL133388	pIC50=6.1
CSc1nc(nn1C(=O)N(C)C)c2ccc(OC(F)(F)F)cc2	CHEMBL130478	pIC50=6.1
O=C1N(CCC2CCN(Cc3ccccc3)CC2)CNc4ccccc14	CHEMBL141810	pIC50=6.1
O=C1Oc2cc(OCCCN3CCN(Cc4ccccc4)CC3)ccc2c5ccccc15	CHEMBL3335066	pIC50=6.1
[Br-].[Br-].C(CCC[n+]1ccccc1)CCC[n+]2ccc3ccccc3c2	CHEMBL3093794	pIC50=6.1
[Br-].[Br-].C(c1ccc2ccc(C[n+]3cccc4ccccc34)cc2c1)[n+]5cccc6ccccc56	CHEMBL1762003	pIC50=6.1
[Br-].[Br-].C[N+](C)(CC=C)c1ccc(CCC(=O)CCc2ccc(cc2)[N+](C)(C)CC=C)cc1	CHEMBL464538	pKi=6.1
[Cl-].CCCCCSC(=O)OCC[N+](C)(C)C	CHEMBL103873	pIC50=6.1
C(N1CCCCC1)c2ccc(cc2)c3cnc4[nH]c5cnc(cc5c4c3)c6ccncc6	CHEMBL3582229	pIC50=6.11
CCOC(=O)c1cc2c(N)c3CCCCc3nc2nc1C	CHEMBL1087194	pIC50=6.11
CN(C)Cc1cc2N(C)[C@H]3N(C)CC[C@@]3(C)c2cc1OC(=O)Nc4ccccc4	CHEMBL132285	pIC50=6.11
CN1CC[C@]2(C)C1N(C=O)c3ccc(OC(=O)Nc4ccccc4)cc23	CHEMBL100366	pIC50=6.11
CN1CC[C@]2(C)[C@H]1N(C)c3ccc(OC(=O)Nc4c(C)cccc4C)cc23	CHEMBL340867	pIC50=6.11
COc1cc2CC(Cc3ccc(CN4CCCC4)cc3)C(=O)c2cc1OC	CHEMBL473962	pKi=6.11
[Br-].CC[N+](C)(C)c1cccc(O)c1	CHEMBL60745	pIC50=6.11
[Cl-].COc1ccc2cc3c4cc5OCOc5cc4CC[n+]3cc2c1OC	CHEMBL12089	pIC50=6.11
CC(C)c1ccc(NC(=O)Oc2ccc3N(C)C4N(C)CC[C@@]4(C)c3c2)cc1	CHEMBL417915	pIC50=6.12
CC(C)c1ccc(NC(=O)Oc2ccc3N(C)[C@H]4N(C)CC[C@@]4(C)c3c2)cc1	CHEMBL129837	pIC50=6.12
CC(C)c1ccc(NC(=O)Oc2ccc3N(C)[C@H]4N(C)CC[C@@]4(C)c3c2)cc1.OC(C(O)C(=O)O)C(=O)O	CHEMBL332760	pIC50=6.12
COc1c2OC(=O)C=Cc2cc3ccoc13	CHEMBL416	pIC50=6.12
COc1cc2CC(Sc2cc1OC)C(=O)CC3CC[N+](C)(Cc4ccccc4)CC=C3	CHEMBL186090	pKi=6.12
COc1ccc(c[n+]1CCCCOc2ccc3C(=CC(=O)Oc3c2)C)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F	CHEMBL2441681	pIC50=6.12
Cl.CN(C)C(=O)Oc1ccc2CCC(N)c2c1	CHEMBL555641	pIC50=6.12
Nc1c2CCC(O)Cc2nc3ccccc13	CHEMBL1127	pIC50=6.12
CCOC1=NN(C(=O)O1)c2cccc(OCc3ccccc3)c2	CHEMBL133897	pIC50=6.13
CN(C)Cc1oc(CSCCCCCCSCc2oc(CN(C)C)cc2)cc1	CHEMBL268499	pIC50=6.13
CN(CCCCCNc1ccc(nn1)c2ccccc2)Cc3ccccc3	CHEMBL1083057	pIC50=6.13
C[C@@H]([C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC[C@H]4[C@]5(C)COC(=N[C@H]5CC[C@@]46C[C@@]36C(=O)C[C@]12C)C(C)(C)F)N(C)C	CHEMBL1783530	pIC50=6.13
Cc1ccc2c(NCc3ccccc3)c4CCCCc4nc2c1	CHEMBL64465	pIC50=6.13
Cc1ccc2c(Nc3ccccc3)c4CCCCc4nc2c1	CHEMBL1084776	pIC50=6.13
Nc1c2CCCCc2nc3ccc(Cl)cc13	CHEMBL62084	pIC50=6.13
[Br-].COc1cc2cc(sc2cc1OC)C(=O)CC3=CC[N+](C)(Cc4ccccc4)CC3	CHEMBL314658	pIC50=6.13
[Br-].[Br-].C(c1ccc2ccc(C[n+]3ccc4ccccc4c3)cc2c1)[n+]5ccc6ccccc6c5	CHEMBL1669494	pKi=6.13
CN(Cc1ccccc1)Cc2ccc(cc2)C(=O)c3ccc(NC(=O)CN4CCOCC4)cc3	CHEMBL1773480	pIC50=6.14
COc1cc(\C=C\C(=O)NCCC2CCN(Cc3ccccc3)CC2)ccc1O	CHEMBL3818089	pIC50=6.14
COc1ccc(c[n+]1CCCCCOc2ccc3C(=CC(=O)Oc3c2)C)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F	CHEMBL2441682	pIC50=6.14
CC(C)(C)c1cccc(c1)C(=O)CF	CHEMBL3623561	pIC50=6.15
CC1(C)CC(=O)C2=C(C1)Nc3nc4CCCCc4c(N)c3C2c5ccccc5	CHEMBL512096	pIC50=6.15
CCCCCCCNC(=O)Oc1cccc(c1)n2cc(COc3ccc4C=CC(=O)Oc4c3)nn2	CHEMBL3828443	pIC50=6.15
CCOC(=O)c1c(C)nc2nc3CCCCc3c(N)c2c1c4ccc(F)cc4	CHEMBL252380	pIC50=6.15
COC(=O)C1=C(C[C@H](N([C@@H]1c2ccc(F)cc2)c3ccc(Cl)cc3)c4ccc(F)cc4)Nc5ccc(Cl)cc5	CHEMBL3597059	pIC50=6.15
COc1cccc(CN(C)Cc2ccc(cc2)C3=Cc4cc(OC)c(OC)cc4OC3=O)c1	CHEMBL245047	pIC50=6.15
O.Cl.Cl.C(CC1CCN(Cc2ccccc2)CC1)Oc3ccc(nn3)c4ccccc4	CHEMBL1202875	pIC50=6.15
O[C@@H]1CCCN(Cc2ccc(cc2)c3cnc4[nH]c5cnc(cc5c4c3)C#N)C1	CHEMBL3582208	pIC50=6.15
CCc1cccc(CC)c1NC(=O)Oc2ccc3N(C)[C@H]4N(C)CC[C@@]4(C)c3c2	CHEMBL335167	pIC50=6.16
CN(C(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1)c4ccccc4	CHEMBL131825	pIC50=6.16
CN(C)Cc1oc(CSCCNc2cc(NCc3ccccc3)c(cc2[N+](=O)[O-])[N+](=O)[O-])cc1	CHEMBL106936	pIC50=6.16
CN1CC[C@]2(C)[C@H]1N(C)c3ccc(OC(=O)NCCN4CCOCC4)cc23	CHEMBL292788	pIC50=6.16
COc1c(F)c[n+](CCCCOc2ccc3C(=CC(=O)Oc3c2)C)cc1F.[O-]S(=O)(=O)C(F)(F)F	CHEMBL2440134	pIC50=6.16
COc1ccc(cc1)N(CCC2CCN(Cc3ccccc3)CC2)C(=O)C	CHEMBL141801	pIC50=6.16
COc1cccc(\C=C\C(=O)NCCC2CCN(Cc3ccccc3)CC2)c1	CHEMBL3818512	pIC50=6.16
Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)NCCCCCCCCNc3c4CCCCc4nc5ccccc35	CHEMBL3410956	pIC50=6.16
Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)NCCCCCCCNc3c4CCCCc4nc5ccccc35	CHEMBL3410955	pIC50=6.16
Cc1ccc2[nH]c3CCN(CCCCCCCN4CCc5[nH]c6ccc(C)cc6c5C4)Cc3c2c1	CHEMBL3585375	pIC50=6.16
Clc1cccc(CNCCCCCCCCN2C(=O)c3ccccc3C2=O)c1	CHEMBL3415581	pIC50=6.16
[Br-].[Br-].C(CCCCC[n+]1ccccc1)CCCCC[n+]2ccccc2	CHEMBL430886	pIC50=6.16
[Br-].[Br-].CC(C)(C)c1cc[n+](Cc2cccc(C[n+]3ccc(cc3)C(C)(C)C)c2)cc1	CHEMBL1642986	pIC50=6.16
[Cl-].CN(C)C(=O)Oc1ccc(cc1)c2cn3c(NC(=O)C)cccc3[n+]2C	CHEMBL1084167	pIC50=6.16
CC(C)Cn1cc(cn1)C(=O)C(F)(F)F	CHEMBL3623553	pIC50=6.17
