FC(F)OC(F)C(F)(F)F	desflurane
FC(F)OC(Cl)C(F)(F)F	isoflurane
FC(F)OC(F)(F)C(F)Cl	enflurane
FC(F)(F)C(Cl)Br	halothane
FCOC(C(F)(F)F)C(F)(F)F	sevoflurane
CCN1CC(CCN2CCOCC2)C(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1	doxapram
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(F)cc(Cl)cc34)c5ccc(F)cc5	CHEMBL3703720	pIC50=6.25
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(Cl)cc(Cl)cc34)c5cccc(n5)C(F)(F)F	CHEMBL3703719	pIC50=6.29
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(cc(F)cc34)C5CC5)c6cccc(c6)C#N	CHEMBL3700380	pIC50=6.3
Clc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3)c2	CHEMBL3182809	pIC50=6.3
O[C@@H]1Cc2c(F)cc(F)cc2[C@H]1n3nc(c4CN(CC5CC5)CCc34)c6ccc(F)cc6	CHEMBL3700377	pIC50=6.3
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5ccc(F)cc5	CHEMBL3703718	pIC50=6.31
CC(=O)N1CCc2c(C1)c(nn2[C@H]3CCc4ccccc34)c5ccc(F)cc5	CHEMBL3700370	pIC50=6.32
CO[C@@H]1Cc2c(F)cc(F)cc2[C@H]1n3nc(c4CN(CCc34)C(=O)C)c5cccc(Cl)c5	CHEMBL3700374	pIC50=6.35
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(F)cc(Cl)cc34)c5cccc(c5)C#N	CHEMBL3700356	pIC50=6.36
COc1cccc(c1)c2nn([C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5CCN(Cc25)C(=O)C	CHEMBL3700357	pIC50=6.36
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(Cl)cc(F)cc34)c5cccc(c5)C#N	CHEMBL3703716	pIC50=6.41
CC(=O)N1CCc2c(C1)c(nn2[C@@H]3[C@@H](O)Cc4c(F)cc(F)cc34)c5cccc(c5)C(F)(F)F	CHEMBL3700354	pIC50=6.43
CC(=O)N1CCc2c(C1)c(nn2[C@H]3c4cc(F)cc(F)c4C[C@]3(C)O)c5ccc(F)c(c5)C(F)(F)F	CHEMBL3700355	pIC50=6.43
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3cccc(c3)C(F)(F)F)c2	CHEMBL3183773	pIC50=6.43
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(Cl)cc(Cl)cc34)c5cccc(c5)C#N	CHEMBL3700353	pIC50=6.46
CC(C)c1ccccc1C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2	CHEMBL3184438	pIC50=6.48
COc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2	CHEMBL3183938	pIC50=6.48
Fc1ccc(cc1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2	CHEMBL3184075	pIC50=6.51
CCCC(=O)C1CCN(CC1)c2ncnc3CCN(Cc23)C(=O)c4ccc(cc4)c5ccccc5	CHEMBL2324344	pIC50=6.52
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5ccc(F)c(c5)C(F)(F)F	CHEMBL3700352	pIC50=6.57
CN(C)c1ccc(cc1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2	CHEMBL3184653	pIC50=6.59
COC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5cccc(c5)C#N	CHEMBL3700376	pIC50=6.59
CC(C)C(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5cccc(c5)C#N	CHEMBL3700373	pIC50=6.6
O=C(Nc1cccc(NC(=O)c2ccncc2)c1)c3ccccc3	CHEMBL3188245	pIC50=6.6
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5cccc(n5)C(F)(F)F	CHEMBL3700351	pIC50=6.62
O=C(Nc1cccc(NC(=O)c2ccccc2)c1)c3ccccc3	CHEMBL3186489	pIC50=6.62
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(C)cc(F)cc34)c5cccc(c5)C#N	CHEMBL3700379	pIC50=6.64
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(Br)cc(F)cc34)c5cccc(c5)C#N	CHEMBL3700350	pIC50=6.65
COc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3)c2	CHEMBL3188343	pIC50=6.66
CC(C)Oc1ccccc1C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2	CHEMBL3317852	pIC50=6.68
COc1ccc(F)c(c1)c2nn([C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5CCN(Cc25)C(=O)C	CHEMBL3700349	pIC50=6.69
CC(=O)N1CCc2c(C1)c(nn2[C@@H]3[C@@H](O)Cc4c(F)cc(F)cc34)c5cccc(Cl)c5	CHEMBL3700348	pIC50=6.72
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccc(cc3)C(C)(C)C)c2	CHEMBL3181946	pIC50=6.72
CCNC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(Cl)cc(Cl)cc34)c5cccc(c5)C#N	CHEMBL3703717	pIC50=6.75
COc1cc(ccn1)C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2	CHEMBL3317854	pIC50=6.75
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5cccc(OC(F)(F)F)c5	CHEMBL3700347	pIC50=6.77
FC(F)(F)c1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2	CHEMBL3186946	pIC50=6.8
O=C(Nc1cccc(NC(=O)c2ccsc2)c1)c3ccccc3	CHEMBL3183945	pIC50=6.8
CN(C)c1ccc(cc1)C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2	CHEMBL3188463	pIC50=6.82
COc1ccc(OC)c(c1)C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2	CHEMBL3317851	pIC50=6.82
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccc(Cl)cc3)c2	CHEMBL3186471	pIC50=6.82
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3occc3)c2	CHEMBL3182773	pIC50=6.85
FC(F)(F)c1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3)c2	CHEMBL3186206	pIC50=6.89
Cc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3)c2	CHEMBL3186207	pIC50=7.0
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3C)c2	CHEMBL3181939	pIC50=7.04
O=C(Nc1cccc(NC(=O)c2ccccn2)c1)c3ccccc3	CHEMBL3182370	pIC50=7.07
O[C@@H]1Cc2c(F)cc(F)cc2[C@H]1n3nc(c4CN(CCc34)C(=O)C5CC5)c6cccc(c6)C#N	CHEMBL3700372	pIC50=7.08
O=C(Nc1cccc(NC(=O)c2ccccc2)c1)C3CCCCC3	CHEMBL3184095	pIC50=7.1
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2	CHEMBL1310568	pIC50=7.13
COc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3C)c2	CHEMBL1480257	pIC50=7.14
CCC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5cccc(c5)C#N	CHEMBL3700371	pIC50=7.16
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3OC(F)(F)F)c2	CHEMBL3182725	pIC50=7.22
Clc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2	CHEMBL3184966	pIC50=7.28
Fc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3)c2	CHEMBL1532914	pIC50=7.35
O=C(Nc1cccc(NC(=O)c2ccccc2)c1)c3occc3	CHEMBL1716797	pIC50=7.43
COc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2	CHEMBL3187806	pIC50=7.51
COc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3OC)c2	CHEMBL3182359	pIC50=7.52
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2	CHEMBL3185736	pIC50=7.52
O=C(Nc1cccc(NC(=O)c2cccs2)c1)c3ccccc3	CHEMBL3182777	pIC50=7.54
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3cccc(F)c3)c2	CHEMBL3182551	pIC50=7.6
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3Cl)c2	CHEMBL3186695	pIC50=7.64
COc1ccccc1C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2	CHEMBL1081188	pIC50=7.8
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccccc3C(F)(F)F)c2	CHEMBL3188857	pIC50=7.85
CC(C)c1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3OC(F)(F)F)c2	CHEMBL3186000	pIC50=7.96
CCOc1ccccc1C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2	CHEMBL3187482	pIC50=7.96
CCOc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3C(F)(F)F)c2	CHEMBL3182449	pIC50=8.0
COc1ccc(CC(=O)NCc2ccccc2c3ccccc3C(=O)NCc4ccc(F)cc4F)cc1	CHEMBL148342	pIC50=8.16
COc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3C(C)C)c2	CHEMBL3187764	pIC50=8.16
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3cccs3)c2	CHEMBL3182091	pIC50=8.3
COc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3OC(F)(F)F)c2	CHEMBL3188749	pIC50=8.4
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3cccc(Cl)c3)c2	CHEMBL1086899	pIC50=8.52
CCOc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3OC)c2	CHEMBL3183497	pIC50=8.7
CC(C)Oc1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3OC(F)(F)F)c2	CHEMBL3182699	pIC50=9.0
