COc1ncc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](CC4)OCO)C2=O	CHEMBL2376093	pIC50=7.53
Nc1ncccc1c2nc3ccc(nc3n2c4ccc(CNC(=O)c5ccccc5)cc4)c6cccnc6	CHEMBL2177832	pIC50=7.55
Nc1ncccc1c2nc3cccnc3n2c4ccc(CC(=O)Nc5ccccc5)cc4	CHEMBL2177818	pIC50=7.55
CC(=O)Nc1cccc(c1)c2ccc3nc(c4cccnc4N)n(c5ccc(CNC(=O)c6cccc(F)c6)cc5)c3n2	CHEMBL2177836	pIC50=7.57
ClCc1nnc2c3cc(c4ccccc4)c(nc3ccn12)c5ccc(CN6CCC(CC6)c7n[nH]c(n7)c8ccccn8)cc5	CHEMBL508861	pIC50=7.57
NC(=O)c1ccc(cc1)c2cnc3cc(c4ccccc4)c(nn23)c5ccc(cc5)C6(N)CCC6	CHEMBL3672491	pIC50=7.57
NC1(CCC1)c2ccc(cc2)c3nc4c5ccccc5OCn4c3c6ccsc6	CHEMBL3701730	pIC50=7.57
N[C@H](CNc1ncc(s1)c2ccc3NC(=O)Sc3c2)Cc4ccc(cc4)C(F)(F)F	CHEMBL1081853	pIC50=7.57
Nc1ncccc1c2nc3cc(Br)cnc3n2c4ccc(CNC(=O)c5ccccc5)cc4	CHEMBL2177825	pIC50=7.57
OCC1Cc2ccccc2N1C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4	CHEMBL3696308	pIC50=7.57
Oc1nnc2c3cc(c4ccccc4)c(nc3ccn12)c5ccc(CN6CCC(CC6)c7n[nH]c(n7)c8ccccn8)cc5	CHEMBL506077	pIC50=7.57
CCOCCN(C[C@@H](O)CN1CCCC2(CCc3cc(ccc3O2)C(=O)N)C1)S(=O)(=O)c4c(C)cccc4C	CHEMBL1761088	pIC50=7.59
CN(C)C[C@H]1CN(C(=O)CC2=NC(=CC(=O)N2)N3CCOCC3)c4ccccc14	CHEMBL3699796	pIC50=7.59
CN1C(=O)C=C(N=C1CC(=O)N2CCc3c(C)cccc23)N4CCOCC4	CHEMBL3699779	pIC50=7.59
CN1C(=O)C=C(N=C1CC(=O)Nc2ccc(F)c(c2)C3CC3)N4CCOCC4	CHEMBL3696294	pIC50=7.59
CSc1nc2nc(c3ccc(CN4CCC(CC4)c5n[nH]c(n5)c6cnccn6)cc3)c(cn2n1)c7ccccc7	CHEMBL3672087	pIC50=7.59
Cc1ccc2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(O)(C5)C6CC6)c3c7ccccc7)c1	CHEMBL3701741	pIC50=7.59
Cc1nc(N)nc2N([C@@H]3CC[C@H](CC3)OCO)C(=O)C(=Cc12)c4cn[nH]c4	CHEMBL2375967	pIC50=7.59
Fc1ccc(cc1)c2cn3ccnc3nc2c4ccc(CN5CC(C5)c6n[nH]c(n6)c7ccccn7)cc4	CHEMBL3672034	pIC50=7.59
NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6nn[nH]n6	CHEMBL3703111	pIC50=7.59
N[C@@H](COc1cncc(c1)c2ccc3cnccc3c2)Cc4c[nH]c5ccccc45	CHEMBL381187	pIC50=7.59
Nc1ccc(cn1)c2nnc([nH]2)C3CCN(Cc4ccc(cc4)c5nc6C=CNC(=O)c6cc5c7ccccc7)CC3	CHEMBL502393	pIC50=7.59
CC(C)Nc1c(c2ccccc2)c(nc3nccn13)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7ccccn7)cc4	CHEMBL3672079	pIC50=7.6
CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5c(F)cccc5OCn4c3c6ccncc6	CHEMBL3701723	pIC50=7.6
CN1CCN(CC1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ncccn8)cc5	CHEMBL453288	pIC50=7.6
CS(=O)(=O)c1cccc(c1)c2ccc3c(c2)nn4cc(c5ccccc5)c(nc34)c6ccc(cc6)C7(N)CCC7	CHEMBL3672525	pIC50=7.6
Cc1cc(Cl)cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5	CHEMBL3699752	pIC50=7.6
Cc1ccc(cn1)C2=Nc3c(C)nc(N)nc3N(C4CCOCC4)C2=O	CHEMBL1257178	pIC50=7.6
Cc1n[nH]c2cnc(cc12)c3cncc(OC[C@@H](N)Cc4ccccc4)c3	CHEMBL376570	pIC50=7.6
Fc1ccc(cc1)c2cn3c(Cl)cnc3nc2c4ccc(CN5CCC(CC5)c6n[nH]c(n6)c7ccccn7)cc4	CHEMBL3672064	pIC50=7.6
NCC(C(=O)Nc1cc(Br)c(s1)c2ccnc3[nH]ccc23)c4ccccc4	CHEMBL472291	pIC50=7.6
NCC(NC(=O)c1cc(cs1)c2c[nH]c3ncccc23)c4ccccc4	CHEMBL512305	pIC50=7.6
N[C@H](CNc1nnc(s1)c2ccc3[nH]ncc3c2)Cc4cccc(c4)C(F)(F)F	CHEMBL1076565	pIC50=7.6
Nc1ncnc2c1cnn2C3CCN(Cc4ccc(cc4)c5nc6ccnn6cc5c7ccccc7)CC3	CHEMBL3672019	pIC50=7.6
O[C@@H]1CN(CCN1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5	CHEMBL499683	pIC50=7.6
CC1(C)C(=O)Nc2ccc(N[C@H](COc3cncc(c3)c4ccc5NC(=O)C(C)(C)c5c4)Cc6c[nH]c7ccccc67)cc12	CHEMBL211011	pIC50=7.61
Cc1nnc2c3cc(c4ccccc4)c(nc3ccn12)c5ccc(CN6CCC(CC6)c7n[nH]c(n7)c8ccccn8)cc5	CHEMBL445464	pIC50=7.61
CC(C)Nc1c(c2ccccc2)c(nc3nc(nn13)c4ccccn4)c5ccc(CN6CC(C6)c7n[nH]c(n7)c8ccccn8)cc5	CHEMBL3672081	pIC50=7.62
CNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)cn1	CHEMBL247250	pIC50=7.62
COc1cc(Cl)cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5	CHEMBL3703136	pIC50=7.62
COc1cc(cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5)C(=O)N	CHEMBL3699676	pIC50=7.62
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CN)c4ccc(Cl)cc4)c12	CHEMBL2177373	pIC50=7.62
Cc1nc(N)nc2N([C@@H]3CC[C@H](CC3)OCO)C(=O)C(=Cc12)c4cnc5ccccc5c4	CHEMBL2375965	pIC50=7.62
N#Cc1ncc2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CCC(CC5)c6nnc([nH]6)c7ccccn7)cc4	CHEMBL404555	pIC50=7.62
N[C@H](CNc1nnc(s1)c2ccc3[nH]ncc3c2)Cc4ccc(Cl)cc4	CHEMBL1081451	pIC50=7.62
Nc1ncccc1c2nc3ccc(nc3n2c4ccc(CNC(=O)c5ccccc5)cc4)c6ccccc6	CHEMBL2177835	pIC50=7.62
O=C(CC1=NC(=CC(=O)N1)N2CCOCC2)Nc3ccccc3OCCN4CCCCC4	CHEMBL3696309	pIC50=7.62
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](CC4)OCC(=O)N)C2=O	CHEMBL2375964	pIC50=7.63
COc1ncc2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CCC(CC5)c6nnc([nH]6)c7ccccn7)cc4	CHEMBL404347	pIC50=7.63
Brc1cccc(NC(=O)CC2=NC(=CC(=O)N2)N3CCOCC3)c1	CHEMBL2151923	pIC50=7.64
CN(C)C1CCN(CC1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5	CHEMBL454859	pIC50=7.64
COC(=O)c1ccc(cn1)c2ccc3c(c2)nn4cc(c5ccccc5)c(nc34)c6ccc(cc6)C7(N)CCC7	CHEMBL3672531	pIC50=7.64
COc1cc(OC)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	CHEMBL3703137	pIC50=7.64
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4ccccc4Br)c3	CHEMBL229854	pIC50=7.64
Cc1nc2nc(c3ccc(CN4CC(C4)c5nnc([nH]5)c6ccccn6)cc3)c(cn2n1)c7ccccc7	CHEMBL3667042	pIC50=7.64
Fc1ccc(NC(=O)CC2=NC(=CC(=O)N2)N3CCOCC3)cc1F	CHEMBL2151924	pIC50=7.64
N[C@H](COc1cnc(Cl)c(\C=C\c2ccncc2)c1)Cc3c[nH]c4ccccc34	CHEMBL379914	pIC50=7.64
Nc1ncccc1c2nc3cccnc3n2c4ccc(CNC(=O)c5ccccc5)cc4	CHEMBL2177819	pIC50=7.64
O=C(CC1=NC(=CC(=O)N1)N2CCOCC2)Nc3ccccc3OCCN4CCCC4	CHEMBL3696314	pIC50=7.64
O=C(CC1=NC(=CC(=O)N1)N2CCOCC2)Nc3ccsc3	CHEMBL3696237	pIC50=7.64
O=C1NC=Cc2nc(c3ccc(CN4CCC(CC4)c5nnc([nH]5)c6ncccn6)cc3)c(cc12)c7ccccc7	CHEMBL447114	pIC50=7.64
CC(C)Nc1nc2nc(c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c(cn2n1)c7ccccc7	CHEMBL3672044	pIC50=7.66
COc1ncc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCO)C2=O	CHEMBL2375365	pIC50=7.66
C[C@@H]1SCc2ncnc(N3CCN(CC3)C(=O)[C@H](N)Cc4c[nH]c5ccccc45)c12	CHEMBL1235979	pIC50=7.66
Cc1nc2nc(c3ccc(CN4CCC(CC4)c5n[nH]c(n5)c6cc(Cl)ccn6)cc3)c(cn2n1)c7ccc(F)cc7F	CHEMBL3672054	pIC50=7.66
NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6c(F)cccc6OCn5c4c7ccncc7	CHEMBL3701721	pIC50=7.66
N[C@H](COc1cncc(c1)c2ccc3cnc(C=C)cc3c2)Cc4c[nH]c5ccccc45	CHEMBL377764	pIC50=7.66
N[C@H](Cc1ccc(Cl)cc1)C(=O)N2CCN(CC2)c3ncnc4CSCc34	CHEMBL1632369	pIC50=7.66
Oc1c(Br)cccc1NC(=O)CC2=NC(=CC(=O)N2)N3CCOCC3	CHEMBL3699800	pIC50=7.66
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](CC4)OCO)C2=O	CHEMBL2376095	pIC50=7.67
C(N1CCC(CC1)c2n[nH]c(n2)c3ccccn3)c4ccc(cc4)c5nc6ccncc6cc5c7ccccc7	CHEMBL259967	pIC50=7.68
C(N1CCC(CC1)c2n[nH]c(n2)c3ccccn3)c4ccc(cc4)c5nc6cnccc6cc5c7ccccc7	CHEMBL259968	pIC50=7.68
CCOCCN(C[C@@H](O)CN1CCCC2(CCN(C2)c3ncnc4[nH]nc(C)c34)C1)S(=O)(=O)c5c(C)cccc5C	CHEMBL1760761	pIC50=7.68
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4cc(Cl)cc(Cl)c4)c3	CHEMBL376118	pIC50=7.68
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4ccc(F)cc4F)c3	CHEMBL229315	pIC50=7.68
NC(=O)c1ccc(cc1)c2ccc3c(c2)nn4cc(c5ccccc5)c(nc34)c6ccc(cc6)C7(N)CCC7	CHEMBL3672528	pIC50=7.68
Nc1ncnc2nc(c3ccc(CN4CCC(CC4)c5cc([nH]n5)c6ccncc6)cc3)c(cc12)c7ccccc7	CHEMBL255835	pIC50=7.68
Nc1nn(CCc2c[nH]cn2)c3nc(c4ccc(CN5CCC(CC5)N6C(=O)Nc7ccccc67)cc4)c(cc13)c8ccccc8	CHEMBL255348	pIC50=7.68
CNc1ncc2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CCC(CC5)c6nnc([nH]6)c7ccccn7)cc4	CHEMBL252857	pIC50=7.69
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4ccc(OC(F)(F)F)cc4)c3	CHEMBL227324	pIC50=7.69
CN(C)CC(NC(=O)c1cc(Br)c(s1)c2ccnc3[nH]ccc23)c4ccccc4	CHEMBL470620	pIC50=7.7
CN1C(=O)C=C(N=C1CC(=O)N2CCc3ccccc23)N4CCOCC4	CHEMBL3112861	pIC50=7.7
CN1CCN(CC1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccc(N)nc8)cc5	CHEMBL445212	pIC50=7.7
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL388978	pKd=7.7
CS(=O)(=O)N1CCN(CC1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5	CHEMBL502426	pIC50=7.7
Clc1ccc(cc1Cl)C(NC(=O)c2ccc3cnccc3c2)C4CCCNC4	CHEMBL1823653	pIC50=7.7
FC1(F)CCN(C1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5	CHEMBL451961	pIC50=7.7
Fc1cc2cc(ccc2cn1)C(=O)NC(C3CCNCC3)c4ccc(Cl)c(Cl)c4	CHEMBL1823651	pIC50=7.7
NCC(NC(=O)c1cc(Br)c(s1)c2ccnc3[nH]ccc23)c4ccccc4	CHEMBL512135	pKi=7.7
NCCCC(NC(=O)c1cc(Br)c(s1)c2ccnc3[nH]ccc23)c4ccccc4	CHEMBL513019	pIC50=7.7
NC[C@@H](Cc1ccccc1)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34	CHEMBL513728	pKi=7.7
N[C@H](CNc1nnc(s1)c2ccc3NC(=O)Cc3c2)Cc4ccc(cc4)C(F)(F)F	CHEMBL1823630	pIC50=7.7
N[C@H](Cc1ccc(Cl)cc1)C(=O)N2CCN(CC2)c3ncnc4ccccc34	CHEMBL1258330	pIC50=7.7
O=C1Nc2ccccc2N1C3CCN(Cc4ccc(cc4)c5nc6cc(ccc6nc5c7ccccc7)c8nn[nH]n8)CC3	CHEMBL408151	pIC50=7.7
O=C1Nc2ccccc2N1C3CCN(Cc4ccc(cc4)c5nc6cc(ccc6nc5c7ccccc7)n8cnnn8)CC3	CHEMBL574289	pIC50=7.7
O=C1\C(=C\c2ccccn2)\CNC/C/1=C\c3ccccn3	CHEMBL574646	pIC50=7.7
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCC(=O)N)C2=O	CHEMBL2375958	pIC50=7.71
C(N1CCC(CC1)c2nnc([nH]2)c3ccccn3)c4ccc(cc4)c5nc6nc(ncc6cc5c7ccccc7)N8CCOCC8	CHEMBL488654	pIC50=7.72
C(N1CCC(CC1)c2nnc([nH]2)c3ccccn3)c4ccc(cc4)c5nc6nc(ncc6cc5c7ccccc7)N8CCn9cnnc9C8	CHEMBL447044	pIC50=7.72
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(cc4)C(F)(F)F)c3	CHEMBL1773729	pIC50=7.72
COC(=O)c1ccc(cn1)c2cnc3cc(c4ccccc4)c(nn23)c5ccc(cc5)C6(N)CCC6	CHEMBL3672495	pIC50=7.72
COc1cc(Br)cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5	CHEMBL3699728	pIC50=7.72
C[C@H]1Cc2ccccc2N1C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4	CHEMBL3112866	pIC50=7.72
Cc1cccc(C)c1S(=O)(=O)N2CCC[C@@H]2[C@@H](O)CN3CCC[C@@]4(CCN(C4)c5ncnc(N)c5C6CC6)C3	CHEMBL1760767	pIC50=7.72
Cc1n[nH]c2ccc(cc12)c3nnc(NC[C@@H](N)Cc4cccc(Cl)c4)s3	CHEMBL1080893	pIC50=7.72
NC1(CCC1)c2ccc(cc2)c3nc4c5cc(ccc5nn4cc3c6ccccc6)c7cn[nH]c7	CHEMBL3672542	pIC50=7.72
NC1(CCC1)c2ccc(cc2)c3nn4c(cnc4cc3c5ccccc5)c6ccc(CO)cc6	CHEMBL3672487	pIC50=7.72
N[C@H](CNc1cnc(Cl)c(\C=C\c2ccncc2)c1)Cc3c[nH]c4ccccc34	CHEMBL203384	pIC50=7.72
N[C@H](CNc1ncc(s1)c2ccc3NC(=O)Cc3c2)Cc4ccc(cc4)C(F)(F)F	CHEMBL1081831	pIC50=7.74
Nc1nnc2c3cc(c4ccccc4)c(nc3ccn12)c5ccc(CN6CCC(CC6)c7n[nH]c(n7)c8ccccn8)cc5	CHEMBL499555	pIC50=7.74
Nc1nnc2c3cc(c4ccccc4)c(nc3ccn12)c5ccc(CN6CCC(CC6)n7cnc(c7)c8ccccn8)cc5	CHEMBL508794	pIC50=7.74
C(N1CCC(CC1)c2nnc([nH]2)c3ccccn3)c4ccc(cc4)c5nc6nc(ncc6cc5c7ccccc7)N8CCCCC8	CHEMBL442718	pIC50=7.75
CC(C)N(C)C[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](O)C[C@@H](C)c23)c4ccc(Cl)cc4	CHEMBL2177365	pIC50=7.75
CN(C)C(=O)N1CCN(CC1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5	CHEMBL447348	pIC50=7.75
CN(C)c1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3	CHEMBL572905	pIC50=7.75
CN1CCN(CC1)c2ccc3nc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5	CHEMBL443620	pIC50=7.75
CNC[C@H](Cc1ccc(Cl)cc1)C(=O)N2CCN(CC2)c3ncnc4[nH]ccc34	CHEMBL1257165	pIC50=7.75
COc1ccc(cc1)S(=O)(=O)Nc2cc(cnc2C)c3ccc4nc(NC(=O)C)sc4c3	CHEMBL1773603	pIC50=7.75
COc1nn2cc(c(nc2c1CO)c3ccc(CN4CCC(CC4)c5n[nH]c(n5)c6cccc(C)n6)cc3)c7c(F)cccc7F	CHEMBL3672075	pIC50=7.75
C[C@@H]1OCc2ncnc(N3CCN(CC3)C(=O)C(Cc4ccc(Cl)c(F)c4)CC(C)(C)N)c12	CHEMBL1632392	pIC50=7.75
Cc1c(Cl)cn2c(c3ccccc3)c(nc2c1Br)c4ccc(cc4)C5(N)CCC5	CHEMBL3699757	pIC50=7.75
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4ccc(cc4)C(F)(F)F)c3	CHEMBL389438	pIC50=7.75
Cc1n[nH]c2ccc(cc12)c3nnc(NC[C@@H](N)Cc4ccc(Cl)cc4Cl)s3	CHEMBL1080912	pIC50=7.75
Cc1n[nH]c2cnc(cc12)c3cncc(OC[C@@H](N)Cc4ccc(cc4)C(F)(F)F)c3	CHEMBL572418	pIC50=7.75
Cn1ncc(Cl)c1c2cc(oc2Cl)C(=O)N[C@H](CN)Cc3ccc(F)c(F)c3	CHEMBL3137336	pIC50=7.75
NC1(CCC1)c2ccc(cc2)c3nc4c5cc(ccc5nn4cc3c6ccccc6)c7ccc(CO)cc7	CHEMBL3672539	pIC50=7.75
N[C@H](COc1cncc(c1)c2ccc3[nH]nc(N4CCOCC4)c3c2)Cc5c[nH]c6ccccc56	CHEMBL578418	pIC50=7.75
Nc1ncnc2nc(c3ccc(CN4CCC(CC4)c5nc6ccc(F)cc6[nH]5)cc3)c(cc12)c7ccccc7	CHEMBL253457	pIC50=7.75
N[C@]1(CNC(=O)c2ccc(Cl)cc2)CCN(C1)c3ncnc4[nH]cc(C#N)c34	CHEMBL1170262	pIC50=7.76
CC(=O)Nc1cccc(c1)c2ccc3nc(c4cccnc4N)n(c5ccc(CC(=O)Nc6cccc(F)c6)cc5)c3n2	CHEMBL2177828	pIC50=7.77
CCOC(=O)c1cc(Br)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	CHEMBL3699753	pIC50=7.77
CCOCCN(C[C@@H](O)CN1CCC2(CCN(C2)c3ncnc4[nH]nc(C)c34)C1)S(=O)(=O)c5c(C)cccc5C	CHEMBL1760760	pIC50=7.77
C[C@H]1CN(CCN1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5	CHEMBL508754	pIC50=7.77
Cc1cc(Br)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	CHEMBL3699758	pIC50=7.77
NC(Cc1ccc(Cl)cc1)C(=O)N2CCN(CC2)c3ncnc(N)c3Cl	CHEMBL3127378	pIC50=7.77
NC1(CCC1)c2ccc(cc2)c3nc4c5ccc(cc5nn4cc3c6ccccc6)c7cn[nH]c7	CHEMBL3672529	pIC50=7.77
N[C@H](CNc1onc(c1)c2ccc3cnccc3c2)Cc4ccc(cc4)C(F)(F)F	CHEMBL1081104	pIC50=7.77
Nc1ncnc(N2CC[C@@]3(CCCN(C[C@H](O)CNS(=O)(=O)c4ccccc4Br)C3)C2)c1C5CC5	CHEMBL1760772	pIC50=7.77
O=C(CC1=NC(=CC(=O)N1)N2CCOCC2)Nc3cccc4occc34	CHEMBL3696293	pIC50=7.77
OC1CCN(CC1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5	CHEMBL500993	pIC50=7.77
OCCN1CCN(CC1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5	CHEMBL453995	pIC50=7.77
OCCNCc1nnc2c3cc(c4ccccc4)c(nc3ccn12)c5ccc(CN6CCC(CC6)c7n[nH]c(n7)c8ccccn8)cc5	CHEMBL442919	pIC50=7.77
Sc1nnc2c3cc(c4ccccc4)c(nc3ccn12)c5ccc(CN6CCC(CC6)c7n[nH]c(n7)c8ccccn8)cc5	CHEMBL502854	pIC50=7.77
CC(=O)Nc1cccc(c1)c2ccc3nc(c4cccnc4N)n(c5ccc(CC(=O)Nc6ccccc6)cc5)c3n2	CHEMBL2177827	pIC50=7.8
CC(C)NCC(Cc1ccc(C)cc1)C(=O)N2CCN(CC2)c3ncnc4CO[C@@H](C)c34	CHEMBL1632389	pIC50=7.8
CCn1c(nc2c(nc(OCCCN)cc12)C#CC(C)(C)O)c3nonc3N	CHEMBL1096292	pIC50=7.8
CNc1c(c2ccccc2)c(nc3nc(C)cn13)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7ccccn7)cc4	CHEMBL3672071	pIC50=7.8
COc1cccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(O)(C5)C6CC6)c3c7ccccc7)c12	CHEMBL3701732	pIC50=7.8
CS(=O)(=O)NCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4	CHEMBL2325735	pIC50=7.8
C[C@@H]1CN(C(=O)CC2=NC(=CC(=O)N2)N3CCOCC3)c4ccccc14	CHEMBL3699788	pIC50=7.8
Cc1c[nH]c2ncnc(N3CCC(N)(CNC(=O)Oc4ccccc4)C3)c12	CHEMBL1171840	pIC50=7.8
NC(=O)c1cccc(c1)c2ccc3c(c2)nn4cc(c5ccccc5)c(nc34)c6ccc(cc6)C7(N)CCC7	CHEMBL3672527	pIC50=7.8
NC1(CCC1)c2ccc(cc2)c3nc4c5c(F)cccc5OCn4c3c6ccccc6	CHEMBL3701719	pIC50=7.8
NC1(CCC1)c2ccc(cc2)c3nc4c5cc(ccc5nn4cc3c6ccccc6)c7cccc(CO)c7	CHEMBL3672538	pIC50=7.8
NCC(NC(=O)c1ccc(s1)c2c[nH]c3ncccc23)c4ccccc4	CHEMBL470192	pIC50=7.8
N[C@H](COc1cncc(c1)c2ccc3NC(=O)Cc3c2)Cc4ccccc4	CHEMBL226848	pIC50=7.8
N[C@H](COc1cncc(c1)c2ccc3NC(=O)\C(=C/c4ccc[nH]4)\c3c2)Cc5ccccc5	CHEMBL388311	pIC50=7.8
O=C1N=CC=C2N=C(C(=CC12)c3ccccc3)c4ccc(CN5CCC(CC5)c6n[nH]c(n6)c7ccccn7)cc4	CHEMBL262341	pIC50=7.8
O=C1NCCc2nc(c3ccc(CN4CCC(CC4)c5nnc([nH]5)c6ccccn6)cc3)c(cc12)c7ccccc7	CHEMBL446134	pIC50=7.8
CN1C(=O)Nc2ccc(cc12)c3cnc(NC[C@@H](N)Cc4ccc(cc4)C(F)(F)F)s3	CHEMBL1082016	pIC50=7.81
CC(=O)N1CCN(CC1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5	CHEMBL453586	pIC50=7.82
CC(=O)Nc1cccc(c1)c2ccc3nc(c4cccnc4N)n(c5ccc(CNC(=O)c6ccccc6)cc5)c3n2	CHEMBL2177834	pIC50=7.82
CC(C)Nc1c(c2ccccc2)c(nc3nc(C)nn13)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7ccccn7)cc4	CHEMBL3672049	pIC50=7.82
CN(C)C(=O)c1ccc2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c1	CHEMBL3701771	pIC50=7.82
