CS(=O)(=O)N1C=C2CN(CC2=N1)[C@H]1CO[C@@H]([C@@H](N)C1)C1=C(F)C=CC(F)=C1	omarigliptin	pKi=9.09691048	pKi=9.09691048	pKi=9.09691048	pIC50=8.59
CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=CC(F)=CC=C2C#N)C1=O	trelagliptin	pIC50=8.39793968	pIC50=8.39793968	pIC50=8.39793968	pIC50=8.4
[H][C@]1(CN[C@@]([H])(C1)C(=O)N1CCSC1)N1CCN(CC1)C1=CC(C)=NN1C1=CC=CC=C1	teneligliptin	pIC50=9.43179798	pIC50=9.43179798	pIC50=9.43179798	pIC50=9.43
CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N1CCC[C@H]1C#N	anagliptin	pIC50=8.42021656	pIC50=8.42021656	pIC50=8.42021656	pIC50=8.42
N[C@H](CN1CC(F)(F)CCC1=O)CC(=O)N1CCC2=C(N=C(N=C2C1)C(F)(F)F)C(F)(F)F	gemigliptin	pIC50=7.79587984	pIC50=7.79587984	pIC50=7.79587984
N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1	sitagliptin	pKi=7.774	pKi=7.774	pKi=7.774	pIC50=6.96
OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N1CCC[C@H]1C#N	vildagliptin	pKi=8.52	pKi=8.52	pKi=8.52	pIC50=6.92
[H][C@@](N)(C(=O)N1[C@@]2([H])C[C@@]2([H])C[C@@]1([H])C#N)C12CC3CC(CC(O)(C3)C1)C2	saxagliptin	pKi=9.22	pKi=9.22	pKi=9.22	pIC50=7.3
CC#CCN1C(=NC2=C1C(=O)N(CC1=NC3=CC=CC=C3C(C)=N1)C(=O)N2C)N1CCC[C@@H](N)C1	linagliptin	pIC50=10.0	pIC50=10.0	pIC50=10.0	pIC50=8.7
CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O	alogliptin	pIC50=9.0	pIC50=9.0	pIC50=9.0	pIC50=7.62
CC(C)(C)C[C@H](N)C(=O)N1CC[C@@H]2C[C@H]12	CHEMBL395184	pKi=6.0
Cc1nsc(n1)C2CCN(CC2)C(=O)[C@@H]3CN[C@@H](C3)C(=O)N4CCCC4	CHEMBL404159	pIC50=6.01
Cc1nsc(n1)N2CCCN(CC2)C(=O)[C@@H]3CN[C@@H](C3)C(=O)N4CCCC4	CHEMBL257742	pIC50=6.01
Cl.CC(C)CN1C(=C(c2ccccc2)c3cc(ccc3C1=O)C(=O)O)CN	CHEMBL1812900	pIC50=6.01
FC(F)(F)c1cccnc1NCCNCC(=O)N2CCC[C@H]2C#N	CHEMBL329282	pIC50=6.01
N[C@@H](Cc1ccc(I)cc1)C(=O)N2CCSC2	CHEMBL381420	pKi=6.01
N[C@@H](Cc1ccc(cc1)c2ccc(F)cc2)C(=O)N3CC[C@H](F)C3.OC(=O)C(F)(F)F	CHEMBL189645	pIC50=6.01
O=C(CNCc1ccccc1)N2CCC[C@H]2C#N	CHEMBL96453	pIC50=6.01
CC#C[C@H]1CC[C@@H](C#N)N1C(=O)CNC2CCCC2	CHEMBL217138	pKi=6.02
COCCC1(CCCC1)NCC(=O)N2[C@H](CC[C@H]2C#N)C#N	CHEMBL208756	pIC50=6.02
CCOC(=O)C1CCN(CC1)C(=O)c2cc(c(CN)c(C)n2)c3ccc(F)cc3	CHEMBL1688418	pIC50=6.03
N[C@@H](CC(=O)N1CCSC1)Cc2ccccc2F	CHEMBL187118	pIC50=6.03
N[C@H]1CN(CC2CCCCC2)C(=O)C[C@@H]1c3ccccc3Cl	CHEMBL375494	pKi=6.03
CC(C)[C@@H]1CNCCN1C(=O)C[C@H](N)Cc2ccccc2F	CHEMBL360488	pIC50=6.04
CN1C(=O)N(CC(=O)c2ccccc2)C(=O)c3c1nc(O[C@@H]4CCNC4)n3CC=C(C)C	CHEMBL2408646	pIC50=6.04
C[C@H](CC(=O)NC(C)(C)c1ccccc1)NCC(=O)N2CCC[C@H]2C#N	CHEMBL216203	pIC50=6.04
NCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N2CCCC2	CHEMBL3350817	pKi=6.04
NC[C@H]1CN(Cc2ccc(cc2)C(F)(F)F)C(=O)C[C@@H]1c3cc(F)ccc3F	CHEMBL3236111	pIC50=6.04
NCc1c(N)nc(cc1c2ccc(Cl)cc2Cl)c3ccccc3	CHEMBL331950	pIC50=6.04
N[C@H](Cc1cc(F)ccc1F)[C@@H]2CC[C@H](CC2)NCCCC(F)(F)F	CHEMBL1683124	pIC50=6.04
CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(Cc3ccc(F)cc3Cl)C1=O	CHEMBL1650442	pIC50=6.05
CNC([C@H](C)O)C(=O)N1CCCC1	CHEMBL3350818	pKi=6.05
COc1ccc(cc1)C(=O)NCCC(=O)N2CCC[C@H]2C(=O)N	CHEMBL2086588	pIC50=6.05
NC[C@H]1CN(Cc2ccccc2)C(=O)C[C@@H]1c3cc(F)ccc3F	CHEMBL3236110	pIC50=6.05
N[C@@H](CCC(=O)O)C(=S)N1CCC[C@H]1B(O)O	CHEMBL3686744	pIC50=6.05
O=Cc1ccc(s1)c2ccc(s2)c3cccs3	CHEMBL91933	pIC50=6.05
CC(C)(C)[C@H](N)C(=O)N1CCCC1	CHEMBL3350814	pKi=6.06
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(NS(=O)(=O)c3ccccc3)cc2.OC(=O)C(F)(F)F	CHEMBL245772	pIC50=6.06
CN1CCC(CC1)(NC(=O)C[C@H](N)Cc2ccccc2F)c3ccccc3	CHEMBL471842	pIC50=6.06
CO[C@@H]1CCC[C@@H](C1)[C@H](N)C(=O)N2CCCC2	CHEMBL352632	pIC50=6.06
COc1cc(CNC(=O)[C@@H]2CCCN2C(=O)C[C@H](N)Cc3ccccc3F)ccc1O	CHEMBL396195	pIC50=6.06
COc1ccc(cc1)C(=O)NCCCC(=O)N2CCC[C@H]2C(=O)N	CHEMBL2086596	pIC50=6.06
COc1ccc(cc1)C(=O)Nc2ccc(cc2)C(=O)N3CCC[C@H]3C(=O)N	CHEMBL2086604	pIC50=6.06
COc1ccc2C(=O)N(CC(C)C)C(=C(c3ccccc3)c2c1)CN	CHEMBL1812907	pIC50=6.06
NC(=O)[C@@H]1CCCN1C(=O)CCNC(=O)c2ccc(O)cc2	CHEMBL2086589	pIC50=6.06
NC(=O)[C@@H]1CCCN1C(=O)c2ccc(NC(=O)c3ccc(O)cc3)cc2	CHEMBL2086605	pIC50=6.06
N[C@@H](Cc1ccc(Cl)cc1)C(=O)N2CC[C@@H]3C[C@H]23	CHEMBL238221	pKi=6.06
N[C@@H]([C@@H]1CC[C@H](CC1)NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)C(=O)N3C[C@H](F)[C@@H](F)C3	CHEMBL431885	pIC50=6.06
OCC1(Cc2ccccc2C1)NCC(=O)N3[C@H](CC[C@H]3C#N)C#N	CHEMBL382045	pIC50=6.06
OC[C@@H]1CC[C@H](N1)C(=O)N2CCC[C@H]2C#N	CHEMBL210665	pKi=6.06
CC#CCN1C(=O)c2[nH]cc(Br)c2N=C1N3CCC[C@@H](N)C3	CHEMBL2346920	pIC50=6.07
CC(C)(CC(=O)N[C@H]1C[C@@H]1c2cccc(Cl)c2)CC(=O)N3C[C@@H](F)C[C@H]3C#C	CHEMBL1082996	pIC50=6.07
NC(=O)[C@@H]1CCCN1C(=O)CCCNC(=O)c2ccc(O)cc2	CHEMBL2086597	pIC50=6.07
N[C@H](Cc1cc(F)ccc1F)[C@@H]2CC[C@H](CC2)N3CCC(F)(F)C3	CHEMBL1683114	pIC50=6.07
CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(Cc3c(F)ccc(F)c3Cl)C1=O	CHEMBL1650445	pIC50=6.08
C[C@@H]([C@H](N)C(=O)N1CCCC1)c2onc(n2)c3ccc(F)cc3Cl	CHEMBL216855	pIC50=6.08
N[C@@H]([C@@H]1CC[C@H](CC1)NC(=O)OCc2ccccc2)C(=O)N3C[C@H](F)[C@@H](F)C3	CHEMBL22545	pIC50=6.08
N[C@@H]([C@H]1CC[C@H](O)C1)C(=O)N2CCCC2	CHEMBL368156	pIC50=6.08
CC(C)[C@@H](CC(=O)N1CCc2ccccc2C1)NCC(=O)N3CCC[C@H]3C#N	CHEMBL201398	pIC50=6.09
CCCC[C@@H](NC(=O)[C@@H](N)CCC)B(O)O	CHEMBL196180	pIC50=6.09
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)[C@@H]2CC[C@@H](CC2)c3cccc4ncnn34	CHEMBL237566	pIC50=6.09
COc1ccccc1c2cn3c(c(CN)c(C)nc3n2)c4ccccc4Cl	CHEMBL1269842	pKi=6.09
C[C@H](CCc1ccc(cc1)C(=O)N)NCC(=O)c2ccc(Cl)cc2	CHEMBL217801	pIC50=6.09
C[C@H]1CC[C@@H](C#N)N1C(=O)CNC2CCCC2	CHEMBL385483	pKi=6.09
Cl.N[C@@H](CC(=O)N1CCSC1C(=O)N2CCOCC2)Cc3cc(F)c(F)cc3F	CHEMBL1683481	pIC50=6.09
N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3cc(F)cc(F)c3F	CHEMBL243872	pIC50=6.09
N[C@H]1CC=CC[C@@H]1c2ccccc2Cl	CHEMBL216578	pKi=6.09
Cl.CC(=O)Nc1cccc(OP(=O)(Oc2cccc(NC(=O)C)c2)C3CCCN3C(=O)C4CCCN4)c1	CHEMBL9263	pIC50=6.1
Cl.CC(C)CN1C(=C(c2ccccc2)c3cc(O)ccc3C1=O)CN	CHEMBL1812906	pIC50=6.1
Cl.N[C@@H](CC(=O)N1CCCN(CC1)C(=O)Nc2ccc(cc2)C(=O)O)Cc3cc(F)c(F)cc3F	CHEMBL474631	pIC50=6.1
Cn1cnc2ccc(c(CN)c12)c3ccc(F)cc3F	CHEMBL406201	pIC50=6.1
NC1CN(CC1c2ccc(Cl)cc2Cl)c3ccccn3	CHEMBL245354	pKi=6.1
N[C@@H](CC(=O)N1CCN(CC1)C(c2ccc(F)cc2)c3ccc(F)cc3)C(=O)N4C[C@H]5C[C@H]5[C@H]4C#N.OC(=O)C(F)(F)F	CHEMBL3797299	pIC50=6.1
N[C@H]1CN(C[C@@H]1c2ccccc2)c3cc(ncn3)c4ccccc4	CHEMBL237758	pIC50=6.1
CC(C)C(NC(=O)CCNCC(=O)N1CCC[C@H]1C#N)c2ccccc2	CHEMBL372391	pIC50=6.11
CC1CCC(C)(C1)NCC(=O)N2[C@H](CC[C@H]2C#N)C#N	CHEMBL207620	pIC50=6.11
COc1ccc(C[C@@H](N)CC(=O)N2C[C@@H](F)C[C@H]2C#N)cc1	CHEMBL3330056	pIC50=6.11
COc1ccc(cc1)[C@H](C)[C@H](N)C(=O)N2CC[C@H](F)C2.OC(=O)C(F)(F)F	CHEMBL369888	pIC50=6.11
CSc1cc(F)c(C[C@@H](N)CC(=O)N2CCn3c(C2)nnc3C(F)(F)F)cc1F	CHEMBL231653	pIC50=6.11
Cl.CCOC(=O)c1ccc(NC(=O)C2CC=NN2C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)cc1	CHEMBL460951	pIC50=6.11
Cn1c2CCN(C(Cc3ccc(F)cc3)c2nc1C(F)(F)F)C(=O)C[C@H](N)Cc4cc(F)c(F)cc4F	CHEMBL250285	pIC50=6.11
Cn1nc(c2CN(CCc12)C(=O)C[C@H](N)Cc3cc(F)ccc3F)c4ccc(F)cc4	CHEMBL193802	pIC50=6.11
CC1CCNC(=O)CN1C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F	CHEMBL397010	pIC50=6.12
N[C@@H](CC(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)NCC3CC3)Cc4cc(F)c(F)cc4F	CHEMBL3357766	pIC50=6.12
OC[C@H]1CC[C@H](N1)C(=O)N2CCC[C@H]2C#N	CHEMBL376947	pKi=6.12
CC(C)CC(=O)OCCC#Cc1ccc(s1)c2ccc(COC(=O)CC(C)C)s2	CHEMBL3343901	pIC50=6.13
CC[C@@H](C)[C@H](N)C(=O)N1CC[C@@H]2C[C@H]12	CHEMBL238225	pKi=6.14
CN([C@@H]1CC[C@H](CC1)[C@H](N)Cc2cc(F)ccc2F)C(=O)CCN	CHEMBL1683102	pIC50=6.14
CN1C(=O)C(=C(O)c2ccccc12)C(C)(NN)Nc3ccccc3	CHEMBL3310986	pIC50=6.14
Cc1ccc(cc1)C(=O)Nc2ccc(cc2)C(=O)N3CCC[C@H]3C(=O)N	CHEMBL2086609	pIC50=6.14
NC(CC(=O)N1CCC[C@H]1C(=O)NCc2ccc(cc2)C(F)(F)F)Cc3ccccc3F.OC(=O)C(F)(F)F	CHEMBL435882	pIC50=6.14
N[C@@H](CC(=O)N1CCC[C@H]1C(=O)NCc2ccc(cc2)C(F)(F)F)Cc3ccccc3F	CHEMBL231552	pIC50=6.14
N[C@H]1C[C@H](CO[C@@H]1c2cc(F)ccc2F)N3Cc4ccccc4C3=O	CHEMBL2425066	pIC50=6.14
O=C([C@@H]1CC[C@@H](N1)c2ccccc2)N3CCC[C@H]3C#N	CHEMBL210844	pKi=6.14
CCCC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1N	CHEMBL234412	pIC50=6.15
CCN(Cc1ccccc1)[C@@H]2CC[C@H](CC2)[C@H](N)Cc3cc(F)ccc3F	CHEMBL1683127	pIC50=6.15
CN1C(=O)N(CC(=O)c2ccccc2)C(=O)c3c1nc(O[C@H]4CCNC4)n3CC=C(C)C	CHEMBL2408644	pIC50=6.15
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3ccc(NS(=O)(=O)C)cc3.OC(=O)C(F)(F)F	CHEMBL193887	pIC50=6.15
Cc1ccc(cc1)C(=O)NCCC(=O)N2CCC[C@H]2C(=O)N	CHEMBL2086593	pIC50=6.15
Cl.N[C@@H](CC(=O)N1CCCCCN1C(=O)c2ccccc2)Cc3cc(F)c(F)cc3F	CHEMBL539611	pIC50=6.15
Cl.N[C@@H](CC(=O)N1N=CCC1C(=O)OCc2ccccc2)Cc3cc(F)c(F)cc3F	CHEMBL510797	pIC50=6.15
O=C(CNC1(COC2CCCCC2)CCCC1)N3[C@H](CC[C@H]3C#N)C#N	CHEMBL377749	pIC50=6.15
CC1(CCCCC1)NCC(=O)N2[C@H](CC[C@H]2C#N)C#N	CHEMBL377058	pIC50=6.16
CS(=O)(=O)Nc1cccc(NC(=O)CN2CCN([C@@H](Cc3ccccc3)C2)C(=O)C[C@H](N)Cc4ccccc4F)c1	CHEMBL364385	pIC50=6.16
Cc1ccc(cc1)C(=O)NCCCC(=O)N2CCC[C@H]2C(=O)N	CHEMBL2086601	pIC50=6.16
Cc1ccn2nc3CN(Cc3c2n1)[C@@H]4CC[C@@H]([C@@H](N)C4)c5cc(F)c(F)cc5F	CHEMBL3804854	pIC50=6.16
Cc1nc(cc(c1CN)c2ccc(F)cc2)C(=O)N3CCCC3	CHEMBL1688416	pIC50=6.16
Cl.CCOC(=O)COc1ccc(NC(=O)C2CC=NN2C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)cc1	CHEMBL472199	pIC50=6.16
Cl.O=C(CNC(=O)c1ccccc1)Nc2ccc(OP(=O)(Oc3ccc(NC(=O)CNC(=O)c4ccccc4)cc3)C5CCCN5C(=O)C6CCCN6)cc2	CHEMBL269757	pIC50=6.16
N[C@@H](CC(=O)N1CC[C@@H]2[C@@H](CCc3nnc(n23)C(F)(F)F)C1)Cc4ccccc4	CHEMBL3425745	pIC50=6.16
N[C@@H](Cc1c[nH]c2ccccc12)C(=S)N3CCC[C@H]3B(O)O	CHEMBL3686748	pIC50=6.16
N[C@H](C(=O)N1[C@@H](C[C@@H]2C[C@H]12)C#N)c3ccccc3	CHEMBL2334675	pKi=6.16
N[C@H](Cc1cc(F)ccc1F)[C@@H]2CC[C@H](CC2)N(CCCC(F)(F)F)Cc3ccccc3	CHEMBL1683128	pIC50=6.16
OCC1(CCCCC1)NCC(=O)N2[C@H](CC[C@H]2C#N)C#N	CHEMBL208952	pIC50=6.16
CCCN(CC#N)C(=O)[C@@H](N)C12CC3CC(CC(C3)C1)C2	CHEMBL204458	pKi=6.17
CN(C)C(=O)[C@@H]1CN[C@@H](C1)C(=O)N2CCCC2	CHEMBL271062	pIC50=6.17
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CCC(F)(F)C1)[C@@H]2CC[C@@H](CC2)c3cccc4ncnn34	CHEMBL237783	pIC50=6.17
COc1ccc(cc1)c2csc(n2)C3(CCS(=O)(=O)CC3)NC(=O)C[C@H](N)Cc4ccccc4F	CHEMBL2206477	pIC50=6.17
Cc1nc(cc(c1CN)c2ccc(F)cc2F)C(=O)NC3CC3	CHEMBL1688419	pIC50=6.17
Cc1oc(nn1)C(=O)[C@@H]2CC(F)(F)CN2C(=O)CNC34CC5CC(CC(C5)C3)C4	CHEMBL233337	pIC50=6.17
Cc1onc(C)c1S(=O)(=O)N(Cc2ccccc2)[C@@H]3CC[C@H](CC3)[C@H](N)Cc4cc(F)ccc4F	CHEMBL1683093	pIC50=6.17
Cc1onc(NC(=O)c2cc(c(CN)c(C)n2)c3ccc(F)cc3F)c1	CHEMBL1688423	pIC50=6.17
Cl.N[C@@H](CC(=O)N1CCSC1C(=O)N2CCNCC2)Cc3cc(F)c(F)cc3F	CHEMBL1683482	pIC50=6.17
Fc1cc(F)cc(c1)C(=O)N2CCN(CC2)C(=O)CCNCC(=O)N3CCC[C@H]3C#N	CHEMBL372746	pIC50=6.17
N[C@@H](CC(=O)N1CCN(CC1)C(c2ccc(F)cc2)c3ccc(F)cc3)C(=O)N4CC(=C)C[C@H]4C#N.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F	CHEMBL3797842	pIC50=6.17
N[C@@H]([C@@H]1CC[C@@H](C1)OC(=O)Nc2ccc(I)cc2)C(=O)N3CCCC3	CHEMBL172276	pIC50=6.17
N[C@H](Cc1cc(F)ccc1F)C2CCN(CC2)c3ncccn3	CHEMBL1683139	pIC50=6.17
CC(C)(C)NCC(=O)N1[C@H](CC[C@H]1C#N)C#N	CHEMBL208902	pIC50=6.18
Cl.COc1cccc2c1N(C)C(=O)c3c2nc(N4CCC[C@@H](N)C4)n3Cc5ccccc5Cl	CHEMBL2147187	pIC50=6.18
N[C@@H]([C@H]1CC[C@H](C1)OC(=O)Nc2ccc(I)cc2)C(=O)N3CCCC3	CHEMBL169758	pIC50=6.18
CC#CCn1c(nc2N(C)C(=O)N(Cc3csc(CO)n3)C(=O)c12)N4CCNCC4	CHEMBL3616888	pIC50=6.19
CC(C)(Cc1ccc(F)cc1)NCC(=O)N2[C@H](CC[C@H]2C#N)C#N	CHEMBL209058	pIC50=6.19
CC([C@H](N)C(=C1CCCC1)F)c2onc(n2)c3ccc(Br)cc3Cl.OC(=O)C(F)(F)F	CHEMBL256603	pIC50=6.19
CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)c3cc(C)c4ncnn4c3.OC(=O)C(F)(F)F	CHEMBL210621	pIC50=6.19
CN1C(=O)N(CC(=O)c2ccccc2)C(=O)c3c1nc(N4CC5CCNC5C4)n3CC=C(C)C	CHEMBL2408774	pIC50=6.19
CN1C(=O)N(Cc2ccc(F)c(c2)C(=O)O)C(=O)c3c1nc(N4CCC[C@@H](N)C4)n3Cc5ccccc5Cl	CHEMBL3402125	pIC50=6.19
COc1cc2CCN(Cc2cc1OC)C(=O)CCNCC(=O)N3CCC[C@H]3C#N	CHEMBL424854	pIC50=6.19
COc1cccc(c1)[C@H]2CN3CCc4cc(OC)c(OC)cc4[C@@H]3C[C@H]2N	CHEMBL234430	pIC50=6.19
N[C@@H](CC(=O)N1C[C@@H](F)C[C@H]1C#N)Cc2ccc(cc2)C(F)(F)F	CHEMBL3330055	pIC50=6.19
N[C@H]1CN(CC[C@@H]1c2cc(F)c(F)cc2F)c3ncccc3C(F)(F)F.OC(=O)C(F)(F)F	CHEMBL230449	pIC50=6.19
CC1N(CCc2c1nc(n2C)C(C)(C)C)C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F	CHEMBL250283	pIC50=6.2
CCCCCCCC[S+](CCCCCCCC)Cc1ccc2NC(=O)[C@@H]3CCCN3C(=O)[C@@H](N)CCCCNC(=O)CNC(=O)CNC(=O)c1c2.OC(=O)C(F)(F)F.[O-]C(=O)C(F)(F)F	CHEMBL67680	pIC50=6.2
CCN1C(=O)CN2C(=O)c3c(N=C12)nc(N4CCC[C@@H](N)C4)n3Cc5cc(F)ccc5F	CHEMBL3687982	pIC50=6.2
F[C@H]1C[C@@H](C#N)N(C1)C(=O)CN[C@H]2[C@@H]3CN(C[C@H]23)c4cc(F)cc(F)c4C#N	CHEMBL520921	pIC50=6.2
NCc1c(ccc2nc[nH]c12)c3ccc(Cl)cc3Cl	CHEMBL404544	pIC50=6.2
O=C(CNCCOc1ccccc1)N2CCC[C@H]2C#N	CHEMBL321509	pIC50=6.2
COc1ccccc1c2cn3c(c(CN)c(C)nc3n2)c4ccc(Cl)c(Cl)c4	CHEMBL1270859	pKi=6.21
C[C@@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2onc(n2)c3ccc(Cl)cc3Cl	CHEMBL487630	pIC50=6.21
Cc1ncc(s1)N2CCN(CC2)C(=O)[C@@H]3CN[C@@H](C3)C(=O)N4CCCC4	CHEMBL403970	pIC50=6.21
O=C(CNC1CC1)N2CCC[C@H]2C#N	CHEMBL96080	pIC50=6.21
CC12CC3(C)CC(O)(C1)CC(C3)(C2)[C@H](N)C(=O)N4CCCCC4	CHEMBL236481	pKi=6.22
CCC1N(CCc2c1nc(n2C)C(F)(F)F)C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F	CHEMBL250204	pIC50=6.22
CCCN(CC#N)C(=O)[C@@H]1C[C@@H]([C@H](C)N1)C(=O)N(C)C	CHEMBL261463	pIC50=6.22
CCN(C)C(=O)N1CC(N)C(C1)c2ccc(Cl)cc2Cl	CHEMBL395688	pKi=6.22
COc1ccc(cc1OC)N2CCC(N)C(C2)c3cccc(C)c3	CHEMBL231994	pIC50=6.22
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(NC(=O)C)cc2.OC(=O)C(F)(F)F	CHEMBL245971	pIC50=6.22
C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)C(F)(F)F.OC(=O)C(F)(F)F	CHEMBL194489	pIC50=6.22
C[C@H]([C@H](N)Cc1cc(F)c(F)cc1F)c2onc(n2)c3ccc(Cl)cc3Cl	CHEMBL519591	pIC50=6.22
C[S+](C)Cc1ccc2NC(=O)[C@@H]3CCCN3C(=O)[C@@H](N)CCCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)c1c2.OC(=O)C(F)(F)F.[O-]C(=O)C(F)(F)F	CHEMBL302602	pIC50=6.22
