N[C@@H](CS)CCCC(=O)O	CHEMBL102006	pKi=6.01
CC[C@@H](C)[C@H](NC(=O)C(S)C(N)CCS(=O)(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL1161305	pKi=7.1
N[C@H](CCS(=O)(=O)O)[C@H](S)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCS(=O)(=O)O)C(=O)O	CHEMBL357586	pKi=7.14
CC[C@@H](C)[C@H](NC(=O)[C@@H](S)[C@H](N)CCS(=O)(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL149436	pKi=7.28
CC[C@@H](C)[C@H](NCC(S)C(N)CCS(=O)(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL1161295	pKi=7.29
CC[C@@H](C)[C@H](NC(=O)[C@@H](S)[C@@H](N)CCS(=O)(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL148781	pKi=7.3
CC[C@@H](C)[C@H](NC(=O)[C@H](S)[C@H](N)CCS(=O)(=O)O)C(=O)O	CHEMBL149449	pKi=7.4
N[C@H](CCS(=O)(=O)O)[C@H](S)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL151900	pKi=7.57
CC[C@@H](C)[C@H](NC(=O)[C@H](S)[C@@H](N)CCS(=O)(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL345941	pKi=7.7
CC[C@@H](C)[C@H](NC(=O)[C@@H](S)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL146922	pKi=7.8
CC[C@@H](C)[C@H](NC(=O)[C@H](S)[C@H](N)CCS(=O)(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N	CHEMBL148482	pKi=7.82
CC[C@H](C)[C@@H](NC(=O)[C@H](S)[C@H](N)CCS(=O)(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL433935	pKi=7.83
CC[C@@H](C)[C@H](NC(=O)[C@H](S)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL346397	pKi=7.89
CC[C@@H](C)[C@H](NC(=O)[C@H](S)[C@H](N)CCP(=O)(O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL356858	pKi=7.92
N[C@H](CCS(=O)(=O)O)[C@@H](S)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCS(=O)(=O)O)C(=O)O	CHEMBL347763	pKi=8.03
CC[C@@H](C)[C@H](NC(=O)[C@H](S)[C@H](N)CCS(=O)(=O)O)C(=O)N[C@H](CC(=O)O)C(=O)O	CHEMBL359101	pKi=8.27
N[C@H](CCS(=O)(=O)O)[C@@H](S)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL147285	pKi=8.37
CC[C@@H](C)[C@H](NC(=O)[C@H](S)[C@H](N)CCS(=O)(=O)O)C(=O)N1CCC([C@@H]1C(=O)O)C(=O)O	CHEMBL151631	pKi=8.42
CC[C@@H](C)[C@H](NC(=O)[C@H](S)[C@H](N)CCS(=O)(=O)O)C(=O)N[C@@H](CS(=O)(=O)O)C(=O)O	CHEMBL148777	pKi=8.44
CC[C@@H](C)[C@H](NC(=O)[C@H](S)[C@H](N)CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL348205	pKi=8.45
CC[C@@H](C)[C@H](NC(=O)[C@H](S)[C@H](N)CCS(=O)(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL358903	pKi=8.5
CC[C@@H](C)[C@H](NC(=O)[C@H](S)[C@H](N)CCS(=O)(=O)O)C(=O)N1CCC([C@H]1C(=O)O)C(=O)O	CHEMBL146746	pKi=9.06
