CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib	pKd=5.92	pKd=5.92	pKd=5.92
CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1	dasatinib	pKd=9.7	pKd=9.7	pKd=9.7	pIC50=8.4
Cc1cc(cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12)c5c(Cl)cccc5Cl	CHEMBL230686	pKi=7.53
CNc1nccc(n1)c2cccnc2Oc3ccc(Nc4oc5ccccc5n4)c6ccccc36	CHEMBL456463	pIC50=7.6
Cc1cccc(Cl)c1Nc2nc3ccccc3n2c4cc(Nc5cc(nc(C)n5)N6CCN(CCO)CC6)ncn4	CHEMBL447107	pIC50=7.6
Cc1nc(O)c2c(ccc3[nH]c(Nc4c(Br)cc(Br)cc4Br)nc23)c1C	CHEMBL333374	pIC50=7.6
CC(C)COC(=O)Nc1ccc(cc1)c2cnc3c(cnn3c2N)c4cccc(c4)N5CCN(C)CC5	CHEMBL1085317	pIC50=7.62
CN1CCC(CC1)Oc2cc(cc(c2)C(F)(F)F)C(=O)Nc3ccc(C)c(Nc4nc5ccccc5n4c6cc(N)ncn6)c3	CHEMBL1076432	pIC50=7.62
COc1cc(ccc1NC(=O)c2oc3ccccc3c2)c4nn([C@@H]5CC[C@H](CC5)N6CCN(C)CC6)c7ncnc(N)c47	CHEMBL43773	pIC50=7.62
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(NCCCN4CCOCC4)nc3	CHEMBL259465	pIC50=7.62
Cc1ccc(O)cc1Nc2ccnc(n2)n3cnc4ccccc34	CHEMBL220923	pIC50=7.62
[O-][N+](=O)c1ccc2nc(Nc3c(Cl)cccc3Cl)c4cncn4c2c1	CHEMBL107826	pIC50=7.62
[O-][N+](=O)c1cccc2c1nc(Nc3c(Cl)cccc3Cl)c4cncn24	CHEMBL84954	pIC50=7.62
CC(C)COC(=O)Nc1ccc(c(C)c1)c2cnc3c(cnn3c2N)c4cccc(c4)N5CCN(C)CC5	CHEMBL1085996	pIC50=7.64
CN1CCN(CC1)c2cccc(c2)c3cnn4c(N)c(cnc34)c5ccc(NC(=O)c6ccc(cc6)C(F)(F)F)cc5	CHEMBL1085240	pIC50=7.64
CN1CCN(CCCNc2cc(ncn2)n3c(Nc4cc(ccc4C)C(=O)Nc5cccc(c5)C(F)(F)F)nc6ccccc36)CC1	CHEMBL1076201	pIC50=7.64
CN1CCN(CCOc2ccc(Nc3ncc4C(=O)N(c5c(C)cccc5C)c6nc7ccccc7n6c4n3)cc2F)CC1	CHEMBL407516	pIC50=7.64
CNc1cc(ncn1)c2cccnc2Nc3c(C)ccc4c(Nc5ccc6sc(C)nc6c5)nccc34	CHEMBL570573	pIC50=7.64
COc1cc(ccc1NC(=O)c2ccc(cc2F)C(F)(F)F)c3nn(C4CCN(CC4)C5CCN(C)CC5)c6ncnc(N)c36	CHEMBL371295	pIC50=7.64
COc1ccc(Cl)cc1N2C(=O)c3cnc(Nc4ccc(cc4)N5CCN(C)CC5)nc3n6c2nc7ccccc67	CHEMBL406684	pIC50=7.64
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1Nc3nc4ccccc4n3c5cc(NCCCN)ncn5	CHEMBL1076465	pIC50=7.64
Cc1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c23)c1C	CHEMBL28912	pIC50=7.64
Nc1ncnc2c1c(cn2C3CC(O)C(O)C3)c4ccc(Oc5ccccc5)cc4	CHEMBL69827	pIC50=7.64
CC(Nc1nccc(n1)n2cnc3ccccc23)C4CN(CCN4C)S(=O)(=O)C	CHEMBL568542	pIC50=7.65
C(CN1CCNCC1)Nc2ccnc3oc(c4ccc(OCCN5CCOCC5)cc4)c(c6ccccc6)c23	CHEMBL240430	pIC50=7.66
CC(C)COC(=O)Nc1ccc(cc1)c2cnc3c(cnn3c2N)c4ccc(cc4)N5CCN(C)CC5	CHEMBL1085511	pIC50=7.66
CN(C)CCCCNc1cc(ncn1)n2c(Nc3cc(ccc3C)C(=O)Nc4cccc(C)c4)nc5ccccc25	CHEMBL1076194	pIC50=7.66
COc1cc(ccc1OCCN2CCCCC2)c3oc4ncnc(NCCN5CCNCC5)c4c3c6ccccc6	CHEMBL394490	pIC50=7.66
COc1nc(NCCN2CCOCC2)ncc1C(=O)Nc3cc(ccc3C)C(=O)Nc4cccc(c4)C(F)(F)F	CHEMBL270793	pIC50=7.66
Cc1ccc(cc1Nc2nc3ccccc3n2c4cc(N)ncn4)C(=O)Nc5cccc(c5)C(C)(C)C	CHEMBL1087128	pIC50=7.66
FC(F)(F)Oc1ccc(NC(=O)c2sccc2NCc3ccnc4ccccc34)cc1	CHEMBL1614710	pIC50=7.66
O=C(N1CCCCC1)c2ccc(cc2)c3oc4ncnc(NCCN5CCNCC5)c4c3c6ccccc6	CHEMBL248081	pIC50=7.66
Oc1cccc(Nc2ccnc3cc(sc23)c4cccc(CN5CCOCC5)c4)c1	CHEMBL2336005	pIC50=7.67
CN(C)CCCN(C)c1ccc(cc1NC(=O)c2cc(ccc2F)C#Cc3cnc(N)nc3)C(F)(F)F	CHEMBL373621	pIC50=7.68
CN(C)CCc1ccc(Nc2ncc3C=C(N4N(CCC4=O)c3n2)c5c(Cl)cccc5Cl)cc1	CHEMBL441361	pIC50=7.68
CNc1ncc2cc(ccc2n1)c3c(C)ccc4c(Nc5cc(nn5C)C(C)(C)C)nccc34	CHEMBL569882	pIC50=7.68
COc1cc2nccc(Oc3ccc4N(CCOc4c3)C(=O)Nc5ccc(Cl)cc5)c2cc1C(=O)N	CHEMBL409867	pIC50=7.68
Cc1cc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)ncn1	CHEMBL89072	pIC50=7.68
Cc1cccc(Cl)c1Nc2nc3cc(N)ccc3n4cncc24	CHEMBL83008	pIC50=7.68
CCN(CC)CCCCNc1cc(ncn1)n2c(Nc3cc(ccc3C)C(=O)Nc4cccc(C)c4)nc5ccccc25	CHEMBL1076195	pIC50=7.7
CN(C)CCCOc1ccc(Nc2ncc3C(=O)N(c4c(C)cccc4C)c5nc6ccccc6n5c3n2)cc1	CHEMBL261174	pIC50=7.7
CN1CCN(CCCNc2ncnc(n2)n3c(Nc4cc(ccc4C)C(=O)Nc5cccc(c5)C(F)(F)F)nc6ccccc36)CC1	CHEMBL1076203	pIC50=7.7
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL388978	pKd=7.7
CNc1nccc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)n1	CHEMBL86386	pIC50=7.7
COc1cc(ccc1NC(=O)c2cc3ccccc3[nH]2)c4nn([C@@H]5CC[C@H](CC5)N6CCN(C)CC6)c7ncnc(N)c47	CHEMBL431609	pIC50=7.7
COc1cc2nccc(Oc3ccc4N(CCOc4c3)C(=O)Nc5ccc(Cl)cc5)c2cc1OC	CHEMBL270548	pIC50=7.7
COc1ccccc1Oc2ccc(cc2)c3cn(C4CCCC4)c5ncnc(N)c35	CHEMBL66102	pIC50=7.7
Cc1cc(C)c(NC(=O)c2ccc3nc(NC(=O)C4CC4)sc3c2)c(C)c1	CHEMBL68411	pIC50=7.7
Cc1cc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)nc(C)n1	CHEMBL84624	pIC50=7.7
Cc1ccc(O)cc1Nc2ccnc3cc(ccc23)c4csc(C=O)n4	CHEMBL237127	pKi=7.7
Cc1ccc(cc1Nc2nc3ccccc3n2c4cc(N)ncn4)C(=O)Nc5cccc(c5)C(F)(F)F	CHEMBL1087524	pIC50=7.7
Cc1cccc(C)c1Nc2ncc(c3ccccc3)n4cncc24	CHEMBL223873	pIC50=7.7
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(Nc4cc(Cl)ncn4)sc3c2	CHEMBL316246	pIC50=7.7
Cc1ccnc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)c1	CHEMBL87004	pIC50=7.7
Cc1cnc(Nc2cc(Cc3ccccc3)nc(N[C@@H]4CC[C@@H](O)CC4)n2)s1	CHEMBL2441267	pKi=7.7
Nc1ncnc2c1c(c3ccc(Oc4ccccc4)cc3)c(C(=O)O)n2C5CCCC5	CHEMBL305748	pIC50=7.7
Oc1ccc(cc1O)c2cnn3cc(cnc23)c4ccc(OCCN5CCOCC5)cc4	CHEMBL1271641	pIC50=7.7
C[C@H](Nc1nccc(n1)n2cnc3ccc(N)cc23)c4ccccc4	CHEMBL569240	pIC50=7.71
CC(C)(C)n1cc(c2ccc(Oc3ccc(N)cc3)cc2)c4c(N)ncnc14	CHEMBL69068	pIC50=7.72
CC(C)N(CCOc1ccc(cc1)c2oc3nccc(NCCN4CCNCC4)c3c2c5ccccc5)C(C)C	CHEMBL239590	pIC50=7.72
CC1=C(C(=O)N(C=C1)c2ccc3c(NCC3(C)C)c2)c4ccc5nc(N)ncc5c4	CHEMBL493986	pIC50=7.72
CCC(NC(=O)Nc1nc2ccc(cc2s1)C(=O)Nc3c(C)cccc3Cl)c4ccccc4	CHEMBL304300	pIC50=7.72
CN1CCN(CCCNc2cc(ncn2)n3c(Nc4cc(ccc4C)C(=O)Nc5cccc(C)c5)nc6ccccc36)CC1	CHEMBL1076197	pIC50=7.72
COc1cc(Cc2nn([C@@H]3CC[C@H](CC3)N4CCN(C)CC4)c5ncnc(N)c25)ccc1NC(=O)[C@@H]6C[C@H]6c7ccccc7	CHEMBL416091	pIC50=7.72
COc1cc(Nc2ncc3C(=O)N(c4c(C)cccc4C)c5nc6ccccc6n5c3n2)ccc1OCCN7CCN(C)CC7	CHEMBL407279	pIC50=7.72
COc1cc2nccc(Oc3ccc4N(CCOc4c3)C(=O)Nc5ccc(C)cc5)c2cc1C(=O)N	CHEMBL270954	pIC50=7.72
COc1nc(NCCCN2CCN(C)CC2)ncc1C(=O)Nc3cc(ccc3C)C(=O)Nc4cccc(c4C)C(F)(F)F	CHEMBL255989	pIC50=7.72
Nc1ncc(cn1)C#Cc2cccc(c2)C(=O)Nc3cccc(c3)C(F)(F)F	CHEMBL375819	pIC50=7.72
CCN(CC)CCCCNc1cc(ncn1)n2c(Nc3cc(ccc3C)C(=O)Nc4cccc(c4)C(F)(F)F)nc5ccccc25	CHEMBL1076199	pIC50=7.75
CN1CCN(Cc2cc(nn2C(C)(C)C)C(=O)Nc3ccc(C)c(Nc4nc5ccccc5n4c6cc(N)ncn6)c3)CC1	CHEMBL1075628	pIC50=7.75
COc1cc2nc(Nc3c(C)cccc3Cl)c4cncn4c2cc1N5CC(C)NC(C)C5	CHEMBL322651	pIC50=7.75
COc1cc2nccc(Oc3ccc4N(CCOc4c3)C(=O)N[C@@H](C)c5ccccc5)c2cc1OC	CHEMBL270306	pIC50=7.75
COc1nccc(n1)c2c(ncn2[C@@H]3CC[C@@H](O)CC3)c4ccc(F)cc4	CHEMBL97162	pIC50=7.75
Cc1cc(C)c(NC(=O)c2cnc(NC(=O)C3CC3)s2)c(C)c1	CHEMBL339037	pIC50=7.75
Cc1nc(O)c2c(ccc3[nH]c(Nc4c(Cl)cc(Cl)cc4Cl)nc23)c1C	CHEMBL327060	pIC50=7.75
CC(Nc1nccc(n1)n2cnc3ccccc23)C4CN(CCN4C)C(=O)Nc5cccc6ccccc56	CHEMBL569052	pIC50=7.76
CC(C)(C)n1cc(c2ccc(Oc3ccc(O)cc3)cc2)c4c(N)ncnc14	CHEMBL302481	pIC50=7.77
COc1c(C=O)c(O)cc2C(=O)c3ccccc3C(=O)c12	CHEMBL212948	pIC50=7.77
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC4CCN(C)CC4	vandetanib	pKd=7.77
Cc1ccc(O)cc1Nc2cc(NCCN3CCOCC3)nc(n2)n4cnc5ccccc45	CHEMBL221233	pIC50=7.77
Cc1ccc(cc1Nc2nc3ccccc3n2c4cc(N)ncn4)C(=O)Nc5cccc(OC(F)F)c5	CHEMBL1088027	pIC50=7.77
Cc1cccc(Cl)c1NC(=O)c2cnc(NC(=O)c3ccsc3)s2	CHEMBL386167	pIC50=7.77
Cc1cccc(Cl)c1Nc2nc3ccccc3n2c4cc(Nc5cc(CN6CCOCC6)ccn5)ncn4	CHEMBL477172	pIC50=7.77
Cc1cnc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cc(C)cc4C)c(C)c1	CHEMBL85295	pIC50=7.77
Nc1ncnc2c1c(c(CO)n2C3CCCC3)c4ccc(Oc5ccccc5)cc4	CHEMBL302279	pIC50=7.77
C(CN1CCCCC1)Oc2ccc(cc2)c3cnc4c(cnn4c3)c5ccncc5	CHEMBL478629	pIC50=7.8
CN1CCN(CC1)c2cccc(c2)c3cnn4c(N)c(cnc34)c5ccc(NC(=O)NCC6CCCCC6)cc5	CHEMBL1084028	pIC50=7.8
CN1CCN(CC1)c2cccc(c2)c3cnn4c(N)c(cnc34)c5ccc(NC(=O)Oc6ccccc6)cc5	CHEMBL1085564	pIC50=7.8
COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1	nintedanib	pIC50=7.8
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(Nc4cccc(c4)C(F)(F)F)nc3	CHEMBL3290119	pIC50=7.8
Cc1cccc(C)c1Nc2nc3ccccc3n4cncc24	CHEMBL28632	pIC50=7.8
Nc1ncnc2c1c(cn2C3CCCC3)c4ccc(Oc5ccccc5)cc4	CHEMBL47940	pIC50=7.8
CC(C)(C)n1cc(c2ccc(Oc3cccc(N)c3)cc2)c4c(N)ncnc14	CHEMBL433097	pIC50=7.82
CN(C)CCCCNc1cc(ncn1)n2c(Nc3cc(ccc3C)C(=O)Nc4cccc(c4)C(F)(F)F)nc5ccccc25	CHEMBL1076198	pIC50=7.82
CN1CCN(CC1)[C@@H]2CC[C@@H](CC2)n3cc(c4ccc(Oc5ccccc5)cc4)c6c(N)ncnc36	CHEMBL47203	pIC50=7.82
CN1CCN(CC1)[C@@H]2CC[C@H](CC2)n3cc(c4ccc(Oc5ccccc5)cc4)c6c(N)ncnc36	CHEMBL45177	pIC50=7.82
Cc1ccc(cc1C(=O)Nc2cnc(N)nc2)C(=O)Nc3cccc(c3)C(F)(F)F	CHEMBL272902	pIC50=7.82
Cc1cccc(C)c1NC(=O)c2ccc3nc(NC(=O)C4CC4)sc3c2	CHEMBL68352	pIC50=7.82
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(Nc4cnccn4)sc3c2	CHEMBL314053	pIC50=7.82
Cc1cccc(Cl)c1Nc2nc3c(Br)cccc3n4cncc24	CHEMBL83251	pIC50=7.82
Cc1cccc(Cl)c1Nc2nc3ccc(Br)cc3n4cncc24	CHEMBL321869	pIC50=7.82
C(CC1CCNCC1)Nc2ncnc3oc(c4ccc(OCCN5CCCC5)cc4)c(c6ccccc6)c23	CHEMBL247469	pIC50=7.85
CC(C)(C)n1cc(c2ccc(Oc3ccccc3)cc2)c4c(N)ncnc14	CHEMBL302281	pIC50=7.85
CN(C)CCOc1ccc(cc1)c2oc3ncnc(NCCN4CCNCC4)c3c2c5ccccc5	CHEMBL248286	pIC50=7.85
CN(CCCN1CCOCC1)c2ncc3cc(ccc3n2)c4cc(ccc4C)C(=O)Nc5cccc(c5C)C(F)(F)F	CHEMBL212195	pIC50=7.85
CN1CCN(CC1)c2ccc(Nc3ncc(NC(=O)c4cc(NC(=O)c5cnoc5C)ccc4C)cn3)cc2	CHEMBL411050	pIC50=7.85
CN1CCN(CC1)c2ccc(Nc3nccc(n3)N(C(=O)Oc4c(C)cccc4C)c5ccccc5)cc2	CHEMBL427047	pIC50=7.85
CN1CCN(CC1)c2ccc(cc2)c3cnn4c(N)c(cnc34)c5ccc(NC(=O)Oc6ccccc6)cc5	CHEMBL1085512	pIC50=7.85
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(N)nc3	CHEMBL411632	pIC50=7.85
Cc1ccc(O)cc1Nc2ccnc(Nc3cccc(c3)C(=O)N)n2	CHEMBL249097	pIC50=7.85
Cc1cccc(Cl)c1Nc2nc3cc(Br)ccc3n4cncc24	CHEMBL86068	pIC50=7.85
Cc1cn(cn1)c2cc(NC(=O)c3ccc(C)c(Nc4nc5ccccc5n4c6cc(N)ncn6)c3)cc(c2)C(F)(F)F	CHEMBL1076193	pIC50=7.85
CC1CN(CC(C)N1)c2ccc3c(c2)nc(Nc4c(C)cccc4Cl)c5cncn35	CHEMBL322600	pIC50=7.89
CCOc1ccccc1Oc2nc(Nc3ccc(cc3)N4CCNCC4)ncc2C(=O)Nc5c(C)cccc5C	CHEMBL459044	pKi=7.89
CN(C1CCCCC1)C(=O)Nc2ccc(cc2)c3cnc4c(cnn4c3N)c5ccc(cc5)N6CCN(C)CC6	CHEMBL1082693	pIC50=7.89
CN1CCN(CC1)c2ccc(Nc3nccc(n3)N(C(=O)Oc4c(C)cccc4C)c5ccc(cc5)c6ccccc6)cc2	CHEMBL209908	pIC50=7.89
CN1CCN(CC1)c2ccc(cc2)c3cnn4c(N)c(cnc34)c5ccc(NC(=O)NCC6CCCCC6)cc5	CHEMBL1084234	pIC50=7.89
COc1cc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)ncn1	CHEMBL86738	pIC50=7.89
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1Nc3nc4ccccc4n3c5cc(NCCCCN)ncn5	CHEMBL1076466	pIC50=7.89
Cc1cccc(C)c1c2cc(C)c3nc(Nc4ccc(OCCN5CCCC5)cc4)nnc3c2	CHEMBL436137	pIC50=7.89
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(Nc4cccc(CN5CCOCC5)n4)sc3c2	CHEMBL86742	pIC50=7.89
Cc1cccc(Cl)c1Nc2nc3ccccc3n2c4cc(Nc5cc(NCCN6CCOCC6)nc(C)n5)ncn4	CHEMBL450092	pIC50=7.89
CCN(CC)CCCCNc1cc(ncn1)n2c(Nc3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C)nc5ccccc25	CHEMBL1076470	pIC50=7.92
CNc1cc(ncn1)c2cccnc2Nc3c(C)ccc4c(Nc5ccc(Cl)cc5)nccc34	CHEMBL565885	pIC50=7.92
COc1cc(Nc2ncc3C(=O)N(c4c(C)cccc4C)c5nc6ccccc6n5c3n2)ccc1OCCCN7CCN(C)CC7	CHEMBL405430	pIC50=7.92
COc1ccc(cc1)N(C(=O)Oc2c(C)cccc2C)c3ccnc(Nc4ccc(cc4)N5CCN(C)CC5)n3	CHEMBL215847	pIC50=7.92
Cc1cccc(C)c1N2C(=O)c3cnc(Nc4ccc(OCCCN5CCCCC5)cc4)nc3n6c2nc7ccccc67	CHEMBL408030	pIC50=7.92
Cc1cn2c(cnc2c(Nc3cc(CN4CCCCC4)ns3)n1)c5cn[nH]c5	CHEMBL1739550	pIC50=7.92
CC(Nc1nccc(n1)n2cnc3ccccc23)C4CN(CCN4S(=O)(=O)C)C(=O)Nc5cccc6ccccc56	CHEMBL572200	pIC50=7.93
Cc1cc(cc2nnc(Nc3ccc(OCC[N+]4([O-])CCCC4)cc3)nc12)c5c(Cl)cccc5Cl	CHEMBL256101	pKi=7.93
C(CN1CCCC1)Oc2ccc(cc2)c3oc4ncnc(NC[C@@H]5CCCO5)c4c3c6ccccc6	CHEMBL247480	pIC50=7.96
C(CN1CCNCC1)Nc2ncnc3oc(c4ccc(cc4)N5CCOCC5)c(c6ccccc6)c23	CHEMBL247880	pIC50=7.96
CC(=O)Nc1ccc2c(c1)nc(Nc3c(C)cccc3Cl)c4cncn24	CHEMBL313466	pIC50=7.96
CC(C)n1cc(c2ccc(Oc3ccccc3)cc2)c4c(N)ncnc14	CHEMBL307982	pIC50=7.96
CC(Nc1nccc(n1)n2cnc3ccccc23)C4CCCN(C4)C(=O)Nc5ccccc5	CHEMBL566362	pIC50=7.96
CC1CC1C(=O)Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4C	CHEMBL304146	pIC50=7.96
CCN1CCN(CC1)C(=O)c2ccc(cc2)c3oc4ncnc(NC[C@@H]5CCCO5)c4c3c6ccccc6	CHEMBL247878	pIC50=7.96
CCN1CCN(CC1)c2cc(cc(c2)C(F)(F)F)C(=O)Nc3ccc(C)c(Nc4nc5ccccc5n4c6cc(N)ncn6)c3	CHEMBL1076437	pIC50=7.96
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1	CHEMBL574738	pKd=7.96
CN1CCN(CC1)c2cc(cc(c2)C(F)(F)F)C(=O)Nc3ccc(C)c(Nc4nc5ccccc5n4c6cc(N)ncn6)c3	CHEMBL1076436	pIC50=7.96
CN1CCN(CCNc2cc(ncn2)n3c(Nc4cc(ccc4C)C(=O)Nc5cccc(c5)C(F)(F)F)nc6ccccc36)CC1	CHEMBL1076200	pIC50=7.96
COC(C)(C)CCn1nc(Nc2c(C)cccc2C)c3cnc(Nc4ccc(OCCN5CCCC5)c(F)c4)nc13	CHEMBL502156	pKi=7.96
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1Nc3nc4ccccc4n3c5cc(N)ncn5	CHEMBL1079945	pIC50=7.96
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(NC(=O)C4CC4CN5CCCC5)sc3c2	CHEMBL68038	pIC50=7.96
Cc1cccc(Cl)c1Nc2nc3cc(ccc3n4cncc24)N5CCNCC5	CHEMBL106822	pIC50=7.96
Nc1ncnc2c1c(c(Cl)n2C3CCCC3)c4ccc(Oc5ccccc5)cc4	CHEMBL68430	pIC50=7.96
CC(C)c1nc(c2ccc(F)c(NS(=O)(=O)c3c(F)cccc3F)c2)c(s1)c4ccnc(Nc5ccc(nc5)N6CCOCC6)n4	CHEMBL1808264	pIC50=8.0
CCNc1ccc2nc(Nc3c(C)cccc3Cl)c4cncn4c2c1	CHEMBL106482	pIC50=8.0
CCNc1cccc2c1nc(Nc3c(C)cccc3Cl)c4cncn24	CHEMBL85976	pIC50=8.0
CN(C)CCNc1ccc2c(c1)nc(Nc3c(C)cccc3Cl)c4cncn24	CHEMBL110932	pIC50=8.0
CN(C)Cc1cccc(Nc2nc3ccc(cc3s2)C(=O)Nc4c(C)cccc4Cl)n1	CHEMBL87604	pIC50=8.0
CN(C)c1ccc(Nc2ncc3C=C(N4N(CCC4=O)c3n2)c5cc(O)ccc5Cl)cc1	CHEMBL211852	pIC50=8.0
