CC(OC(C)=O)C(=O)OCC[N+](C)(C)C	aclatonium
C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1	glycopyrronium bromide	pKi=9.25	pKi=9.25	pKi=9.25	pIC50=9.3	pIC50=9.8
CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(OC(=O)C(C)C)C=CC(CO)=C1)C(C)C	fesoterodine	pKi=6.401	pKi=6.401	pKi=6.401
CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1	hyoscyamine	pKi=9.3	pKi=9.3	pKi=9.3
[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(=O)C(CO)C1=CC=CC=C1)N2C	atropine	pKi=8.97	pKi=8.97	pKi=8.97	pIC50=8.43
CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C	propantheline	pKi=9.5	pKi=9.5	pKi=9.5
O=C1CC[C@@](C2CCN(CC3=CC=CC=C3)CC2)(C(=O)N1)C1=CC=CC=C1	dexetimide	pKi=8.89999962	pKi=8.89999962	pKi=8.89999962
CC(C[N+](C)(C)C)OC(N)=O	bethanechol	pKi=4.0	pKi=4.0	pKi=4.0
CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC	gallamine	pKi=6.1481304	pKi=6.1481304	pKi=6.1481304
CC(C)N(CC[C@H](c1ccccc1)c2cc(C)ccc2O)C(C)C	tolterodine	pKi=8.57	pKi=8.57	pKi=8.57	pKi=8.4
O=C(O[C@H]1CN2CCC1CC2)N1CCC2=CC=CC=C2[C@@H]1C1=CC=CC=C1	solifenacin	pIC50=6.24	pIC50=6.24	pIC50=6.24
[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1	trospium
CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2	methanthelinium
O=C1NC(CN1C2CCN(Cc3ccccc3)CC2)(c4cccs4)c5cccs5	CHEMBL222860	pKi=7.01
C1CN2CCC1C(=C2)c3csc4ccccc34	CHEMBL359027	pKi=7.02
CN(C)C[C@@H]1COCC(O1)(c2ccccc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL2042554	pKi=7.02
C[C@H]1CCC[C@H](\C=C\[C@@H]2[C@H]3CCCC[C@H]3C[C@@H]4[C@H]2[C@H](C)OC4=O)N1C	CHEMBL301670	pKi=7.02
[I-].C[N+]1(C)CCC[C@@H]1[C@@H]2C[S+]([O-])[C@@](O2)(C3CCCCC3)c4ccccc4	CHEMBL554916	pKi=7.02
C[N+]1(CC(=O)c2ccccc2)CC[C@H](C1)N3CC(NC3=O)(c4ccc(F)cc4)c5ccc(F)cc5	CHEMBL374513	pKi=7.03
O[C@@H]1C[C@H](N(C1)C(=O)CC(c2ccc(Cl)cc2)(c3ccc(Cl)cc3)c4ccc(Cl)cc4)C(=O)N5CCC[C@@H]5C(=O)NCCC6CCNCC6	CHEMBL378859	pKi=7.03
CN(C)CCC=C1c2ccccc2COc3ccccc13	doxepin	pKi=7.04
[Br-].O=C(N[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(c4cccs4)c5cccs5	CHEMBL3401652	pIC50=7.04
[Br-].[Br-].C[N+](C)(C)CCCCCC[N+](C)(C)CC#CCOC1=NOCC1	CHEMBL3323288	pKi=7.04
[Br-].[Br-].C[N+](C)(CCCCCC[N+](C)(C)CC#CCOC1=NOCC1)CCCN2C(=O)c3ccccc3C2=O	CHEMBL3121474	pKi=7.04
CN(C)C1(CNCCc2ccccc2)COc3ccccc3OC1	CHEMBL234252	pKi=7.05
CN1CCC=C(C1)c2nsnc2OCCCCCCCCCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354070	pKi=7.05
C[N+]1(CC(=O)c2ccsc2)CC[C@H](C1)N3CC(NC3=O)(c4ccc(F)cc4)c5ccc(F)cc5	CHEMBL222450	pKi=7.05
O=C(O[C@H]1CN2CCC1CC2)N(Cc3ccccc3)Cc4cccs4	CHEMBL1779039	pIC50=7.05
CN1CCC=C(C1)C(=O)OCC#C	CHEMBL128365	pKi=7.06
[I-].C[N+]1(C)CCC[C@@H]1c2oc(cc2)[C@](O)(C3CCCCC3)c4ccccc4	CHEMBL568775	pKi=7.06
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13	CHEMBL415	pKi=7.07
CN1CCC=C(C1)c2nsnc2OCCCCCCCCCCCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354071	pKi=7.07
COC(=O)C1=CCCN(C)C1	CHEMBL7303	pEC50=7.08
CCN(CC)CC1CCCCN1CC(=O)N2c3ccccc3C(=O)Nc4cccnc24	CHEMBL17045	pKi=7.09
CN(C)CCC=C1c2ccccc2CCc3ccccc13	CHEMBL629	pIC50=7.09
O=C1NC(CN1[C@@H]2CCN(Cc3ccccc3)C2)(c4ccccc4)c5ccccc5	CHEMBL438427	pKi=7.09
CCO\C(=C\1/CN2CC(CCC2COCc3ccccc3)C1=O)\O	CHEMBL69452	pKi=7.1
CCOc1ccccc1C(=O)N2CCC3(CCN(Cc4ccccc4)CC3)CC2	CHEMBL1290634	pIC50=7.1
COC1(CN2CCC1CC2)C#CC(O)(c3ccccc3)c4ccccn4	CHEMBL200210	pKi=7.1
Clc1ccc(CN2CCC3(CC2)CN(CCO3)C(=O)c4ccon4)cc1	CHEMBL1289432	pIC50=7.1
O=C(N1CCC2(CCN(Cc3ccccc3)CC2)CC1)c4cccnc4	CHEMBL1290295	pIC50=7.1
O=C(N1CCC2(CCN(Cc3ccccc3)CC2)CC1)c4occc4	CHEMBL1290409	pIC50=7.1
O=C(O[C@H]1CN2CCC1CC2)C3c4ccccc4CCc5ccccc35	CHEMBL551525	pIC50=7.1
O=C1CCc2ccccc2N1CCCN3CCC(CCCCCCCCCC4CCN(CCCN5C(=O)CCc6ccccc56)CC4)CC3	CHEMBL3354078	pKi=7.1
O=C1NC(CN1C2CCN(Cc3ccccc3)CC2)(c4ccccc4)c5ccccc5	CHEMBL376000	pKi=7.1
OC(C1CCCC1)(C(=O)NC2CCN(Cc3ccsc3)CC2)c4ccccc4	CHEMBL358193	pKi=7.1
Oc1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)C(=O)c4ccccc4	CHEMBL83982	pKi=7.1
CC(C)NC(=O)c1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4ccccc4N)cc1	CHEMBL50822	pKi=7.11
C[C@H](N1CCN(C[C@H]1C)C2CCN(CC2)C(=O)c3ncccc3C)c4ccc(cc4)S(=O)(=O)c5ccc6OCOc6c5	CHEMBL164385	pKi=7.11
OCCNCCNC1=CC=C(NCCNCCO)C2=C1C(=O)C1=C(O)C=CC(O)=C1C2=O	mitoxantrone	pKi=7.11
[I-].C[N+]1(C)CCC[C@@H]1[C@@H]2C[S+]([O-])[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL539121	pKi=7.11
CCCCN(Cc1cccs1)C(=O)O[C@H]2CN3CCC2CC3	CHEMBL1779041	pIC50=7.12
Br.CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(O)c3ccccc3	CHEMBL1319362	pKi=7.13
C[C@@H]1O[C@H](C[N+](C)(C)C)C[C@H]1O	CHEMBL12587	pKi=7.13
Clc1ccc(cc1Cl)C2(CCCCC2)C(=O)OCOCCN3CCCC3	CHEMBL73017	pKi=7.13
[I-].C[N+](C)(C)C[C@@H]1C[S+]([O-])[C@](O1)(C2CCCCC2)c3ccccc3	CHEMBL557808	pKi=7.13
CCC(O)[C@@H]1CC[C@@H](CC1)N2CC(C2)NC(=O)CNc3nccc4ccc(cc34)C(F)(F)C(F)(F)F	CHEMBL3659054	pIC50=7.14
CCCCCCCOC(=O)C1=C(CCN(CC)C1)c2ccccc2.OC(=O)C(=O)O	CHEMBL334245	pIC50=7.14
C\C(=N/c1ccc2C[C@@H](O)[C@H](NC(=O)c3ccc(Br)cc3)c2c1)\NCc4ccc(F)cc4	CHEMBL3618440	pEC50=7.14
O=C(CCCCCNC(=O)CC(c1ccccc1)(c2ccccc2)c3ccccc3)NC[C@H]4CCCN(CC5CCCCC5)C4	CHEMBL2112956	pKi=7.14
O=C1NC(CN1C2CCN(Cc3ccccc3)CC2)(C4CCCCC4)c5ccccc5	CHEMBL223267	pKi=7.14
O[C@@H]1C[C@H](N(C1)C(=O)CC(c2ccc(F)cc2)(c3ccc(F)cc3)c4ccc(F)cc4)C(=O)N5CCC[C@@H]5C(=O)NCC6CCN(CC7CC7)CC6	CHEMBL378772	pKi=7.14
CC1CCN(CC(=O)N2c3ccccc3C(=O)Nc4cccnc24)CC1	CHEMBL611476	pKi=7.15
Cc1ccc2C(=O)N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CC(C)(C)CN3C(=O)c4ccccc4C3=O)C(=O)c2c1	CHEMBL127933	pEC50=7.15
[I-].C[N+]1(C)CCC[C@H]1[C@H]2C[S+]([O-])[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL539120	pKi=7.15
Cc1cccc(CN2CCC(CC2)NC(=O)C(O)(C3CCCC3)c4ccccc4)c1	CHEMBL358726	pKi=7.16
O=C1CCON1CC#CCN2CCCC2	CHEMBL275104	pKi=7.16
[I-].C[N+]1(C)CCC[C@@H]1[C@@H]2C[S+]([O-])C(O2)(c3ccccc3)c4ccccc4	CHEMBL556390	pKi=7.16
C[C@@H]1OC(=O)[C@H]2C=C3CCCC[C@@H]3\C(=C\CC4CCC(C)(C)N4C)\[C@@H]12	CHEMBL181447	pKi=7.17
C[C@H](N1CCN(C[C@@H]1C)C2(C)CCN(CC2)C(=O)c3c(C)ncnc3C)c4ccc(OC(F)(F)F)cc4	CHEMBL357557	pKi=7.17
O[C@@H]1C[C@H](N(C1)C(=O)CC(c2ccc(F)cc2)(c3ccc(F)cc3)c4ccc(F)cc4)C(=O)N5CCC[C@@H]5C(=O)NCC6CCN(CC7CCC7)CC6	CHEMBL215189	pKi=7.17
CN(Cc1ccc(F)cc1)\C(=N\c2ccc3C[C@@H](O)[C@H](NC(=O)c4ccc(C)cc4)c3c2)\C	CHEMBL3616499	pEC50=7.18
CN(Cc1ccc(F)cc1)\C(=N\c2ccc3C[C@@H](O)[C@H](NC(=O)c4ccc(Cl)cc4)c3c2)\C	CHEMBL3618450	pEC50=7.18
CN1CCC=C(C1)c2nsnc2OCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354066	pKi=7.18
CN1CCC[C@@H]1[C@@H]2C[S+]([O-])[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL496915	pKi=7.18
CN1CCCC1c2oc(cc2)C(c3ccccc3)c4ccccc4	CHEMBL571123	pKi=7.19
CN1CCC[C@H]1[C@H]2C[S+]([O-])[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL493980	pKi=7.19
O=C1NC(CN1C2CC3CCC(C2)N3Cc4ccccc4)(c5ccccc5)c6ccccc6	CHEMBL221400	pKi=7.19
COc1nsc(OCCCOCCCOCCCOc2nsnc2c3cccnc3)n1	CHEMBL219118	pKi=7.2
Clc1ccc(CN2CCC3(CC2)CN(CCO3)C(=O)c4cocc4)cc1	CHEMBL1289202	pIC50=7.2
CO\N=C(/C#N)\[C@H]1CN2CCC1CC2	CHEMBL134641	pEC50=7.21
[Br-].[Br-].CC(C)(CN1C(=O)c2cccc3cccc(C1=O)c23)C[N+](C)(C)CCCCCC[N+]4(C)[C@@H]5CC[C@@H]4CC(C5)OC(=O)C(CO)c6ccccc6	CHEMBL3323281	pKi=7.21
CN1CCC[C@H]1c2oc(cc2)[C@@](O)(C3CCCCC3)c4ccccc4	CHEMBL571341	pKi=7.22
CC(C[N+](C)(C)C)OC(=O)C	CHEMBL978	pKi=7.23
O=C(COc1ccccc1)N2CCC(CC2)N3CCC(CC3)Oc4ccc(cc4)S(=O)(=O)c5ccc6OCOc6c5	CHEMBL170739	pKi=7.23
[I-].C[N+]1(C)CCC[C@H]1[C@H]2C[S+]([O-])[C@@](O2)(C3CCCCC3)c4ccccc4	CHEMBL541671	pKi=7.24
Cc1ccc2C(=O)N(CC(C)(C)C[N+](C)(C)CCCCCC[N+](C)(C)CCCN3C(=O)c4ccccc4C3=O)C(=O)c2c1	CHEMBL122499	pEC50=7.26
NCC=C1CCN(CC1)C(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3	CHEMBL68384	pKi=7.26
[Br-].CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1	CHEMBL2107687	pIC50=7.26
[Br-].[Br-].CCCCN(CCCC)c1ccc(\C=C\c2cc[n+](CCC[N+](CC)(CC)CC)cc2)cc1	CHEMBL257431	pKi=7.26
[Br-].[Br-].C[N+](C)(C)CCCCCC[N+]1(C)[C@@H]2CC[C@@H]1CC(C2)OC(=O)C(CO)c3ccccc3	CHEMBL3323279	pKi=7.26
[I-].C[N+]1(C)CCC(CC1)OC(=O)C(c2ccccc2)c3ccccc3	CHEMBL76897	pIC50=7.26
CCCCCCCCOC(=O)C1=C(CCN(CC)C1)c2ccccc2.OC(=O)C(=O)O	CHEMBL120080	pIC50=7.28
COc1cc2OCOc2cc1S(=O)(=O)c3ccc(cc3)[C@H](C)N4CCN(C[C@H]4C)C5CCN(CC5)C(=O)c6ccccc6C	CHEMBL350404	pKi=7.28
CC(C)N(C)CC1=C(C(C)c2ccccn2)c3ccccc3C1	CHEMBL171216	pKi=7.29
COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc2ccccc2OC	CHEMBL27673	pIC50=7.29
C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](CCCN4CCOCC4)[C@@H]12	CHEMBL352618	pKi=7.29
[Br-].O=C(O[C@H]1C[N+]2(CCc3ccccc3)CCC1CC2)N(Cc4ccccc4)c5ccccc5	CHEMBL1779048	pIC50=7.29
CCCCCCOc1nsnc1C2=CCCN(C)C2	CHEMBL21536	pKi=7.3
COC1(CN2CCC1CC2)C#CC(O)(C3CCCC3)c4ccccn4	CHEMBL370862	pKi=7.3
CO[C@@]1(CN2CCC1CC2)C#CC(O)(c3cccc(C)c3)c4cccc(C)c4	CHEMBL380583	pKi=7.3
CO[C@@]1(CN2CCC1CC2)C#C[C@](O)(c3ccccc3)c4cccnc4	CHEMBL372566	pKi=7.3
Cc1oc(cc1)C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2	CHEMBL1290753	pIC50=7.3
Clc1ccc(CN2CCC3(CC2)CN(CCO3)C(=O)c4cscn4)cc1	CHEMBL1289544	pIC50=7.3
Clc1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)C(=O)c4cccs4	CHEMBL85391	pKi=7.3
NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c4ccccc4)c5ccccc5	CHEMBL1346	pKi=7.3
[Br-].[Br-].C[N+](C)(CCCCCC[N+]1(C)[C@@H]2C[C@@H](C[C@H]1[C@@H]3O[C@H]23)OC(=O)[C@H](CO)c4ccccc4)CCCN5C(=O)c6ccccc6C5=O	CHEMBL3323283	pKi=7.3
[I-].Cc1onc(OCC#CC[N+](C)(C)C)c1	CHEMBL239655	pKi=7.3
CN(C)C1(CNCCc2c(Cl)cccc2Cl)COc3ccccc3OC1	CHEMBL233199	pKi=7.31
CN(C)C1(CNCCc2ccc(Cl)cc2)COc3ccccc3OC1	CHEMBL234254	pKi=7.31
CC(C)OC(=O)CSc1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4cccc5ccccc45)cc1	CHEMBL12419	pKi=7.32
CN(C)C1(CNCCc2ccc(C)cc2)COc3ccccc3OC1	CHEMBL234253	pKi=7.32
COc1ccc(CC(=O)N2CCC3(CC2)CN(C3)[C@H](C(C)C)c4ccc(cc4)c5ncccn5)nc1	CHEMBL2424680	pKi=7.32
C[C@H]1CCC[C@H](\C=C\[C@@H]2[C@H]3CCCC[C@@H]3C[C@H]4[C@@H]2[C@H](C)OC4=O)N1C	CHEMBL277642	pKi=7.32
C[N+]1(CCOCc2ccccc2)CCC(C1)N3CC(NC3=O)(c4ccccc4)c5ccccc5	CHEMBL222976	pKi=7.32
Oc1cccc(CN2CCC(CC2)N3CC(NC3=O)(c4ccccc4)c5ccccc5)c1	CHEMBL222804	pKi=7.32
[Br-].[Br-].C[N+](C)(C)CCCCCC[N+]1(C)[C@@H]2C[C@@H](C[C@H]1[C@@H]3O[C@H]23)OC(=O)[C@H](CO)c4ccccc4	CHEMBL3323282	pKi=7.32
CCN(CCCCC1CCN(CC(=O)N2c3ccccc3N(C(=O)c4ccc(F)cc4)C(=O)c5ccccc25)CC1)C(=O)c6ccc(F)cc6	CHEMBL168149	pKi=7.33
Cc1ccc2C(=O)N(CC(C)(C)C[N+](C)(C)CCCCCC[N+](C)(C)CC(C)(C)CN3C(=O)c4ccc(C)cc4C3=O)C(=O)c2c1	CHEMBL262632	pEC50=7.33
CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2	dicycloverine	pIC50=7.34
Cc1cccc(c1)N(Cc2cc(F)c(F)cc2F)C(=O)O[C@H]3CN4CCC3CC4	CHEMBL1779045	pIC50=7.34
CC(C1=C(CCN(C)C)Cc2ccccc12)c3ccccn3	CHEMBL22108	pKi=7.35
CCN(CC)CCC1=C(C(C)c2ccccn2)c3ccccc3C1	CHEMBL168704	pKi=7.35
CC(C)c1ccc(CCNCC2(COc3ccccc3OC2)N(C)C)cc1	CHEMBL233198	pKi=7.36
O=C(CCNC(=O)CC(c1ccccc1)(c2ccccc2)c3ccccc3)NCCC(=O)NC[C@H]4CCCN(CC5CCCCC5)C4	CHEMBL2112959	pKi=7.36
CC(C)N(CCC1=C(C(C)c2ccccn2)c3ccccc3C1)C(C)C	CHEMBL352375	pKi=7.37
COc1noc2CCCNCc12	CHEMBL304142	pEC50=7.37
C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3\C(=C\CC4CCC(C)(C)N4C)\[C@@H]12	CHEMBL184843	pKi=7.37
O=C(O[C@H]1CN2CCC1CC2)N(CCc3ccccc3)c4ccccc4	CHEMBL1779032	pIC50=7.38
[I-].C[N+]1(C)CCC[C@H]1[C@H]2C[S+]([O-])C(O2)(c3ccccc3)c4ccccc4	CHEMBL539373	pKi=7.38
CCOc1noc2CCCNCc12	CHEMBL69305	pEC50=7.39
CN(C)C1(CNCCc2ccccc2F)COc3ccccc3OC1	CHEMBL233200	pKi=7.39
NCCC1CCN(CC1)C(=O)[C@@](O)(C2CCCC2)c3ccccc3	CHEMBL69648	pKi=7.39
[Br-].CCCCCCCCCCCCCCCC[n+]1ccccc1	CHEMBL334255	pKi=7.39
C1CN2CC1[C@@H](C2)Oc3cnccn3	CHEMBL292574	pKi=7.4
CC(C)NC(=O)c1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4ccnc5ccccc45)cc1	CHEMBL54155	pKi=7.4
CCCCCC(O)(C#CC1(CN2CCC1CC2)OC)c3ccccc3	CHEMBL199821	pKi=7.4
CCOC(=O)CSc1ccc(CC2CCN(CC2)C3CCN(CC3)C(=O)c4cccc5ccccc45)cc1	CHEMBL11690	pKi=7.4
CN1CCC[C@@H]1[C@@H]2C[S+]([O-])C(O2)(c3ccccc3)c4ccccc4	CHEMBL523518	pKi=7.4
COC1(CN2CCC1CC2)C#CC(C)(c3ccccc3)c4ccccc4	CHEMBL410061	pKi=7.4
COC1(CN2CCC1CC2)C#CC(O)(c3ccccc3)c4cccnn4	CHEMBL383248	pKi=7.4
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(N3CCN(CC3)C4CCCCC4)C(=O)N	CHEMBL431787	pKi=7.4
COc1nsc(OCCOCCOCCOCCOc2nsnc2C3C=CCCN3C)n1	CHEMBL216928	pKi=7.4
COc1nsnc1OCCOCCOCCOc2nsnc2C3=CCCN(C)C3	CHEMBL218755	pKi=7.4
COc1nsnc1OCCOCCOc2nsnc2C3=CCCN(C)C3	CHEMBL373888	pKi=7.4
Clc1ccc(CN2CCC3(CC2)CN(CCO3)C(=O)c4cnsn4)cc1	CHEMBL1289314	pIC50=7.4
OC(=O)C(=O)O.O=C1CCON1CC#CCN2CCCCC2	CHEMBL398043	pKi=7.4
CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1	thioridazine	pKi=7.42
Clc1ccc2C(=C3CCNCC3)c4ncccc4CCc2c1	desloratadine	pKi=7.42
[Br-].[Br-].CCN(CC)c1ccc(\C=C\c2cc[n+](CCC[N+](CC)(CC)CC)cc2)cc1	CHEMBL257643	pKi=7.42
CC(N1CCNCC1)c2ccc(cc2)S(=O)(=O)c3ccccc3	CHEMBL71088	pKi=7.43
CCN(Cc1ccncc1)C(=O)C(CO)c2ccccc2	CHEMBL1200604	pKi=7.43
CCOC(=O)N(CC)CCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c4ccccc24)CC1	CHEMBL166385	pKi=7.43
Oc1cccc(CN2CCC(CC2)NC(=O)[C@@](O)([C@@H]3CCC(F)(F)C3)c4ccccc4)c1	CHEMBL145913	pKi=7.43
CC(N1CCN(CC1)C2CCCCC2)c3ccc(cc3)S(=O)(=O)c4ccc(cc4)S(=O)(=O)C	CHEMBL72956	pKi=7.44
Cc1ccc2C(=O)N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CC(C)(C)CN3C(=O)c4ccc(C)cc4C3=O)C(=O)c2c1	CHEMBL124330	pEC50=7.44
CC(C)NC(=O)c1ccc(cc1)C2(OCCO2)C3CCN(CC3)C4CCN(CC4)C(=O)c5ccccc5Cl	CHEMBL51515	pKi=7.46
CC(CN1c2ccccc2Sc3ccccc13)N(C)C	promethazine	pIC50=7.46
CCCS(=O)(=O)N1CCC(CC1)N2CCC(CC2)C(=O)c3ccc(cc3)[S+]([O-])c4ccc5OCOc5c4	CHEMBL328659	pKi=7.46
CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1	cyproheptadine	pIC50=7.46
C[C@H](N1CCN(C[C@@H]1C)C2CCN(CC2)C(=O)c3ccccc3C)c4ccc(Cc5ccc6OCOc6c5)cc4	CHEMBL70124	pKi=7.46
O=S(=O)(N1CCC(CC1)N2CCC(CC2)Oc3ccc(cc3)S(=O)(=O)c4ccc5OCOc5c4)c6cccc7ccccc67	CHEMBL139311	pKi=7.46
OC(C(=O)N[C@H]1CN2CCC1CC2)(c3ccccc3)c4ccccc4	CHEMBL3401640	pIC50=7.46
CC(N1CCN(C)CC1)c2ccc(cc2)S(=O)(=O)c3ccccc3	CHEMBL73410	pKi=7.47
Cl.Cl.Cl.Cl.COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc2ccccc2OC	CHEMBL500996	pIC50=7.47
OC(CCN1CCCCC1)(C2CCCCC2)c3ccccc3	trihexyphenidyl	pIC50=7.47	pIC50=7.73
CC(C1=C(CCN(C)C)Cc2cc(Cl)ccc12)c3ccccn3	CHEMBL167223	pKi=7.48
CC(N1CCN(CC1)C2CCCCC2)c3ccc(cc3)S(=O)(=O)c4ccc(cc4)C(C)(C)C	CHEMBL73661	pKi=7.48
[Br-].C[N+]12CCC(CC1)[C@H](C2)OC(=O)N(Cc3cccs3)c4ccccc4	CHEMBL1779130	pIC50=7.48
[I-].C[N+](C)(C)C[C@@H]1COCC(O1)(c2ccccc2)c3ccccc3	CHEMBL2042406	pKi=7.48
CC(C1=C(CCN(C)CCF)Cc2ccccc12)c3ccccn3	CHEMBL172233	pKi=7.49
