COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1	nintedanib	pKd=8.31	pKd=8.31	pKd=8.31	pKd=8.31
CC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@H](CC3)NC(=O)[C@@H](N)C(C)(C)C)c4cc(F)c(O)c(Cl)c4	CHEMBL3684268	pIC50=7.55
O=C(C1CC1)c2cnc3ccc(cc3c2Nc4ccc(CN5CCOCC5)cc4)c6cnc(nc6)C#N	CHEMBL3674312	pIC50=7.82
CC(=O)c1cnc2ccc(cc2c1Nc3cnc(C)c(CCN4CCCC4)c3)c5cc(F)c(O)c(Cl)c5	CHEMBL3684222	pIC50=7.85
CN(C)CC1CCN(CC1)c2c(cnc3ccc(cc23)c4ccc(O)c(c4)C(F)(F)F)C(=O)C5CC5	CHEMBL3674305	pIC50=7.85
CN(C)CC1CCN(CC1)c2c(cnc3ccc(cc23)c4ccc5cc(O)ccc5c4)C(=O)C6CC6	CHEMBL3674300	pIC50=7.85
CN(C)CCNc1ccc(Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C)cn1	CHEMBL3684128	pIC50=7.85
CN(C)Cc1ccc(Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CCCC5)cc1	CHEMBL3674243	pIC50=7.85
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(Cn6ccnc6)cc5)c3c2	CHEMBL3674340	pIC50=7.85
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(NCCO)nc5)c3c2	CHEMBL3679301	pIC50=7.85
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(c5ccc(CN6CCCC6)cc5)c3c2	CHEMBL3674287	pIC50=7.85
Nc1ccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5)cn1	CHEMBL3679220	pIC50=7.85
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(CN6CCCC6)nc5)c3c2	CHEMBL3679296	pIC50=7.85
CC(C)C(=O)c1cnc2ccc(cc2c1N3CCC(CN4CCCC4)CC3)c5cc(F)c(O)c(Cl)c5	CHEMBL3674216	pIC50=7.89
CN(C)CCc1cccc(Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C)c1	CHEMBL3684125	pIC50=7.89
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4ccc(O)c(Cl)c4)S(=O)(=O)C	CHEMBL3674275	pIC50=7.89
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(nc23)c4cnc5[nH]ccc5c4)C(=O)C	CHEMBL3692808	pIC50=7.89
CN1CCN(C[C@@H]2CC[C@H](CC2)Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C)CC1	CHEMBL3684144	pIC50=7.89
COc1cc(cc(Cl)c1O)c2cc3c(N[C@@H]4CC[C@@H](N)CC4)c(cnc3cc2F)C(=O)C5CC5	CHEMBL3674202	pIC50=7.89
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(N[C@@H]5CC[C@H](CN(C)CC#N)CC5)c3c2	CHEMBL3674364	pIC50=7.89
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(CN6CCCC6)nc5)c3c2	CHEMBL3679283	pIC50=7.89
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(nc5)N6CCC(C6)N(C)C)c3c2	CHEMBL3679312	pIC50=7.89
Fc1ccccc1n2cc(cn2)c3ccncc3OCC4CCNCC4	CHEMBL3822876	pIC50=7.89
CC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@H](CC3)NC(=O)[C@@H]4CCCN4)c5cc(F)c(O)c(Cl)c5	CHEMBL3684275	pIC50=7.92
CC(=O)c1cnc2ccc(nc2c1N[C@@H]3CC[C@@H](O)CC3)c4cc(Cl)c(O)c(Cl)c4	CHEMBL3692818	pIC50=7.92
CN(C)C1CCN(C1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C6CC6)cn2	CHEMBL3679314	pIC50=7.92
CN(C)C1CCN(Cc2ccc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C6CC6)cc2)C1	CHEMBL3679318	pIC50=7.92
CNC1CCN(C1)c2ccc(Nc3c(cnc4ccc(nc34)c5cc(F)c(O)c(Cl)c5)C(=O)C)cn2	CHEMBL3688386	pIC50=7.92
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(nc5)N6CCC(O)C6)c3c2	CHEMBL3679293	pIC50=7.92
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5cccc(CCN6CCCC6)c5)c3c2	CHEMBL3639830	pIC50=7.92
Oc1ccc(cc1OC(F)(F)F)c2ccc3ncc(C(=O)C4CC4)c(N5CCC(CN6CCCC6)CC5)c3c2	CHEMBL3674210	pIC50=7.92
CC(C1CCN(CC1)c2c(cnc3ccc(cc23)c4cc(F)c(O)c(F)c4)C(=O)C5CC5)N(C)C	CHEMBL3674168	pIC50=7.96
CCCC(=O)c1cnc2ccc(cc2c1Nc3ccc(nc3)N4CCNCC4)c5cc(F)c(O)c(Cl)c5	CHEMBL3679250	pIC50=7.96
CCN(CC)C1CCC(CC1)Nc2c(cnc3ccc(cc23)c4ccc(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3674171	pIC50=7.96
CN(C)CC1CCN(CC1)c2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)[S+](C)[O-]	CHEMBL3674318	pIC50=7.96
CN(C)CCNc1ccc(Nc2c(cnc3ccc(nc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C)cn1	CHEMBL3688370	pIC50=7.96
CN(C)CCOc1ccc(Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C)cn1	CHEMBL3684205	pIC50=7.96
CN(C)C[C@@H]1CC[C@H](C1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3679338	pIC50=7.96
CN(C)C[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(nc23)c4ccc(O)nc4)C(=O)C	CHEMBL3692812	pIC50=7.96
CN(C)[C@@H]1CC[C@@H](CNc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5)CC1	CHEMBL3674218	pIC50=7.96
CN1CCN(CC1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C6CC6)cn2	CHEMBL3674322	pIC50=7.96
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C(C)C)c(Nc4ccc(nc4)N5CCNCC5)c3c2	CHEMBL3679304	pIC50=7.96
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(N[C@@H]5CC[C@@H](CN(C)C)CC5)c3c2	CHEMBL3674213	pIC50=7.96
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(N[C@@H]5CC[C@@H](CN6CC[C@@H](F)C6)CC5)c3c2	CHEMBL3679204	pIC50=7.96
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(N)nc5)c3c2	CHEMBL3679219	pIC50=7.96
CS(=O)(=O)c1cnc2ccc(cc2c1Nc3cccc(CCN4CCCC4)c3)c5cc(F)c(O)c(Cl)c5	CHEMBL3684234	pIC50=7.96
OCCNc1ccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5)cn1	CHEMBL3679302	pIC50=7.96
Oc1ccc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(N5CCN(CCN6CCCC6)CC5)c3c2	CHEMBL3674257	pIC50=7.96
CC(=O)c1cnc2ccc(nc2c1N3CCC(CCN4CCCC4)CC3)c5cc(F)c(O)c(Cl)c5	CHEMBL3688369	pIC50=8.0
CC(=O)c1cnc2ccc(nc2c1N[C@@H]3CC[C@@H](CN4CCOCC4)CC3)c5cc(Cl)c(O)c(Cl)c5	CHEMBL3688379	pIC50=8.0
CC(C)C(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](N)CC3)c4cc(F)c(O)c(Cl)c4	CHEMBL3674174	pIC50=8.0
CC(C1CCN(CC1)c2c(cnc3ccc(cc23)c4ccc(O)c(Cl)c4)S(=O)(=O)C)N(C)C	CHEMBL3674184	pIC50=8.0
CCN(CC)CCO[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3684224	pIC50=8.0
CN(C)Cc1ccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5)nc1	CHEMBL3674269	pIC50=8.0
CN(CC#N)C[C@@H]1CC[C@@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5	CHEMBL3679164	pIC50=8.0
CN1CCN(CC1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C)cn2	CHEMBL3674338	pIC50=8.0
COc1cc(cc(Cl)c1O)c2ccc3ncc(c(Nc4ccc(OCCN(C)C)nc4)c3n2)S(=O)(=O)C	CHEMBL3688359	pIC50=8.0
Oc1c(Cl)cc(cc1Cl)c2cc3c(Nc4ccc(nc4)N5CCNCC5)c(cnc3cc2F)C(=O)C6CC6	CHEMBL3679195	pIC50=8.0
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(N[C@H]5C[C@H]6CC[C@@H](C5)N6)c3c2	CHEMBL3679248	pIC50=8.0
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(NC6CCNC6)nc5)c3c2	CHEMBL3679291	pIC50=8.0
CN1CCN(C[C@@H]2CC[C@H](CC2)Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C6CC6)CC1	CHEMBL3679262	pIC50=8.01
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(Nc4ccc(CN5CCN(C)CC5)cc4)c3c2	CHEMBL3679278	pIC50=8.01
CS(=O)(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](CN4CCCC4)CC3)c5cc(F)c(O)c(Cl)c5	CHEMBL3684246	pIC50=8.02
Oc1c(Cl)cc(cc1Cl)c2ccc3ncc(C(=O)C4CCCC4)c(Nc5cccc(CCN6CCCC6)c5)c3c2	CHEMBL3684281	pIC50=8.02
CN(C)C(=O)[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C	CHEMBL3684220	pIC50=8.03
CCN(CC)C1CCC(CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CCCC5	CHEMBL3674241	pIC50=8.04
CN(C)C1CCN(C1)c2ccc(Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)S(=O)(=O)C)cn2	CHEMBL3684244	pIC50=8.04
CN(C)Cc1ccc(Nc2c(cnc3ccc(cc23)c4ccc(O)c(Cl)c4)S(=O)(=O)C)cc1	CHEMBL3674264	pIC50=8.04
Oc1c(Cl)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(c5ccc(nc5)N6CCNCC6)c3c2	CHEMBL3674310	pIC50=8.04
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(NC5CCNCC5)c3c2	CHEMBL3679340	pIC50=8.04
CC(C)COc1cnccc1c2cnn(c2)c3ccc(cc3)N4CCN(C)CC4	CHEMBL3823918	pIC50=8.05
CN(C)Cc1ccc(Nc2c(cnc3ccc(cc23)c4cc(Cl)c(O)c(Cl)c4)C(=O)C5CC5)cn1	CHEMBL3679281	pIC50=8.05
CN1CCN(C[C@@H]2CCC[C@@H](C2)Nc3c(cnc4ccc(cc34)c5cc(F)c(O)c(Cl)c5)C(=O)C)CC1	CHEMBL3684189	pIC50=8.05
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C)c(Nc4ccc(OCCN(C)C)nc4)c3n2	CHEMBL3688356	pIC50=8.05
CS(=O)(=O)c1cnc2ccc(cc2c1N3CCC(CN4CCCC4)CC3)c5ccc(O)c(Cl)c5	CHEMBL3674261	pIC50=8.05
NCc1ccc(Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5)cc1	CHEMBL3674353	pIC50=8.05
CC(=O)c1cnc2ccc(cc2c1N[C@@H]3CC[C@@H](CN4CCNCC4)CC3)c5cc(F)c(O)c(Cl)c5	CHEMBL3684146	pIC50=8.06
CN(C)CC(=O)N[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3684231	pIC50=8.06
CN(C)[C@@H]1CC[C@H](CC1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3684129	pIC50=8.06
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(N5CCN(C)CC5)c3c2	CHEMBL3679172	pIC50=8.06
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(NC56CC7CC(CC(N)(C7)C5)C6)c3c2	CHEMBL3674208	pIC50=8.06
Oc1c(F)cc(cc1Cl)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(CN6CCCC6)cc5)c3c2	CHEMBL3674251	pIC50=8.06
CN(C)CCOc1ccc(Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)S(=O)(=O)C)cn1	CHEMBL3684240	pIC50=8.08
CN(C)CCc1ccc(Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C)cc1	CHEMBL3679363	pIC50=8.08
CN(C)CCc1cccc(Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C5CC5)c1	CHEMBL3679316	pIC50=8.08
CN(C)C[C@@H]1CCC[C@@H](C1)Nc2c(cnc3ccc(cc23)c4cc(F)c(O)c(Cl)c4)C(=O)C	CHEMBL3684183	pIC50=8.08
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(CN6CCC(C6)N(C)C)cc5)c3c2	CHEMBL3679319	pIC50=8.08
COc1cc(cc(Cl)c1O)c2ccc3ncc(C(=O)C4CC4)c(Nc5ccc(CN6CCN(C)CC6)cc5)c3c2	CHEMBL3674253	pIC50=8.08
