CC1=C(C2=NOC(=N2)C2=CC(O)=C(O)C(=C2)[N+]([O-])=O)C(Cl)=[N+]([O-])C(C)=C1Cl	opicapone	pKi=9.0	pKi=9.0	pKi=9.0
CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O	tolcapone	pKi=9.56863594	pKi=9.56863594	pKi=9.56863594	pIC50=6.9
CCN(CC)C(=O)C(=C\C1=CC(=C(O)C(O)=C1)[N+]([O-])=O)\C#N	entacapone	pKi=9.52287865	pKi=9.52287865	pKi=9.52287865	pIC50=6.41
CCC(=O)C1=C(O)C=C(O)C=C1O	flopropione
OC1=CN(C=CC1=O)c2cc(ccn2)c3cccc(n3)C(F)(F)F	CHEMBL3800482	pIC50=7.08
CCN(CC)C(=O)c1cc2cc(O)c(O)c(c2cc1C(=O)N(CC)CC)[N+](=O)[O-]	CHEMBL3818719	pIC50=7.27
CC1=CC(=O)C(=CN1c2cccc(c2)c3ccccc3)O	CHEMBL3425735	pIC50=7.28
OC1=CN(C=CC1=O)c2cc(ccn2)c3cnn(Cc4ccccc4)c3	CHEMBL3799623	pIC50=7.31
OC1=CN(C=CC1=O)c2cccc(c2)c3ccccc3	CHEMBL3425734	pIC50=7.33
OC1=CN(C=CC1=O)c2cc(ccn2)c3ccccc3	CHEMBL3799913	pIC50=7.4
OC1=CN(C=CC1=O)c2cc(ccn2)c3ccc(Cl)c(Cl)c3	CHEMBL3798524	pIC50=7.46
CC(C)C(=O)OC(C)OC(=O)c1sc2c(c(O)c(O)cc2c1Cl)[N+](=O)[O-]	CHEMBL1089538	pKi=7.77
CC(C)C(=O)OCOC(=O)c1sc2c(c(O)c(O)cc2c1Cl)[N+](=O)[O-]	CHEMBL1089537	pKi=7.77
CCCC(=O)OC(C)OC(=O)c1sc2c(c(O)c(O)cc2c1Cl)[N+](=O)[O-]	CHEMBL1091981	pKi=7.78
CCCC(=O)OCOC(=O)c1sc2c(c(O)c(O)cc2c1Cl)[N+](=O)[O-]	CHEMBL1089539	pKi=7.98
Oc1cc2c(Cl)c(sc2c(c1O)[N+](=O)[O-])C(=O)OCc3ccccc3	CHEMBL1089536	pKi=7.99
Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1c2noc(n2)c3cc(O)c(O)c(c3)[N+](=O)[O-]	CHEMBL1089318	pKi=8.0
CCCOC(=O)c1sc2c(c(O)c(O)cc2c1Cl)[N+](=O)[O-]	CHEMBL1089505	pKi=8.04
CC(C)C(N)C(=O)OCOC(=O)c1sc2c(c(O)c(O)cc2c1Cl)[N+](=O)[O-]	CHEMBL1091982	pKi=8.22
COC(=O)c1sc2c(c(O)c(O)cc2c1Cl)[N+](=O)[O-]	CHEMBL1089504	pKi=8.66
Oc1cc2c(Cl)c(sc2c(c1O)[N+](=O)[O-])C(=O)OCC3=COC(=O)O3	CHEMBL1091983	pKi=8.8
CCCCOC(=O)c1sc2c(c(O)c(O)cc2c1Cl)[N+](=O)[O-]	CHEMBL1089630	pKi=8.89
CC(C)OC(=O)c1sc2c(c(O)c(O)cc2c1Cl)[N+](=O)[O-]	CHEMBL1091204	pKi=8.96
