NC1=CC(F)=CC=C1NC(=O)C1=CC=C(CNC(=O)\C=C\C2=CC=CN=C2)C=C1	chidamide	pIC50=6.79587984	pIC50=6.79587984	pIC50=6.79587984
[H][C@]12CC(=O)N[C@]([H])(C(C)C)C(=O)N[C@]([H])(CSSCC\C=C\1)C(=O)N\C(=C/C)C(=O)N[C@@]([H])(C(C)C)C(=O)O2	romidepsin	pIC50=7.33
CC(C)(Nc1ncc(cn1)C(=O)NO)c2ccc(F)cc2F	CHEMBL3655947	pIC50=6.01
ONC(=O)c1cnc(NC2(CCCC2)c3ccccc3)nc1	CHEMBL3655965	pIC50=6.01
CC(C)(Nc1ncc(cn1)C(=O)NO)c2cccc(F)c2	CHEMBL3655952	pIC50=6.02
CC(C)OC(=O)N[C@@H]1C[C@H](C)N(C(=O)C)c2ccc(cc12)c3ccc(NC(=O)CCCCCCC(=O)NO)cc3	CHEMBL3220922	pKd=6.02
ONC(=O)CCCCC[C@H](NC(=O)[C@@H]1CCCC(=O)N1)C(=O)NCCc2ccccc2	CHEMBL3098687	pIC50=6.02
Cc1ccc(cc1C)C(=O)NOCCCCCC(=O)NO	CHEMBL2312167	pIC50=6.03
ONC(=O)c1cnc(Nc2cc(Cl)cc(c2)C(F)(F)F)nc1	CHEMBL3655908	pIC50=6.03
CC(C)(Nc1ncc(cn1)C(=O)NO)c2ccccc2F	CHEMBL3655948	pIC50=6.04
COc1ccc(cc1)c2cc([nH]c2C(=O)Nc3cccc(CC(=O)NO)c3)c4ccccc4	CHEMBL3670664	pIC50=6.04
Nc1ccc(F)cc1NC(=O)c2ccc(CNC(=O)c3cccc4ccccc34)cc2	CHEMBL3673106	pIC50=6.04
Nc1ccccc1NC(=O)c2ccc(CSC3=N[C@@H](Cc4c[nH]c5ccccc45)CS3)cc2	CHEMBL2407737	pIC50=6.04
[O-][N+](=O)c1cccc(c1)c2noc(CCCCCCC(=O)C(F)(F)F)n2	CHEMBL3585987	pIC50=6.04
CC(=O)Nc1ccc(cc1)C(=O)Nc2ccccc2N	CHEMBL235191	pIC50=6.05
CC(C)[C@H]1NC(=O)C[C@@H](C\C=C/CCC(=O)O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](C)NC1=O	CHEMBL3352996	pKi=6.05
COc1ccc(cc1)C(=O)Nc2ccccc2N	CHEMBL236061	pIC50=6.05
COc1ccc(cc1)C2(CCCCC2)Nc3ncc(cn3)C(=O)NO	CHEMBL3655991	pIC50=6.05
COc1ccc(nc1)N(CCCCCCC(=O)NO)c2ccccn2	CHEMBL3675763	pIC50=6.05
Nc1ccc(cc1NC(=O)c2ccccc2)c3ccccc3	CHEMBL271741	pIC50=6.05
Nc1ccc(cc1NC(=O)c2cccnc2)c3ccccc3	CHEMBL255805	pIC50=6.05
ON(CCCCCCCC(=O)Nc1ccc2ccccc2c1)C=O	CHEMBL141909	pIC50=6.05
COc1ccc(cc1)C(=O)N[C@H](COc2cccc(\C=C\C(=O)NO)c2)Cc3c[nH]c4ccccc34	CHEMBL3354913	pIC50=6.06
COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(=O)C)c3nc4ccc(Cl)cc4[nH]3)c2c1	CHEMBL406927	pIC50=6.06
C[C@@H]1C[C@H](OC(=O)NCc2ccc(cc2)C#C)[C@@H]3[C@@H](CC[C@@H]4C[C@H](CC(=O)O4)O[Si](C)(C)C(C)(C)C)[C@@H](C)C=CC3=C1	CHEMBL3704923	pIC50=6.06
C[C@@H]1C[C@H](OC(=O)NCc2ccc(cc2)c3cn(CCCCCCC(=O)NO)nn3)[C@@H]4[C@@H](CC[C@@H]5C[C@H](CC(=O)O5)O[Si](C)(C)C(C)(C)C)[C@@H](C)C=CC4=C1	CHEMBL2347011	pIC50=6.06
Cc1cc(C)cc(c1)C(=O)NOCCCCCC(=O)NO	CHEMBL2312168	pIC50=6.06
Nc1ccc(cc1NC(=O)c2ccc(CNC(=O)N3CCOCC3)cc2)c4cccs4	CHEMBL1957464	pIC50=6.06
ONC(=O)c1ccc(CN2[C@H](Cc3cccs3)C(=O)Nc4ccccc24)cc1	CHEMBL518957	pIC50=6.06
COc1ccc(cc1)c2ccc(N)c(NC(=O)c3ccccc3)c2	CHEMBL1095412	pIC50=6.07
CCCCCCCC(=O)SCC\C=C\[C@@H]1CC(=O)NCc2nc(cs2)C3=N[C@@](C)(CS3)C(=O)N[C@@H](C(C)C)C(=O)N1	CHEMBL3593406	pIC50=6.08
Nc1ccc(cc1NC(=O)c2ccc(OCCN=[N+]=[N-])c(c2)N=[N+]=[N-])c3ccccc3	CHEMBL2057827	pIC50=6.08
OB(O)CCCCC[C@H](NC(=O)c1cccnc1)C(=O)Nc2cccc(c2)c3ccccc3	CHEMBL449493	pIC50=6.08
ONC(=O)c1cnc(NC2CCCCC2)nc1	CHEMBL3655980	pIC50=6.08
CN1CCN(CC1)c2ccc3cc(cnc3c2C4CC4)C(=O)Nc5ccc(F)cc5N	CHEMBL3664026	pIC50=6.09
Nc1ccc(cc1NC(=O)c2ccccc2)c3cocc3	CHEMBL1095095	pIC50=6.09
ONC(=O)\C=C\c1ccc(cc1)c2ccccc2	CHEMBL556532	pIC50=6.09
ONC(=O)c1cnc(NCCc2ccccc2c3ccccc3)nc1	CHEMBL3655941	pIC50=6.09
ONC(=O)c1cnc(Nc2cccc(c2)N3CCOCC3)nc1	CHEMBL3655912	pIC50=6.09
CC(C)[C@H]1NC(=O)C[C@@H](CCCCCC(=O)O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](C)NC1=O	CHEMBL3352993	pKi=6.1
CN1CCN(CC1)C(=O)NCc2ccc(cc2)C(=O)Nc3cc(ccc3N)c4cccs4	CHEMBL1957459	pIC50=6.1
COc1cc2CCCOC(CCCCCC(=O)NO)C(=O)Nc3ccccc3OCc(c2)c1	CHEMBL1631916	pIC50=6.1
Cl.ONC(=O)\C=C\c1ccc(OC[C@H](Cc2c[nH]c3ccccc23)NCc4ccc(Cl)cc4)cc1	CHEMBL3233708	pIC50=6.1
Nc1ccc(cc1NC(=O)c2ccccc2)c3ccc(C=C)cc3	CHEMBL1096397	pIC50=6.1
Nc1ccccc1NC(=O)\C=C\c2ccc(cc2)C(NCCC3CCOCC3)C(=O)Nc4ccc(cc4)C(F)(F)F	CHEMBL1643315	pIC50=6.1
CN(C)CCCNC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4nc(NC(=O)CCCNC(=O)c5cc(NC(=O)c6cc(NC(=O)c7cc(NC(=O)c8nc(NC(=O)CCNC(=O)CCNC(=O)c9ccc(NC(=O)CCCCCCC(=O)NO)cc9)cn8C)cn7C)cn6C)cn5C)cn4C)cn3C)cn2C)cn1C	CHEMBL2396901	pIC50=6.11
ONC(=O)CCCCCCNC(=O)c1cc(on1)c2ccc(NC(=O)c3cc(CN=[N+]=[N-])cc(c3)N=[N+]=[N-])cc2	CHEMBL1914702	pIC50=6.11
COc1c(oc2ccccc12)C(=O)NCc3ccc(cc3)C(=O)Nc4ccccc4N	CHEMBL3673109	pIC50=6.12
ONC(=O)c1ccc(CNC(=O)c2[nH]c(cc2c3cccc(Br)c3)c4ccccc4)cc1	CHEMBL3670679	pIC50=6.12
ONC(=O)c1cnc(NC2c3ccccc3c4ccccc24)nc1	CHEMBL3655988	pIC50=6.12
SCCCCCCCC(=O)Nc1ccccc1	CHEMBL326433	pIC50=6.12
Nc1ccc(cc1NC(=O)c2ccc(CN(CCO)Cc3ccc4OCOc4c3)cc2)c5cccs5	CHEMBL1957463	pIC50=6.13
Nc1ccc(cc1NC(=O)c2ccc(CNC(=O)OCc3ccccc3)cc2)c4ccccc4	CHEMBL252409	pIC50=6.13
Nc1ccc(cc1NC(=O)c2ccc(OCCN=[N+]=[N-])c(c2)N=[N+]=[N-])c3cccs3	CHEMBL2057828	pIC50=6.13
Nc1ccccc1NC(=O)CCCCCCc2onc(n2)c3ccccc3	CHEMBL3585969	pIC50=6.14
Nc1ccccc1NC(=O)c2ccc(CNC(=O)c3oc4ccccc4c3)cc2	CHEMBL3673100	pIC50=6.14
Nc1cnccc1NC(=O)c2ccc(CNC(=O)c3cc4ccccc4s3)cc2	CHEMBL3673115	pIC50=6.14
ONC(=O)CCCCc1ccc(cc1)c2ccccc2	CHEMBL541239	pIC50=6.14
ONC(=O)c1cnc(NC2(CCOCC2)c3ccccc3)nc1	CHEMBL3655972	pIC50=6.14
ONC(=O)c1cnc(NCc2ccccc2C(F)(F)F)nc1	CHEMBL3655921	pIC50=6.14
ONC(=O)c1cnc(NC23CC4CC(CC(C4)C2)C3)nc1	CHEMBL3655940	pIC50=6.15
ONC(=O)c1cnc(NCc2ccc(F)cc2C(F)(F)F)nc1	CHEMBL3655939	pIC50=6.15
Nc1ccc(cc1NC(=O)c2ccc(cc2)N=[N+]=[N-])c3cccs3	CHEMBL2057824	pIC50=6.16
ONC(=O)CCCCCN1C(=O)c2cccc3cccc(C1=O)c23	CHEMBL96051	pIC50=6.16
ONC(=O)CCCCC[C@H](NC(=O)C1CCCNC1=O)C(=O)Nc2ccccc2	CHEMBL3098692	pIC50=6.16
ONC(=O)c1cnc(Nc2cc(Cl)cc(OC(F)(F)F)c2)nc1	CHEMBL3655910	pIC50=6.16
CCN1CCN(C(=O)NCc2ccc(cc2)C(=O)Nc3cc(ccc3N)c4cccs4)C(=O)C1=O	CHEMBL1957458	pIC50=6.17
Cc1ccc(cc1)c2noc(CCCCCCC(=O)Nc3ccccc3N)n2	CHEMBL3585970	pIC50=6.17
ONC(=O)CCCCCCC(=O)Nc1ccc(cc1)c2cn(Cc3ccccc3)nn2	CHEMBL487533	pIC50=6.17
CCCCCCCC(=O)SCC\C=C\[C@@H]1CC(=O)NCc2cc(ccn2)C3=N[C@@](C)(CS3)C(=O)N[C@@H](C(C)C)C(=O)O1	CHEMBL3593410	pIC50=6.18
C[C@@H]1C[C@H](OC(=O)NCCCCCCC(=O)NO)[C@@H]2[C@@H](CC[C@@H]3C[C@H](CC(=O)O3)O[Si](C)(C)C(C)(C)C)[C@@H](C)C=CC2=C1	CHEMBL2347005	pIC50=6.18
Cc1cc(ccc1F)C(C)(C)Nc2ncc(cn2)C(=O)NO	CHEMBL3655955	pIC50=6.18
CN(C)c1ccc(NC(=O)NCCCCCCC(=O)NO)cc1	CHEMBL227120	pIC50=6.19
C[C@H]1CN(CCN1C(=O)OCc2ccccc2)c3ccc(cn3)C(=O)Nc4cc(ccc4N)c5ccccc5	CHEMBL437029	pIC50=6.19
ONC(=O)c1cnc(Nc2ccc(c(c2)C(F)(F)F)[N+](=O)[O-])nc1	CHEMBL3652233	pIC50=6.2
ONC(=O)c1cnc(Nc2ccccc2Cl)nc1	CHEMBL3652231	pIC50=6.2
OCc1cccc(CO)c1CNc2ncc(cn2)C(=O)NO	CHEMBL3655934	pIC50=6.21
ONC(=O)CCCCCCN(c1ccccn1)c2cc(OCc3ccccc3)ccn2	CHEMBL3675765	pIC50=6.21
ONC(=O)c1cnc(NC2(CCCC2)c3ccc(F)cc3)nc1	CHEMBL3656017	pIC50=6.21
CC(C)(Nc1ncc(cn1)C(=O)NO)c2ccc(F)c(F)c2	CHEMBL3655953	pIC50=6.22
CC(C)[C@H]1NC(=O)C[C@H](NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@@H](C)NC1=O)\C=C\CCCC(=O)O	CHEMBL3352991	pKi=6.22
CC(C)c1nc(nc(c1\C=C\[C@@H](O)C[C@@H](O)CC(=O)NO)c2ccc(F)cc2)N(C)S(=O)(=O)C	CHEMBL2347009	pIC50=6.22
Cc1cccc(CCNC(=O)[C@H](CCCCCS)NC(=O)[C@@H]2CCCC(=O)N2)c1	CHEMBL3356937	pIC50=6.22
Nc1ccc(cc1NC(=O)c2ccccc2)c3ccc(Br)cc3	CHEMBL1097748	pIC50=6.22
Nc1ccccc1NC(=O)c2ccc(CSC3=N[C@H](CO3)c4cccnc4)cc2	CHEMBL3605492	pIC50=6.22
ONC(=O)CCCc1ccccc1	CHEMBL55895	pIC50=6.22
ONC(=O)c1ccc(cc1)C(=O)NCCc2ccccc2	CHEMBL2333340	pIC50=6.22
ONC(=O)c1cnc(NCc2c(Cl)cccc2Cl)nc1	CHEMBL3655931	pIC50=6.22
Cc1ccc(NC(=O)CCCCCCC(=O)NO)cc1	CHEMBL3098605	pIC50=6.23
Nc1cc(F)ccc1NC(=O)c2cnc3c(C4CC4)c(ccc3c2)N5CCNCC5	CHEMBL3664029	pIC50=6.23
ONC(=O)CCCCCC(c1c[nH]c2ccc(cc12)[N+](=O)[O-])c3c[nH]c4ccc(cc34)[N+](=O)[O-]	CHEMBL561604	pIC50=6.23
ONC(=O)\C=C\c1ccc(cc1)c2ccc(O)cc2	CHEMBL556332	pIC50=6.23
ONC(=O)c1cnc(NCc2ccccc2c3ccccc3)nc1	CHEMBL3655938	pIC50=6.23
Nc1ccccc1NC(=O)c2ccc(CSC3=N[C@@H](Cc4ccccc4)CS3)cc2	CHEMBL2407738	pIC50=6.24
[O-][N+](=O)c1ccc(cc1)c2nn(cc2\C=C/C(=O)Nc3ccc(Cl)cc3)c4ccccc4	CHEMBL2047618	pIC50=6.24
Cc1ccc(cc1)c2noc(CNCc3ccc(cc3)C(=O)Nc4ccccc4N)n2	CHEMBL3421738	pIC50=6.25
ONC(=O)CCCCc1ccn(Cc2ccc(cc2)n3ccc4ccccc34)n1	CHEMBL3335298	pIC50=6.25
ONC(=O)c1ccc(CN2CC(=O)Nc3ccccc23)cc1	CHEMBL481802	pIC50=6.25
[O-][N+](=O)c1ccc(cc1)c2nn(cc2\C=C/C(=O)Nc3ccc(Br)cc3)c4ccccc4	CHEMBL2047619	pIC50=6.26
Nc1ccccc1NC(=O)c2ccc(CNC3=N[C@H]([C@@H](S3)c4ccccc4)c5ccccc5)cc2	CHEMBL2407725	pIC50=6.27
ONC(=O)\C=C\c1ccc(OC[C@H](Cc2c[nH]c3ccccc23)NC(=O)c4ccccc4)cc1	CHEMBL3233687	pIC50=6.27
COc1cc(Nc2ncc(cn2)C(=O)NO)cc(c1)C(F)(F)F	CHEMBL3652241	pIC50=6.28
COc1ccccc1CNc2ncc(cn2)C(=O)NO	CHEMBL3655928	pIC50=6.28
Nc1ccccc1NC(=O)c2ccc(CNCc3onc(n3)c4ccccc4)cc2	CHEMBL3421737	pIC50=6.28
OB(O)CCCCC[C@H](NC(=O)c1cncs1)C(=O)Nc2cccc(c2)c3ccccc3	CHEMBL492097	pIC50=6.28
ONC(=O)c1ccc(CN2[C@H](CCc3ccccc3)C(=O)Nc4ccccc24)cc1	CHEMBL482358	pIC50=6.28
CC(=O)c1ccc2[nH]c(cc2c1)C(=O)NCc3ccc(cc3)C(=O)Nc4ccccc4N	CHEMBL3673113	pIC50=6.29
Nc1ccc(cc1NC(=O)[C@@H]2C[C@H]3CC[C@@H](C2)O3)c4ccc(F)cc4	CHEMBL3827611	pKi=6.29
Nc1ccccc1NC(=O)c2ccc(CNC(=O)c3cccc4ccccc34)cc2	CHEMBL3673104	pIC50=6.29
ONC(=O)CCCCCCc1onc(n1)c2cccs2	CHEMBL3585967	pIC50=6.29
CCCOC(CCCCC(=O)NO)C(=O)Nc1ccccc1	CHEMBL251406	pIC50=6.3
COC(CCCCC(=O)NO)C(=O)Nc1ccccc1	CHEMBL251206	pIC50=6.3
COC(CCCCCC(=O)NO)C(=O)Nc1ccccc1	CHEMBL251010	pIC50=6.3
COc1ccc(COC(CCCCCC(=O)NO)C(=O)Nc2ccc(OC)cc2)cc1	CHEMBL250005	pIC50=6.3
COc1ccc(NC(=O)C(CCCCCC(=O)NO)OCc2ccccc2)cc1	CHEMBL249198	pIC50=6.3
COc1ccc(NCc2ccc(cc2)C(=O)Nc3ccccc3N)cc1OC	CHEMBL211625	pIC50=6.3
COc1cccc(COC(CCCCCC(=O)NO)C(=O)N(Cc2cccc(OC)c2)c3ccccc3)c1	CHEMBL248798	pIC50=6.3
ONC(=O)CCCCC(OCc1ccccc1)C(=O)Nc2ccccc2	CHEMBL402718	pIC50=6.3
ONC(=O)CCCCCC(O)C(=O)Nc1ccccc1	CHEMBL251009	pIC50=6.3
ONC(=O)CCCCCC(OCC=C)C(=O)Nc1ccccc1	CHEMBL402719	pIC50=6.3
ONC(=O)CCCCCC(Oc1cccc(Oc2ccccc2)c1)C(=O)Nc3ccccc3	CHEMBL400482	pIC50=6.3
ONC(=O)\C=C\c1ccc(OC[C@H](Cc2c[nH]c3ccccc23)NC(=O)c4ccc(Cl)cc4)cc1	CHEMBL3233698	pIC50=6.3
ONC(=O)\C=C\c1cccc(OC[C@H](Cc2c[nH]c3ccccc23)NC(=O)c4ccc(Cl)cc4)c1	CHEMBL3233711	pIC50=6.3
CN(C)c1ccc(CNC(=O)NCCC(=O)NO)cc1	CHEMBL227119	pIC50=6.31
ONC(=O)c1cnc(NC2(CCCC2)c3cccc(Cl)c3)nc1	CHEMBL3656022	pIC50=6.31
COc1ccc(Cl)cc1C2(CC2)Nc3ncc(cn3)C(=O)NO	CHEMBL3656008	pIC50=6.32
COc1ccccc1C2(CC2)Nc3ncc(cn3)C(=O)NO	CHEMBL3656002	pIC50=6.32
Cc1cc(C)cc(Nc2ncc(cn2)C(=O)NO)c1	CHEMBL3652239	pIC50=6.32
ONC(=O)c1cnc(NC2(CCCC2)c3cccc(F)c3)nc1	CHEMBL3656020	pIC50=6.32
CC(C)c1c(C(=O)Nc2ccccc2)c(c3ccccc3)c(c4ccc(F)cc4)n1CC[C@@H](O)C[C@@H](O)CC(=O)NO	CHEMBL2347008	pIC50=6.33
CCC(=O)NCc1ccc(cc1)C(=O)Nc2cc(ccc2N)c3cccs3	CHEMBL251819	pIC50=6.33
CCCCCCCC(=O)SCC\C=C\[C@@H]1CC(=O)NCc2cccc(n2)C3=N[C@@](C)(CS3)C(=O)N[C@@H](C(C)C)C(=O)N1	CHEMBL3593412	pIC50=6.33
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)NO)[C@@H]12	CHEMBL2347006	pIC50=6.33
C[C@@H]1C[C@H](OC(=O)Nc2ccc(cc2)C#C)[C@@H]3[C@@H](CC[C@@H]4C[C@H](CC(=O)O4)O[Si](C)(C)C(C)(C)C)[C@@H](C)C=CC3=C1	CHEMBL3704922	pIC50=6.33
C[C@@H]1C[C@H](OC(=O)Nc2ccc(cc2)c3cn(CCCCCCC(=O)NO)nn3)[C@@H]4[C@@H](CC[C@@H]5C[C@H](CC(=O)O5)O[Si](C)(C)C(C)(C)C)[C@@H](C)C=CC4=C1	CHEMBL2347010	pIC50=6.33
ONC(=O)c1cc(CCCCC(=O)Nc2cnc3ccccc3c2)on1	CHEMBL511715	pIC50=6.33
Nc1ccc(F)cc1NC(=O)c2cnc3c(C4CC4)c(ccc3c2)N5CCNCC5	CHEMBL3664022	pIC50=6.34
ONC(=O)\C=C\c1ccc(OC[C@H](Cc2c[nH]c3ccccc23)NC(=O)c4ccc(F)cc4)cc1	CHEMBL3233703	pIC50=6.34
ONC(=O)\C=C\c1ccc(cc1)c2ccc(O)c(Cl)c2	CHEMBL565140	pIC50=6.34
ONC(=O)\C=C\c1ccccc1	CHEMBL154574	pIC50=6.34
ONC(=O)c1ccc(CN2[C@@H](Cc3ccccc3)C(=O)Nc4ccccc24)cc1	CHEMBL516600	pIC50=6.34
ONC(=O)c1ccc(CN2[C@H](Cc3ccc(F)c(F)c3)C(=O)Nc4ccccc24)cc1	CHEMBL481018	pIC50=6.34
ONC(=O)c1cnc(Nc2cc(Cl)ccc2Cl)nc1	CHEMBL3652234	pIC50=6.34
SCCCCC[C@H](NC(=O)[C@@H]1CCCC(=O)N1)C(=O)NC2CCCC2	CHEMBL3356931	pIC50=6.34
CC(C)(Nc1ncc(cn1)C(=O)NO)c2ccc(Cl)cc2F	CHEMBL3655960	pIC50=6.35
ONC(=O)\C=C\c1ccc(cc1)c2cccs2	CHEMBL561212	pIC50=6.35
ONC(=O)c1cnc(Nc2cccc(c2)C(F)(F)F)nc1	CHEMBL3652242	pIC50=6.35
COc1cccc2c(c[nH]c12)C(CCCCCC(=O)NO)c3c[nH]c4c(OC)cccc34	CHEMBL561483	pIC50=6.36
Nc1ccccc1NC(=O)c2ccc(CSC3=N[C@H](CS3)c4ccccc4)cc2	CHEMBL2407716	pIC50=6.36
ONC(=O)\C=C\c1ccc(OC[C@H](Cc2c[nH]c3ccccc23)NC(=O)Cc4ccccc4)cc1	CHEMBL3233696	pIC50=6.36
ONC(=O)c1ccc(CNC(=O)c2[nH]c(cc2c3ccc(Cl)c(Cl)c3)c4ccccc4)cc1	CHEMBL3670678	pIC50=6.36
COc1cc2CCCO[C@H](CCCCCC(=O)NO)C(=O)Nc3ccccc3OCc(c2)c1	CHEMBL1631918	pIC50=6.37
Nc1ccccc1NC(=O)c2ccc(CNC3=N[C@@H]([C@H](S3)c4ccccc4)c5ccccc5)cc2	CHEMBL2407724	pIC50=6.37
Nc1ccccc1NC(=O)c2ccc(CNC3=N[C@H](CO3)c4cccnc4)cc2	CHEMBL3605500	pIC50=6.37
Nc1ccccc1NC(=O)c2ccc(CNCc3onc(n3)c4ccc(Cl)cc4)cc2	CHEMBL3421741	pIC50=6.37
ONC(=O)c1cc(CCCCC(=O)Nc2nc(cs2)c3ccccc3)on1	CHEMBL469134	pIC50=6.37
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)NO)[C@@H]12	CHEMBL2347007	pIC50=6.38
COc1ccc(cc1)C(=O)N[C@H](COc2ccc(\C=C\C(=O)NO)cc2)Cc3c[nH]c4ccccc34	CHEMBL3233705	pIC50=6.38
Cc1ccc2[nH]c(cc2c1)C(=O)NCc3ccc(cc3)C(=O)Nc4ccccc4N	CHEMBL3673107	pIC50=6.38
CC(C)[C@H]1NC(=O)C[C@H](NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](C)NC1=O)\C=C\CCCC(=O)O	CHEMBL3352992	pKi=6.4
COc1ccc(Nc2ncc(cn2)C(=O)NO)cc1	CHEMBL3652229	pIC50=6.4
Nc1ccccc1NC(=O)c2ccc(CNC3=NC(CO3)(c4ccccc4)c5ccccc5)cc2	CHEMBL3605504	pIC50=6.4
ONC(=O)CCCCc1ccn(Cc2cccc(c2)c3ccccc3)n1	CHEMBL3335283	pIC50=6.4
COc1ccc(cc1OCCCC(=O)NO)N(C)c2nc(C)nc3ccccc23	CHEMBL3774414	pIC50=6.41
Nc1ccc(cc1NC(=O)c2ccccc2)c3nccs3	CHEMBL1097278	pIC50=6.41
Nc1ccc(cc1NC(=O)c2cccnc2)c3cccs3	CHEMBL256440	pIC50=6.41
Nc1ccccc1NC(=O)c2ccc(CNC(=O)c3[nH]c(cc3c4cocc4)c5ccc(O)cc5)cc2	CHEMBL3670675	pIC50=6.41
ONC(=O)CCCCCCc1onc(n1)c2cccnc2	CHEMBL3585968	pIC50=6.41
ONC(=O)c1cnc(NCCc2ccccc2Cl)nc1	CHEMBL3655922	pIC50=6.41
COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)c4ccc(cc4)C(=O)Nc5cc(ccc5N)c6cccs6	CHEMBL3417210	pIC50=6.42
COc1cc2COc3ccccc3NC(=O)[C@@H](CCCCCC(=O)NO)OC\C=C/c(c2)c1	CHEMBL1631915	pIC50=6.42
ONC(=O)CCCCCOc1no[n+]([O-])c1S(=O)(=O)c2ccccc2	CHEMBL3426906	pIC50=6.42
ONC(=O)\C=C\c1ccc2c(ccn2Cc3ccccc3)c1	CHEMBL2048755	pIC50=6.42
ONC(=O)c1ccc(cc1)C(=O)NCc2ccccc2	CHEMBL2333341	pIC50=6.42
ONC(=O)c1cnc(NC2(Cc3ccccc3)CC2)nc1	CHEMBL3655986	pIC50=6.42
ONC(=O)c1cnc(Nc2c(F)c(F)cc(F)c2F)nc1	CHEMBL3652236	pIC50=6.42
CCC(=O)CCCCC[C@@H]1NC(=O)[C@H](CCCCNC(=O)C)NC(=O)CCN(CC(C)C)C(=O)CN(CCc2c[nH]c3ccccc23)C1=O	CHEMBL2170018	pIC50=6.43
Nc1ccccc1NC(=O)c2cnc3c(C4CC4)c(ccc3c2)N5CCNCC5	CHEMBL3664023	pIC50=6.43
CN1CCc2c(C1)c3ccccc3n2Cc4ccc(cc4)C(=O)NO	CHEMBL2018302	pIC50=6.44
COc1ccc(cc1)S(=O)(=O)n2ccc3cc(\C=C\C(=O)NO)ccc23	CHEMBL2048749	pIC50=6.44
Cc1cc(Nc2ncc(cn2)C(=O)NO)ccn1	CHEMBL3655914	pIC50=6.44
Nc1ccc(cc1NC(=O)c2ccccc2)c3cccs3	CHEMBL271949	pIC50=6.44
Nc1ccccc1NC(=O)c2ccc(CSC3=N[C@H](CO3)c4ccccc4)cc2	CHEMBL3605417	pIC50=6.44
ONC(=O)c1ccc(CNC(=O)c2[nH]c(cc2c3ccc(F)c(F)c3)c4ccccc4)cc1	CHEMBL3670676	pIC50=6.44
ONC(=O)c1cnc(NCc2cccs2)nc1	CHEMBL3655982	pIC50=6.44
CCCCCCCC(=O)SCC\C=C\[C@@H]1CC(=O)NCc2cccc(n2)C3=N[C@@](C)(CS3)C(=O)N[C@@H](C(C)C)C(=O)O1	CHEMBL3593408	pIC50=6.46
Nc1ccc(cc1NC(=O)c2ccc(CNC(=O)OCc3cc(CN=[N+]=[N-])cc(c3)N=[N+]=[N-])cc2)c4ccccc4	CHEMBL2057821	pIC50=6.46
