CC(C)Nc1cc(COc2cccc(F)c2)nc(n1)c3ccccn3	CHEMBL3741045	pIC50=7.0
Cc1cc(OCCCS(=O)(=O)C)cc(C)c1c2ccc(F)c(c2)[C@H]3COc4cc5[C@H](CC(=O)O)COc5cc4O3	CHEMBL2381296	pEC50=7.17
Cc1ccccc1C#Cc2ccc(CCC(=O)O)cc2	CHEMBL449588	pEC50=7.17
CCOc1cc(C)c(c(C)c1)c2cccc(COc3ccc(OCC(=O)O)c(F)c3)c2	CHEMBL3628756	pEC50=7.18
OC(=O)C[C@@H]1COc2cc3OC(COc3cc12)c4cccc(c4)c5ccccc5	CHEMBL2381311	pEC50=7.18
OC(=O)C[C@@H]1COc2cc3O[C@@H](COc3cc12)c4cccc(c4)c5ccccc5Cl	CHEMBL2381309	pEC50=7.18
CC(Cc1ccc(OCc2cccc(c2)c3c(C)cccc3C)nc1)C(=O)O	CHEMBL3288355	pEC50=7.19
CCOC(CC(=O)O)c1ccc(OCCc2ccc(Cl)c(Cl)c2)cc1	CHEMBL3604053	pEC50=7.19
Cc1cccc(C)c1c2cccc(COc3ncc(CCC(=O)O)s3)c2	CHEMBL3288347	pEC50=7.19
Cc1nc(sc1COc2ccc(cc2)[C@H](CC(=O)O)c3ncnn3C)c4ccc(cc4)C(F)(F)F	CHEMBL3287572	pEC50=7.19
Cc1nc(sc1COc2ccc3C(CC(=O)O)COc3c2)c4cccc(F)c4	CHEMBL3780456	pEC50=7.19
CCOC(CC(=O)O)c1ccc(OCc2cccc(c2)[N+](=O)[O-])cc1	CHEMBL3604046	pEC50=7.2
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCc3c(OCC)cccc23)cc1	CHEMBL3427710	pEC50=7.2
Fc1ccc(OCc2cc(OCC3(F)COC3)nc(n2)c4ccccn4)c(F)c1F	CHEMBL3741735	pIC50=7.2
OC(=O)C[C@@H]1COc2cc3OC(COc3cc12)c4cc(F)cc(c4)C(F)(F)F	CHEMBL2380322	pEC50=7.2
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCCc3ccccc23)cc1	CHEMBL3427708	pEC50=7.21
CCOc1ccc(COc2ccc3C(CC(=O)O)COc3c2)cc1n4c(C)ccc4C	CHEMBL3781733	pEC50=7.21
Cc1cc(C)c(c(C)c1)c2cccc(c2)C3COc4cc5[C@H](CC(=O)O)COc5cc4O3	CHEMBL2381314	pEC50=7.21
Cc1cc(OCCCS(=O)(=O)C)cc(C)c1c2cccc(COc3ccc(OCC(=O)O)c(F)c3)c2	CHEMBL3353742	pEC50=7.21
Cc1c(Cl)cccc1c2cccc(COc3ccc(cc3)[C@H](CC(=O)O)c4nccn4C)c2	CHEMBL3754682	pEC50=7.22
Cc1cc(F)ccc1c2cccc(COc3ccc(cc3)[C@H](CC(=O)O)c4nccn4C)c2	CHEMBL3754659	pEC50=7.23
Cc1cccc(C)c1c2cccc(COc3ccc4C(CC(=O)O)CCCc4c3)c2	CHEMBL2022244	pKi=7.23
Cc1cc(OCCCS(=O)(=O)C)cc(C)c1c2cccc(COc3ccc4[C@H](CC(=O)O)COc4c3)c2	CHEMBL1829174	pEC50=7.24
Cc1ccc(c(C)c1)c2cccc(COc3ccc4C(CC(=O)O)COc4c3)c2	CHEMBL2022257	pKi=7.24
Cc1cccc(C)c1c2cccc(COc3ccc(CCC(=O)O)cc3)c2C	CHEMBL2048610	pKi=7.24
Cc1cccc(C)c1c2cccc(COc3ccc(cc3)[C@H](CC(=O)O)c4nccn4C)c2	CHEMBL3752601	pEC50=7.24
Cc1nc(sc1COc2ccc(cc2)[C@H](CC(=O)O)c3ocnc3)c4ccc(cc4)C(F)(F)F	CHEMBL3287576	pEC50=7.24
Cc1oc(nc1COc2ccc(CCC(=O)O)cc2)c3ccccc3	CHEMBL3600993	pEC50=7.24
CS(=O)(=O)CCCOc1ccc(c(Cl)c1)c2ccc(F)c(c2)C3COc4cc5[C@H](CC(=O)O)COc5cc4O3	CHEMBL2381302	pEC50=7.25
Cc1cc(OCCCS(=O)(=O)C)cc(C)c1c2cccc(c2)[C@@H]3COc4cc5[C@H](CC(=O)O)COc5cc4O3	CHEMBL2381293	pEC50=7.25
OC(=O)C[C@@H]1COc2cc3O[C@H](COc3cc12)c4cccc(c4)c5ccccc5Cl	CHEMBL2381310	pEC50=7.25
OC(=O)C[C@@H]1COc2cc3OC(COc3cc12)c4cccc(Br)c4	CHEMBL2381281	pEC50=7.26
CCOC(CC(=O)O)c1ccc(OCc2cccc(c2)C#N)cc1	CHEMBL3604045	pEC50=7.28
COc1cc(COc2ccc(CCC(=O)O)c(F)c2)cc(c1)c3c(C)onc3C	CHEMBL3798881	pEC50=7.28
Cc1cccc(C)c1c2cccc(COc3ccc(CCC(=O)O)s3)c2	CHEMBL3288346	pEC50=7.28
Cc1cccc(C)c1c2cccc(c2)[C@@H]3COc4cc5[C@H](CC(=O)O)COc5cc4O3	CHEMBL2381305	pEC50=7.28
COc1cc(C)c(c(C)c1)c2cccc(COc3ccc(OCC(=O)O)c(F)c3)c2	CHEMBL3628755	pEC50=7.3
CC#CC(CC(=O)O)c1ccc(Oc2ccc(cc2OC(F)F)C(F)(F)F)cc1F	CHEMBL1777855	pIC50=7.31
CCOC(CC(=O)O)c1ccc(Oc2ccc(Cl)c(Cl)c2)cc1	CHEMBL3604054	pEC50=7.31
Cc1cccc(C)c1c2cccc(COc3cc4COC(CC(=O)O)c4cn3)c2	CHEMBL3288360	pEC50=7.31
Cc1nc(sc1COc2ccc3C(CC(=O)O)COc3c2)c4ccc(F)cc4	CHEMBL3781477	pEC50=7.31
CCc1ccccc1c2cccc(COc3ccc(cc3)[C@H](CC(=O)O)c4nccn4C)c2	CHEMBL3752807	pEC50=7.32
C\C=C/C#Cc1ccc(CCC(=O)O)c(F)c1	CHEMBL3787072	pEC50=7.32
COc1ccc(COc2ccc(CCC(=O)O)cc2)cc1c3c(C)cccc3C	CHEMBL2048613	pKi=7.33
Cc1cc(OCCCS(=O)(=O)C)cc(C)c1c2ccc(F)c(c2)[C@@H]3COc4cc5[C@H](CC(=O)O)COc5cc4O3	CHEMBL2381295	pEC50=7.33
Cc1ccc(C)n1c2cccc(COc3ccc4C(CC(=O)O)COc4c3)c2	CHEMBL3781077	pEC50=7.33
Cc1cccc(C)c1c2cccc(COc3ccc(CCC(=O)O)cc3)c2	CHEMBL1688486	pKi=7.34
Cc1cc(OCCCS(=O)(=O)C)ccc1c2cccc(COc3ccc(OCC(=O)O)c(F)c3)c2	CHEMBL3629049	pEC50=7.36
Cc1ccccc1c2cccc(COc3ccc(cc3)[C@H](CC(=O)O)c4nccn4C)c2	CHEMBL3753265	pEC50=7.37
Cl.CCOCCOc1cc(C)c(c(C)c1)c2cccc(CNc3ccc4C(CC(=O)O)COc4c3)c2	CHEMBL2022584	pKi=7.37
Cn1ccnc1[C@@H](CC(=O)O)c2ccc(OCc3cccc(c3)c4ccccc4Cl)cc2	CHEMBL3752274	pEC50=7.37
CC#CC(CC(=O)O)c1ccc(O[C@@H]2CCc3ccccc23)cc1	CHEMBL1777870	pIC50=7.38
O.Cc1cc(OCCCS(=O)(=O)C)cc(C)c1c2cccc(COc3ccc4[C@H](CC(=O)O)COc4c3)c2	CHEMBL2047159	pEC50=7.38
Cc1ccc2ccccc2c1c3cccc(COc4ccc5C(CC(=O)O)COc5c4)c3	CHEMBL2022252	pKi=7.39
Cc1nc(sc1COc2ccc(cc2)[C@H](CC(=O)O)c3nnnn3C)c4ccc(cc4)C(F)(F)F	CHEMBL3287573	pEC50=7.39
CC#CC(CC(=O)O)c1ccc(Oc2ccc(cc2C)C(F)(F)F)cc1	CHEMBL1777860	pIC50=7.4
Cc1c(C)c(c(C)c(C)c1OC2CCS(=O)(=O)CC2)c3cccc(COc4ccc5[C@H](CC(=O)O)COc5c4)c3	CHEMBL2047165	pKi=7.4
Cc1ccc(c(C)c1)c2cccc(c2)C3COc4cc5[C@H](CC(=O)O)COc5cc4O3	CHEMBL2381313	pEC50=7.41
Cc1ccccc1c2cccc(c2)[C@@H]3COc4cc5[C@H](CC(=O)O)COc5cc4O3	CHEMBL2381307	pEC50=7.41
Cc1onc(C)c1c2cc(Cl)cc(COc3ccc(CCC(=O)O)c(F)c3)c2	CHEMBL3799341	pEC50=7.41
Cc1cccc(C)c1c2cccc(COc3ccc4C(CC(=O)O)COc4c3)c2	CHEMBL2022247	pEC50=7.42
CCS(=O)(=O)CCOc1cc(C)c(c(C)c1)c2cccc(COc3ccc4[C@H](CC(=O)O)COc4c3)c2	CHEMBL2047158	pKi=7.43
C\C=C(/C)\C#Cc1ccc(CCC(=O)O)c(F)c1	CHEMBL3785764	pEC50=7.43
Cc1ccccc1Oc2ccc(cc2)N3N=C(CC3CC(=O)O)C#N	CHEMBL3330547	pEC50=7.43
CC#CC(CC(=O)O)c1ccc(Oc2ccc(cc2Br)C#N)cc1	CHEMBL1777863	pIC50=7.44
CC#C[C@@H](CC(=O)O)c1ccc(OCc2cccc(c2)c3ccc(Cl)cc3C)cc1	CHEMBL3287568	pEC50=7.44
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2COc3c2cccc3C(F)(F)F)nc1	CHEMBL3604068	pEC50=7.44
Cc1cc(C)c(c(C)c1)c2cccc(COc3ccc4C(CC(=O)O)COc4c3)c2	CHEMBL2022258	pKi=7.44
Cc1cc(OC2CCS(=O)(=O)CC2)cc(C)c1c3cccc(COc4ccc5[C@H](CC(=O)O)COc5c4)c3	CHEMBL2047155	pKi=7.44
Cc1ccc(F)cc1c2cccc(COc3ccc(cc3)[C@H](CC(=O)O)c4nccn4C)c2	CHEMBL3753533	pEC50=7.44
Cc1nc(sc1COc2ccc(cc2)[C@H](CC(=O)O)c3ccon3)c4ccc(cc4)C(F)(F)F	CHEMBL3287574	pEC50=7.44
OC(=O)C[C@@H]1COc2cc3OC(COc3cc12)c4cccc(c4)C5CC5	CHEMBL2381291	pEC50=7.44
Cc1cc(F)ccc1c2cccc(c2)C3COc4cc5[C@H](CC(=O)O)COc5cc4O3	CHEMBL2381312	pEC50=7.45
CCOC(CC(=O)O)c1ccc(OCC2CCCCC2)cc1	CHEMBL3604049	pEC50=7.46
CCOC(CC(=O)O)c1ccc(OCc2cccc(C)c2)cc1	CHEMBL3288363	pEC50=7.46
COc1ccc(COc2ccc3C(CC(=O)O)COc3c2)cc1n4c(C)ccc4C	CHEMBL3780042	pEC50=7.46
OC(=O)C[C@@H]1COc2cc3O[C@@H](COc3cc12)c4cccc(Cl)c4	CHEMBL2381285	pEC50=7.47
Cc1c(C)c(c(C)c(C)c1OCCCS(=O)(=O)C)c2cccc(COc3ccc4[C@H](CC(=O)O)COc4c3)c2	CHEMBL2047166	pKi=7.48
Cc1cc(Cl)ccc1c2cccc(COc3ccc(cc3)[C@H](CC(=O)O)c4nccn4C)c2	CHEMBL3287569	pEC50=7.48
Cc1cc(Cl)ccc1c2cccc(COc3ccc(cc3)[C@H](CC(=O)O)c4ncnn4C)c2	CHEMBL3287570	pEC50=7.48
Cc1onc(C)c1c2cc(F)cc(COc3ccc(CCC(=O)O)c(F)c3)c2	CHEMBL3799639	pEC50=7.48
CCOCCOc1cc(C)c(c(C)c1)c2cccc(COc3ccc4C(CC(=O)O)COc4c3)c2	CHEMBL2022577	pKi=7.5
Cc1cccc(C)c1c2cccc(COc3ccc(CCC(=O)O)c(F)c3)c2	CHEMBL1688473	pKi=7.5
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCc3ccccc23)cc1	CHEMBL3427705	pEC50=7.51
Cc1cc(OC2CCS(=O)(=O)CC2)c(F)c(C)c1c3cccc(COc4ccc5[C@H](CC(=O)O)COc5c4)c3	CHEMBL2047167	pKi=7.51
Cc1cc(OCCCN2CCCC2=O)cc(C)c1c3cccc(COc4ccc5[C@H](CC(=O)O)COc5c4)c3	CHEMBL2047160	pKi=7.51
CC#CC(CC(=O)O)c1ccc(Oc2ncc(cc2Cl)C(F)(F)F)cc1	CHEMBL1777866	pIC50=7.52
CCOC(CC(=O)O)c1ccc(OCc2cccc(F)c2)cc1	CHEMBL3604040	pEC50=7.52
Cc1cccc(C)c1c2cccc(c2)[C@H]3COc4cc5[C@H](CC(=O)O)COc5cc4O3	CHEMBL2381306	pEC50=7.52
OC(=O)C[C@@H]1COc2cc3O[C@H](COc3cc12)c4cccc(c4)C(F)(F)F	CHEMBL2381290	pEC50=7.52
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCc3c(C)cccc23)cc1	CHEMBL3427709	pEC50=7.54
OC(=O)CCc1ccc(NCc2cccc(Oc3ccccc3)c2)cc1	CHEMBL207881	pEC50=7.55
CCOC(CC(=O)O)c1ccc(NCc2ccc(Cl)c(Cl)c2)cc1	CHEMBL3604033	pEC50=7.57
Cc1onc(C)c1c2cccc(COc3ccc(CCC(=O)O)c(F)c3)c2F	CHEMBL3798274	pEC50=7.59
CC#CC(CC(=O)O)c1ccc(OCc2cccc(c2)c3ccc(cc3)C(F)(F)F)cc1	CHEMBL1939654	pEC50=7.6
CC1(C)CN(C1)c2cc(COc3ccc(F)c(F)c3F)nc(n2)c4ccccn4	CHEMBL3742135	pIC50=7.6
COc1cc(C)c(c(C)c1)c2cccc(COc3ccc(CCC(=O)O)cc3)c2	CHEMBL2048614	pKi=7.6
Cc1cc(OCC2(C)COC2)cc(C)c1c3cccc(COc4ccc5[C@H](CC(=O)O)COc5c4)c3	CHEMBL2047152	pKi=7.6
Cc1onc(C)c1c2cc(COc3ccc(CCC(=O)O)c(F)c3)ccc2F	CHEMBL3800232	pEC50=7.6
COc1ccc(cc1COc2ccc(CCC(=O)O)c(F)c2)c3c(C)onc3C	CHEMBL3798341	pEC50=7.61
Cc1onc(C)c1c2cccc(COc3ccc(CCC(=O)O)c(F)c3)c2	CHEMBL3799946	pEC50=7.61
Cc1cc(OCC2(O)CCS(=O)(=O)CC2)cc(C)c1c3cccc(COc4ccc5[C@H](CC(=O)O)COc5c4)c3	CHEMBL2047157	pKi=7.62
CC#CC(CC(=O)O)c1ccc(OC2CCCc3nc(sc23)c4ccc(C)cc4)cc1	CHEMBL1777872	pIC50=7.64
CC#CC(CC(=O)O)c1ccc(Oc2ccc(cc2Cl)C#N)cc1	CHEMBL1777862	pIC50=7.64
CCOC(CC(=O)O)c1ccc(OCc2cccc(Oc3ccccc3)c2)cc1	CHEMBL3604044	pEC50=7.64
CCOCCOc1cc(C)c(c(C)c1)c2cccc(COc3ccc(CCC(=O)O)cc3)c2	CHEMBL2048617	pKi=7.64
CCOCCOc1cc(C)c(c(C)c1)c2cccc(COc3ccc4[C@H](CC(=O)O)COc4c3)c2	CHEMBL2047149	pKi=7.64
COc1ccc(COc2ccc(CCC(=O)O)c(F)c2)cc1c3c(C)onc3C	CHEMBL3798575	pEC50=7.64
COc1cc(c(F)cn1)c2ccc(COc3cc4c(CC[C@]45C[C@H]5C(=O)O)cn3)cc2[C@@H]6CCCC6(C)C	CHEMBL3265148	pEC50=7.66
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2COc3c2cccc3C(F)(F)F)cc1	CHEMBL3604066	pEC50=7.68
Cc1cc(OCC2(C)COC2)cc(C)c1c3cccc(COc4ccc5C(CC(=O)O)COc5c4)c3	CHEMBL2047151	pKi=7.68
Cc1cc(OCCCN2CCCC2=O)cc(C)c1c3cccc(COc4ccc(CCC(=O)O)c(F)c4)c3	CHEMBL2048621	pKi=7.68
C\C=C(\C)/C#Cc1ccc(CCC(=O)O)c(F)c1	CHEMBL3785637	pEC50=7.69
CCC1C(CC(=O)O)N(N=C1C(F)(F)F)c2ccc(Cc3ccc(cc3C)c4cc(OC)ccc4F)cc2	CHEMBL3330549	pEC50=7.7
CCOC(CC(=O)O)c1ccc(OCc2ccccc2C)cc1	CHEMBL3288362	pEC50=7.7
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCc3c2cccc3C(F)(F)F)nc1	CHEMBL3604067	pEC50=7.7
CCS(=O)(=O)CCOc1cc(C)c(c(C)c1)c2cccc(CNc3ccc(CCC(=O)O)c(F)c3)c2	CHEMBL2048625	pKi=7.7
Cc1cc(OC2CCOCC2)cc(C)c1c3cccc(COc4ccc(CCC(=O)O)c(F)c4)c3	CHEMBL2048619	pKi=7.7
CC#CC(C1OC(=O)NC1=O)c2ccc(Oc3ccc(cc3OC(F)F)C(F)(F)F)cc2	CHEMBL1777876	pIC50=7.72
CCOC(CC(=O)O)c1ccc(OCc2cccc(Cl)c2)cc1	CHEMBL3604041	pEC50=7.72
CCO[C@@H](CC(=O)O)c1ccc(O[C@H]2CCc3c2cccc3C(F)(F)F)cc1	CHEMBL3427713	pEC50=7.72
COc1cc(c(F)cn1)c2ccc(COc3cc(ccn3)[C@H](C)CC(=O)O)cc2[C@@H]4CCCC4(C)C	CHEMBL3265146	pEC50=7.72
Cc1cc(OCC2(O)CCS(=O)(=O)CC2)cc(C)c1c3cccc(CNc4ccc(CCC(=O)O)c(F)c4)c3	CHEMBL2048627	pKi=7.72
Cc1cc(OCC2(O)CCS(=O)(=O)CC2)cc(C)c1c3cccc(COc4ccc(CCC(=O)O)c(F)c4)c3	CHEMBL2048624	pKi=7.72
Cc1cc(OCCCS(=O)(=O)C)c(Cl)c(C)c1c2cccc(COc3ccc4[C@H](CC(=O)O)COc4c3)c2	CHEMBL2047169	pKi=7.72
Cc1ccccc1c2cccc(c2)[C@H]3COc4cc5[C@H](CC(=O)O)COc5cc4O3	CHEMBL2381308	pEC50=7.72
Cc1cc(OC2CCS(=O)(=O)CC2)cc(C)c1c3cccc(CNc4ccc(CCC(=O)O)c(F)c4)c3	CHEMBL2048626	pKi=7.75
Cc1cc(OCCCS(=O)(=O)C)c(F)c(C)c1c2cccc(COc3ccc4[C@H](CC(=O)O)COc4c3)c2	CHEMBL2047168	pKi=7.75
Cc1cc(OCc2ccccc2)cc(C)c1c3cccc(COc4ccc5C(CC(=O)O)COc5c4)c3	CHEMBL2022576	pKi=7.75
Cc1cccc(C)c1c2cccc(COc3ccc(cn3)C(F)CC(=O)O)c2	CHEMBL3288357	pEC50=7.75
Cl.CCOCCOc1cc(C)c(c(C)c1)c2cccc(CNc3ccc(CCC(=O)O)c(F)c3)c2	CHEMBL2048628	pKi=7.75
Cc1cc(OC2CCS(=O)(=O)CC2)cc(C)c1c3cccc(COc4ccc(CCC(=O)O)c(F)c4)c3	CHEMBL2048623	pKi=7.8
Cc1cc(OCC2CC2)cc(C)c1c3cccc(COc4ccc(CCC(=O)O)cc4)c3	CHEMBL2048615	pKi=7.8
Cc1onc(C)c1c2cc(COc3ccc(CCC(=O)O)c(F)c3)ccc2Cl	CHEMBL3799274	pEC50=7.8
OC(=O)C[C@@H]1COc2cc3O[C@@H](COc3cc12)c4ccc(Cl)c(Cl)c4	CHEMBL2381287	pEC50=7.8
CCS(=O)(=O)CCOc1cc(C)c(c(C)c1)c2cccc(COc3ccc(CCC(=O)O)c(F)c3)c2	CHEMBL2048622	pKi=7.82
Cc1cc(OCc2cccc3nccn23)cc(C)c1c4cccc(COc5ccc6[C@H](CC(=O)O)COc6c5)c4	CHEMBL2047163	pKi=7.82
Cc1cc(OCc2ccccc2)cc(C)c1c3cccc(COc4ccc(CCC(=O)O)cc4)c3	CHEMBL2048616	pKi=7.82
CCOC(CC(=O)O)c1ccc(OCc2cccc(c2)c3c(C)cccc3C)nc1	CHEMBL3288359	pEC50=7.85
Cc1cc(OCCCS(=O)(=O)C)ccc1c2cccc(CNc3ccc(CCC(=O)O)c(F)c3)c2	CHEMBL2164242	pEC50=7.85
OC(=O)C[C@@H]1COc2cc3O[C@@H](COc3cc12)c4cccc(Br)c4	CHEMBL2381282	pEC50=7.87
CC#CC(CC(=O)O)c1ccc(Oc2ccc(C#N)c3ccccc23)cc1	CHEMBL1777864	pIC50=7.89
CCOC(CC(=O)O)c1ccc(OCc2ccc(F)c3ccccc23)cc1	CHEMBL3604052	pEC50=7.89
CCO[C@@H](CC(=O)O)c1ccc(OCc2ccc(cc2F)C(F)(F)F)cc1	CHEMBL3604057	pEC50=7.89
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCc3c(cccc23)C4CC4)cc1	CHEMBL3604063	pEC50=7.89
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCc3cc(ccc23)C(F)(F)F)cc1	CHEMBL3603843	pEC50=7.89
COc1ccc(F)c(c1)c2ccc(COc3cccc(c3)[C@@H](CC(=O)O)C4CC4)cc2C5=CCCC5(C)C	CHEMBL2152070	pEC50=7.89
Fc1ccc(OCc2cc(OCC3CCC3)nc(n2)c4ccccn4)c(F)c1F	CHEMBL3740072	pIC50=7.9
CC#CC(CC(=O)O)c1ccc(Oc2ccc(cc2OC(F)F)C(F)(F)F)cc1	CHEMBL1777861	pIC50=7.92
CCOC(CC(=O)O)c1ccc(OCc2ccc(Cl)c(Cl)c2)cc1F	CHEMBL3604037	pEC50=7.92
CCOC(CC(=O)O)c1ccc(OCc2ccc(Cl)cc2)cc1	CHEMBL3604047	pEC50=7.92
CCOCCOc1cc(C)c(c(C)c1)c2cccc(COc3ccc(CCC(=O)O)c(F)c3)c2	CHEMBL2048618	pKi=7.92
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCc3c(CC)cccc23)cc1	CHEMBL3604061	pEC50=7.92
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCc3c(cccc23)C(C)C)cc1	CHEMBL3604062	pEC50=7.92
