CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34	apomorphine	pKi=7.0999999	pKi=7.0999999	pKi=7.0999999
OCCN1CCN(CC\C=C/2\c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1	flupentixol	pKi=8.10000038	pKi=8.10000038	pKi=8.10000038
CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(CC=C)C1	cabergoline	pKi=7.69999981	pKi=7.69999981	pKi=7.69999981
CN(C)CC\C=C1\C2=CC=CC=C2SC2=C1C=C(Cl)C=C2	chlorprothixene	pKi=8.05	pKi=8.05	pKi=8.05	pKi=8.05
[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@@H](CN2C)NC(=O)N(CC)CC	lisuride	pKi=8.5	pKi=8.5	pKi=8.5
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24	olanzapine	pKi=7.0
OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1	fluphenazine	pKi=7.68
CN1CCCc2cc(O)ccc2Cc3ccccc3CC1	CHEMBL389356	pKi=7.77
O[Si]1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3	CHEMBL2204343	pKi=7.78
CCN1CCc2ccccc2Cc3[nH]c4ccccc4c3CC1	CHEMBL382850	pKi=7.83
CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccc(CN(C4CCC4)C(=O)C)cc3	CHEMBL596824	pKi=7.89
CN1CCc2ccccc2Cc3[nH]c4ccccc4c3CC1	CHEMBL441618	pKi=7.9
COc1ccc2Cc3ccc(OC)cc3CCN(C)CCc2c1	CHEMBL204065	pKi=7.9
CN1CCc2ccccc2Cc3[nH]c4ccccc4c3C[C@@H]1CO	CHEMBL1949728	pKi=7.94
CN1CCc2ccccc2Cc3ccccc3CC1	CHEMBL201525	pKi=7.95
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c3cccc4c5ccncc5	CHEMBL605127	pKi=7.98
CN1CCc2ccccc2Cc3c(CC1)[nH]c4ccccc34	CHEMBL1087301	pKi=7.99
CCO\N=C\c1cccc2[C@H]3[C@H](CCc12)N(C)CCc4cc(Cl)c(O)cc34	CHEMBL604525	pKi=8.0
CN1CCCc2ccccc2Cc3ccc(O)cc3CC1	CHEMBL231070	pKi=8.01
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4cc(N)ccc34	CHEMBL598515	pKi=8.08
CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccccc3	CHEMBL62	pKi=8.09
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(Br)cccc34	CHEMBL600083	pKi=8.13
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(CO)cccc34	CHEMBL599116	pKi=8.13
CCNC(=O)Nc1ccc2[C@H]3[C@H](CCc2c1)N(C)CCc4cc(Cl)c(O)cc34	CHEMBL600987	pKi=8.15
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4c(F)cccc4C(F)(F)F)c5ccccc25	CHEMBL213492	pKi=8.16
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(N)cccc34	CHEMBL591685	pKi=8.16
Oc1cc2OCC3NCc4ccccc4C3c2cc1O	CHEMBL217299	pKi=8.16
COc1ccc(cc1)c2cccc3[C@H]4[C@H](CCc23)N(C)CCc5cc(Cl)c(O)cc45	CHEMBL603872	pKi=8.21
CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccc(CN(C4CCC4)S(=O)(=O)C)cc3	CHEMBL599282	pKi=8.23
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4cc(NS(=O)(=O)C)ccc34	CHEMBL597909	pKi=8.24
CCS(=O)(=O)Nc1ccc2[C@H]3[C@H](CCc2c1)N(C)CCc4cc(Cl)c(O)cc34	CHEMBL600986	pKi=8.25
COc1cccc(CN2CC[C@@H](C2)NC(=O)c3cc(Cl)c(NC(=O)C4CC4)cc3OC)c1.OC(=O)C(=O)O	CHEMBL282116	pKi=8.25
CN1CCc2cc(O)ccc2Cc3[nH]c4ccccc4c3CC1	CHEMBL245571	pKi=8.27
CN1CCc2ccccc2Cc3cc(O)c(Cl)cc3CC1	CHEMBL203047	pKi=8.31
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c3cccc4c5cccc(c5)[N+](=O)[O-]	CHEMBL605339	pKi=8.33
COc1ccc2Cc3ccccc3CCCN(C)CCc2c1	CHEMBL276778	pKi=8.34
COc1cc2CCN3Cc4c(C[C@H]3c2cc1O)ccc(O)c4OC	CHEMBL487387	pKi=8.36
C[C@H]1Cc2c(Cc3ccccc3CCN1C)[nH]c4ccccc24	CHEMBL1949725	pKi=8.36
CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccc(CNC4CCC4)cc3	CHEMBL596622	pKi=8.41
COC(=O)c1cccc2[C@H]3[C@H](CCc12)N(C)CCc4cc(Cl)c(O)cc34	CHEMBL598730	pKi=8.43
COc1ccc2[nH]c3Cc4ccccc4CCN(C)CCc3c2c1	CHEMBL396560	pKi=8.44
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c3cccc4c5cccc(c5)C#N	CHEMBL598105	pKi=8.47
CCOC(=O)Nc1ccc2[C@H]3[C@H](CCc2c1)N(C)CCc4cc(Cl)c(O)cc34	CHEMBL603485	pKi=8.48
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(C=O)cccc34	CHEMBL604316	pKi=8.48
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(\C=N\O)cccc34	CHEMBL604732	pKi=8.48
CN1CCc2ccccc2Cc3sccc3CC1	CHEMBL3752512	pKi=8.52
CN1CCCc2ccccc2Cc3[nH]c4ccccc4c3CC1	CHEMBL216258	pKi=8.55
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(\C=N\OCc5ccccc5)cccc34	CHEMBL599135	pKi=8.6
CN1CCc2ccccc2Cc3c[nH]c4cccc(CC1)c34	CHEMBL1087300	pKi=8.6
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(\C=N\Oc5ccccc5)cccc34	CHEMBL605354	pKi=8.68
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4ccccc34	CHEMBL298406	pKi=8.7
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c3cccc4c5cccs5	CHEMBL597900	pKi=8.72
CN1CCc2ccccc2Cc3sc4ccccc4c3CC1	CHEMBL3753266	pKi=8.72
COc1ccc2Cc3ccccc3CCN(C)CCOc2c1	CHEMBL184049	pKi=8.75
CN1CCc2cc(O)ccc2Cc3ccc(O)cc3CC1	CHEMBL381936	pKi=8.78
Br.CN1CCc2ccccc2Cc3ccc(O)cc3CC1	CHEMBL1204122	pKi=8.82
CN1CCc2ccccc2Cc3ccc(O)cc3CC1	CHEMBL201170	pKi=8.82
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(O)cccc34	CHEMBL604314	pKi=8.85
CN(Cc1ccc(cc1)[C@H]2CN(C)CCc3cc(Cl)c(O)cc23)S(=O)(=O)c4ccccc4	CHEMBL599487	pKi=8.92
CN1CCc2ccccc2Cc3c(CC1)ccc(O)c3Cl	CHEMBL380464	pKi=9.01
CN1CCOc2cc(O)ccc2Cc3ccccc3CC1	CHEMBL184050	pKi=9.24
CN1CCc2cc(Cl)c(O)cc2C(C1)c3ccccc3	CHEMBL13668	pIC50=9.25
CN1CCc2ccccc2Cc3[nH]c4ccc(O)cc4c3CC1	CHEMBL245570	pKi=9.41
CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccccc3.OC(=O)\C=C/C(=O)O	CHEMBL1814790	pIC50=9.43
COc1ccc2c(c1)c3CCN(C)CCc4ccccc4Cc3n2C	CHEMBL245764	pKi=9.64
CN1CCc2ccccc2Cc3ccc(O)c(Cl)c3CC1	CHEMBL203637	pKi=10.24
