CCOC(=O)C1=CC=C(N)C=C1	benzocaine
CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=C1C=CC=C2	indecainide
OP(O)(=O)OCN1C(=O)NC(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1	fosphenytoin
CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC	cinchocaine
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C	lidocaine	pKd=4.80000019	pKd=4.80000019	pKd=4.80000019
CCN1C(=O)NC(C1=O)C1=CC=CC=C1	ethotoin
NC1=NC(N)=C(C=C1)\N=N\C1=CC=CC=C1	phenazopyridine
CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1	mephenytoin
NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1	rufinamide
NC1=NN=C(C(N)=N1)C1=C(Cl)C(Cl)=CC=C1	lamotrigine	pIC50=4.21	pIC50=4.21	pIC50=4.21
CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C	tetracaine	pIC50=6.28	pIC50=6.28	pIC50=6.28	pIC50=6.19
[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2	topiramate
CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C	ropivacaine
NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2	riluzole
O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1	phenytoin
NC(=O)N1C2=CC=CC=C2C(=O)CC2=C1C=CC=C2	oxcarbazepine
CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1	orphenadrine	pIC50=4.8861	pIC50=4.8861	pIC50=4.8861
CCOC(=O)NC1=CC=C2SC3=CC=CC=C3N(C(=O)CCN3CCOCC3)C2=C1	moracizine
CC(N)COC1=C(C)C=CC=C1C	mexiletine	pIC50=4.53	pIC50=4.53	pIC50=4.53
[H]C1(CCCCN1C)C(=O)NC1=C(C)C=CC=C1C	mepivacaine
CCCN(CC)C(CC)C(=O)NC1=C(C)C=CC=C1C	etidocaine
CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=N1)C(C)C	disopyramide
NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2	carbamazepine
[H][C@@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@@H](O)C1=CC=NC2=CC=C(OC)C=C12	quinidine	pIC50=5.16	pIC50=5.16	pIC50=5.16
CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2	propafenone	pIC50=5.48	pIC50=5.48	pIC50=5.48	pIC50=5.48
FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC2CCCCN2	flecainide	pIC50=5.19	pIC50=5.19	pIC50=5.19	pIC50=5.19
COC1=C(OCC(O)CN2CCN(CC(=O)NC3=C(C)C=CC=C3C)CC2)C=CC=C1	ranolazine
CC(=O)O[C@H]1CC2=C(C=CC=C2)N(C(N)=O)C2=CC=CC=C12	eslicarbazepine acetate
CCN(CC)CCNC(=O)C1=CC=C(N)C=C1	procainamide
CC(N)C(=O)NC1=C(C)C=CC=C1C	tocainide
Cc1ccc(cc1)C(=O)NC(=N)NCc2cccc3ccccc23	CHEMBL108627	pIC50=5.05
FC(F)(F)COc1ccc(CNC(=O)C2N(CCc3ccccn3)C(=O)c4ccccc24)cc1	CHEMBL2164392	pIC50=5.05
FC(F)(F)Oc1ccc(cc1)c2ccc3nncn3c2	CHEMBL3810266	pIC50=5.05
Brc1ccc(CNC(=O)C2N(CCc3ccccn3)C(=O)c4ccccc24)cc1	CHEMBL2164384	pIC50=5.06
CC(C)Oc1ccc(COC(=O)Nc2c(C)onc2c3c(Cl)cccc3Cl)cn1	CHEMBL1797391	pIC50=5.06
Cc1onc(c1NC(=O)OCc2ccccc2Cl)c3c(Cl)cccc3Cl	CHEMBL1797388	pIC50=5.06
COc1cccc2C(N(CCc3ccccn3)C(=O)c12)C(=O)NCc4ccc(OC(F)(F)F)cc4	CHEMBL2164040	pIC50=5.07
Cc1ccc(cc1)C(=O)NC(=N)NCCc2ccc(Cl)cc2	CHEMBL320332	pIC50=5.07
Cc1onc(c1NC(=O)NCc2c(F)cccc2Cl)c3c(Cl)cccc3Cl	CHEMBL1797400	pIC50=5.07
Cn1nccc1c2cc(ccc2c3c[nH]c4nc(ccc34)S(=O)(=O)Nc5ncns5)C(F)(F)F	CHEMBL3704417	pIC50=5.07
COc1ncc(cn1)c2cccc(OC(F)F)c2CCNC(=O)c3ccc(OCCC(F)(F)F)nc3	CHEMBL2147304	pIC50=5.1
Clc1ccc(Cl)c(c1)C(=O)NC(=N)NCCCCc2ccccc2	CHEMBL431643	pIC50=5.1
FC(F)(F)Oc1ccc(CNC(=O)C2N(CCCc3ccccn3)C(=O)c4ccccc24)cc1	CHEMBL2164357	pIC50=5.1
Fc1ccc(cc1)c2ccc3nnc(n3c2)C(F)(F)F	CHEMBL3808631	pIC50=5.1
N=C(NCCCCc1ccccc1)NC(=O)c2occc2	CHEMBL109127	pIC50=5.1
OCc1ccc(cn1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCCOCC(F)(F)F)nc4	CHEMBL2069413	pIC50=5.1
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](Cc5ccccc5)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](Cc6c[nH]c7ccccc67)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc8c[nH]cn8)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC3=O)[C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc9ccc(O)cc9)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc%10ccccc%10)C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc%11cccc%12ccccc%11%12)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]%13CCCN%13C1=O)C(C)C	CHEMBL3800588	pIC50=5.11
CN(C)S(=O)(=O)NC(=O)c1cc(Cl)c(OC2CC3CC2C4CCCC34)cc1F	CHEMBL3657921	pIC50=5.11
Cc1onc(c1NC(=O)OCc2c(F)cccc2Cl)c3c(C)cccc3C	CHEMBL1797399	pIC50=5.11
Cl.CC(N)COc1c(C)cccc1C	CHEMBL1200606	pIC50=5.11
FC(F)(F)c1cc(Cl)ccc1c2cccc3cc(ccc23)S(=O)(=O)Nc4ncns4	CHEMBL3682650	pIC50=5.11
CN(C)c1nnc2ccc(cn12)c3ccc(OC(F)(F)F)cc3	CHEMBL3809933	pIC50=5.12
Cn1cc(c2ccc(F)c(c2)C#N)c3ccc(cc13)S(=O)(=O)Nc4ncns4	CHEMBL3704422	pIC50=5.12
CCCCCCC[C@](O)(C(=O)N)c1cccc(Cl)c1	CHEMBL1958461	pIC50=5.13
COc1cc(C(F)F)c(Cl)cc1c2ncnc3cc(ccc23)S(=O)(=O)Nc4nccs4	CHEMBL3687547	pIC50=5.13
COc1cc(NC(=O)c2oc(cc2)c3ccc(Cl)cc3)cc(OC)c1	CHEMBL250699	pIC50=5.13
O=C(NS(=O)(=O)N1CCC1)c2cnc(OCC34CC5CC(CC(C5)C3)C4)c(c2)C6CC6	CHEMBL3662094	pIC50=5.13
CCc1onc(c1NC(=O)OCc2c(F)cccc2Cl)c3c(Cl)cccc3Cl	CHEMBL1797395	pIC50=5.14
CNS(=O)(=O)NC(=O)c1cc(Cl)c(Oc2cnc(OCC(C)C)c(Cl)c2)cc1F	CHEMBL3617065	pIC50=5.14
Cn1nccc1c2cc(ccc2c3cccc4CN(CCc34)S(=O)(=O)Nc5ncccn5)C(F)(F)F	CHEMBL3683232	pIC50=5.14
OC(COc1ccccc1C(F)(F)F)CN2CCC(CC2)N3Cc4ccccc4C3=O	CHEMBL3634337	pIC50=5.15
COc1cc2nnc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1C4CCN(CC4)C(C)C	CHEMBL2409409	pIC50=5.16
COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1	CHEMBL1294	pIC50=5.16
OC(COc1ccccc1C(=O)c2ccccc2)CN3CCC(CC3)c4cccc5NC(=O)COc45	CHEMBL3634322	pIC50=5.16
CC(=O)Nc1cccc(Nc2ncnc(n2)N3CCC(CC3)OCc4ccc(cc4)C(F)(F)F)c1C	CHEMBL1813042	pIC50=5.17
CCOc1cc(ccc1c2cccc3cc(ccc23)S(=O)(=O)Nc4ncns4)C(F)(F)F	CHEMBL3677858	pIC50=5.18
COc1cc(c(Cl)cc1c2ncnc3cc(ccc23)S(=O)(=O)Nc4ccncn4)c5cccc(F)c5	CHEMBL3687747	pIC50=5.18
Fc1cnc(NS(=O)(=O)N2CCc3c(C2)cccc3c4ccc(cc4C5=CCNCC5)C(F)(F)F)s1	CHEMBL3683250	pIC50=5.18
COc1cccc(c1CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)c3cnc(OC)nc3	CHEMBL2147224	pIC50=5.2
COc1cnc(cn1)c2ccccc2CCNC(=O)c3ccc(OCCC(F)(F)F)nc3	CHEMBL2147211	pIC50=5.2
COc1ncc(cn1)c2cccc(C)c2CCNC(=O)c3ccc(OCCC(F)(F)F)nc3	CHEMBL2147221	pIC50=5.2
COc1ncc(cn1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCC(F)(F)F)nc4	CHEMBL2069421	pIC50=5.2
Cc1ncc(cn1)c2ccccc2CCNC(=O)c3ccc(nc3)C(=O)NCCCC(F)(F)F	CHEMBL2147219	pIC50=5.2
FC(F)(F)CCOc1ccc(cn1)C(=O)NCCc2ccccc2c3cccnc3	CHEMBL2147213	pIC50=5.2
FC(F)Oc1cnc(cn1)c2ccccc2CCNC(=O)c3ccc(OCCC(F)(F)F)nc3	CHEMBL2147212	pIC50=5.2
OCc1cc(ccn1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCC(F)(F)F)nc4	CHEMBL2069412	pIC50=5.2
OCc1ccc(cn1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCC(F)(F)F)nc4	CHEMBL2069411	pIC50=5.2
COc1cc(ccc1COCC(O)CN2CCC(CC2)N3Cc4ccccc4C3=O)C(F)(F)F.OC(=O)\C=C\C(=O)O	CHEMBL3632695	pIC50=5.22
COc1cc2nnc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1N4CCN(C)CC4	CHEMBL1683036	pIC50=5.22
FC(F)(F)Oc1ccc(CNC(=O)C2N(CCc3ccncc3)C(=O)c4ccccc24)cc1	CHEMBL2164046	pIC50=5.22
FC(F)(F)Oc1ccc(CNC(=O)C2N([C@@H]3CC[C@H](CC3)C#N)C(=O)c4ccccc24)cc1	CHEMBL2163357	pIC50=5.22
CN(C(=O)NCc1ccc(OC2CCOCC2)nc1)c3c(C)onc3c4c(Cl)cccc4Cl	CHEMBL1797402	pIC50=5.23
Clc1ccc(cc1)c2cccc3cc(ccc23)S(=O)(=O)Nc4ncns4	CHEMBL3682645	pIC50=5.23
Fc1ccc(cc1)[C@@H]2CNCC[C@H]2COc3cc(F)c(cc3F)S(=O)(=O)Nc4ncns4	CHEMBL3325532	pIC50=5.23
CC(C)Oc1ccc(NC(=N)NC(=O)c2ccc(C)cc2)cc1	CHEMBL106351	pIC50=5.24
CCCCCCCC(O)(C(=O)N)c1cccc(Cl)c1	CHEMBL1958460	pIC50=5.24
COc1ccccc1SC[C@@H](C)CN[C@@H]2COc3ccccc3SC2	CHEMBL511058	pIC50=5.24
Cn1nccc1c2cc(ccc2c3cccc4cc(ccc34)S(=O)(=O)Nc5nccs5)C(F)(F)F	CHEMBL3682657	pIC50=5.24
CC(C)(C)OC(=O)N1CCC(=CC1)c2cc(ccc2c3cccc4CN(CCc34)S(=O)(=O)Nc5ncns5)C(F)(F)F	CHEMBL3683247	pIC50=5.25
COc1cc(ccc1OCC(O)CN2CCC(CC2)N3Cc4ccccc4C3=O)C(F)(F)F	CHEMBL3632693	pIC50=5.25
Cc1ccc(cc1)C(=O)NC(=N)NCCCOc2ccccc2	CHEMBL108782	pIC50=5.25
Cc1ccc(cc1)C(=O)NC(=N)NCCc2ccccc2	CHEMBL107354	pIC50=5.25
Nc1nc2[C@@H](CCc2s1)C(=O)Nc3ccc(C[C@@H]4CC[C@@H](N4)[C@H](O)c5ccccc5)cc3	CHEMBL3128194	pIC50=5.25
Cc1onc(c1NC(=O)OCc2c(F)cccc2Cl)c3c(Cl)cccc3Cl	CHEMBL1797387	pIC50=5.26
CC(=O)Nc1cccc(Nc2ncnc(n2)N3CCc4ccccc4C3)c1	CHEMBL1813015	pIC50=5.27
Clc1cccc(Cl)c1C(=O)NC(=N)NCCCCc2ccccc2	CHEMBL110352	pIC50=5.27
CC(=O)Nc1cccc(Nc2ncnc(n2)N3CCC(CC3)OCc4ccc(OC(F)(F)F)cc4)c1C	CHEMBL1813048	pIC50=5.28
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC3CCC(F)(F)CC3)cc1F	CHEMBL3657950	pIC50=5.28
Cc1ccc(cc1)C(=O)NC(=N)NCCCc2ccccc2	CHEMBL105997	pIC50=5.28
Fc1cc(c(F)cc1OC[C@H]2CNCC[C@@H]2c3ccc(Cl)cc3)S(=O)(=O)Nc4ncns4	CHEMBL3325526	pIC50=5.28
OC(COc1ccccc1C(=O)c2ccccc2)CN3CCC(CC3)N4C(=O)COc5ccccc45	CHEMBL3634326	pIC50=5.28
Fc1ccc2c(c1)c(OCCN3C=CNC3=O)nn2c4ccccc4F	CHEMBL3799617	pIC50=5.29
CC(C)(C)OC(=O)N1CCN(C1=O)c2cccc3c2cnn3c4ccccc4F	CHEMBL3798258	pIC50=5.3
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](N)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](Cc5ccccc5)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](Cc6c[nH]c7ccccc67)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc8cnc[nH]8)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC3=O)[C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc9ccc(O)cc9)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc%10ccccc%10)C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]%11CCCN%11C1=O)C(C)C	CHEMBL3798549	pIC50=5.3
CN1CCN(CC1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCC(F)(F)F)nc4	CHEMBL2069401	pIC50=5.3
CN1CCN(CC1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCCC(F)(F)F)nc4	CHEMBL2069402	pIC50=5.3
CN1CCN(CC1)c2cccc3OC[C@H](Cc23)NC(=O)c4nn(nc4C)c5ccccc5	CHEMBL2069403	pIC50=5.3
COc1ncc(cn1)c2cccc(Cl)c2CCNC(=O)c3ccc(OCCC(F)(F)F)nc3	CHEMBL2147223	pIC50=5.3
Cc1cc(ccc1c2cccc3cc(ccc23)S(=O)(=O)Nc4ncns4)C(F)(F)F	CHEMBL3682622	pIC50=5.3
Cc1cc(cnc1CO)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCCOCC(F)(F)F)nc4	CHEMBL2069415	pIC50=5.3
Cc1cnn2ccc(nc12)c3ccc(OC(F)(F)F)cc3	CHEMBL3808581	pIC50=5.3
Cc1ncc(cn1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCC(F)(F)F)nc4	CHEMBL2069424	pIC50=5.3
Cc1ncc(cn1)c2ccccc2CCNC(=O)c3ccc(OCCC(F)(F)F)nc3	CHEMBL2147214	pIC50=5.3
OC(COc1ccccc1C(=O)c2ccccc2)CN3CCC(CC3)NC(=O)c4ccccc4	CHEMBL3634330	pIC50=5.31
CCCCCCC[C@@](O)(C(=O)N)c1cccc(Cl)c1	CHEMBL1958462	pIC50=5.32
COc1cc(c(Cl)cc1c2ncnc3cc(ccc23)S(=O)(=O)Nc4ncns4)c5cccc(F)c5	CHEMBL3341980	pIC50=5.32
CC(C)Oc1ccc(CNC(=O)Cc2c(C)onc2c3c(Cl)cccc3Cl)cn1	CHEMBL1797409	pIC50=5.33
COc1ccsc1CNCC[C@]2(CCOC3(CCCC3)C2)c4ccccn4	CHEMBL2443262	pIC50=5.33
Cc1cccc2C(=O)N(CCc3ccccn3)C(C(=O)NCc4ccc(OC(F)(F)F)cc4)c12	CHEMBL2164369	pIC50=5.33
FC(F)(F)COc1ncccc1CNC(=O)c2cncc(c2)c3ccc(Cl)cc3	CHEMBL1270208	pIC50=5.33
Clc1ccc(cc1)c2oc(cc2)C(=O)N3CCNCC3	CHEMBL521211	pIC50=5.34
CC(C)(C)OC(=O)N1CCC(CC1)N2C(C(=O)NCc3ccc(OC(F)(F)F)cc3)c4ccccc4C2=O	CHEMBL2164374	pIC50=5.35
CC(C)c1ccccc1\N=C(\N)/NC(=O)c2ccc(C)cc2	CHEMBL105929	pIC50=5.35
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc5ccccc5)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](Cc6c[nH]c7ccccc67)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc8cnc[nH]8)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC3=O)[C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc9ccc(O)cc9)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc%10ccccc%10)C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]%11CCCN%11C1=O)C(C)C	CHEMBL3799550	pIC50=5.35
CC(C)(C)OC(=O)N1CC(C1)N2C(C(=O)NCc3ccc(OC(F)(F)F)cc3)c4ccccc4C2=O	CHEMBL2164375	pIC50=5.36
FC(F)(F)Cc1ccc(CNC(=O)C2N(CCc3ccccn3)C(=O)c4ccccc24)cc1	CHEMBL2164391	pIC50=5.36
F[C@H]1CCN(C1)C(=O)CN2CCN(CC2=O)c3cccc4c3cnn4c5ccccc5F	CHEMBL3798039	pIC50=5.36
OC(COc1cccc(c1)C(F)(F)F)CN2CCC(CC2)N3Cc4ccccc4C3=O	CHEMBL3632691	pIC50=5.36
FC(F)(F)Oc1ccc(CNC(=O)C2N(Cc3ccc(cn3)C(F)(F)F)C(=O)c4ccccc24)cc1	CHEMBL2164359	pIC50=5.37
FC(F)(F)c1ccc(c2cccc3CN(CCc23)S(=O)(=O)Nc4ncns4)c(c1)c5cccnc5	CHEMBL3683211	pIC50=5.39
N=C(NCCCCc1ccccc1)NC(=O)c2cccc3ccccc23	CHEMBL110572	pIC50=5.39
C(Cc1cccc2ccccc12)O[C@@H]3CCCC[C@H]3N4CCOCC4	CHEMBL387671	pIC50=5.4
CC(Cc1ccccn1)N2C(C(=O)NCc3ccc(OC(F)(F)F)cc3)c4ccccc4C2=O	CHEMBL2164360	pIC50=5.4
CCc1noc(CN2N=C3C=CC(=CN3C2=O)c4ccc(OC(F)(F)F)cc4)n1	CHEMBL3809561	pIC50=5.4
COc1cc2nnc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1N4CCN(CC4)C(C)C	CHEMBL2409397	pIC50=5.4
COc1ncc(cc1F)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCC(F)(F)F)nc4	CHEMBL2069410	pIC50=5.4
