CC1=C(OC2=C(C=CC=C2C1=O)C(=O)OCCN1CCCCC1)C1=CC=CC=C1	flavoxate
OCCN(CCO)c1nc(N2CCCCC2)c3nc(nc(N4CCCCC4)c3n1)N(CCO)CCO	dipyridamole	pIC50=4.3	pIC50=4.3	pIC50=4.3
Nc1nc(nc2c1nnn2CC3CCOCC3)C4CC4	CHEMBL2070602	pIC50=6.03
Cc1cn2cc(Cn3nnc4c(N)nc(nc34)C5CC5)nc2s1	CHEMBL2070927	pIC50=7.41
Cc1oc(nc1CN2C[C@@H](C[C@H](C2)c3onc(C)n3)C(=O)NC[C@@H]4CCCO4)c5ccccc5	CHEMBL1780103	pIC50=7.45
CC(c1ccc2[nH]ccc2c1)n3nnc4c(N)nc(nc34)C5CC5	CHEMBL2070920	pIC50=7.5
CN1Cc2ccccc2CC1Cn3nnc4c(N)nc(nc34)C5CC5	CHEMBL2070925	pIC50=7.5
CC[C@@H]1C[C@H](CN(Cc2nc([nH]c2C)c3ccncn3)C1)C(=O)NC[C@@H]4CCCO4	CHEMBL1780104	pIC50=7.58
CC[C@@H]1C[C@H](CN(Cc2nc([nH]c2C)c3ccncn3)C1)C(=O)NC[C@H]4CCCO4	CHEMBL1780090	pIC50=7.59
Cc1ccn2cc(Cn3nnc4c(N)nc(nc34)C5CC5)nc2c1	CHEMBL2070916	pIC50=7.59
Nc1nc(nc2c1nnn2C[C@H]3CCCO3)C4CC4	CHEMBL2070600	pIC50=7.6
Cc1ccnc(n1)N2CCCC(Cn3nnc4c(N)nc(nc34)C5CC5)C2	CHEMBL2070729	pIC50=7.64
Nc1nc(nc2c1nnn2C[C@H]3CN(Cc4ncccn4)CCO3)C5CC5	CHEMBL2070734	pIC50=7.64
CC(C)(C)OC(=O)N1CCCCC1Cn2nnc3c(N)nc(nc23)C4CC4	CHEMBL2070933	pIC50=7.67
CCc1nc(N)c2nnn(CC3CCCCO3)c2n1	CHEMBL2070773	pIC50=7.67
CC[C@@H]1C[C@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NC[C@@H]4CCCO4	CHEMBL1780102	pIC50=7.71
Cc1nc(N)c2nnn(C[C@H]3CN(Cc4cc(F)cc(F)c4)CCO3)c2n1	CHEMBL2070737	pIC50=7.72
Nc1nc(nc2c1nnn2Cc3ccc4OCCOc4c3)C5CC5	CHEMBL2070932	pIC50=7.75
Nc1nc(COc2cccc(F)c2)nc3c1nnn3CC4CCCO4	CHEMBL2070912	pIC50=7.77
Nc1nc(nc2c1nnn2CC3CCCCO3)c4cccs4	CHEMBL2070769	pIC50=7.77
Nc1nc(nc2c1nnn2Cc3ccc4OCCc4c3)C5CC5	CHEMBL2070919	pIC50=7.77
CC[C@@H]1C[C@H](CN(Cc2nc(oc2C)N3CCOCC3)C1)C(=O)NCc4cccc(N)n4	CHEMBL1780086	pIC50=7.78
CCCC[C@@H]1C[C@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NCc4cccc(C)n4	CHEMBL1779986	pIC50=7.82
Nc1nc(nc2c1nnn2CC3CCCCO3)C(F)(F)F	CHEMBL2070591	pIC50=7.85
Nc1nc(nc2c1nnn2C[C@H]3CCCO3)C(F)(F)F	CHEMBL2070592	pIC50=7.85
Cc1nc(cs1)c2nc(N)c3nnn(CC4CCCCO4)c3n2	CHEMBL2070907	pIC50=7.88
COC[C@@H]1C[C@H](CN(Cc2nc([nH]c2C)c3ccncn3)C1)C(=O)NCC4CCOCC4	CHEMBL1780087	pIC50=7.89
Nc1nc(CSc2ccccc2)nc3c1nnn3CC4CCCCO4	CHEMBL2070901	pIC50=7.92
Nc1nc(nc2c1nnn2CC3CCCCO3)C4CC4	CHEMBL2070595	pIC50=8.0
CC[C@@H]1C[C@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NCC4CCOCC4	CHEMBL1780084	pIC50=8.14
CC(=O)O[C@@H]1C[C@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NCc4cccc(C)n4	CHEMBL1779990	pIC50=8.16
CC(C)(C)c1cc(Cn2nnc3c(N)nc(nc23)C4CC4)n[nH]1	CHEMBL2070935	pIC50=8.17
Nc1nc(nc2c1nnn2Cc3cc(n[nH]3)C4CC4)C5CC5	CHEMBL2070604	pIC50=8.17
CCC[C@@H]1C[C@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NCc4cccc(C)n4	CHEMBL1779985	pIC50=8.22
CC[C@@H]1C[C@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NCc4cccc(C)n4	CHEMBL1779984	pIC50=8.22
Cc1cccc(CNC(=O)C2CN(Cc3nc(oc3C)c4ccccc4)Cc5ccccc25)n1	CHEMBL1779976	pIC50=8.3
CC[C@@H]1C[C@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NCc4cccc(N)n4	CHEMBL1780111	pIC50=8.36
COC[C@@H]1C[C@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NC[C@H]4CCCO4	CHEMBL1780105	pIC50=8.36
COC[C@H]1C[C@@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NCc4cccc(C)n4	CHEMBL1780097	pIC50=8.37
CCc1csc(CN2CCO[C@@H](Cn3nnc4c(N)nc(C)nc34)C2)n1	CHEMBL2070736	pIC50=8.38
Cc1cccc(CNC(=O)[C@@H]2C[C@H](CN(Cc3nc(oc3C)c4ccccc4)C2)c5onc(C)n5)n1	CHEMBL1780089	pIC50=8.41
Cc1cccc(CNC(=O)[C@H]2C[C@@H](CN(Cc3nc(oc3C)c4ccccc4)C2)c5onc(C)n5)n1	CHEMBL1780100	pIC50=8.41
Nc1nc(nc2c1nnn2CC3OCCc4ccccc34)C5CC5	CHEMBL2070914	pIC50=8.44
COC[C@@H]1C[C@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NCc4cccc(C)n4	CHEMBL1779988	pIC50=8.5
CC[C@@H]1C[C@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NC[C@H]4CCCO4	CHEMBL1780116	pIC50=8.54
COC[C@@H]1C[C@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NCC4CCOCC4	CHEMBL1780085	pIC50=8.71
Nc1nc(nc2c1nnn2C[C@H]3CN(Cc4ccccn4)CCO3)C(F)(F)F	CHEMBL2070732	pIC50=8.8
Cc1nc(N)c2nnn(C[C@H]3CN(Cc4nccs4)CCO3)c2n1	CHEMBL2070735	pIC50=8.89
CC[C@H]1C[C@@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NCc4cccc(C)n4	CHEMBL1780096	pIC50=9.02
Cc1cccc(CNC(=O)[C@@H]2C[C@H](CN(Cc3nc(oc3C)c4ccccc4)C2)c5ccccc5)n1	CHEMBL1779987	pIC50=9.05
Nc1nc(nc2c1nnn2C[C@H]3CN(Cc4nccs4)CCO3)C5CC5	CHEMBL2070733	pIC50=9.05
Cc1oc(nc1CN2C[C@@H](C[C@H](C2)c3ccccc3)C(=O)NCc4cccc(N)n4)c5ccccc5	CHEMBL1780094	pIC50=9.92
