Cc1c(Cl)sc2ncnc(SCC(=O)O)c12	CHEMBL3774802	pEC50=6.05
CCCc1sc2ncnc(SCC(=O)O)c2c1Cl	CHEMBL3775257	pEC50=7.06
COc1ccc2c(CCc3cc(sc23)C(=O)O)c1C#N	CHEMBL3759035	pEC50=7.06
OC(=O)c1cc2CCc3c(cccc3c2s1)C#N	CHEMBL3759635	pEC50=7.09
OC(=O)c1cc2CSc3c(F)ccc(F)c3c2s1	CHEMBL3758520	pEC50=7.1
OC(=O)c1cc2COc3c(cc(F)cc3c2s1)C#N	CHEMBL3759406	pEC50=7.13
OC(=O)c1cc2CCc3c(Cl)c(F)ccc3c2s1	CHEMBL3759700	pEC50=7.14
OC(=O)c1cc2CCc3c(C#N)c(F)ccc3c2s1	CHEMBL3759044	pEC50=7.16
OC(=O)c1cc2COc3cc(F)c(F)c(F)c3c2s1	CHEMBL3759995	pEC50=7.17
Cc1ccc2c(CCc3cc(sc23)C(=O)O)c1C#N	CHEMBL3758279	pEC50=7.21
OC(=O)c1cc2CCc3c(F)c(F)ccc3c2s1	CHEMBL3759908	pEC50=7.22
OC(=O)c1cc2COc3c(F)cc(Cl)cc3c2s1	CHEMBL3758326	pEC50=7.23
OC(=O)c1cc2COc3cc(Cl)c(F)cc3c2s1	CHEMBL3760065	pEC50=7.25
OC(=O)c1cc2COc3c(Cl)c(Cl)ccc3c2s1	CHEMBL3758201	pEC50=7.38
CC1Cc2ccccc2c3sc(cc13)C(=O)N	CHEMBL3759323	pEC50=7.4
Cc1cc(Cl)c2CCc3cc(sc3c2c1)C(=O)O	CHEMBL3759576	pEC50=7.44
Cc1cc(F)c2OCc3cc(sc3c2c1)C(=O)O	CHEMBL3759117	pEC50=7.46
OC(=O)c1cc2COc3c(Cl)cc(F)cc3c2s1	CHEMBL3759027	pEC50=7.46
OC(=O)c1cc2CCc3c(Cl)cc(Cl)cc3c2s1	CHEMBL3760106	pEC50=7.47
COc1ccc2c(CCc3cc(sc23)C(=O)O)c1Cl	CHEMBL3758668	pEC50=7.52
OC(=O)c1cc2CCc3c(Cl)cc(F)cc3c2s1	CHEMBL3760062	pEC50=7.6
Cc1cc(F)c2CCc3cc(sc3c2c1)C(=O)O	CHEMBL3759274	pEC50=7.64
OC(=O)CSc1ncnc2c(C3CC3)c(Cl)sc12	CHEMBL3774760	pEC50=7.68
OC(=O)c1cc2CCc3c(Cl)c(Cl)ccc3c2s1	CHEMBL3758560	pEC50=7.68
OC(=O)c1cc2CSc3c(F)c(F)c(F)cc3c2s1	CHEMBL3758291	pEC50=7.7
OC(=O)c1cc2CSc3c(F)cc(F)cc3c2s1	CHEMBL3760048	pEC50=7.7
NC(=O)c1cc2CCCc3ccccc3c2s1	CHEMBL3759297	pEC50=7.72
CC1Cc2cc(sc2c3ccccc13)C(=O)N	CHEMBL3758280	pEC50=7.8
CC1(C)Cc2cc(sc2c3ccccc13)C(=O)N	CHEMBL3758963	pEC50=7.82
NC(=O)c1cc2CCOc3ccccc3c2s1	CHEMBL3758275	pEC50=7.82
OC(=O)CSc1ncnc2c(C3CC3)c(sc12)C(F)(F)F	CHEMBL3774864	pEC50=7.92
NC(=O)c1cc2CCc3ccccc3c2s1	CHEMBL3759069	pEC50=8.05
Cc1cc(F)c2CCc3cc(sc3c2c1F)C(=O)O	CHEMBL3759074	pEC50=8.1
