NC(N)=N	guanidine
COC1=C(OC)C=C(CCO[C@@H]2CCCC[C@H]2N2CC[C@@H](O)C2)C=C1	vernakalant	pIC50=4.87451887	pIC50=4.87451887	pIC50=4.87451887
NC1=CC=NC=C1	fampridine
NC1=CC=NC=C1N	amifampridine
Fc1ccc(CN(C[C@@H]2CCC(=O)N2)S(=O)(=O)c3cccc(F)c3)cc1	CHEMBL3127410	pIC50=5.14
COC(=O)NCc1ccccc1c2ccccc2C(=O)NCCC(C)C	CHEMBL146772	pIC50=5.15
Cc1ccc(cc1)C(=O)N2CCN(CCOc3ccccc3)CC2	CHEMBL3262810	pIC50=5.15
OC(Cc1ccccc1)(c2cccnc2)c3cccnc3	CHEMBL1088805	pIC50=5.15
CC(C)CCNC(=O)c1ccccc1c2ccncc2CNC(=O)OCc3ccccc3	CHEMBL358048	pIC50=5.16
CC[C@H](NC(=O)c1ccccc1NS(=O)(=O)c2ccccc2)c3ccccc3	CHEMBL316891	pIC50=5.16
COC(=O)CC(C(C(=O)N(C(C)C)C(C)C)c1ccccn1)c2ccccc2	CHEMBL216309	pIC50=5.16
Cc1ccc(cc1)S(=O)(=O)Nc2ccccc2C(=O)NCCc3ccccc3	CHEMBL314328	pIC50=5.17
CC[C@H](NC(=O)c1cc(F)ccc1NS(=O)(=O)c2ccc(Cl)cc2)c3ccccc3	CHEMBL418972	pIC50=5.19
COC(=O)C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(F)cc3	CHEMBL2440389	pIC50=5.19
FC(F)(F)Oc1ccc(OCCN2CCN(CC2)C(=O)c3cccs3)cc1	CHEMBL3262801	pIC50=5.19
COC(=O)CC(C(C(=O)N(C(C)C)C(C)C)c1ccccc1)c2ccccn2	CHEMBL385460	pIC50=5.2
CCCCOc1ccc(cc1)S(=O)(=O)NCCc2cn(CC(=O)Nc3ccc(OC)cc3)c4ccccc24	CHEMBL2440121	pIC50=5.21
CC[C@H](NC(=O)c1ccccc1NS(=O)(=O)c2ccc(cc2)C(F)(F)F)c3ccccc3	CHEMBL420266	pIC50=5.21
CC(C)(C)NC(=O)C1N(Cc2ccccc2c3ccc(F)cc3)C(=O)c4ccccc14	CHEMBL3786303	pIC50=5.22
CC(C)(CNC(=O)C1CCCCN1)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1290171	pIC50=5.22
CC(N1C(C(=O)NCc2ccccc2)c3ccccc3C1=O)c4ccccc4	CHEMBL3786255	pIC50=5.22
COC(=O)C1=C(C)NC(C)=C(C1C1=C(C=CC=C1)[N+]([O-])=O)C(=O)OC	nifedipine	pIC50=5.22
O=C1CCN(C1)[C@@H]2CCCC[C@H]2OCCc3cccc4ccccc34	CHEMBL229125	pIC50=5.23
Clc1ccc(cc1)S(=O)(=O)Nc2ccc(Cl)cc2C(=O)NCc3ccccc3	CHEMBL97682	pIC50=5.25
COC(=O)C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(OC)cc3	CHEMBL2440408	pIC50=5.26
COc1ccc(cc1)C(=O)N2CCN(CCOc3ccc(Cl)cc3)CC2	CHEMBL3262809	pIC50=5.26
COC(=O)CC(C(C(=O)N(C(C)C)C(C)C)c1ccccc1)c2ccncc2	CHEMBL216255	pIC50=5.27
Clc1ccc(OCCN2CCN(CC(=O)Nc3nccs3)CC2)cc1	CHEMBL3262837	pIC50=5.29
CCN(Cc1ccccc1)C(=O)c2ccccc2NS(=O)(=O)c3ccc(C)cc3	CHEMBL328905	pIC50=5.3
Cc1ccc(NC(=O)CN2CCN(CCOc3ccc(Cl)cc3)CC2)cc1	CHEMBL3262823	pIC50=5.3
OC(C(Cc1ccccc1)N2CCOCC2)(c3cccnc3)c4cccnc4	CHEMBL1091880	pIC50=5.31
Fc1ccc(CN(Cc2ccccc2)S(=O)(=O)c3ccccc3F)cc1	CHEMBL3127406	pIC50=5.32
NC(=O)[C@H](Cc1ccccc1)NC(=O)c2ccccc2c3ccccc3CNS(=O)(=O)c4cccc(c4)C(F)(F)F	CHEMBL144117	pIC50=5.32
COC(=O)C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(C)cc3	CHEMBL2440409	pIC50=5.33
CC(C)CCNC(=O)c1ccccc1c2ccccc2CNC(=O)Nc3ccccc3	CHEMBL342350	pIC50=5.35
Cc1c(NS(=O)(=O)C)ccc2C(N(Cc3ccccc3c4ccccc4)C(=O)c12)C(=O)NC(C)(C)C	CHEMBL3787412	pIC50=5.35
Cc1ccc(NC(=O)CN2CCN(CCOc3ccc(cc3)C#N)CC2)cc1	CHEMBL3262822	pIC50=5.35
Cc1ccc(cc1)C(=O)N2CCN(CCOc3ccc(Cl)cc3)CC2	CHEMBL3262811	pIC50=5.35
Clc1ccc(OCCN2CCN(CC(=O)Nc3ccccc3)CC2)cc1	CHEMBL3262816	pIC50=5.36
Clc1cccc(CN(C[C@@H]2CCC(=O)N2)S(=O)(=O)c3cccc(c3)C#N)c1	CHEMBL3127402	pIC50=5.37
O=C(N1CCN(CCOc2ccc(cc2)C#N)CC1)c3ccccc3	CHEMBL3262806	pIC50=5.37
CC(C)CCNC(=O)c1ccccc1c2ccccc2CNC(=O)c3ccccc3	CHEMBL359386	pIC50=5.39
Cc1ccc(cc1)S(=O)(=O)Nc2ccccc2C(=O)NCc3ccccc3	CHEMBL94764	pIC50=5.39
Fc1ccc(CN(C[C@@H]2CCC(=O)N2)S(=O)(=O)c3ccc(F)cc3)cc1	CHEMBL3127408	pIC50=5.39
Fc1ccc(c(NP(=O)(c2ccccc2)c3ccccc3)c1)n4cccn4	CHEMBL2312923	pIC50=5.39
CC(C)CCNC(=O)c1ccccc1c2ccccc2CNCCc3ccccc3	CHEMBL148211	pIC50=5.4
Clc1ccc(OCCN2CCN(CC2)C(=O)c3ccccc3)cc1	CHEMBL3262805	pIC50=5.4
COC(=O)C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(OC(C)C)cc3	CHEMBL2440405	pIC50=5.41
CC[C@H](NC(=O)c1cc(ccc1NS(=O)(=O)c2ccc(C)cc2)C(=O)C)c3ccccc3	CHEMBL327334	pIC50=5.42
COC(=O)CC(C(C(=O)N(C(C)C)C(C)C)c1ccccn1)c2cccnc2	CHEMBL386899	pIC50=5.42
COC(=O)C[C@@H]([C@H](C(=O)N(C(C)C)C(C)C)c1cccnc1)c2ccccc2	CHEMBL385676	pIC50=5.43
COc1ccc2c(c1)c(\C=N\NS(=O)(=O)c3ccc(C)cc3)cn2CC(=O)Nc4ccccc4	CHEMBL2440386	pIC50=5.43
Clc1ccc(CCO[C@@H]2CCCC[C@H]2N3CCOCC3)cc1Cl	CHEMBL387935	pIC50=5.44
COC(=O)C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(OCC(C)C)cc3	CHEMBL2440406	pIC50=5.45
Clc1ccc(OCCN2CCN(CC(=O)Nc3ccccc3Cl)CC2)cc1	CHEMBL3262825	pIC50=5.45
CC(C)CCNC(=O)c1ccccc1c2ccccc2CNC(=O)OC(C)(C)C	CHEMBL148258	pIC50=5.46
CC[C@H](NC(=O)c1ccccc1NS(=O)(=O)c2cccc3ccccc23)c4ccccc4	CHEMBL94826	pIC50=5.46
Cc1c(O)ccc2C(N(Cc3ccccc3c4ccc(F)c(F)c4)C(=O)c12)C(=O)NC(C)(C)C	CHEMBL3785370	pIC50=5.46
O=C1Oc2cc3occc3c(OCCCCOc4ccccc4)c2C=C1	CHEMBL444449	pIC50=5.46
CC(C)(C)NC(=O)C1N(Cc2ccccc2c3ccccc3)C(=O)c4ccccc14	CHEMBL3786542	pIC50=5.47
CC(C)N(C(C)C)C(=O)C(C(CC(=O)NCC1CN(CCO1)c2ccccc2)c3ccccc3)c4cccnc4	CHEMBL385920	pIC50=5.47
CCCCCCC(N1CCOCC1)C(O)(c2cccnc2)c3cccnc3	CHEMBL1088804	pIC50=5.47
Cc1c(O)ccc2C(N(Cc3ccccc3c4ccccc4)C(=O)c12)C(=O)NC(C)(C)C	CHEMBL3785865	pIC50=5.47
Clc1ccccc1OCCN2CCN(CC(=O)Nc3nccs3)CC2	CHEMBL3262835	pIC50=5.47
CC(C)(C)NC(=O)C1N(Cc2ccccc2c3ccccc3)C(=O)c4ccc(cc14)C#N	CHEMBL3786868	pIC50=5.48
CC(C)CCNC(=O)c1ccccc1c2ccccc2CNC(=O)Oc3ccccc3	CHEMBL144106	pIC50=5.48
CC(C)C(N1CCOCC1)C(O)(c2ccccc2)c3ccccc3	CHEMBL1090793	pIC50=5.49
CC(NC(=O)c1ccccc1NS(=O)(=O)c2ccc(C)cc2)c3ccccc3	CHEMBL97646	pIC50=5.5
COc1ccc(cc1)S(=O)(=O)NCCc2cn(CC(=O)Nc3ccc(Cl)cc3)c4ccccc24	CHEMBL2440396	pIC50=5.5
CCCS(=O)(=O)Nc1ccccc1C(=O)N[C@@H](CC)c2ccccc2	CHEMBL97828	pIC50=5.51
CC(C)(C)NC(=O)C1N(Cc2ccccc2c3ccccc3)C(=O)c4cccc(O)c14	CHEMBL3787356	pIC50=5.52
COc1ccc(cc1)S(=O)(=O)N[C@H]2[C@H](O)CCc3ccc(NC(=O)c4cccc(OC)c4)cc23	CHEMBL468943	pIC50=5.52
CCCCC(N1CCOCC1)C(O)(c2cccnc2)c3cccnc3	CHEMBL1088803	pIC50=5.54
CN1CCCCC1C(=O)NCC(C)(C)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1290172	pIC50=5.54
CC(C)CCNS(=O)(=O)c1cc(C(=O)NC2CCc3ccccc23)c(Cl)cc1Cl	CHEMBL97079	pIC50=5.55
CCN1[C@H](CN(Cc2ccc(F)cc2)S(=O)(=O)c3cccc(c3)C#N)CCC1=O	CHEMBL3127399	pIC50=5.55
CC[C@@H](NC(=O)c1ccccc1NS(=O)(=O)c2ccc(C)cc2)c3ccccc3	CHEMBL96144	pIC50=5.57
CNC(=O)CC(C(C(=O)N(C(C)C)C(C)C)c1cccnc1)c2ccccc2	CHEMBL217473	pIC50=5.57
Cc1c(O)ccc2C(N(Cc3ccccc3c4ccc(F)cc4)C(=O)c12)C(=O)NC(C)(C)C	CHEMBL3786775	pIC50=5.57
Fc1ccc(CN(CC[C@@H]2CCC(=O)N2)S(=O)(=O)c3cccc(c3)C#N)cc1	CHEMBL3127397	pIC50=5.57
O=P(NCc1cccnc1c2cccnc2)(c3ccccc3)c4ccccc4	CHEMBL2312932	pIC50=5.57
CC(C)(CNC(=O)C1(N)CCCC1)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1289638	pIC50=5.58
COc1ccc(NC(=O)CN2CCN(CCOc3ccc(Cl)cc3)CC2)cc1	CHEMBL3262820	pIC50=5.58
CC(C)CCNC(=O)c1ccccc1c2ccccc2CNS(=O)(=O)c3ccccc3	CHEMBL147971	pIC50=5.59
CC(C)CCNC(=O)c1ncccc1c2ccccc2CNC(=O)OCc3ccccc3	CHEMBL144170	pIC50=5.59
Fc1ccc(CN(C[C@@H]2CCC(=O)N2)S(=O)(=O)c3cccc(c3)C#N)cc1	CHEMBL3127416	pIC50=5.59
COC(=O)C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(OC4CCCC4)cc3	CHEMBL2440407	pIC50=5.62
C[C@@H](OC(=O)NCc1ccccc1c2ccccc2C(=O)NCCc3ccccn3)c4ccccc4	CHEMBL146771	pIC50=5.62
Cl.CCCCN(CCCC)CCCOc1ccc(cc1)C(=O)c2c(CCCC)oc3ccc(NS(=O)(=O)C)cc23	CHEMBL1201729	pIC50=5.63
FC(F)(F)Oc1ccc(OCCN2CCN(CC(=O)Nc3nccs3)CC2)cc1	CHEMBL3262833	pIC50=5.64
O=P(NCc1ccccc1c2cccnc2)(c3ccccc3)c4ccccc4	CHEMBL2312924	pIC50=5.64
CNC(=O)NCC(C)(C)CN(C1=NS(=O)(=O)c2cc(F)ccc12)c3ccccc3	CHEMBL1290738	pIC50=5.65
COC(=O)C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(Br)cc3	CHEMBL2440410	pIC50=5.65
OC(C(N1CCC1)c2ccccc2)(c3cccnc3)c4cccnc4	CHEMBL1090818	pIC50=5.65
CN(C)CC(C)(C)CNC(=O)c1ccccc1c2ccccc2CNC(=O)OCc3ccccc3	CHEMBL147962	pIC50=5.66
COc1ccc2C(N(Cc3ccccc3c4ccccc4)C(=O)c2c1C)C(=O)NC(C)(C)C	CHEMBL3785621	pIC50=5.66
COc1ccc2c(c1)c(\C=N\NS(=O)(=O)c3ccc(C)cc3)cn2CC(=O)Nc4ccc(F)cc4F	CHEMBL2440388	pIC50=5.66
Cc1ccc(cc1)S(=O)(=O)Nc2ccccc2C(=O)N(Cc3cccnc3)Cc4cccnc4	CHEMBL316494	pIC50=5.66
Clc1ccc(CN(C[C@@H]2CCC(=O)N2)S(=O)(=O)c3cccc(c3)C#N)cc1	CHEMBL3127401	pIC50=5.66
NC(=O)c1ccc(cc1)N(Cc2ccc(F)cc2)S(=O)(=O)c3ccccc3F	CHEMBL3127405	pIC50=5.66
CC(C)C(N1CCOCC1)C(O)(c2cccnc2)c3cccnc3	CHEMBL1091879	pIC50=5.67
CCC(=O)Oc1ccc(NC(=O)Cn2cc(\C=N\NS(=O)(=O)c3ccc(C)cc3)c4ccccc24)cc1	CHEMBL2440385	pIC50=5.67
CC1=C(C(c2ccc(Cl)c(Cl)c2)n3nccc3N1)C(=O)N4CCCC4c5ccc(F)cc5	CHEMBL605576	pIC50=5.68
CCN(Cc1ccccc1OC)C(=O)c2cnc3OC(C)(C)[C@@H](O)[C@H](NS(=O)(=O)c4ccc(CC)cc4)c3c2	CHEMBL258718	pIC50=5.68
CC(C)(C)NC(=O)C1N(Cc2cc(F)ccc2c3ccc(F)cc3)C(=O)c4ccccc14	CHEMBL3785765	pIC50=5.7
CC(C)(CNC(=O)C1(O)CCOCC1)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1290063	pIC50=5.7
CC(C)(CNC(=O)C1COCCN1)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1290398	pIC50=5.7
COc1ccc(cc1)S(=O)(=O)N(Cc2ccccc2)[C@H]3CCCC[C@@H]3O	CHEMBL3127395	pIC50=5.7
COc1cccc(c1)S(=O)(=O)N(C[C@@H]2CCC(=O)N2)Cc3ccc(F)cc3	CHEMBL3127413	pIC50=5.7
Fc1ccc(CN(Cc2ccccn2)S(=O)(=O)c3ccc(F)cc3)cc1	CHEMBL3127407	pIC50=5.7
Cc1ccc(cc1)S(=O)(=O)N\N=C\c2cn(CC(=O)Nc3ccc(Cl)cc3)c4ccccc24	CHEMBL2440382	pIC50=5.72
Cc1ccc(cc1)S(=O)(=O)Nc2ccccc2C(=O)N(CC3CC3)Cc4ccccc4	CHEMBL95335	pIC50=5.72
O=P(N(CCCC#N)c1cccnc1)(c2ccccc2)c3ccccc3	CHEMBL2313228	pIC50=5.72
COC(=O)CC(C(C(=O)N(C(C)C)C(C)C)c1cccnc1)c2ccccc2C#N	CHEMBL436956	pIC50=5.75
Cc1ccc(cc1)S(=O)(=O)N\N=C\c2cn(CC(=O)Nc3cc(C)ccc3C)c4ccccc24	CHEMBL2440400	pIC50=5.75
COc1ccc(NC(=O)Cn2cc(CCNS(=O)(=O)c3ccc(OC)cc3)c4ccccc24)cc1	CHEMBL2440395	pIC50=5.76
C1CCN(CC1)[C@@H]([C@H](N2CCCCC2)c3ccccc3)c4ccccc4	CHEMBL2152523	pIC50=5.77
CC(C)(C)NC(=O)C1N(Cc2ccc(F)cc2c3ccccc3)C(=O)c4ccccc14	CHEMBL3785335	pIC50=5.77
CC[C@H](NC(=O)c1ccccc1NS(=O)(=O)CCC(C)C)c2ccccc2	CHEMBL96965	pIC50=5.77
Cc1c(OCF)ccc2C(N(Cc3ccccc3c4ccccc4)C(=O)c12)C(=O)NC(C)(C)C	CHEMBL3786683	pIC50=5.77
Cc1cccc(CNC(=O)OCc2ccccc2)c1c3c(C)cccc3C(=O)NCCc4ccccn4	CHEMBL148210	pIC50=5.77
CC(C)(C)NC(=O)C1N(Cc2cc(F)ccc2c3ccccc3)C(=O)c4ccccc14	CHEMBL3787088	pIC50=5.8
CC(C)N(C(C)C)C(=O)C(C(CC(=O)NCCSC(C)(C)C)c1ccccc1)c2cccnc2	CHEMBL216338	pIC50=5.8
Cc1ccc(cc1)S(=O)(=O)Nc2ccccc2C(=O)NC(C3CC3)c4ccccc4	CHEMBL319775	pIC50=5.8
O=P(N(c1cccnc1)c2cccnc2)(c3ccccc3)c4ccccc4	CHEMBL2313225	pIC50=5.8
CCN(Cc1ccc(C)cc1)C(=O)c2cnc3OC(C)(C)[C@@H](O)[C@H](NS(=O)(=O)c4ccc(CC)cc4)c3c2	CHEMBL258719	pIC50=5.81
CC(C)(C)NC(=O)C1N(Cc2ccccc2c3ccc(F)c(F)c3)C(=O)c4ccccc14	CHEMBL3786460	pIC50=5.82
Cc1ccc(OCCN2CCN(CC2)C(=O)c3cccs3)cc1	CHEMBL3262798	pIC50=5.82
Cc1ccc(cc1)S(=O)(=O)N\N=C\c2cn(CC(=O)Nc3ccc(OC(F)(F)F)cc3)c4ccccc24	CHEMBL2440403	pIC50=5.82
FC(F)(F)Oc1ccc(CNC(=O)C2N(CCc3ccccn3)C(=O)c4ccccc24)cc1	CHEMBL2164389	pIC50=5.82
Clc1ccc(OCCN2CCN(CC2)C(=O)c3cccs3)c(Cl)c1	CHEMBL3262803	pIC50=5.83
CC(C)(C)NC(=O)C1N(Cc2ccc(F)cc2c3ccc(F)cc3)C(=O)c4ccccc14	CHEMBL3786519	pIC50=5.85
Cn1cccc1CC(=O)NCC(C)(C)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1290064	pIC50=5.86
CC(C)(CNC(=O)C1(O)CC1)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1289069	pIC50=5.87
CC(C)(CNC(=O)c1cc[nH]c1)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1289071	pIC50=5.88
CC(C)N(C(C)C)C(=O)C(C(CNC(=O)C(N)Cc1ccccc1F)c2ccccc2)c3cccnc3	CHEMBL216262	pIC50=5.88
C(Cc1cccc2ccccc12)O[C@@H]3CCCC[C@H]3N4CCOCC4	CHEMBL387671	pIC50=5.89
CC(C)CCNC(=O)c1cccc(C)c1c2c(C)cccc2CNC(=O)OCc3ccccc3	CHEMBL147039	pIC50=5.89
Cl.Cl.CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(OCCCN(CCN3C=Cc4ccoc4C3=O)Cc5ccncc5)ccc12	CHEMBL3729985	pIC50=5.89
O=P(N(Cc1ccccn1)Cc2ccccn2)(c3ccccc3)c4ccccc4	CHEMBL2313229	pIC50=5.89
Cc1ccccc1OCCN2CCN(CC(=O)Nc3nccs3)CC2	CHEMBL3259850	pIC50=5.91
CC(C)(CN1C(C(=O)NCC(F)F)c2ccccc2C1=O)c3ccc(F)cc3	CHEMBL3785427	pIC50=5.92
CC(CN1C(C(=O)NCC(F)F)c2ccccc2C1=O)c3ccc(Cl)cc3	CHEMBL3787444	pIC50=5.92
CCCCNC(=O)C1N(CC(C)(O)c2ccc(Cl)cc2)C(=O)c3ccccc13	CHEMBL3785721	pIC50=5.92
COc1ccc(CC(=O)NCc2ccccc2c3ccccc3C(=O)NCc4ccc(F)cc4F)cc1	CHEMBL148342	pIC50=5.92
Cc1c(OC(F)F)ccc2C(N(Cc3ccccc3c4ccccc4)C(=O)c12)C(=O)NC(C)(C)C	CHEMBL3785810	pIC50=5.92
Cc1ccc(cc1)S(=O)(=O)Nc2ccccc2C(=O)N(Cc3occc3)Cc4nccn4C	CHEMBL98180	pIC50=5.92
Fc1ccc(CNC(=O)c2ccccc2c3ccccc3CNC(=O)OCc4ccccc4)c(F)c1	CHEMBL147315	pIC50=5.92
CC(=O)NCC(C)(C)CN(C1=NS(=O)(=O)c2cc(F)ccc12)c3ccccc3	CHEMBL1290619	pIC50=5.93
CCCCNC(=O)C1N(CC(C)c2ccc(Cl)cc2)C(=O)c3ccccc13	CHEMBL3785486	pIC50=5.96
CCOC(=O)C1=C(C)Nc2ccnn2C1c3cccc(Cl)c3Cl	CHEMBL481187	pIC50=5.96
Cl.CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(OCCCN(CCc3cccnc3)C(=O)c4ccccc4)ccc12	CHEMBL3729665	pIC50=5.96
CC(C)(CN1C(C(=O)NCCCF)c2ccccc2C1=O)c3ccc(Cl)cc3	CHEMBL3785768	pIC50=6.0
CCCN(c1cncnc1)P(=O)(c2ccccc2)c3ccccc3	CHEMBL2313230	pIC50=6.0
C[C@@H](CC(=O)NCc1ccccc1c2ccccc2C(=O)NCCc3ccccn3)c4ccccc4	CHEMBL144107	pIC50=6.0
CC1=C(C(c2ccc(Cl)c(Cl)c2)n3nccc3N1)C(=O)N4CCC4	CHEMBL518717	pIC50=6.01
CC1=C(C(c2ccc(Cl)c(Cl)c2)n3nccc3N1)c4nc5ccc(C)cc5n4C	CHEMBL569493	pIC50=6.01
Cl.CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(OCCCN(CCc3cccnc3)S(=O)(=O)c4ccccc4)ccc12	CHEMBL3727860	pIC50=6.01
O=C(CN1CCN(CCOc2ccc(cc2)C#N)CC1)Nc3nccs3	CHEMBL3262836	pIC50=6.01
CC(C)(CNC(=O)C1CCOCC1(C)C)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1289968	pIC50=6.02
CCCN(c1cccc(c1)S(=O)(=O)C)P(=O)(c2ccccc2)c3ccccc3	CHEMBL2312921	pIC50=6.03
CCN(C(=O)c1cnc2OC(C)(C)[C@@H](O)[C@H](NS(=O)(=O)c3ccc(CC)cc3)c2c1)c4cc(F)ccc4F	CHEMBL258802	pIC50=6.04
CC(C)(CNC(=O)c1cocn1)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1290739	pIC50=6.05
CCCCNC(=O)C1N(CC(C)c2ccc(F)cc2)C(=O)c3ccccc13	CHEMBL3785933	pIC50=6.05
COc1ccc(CCN2C(SCC2=O)c3ccc(C)c(C)c3)cc1	CHEMBL289939	pIC50=6.05
COc1ccc(CCN2[C@H](CN(NS(=O)(=O)CF)C2=O)c3ccc(OC)cc3)cc1	CHEMBL571039	pIC50=6.05
CCc1ccc(cc1)S(=O)(=O)N[C@H]2[C@H](O)Cc3cccc(NC(=O)c4cccc(OC)c4)c23	CHEMBL391488	pIC50=6.06
CN(C)C(c1ccccc1)C(O)(c2cccnc2)c3cccnc3	CHEMBL1090817	pIC50=6.07
CC(C)(CNC(=O)C1CCCO1)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1289744	pIC50=6.08
CC1=C(C(c2cc(Cl)ccc2Cl)n3nccc3N1)C(=O)N4CCN(CC4)c5ccc(F)cc5	CHEMBL464068	pIC50=6.09
CN1[C@H](CN(Cc2ccc(F)cc2)S(=O)(=O)c3cccc(c3)C#N)CCC1=O	CHEMBL3127398	pIC50=6.09
Cc1ccc(cc1)S(=O)(=O)N\N=C\c2cn(CC(=O)Nc3ccccc3)c4ccccc24	CHEMBL2440398	pIC50=6.09
CC(C)(CNC(=O)C1(N)CC1)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1289298	pIC50=6.1
CC(C)CCNC(=O)c1ccccc1c2ccccc2CNC(=O)OCc3ccccc3	CHEMBL147381	pIC50=6.1
