Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4(CC4)c5ccc(Cl)cc5)ncc23	CHEMBL3654736	pIC50=7.53
COCc1cccc(c1)c2cnc3ccc(NC(=O)N[C@H](C)CCCc4ccccc4)nc3n2	CHEMBL3671128	pIC50=7.62
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]([C@@H]4CCCO4)c5ccccc5)ncc23	CHEMBL3663007	pIC50=7.62
OCC(NC(=O)c1cc(c[nH]1)c2[nH]ncc2c3cccc(Cl)c3)c4cccc(F)c4	CHEMBL219849	pKi=7.62
OCC(NC(=O)c1ccc2[nH]nc(c3ccncc3)c2c1)c4cccc(Cl)c4	CHEMBL3800134	pIC50=7.62
COC[C@H](NC(=O)Nc1cc2[nH]nc(c3ccc(F)cc3)c2cn1)c4ccccn4	CHEMBL3658848	pIC50=7.63
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCOC(C)(C)C4)ncc23	CHEMBL3654823	pIC50=7.63
Cc1onc(c1)c2n[nH]c3cc(NC(=O)N[C@H](COCC4CC4)c5ccccc5)ncc23	CHEMBL3663136	pIC50=7.63
Fc1ccc(CNC(=O)Nc2cc3[nH]nc(C4CC4)c3cn2)cc1	CHEMBL3654770	pIC50=7.63
CC(O)c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12	CHEMBL3663067	pIC50=7.64
CC[C@@H](NC(=O)N1CCc2cnc(N[C@@H](C)CO)nc2C1)c3ccc(Cl)c(Cl)c3	CHEMBL3298310	pIC50=7.64
COc1ccc(cc1)N2C(=O)\C(=C\c3ccc(OCC(=O)Nc4ccccc4)cc3)\N=C2c5ccccc5	CHEMBL3577636	pIC50=7.64
COc1ccc(cc1)N2C(=O)\C(=C\c3ccc(OCC(=O)Nc4ccccc4C)cc3)\N=C2c5ccccc5	CHEMBL3577637	pIC50=7.64
C[C@@H](NC(=O)N1CCc2cnc(Nc3ccnc(C)c3)nc2C1)c4ccc(Cl)c(Cl)c4	CHEMBL3298418	pIC50=7.64
CC(NC(=O)c1ccc2[nH]nc(c3cc(F)c(O)c(F)c3)c2c1)c4cccc(Cl)c4	CHEMBL3798692	pIC50=7.65
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cn5c(C)cccc5n4)ncc23	CHEMBL3658756	pIC50=7.65
Cc1ccc2nc(CNC(=O)Nc3cc4[nH]nc(c5ccnc(C)c5)c4cn3)cn2c1	CHEMBL3658755	pIC50=7.65
Clc1cc(CNC(=O)c2ccc3[nH]nc(c4ccncc4)c3c2)ccn1	CHEMBL3799614	pIC50=7.65
CC1=NOC(C)(CNC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)C1	CHEMBL3654819	pIC50=7.66
C[C@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccncc4	CHEMBL3654861	pIC50=7.66
FC(F)(F)c1cnc(NC2CCOCC2)nc1Nc3ccccc3NC(=O)C=C	CHEMBL3590121	pIC50=7.66
OCC(NC(=O)c1cc(c[nH]1)c2[nH]ncc2c3cccc(Cl)c3)c4ccc(F)c(F)c4	CHEMBL219790	pKi=7.66
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(F)F)c2cn1)c3ccc(F)cc3	CHEMBL3663107	pIC50=7.67
FC(F)c1n[nH]c2cc(NC(=O)N[C@H](COCC3CC3)c4ccccc4)ncc12	CHEMBL3663130	pIC50=7.67
COc1ccc(cc1)N2C(=O)\C(=C\c3ccc(OCC(=O)Nc4cccc(OC)c4)cc3)\N=C2c5ccccc5	CHEMBL3577641	pIC50=7.68
C[C@@H](CO)Nc1ncc2CCN(Cc2n1)C(=O)N[C@H](C)c3ccc(Cl)c(Cl)c3	CHEMBL3298308	pIC50=7.68
C[C@@H](NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1)c4ccc5cc[nH]c5c4	CHEMBL3298983	pIC50=7.68
COC[C@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(F)c3)c2cn1)c4ccccc4	CHEMBL3663052	pIC50=7.69
CCNc1ncc2CCN(Cc2n1)C(=O)N[C@H](CO)c3ccc(F)c(Cl)c3	CHEMBL3298305	pIC50=7.7
COC[C@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccn4	CHEMBL3658779	pIC50=7.7
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCCN4CCC(C4)c5ccccc5)ncc23	CHEMBL3658765	pIC50=7.7
Oc1ccc(NC(=O)[C@@H]2CCN(CC(=O)N3CCN(CC3)c4ccc(cc4)c5ncccn5)C2)cc1Cl	CHEMBL3398598	pIC50=7.7
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3cc(CO)on3)c2cn1)c4ccccn4	CHEMBL3663117	pIC50=7.71
O=C(NCCc1ccccc1)c2ccc3[nH]nc(c4ccncc4)c3c2	CHEMBL3798163	pIC50=7.71
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(=O)NCC(F)(F)CN3CCCC3)c2cn1)c4ccccc4	CHEMBL3654758	pIC50=7.72
Clc1cnc(NC2CCOCC2)nc1Nc3ccccc3NC(=O)C=C	CHEMBL3590118	pIC50=7.72
CN1C[C@H](NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)[C@H](C1)c5ccccc5	CHEMBL3654810	pIC50=7.73
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4(CC4)c5ccc(F)cc5)ncc23	CHEMBL3658709	pIC50=7.73
CC1=NOC(CNC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)C1	CHEMBL3654818	pIC50=7.75
Cc1cc(ccn1)c2n[nH]c3ccc(cc23)C(=O)NC(CO)c4cccc(Cl)c4	CHEMBL3798015	pIC50=7.75
COCCNC(=O)Nc1cc2[nH]nc(c3cc(C)nc(OC)c3)c2cn1	CHEMBL3663079	pIC50=7.76
O=C(NCc1ccccc1)Nc2cc3[nH]nc(C4CC4)c3cn2	CHEMBL3654772	pIC50=7.76
C=CS(=O)(=O)Nc1ccc2[nH]nc(c3ccncc3)c2c1	CHEMBL3590110	pIC50=7.77
OC[C@@H](NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1)c4ccc(Cl)c(Cl)c4	CHEMBL3298982	pIC50=7.77
CC(NC(=O)c1ccc2[nH]nc(c3ccnc(C)c3)c2c1)c4c(Cl)cncc4Cl	CHEMBL3798257	pIC50=7.78
CC(NC(=O)c1ccc2[nH]nc(c3ccncc3)c2c1)c4ccccc4Cl	CHEMBL3797587	pIC50=7.78
CC(C)(N)C(=O)OC[C@@H](N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(Cl)c(F)c4	CHEMBL3680612	pIC50=7.8
CC(C)Nc1cc(c(Cl)cn1)c2c[nH]c(c2)C(=O)N[C@H](CO)c3ccccc3	CHEMBL3799819	pIC50=7.8
COCCNC(=O)Nc1cc2[nH]nc(c3ccnc(OC(C)C)c3)c2cn1	CHEMBL3663054	pIC50=7.8
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ncccn4)ncc23	CHEMBL3654695	pIC50=7.8
OC[C@@H](N1C=CC(=CC1=O)c2cc(NC3CCOCC3)ncn2)c4ccc(Cl)c(F)c4	CHEMBL3675714	pIC50=7.8
Nc1cc(ccn1)c2n[nH]c3ccc(cc23)C(=O)NC(CO)c4cccc(Cl)c4	CHEMBL3797827	pIC50=7.81
OCC(N1C=CC(=NC1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(Cl)c(F)c4	CHEMBL3409594	pIC50=7.81
COc1ccc(CNC(=O)Nc2cc3[nH]nc(c4ccc(F)cc4)c3cn2)cc1OC	CHEMBL3654684	pIC50=7.82
C[C@@H](NC(=O)Nc1cc2[nH]nc(CNCC(F)(F)F)c2cn1)c3ccccc3	CHEMBL3663016	pIC50=7.82
C[C@H]1CN(C)C[C@@H]1NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2	CHEMBL3654832	pIC50=7.82
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4(CCOCC4)c5ccc(Cl)cc5)ncc23	CHEMBL3654728	pIC50=7.82
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@H]4COC[C@@H]4O)ncc23	CHEMBL3654815	pIC50=7.82
Cc1cnc(Nc2cccc3OCCOc23)nc1c4c[nH]c(c4)C(=O)N[C@H](CO)c5cccc(Cl)c5	CHEMBL571722	pKi=7.82
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(=O)NCC34CC5CC(C3)C(O)C(C5)C4)c2cn1)c6ccccc6	CHEMBL3639536	pIC50=7.83
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@H]4CCOc5cc(F)ccc45)ncc23	CHEMBL3658646	pIC50=7.83
CC(C)CC(O)CNC(=O)c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12	CHEMBL3654765	pIC50=7.84
CCn1nccc1Nc2nccc(n2)C3=CC(=O)N(C=C3)C(=C)c4ccc(Cl)c(F)c4	CHEMBL3680615	pIC50=7.84
C[C@@H](NC(=O)Nc1cc2[nH]nc(CC#N)c2cn1)c3ccccc3	CHEMBL3663014	pIC50=7.84
CC[C@@H](NC(=O)N1CCc2cnc(N[C@@H](C)CO)nc2C1)c3ccc(OC)c(Cl)c3	CHEMBL3298312	pIC50=7.85
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cncn4C)ncc23	CHEMBL3654693	pIC50=7.85
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4CN[C@@H](C4)c5ccccc5)ncc23	CHEMBL3658769	pIC50=7.85
OCC(N1C=CC(=CC1=O)c2cc(NC3CCOCC3)ncn2)c4ccc(Cl)c(F)c4	CHEMBL3409597	pKi=7.85
OCC(NC(=O)c1cc(c[nH]1)c2[nH]ncc2c3cccc(Cl)c3)c4ccc(Cl)cc4	CHEMBL375544	pKi=7.85
Oc1ccc(NC(=O)[C@@H]2CCN(CC(=O)N3CCN(CC3)c4ccc(cc4)c5cnccn5)C2)cc1Cl	CHEMBL3398603	pIC50=7.85
CCc1nccc(Nc2nccc(n2)C3=CC(=O)N(C=C3)C(CO)c4ccc(Cl)c(F)c4)n1	CHEMBL3675716	pIC50=7.86
C[C@@H](CO)Nc1nccc(n1)C2=CC(=O)N(C=C2)C(CO)c3cccc(Cl)c3	CHEMBL3675709	pIC50=7.86
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cn5cccc(C)c5n4)ncc23	CHEMBL3658757	pIC50=7.86
COC(C)CNC(=O)c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12	CHEMBL3654761	pIC50=7.87
COCCNC(=O)Nc1cc2[nH]nc(c3ccc4cn(C)nc4c3)c2cn1	CHEMBL3639619	pIC50=7.87
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(=O)NCC3CCN(C3)C4CC4)c2cn1)c5ccccc5	CHEMBL3654759	pIC50=7.87
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(F)F)c2cn1)c3ccccc3	CHEMBL3663108	pIC50=7.87
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC(CO)C(F)(F)F)ncc23	CHEMBL3654821	pIC50=7.87
OC[C@@H](N1N=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4ccc(Cl)c(F)c4	CHEMBL3675704	pIC50=7.87
CC(NC(=O)c1ccc2[nH]nc(c3ccnc(C)c3)c2c1)c4c(Cl)cnc(Cl)c4Cl	CHEMBL3799117	pIC50=7.88
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(OC(F)(F)F)cc3)c2cn1)c4ccccc4	CHEMBL3663112	pIC50=7.88
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@H]4CCCC(F)(F)[C@@H]4O)ncc23	CHEMBL3658747	pIC50=7.88
CC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(cc4)n5cncn5	CHEMBL3658739	pIC50=7.89
CC1CC(NC(Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)O1)c5ccc(Cl)cc5	CHEMBL3658766	pIC50=7.89
Cc1cnc(Nc2cccc3CCCCc23)nc1c4c[nH]c(c4)C(=O)N[C@H](CO)c5cccc(Cl)c5	CHEMBL570111	pKi=7.89
Cn1nccc1Nc2ncc(Cl)c(Nc3ccccc3NC(=O)C=C)n2	CHEMBL3590123	pIC50=7.89
Fc1ccc(CNC(=O)Nc2cc3[nH]nc(C4CCC4)c3cn2)cc1	CHEMBL3654776	pIC50=7.89
CC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)C4CCOC4	CHEMBL3662983	pIC50=7.9
COC[C@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccc4	CHEMBL3663040	pIC50=7.9
Clc1cccc(CNC(=O)c2ccc3[nH]nc(c4ccncc4)c3c2)c1	CHEMBL3799716	pIC50=7.9
Fc1ccc(cc1)c2n[nH]c3cc(NC(=O)NC4CCOC4)ncc23	CHEMBL3663059	pIC50=7.9
CCOC[C@@H](NC(=O)Nc1cc2[nH]nc(C(F)F)c2cn1)c3ccccc3	CHEMBL3663129	pIC50=7.92
COCCOC[C@@H](NC(=O)Nc1cc2[nH]nc(c3cc(C)on3)c2cn1)c4ccccc4	CHEMBL3663137	pIC50=7.92
C[C@@H](NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1)c4ccc(Cl)c(F)c4	CHEMBL3298984	pIC50=7.92
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(=O)NCC3(O)CCC3)c2cn1)c4ccccc4	CHEMBL3654766	pIC50=7.92
Cc1cc(ccn1)c2n[nH]c3cc(NC(=S)NCc4ccccc4)ncc23	CHEMBL3654745	pIC50=7.92
Fc1c(Cl)ccc(CNC(=O)c2ccc3[nH]nc(c4ccncc4)c3c2)c1Cl	CHEMBL3799113	pIC50=7.92
OC[C@@H](N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4cc5cc(F)ccc5[nH]4	CHEMBL3680613	pIC50=7.92
COCC(C)NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1	CHEMBL3654829	pIC50=7.93
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(C)s3)c2cn1)c4ccc(F)cc4	CHEMBL3654874	pIC50=7.93
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccc(Cl)cc4Cl)ncc23	CHEMBL3658806	pIC50=7.93
COc1ccc(cc1F)[C@@H]([C@H]2CCCN2)N3C=CC(=CC3=O)c4ccnc(NC5CCOCC5)n4	CHEMBL3675708	pIC50=7.94
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ccc[n+]([O-])c4)ncc23	CHEMBL3662964	pIC50=7.94
CN(C)[C@@H]1Cc2ccccc2[C@H]1NC(=O)Nc3cc4[nH]nc(c5ccnc(C)c5)c4cn3	CHEMBL3658852	pIC50=7.95
O=C(NCc1ccccc1)Nc2cc3[nH]nc(C4CCC4)c3cn2	CHEMBL3654777	pIC50=7.95
CCC(C)C(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(Cl)cc4	CHEMBL3658768	pIC50=7.96
COCC(O)CNC(=O)c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12	CHEMBL3654763	pIC50=7.96
COC[C@@H](NC(=O)N1CCc2cnc(NC(C)C)nc2C1)c3ccc(F)c(Cl)c3	CHEMBL3297853	pIC50=7.96
COC[C@@H](NC(=O)Nc1cc2[nH]nc(C(F)F)c2cn1)c3ccccc3	CHEMBL3663128	pIC50=7.96
COc1cc(CNC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)on1	CHEMBL3658834	pIC50=7.96
C[C@@H](NC(=O)Nc1cc2[nH]nc(C3CCC3)c2cn1)c4ccc(Cl)cc4	CHEMBL3654781	pIC50=7.96
Fc1ccc(cc1)c2n[nH]c3CCN(Cc23)C4=CC(=O)N(Cc5ccccc5)C=C4	CHEMBL3604844	pIC50=7.96
CN(C)C[C@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccccc4	CHEMBL3658843	pIC50=7.97
COCCNC(=O)c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12	CHEMBL3654747	pIC50=7.97
C[C@@H](NC(=O)Nc1cc2[nH]nc(C3CC3)c2cn1)c4ccc(F)c(Cl)c4	CHEMBL3654733	pIC50=7.97
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCNC4)ncc23	CHEMBL3663033	pIC50=7.97
C[C@@H](NC(=O)Nc1cc2[nH]nc(C3CC3)c2cn1)c4ccc(Cl)cc4	CHEMBL3654780	pIC50=7.98
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4(CC4)c5ccccc5)ncc23	CHEMBL3658715	pIC50=7.98
OC[C@@H](N1C=CC(=CC1=O)c2ccnc(NC3CCOCC3)n2)c4cc(F)cc(F)c4	CHEMBL3675713	pIC50=7.98
CCn1cc(CNC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)cn1	CHEMBL3658833	pIC50=7.99
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC(C)(C)c4ccc(Cl)cc4)ncc23	CHEMBL3654721	pIC50=7.99
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC(O)C(F)F)ncc23	CHEMBL3654816	pIC50=7.99
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4ncc(Cl)cc4F)ncc23	CHEMBL3658849	pIC50=7.99
CC(C)CNc1ncc2CCN(Cc2n1)C(=O)N[C@H](CO)c3ccc(F)c(Cl)c3	CHEMBL3357949	pIC50=8.0
COC[C@@H](NC(=O)Nc1cc2[nH]nc(C(F)F)c2cn1)c3ccc(F)cc3	CHEMBL3663118	pIC50=8.0
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC4(O)CC4)ncc23	CHEMBL3654688	pIC50=8.0
CC(=O)OC[C@@H](N1C=CC(=CC1=O)c2ccnc(Nc3ccnn3C)n2)c4ccc(Cl)c(F)c4	CHEMBL3680614	pIC50=8.01
COC[C@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(F)cc4	CHEMBL3658691	pIC50=8.01
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(nc3)N4CCCCC4)c2cn1)c5ccc(F)cc5	CHEMBL3654870	pIC50=8.01
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H](c4ccc(F)cc4)C(F)(F)F)ncc23	CHEMBL3658650	pIC50=8.01
C[C@H](NC(=O)c1ccc2[nH]nc(c3ccnc(C)c3)c2c1)c4c(Cl)cccc4Cl	CHEMBL3798624	pIC50=8.02
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCOc5cc(F)ccc45)ncc23	CHEMBL3658655	pIC50=8.02
COc1ccc(cc1)C2(CC2)NC(=O)Nc3cc4[nH]nc(c5ccnc(C)c5)c4cn3	CHEMBL3658723	pIC50=8.03
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(F)cc3)c2cn1)c4ccc(F)c(Cl)c4	CHEMBL3654724	pIC50=8.03
Clc1cncc(Cl)c1CNC(=O)c2ccc3[nH]nc(c4ccncc4)c3c2	CHEMBL3797242	pIC50=8.03
C[C@@H](NC(=O)Nc1cc2[nH]nc(C3=CNCN=C3)c2cn1)c4ccc(F)cc4	CHEMBL3663101	pIC50=8.04
C[C@@H](NC(=O)Nc1cc2[nH]nc(C3CC3(F)F)c2cn1)c4ccc(F)cc4	CHEMBL3654793	pIC50=8.05
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccn(n3)C4COC4)c2cn1)c5ccccc5	CHEMBL3663086	pIC50=8.05
NC1=NC(=O)\C(=C\2/CCNC(=O)c3[nH]c(Br)cc23)\N1	CHEMBL361708	pIC50=8.05
OCCNc1ncc2CCN(Cc2n1)C(=O)N[C@H](CO)c3ccc(F)c(Cl)c3	CHEMBL3298306	pIC50=8.05
FC(F)(F)Oc1ccc(CCN2C=CC(=CC2=O)c3ccnc(NC4CCOCC4)n3)cc1	CHEMBL3675717	pIC50=8.06
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CC(=O)Nc5ccc(F)cc45)ncc23	CHEMBL3658760	pIC50=8.07
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCCOC4)ncc23	CHEMBL3658830	pIC50=8.07
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC4CCCO4)ncc23	CHEMBL3658820	pIC50=8.07
Fc1cc(CN2C=CC(=CC2=O)c3ccnc(NC4CCOCC4)n3)cc5[nH]ccc15	CHEMBL3680611	pIC50=8.07
CN1C[C@H](NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2)[C@H](C1)C5CC5	CHEMBL3654836	pIC50=8.08
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(=O)NCCC3(O)CCCC3)c2cn1)c4ccccc4	CHEMBL3654757	pIC50=8.08
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4CCCOc5ccccc45)ncc23	CHEMBL3658642	pIC50=8.08
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@H]4CCCOc5ccccc45)ncc23	CHEMBL3658654	pIC50=8.08
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC(O)C(F)(F)F)ncc23	CHEMBL3654822	pIC50=8.09
CC(C)Nc1ncc2CCN(Cc2n1)C(=O)N[C@H](CNCCO)c3ccc(F)c(Cl)c3	CHEMBL3297857	pIC50=8.1
Cc1cc(ccn1)c2n[nH]c3ccc(cc23)C(=O)NCc4c(Cl)cnc(Cl)c4Cl	CHEMBL3797917	pIC50=8.1
C[C@@H](NC(=O)Nc1cc2[nH]nc(C3CC3(F)F)c2cn1)c4ccccc4	CHEMBL3654792	pIC50=8.11
C[C@@H](NC(=O)Nc1cc2[nH]nc(c3oc(C)nn3)c2cn1)c4ccccc4	CHEMBL3663119	pIC50=8.11
COCc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12	CHEMBL3663050	pIC50=8.12
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCc4cc5ccccc5cn4)ncc23	CHEMBL3658759	pIC50=8.12
OC[C@@H](N1C=CC(=CC1=O)c2ccnc(NC(CF)CF)n2)c3ccc(Cl)c(F)c3	CHEMBL3409608	pKi=8.13
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4cc(F)ccn4	CHEMBL3654797	pIC50=8.14
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCCO)ncc23	CHEMBL3663027	pIC50=8.14
CC(C)Nc1ncc2CCN(Cc2n1)C(=O)N[C@H](CNS(=O)(=O)C)c3ccc(F)c(Cl)c3	CHEMBL3297858	pIC50=8.16
CN1C=C(C=CC1=O)c2n[nH]c3CCN(Cc23)C4=CC(=O)N(Cc5ccccc5)C=C4	CHEMBL3604846	pIC50=8.16
COc1ccc(cc1)N2C(=O)\C(=C\c3ccc(OCC(=O)Nc4cccc(Cl)c4)cc3)\N=C2c5ccccc5	CHEMBL3577644	pIC50=8.16
C[C@@H](NC(=O)N1CCc2cnc(N[C@H]3CCO[C@@H](CO)C3)nc2C1)c4ccc(Cl)c(Cl)c4	CHEMBL3298199	pIC50=8.16
Cc1cc(Nc2ncc3CCN(Cc3n2)C(=O)N[C@H](CO)c4ccc(F)c(Cl)c4)ccn1	CHEMBL3298677	pIC50=8.16
OCC(NC(=O)c1cc(c[nH]1)c2[nH]ncc2c3cccc(Cl)c3)c4cc(Cl)cc(Cl)c4	CHEMBL220897	pKi=8.16
OC[C@@H](NC(=O)c1ccc2[nH]nc(c3ccncc3)c2c1)c4cccc(Cl)c4	CHEMBL3797756	pIC50=8.16
CC(=O)OC1CCCC(C1)NC(=O)Nc2cc3[nH]nc(c4ccnc(C)c4)c3cn2	CHEMBL3658745	pIC50=8.17
