CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34	pergolide	pKi=6.46999979	pKi=6.46999979	pKi=6.46999979
OCCN1CCN(CC\C=C/2\c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1	flupentixol	pKi=7.77499962	pKi=7.77499962	pKi=7.77499962
[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO	methylergometrine	pKi=6.26841124	pKi=6.26841124	pKi=6.26841124
OC1=CC=C(C=C1)C1CNCCC2=C(Cl)C(O)=C(O)C=C12	fenoldopam	pKd=7.55	pKd=7.55	pKd=7.55	pKi=7.4
OCCN1CCN(CC\C=C2\C3=CC=CC=C3SC3=CC=C(Cl)C=C23)CC1	zuclopenthixol
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O	levodopa
COc1cc2CCN3Cc4cc(CCCCl)sc4C[C@H]3c2cc1O	CHEMBL3344468	pKi=7.11
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]3[C@H]1Cc4cn(C)c5cccc3c45	CHEMBL19215	pIC50=7.13
COc1cc2C[C@@H]3N(CCc4cc5OCOc5cc34)Cc2c(OC)c1	CHEMBL2057443	pKi=7.13
Cl.CCCN1C[C@H](Cn2cc(Cl)cn2)O[C@@H]3Cc4c(O)cccc4C[C@@H]13	CHEMBL3099236	pEC50=7.13
CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34	apomorphine	pKi=7.14
Cc1ncnc(C)c1c2ccc(Oc3nccc4n[nH]cc34)cc2F	CHEMBL3671298	pKi=7.14
Oc1cc2CCNC[C@H](c3ccccc3)c2cc1O	CHEMBL24077	pKi=7.14
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(c4ccccc24)S(=O)(=O)c5ccccc5C	CHEMBL377452	pKi=7.15
CN1CCCc2ccccc2Cc3cc(O)ccc3CC1	CHEMBL394779	pKi=7.16
COc1ccc2CN3CCc4cc(OC)c(O)cc4[C@@H]3Cc2c1	CHEMBL2057453	pIC50=7.16
Cc1ncnc(C#N)c1c2ccc(Oc3nccc4n[nH]cc34)cc2F	CHEMBL3671301	pKi=7.16
CC1=NNC(=O)C=C1c2ccc(Oc3nccc4[nH]ccc34)cc2C	CHEMBL3671295	pKi=7.17
CN(C)C1CCC2(C=C1)c3ccccc3CCc4ccc(Cl)cc24	CHEMBL45491	pKi=7.17
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccc(cc4)C#N)c5ccccc25	CHEMBL212334	pKi=7.17
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccc(cc4)C(F)(F)F)c5ccccc25	CHEMBL378886	pKi=7.17
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(CO)cc24	CHEMBL100454	pKi=7.18
COc1cc2CCN3Cc4cc(CC5CC5)sc4C[C@H]3c2cc1O	CHEMBL3344466	pKi=7.18
COc1ccc2C[C@@H]3N(CCc4cc5OCOc5cc34)Cc2c1OC	CHEMBL490533	pKi=7.18
CCOc1ccc2ccccc2c1C(=O)NN3c4ccc(Cl)cc4N=C(N5CCN(C)CC5)c6ccccc36	CHEMBL378512	pKi=7.19
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(c4ccccc24)S(=O)(=O)c5ccc(C)cc5	CHEMBL209805	pKi=7.19
CN1CCN(CC1)C2=Nc3ccccc3N(NC(=O)c4ccc(cc4)C#N)c5ccc(Cl)cc25	CHEMBL213201	pKi=7.19
COc1cc(OC)c2CN3CCc4cc(OC)c(OC)cc4[C@@H]3Cc2c1CO	CHEMBL2057442	pKi=7.19
Oc1cc2CC[C@H]3NCc4ncccc4[C@@H]3c2cc1O	CHEMBL281932	pKi=7.19
CCCN1CCC[C@@H]2Cc3n[nH]cc3C[C@@H]12	CHEMBL240773	pKi=7.2
CN(C)C[C@H]1C[C@H]2[C@H](O1)c3ccccc3Cc4ccccc24	CHEMBL329566	pKi=7.2
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncccc3OC(F)(F)F)cc2C)C	CHEMBL3697585	pKi=7.2
Oc1ccc2Cc3ccccc3CCNCCc2c1	CHEMBL459871	pKi=7.2
CCCCc1cc2CN3CCc4cc(OC)c(O)cc4[C@@H]3Cc2s1	CHEMBL3344458	pKi=7.21
CCCc1cc2CN3CCc4cc(OC)c(O)cc4[C@@H]3Cc2s1	CHEMBL3344457	pKi=7.21
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cccc(c4)C#N)c5ccccc25	CHEMBL212905	pKi=7.21
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccccc4NC5CCCCC5)c6ccccc26	CHEMBL212186	pKi=7.21
CN1CCc2cccc3c2[C@H]1Cc4cccc(O)c34	CHEMBL119455	pKi=7.22
CN1CCc2ccccc2Cc3[nH]c4ccccc4c3CC1	CHEMBL441618	pKi=7.22
CN1CCc2ccccc2Cc3ccn(C)c3CC1	CHEMBL201483	pKi=7.22
CN1CCc2ccccc2Cc3sccc3CC1	CHEMBL3752512	pKi=7.22
COc1ccc2C[C@@H]3N(CCc4cc5OCOc5cc34)Cc2c1O	CHEMBL2314732	pKi=7.22
COc1ccccc1CNN2c3ccc(Cl)cc3N=C(N4CCN(C)CC4)c5ccccc25	CHEMBL211910	pKi=7.22
CC1=NNC(=O)C(=C1c2ccc(Oc3ncccc3C(F)F)cc2C)C	CHEMBL3697622	pKi=7.23
CC1=C(N(C2CC2)C(=O)NC1=O)c3ccc(Oc4ncccc4C(F)F)cc3C	CHEMBL3697612	pKi=7.24
CCN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncccc3Cl)cc2C)C	CHEMBL3697615	pKi=7.24
Br.Oc1cc2C(CNCCc2c(c1O)c3ccc4ccccc4c3)c5ccccc5	CHEMBL485207	pKi=7.25
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccc5OCOc5c4)c6ccccc26	CHEMBL213668	pKi=7.25
COc1cc2CCN3Cc4c(C)cc(C)cc4C[C@H]3c2cc1O	CHEMBL2057457	pIC50=7.25
COc1ccc(CCC(=O)NN2c3ccc(Cl)cc3N=C(N4CCN(C)CC4)c5ccccc25)cc1Cl	CHEMBL215950	pKi=7.25
CCN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncccc3C(F)F)cc2C)C	CHEMBL3697620	pKi=7.26
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncccc3C(F)F)cc2C)C	CHEMBL3697621	pKi=7.26
Cc1ncnc(C)c1c2cc(F)c(Oc3nccc4[nH]ccc34)cc2F	CHEMBL3671290	pKi=7.26
CCN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccccc4Cl)c5ccccc25	CHEMBL215842	pKi=7.27
Cc1ncnc(C)c1c2ccc(Oc3nccc4[nH]ccc34)c(F)c2F	CHEMBL3639701	pKi=7.27
CCc1cccnc1Oc2ccc(C3=C(C)C(=O)NC(=O)N3C)c(C)c2	CHEMBL3697553	pKi=7.28
CN1CCN2[C@H]3CC[NH+](CCCC(=O)c4ccc(F)cc4)C[C@H]3c5cccc1c25.Cc6ccc(cc6)S(=O)(=O)[O-]	CHEMBL3233142	pKi=7.28
Cc1ncnc(C)c1c2ccc(Oc3nccc4n[nH]cc34)cc2Cl	CHEMBL3671303	pKi=7.28
Fc1ccc(SCCCN2CCN(CC2)c3ccc(Cl)cc3)cc1	CHEMBL1940409	pKi=7.28
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccc(cc4)C#N)c5ccc(Cl)cc25	CHEMBL378648	pKi=7.29
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccccc4Oc5ccccc5)c6ccccc26	CHEMBL214407	pKi=7.29
CN1CCc2cc(O)c(Cl)cc2CC1	CHEMBL340006	pKi=7.3
COc1cc2CCN3Cc4c(C[C@H]3c2cc1OC)ccc(O)c4OC	CHEMBL448891	pKi=7.3
CCCc1cc2[C@H]3[C@@H](CCc4cc(O)c(O)cc34)NCc2s1	CHEMBL28338	pKi=7.31
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccc(F)cc4C(F)(F)F)c5ccccc25	CHEMBL437917	pKi=7.31
COc1ccc2[C@H]3[C@@H](CCc4cc(O)c(O)cc34)NCc2n1	CHEMBL285924	pKi=7.31
CN1CCN(CC1)C2=Nc3ccccc3N(NC(=O)c4ccccc4C)c5ccc(Cl)cc25	CHEMBL385295	pKi=7.32
Cl.Oc1ccc2CCN(CC=C)CC(c3ccccc3)c2c1	CHEMBL534678	pKi=7.32
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cccc(F)c4)c5ccccc25	CHEMBL213083	pKi=7.33
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cccc(c4)C#N)c5ccc(Cl)cc25	CHEMBL212402	pKi=7.33
COc1ccc(cc1)C(=O)NN2c3ccc(Cl)cc3N=C(N4CCN(C)CC4)c5ccccc25	CHEMBL215885	pKi=7.33
Oc1ccc2[C@@H]3CNCC[C@H]3[C@@H](Cc2c1O)c4ccccc4	CHEMBL1224527	pKi=7.33
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3nccc(C)c3[N+]#[C-])cc2C)C	CHEMBL3697556	pKi=7.34
COc1cc2CCN(C)[C@@H]3Cc4cccc(O)c4c(c1)c23	CHEMBL270426	pKi=7.34
COc1cc2CCN3Cc4cc(CC(C)Cl)sc4C[C@H]3c2cc1O	CHEMBL3344469	pKi=7.34
COc1cc2C[C@@H]3N(CCc4cc(OC)c(OC)c(OC)c34)Cc2c(OC)c1	CHEMBL2057446	pIC50=7.34
Cc1cc2CCN3CC[C@](O)(C[C@@H]3c2cc1O)c4ccc(Cl)cc4	CHEMBL2331599	pKi=7.34
CCCN1CCc2cccc3c2[C@H]1Cc4cccc(O)c34	CHEMBL27559	pKi=7.35
CCCc1ccc2[C@H]3[C@@H](CCc4cc(O)c(O)cc34)NCc2n1	CHEMBL26965	pKi=7.35
Cc1ncnc(C)c1c2ccc(Oc3nccc4[nH]ccc34)cc2	CHEMBL3671288	pKi=7.35
CN1C(=O)C=NC(=C1c2ccc(Oc3nccc(C)c3Cl)cc2C)C	CHEMBL3697604	pKi=7.36
COc1cccc(c1)C(=O)NN2c3ccc(Cl)cc3N=C(N4CCN(C)CC4)c5cc(Cl)ccc25	CHEMBL384069	pKi=7.36
CNc1ncc2C(=O)CC(CN3CCC(CC3)c4noc5cc(F)ccc45)Cc2n1	CHEMBL576756	pKi=7.37
CN1C(=O)C=NC(=C1c2ccc(Oc3nccc4n[nH]cc34)cc2C)C	CHEMBL3671305	pKi=7.38
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)C4CCCCC4)c5ccccc25	CHEMBL213388	pKi=7.38
CC1=NNC(=O)C(=C1c2ccc(Oc3nccc4n[nH]cc34)cc2)C	CHEMBL3671306	pKi=7.39
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncc(F)cc3Cl)cc2C)C	CHEMBL3697614	pKi=7.39
CCCCCCOc1ccc2CC3N(CCc4cc(OC)c(O)cc34)Cc2c1OC	CHEMBL3781035	pKi=7.4
CN1CCc2ccccc2Cc3sc4ccccc4c3CC1	CHEMBL3753266	pKi=7.4
Cl.CN1CCc2ccc(Cc3ccc(O)cc3)c4c2[C@H]1Cc5ccc(O)c(O)c45	CHEMBL2397383	pKi=7.4
Br.Cc1cccc(c1)c2c(O)c(O)cc3C(CNCCc23)c4ccccc4	CHEMBL484356	pKi=7.41
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4sccc4c5ccccc5)c6ccccc26	CHEMBL384916	pKi=7.41
Cc1cc(Oc2nccc3[nH]ccc23)ccc1c4c(C)ncnc4C#N	CHEMBL3671285	pKi=7.41
Fc1ccc2c(noc2c1)C3CCN(CC4CC(=O)c5cn[nH]c5C4)CC3	CHEMBL246484	pKi=7.41
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncc(Cl)c(C)c3Cl)cc2C)C	CHEMBL3697558	pKi=7.42
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncccc3C4CC4)cc2)C	CHEMBL3697600	pKi=7.42
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c3cccc4C(=O)O	CHEMBL598915	pKi=7.42
CC(C)(C)[C@]1(O)CCN2C[C@@H]3c4ccccc4CCc5cccc([C@H]2C1)c35	CHEMBL479587	pKi=7.43
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3nccc(C)c3F)cc2C)C	CHEMBL3697560	pKi=7.44
Fc1ccc2c(c[nH]c2c1)C3CCN(CC4CC(=O)c5sc(nc5C4)N6CCCC6)CC3	CHEMBL3220219	pKi=7.44
CC1=C(C=NNC1=O)c2ccc(Oc3nccc4[nH]ccc34)cc2C	CHEMBL3671294	pKi=7.45
CN1C(=O)NC(=O)C(=C1c2ccc(Sc3ncccc3Cl)cc2C)C	CHEMBL3697623	pKi=7.45
COc1ccc2Cc3ccccc3CCN(C)CCOc2c1	CHEMBL184049	pKi=7.45
Oc1cc2CC[C@H]3NCc4ccccc4[C@@H]3c2cc1O	CHEMBL25856	pKi=7.45
CC1=NNC(=O)C(=C1c2ccc(Oc3ncccc3C(F)(F)F)cc2C)C	CHEMBL3697597	pKi=7.46
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccc(Cl)cc4)c5ccccc25	CHEMBL214142	pKi=7.46
Cc1cnn(C)c1c2ccc(Oc3nccc4[nH]ccc34)cc2C	CHEMBL3671273	pKi=7.46
C(CN1CCCCC1)Oc2ccccc2Cc3ccccc3	CHEMBL364565	pKi=7.47
Cc1oc2CC(CN3CCC(CC3)c4c[nH]c5cc(F)ccc45)CC(=O)c2n1	CHEMBL3220215	pKi=7.47
CCC1=C(N(C)C(=O)NC1=O)c2ccc(Oc3ncccc3Cl)cc2C	CHEMBL3697616	pKi=7.48
CSc1ncc2C(=O)CC(CN3CCC(CC3)c4noc5cc(F)ccc45)Cc2n1	CHEMBL566508	pKi=7.48
CN1C(=O)N=CC(=C1c2ccc(Oc3nccc(C)c3Cl)cc2C)C	CHEMBL3697609	pKi=7.49
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cc(F)c(F)c(F)c4F)c5ccccc25	CHEMBL212438	pKi=7.5
NC(=O)C1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1	CHEMBL1909072	pIC50=7.5
CC(C)c1cccnc1Oc2ccc(C3=C(C)C(=O)NC(=O)N3C)c(C)c2	CHEMBL3697571	pKi=7.51
CCCCCCC(=O)Oc1cccc2C[C@H]3N(CCC)CCc4cccc(c34)c12	CHEMBL516580	pKi=7.51
COc1cc(cc(OC)c1OC)C(=O)NN2c3ccc(Cl)cc3N=C(N4CCN(C)CC4)c5ccccc25	CHEMBL379875	pKi=7.51
COc1cc2CCN3Cc4c(C[C@H]3c2cc1O)c(CO)c(OC)cc4OC	CHEMBL2057456	pIC50=7.51
Cl.CCN1CCc2cc(cc3c2[C@H]1Cc4ccc(O)c(O)c34)c5ccccc5	CHEMBL564909	pKi=7.51
CC1=NNC(=O)C(=C1c2ccc(Oc3ncccc3Cl)cc2C)C	CHEMBL3697589	pKi=7.52
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cnn(c5ccccc5)c4C(F)(F)F)c6ccccc26	CHEMBL405751	pKi=7.52
Cc1ncnc(C)c1c2ccc(Oc3nccc4[nH]ccc34)cc2F	CHEMBL3671272	pKi=7.52
Oc1cc2[C@H](CNCCc2c(Cl)c1O)c3ccccc3	CHEMBL1160787	pKi=7.52
COc1ccc2Cc3ccccc3CCN(C)CCCc2c1	CHEMBL389357	pKi=7.53
Cc1ncc2nccn2c1c3ccc(Oc4nccc5[nH]ccc45)cc3F	CHEMBL3671286	pKi=7.53
CCc1ccc2CN[C@@H]3CCc4cc(O)c(O)cc4[C@H]3c2c1	CHEMBL104571	pKi=7.54
CCCN(CCC1=CC=CS1)[C@H]1CCC2=C(O)C=CC=C2C1	rotigotine	pEC50=7.55
CCOc1c(sc2ccccc12)C(=O)NN3c4ccc(Cl)cc4N=C(N5CCN(C)CC5)c6ccccc36	CHEMBL378914	pKi=7.55
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cnc5ccccc5c4)c6ccccc26	CHEMBL213444	pKi=7.55
CN1CCc2cc(I)c(O)cc2[C@H](C1)c3ccc(cc3)N=[N+]=[N-]	CHEMBL356597	pKi=7.55
CN1CCc2ccccc2Cc3c(CC1)[nH]c4ccccc34	CHEMBL1087301	pKi=7.55
COc1ccc2Cc3ccccc3CCN(C)CCc2c1	CHEMBL380330	pKi=7.55
Cc1ncnc(C#N)c1c2ccc(Oc3nccc4[nH]ccc34)cc2F	CHEMBL3671284	pKi=7.55
CN1CCc2cc(Cl)c(O)cc2[C@@H]1Cc3ccccc3	CHEMBL64117	pKi=7.57
OC1(CCN(CCCSc2ccc(F)cc2)CC1)c3ccc(Cl)cc3	CHEMBL1940403	pKi=7.57
CCc1cc2CN3CCc4cc(OC)c(O)cc4[C@@H]3Cc2s1	CHEMBL3344456	pKi=7.58
Br.Oc1cc2CCNC[C@H](c3ccccc3)c2cc1O	CHEMBL503958	pKi=7.59
CCCC(CCC)C(=O)NN1c2ccc(Cl)cc2N=C(N3CCN(C)CC3)c4ccccc14	CHEMBL215581	pKi=7.59
CCCN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccccc4Cl)c5ccccc25	CHEMBL213335	pKi=7.59
CN1CCC2C(C1)c3cccc4SCc5ccccc5N2c34	CHEMBL3217984	pKi=7.6
COc1c(Cl)cc2CCN(C)CCc3ccccc3Cc2c1Cl	CHEMBL203734	pKi=7.6
Cl.Oc1cc2CCNCC(c3ccccc3)c2cc1O	CHEMBL542700	pKi=7.6
CC1=NNC(=O)C(=C1c2ccc(Oc3nc(C)cc4n[nH]cc34)cc2)C	CHEMBL3671270	pKi=7.61
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncccc3Cl)cc2C)C	CHEMBL3697587	pKi=7.62
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cc(Cl)cc(Cl)c4)c5ccccc25	CHEMBL427230	pKi=7.62
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cc(F)ccc4C(F)(F)F)c5ccc(Cl)cc25	CHEMBL378341	pKi=7.62
CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c3ccccc3	CHEMBL62	pKi=7.62
COc1ccnc(Oc2ccc(C3=C(C)C(=O)NN=C3C)c(C)c2)c1C	CHEMBL3697593	pKi=7.62
COc1ccc2Cc3ccccc3CCCN(C)CCCc2c1	CHEMBL231171	pKi=7.63
CCCCC(=O)Oc1cccc2C[C@H]3N(CCC)CCc4cccc(c34)c12	CHEMBL403550	pKi=7.64
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4nccc5ccccc45)c6ccccc26	CHEMBL213278	pKi=7.64
OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1	fluphenazine	pIC50=7.64
CN(C)C[C@H]1C[C@H]2[C@H](O1)c3cc(F)ccc3Sc4ccccc24	CHEMBL366164	pKi=7.66
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccon4)c5ccccc25	CHEMBL213372	pKi=7.66
CN1CCN(CC1)C2=Nc3ccccc3N(NC(=O)c4cc(F)ccc4C(F)(F)F)c5ccc(Cl)cc25	CHEMBL213193	pKi=7.66
COc1cc2CCN3Cc4c(C[C@H]3c2cc1O)ccc(OC)c4O	CHEMBL1235966	pKi=7.66
COc1ccc2Cc3ccccc3CCCN(C)CCc2c1	CHEMBL276778	pKi=7.66
OC1(CCN(CCCOc2ccc(F)cc2)CC1)c3ccc(Cl)cc3	CHEMBL1940404	pKi=7.66
CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1	risperidone	pKi=7.68
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncccc3C(F)(F)F)cc2C)C	CHEMBL3697617	pKi=7.68
NC[C@@H]1O[C@@H](Cc2c(O)c(O)ccc12)C34CC5CC(CC(C5)C3)C4	CHEMBL291143	pKi=7.68
COc1cc(cc(OC)c1OC)C(=O)NN2c3ccccc3N=C(N4CCN(C)CC4)c5cc(Cl)ccc25	CHEMBL377420	pKi=7.7
