Cc1ccc(cc1)c2cncnc2N3CCC(CC3)c4[nH]cnc4C	CHEMBL214922	pIC50=6.0
Cc1[nH]c(nc1C(=O)N=C(N)N)c2cc(Cl)ccc2Cl.CS(=O)(=O)O.CS(=O)(=O)O	CHEMBL474946	pIC50=7.0
CNc1cc(oc1C(=O)N=C(N)N)c2cc(Cl)ccc2Cl	CHEMBL233778	pIC50=7.02
COc1ccc(Br)cc1c2oc(cc2)C(=O)N=C(N)N	CHEMBL195277	pIC50=7.03
CS(=O)(=O)c1ccc(cc1)C(=O)N2CCC(CC2)c3ccc(cc3C(F)(F)F)C(=O)NC(=N)N	CHEMBL2170632	pIC50=7.03
CC(C)NC(=O)Cc1ncc(c2ccc(F)c(C)c2)c(n1)N3CCC(CC3)c4[nH]cnc4C	CHEMBL214646	pIC50=7.06
CCC(=O)N1CCC(CC1)c2cc(C)c(cc2S(=O)(=O)C)C(=O)NC(=N)N	CHEMBL2169894	pIC50=7.06
CNS(=O)(=O)c1ccc(cc1)C(=O)N2CCC(CC2)c3ccc(cc3C(F)(F)F)C(=O)NC(=N)N	CHEMBL2170622	pIC50=7.06
COc1ccc(Cl)cc1c2oc(cc2)C(=O)N=C(N)N	CHEMBL192227	pIC50=7.09
CC(C)C(=O)N1CCC(CC1)c2ccc(cc2C(F)(F)F)C(=O)NC(=N)N	CHEMBL2170606	pIC50=7.1
NC(=N)NC(=O)c1ccc(C2CCN(CC2)C(=O)c3ccccn3)c(c1)C(F)(F)F	CHEMBL2170637	pIC50=7.1
CN(C)C(=O)c1ccc(cc1)C(=O)N2CCC(CC2)c3ccc(cc3C(F)(F)F)C(=O)NC(=N)N	CHEMBL2170621	pIC50=7.11
Cc1ccc(C)c(c1)c2oc(C(=O)N=C(N)N)c(N)c2	CHEMBL232744	pIC50=7.14
Cc1oc(nc1C(=O)N=C(N)N)c2cc(Cl)ccc2Cl.CS(=O)(=O)O	CHEMBL452446	pIC50=7.14
NC(=N)NC(=O)c1ccc(C2CCN(CC2)C(=O)c3ccncc3)c(c1)C(F)(F)F	CHEMBL2170635	pIC50=7.16
Cn1cncc1C(=O)N2CCC(CC2)c3ccc(cc3C(F)(F)F)C(=O)NC(=N)N	CHEMBL2170618	pIC50=7.21
CS(=O)(=O)c1cccc(c1)C(=O)N2CCC(CC2)c3ccc(cc3C(F)(F)F)C(=O)NC(=N)N	CHEMBL2170633	pIC50=7.22
Cc1[nH]cnc1C2CCN(CC2)c3ncncc3c4cccc(Cl)c4	CHEMBL384466	pIC50=7.22
Cc1[nH]cnc1C2CCN(CC2)c3ncncc3c4ccccc4Cl	CHEMBL215399	pIC50=7.22
CC(=O)N1CCC(CC1)c2cc(C)c(cc2S(=O)(=O)C)C(=O)NC(=N)N	CHEMBL2170603	pIC50=7.25
NC(=N)NC(=O)c1ccc(C2CCN(CC2)C(=O)C3CC3)c(c1)C(F)(F)F	CHEMBL2170607	pIC50=7.3
COCC(=O)N1CCC(CC1)c2ccc(cc2C(F)(F)F)C(=O)NC(=N)N	CHEMBL2170608	pIC50=7.32
Cc1[nH]cnc1C2CCN(CC2)c3ncncc3c4ccc(F)c(Cl)c4	CHEMBL380382	pIC50=7.39
NC(=N)NC(=O)c1ccc(C2CCN(CC2)C(=O)c3ccc(cc3)C(=O)N)c(c1)C(F)(F)F	CHEMBL2170638	pIC50=7.44
NC(=N)NC(=O)c1ccc(N2CCC(C2)NC(=O)c3ccc[nH]3)c(c1)C(F)(F)F	CHEMBL2170650	pIC50=7.44
NC(=N)NC(=O)c1ccc(C2CCN(CC2)C(=O)c3cccnc3)c(c1)C(F)(F)F	CHEMBL2170636	pIC50=7.5
CC(=O)N1CCC(CC1)c2ccc(cc2C(F)(F)F)C(=O)NC(=N)N	CHEMBL2170610	pIC50=7.51
CCC(=O)N1CCC(CC1)c2ccc(cc2C(F)(F)F)C(=O)NC(=N)N	CHEMBL2170609	pIC50=7.51
CC(=O)N1CCC(CC1)c2cc(C)c(cc2C(F)(F)F)C(=O)NC(=N)N	CHEMBL2170611	pIC50=7.55
Cc1cccc(c1)c2cncnc2N3CCC(CC3)c4[nH]cnc4C	CHEMBL212033	pIC50=7.57
NC(=N)NC(=O)c1ccc(C2CCN(CC2)C(=O)c3ccc(O)nc3)c(c1)C(F)(F)F	CHEMBL2170639	pIC50=7.6
Cc1cc(oc1C(=O)N=C(N)N)c2cccc(Cl)c2	CHEMBL396615	pIC50=7.62
Cc1cc(oc1C(=O)N=C(N)N)c2ccccc2	CHEMBL232974	pIC50=7.62
NC(=N)NC(=O)c1ccc(C2CCN(CC2)C(=O)c3ccc(cc3)S(=O)(=O)N)c(c1)C(F)(F)F	CHEMBL2170615	pIC50=7.64
Cc1cc(ccc1F)c2cncnc2N3CCC(CC3)c4[nH]cnc4C	CHEMBL376979	pIC50=7.68
Cc1cc(oc1C(=O)N=C(N)N)c2cc(Cl)ccc2Cl	CHEMBL397141	pIC50=7.8
COc1ccc(Cl)cc1c2oc(C(=O)N=C(N)N)c(N)c2	CHEMBL232940	pIC50=7.82
COc1ncc(c2ccc(F)c(Cl)c2)c(n1)N3CCC(CC3)c4[nH]cnc4C	CHEMBL385944	pIC50=7.82
COc1ccc(Cl)cc1c2oc(C(=O)N=C(N)N)c(c2)N(C)C	CHEMBL395898	pIC50=7.92
COc1ccc(Cl)cc1c2oc(C(=O)N=C(N)N)c(C)c2	CHEMBL232748	pIC50=8.0
CN(C)c1cc(oc1C(=O)N=C(N)N)c2cc(Cl)ccc2Cl	CHEMBL395897	pIC50=8.05
NC(=NC(=O)c1oc(cc1N)c2cc(Cl)ccc2Cl)N	CHEMBL394633	pIC50=8.1
CC(C)Oc1ncc(c2ccc(F)c(C)c2)c(n1)N3CCC(CC3)c4[nH]cnc4C	CHEMBL213568	pIC50=8.13
COc1ncc(c2ccc(F)c(C)c2)c(n1)N3CCC(CC3)c4[nH]cnc4C	CHEMBL217698	pIC50=8.19
Cc1[nH]c(N)nc1C2CCN(CC2)c3ncncc3c4ccc(F)c(Cl)c4	CHEMBL211924	pIC50=8.27
Cc1cc(ccc1F)c2cnc(CC#N)nc2N3CCC(CC3)c4[nH]cnc4C	CHEMBL384143	pIC50=8.34
NC(=NC(=O)c1oc(cc1N2CCCC2)c3cc(Cl)ccc3Cl)N	CHEMBL392093	pIC50=9.32
