OC1=C(Cc2ccc(OCCC3CCCCC3)cc2)SC(=O)N1	CHEMBL3685392	pIC50=6.01
Cc1cccc(c1)n2cnc3cc(ccc23)C(=O)N4CCCC(C4)c5ccccc5	CHEMBL3103027	pIC50=6.37
O=C1NC(=O)\C(=C\c2ccc(OCc3ccsc3)cc2)\S1	CHEMBL598183	pIC50=6.37
Cc1cc(CC2=C(O)NC(=O)S2)ccc1OCCC3CCCCC3	CHEMBL3685399	pIC50=6.4
Cc1cc(\C=C/2\SC(=NC2=O)O)ccc1OCCCCC3CCCCC3	CHEMBL3685349	pIC50=6.4
CCN(CC)C(=O)c1ccc2c(c1)ncn2c3cccc(C)c3	CHEMBL3103025	pIC50=6.42
Cc1cc(c(C)n1c2ccccc2)c3nnc4CCCCCCCn34	CHEMBL3103014	pIC50=6.42
Cc1cc(c(C)n1c2ccncc2)c3nnc4CCCCCn34	CHEMBL3103009	pIC50=6.42
Cc1cccc(c1)n2cnc3cc(ccc23)C(=O)N4CCCC4	CHEMBL3103026	pIC50=6.42
OC1=NC(=O)\C(=C\c2ccc(OCCCC3CCCCC3)c(c2)[N+](=O)[O-])\S1	CHEMBL3685336	pIC50=6.49
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCCN3CCS(=O)(=O)CC3	CHEMBL2414139	pIC50=6.51
O=C1NC(=O)\C(=C\c2ccc(OCc3ccc4OCOc4c3)cc2)\S1	CHEMBL607870	pIC50=6.51
Nc1cc(\C=C/2\SC(=NC2=O)O)ccc1OCCC3CCCCC3	CHEMBL3685347	pIC50=6.54
O=C1NC(=O)\C(=C\c2ccc(OCc3cccs3)cc2)\S1	CHEMBL598182	pIC50=6.54
OC1=NC(=O)\C(=C\c2ccc(OCCCC3CCCCC3)cc2Cl)\S1	CHEMBL3685380	pIC50=6.55
O=C1NC(=O)\C(=C\c2ccc(OCCN3CCS(=O)(=O)CC3)cc2)\S1	CHEMBL599407	pIC50=6.56
CC1CC(C)CN(C1)C(=O)c2ccc3c(c2)ncn3c4cccc(C)c4	CHEMBL3103019	pIC50=6.57
Cc1cc(c(C)n1c2cccnc2)c3nnc4CCCCCn34	CHEMBL3103008	pIC50=6.57
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OC(=O)c3cccs3	CHEMBL2414146	pIC50=6.58
CCOc1cc(\C=C/2\SC(=NC2=O)O)ccc1OCCC3CCCCC3	CHEMBL3685353	pIC50=6.59
OC1=NC(=O)\C(=C/c2cccc(OCc3ccccc3)c2Cl)\S1	CHEMBL3685360	pIC50=6.59
Cc1cc(c(C)n1c2ccccc2)c3nnc4CCCCCCn34	CHEMBL3103013	pIC50=6.62
OC1=NC(=O)\C(=C/c2cccc(OCCOC3CCCCC3)c2Cl)\S1	CHEMBL3685390	pIC50=6.63
OC1=NC(=O)\C(=C\c2ccc(OC3CCCCC3)cc2Cl)\S1	CHEMBL3685378	pIC50=6.63
Cc1ccc(COc2ccc(\C=C\3/SC(=O)NC3=O)cc2)cc1	CHEMBL597576	pIC50=6.64
OC1=NC(=O)\C(=C\c2ccc(OCCCCc3ccccc3)cc2)\S1	CHEMBL3685352	pIC50=6.65
O=C1NC(=O)\C(=C\c2ccc(OCC3CCCCC3)cc2)\S1	CHEMBL432768	pIC50=6.66
O=C1NC(=O)\C(=C\c2ccc(OCCOC3CCCCC3)cc2)\S1	CHEMBL599019	pIC50=6.66
OC1=NC(=O)\C(=C/c2cccc(OC3CCCCC3)c2Cl)\S1	CHEMBL3685382	pIC50=6.67
Clc1cc(OCCOC2CCCCC2)ccc1\C=C\3/SC(=O)NC3=O	CHEMBL2414245	pIC50=6.68
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCc3ccc4OCOc4c3	CHEMBL2414157	pIC50=6.71
Cc1cc(c(C)n1c2ccccc2)c3nnc4CCCCn34	CHEMBL3103012	pIC50=6.72
OC1=NC(=O)\C(=C\c2ccc(OCCCc3ccccc3)cc2)\S1	CHEMBL3685351	pIC50=6.73
Clc1cc(OCCc2ccccc2)ccc1\C=C\3/SC(=O)NC3=O	CHEMBL2414164	pIC50=6.75
OC1=NC(=O)\C(=C\c2cc(F)c(OCCC3CCCCC3)c(Cl)c2)\S1	CHEMBL3685365	pIC50=6.75
CC(C)OCCOc1cccc(\C=C\2/SC(=NC2=O)O)c1Cl	CHEMBL3685376	pIC50=6.76
O=C1NC(=O)\C(=C/c2ccc(OCC3COc4ccccc4O3)cc2)\S1	CHEMBL598880	pIC50=6.76
O=C1NC(=O)\C(=C\c2ccc(OCC3COc4ccccc4O3)cc2)\S1	CHEMBL242919	pIC50=6.76
OC1=C(Cc2ccc(OCCC3CCCCC3)c(Cl)c2)SC(=O)N1	CHEMBL3685398	pIC50=6.76
CC(C)(C)c1cccc(c1)n2cnc3cc(ccc23)C(=O)N4CCCCC4	CHEMBL3103037	pIC50=6.77
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCC3CC4CCC3C4	CHEMBL2414158	pIC50=6.78
OC1=C(Cc2ccc(OCCC3CCCCC3)cc2Cl)SC(=O)N1	CHEMBL3685401	pIC50=6.8
OC1=NC(=O)\C(=C/c2cccc(OCCC3CCCC3)c2Cl)\S1	CHEMBL3685388	pIC50=6.81
O=C1NC(=O)\C(=C\c2ccc(OCCc3ccsc3)cc2)\S1	CHEMBL610221	pIC50=6.83
OC1=C(Cc2ccc(OCCCC3CCCCC3)c(Cl)c2)SC(=O)N1	CHEMBL3685400	pIC50=6.85
CC1CCC(COc2cccc(\C=C\3/SC(=NC3=O)O)c2Cl)CC1	CHEMBL3685375	pIC50=6.87
Cc1cc(c(C)n1c2ccc(cc2)C(C)(C)C)c3nnc4CCCCCn34	CHEMBL3103005	pIC50=6.87
OC1=NC(=O)\C(=C\c2ccc(OCCC3CCCCC3)cc2C(F)(F)F)\S1	CHEMBL3685369	pIC50=6.87
CC(Oc1ccc(\C=C\2/SC(=O)NC2=O)cc1Cl)C3CC3	CHEMBL2414151	pIC50=6.88
ClCc1ccc(COc2ccc(\C=C\3/SC(=O)NC3=O)cc2)cc1	CHEMBL591466	pIC50=6.91
OC1=NC(=O)\C(=C/c2cccc(OCCc3ccccc3)c2Cl)\S1	CHEMBL3685361	pIC50=6.91
[O-][N+](=O)c1oc(CCOc2ccc(\C=C\3/SC(=O)NC3=O)cc2Cl)cc1	CHEMBL2414155	pIC50=6.91
Cc1cc(c(C)n1c2ccc(F)cc2)c3nnc4CCCCCn34	CHEMBL2132150	pIC50=6.92
OC1=NC(=O)\C(=C\c2ccc(OCCc3ccccc3)cc2)\S1	CHEMBL3685350	pIC50=6.93
O=C1NC(=O)\C(=C\c2ccc(OCCC3CCCC3)cc2)\S1	CHEMBL598397	pIC50=6.94
COc1ccc(\C=C\2/SC(=NC2=O)O)c(Cl)c1OCCC3CCCCC3	CHEMBL3685368	pIC50=6.96
Cc1cc(c(C)n1c2ccc(cc2)[N+](=O)[O-])c3nnc4CCCCCn34	CHEMBL3103004	pIC50=6.97
Cc1cc(c(C)n1c2cccc3ccccc23)c4nnc5CCCCCn45	CHEMBL3103010	pIC50=6.97
Cc1cc(\C=C/2\SC(=NC2=O)O)ccc1OCCCC3CCCCC3	CHEMBL3639842	pIC50=6.98
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCCC3CCCC3	CHEMBL2414145	pIC50=7.0
[O-][N+](=O)c1cccc(Oc2ccc(\C=C\3/SC(=O)NC3=O)cc2Cl)c1	CHEMBL2414153	pIC50=7.0
Cc1cc(c(C)n1c2ccc(cc2)C#N)c3nnc4CCCCCn34	CHEMBL3103002	pIC50=7.02
O=C1NC(=O)\C(=C\c2ccc(OCCc3cccs3)cc2)\S1	CHEMBL590265	pIC50=7.02
COc1cc(\C=C/2\SC(=NC2=O)O)cc(CO)c1OCCC3CCCCC3	CHEMBL3685335	pIC50=7.03
OC1=NC(=O)\C(=C/c2cccc(OCCCCC3CCCCC3)c2Cl)\S1	CHEMBL3685383	pIC50=7.03
COc1ccc(cc1)n2c(C)cc(c2C)c3nnc4CCCCCn34	CHEMBL3103003	pIC50=7.07
FC(F)(F)c1ccc(cc1)n2cnc3cc(ccc23)C(=O)N4CCCCC4	CHEMBL3103041	pIC50=7.07
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCCc3cccs3	CHEMBL2414140	pIC50=7.08
Clc1cc(OCCCCc2ccccc2)ccc1\C=C\3/SC(=O)NC3=O	CHEMBL2414166	pIC50=7.09
Cc1cc(c(C)n1c2cccc(c2)C#N)c3nnc4CCCCCn34	CHEMBL3103001	pIC50=7.12
Cc1cccc(c1)n2cnc3cc(ccc23)C(=O)N4CCC(Br)CC4	CHEMBL3103023	pIC50=7.12
CC(=C)C1CCC(COc2ccc(\C=C\3/SC(=O)NC3=O)cc2Cl)CC1	CHEMBL2414149	pIC50=7.13
OC1=NC(=O)\C(=C\c2ccc(OCCC3CCCCC3)c(c2)C(F)(F)F)\S1	CHEMBL3685338	pIC50=7.14
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1Oc3cccc4C(=O)CCCc34	CHEMBL2414154	pIC50=7.15
CC(C)c1cccc(c1)n2cnc3cc(ccc23)C(=O)N4CCCCC4	CHEMBL3103036	pIC50=7.17
CCCCn1cnc2cc(ccc12)C(=O)N3CCCCC3	CHEMBL3103044	pIC50=7.17
Cc1cc(c(C)n1c2ccc(cc2)C(F)(F)F)c3nnc4CCCCCn34	CHEMBL3102999	pIC50=7.17
Cc1cccc(c1)n2cnc3cc(ccc23)C(=O)N4CCCC(C)(C)C4	CHEMBL3103021	pIC50=7.17
Cc1cccc(c1)n2cnc3cc(ccc23)C(=O)N4CCCC(C4)C(F)(F)F	CHEMBL3103022	pIC50=7.17
CC1CCC(COc2ccc(\C=C/3\SC(=NC3=O)O)cc2)CC1	CHEMBL3689760	pIC50=7.18
OC1=NC(=O)\C(=C\c2ccc(OCCCC3CCCCC3)cc2)\S1	CHEMBL3685344	pIC50=7.21
OC1=NC(=O)\C(=C/c2cccc(OCCCC3CCCCC3)c2Cl)\S1	CHEMBL3685356	pIC50=7.23
OC1=NC(=O)\C(=C\c2ccc(OCCC3CCCCC3)c(c2)[N+](=O)[O-])\S1	CHEMBL3685346	pIC50=7.23
[O-][N+](=O)\C=C\c1cccc(Oc2ccc(\C=C\3/SC(=O)NC3=O)cc2Cl)c1	CHEMBL2414156	pIC50=7.23
OC1=NC(=O)\C(=C/c2cccc(OCC3CCCCC3)c2Cl)\S1	CHEMBL3685355	pIC50=7.24
Cc1cc(\C=C/2\SC(=NC2=O)O)ccc1OCCC3CCCCC3	CHEMBL3685334	pIC50=7.26
CC(C)(C)c1ccc(cc1)n2cnc3cc(ccc23)C(=O)N4CCCCC4	CHEMBL3103042	pIC50=7.27
Cc1cc(c(C)n1c2ccccc2)c3nnc4CCCCCn34	CHEMBL1408258	pIC50=7.27
OC1=NC(=O)\C(=C/c2cccc(OCCCCc3ccccc3)c2Cl)\S1	CHEMBL3685362	pIC50=7.27
CC1CCC(COc2ccc(\C=C\3/SC(=O)NC3=O)cc2)CC1	CHEMBL599018	pIC50=7.28
Clc1cc(OCCCc2ccccc2)ccc1\C=C\3/SC(=O)NC3=O	CHEMBL2414165	pIC50=7.28
O=C1NC(=O)\C(=C\c2ccc(OCCC3CCCCC3)cc2)\S1	CHEMBL599406	pIC50=7.29
OC1=NC(=O)\C(=C\c2ccc(OCCC3CCCCC3)c(F)c2)\S1	CHEMBL3685339	pIC50=7.29
COc1cc(\C=C/2\SC(=NC2=O)O)cc(Cl)c1OCCC3CCCCC3	CHEMBL3685366	pIC50=7.3
Cc1cc(\C=C/2\SC(=NC2=O)O)ccc1OCC3CCCCC3	CHEMBL3685348	pIC50=7.3
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OC3CCCCC3	CHEMBL1800141	pIC50=7.31
CC(C)C1CCCN(C1)C(=O)c2ccc3c(c2)ncn3c4cccc(C)c4	CHEMBL3103020	pIC50=7.32
Cc1cc(c(C)n1c2ccc(Br)cc2)c3nnc4CCCCCn34	CHEMBL3102997	pIC50=7.32
Cc1cc(c(C)n1c2cccc(c2)C(F)(F)F)c3nnc4CCCCCn34	CHEMBL3102998	pIC50=7.32
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCCCCc3ccccc3	CHEMBL2414162	pIC50=7.32
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCc3ccccc3	CHEMBL2414159	pIC50=7.32
FC(F)(F)c1cccc(c1)n2cnc3cc(ccc23)C(=O)N4CCCCC4	CHEMBL3103035	pIC50=7.32
O=C1NC(=O)\C(=C\c2ccc(OCC3CCCC3)cc2)\S1	CHEMBL84603	pIC50=7.35
OC1=NC(=O)\C(=C/c2cccc(OCCCc3ccccc3)c2Cl)\S1	CHEMBL3685363	pIC50=7.35
Clc1cc(OCCC2CCCC2)ccc1\C=C\3/SC(=O)NC3=O	CHEMBL2414244	pIC50=7.38
CCOC(=O)c1ccc(cc1)n2c(C)cc(c2C)c3nnc4CCCCCn34	CHEMBL3103006	pIC50=7.42
Cc1cc(c(C)n1c2ccc(Cl)cc2)c3nnc4CCCCCn34	CHEMBL3102996	pIC50=7.42
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCCCc3ccccc3	CHEMBL2414161	pIC50=7.42
CC(C)(C)n1cnc2cc(ccc12)C(=O)N3CCCCC3	CHEMBL3103043	pIC50=7.47
Cc1cc(c(C)n1c2cccc(Cl)c2)c3nnc4CCCCCn34	CHEMBL3102995	pIC50=7.47
Cc1ccc(cc1)n2c(C)cc(c2C)c3nnc4CCCCCn34	CHEMBL3103000	pIC50=7.47
CC1CCC(COc2ccc(\C=C/3\SC(=NC3=O)O)cc2C(F)(F)F)CC1	CHEMBL3685357	pIC50=7.5
CC(CC1CCC(=CC1)C)Oc2ccc(\C=C/3\SC(=NC3=O)O)cc2	CHEMBL3685373	pIC50=7.55
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCC3CCCCC3	CHEMBL1800142	pIC50=7.55
COc1ccccc1n2cnc3cc(ccc23)C(=O)N4CCCCC4	CHEMBL3102860	pIC50=7.57
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCCCCC3CCCCC3	CHEMBL1800144	pIC50=7.58
COc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCCC3CCCCC3	CHEMBL1800138	pIC50=7.6
OCc1cc(\C=C/2\SC(=NC2=O)O)ccc1OCCC3CCCCC3	CHEMBL3685333	pIC50=7.64
CC1CCCN(C1)C(=O)c2ccc3c(c2)ncn3c4cccc(C)c4	CHEMBL3103018	pIC50=7.66
COc1cc(\C=C/2\SC(=NC2=O)O)ccc1OCCCC3CCCCC3	CHEMBL3685372	pIC50=7.66
Cc1cc(c(C)n1c2ccc(Cl)c(Cl)c2)c3nnc4CCCCCn34	CHEMBL3102994	pIC50=7.66
Clc1ccc(cc1)n2cnc3cc(ccc23)C(=O)N4CCCCC4	CHEMBL3103039	pIC50=7.66
O=C(N1CCCCC1)c2ccc3c(c2)ncn3c4ccccc4	CHEMBL3103032	pIC50=7.66
OCC(=O)C1CCC(COc2ccc(\C=C/3\SC(=NC3=O)O)cc2)CC1	CHEMBL3685358	pIC50=7.69
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCCOC3CCCCC3	CHEMBL2414147	pIC50=7.7
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCCc3ccccc3	CHEMBL2414160	pIC50=7.7
Clc1cc(OCCC2CCCCC2)ccc1\C=C\3/SC(=O)NC3=O	CHEMBL2414240	pIC50=7.71
Brc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCCC3CCCCC3	CHEMBL1800140	pIC50=7.72
COc1ccc(cc1)n2cnc3cc(ccc23)C(=O)N4CCCCC4	CHEMBL3103040	pIC50=7.72
COc1cccc(c1)n2cnc3cc(ccc23)C(=O)N4CCCCC4	CHEMBL3103034	pIC50=7.72
Cc1ccc(cc1)n2cnc3cc(ccc23)C(=O)N4CCCCC4	CHEMBL3103038	pIC50=7.72
Cc1cccc(c1)n2cnc3cc(ccc23)C(=O)N4CCCCC4	CHEMBL1343061	pIC50=7.72
OC1=NC(=O)\C(=C/c2cccc(OCCC3CCCCC3)c2Cl)\S1	CHEMBL3685340	pIC50=7.75
Clc1cccc(c1)n2cnc3cc(ccc23)C(=O)N4CCCCC4	CHEMBL3103033	pIC50=7.92
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCC3CCCC3	CHEMBL2414150	pIC50=7.96
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCCCC3CCCCC3	CHEMBL1800143	pIC50=7.99
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCC3CCC3	CHEMBL2414148	pIC50=8.05
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCCC3CCCCC3	CHEMBL1800139	pIC50=8.1
Brc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCCc3ccccc3	CHEMBL3403240	pIC50=8.4
