OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1	sulfasalazine
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl	meclofenamic acid	pIC50=4.33	pIC50=4.33	pIC50=4.33
Nc1ccc(O)c(c1)C(=O)O	mesalazine
CC(N(O)C(N)=O)C1=CC2=C(S1)C=CC=C2	zileuton	pIC50=6.52	pIC50=6.52	pIC50=6.52	pIC50=6.0
OC(=O)C1=CC(=CC=C1O)N=NC1=CC(C(O)=O)=C(O)C=C1	olsalazine
OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O	balsalazide
CC(C(O)=O)C1=CC2=C(OC(=N2)C2=CC=C(Cl)C=C2)C=C1	benoxaprofen
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc(C)cc3)c(OC)c1	CHEMBL1765891	pIC50=6.01
Cc1ccc(cc1)C2=NC(=O)\C(=C\c3cccs3)\S2	CHEMBL3353701	pIC50=6.01
OC1=CC(=O)C(=CC1=O)Cc2ccc3ccccc3c2	CHEMBL1668217	pIC50=6.01
CCCCCCCCCCCCCCCCC1=C(Oc2cc(OC)c(OC)c(OC)c2C1=O)c3ccc(O)c(O)c3	CHEMBL71970	pIC50=6.02
COc1ccc(\C=C\2/SC(=NC2=O)c3cccnc3)cc1	CHEMBL3353704	pIC50=6.02
CCCCCCCCCCCC1=C(OC)C(=O)C=C(OC)C1=O	CHEMBL2296071	pIC50=6.03
CCOC(=O)c1c(CSc2ccc(Cl)c(Cl)c2)[nH]c3c4ccccc4c(O)cc13	CHEMBL3758897	pIC50=6.03
COc1ccc(\C=C\2/SC(N(C)C2=O)c3ccc(C)cc3)cc1	CHEMBL3353716	pIC50=6.03
CC(=O)Oc1ccc(\C=C\C(=O)OCCCCC#C)cc1OC(=O)C	CHEMBL3613024	pIC50=6.04
CC(C)(C)c1ccc(\C=C\2/SC(=NC2=O)c3ccccc3)cc1	CHEMBL1765897	pIC50=6.04
CCCCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O	CHEMBL2269075	pIC50=6.04
CC(N(CCc1c2SC(C)Cc3c(OCc4ccc(cn4)c5ccccc5)ccc(c23)n1Cc6ccc(Cl)cc6)C(=O)C)C(=O)O	CHEMBL16591	pIC50=6.05
CCCCC(Cc1cc(OCCc2ccccc2)ccc1OCCc3ccccc3)C(=O)O	CHEMBL1819396	pIC50=6.05
CCCCC(Sc1ccc(OCCCOc2ccc(cc2)c3ccccc3)cc1)C(=O)O	CHEMBL563351	pIC50=6.05
CCCCC(Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc(Cl)cc3)n1)C(=O)O	CHEMBL3094432	pIC50=6.05
CCCCC(Sc1nc(OCCCc2ccccc2)cc(OCCCc3ccccc3)n1)C(=O)O	CHEMBL1172019	pIC50=6.05
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc(Cl)cc3)n1)C(=O)O	CHEMBL3094431	pIC50=6.05
CCCCCC[C@H](Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc4ccccc4c3)n1)C(=O)O	CHEMBL3094414	pIC50=6.05
CCCC\C(=C/c1cc(OCCc2ccccc2)ccc1OCCc3ccccc3)\C(=O)O	CHEMBL1819397	pIC50=6.05
CCCC\C(=C/c1cc(OCc2ccc(OCCN3CCOCC3)cc2)ccc1OCc4ccc(cc4)C(F)(F)F)\C(=O)O	CHEMBL3397724	pIC50=6.05
CCCC\C(=C/c1cc(OCc2csc(n2)c3ccc(cc3)C(F)(F)F)ccc1OCc4ccc(cc4)C(F)(F)F)\C(=O)O	CHEMBL3397720	pIC50=6.05
CCOC(=O)c1c(CSc2c(Cl)cccc2Cl)n(C)c3ccc(O)cc13	CHEMBL3260681	pIC50=6.05
CCOC(=O)c1c(CSc2ccc(OC(F)(F)F)cc2)n(C)c3ccc(O)cc13	CHEMBL3260687	pIC50=6.05
COC(=O)CC[C@@H](NC(=O)C(=O)c1cn(c2ccccc12)S(=O)(=O)c3ccc(C)cc3)C(=O)OC	CHEMBL3113615	pIC50=6.05
COc1cc(C)c2CCC(Cc2c1C)C(C)C(=O)NCc3occc3	CHEMBL376759	pIC50=6.05
COc1ccc(cc1)C2=NC(=O)\C(=C\c3ccc(OC)c4ccccc34)\S2	CHEMBL2029353	pIC50=6.05
Cc1c(CC(=O)O)c2cc(ccc2n1Cc3ccc(Cl)cc3)C#Cc4ccccc4	CHEMBL2172770	pIC50=6.05
Cc1ccc(cc1)c2csc(Nc3ccc(O)cc3)n2	CHEMBL1081479	pIC50=6.05
Cc1ccc(cc1)c2nc3cc(C)ccn3c2NC4CCCC4	CHEMBL1955887	pIC50=6.05
Clc1ccc(cc1)c2csc(Nc3cc(Cl)cc(Cl)c3)n2	CHEMBL3318376	pIC50=6.05
Nc1cc(ccc1Cn2cc(nn2)c3ccc(cc3)c4ccccc4COc5cc(ccc5Cl)C(F)(F)F)C(=O)O	CHEMBL2042365	pIC50=6.05
Oc1ccc(Nc2nc(cs2)c3ccc(Cl)c(Cl)c3)cc1	CHEMBL1081482	pIC50=6.05
Oc1ccc(cc1)c2ccc(cc2)c3cn(CSc4ccccc4)nn3	CHEMBL1688764	pIC50=6.05
Oc1ccc(cc1)c2nc3ccc(Br)cn3c2NC4CCCCC4	CHEMBL1957966	pIC50=6.05
Oc1ccccc1Nc2nc(cs2)c3ccc(Cl)cc3	CHEMBL3318371	pIC50=6.05
CCCC1Oc2ccc(Oc3ccccc3)cc2C=C1CN(O)C(=O)N	CHEMBL118430	pIC50=6.06
CCCCCCCCCCCCCCC1=C(Oc2cc(OC)c(OC)c(O)c2C1=O)c3ccc(O)c(O)c3	CHEMBL420917	pIC50=6.06
CCCCCCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O	CHEMBL3416174	pIC50=6.07
CCCCCCCCCCCCCCCC1=C(OC)C(=O)C=C(OC)C1=O	CHEMBL3416350	pIC50=6.07
CCOc1cc(\C=N/Nc2nc3ccccc3s2)cc(c1O)[N+](=O)[O-]	CHEMBL2163384	pIC50=6.07
COC(=O)COc1ccc(cc1)C2=NC(=O)\C(=C\c3ccc(OC)cc3)\S2	CHEMBL1765902	pIC50=6.07
COc1ccc(Sc2cccc(CN(C)c3cc(nc4cc(Cl)cc(Cl)c34)C(=O)O)c2)cc1	CHEMBL1774309	pIC50=6.07
CCOC(=O)c1c(Cc2cccc(Cl)c2)[nH]c3c4ccccc4c(O)cc13	CHEMBL490461	pIC50=6.08
CN(O)C(=O)C1=Cc2ccccc2OC1	CHEMBL324959	pIC50=6.08
COc1cc(ccc1OCCCNC(=O)Nc2ccc(Cl)cc2)c3nc4ccc(C)cn4c3NC5CCCCC5	CHEMBL2336303	pIC50=6.08
CCCCCCCCC1=C(OC)C(=CC(=O)C1=O)OC	CHEMBL3416356	pIC50=6.09
CCOC(=O)c1c(CSc2ccccc2Cl)[nH]c3c4ccccc4c(O)cc13	CHEMBL3759086	pIC50=6.09
CN(C)C(=O)C1(CCOCC1)c2cc(F)cc(OCc3ccc(cc3)n4ccnc4C)c2	CHEMBL348981	pIC50=6.09
Cl.Cc1cc(OCCN2CCN(CC2)C(c3ccccc3)c4ccccc4)c(C)c(C)c1O	CHEMBL542889	pIC50=6.09
OC1CC(O)(CCO1)c2cccc(COc3ccc4c(c5COC(=O)c5cc4c3)c6ccccc6)c2	CHEMBL420145	pIC50=6.09
CCC(O)(c1cccc(OC\C=C\c2ccccc2)c1)c3nccs3	CHEMBL70054	pIC50=6.1
CCCCC(Sc1cc(OCCc2ccccc2)cc(OCCc3ccccc3)c1)C(=O)O	CHEMBL1819392	pIC50=6.1
CCCCC(Sc1ccc(OCCCOc2ccc3ncccc3c2)cc1)C(=O)OCC	CHEMBL1780187	pIC50=6.1
CCCCC(Sc1nc(OCCC2CCCCC2)cc(OCCC3CCCCC3)n1)C(=O)O	CHEMBL1171834	pIC50=6.1
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc(Cl)cc3Cl)n1)C(=O)O	CHEMBL3094421	pIC50=6.1
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc(OC)cc3)n1)C(=O)O	CHEMBL3094423	pIC50=6.1
CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O	CHEMBL221137	pIC50=6.1
CCCCCC[C@@H](Sc1nc(Cl)cc(Nc2ccc(cc2)c3ccc(cc3)C#N)n1)C(=O)O	CHEMBL457204	pIC50=6.1
CCCC\C(=C/c1cc(OCCC2CCCCC2)ccc1OCCC3CCCCC3)\C(=O)O	CHEMBL1819398	pIC50=6.1
CCCC\C(=C/c1cccc(OCCc2ccccc2)c1OCCc3ccccc3)\C(=O)O	CHEMBL2170363	pIC50=6.1
CCCOc1cc(C)c2CCC(Cc2c1C)C(C)C(=O)Nc3ncc(C)s3	CHEMBL389181	pIC50=6.1
CCOC(=O)c1c(CSc2c(C)cccc2C)n(C)c3ccc(O)cc13	CHEMBL3260680	pIC50=6.1
CCOC(=O)c1c(CSc2ccccc2C(F)(F)F)n(C)c3ccc(O)cc13	CHEMBL3260686	pIC50=6.1
COc1cc(C)c2CCC(Cc2c1C)C(C)C(=O)Nc3ccccn3	CHEMBL227244	pIC50=6.1
COc1cc(OC)c2C(=O)C(=C(Oc2c1OC)c3ccc(O)c(O)c3)C	CHEMBL68832	pIC50=6.1
COc1cc(\C=C\C(=O)\C=C\c2ccc(O)c(OC)c2)ccc1O	CHEMBL128729	pIC50=6.1
COc1cc(\C=C\c2cc(\C=C\c3cc(CC=C(C)C)c(O)c(OC)c3)[nH]n2)cc(CC=C(C)C)c1O	CHEMBL3290441	pIC50=6.1
COc1cccc(\C=C\2/SC(=NC2=O)c3ccc(C)cc3)c1O	CHEMBL1765892	pIC50=6.1
C[C@H](C(=O)O)c1ccc2ccc(OCc3ccc4ccccc4n3)cc2c1.NC(CO)(CO)CO	CHEMBL314449	pIC50=6.1
Cc1ccc(cc1)c2nc(O)c(C=C3CCCCC3)s2	CHEMBL3353720	pIC50=6.1
O=C1N=C(S/C/1=C\c2ccc3[nH]ccc3c2)c4ccc5ccccc5c4	CHEMBL2029859	pIC50=6.1
OC(=O)C(Sc1nc(Cl)cc(Nc2ccc(Cl)cc2)n1)c3cccc4ccccc34	CHEMBL1090493	pIC50=6.1
OC(=O)C(Sc1nc(OCCc2ccccc2)cc(OCCc3ccccc3)n1)c4ccccc4	CHEMBL1171851	pIC50=6.1
OC(=O)c1ccc(cc1)N2C(=O)\C(=C/c3oc(cc3)c4ccc(Br)cc4)\C=C2c5ccccc5	CHEMBL565883	pIC50=6.1
OC(=O)c1ccc(cc1)S(=O)(=O)n2cc(nn2)c3ccc(cc3)c4ccccc4COc5cccc6ccccc56	CHEMBL1688772	pIC50=6.1
OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)c(O)c3	quercetin	pIC50=6.1
OC1=CC(=O)C(=CC1=O)c2cccc3c2oc4ccccc34	CHEMBL3109717	pIC50=6.1
OCC(Cn1cc(COC(=O)\C=C\c2ccc(O)c(O)c2)nn1)(Cn3cc(COC(=O)\C=C\c4ccc(O)c(O)c4)nn3)Cn5cc(COC(=O)\C=C\c6ccc(O)c(O)c6)nn5	CHEMBL455788	pIC50=6.1
[O-][N+](=O)c1ccc(CSc2cc3ccccc3[nH]2)c(c1)[N+](=O)[O-]	CHEMBL2163385	pIC50=6.1
Brc1ccc2nc(c(NC3CCCCC3)n2c1)c4ccc(cc4)N5CCOCC5	CHEMBL1957973	pIC50=6.11
CC(=O)N(O)Cc1ccc(OCc2ccccc2)cc1	CHEMBL61608	pIC50=6.11
CC(C)(C)c1cc(\C=C/2\SC(=NC2=O)N)cc(c1O)C(C)(C)C	CHEMBL196996	pIC50=6.11
CCCCCCOc1cc(OC)c(OC)c2OC(=C(O)C(=O)c12)c3ccc(O)c(O)c3	CHEMBL68599	pIC50=6.11
COC(=O)c1cccc2Oc3ccccc3Nc12	CHEMBL274541	pIC50=6.11
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc4ccccc4c3)cc1O	CHEMBL2029844	pIC50=6.11
CCC(=O)Nc1ccc(cc1)C2=NC(=O)\C(=C\c3ccc(OC)cc3)\S2	CHEMBL2029841	pIC50=6.12
CCc1cc(c2ccccc2)c3ccc(OCc4cccc(c4)C5(O)CCOCC5)cc3c1	CHEMBL128716	pIC50=6.12
CCCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O	CHEMBL3416173	pIC50=6.13
CCCC\C(=C/c1cc(OC\C=C\c2ccccc2)ccc1OCc3ccc(cc3)C(F)(F)F)\C(=O)O	CHEMBL3397711	pIC50=6.13
CC[C@](OC)(c1cc(F)cc(OCc2ccc3ccccc3c2)c1)c4nccs4	CHEMBL22106	pIC50=6.13
COC(=O)[C@H]1CCCN1C(=O)C(=O)c2cn(c3ccccc23)S(=O)(=O)c4ccc(C)cc4	CHEMBL3113616	pIC50=6.13
C[C@@H]1CC[C@]2(C)CC[C@]3(C)C(=CC=C4[C@@]5(C)CC[C@@H](OC(=O)C)[C@@](C)([C@@H]5CC[C@@]34C)C(=O)O)[C@@H]2[C@H]1C	CHEMBL513407	pIC50=6.13
Cc1ccc(cc1)C2=NC(=O)\C(=C\c3ccc(OC(=O)N4CCOCC4)cc3)\S2	CHEMBL3353696	pIC50=6.13
Cc1ccc(cc1)c2nc(O)c(s2)c3ccccc3	CHEMBL67708	pIC50=6.13
Oc1ccc(\C=C\C(=O)OCCn2cc(COC(=O)\C=C\c3ccc(O)c(O)c3)nn2)cc1O	CHEMBL517243	pIC50=6.13
CC(C)C(=O)c1c(O)c(C(C2=C(O)c3ccccc3C2=O)c4ccccc4)c(O)c(C(C5=C(O)c6ccccc6C5=O)c7ccccc7)c1O	CHEMBL3608857	pIC50=6.14
CCCCCCC(Sc1nc(Cl)cc(Nc2ccc(cc2)c3ccccc3)n1)C(=O)O	CHEMBL460616	pIC50=6.14
COc1ccc(Cc2sc(nc2O)c3ccc(C)cc3)cc1	CHEMBL3353722	pIC50=6.14
COc1ccc(cc1OC)c2nc3ccc(C)cn3c2NC4CCCCC4	CHEMBL1958139	pIC50=6.14
Cc1ccc(cc1)C2=NC(=O)\C(=C\c3ccc(OCC(=O)N4CCOCC4)cc3)\S2	CHEMBL3353695	pIC50=6.14
Cc1ccc(cc1)C2=NC(=O)\C(=C\c3ccccc3)\S2	CHEMBL1765895	pIC50=6.14
Clc1cccc(c1)N2CCC(=O)N2	CHEMBL30244	pIC50=6.14
OC1(CCOCC1)c2cccc(COc3ccc4c(c5COC(=O)c5cc4c3)c6cccnc6)c2	CHEMBL340805	pIC50=6.14
CCOC(=O)c1c(Nc2cccc(Cl)c2)[nH]c3c4ccccc4c(O)cc13	CHEMBL490460	pIC50=6.15
CCCCC(Sc1nc(OCCCCc2ccccc2)cc(OCCCCc3ccccc3)n1)C(=O)O	CHEMBL1172016	pIC50=6.16
CCCCC(Sc1nc(OCCc2ccc(cc2)C#N)cc(OCCc3ccc(cc3)C#N)n1)C(=O)O	CHEMBL1171831	pIC50=6.16
CCCCCC(=O)c1c(O)c(C(C2=C(O)c3ccccc3C2=O)c4ccccc4)c(O)c(C(C5=C(O)c6ccccc6C5=O)c7ccccc7)c1O	CHEMBL3608858	pIC50=6.16
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(c(CC)s2)c3ccccc3)n1)C(=O)O	CHEMBL3094427	pIC50=6.16
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(c3ccccc3)c(s2)c4ccccc4)n1)C(=O)O	CHEMBL3094428	pIC50=6.16
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc(Br)cc3)n1)C(=O)O	CHEMBL3091500	pIC50=6.16
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc(Cl)c(Cl)c3)n1)C(=O)O	CHEMBL3094419	pIC50=6.16
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(cs2)c3cccc4ccccc34)n1)C(=O)O	CHEMBL3094411	pIC50=6.16
CCCC\C(=C/c1cc(OCCc2ccccc2)cc(OCCc3ccccc3)c1)\C(=O)O	CHEMBL1819391	pIC50=6.16
CCCC\C(=C/c1cc(OCc2cc3ccccc3s2)ccc1OCc4ccc(cc4)C(F)(F)F)\C(=O)O	CHEMBL3397719	pIC50=6.16
CCOC(=O)c1c(CCc2ccc(Cl)cc2)[nH]c3ccc(O)cc13	CHEMBL488740	pIC50=6.16
CCOC(=O)c1c(CSc2c(C)cc(C)cc2C)n(C)c3ccc(O)cc13	CHEMBL3260691	pIC50=6.16
CCOC(=O)c1c(Cc2ccc(Cl)cc2)[nH]c3ccc(O)cc13	CHEMBL504152	pIC50=6.16
COC(=O)c1ccc(\C=C\2/SC(=NC2=O)c3ccc(C)cc3)cc1	CHEMBL3353688	pIC50=6.16
COC(C)(c1cccc(OCc2ccc3ccccc3c2)c1)c4nccs4	CHEMBL70191	pIC50=6.16
COC1(CCOC1)c2cccc(OCc3ccc4ccccc4c3)c2	CHEMBL87722	pIC50=6.16
COC1(CCc2ccc(OCc3ccc4ccccc4c3)cc12)c5nccs5	CHEMBL20953	pIC50=6.16
COc1cc(\C=C\C(=O)CC(=O)\C=C\c2cc(CC=C(C)C)c(O)c(OC)c2)cc(CC=C(C)C)c1O	CHEMBL2392187	pIC50=6.16
COc1cc(\C=C\c2cc(\C=C\c3ccc(O)c(OC)c3)[nH]n2)ccc1O	CHEMBL180239	pIC50=6.16
COc1cc(ccc1OCCCNC(=O)Nc2ccc(OC(F)(F)F)cc2)c3nc4ccc(F)cn4c3NC5CCCCC5	CHEMBL2336308	pIC50=6.16
Cc1ccc(Nc2cc(Cl)nc(SC(C(=O)O)c3cccc4ccccc34)n2)cc1C	CHEMBL1091866	pIC50=6.16
Clc1ccc(cc1)c2csc(Nc3ccccc3)n2	CHEMBL68504	pIC50=6.16
OC(=O)C(Sc1nc(Cl)cc(NCc2ccc(cc2)c3ccccc3)n1)c4cccc5ccccc45	CHEMBL1683867	pIC50=6.16
OC(=O)C(Sc1nc(Cl)cc(Nc2cccc(Cl)c2)n1)c3cccc4ccccc34	CHEMBL1089467	pIC50=6.16
OC(=O)C(Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc(Cl)cc3)n1)c4cccc5ccccc45	CHEMBL3091497	pIC50=6.16
Oc1ccc(Nc2nc(cs2)c3ccc(Cl)cc3)cc1	CHEMBL1076555	pIC50=6.16
Oc1ccc(Nc2nc(cs2)c3ccc(F)cc3)cc1	CHEMBL3318368	pIC50=6.16
[O-][N+](=O)c1ccc2C(=NS(=O)(=O)c2c1)Nc3cccc(c3)c4ccccc4	CHEMBL3288318	pIC50=6.16
CC1(C)CCC[C@@]2(C)[C@H]1CC[C@]3(C)OC4=CC(=O)C(=CC4=C[C@H]23)O	CHEMBL157844	pIC50=6.17
CCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O	CHEMBL471270	pIC50=6.17
COc1ccc(cc1)C2=NC(=O)\C(=C\c3cc4ccccc4[nH]3)\S2	CHEMBL2029853	pIC50=6.17
COc1ccc(cc1OC)S2=NS(=O)(=O)c3cc(ccc23)[N+](=O)[O-]	CHEMBL1917101	pIC50=6.17
Oc1ccc(\C=C\C(=O)OCCn2cc(COC(=O)\C=C\c3ccccc3)nn2)cc1O	CHEMBL460192	pIC50=6.17
CC(C)CC(C1=C(O)C(C)(C)C(=O)C(C)(C)C1=O)c2c(O)c(C(CC(C)C)C3=C(O)C(C)(C)C(=O)C(C)(C)C3=O)c(O)c(C(=O)CC(C)C)c2O	CHEMBL3608361	pIC50=6.18
CCOC(=O)c1c(CSc2cccc(Cl)c2Cl)[nH]c3c4ccccc4c(O)cc13	CHEMBL3758401	pIC50=6.18
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc(C)cc3)cc1	CHEMBL1765888	pIC50=6.18
Oc1ccc(\C=C\C(=O)OCc2cn(CC(Cn3cc(COC(=O)\C=C\c4ccc(O)c(O)c4)nn3)(Cn5cc(COC(=O)\C=C\c6ccc(O)c(O)c6)nn5)Cn7cc(COC(=O)\C=C\c8ccc(O)c(O)c8)nn7)nn2)cc1O	CHEMBL451956	pIC50=6.18
CCOC(=O)c1c(Cc2ccc(Cl)cc2)n(Cc3ccccc3)c4c5ccccc5c(O)cc14	CHEMBL519847	pIC50=6.19
CCOC(=O)c1c(Cc2ccc(OC)cc2)[nH]c3c4ccccc4c(O)cc13	CHEMBL483677	pIC50=6.19
COc1cc(Cl)cc(\C=C\2/SC(=NC2=O)c3ccccc3)c1O	CHEMBL1765885	pIC50=6.19
COc1cc(ccc1OCCCNC(=O)Nc2ccc(cc2)C(F)(F)F)c3nc4ccc(F)cn4c3NC5CCCCC5	CHEMBL2336309	pIC50=6.19
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc(Cl)cc3)c4ccccc14	CHEMBL2029850	pIC50=6.19
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc(O)cc3)cc1	CHEMBL1765903	pIC50=6.19
O=C1N=C(S/C/1=C\c2ccc(Oc3ccccc3)cc2)c4ccc(Oc5ccccc5)cc4	CHEMBL2029855	pIC50=6.19
OC1(CCOCC1)c2cccc(COc3ccc4c(cc(Cn5ccnc5)cc4c3)c6ccccc6)c2	CHEMBL129566	pIC50=6.19
CCCCCCCCCCCCC1=C(OC)C(=O)C=C(OC)C1=O	CHEMBL3416347	pIC50=6.2
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc(N)cc3)cc1	CHEMBL1765905	pIC50=6.2
CCCCCCCCCCCCCCCC1=C(OC)C(=CC(=O)C1=O)OC	CHEMBL3416362	pIC50=6.21
COc1cc(ccc1OCCCNC(=O)Nc2ccc(cc2)C(F)(F)F)c3nc4ccc(C)cn4c3NC(C)C	CHEMBL2336313	pIC50=6.21
COc1cc(ccc1OCCCNC(=O)Nc2ccc(cc2)C(F)(F)F)c3nc4ccc(C)cn4c3NC5CCCC5	CHEMBL2336311	pIC50=6.21
[O-][N+](=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)O\N=C\c2ccc(Br)cc2	CHEMBL2163386	pIC50=6.21
C1CCC(CC1)Nc2c(nc3sccn23)c4ccc(cc4)N5CCOCC5	CHEMBL1957980	pIC50=6.22
CC(=CCCC1(C)Oc2c(C)cc(O)cc2C=C1)C	CHEMBL450070	pIC50=6.22
CC(=O)Oc1ccc(\C=C\C(=O)OCCCn2cc(CCOC(=O)\C=C\c3ccc(OC(=O)C)c(OC(=O)C)c3)nn2)cc1OC(=O)C	CHEMBL3613037	pIC50=6.22
CC1C2CCC3(C)Cc4sc(NC(=O)Nc5ccc(F)cc5F)nc4C(C)C3C2OC1=O	CHEMBL227242	pIC50=6.22
CCC(O)(c1cccc(OCC#Cc2ccccc2C)c1)c3nccs3	CHEMBL305018	pIC50=6.22
CCC(O)(c1cn(Cc2ccc3c(csc3c2)c4ccccc4)nn1)C(F)(F)F	CHEMBL1290766	pIC50=6.22
CCC(OC)(c1cccc(OCc2ccc3ccccc3c2)c1)c4cscn4	CHEMBL20905	pIC50=6.22
CCCCC(Oc1cc(OCCc2ccccc2)cc(OCCc3ccccc3)c1)C(=O)O	CHEMBL1817687	pIC50=6.22
CCCCC(Sc1nc(OCCc2ccccc2)cc(OCCc3ccccc3)n1)C(=O)O	CHEMBL461883	pIC50=6.22
CCCCC(Sc1nc(OCCc2ccsc2)cc(OCCc3ccsc3)n1)C(=O)O	CHEMBL1171832	pIC50=6.22
CCCCCCC(Sc1nc(Cl)cc(Nc2ccc3ncccc3c2)n1)C(=O)OCC	CHEMBL459722	pIC50=6.22
CCCCCCC(Sc1nc(Cl)cc(Nc2cccc(c2)c3ccccc3)n1)C(=O)O	CHEMBL3094429	pIC50=6.22
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(c(C)s2)c3ccccc3)n1)C(=O)O	CHEMBL3094425	pIC50=6.22
