COC1=CC(CNC(=O)CCCC\C=C/C(C)C)=CC=C1O	zucapsaicin	pEC50=7.71000004	pEC50=7.71000004	pEC50=7.71000004
COC1=C(O)C=CC(CNC(=O)CCCC\C=C\C(C)C)=C1	capsaicin	pKi=8.22	pKi=8.22	pKi=8.22	pIC50=8.1
CC(=O)NC1=CC=C(O)C=C1	paracetamol
FC(F)(F)c1ccccc1c2cc3cn[nH]c3cc2OCC4CC4	CHEMBL3299022	pIC50=5.09
CC(C(=O)NCCc1c[nH]c2ccc(O)cc12)c3cccc(Oc4ccccc4)c3	CHEMBL3359450	pIC50=5.1
COc1ccc(CC(=O)OC\C=C(/C)\CCC=C(C)C)cc1	CHEMBL3355281	pEC50=5.1
CC(=CCC\C(=C/COC(=O)Nc1ccc(cc1)C(C)(C)C)\C)C	CHEMBL3355303	pEC50=5.11
OCCN1Cc2ccc(NC(=O)N[C@H]3CC[C@H](C3)c4ccccc4)cc2NC1=O	CHEMBL3646652	pIC50=5.11
Oc1ccc2[nH]c3CN(CCc3c2c1)C(=O)Oc4ccc(cc4)c5ccccc5	CHEMBL2312047	pEC50=5.11
CC1(C)C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3cc(F)ccc3O1	CHEMBL3698475	pIC50=5.12
CC1(C)C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3ccccc3O1	CHEMBL3698474	pIC50=5.12
CN(Cc1ccc2ccccc2c1)C(=O)n3nnnc3Cc4ccc(cc4)c5ccccc5	CHEMBL2375374	pIC50=5.12
O=C(N1CCCCC1)n2nnc(Cc3ccc(cc3)c4ccccc4)n2	CHEMBL2376841	pIC50=5.13
Oc1ccc2[nH]c3CN(CCc3c2c1)C(=O)Nc4cccc(c4)C(F)(F)F	CHEMBL2312051	pEC50=5.13
CCCCCc1ccc(CC(=O)Nc2cccnc2)cc1	CHEMBL260464	pKi=5.14
Cc1ccc2CCC(NC(=O)Nc3cccc4[nH]ncc34)c2c1	CHEMBL439410	pIC50=5.14
Clc1ccc(NC(=O)N2CCN(CC2)c3ccncc3)cc1	CHEMBL367728	pEC50=5.14
OCCN1Cc2ccc(NC(=O)N[C@@H]3CCc4cc(F)ccc34)cc2NC1=O	CHEMBL3677353	pIC50=5.14
CN(CCCCc1ccccc1)C(=O)n2nnnc2Cc3ccc(cc3)c4ccccc4	CHEMBL2376858	pIC50=5.15
O=C(N[C@@H]1CC2(CCCC2)Oc3ccccc13)Nc4ccc5CCC(=O)Nc5c4	CHEMBL3682332	pIC50=5.15
O=C(Oc1cccc(c1)c2ccccc2)N3CCc4c(C3)[nH]c5ccccc45	CHEMBL2312040	pIC50=5.15
OB(O)c1ccc(CNC(=O)c2ccc(cc2)c3ccccc3)cc1	CHEMBL3769572	pIC50=5.15
[O-][N+](=O)c1cccc(\C=C\C(=O)Nc2cccc(Cl)c2)c1	CHEMBL3422835	pIC50=5.15
CCCCCCC(C)(C)c1cc(O)cc(OCCCCCCCC(=O)NCC=C)c1	CHEMBL3323682	pEC50=5.16
CCCCCCCCCn1nnc(n1)c2ccc(O)c(OC)c2	CHEMBL3398238	pEC50=5.16
CC[C@H]1C[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@](C2)([C@@H]13)C(=O)OC	CHEMBL3325770	pEC50=5.16
CN1Cc2ccc(NC(=O)N[C@@H]3CCOc4ccc(F)cc34)cc2NC1=O	CHEMBL3682287	pIC50=5.17
CC(=CCC\C(=C/CNC(=O)Oc1ccc(cc1)C(C)(C)C)\C)C	CHEMBL3355302	pEC50=5.19
COc1cc(CC(=O)OCC2=C[C@H]3[C@@H]4C(C)(C)[C@]4(OC(=O)C)[C@H](OC(=O)Cc5ccccc5)[C@@H](C)[C@]3(O)[C@@H]6C=C(C)C(=O)[C@@]6(O)C2)ccc1O	CHEMBL104647	pKi=5.19
CS(=O)(=O)Nc1ccc(CNC(=O)N[C@@H]2CC(CF)(CF)Oc3cc(F)ccc23)cc1F	CHEMBL3698493	pIC50=5.19
O=C(N[C@H]1CC[C@H](C1)c2ccccc2)Nc3cccc4CCCc34	CHEMBL3646663	pIC50=5.19
Oc1ccc2[nH]c3CN(CCc3c2c1)C(=O)Oc4cccc(c4)C(F)(F)F	CHEMBL2312043	pIC50=5.19
Oc1ccc2[nH]c3CN(CCc3c2c1)C(=O)c4ccc(cc4)c5ccccc5	CHEMBL2312060	pEC50=5.19
CCCCc1ccc(cc1)C(=O)Nc2ccccc2	CHEMBL260465	pKi=5.2
C[C@H]1CCCN([C@H]1C)C(=O)c2nc(Nc3ccc(Cl)cc3F)sc2C	CHEMBL2418811	pIC50=5.2
CC(C)(C)c1cccc(OC(=O)N2CCc3c(C2)[nH]c4ccc(O)cc34)c1	CHEMBL2312062	pIC50=5.21
Cc1ccnnc1N2CCN(CC2)C(=O)Nc3nc4ccc(F)cc4s3	CHEMBL434904	pIC50=5.21
CC(=CCC\C(=C\COC(=O)c1ccc(C)cc1)\C)C	CHEMBL3355275	pEC50=5.22
CC(C)Cc1ccc(cc1)C(C)C(=O)NCCc2c[nH]c3ccc(O)cc23	CHEMBL3359452	pIC50=5.22
OCCN1Cc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4ccc(F)cc34)cc2NC1=O	CHEMBL3677347	pIC50=5.22
OCc1cccc(NC(=O)\C=C\c2cccc(c2)[N+](=O)[O-])c1	CHEMBL3422832	pIC50=5.22
Cc1ccnnc1N2CCN(CC2)C(=O)Nc3ccc(cc3)C(F)(F)F	CHEMBL362328	pIC50=5.23
O=C(N1CCCCC1)n2nnnc2Cc3ccc(cc3)c4ccccc4	CHEMBL2376856	pEC50=5.23
CC(C)c1ccc(NC(=O)N2CCN(CC2)c3cccnn3)cc1	CHEMBL186458	pIC50=5.24
Cc1ccnnc1N2CCN(CC2)C(=O)Nc3ccc(cc3)c4ccccc4	CHEMBL187331	pIC50=5.24
Cc1oc(nc1)[C@H]2CC[C@H](C2)NC(=O)Nc3c(F)ccc4cnc(C)cc34	CHEMBL3646666	pIC50=5.24
O=C(NC1CCc2ncccc12)Nc3cccc4[nH]ncc34	CHEMBL254014	pIC50=5.24
CCCCCCCC\C=C/CCCCCCCCn1nnc(n1)c2ccc(O)c(OC)c2	CHEMBL3398239	pEC50=5.26
OB(O)c1ccc(CC(=O)NCc2ccc(cc2)c3ccccc3)cc1	CHEMBL3770620	pIC50=5.26
CC(C)(C)c1cccc(NC(=O)N2CCc3c(C2)[nH]c4ccc(O)cc34)c1	CHEMBL2312049	pIC50=5.27
CC(C)(C)c1ccc(OC(=O)N2CCc3c(C2)[nH]c4ccccc34)cc1	CHEMBL2312039	pEC50=5.28
C[C@@]1(C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3ccccc3O1)C(F)F	CHEMBL3698491	pIC50=5.28
FC(F)(F)c1ccccc1N2CCN(CC2)C(=O)Nc3cccc4ncccc34	CHEMBL369022	pEC50=5.28
CCCCCc1cccc(OC(=O)N2CCc3c(C2)[nH]c4ccc(O)cc34)c1	CHEMBL2312044	pIC50=5.29
Cc1cc2[nH]ncc2cc1c3ccccc3C(F)(F)F	CHEMBL3298923	pIC50=5.29
CC(C)c1ccc(NC(=O)N2CCN(CC2)c3cc(C)cnn3)cc1	CHEMBL187475	pIC50=5.3
CN(C)C(=O)n1nnc(Cc2ccc(cc2)c3ccccc3)n1	CHEMBL485841	pEC50=5.3
Cc1cc(O)c(C[C@H]2[C@](C)(O)CC[C@H]3C(C)(C)CCC[C@]23C)c(O)c1	CHEMBL512488	pIC50=5.3
FC(F)(F)c1ccc(NC(=O)N2CCN(CC2)c3cccnc3)cc1	CHEMBL177003	pIC50=5.3
FC(F)(F)c1ccc(NC(=O)NC2CCN(CC2)c3ncccc3C(F)(F)F)cc1	CHEMBL177247	pIC50=5.3
OCCN1Cc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(F)ccc34)cc2NC1=O	CHEMBL3682406	pIC50=5.3
CC1(C)C[C@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4cc(F)ccc4O1	CHEMBL3682331	pIC50=5.31
Cc1cnnc(c1)N2CCN(CC2)C(=O)Nc3ccc(cc3)C(F)(F)F	CHEMBL187324	pIC50=5.31
CN(C)C(=O)n1nnc(Cc2ccc(cc2)c3ccc(C)cc3)n1	CHEMBL2376855	pEC50=5.32
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CCc4cc(Cl)ccc34)cc12	CHEMBL3682371	pIC50=5.32
CCC1(CC)C[C@@H](NC(=O)Nc2ccc3CCC(=O)N(C)c3c2)c4cccc(F)c4O1	CHEMBL3682347	pIC50=5.33
CN(Cc1ccc2ccccc2c1)C(=O)n3nnc(Cc4ccc(cc4)c5ccccc5)n3	CHEMBL2376844	pIC50=5.35
Cc1ccnnc1N2CCN(CC2)C(=O)Nc3ccc(OC(F)(F)F)cc3	CHEMBL186171	pIC50=5.36
FC(F)(F)c1ccc(NC(=O)N2CCc3c(C2)[nH]c4ccccc34)cc1	CHEMBL2312042	pIC50=5.36
[O-][N+](=O)c1cccc(CCC(=O)Nc2cccc(I)c2)c1	CHEMBL3422838	pIC50=5.37
CC(C)(C)c1ccc(NC(=O)NCc2ccc(cc2)B(O)O)cc1	CHEMBL3771217	pIC50=5.38
CCCCCc1ccc(cc1)C(=O)NCc2cccnc2	CHEMBL265180	pEC50=5.38
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4cc(Cl)ccc34)cc12	CHEMBL3682365	pIC50=5.38
CC(C)c1cccc(NC(=O)\C=C\c2cccc(c2)[N+](=O)[O-])c1	CHEMBL3422842	pIC50=5.39
CN1Cc2ccc(NC(=O)N[C@@H]3CCOc4ccccc34)cc2NC1=O	CHEMBL3682264	pIC50=5.39
CC(=CCC\C(=C\COC(=O)CCc1ccccc1)\C)C	CHEMBL3355282	pEC50=5.4
OB(O)c1ccc(cc1)C(=O)Nc2ccc(cc2)c3ccccc3	CHEMBL3771141	pEC50=5.4
CCCCCCCCC(=O)NCc1cc(OC)c(O)cc1\C=C\C(=O)OC	CHEMBL191098	pIC50=5.41
CC(C)(C)c1ccc(NC(=O)N2CCN(CC2)c3ccc(Cl)nn3)cc1	CHEMBL185186	pIC50=5.42
CS(=O)(=O)Nc1ccc(CNC(=O)N[C@@H]2CCOc3c2cccc3C(F)(F)F)cc1F	CHEMBL3698483	pIC50=5.42
CCCCCCCc1ccc(cc1)C(=O)Nc2cccnc2	CHEMBL263921	pEC50=5.43
CN1C(=O)C=Cc2c(NC(=O)N[C@H]3CC(C)(C)Oc4ccc(F)cc34)cccc12	CHEMBL3677396	pIC50=5.43
CC1(C)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4cccc(c4O1)C(F)(F)F	CHEMBL3682306	pIC50=5.44
CCCCCCCc1ccc(cc1)C(=O)Nc2cnc3ccccc3c2	CHEMBL406860	pKi=5.45
CCCCCCCCC(=O)N1Cc2ccc(O)c(OC)c2NC1=O	CHEMBL190052	pIC50=5.47
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1I	CHEMBL191117	pIC50=5.47
Oc1ccc2cccc(NC(=O)N(Cc3ccccc3)Cc4ccccc4)c2c1	CHEMBL151657	pKi=5.48
Cc1cc(Cl)nnc1N2CCN(CC2)C(=O)Nc3nc4ccc(F)cc4s3	CHEMBL187483	pIC50=5.49
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)N(C)C1=C(C)N(C)N(C1=O)c2ccccc2	CHEMBL1928336	pIC50=5.52
CS(=O)(=O)Nc1ccc(CNC(=O)N[C@@H]2CC3(CCC3)Oc4ccc(F)cc24)cc1F	CHEMBL3698470	pIC50=5.52
CCCCCCCCc1ccc(cc1)C(=O)Nc2cccnc2	CHEMBL405990	pEC50=5.54
CS(=O)(=O)Nc1ccc(CNC(=O)N[C@@H]2CC(CF)(CF)Oc3cc(Cl)ccc23)cc1F	CHEMBL3698460	pIC50=5.54
OB(O)c1ccc(CNC(=O)CCCCCc2ccccc2)cc1	CHEMBL3769556	pIC50=5.54
Cc1cc(Cl)nnc1N2CCN(CC2)C(=O)Nc3ccc(cc3)C(F)(F)F	CHEMBL187323	pIC50=5.55
CC(C)c1ccc(NC(=O)N2CCN(CC2)c3nnccc3C)cc1	CHEMBL362154	pIC50=5.56
CCCCCCCCC(=O)NCc1cc(OC)c(O)c(c1)C#C	CHEMBL193046	pIC50=5.56
CCc1ccc(cc1)C(=O)Nc2cccnc2	CHEMBL259214	pEC50=5.57
COCC1(COC)C[C@@H](NC(=O)Nc2ccc3CN(C)C(=O)Nc3c2)c4cc(F)ccc4O1	CHEMBL3682284	pIC50=5.57
CN(CCO)c1ccc(NC(=O)COc2cccc(c2)C(C)(C)C)cn1	CHEMBL2380564	pIC50=5.58
Cc1cnnc(c1)N2CCN(CC2)C(=O)Nc3ccc(cc3)C(C)(C)C	CHEMBL186939	pIC50=5.58
C[C@@H](C(=O)NCc1cc(nn1c2cccc(Cl)c2)C(F)(F)F)c3ccc(NS(=O)(=O)C)c(F)c3	CHEMBL3689045	pIC50=5.59
C[C@@H](C(=O)NCc1ccc(cc1)C(C)(C)C)c2ccc(NS(=O)(=O)C)c(F)c2	CHEMBL2042398	pKi=5.59
Oc1cc2CCCN(Cc2cc1O)C(=S)NCCc3ccc(Cl)cc3	CHEMBL391997	pIC50=5.59
CC(=CCC\C(=C\CNC(=O)Nc1cccc(Cl)c1)\C)C	CHEMBL3355285	pEC50=5.6
CN1C(=O)C=Cc2c(NC(=O)N[C@H]3CC4(CCC4)Oc5ccc(F)cc35)cccc12	CHEMBL3677386	pIC50=5.6
Fc1ccc2OCC(CNC(=O)Nc3ccc4OCC(=O)Nc4c3)Cc2c1	CHEMBL3682223	pIC50=5.6
OB(O)c1ccc(CC(=O)NCCCCCc2ccccc2)cc1	CHEMBL3769510	pIC50=5.6
[O-][N+](=O)c1cccc(\C=C\C(=O)Nc2cccc(Br)c2)c1	CHEMBL3422836	pIC50=5.6
CC1CN(CC(C)N1C(=O)Nc2ccc(cc2)C(F)(F)F)c3ncccc3C(F)(F)F	CHEMBL177827	pIC50=5.61
C[C@]1(C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3ccccc3O1)C(F)(F)F	CHEMBL3698485	pIC50=5.61
CCCCc1ccc(cc1)C(=O)Nc2cccc3cnccc23	CHEMBL407762	pIC50=5.62
CC1CN(C(C)CN1C(=O)Nc2ccc(cc2)C(F)(F)F)c3ncccc3C(F)(F)F	CHEMBL369170	pIC50=5.64
FC(F)(F)c1ccccc1N2CCN(CC2)C(=O)Nc3cccc4cnccc34	CHEMBL177219	pIC50=5.64
Oc1ccc2[nH]c3CN(CCc3c2c1)C(=O)Nc4cccc(c4)c5ccccc5	CHEMBL2312053	pEC50=5.64
CC1CCN(CC1)c2nc(ccc2CNC(=O)N(c3cccc(C)c3)c4ccc(NS(=O)(=O)C)c(F)c4)C(F)(F)F	CHEMBL3822592	pKi=5.66
Cc1cccnc1C2CCN(CC2)C(=O)Nc3ccc(cc3)C(F)(F)F	CHEMBL175383	pIC50=5.66
OB(O)c1ccc(CC(=O)NCCCCc2ccccc2)cc1	CHEMBL3771003	pIC50=5.66
CCC1(CC)C[C@@H](NC(=O)NCc2ccc(NS(=O)(=O)C)c(F)c2)c3cc(F)ccc3O1	CHEMBL3698471	pIC50=5.67
CCCCCCCCc1ccc(cc1)C(=O)Nc2cnc3ccccc3c2	CHEMBL406859	pKi=5.68
COc1cccc(NC(=O)\C=C\c2cccc(c2)[N+](=O)[O-])c1	CHEMBL3422830	pIC50=5.68
CC(C(=O)NCc1ccc(cc1)C(C)(C)C)c2ccc(NS(=O)(=O)C)c(F)c2	CHEMBL2042264	pIC50=5.7
COCCN(C)C1Cc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4cc(F)ccc34)cc2NC1=O	CHEMBL3682392	pIC50=5.7
FCC1(CF)C[C@@H](NC(=O)Nc2ccc3OCC(=O)Nc3c2)c4cccc(F)c4O1	CHEMBL3677414	pIC50=5.7
CC(C)(C)c1ccc(NC(=O)Nc2ccc(cc2)B(O)O)cc1	CHEMBL3770436	pIC50=5.71
Cc1ccccc1C2CCN(CC2)C(=O)Nc3ccc(cc3)C(F)(F)F	CHEMBL177525	pEC50=5.71
Cc1csc(n1)[C@@H]2CC[C@@H](C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3646659	pIC50=5.72
OCCN1Cc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4cc(Cl)ccc34)cc2NC1=O	CHEMBL3682403	pIC50=5.72
CS(=O)(=O)Nc1ccc(CNC(=O)N[C@@H]2CCc3cc(Cl)ccc23)cc1F	CHEMBL3698457	pIC50=5.74
FC(F)(F)c1ccc(cc1)[C@@H]2CCC[C@H](C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3644087	pIC50=5.74
Oc1ccc2cccc(NC(=O)Cc3ccc(Cl)c(Cl)c3)c2c1	CHEMBL440535	pKi=5.74
CN1Cc2ccc(NC(=O)N[C@H]3CCOc4cc(OC(F)(F)F)ccc34)cc2NC1=O	CHEMBL3682282	pIC50=5.75
COc1cc(OC(=O)OCC2=C[C@H]3[C@H]4O[C@]5(Cc6ccccc6)O[C@]4(C[C@@H](C)[C@]3(O5)[C@@H]7C=C(C)C(=O)[C@@]7(O)C2)C(=C)C)cc(I)c1N	CHEMBL2425543	pKi=5.75
Cc1csc(n1)[C@@H]2CC[C@@H](C2)NC(=O)Nc3c(F)ccc4cnc(C)cc34	CHEMBL3646674	pIC50=5.75
OCCN1Cc2ccc(NC(=O)N[C@@H]3CCOc4c3cccc4C(F)(F)F)cc2NC1=O	CHEMBL3677351	pIC50=5.75
CC(C)(C)c1ccc(cc1)C2CCCC(C2)NC(=O)Nc3cccc4[nH]ncc34	CHEMBL3644085	pIC50=5.76
CC(=CCC\C(=C/CNC(=O)Nc1cccc(Cl)c1)\C)C	CHEMBL3355300	pEC50=5.77
CCCCCc1ccc(cc1)C(=O)Nc2cccnc2	CHEMBL321932	pEC50=5.77
CN(CCCCc1ccccc1)C(=O)n2nnc(Cc3ccc(cc3)c4ccccc4)n2	CHEMBL2376843	pEC50=5.77
FC(F)(F)Sc1cccc(NC(=O)Nc2cccc3nccnc23)c1	CHEMBL369517	pIC50=5.77
C[C@@H]1CN(CCN1C(=O)Nc2nc3ccc(F)cc3s2)c4cc(C)c(Cl)nn4	CHEMBL426435	pIC50=5.79
CC1(C)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccc(F)cc4O1	CHEMBL3682309	pIC50=5.8
CN1Cc2ccc(NC(=O)N[C@H]3CC(C)(C)Oc4ccc(F)cc34)cc2NC1=O	CHEMBL3682292	pIC50=5.8
O=C(N[C@@H]1CC2(CCCC2)Oc3ccccc13)Nc4ccc5OCC(=O)Nc5c4	CHEMBL3677422	pIC50=5.8
COc1ccc2C(Cc3cccnc3)C(CCc2c1)NC(=O)Nc4cccc5cnccc45	CHEMBL399535	pKi=5.81
CC(C(=O)NCc1ccc(nc1SCCCN(C)C)C(F)(F)F)c2ccc(NS(=O)(=O)C)c(F)c2	CHEMBL2442902	pIC50=5.82
CC1(C)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4ccc(nc4O1)C(F)(F)F	CHEMBL3677360	pIC50=5.82
CN1Cc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4ccc(F)cc34)cc2NC1=O	CHEMBL3682275	pIC50=5.82
COc1cc(CNC(=O)CCCCCc2ccccc2)ccc1B(O)O	CHEMBL3769949	pIC50=5.82
C[C@@]1(CF)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4ccc(Cl)cc4O1	CHEMBL3677357	pIC50=5.82
FC(F)(F)Sc1cccc(NC(=O)Nc2cccc3ncccc23)c1	CHEMBL361017	pIC50=5.82
CCCCCCCCCCCCCCN(C)c1ccc(cc1)C(=O)Nc2cnc3ccccc3c2	CHEMBL259115	pKi=5.83
Cc1oc(nc1)[C@@H]2CC[C@@H](C2)NC(=O)Nc3c(F)ccc4cnc(C)cc34	CHEMBL3646664	pIC50=5.83
Fc1ccccc1N2CCC(CC2)C(=O)Nc3ccc4OCC(=O)Nc4c3	CHEMBL455927	pKi=5.83
Fc1ccc2nc(NC(=O)N3CCC(F)(CC3)c4ncccc4Cl)sc2c1	CHEMBL3671851	pIC50=5.84
O=C(NCCc1ccccc1)Nc2cccc3cnccc23	CHEMBL103842	pKi=5.84
COc1cc(OC(=O)OCC2=C[C@H]3[C@H]4O[C@]5(Cc6ccccc6)O[C@]4(C[C@@H](C)[C@]3(O5)[C@@H]7C=C(C)C(=O)[C@@]7(O)C2)C(=C)C)cc(Cl)c1N	CHEMBL2425545	pKi=5.85
O=C(N[C@H]1CC[C@@H](C1)c2ccccc2)Nc3cccc4CCCc34	CHEMBL3646651	pIC50=5.86
OB(O)c1ccc(NC(=O)\C=C\c2ccc(Cl)cc2)cc1	CHEMBL3771001	pIC50=5.86
FC1(F)[C@H]2[C@@H](C[C@@H]([C@@H]12)c3ccccc3)NC(=O)Nc4cccc5[nH]ncc45	CHEMBL3644109	pIC50=5.87
O=C(NC1CCc2cccnc12)Nc3cccc4[nH]ncc34	CHEMBL399978	pIC50=5.87
FC(F)(F)c1ccc(NC(=O)N2CCC(CC2)c3ncccc3C(F)(F)F)cc1	CHEMBL175181	pIC50=5.88
CC1(C)C[C@@H](NC(=O)Nc2ccc3CC(N4CCOCC4)C(=O)Nc3c2)c5ccc(F)cc5O1	CHEMBL3682388	pIC50=5.89
CC1(C)C[C@@H](NC(=O)Nc2ccc3CCC(=O)Nc3c2)c4ccc(Cl)cc4O1	CHEMBL3682323	pIC50=5.89
CC1(C)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4cccc(c4O1)C(F)(F)F	CHEMBL3682394	pIC50=5.89
CN1Cc2ccc(NC(=O)N[C@@H]3CC(C)(C)Oc4nc(ccc34)C(F)(F)F)cc2NC1=O	CHEMBL3682296	pIC50=5.89
CN1Cc2ccc(NC(=O)N[C@@H]3C[C@](C)(Oc4ccccc34)C(F)F)cc2NC1=O	CHEMBL3682260	pIC50=5.89
COc1ccc(CCNC(=O)Nc2cccc3cnccc23)cc1	CHEMBL103898	pKi=5.89
COc1ccc(cc1)C(C)CNC(=O)Nc2cccc3cnccc23	CHEMBL249943	pKi=5.89
CS(=O)(=O)Nc1ccc(CNC(=O)NC2CC3(CCCC3)Oc4ccccc24)cc1F	CHEMBL3698494	pIC50=5.89
C[C@@]1(C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4ccccc4O1)C(F)F	CHEMBL3677358	pIC50=5.89
C[C@H](C(=O)NCc1ccc(cc1)C(C)(C)C)c2ccc(NS(=O)(=O)C)c(F)c2	CHEMBL2042399	pIC50=5.89
CC1CCCN(C1C)C(=O)c2csc(Nc3ccc(C)cc3)n2	CHEMBL2418806	pIC50=5.9
FC(F)(F)c1ccc(NC(=O)N2CCN(CC2)c3ccccn3)cc1	CHEMBL175893	pIC50=5.91
CC1(C)C[C@@H](NC(=O)Nc2ccc3CN(CCO)C(=O)Nc3c2)c4ccc(Cl)c(F)c4O1	CHEMBL3677359	pIC50=5.92
CC1N(CCc2c1[nH]c3ccc(O)cc23)C(=O)Nc4ccc(cc4)C(C)(C)C	CHEMBL2312055	pEC50=5.92
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(F)cc(F)cc34)cc12	CHEMBL3682356	pIC50=5.92
CN1C(=O)NCc2c(NC(=O)N[C@@H]3CCOc4ccccc34)cccc12	CHEMBL3682257	pIC50=5.92
O=C(Cc1ccccc1)NCCCCCCCc2ccccc2	CHEMBL3769407	pIC50=5.92
[O-][N+](=O)c1cccc(\C=C\C(=O)Nc2cccc(I)c2)c1	CHEMBL3422837	pIC50=5.92
