N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O	levothyroxine
N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O	liothyronine	pKd=10.24	pKd=10.24	pKd=10.24	pEC50=8.0
N[C@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O	dextrothyroxine
Cc1cn(Cc2ccc(O)c(c2)C(C)(C)C)c3ccc(OCC(=O)O)cc13	CHEMBL3397342	pKi=8.0
CC(C)[C@@H](NC(=O)Cc1cc(Br)c(Oc2ccc(O)c(c2)C(C)C)c(Br)c1)C(=O)O	CHEMBL391512	pIC50=8.01
CC(C)c1cc(Oc2c(Br)cc(cc2Br)C(=O)O)ccc1O	CHEMBL289965	pIC50=8.01
CC(C)c1cc(Oc2c(Br)cc(NC(=O)CC(=O)O)cc2Br)ccc1O	CHEMBL2035874	pKi=8.02
N[C@@H](Cc1cc(Br)c(Oc2ccc(O)c(Cc3ccc(O)nn3)c2)c(Br)c1)C(=O)O	CHEMBL163228	pKi=8.06
CC(C)c1cc(Oc2c(C)cc(C[C@H](N)C(=O)O)cc2C)ccc1O	CHEMBL105983	pKd=8.07
Oc1ccc(Oc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O)cc1Cc4ccc(F)cc4	CHEMBL594024	pKi=8.1
CC(C)c1cc(Cn2cc(C)c3cc(OCC(=O)O)ccc23)ccc1O	CHEMBL3397335	pKi=8.11
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@H](C(=O)O)c3ccccc3)cc2Br)ccc1O	CHEMBL236290	pIC50=8.13
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@@H](C(=O)O)c3ccccc3)cc2Br)ccc1O	CHEMBL236291	pIC50=8.26
OC(=O)C(=O)Nc1cc(Cl)c(c(Cl)c1)c2cccc3c(Br)c(O)ccc23	CHEMBL198367	pIC50=8.27
CCCCCc1ccc(cc1)C#Cc2cc(Cc3c(C)cc(OCC(=O)O)cc3C)cc(C(C)C)c2O	CHEMBL109430	pKd=8.28
CC(C)[C@H](NC(=O)Cc1cc(Br)c(Oc2ccc(O)c(c2)C(C)C)c(Br)c1)C(=O)O	CHEMBL236289	pIC50=8.37
OC(=O)CC(=O)Nc1cc(Cl)c(c(Cl)c1)c2cccc3c(Br)c(O)ccc23	CHEMBL194242	pIC50=8.37
CC(C)c1cc(Oc2c(I)cc(OCP(=O)(O)O)cc2I)ccc1O	CHEMBL457528	pKi=8.43
Cc1cc(cc(C)c1Oc2ccc(O)c(Cc3ccc(F)cc3)c2)N4N=CC(=O)NC4=O	CHEMBL594025	pKi=8.52
CC(C)c1cc(Cn2cc(C)c3cc(OCC(=O)O)cc(C)c23)ccc1O	CHEMBL3397340	pKi=8.56
CC(C)c1cc(Oc2c(Br)cc3[nH]c(cc3c2Br)C(=O)O)ccc1O	CHEMBL425939	pIC50=8.6
CC(C)c1cc(Oc2c(C)cc(NC(=O)C(=O)O)c3CCCc23)ccc1O	CHEMBL2035881	pKi=8.61
CC(C)c1cc(Oc2c(C)cc(OCC(=O)O)cc2C)ccc1O	CHEMBL419016	pKd=8.62
Cc1cc(NC(=O)CC(=O)O)cc(Cl)c1Oc2ccc(O)c(c2)S(=O)(=O)CC3CCC3	CHEMBL594047	pKi=8.68
CC(C)c1cc(Cn2c(C)cc3cc(OCC(=O)O)cc(C)c23)ccc1O	CHEMBL3397338	pKi=8.69
CC(C)c1cc(Cc2c(C)cc(C[C@H](N)C(=O)O)cc2C)ccc1O	CHEMBL110335	pKd=8.7
CC(C)c1cc(Oc2c(I)cc(CP(=O)(O)O)cc2I)ccc1O	CHEMBL512383	pKi=8.74
CC(C)c1cc(Oc2c(Br)cc(CC(=O)O)cc2Br)ccc1O	CHEMBL39174	pIC50=8.81
CC(C)c1cc(Oc2c(Cl)cc3[nH]c(cc3c2Cl)C(=O)O)ccc1O	CHEMBL203777	pIC50=8.85
CC(C)c1cc(Cn2ccc3cc(OCC(=O)O)cc(C)c23)ccc1O	CHEMBL3397336	pKi=8.96
CC(C)c1cc(Oc2c(Cl)cc(CCC(=O)O)cc2Cl)ccc1O	CHEMBL418432	pIC50=9.12
CC(C)c1cc(Cc2c(C)cc(CCC(=O)O)cc2C)ccc1O	CHEMBL322361	pKd=9.16
Cc1cc(NC(=O)C(=O)O)cc(C)c1Oc2ccc(O)c3CCCc23	CHEMBL608990	pKi=9.16
CC(C)c1cc(Cn2cc(C)c3cc(OCC(=O)O)cc(Cl)c23)ccc1O	CHEMBL3397341	pKi=9.29
CC(C)c1cc(Oc2c(C)cc(NC(=O)C(=O)O)cc2C)ccc1O	CHEMBL46882	pKi=9.29
CC(C)c1cc(Cn2c(C)cc3cc(OCC(=O)O)cc(Cl)c23)ccc1O	CHEMBL3397339	pKi=9.42
CC(C)c1cc(Cn2ccc3cc(OCC(=O)O)cc(Cl)c23)ccc1O	CHEMBL3397337	pKi=9.46
N[C@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O	CHEMBL557	pIC50=9.62
CC(C)c1cc(Oc2c(I)cc(C[C@@H](N)C(=O)O)cc2I)ccc1O	CHEMBL41314	pIC50=9.85
OC(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1	CHEMBL41632	pIC50=9.85
CC(C)c1cc(Oc2c(Br)cc(CCC(=O)O)cc2Br)ccc1O	CHEMBL289343	pIC50=10.0
OC(=O)CCc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1	CHEMBL291053	pIC50=10.39
