COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC\C=C\C1=CC=CC=C1	cilnidipine
COC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCCN1CCC(CC1)(C1=CC=CC=C1)C1=CC=CC=C1	dexniguldipine
COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1	manidipine
COC(=O)C1=C(NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C)C#N	nilvadipine
CCOC(=O)C1=C(COCCN)NC(C)=C([C@@H]1C1=C(Cl)C=CC=C1)C(=O)OC	levamlodipine
CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1	bepridil
COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1	verapamil	pIC50=6.0	pIC50=6.0	pIC50=6.0	pIC50=6.82
COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C	isradipine
CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC	felodipine
COC1=CC=C(C=C1)[C@@H]1SC2=CC=CC=C2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O	diltiazem	pIC50=7.3188	pIC50=7.3188	pIC50=7.3188
CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC	clevidipine
[H]C1(C2=C(Cl)C=CC=C2)C(C(=O)OC)=C(C)NC(COCCN)=C1C(=O)OCC	amlodipine
COC(=O)C1=C(C)NC(C)=C(C1C1=C(C=CC=C1)[N+]([O-])=O)C(=O)OCC(C)C	nisoldipine	pIC50=7.29999971	pIC50=7.29999971	pIC50=7.29999971
CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC	nitrendipine	pIC50=7.69999981	pIC50=7.69999981	pIC50=7.69999981	pKd=9.59
COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C	nimodipine	pIC50=6.80000019	pIC50=6.80000019	pIC50=6.80000019
COC(=O)C1=C(C)NC(C)=C(C1C1=C(C=CC=C1)[N+]([O-])=O)C(=O)OC	nifedipine	pKd=9.4	pKd=9.4	pKd=9.4	pKi=9.0
CC1=C(C(C2=CC(=CC=C2)[N+]([O-])=O)C(=C(C)N1)P1(=O)OCC(C)(C)CO1)C(=O)OCCN(CC1=CC=CC=C1)C1=CC=CC=C1	efonidipine
COC(=O)C1=C(C)NC(C)=C(C1C1=C(C=CC=C1)[N+]([O-])=O)C(=O)OCC(C)=O	aranidipine
COC(=O)C1=C(C)NC(C)=C([C@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1	(S)-nicardipine
COC(=O)C1=C(C)NC(C)=C([C@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)O[C@H]1CCN(CC2=CC=CC=C2)C1	barnidipine
CC(C)OC(=O)C1=C(C)NC(N)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC1CN(C1)C(C1=CC=CC=C1)C1=CC=CC=C1	azelnidipine
COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1	nicardipine
CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(\C=C\C(=O)OC(C)(C)C)C=CC=C1)C(=O)OCC	lacidipine
CCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC	(S)-nitrendipine
COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)O[C@@H]1CCCN(CC2=CC=CC=C2)C1	benidipine
COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OC(C)(C)CN(C)CCC(C1=CC=CC=C1)C1=CC=CC=C1	lercanidipine
COc1ccc(CCNC2CCCC(C2)C(C#N)(C(C)C)c3ccc(OC)c(OC)c3)cc1OC	CHEMBL343771	pIC50=6.27
CC(C)[C@H]1c2ccc(F)cc2[C@H](O)C[C@@]1(CCN(C)CCCc3nc4ccccc4[nH]3)OC(=O)C(C)C	CHEMBL3608942	pIC50=6.3
CCO\C(=C/1\[C@@H]2[C@@H](C(=O)OCC)[C@@](C)(Sc3ccccc23)N=C1C)\O	CHEMBL2110303	pKi=6.3
COc1ccc(CCN(C)C2CCCC(C2)C(C#N)(C(C)C)c3ccc(OC)c(OC)c3)cc1OC	CHEMBL138302	pIC50=6.3
COC(=O)C1=C(C)N(CCN(C)C)c2ccccc2SC1c3cccc(c3)[N+](=O)[O-]	CHEMBL345843	pKd=6.31
COC(=O)C1=C(C)N=C(NC1c2cccc(c2)[N+](=O)[O-])SC	CHEMBL282279	pKd=6.32
CC(C)C(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H]4CCC[C@@H]1c5ccccc45	CHEMBL3609818	pIC50=6.34
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CC(C)(C)c4cc(F)ccc4[C@@H]1C(C)C	CHEMBL3609823	pIC50=6.36
CC(C)C(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H]4CC[C@@H]1c5ccccc45	CHEMBL3609817	pIC50=6.37
CC(C)[C@H]1c2ccc(F)cc2[C@@H](O)C[C@@]1(CCN(C)CCCc3nc4ccccc4[nH]3)OC(=O)C(C)C	CHEMBL3608943	pIC50=6.37
CCO\C(=C/1\C(C(=C(C)N=C1C)C(=O)OCC)c2c(onc2c3ccccc3)C(C)C)\O	CHEMBL75770	pKi=6.38
CO[C@H]1C[C@@](CCN(C)CCCc2nc3ccccc3[nH]2)(OC(=O)C(C)C)[C@@H](C(C)C)c4ccc(F)cc14	CHEMBL3608940	pIC50=6.4
COc1cccc2nc(CCCN(C)CC[C@@]3(C[C@H]4CCC[C@@H]3c5ccccc45)OC(=O)C(C)C)[nH]c12	CHEMBL3609819	pIC50=6.41
CO\C(=C/1\C(Sc2ccccc2N=C1C)c3cccc(c3)[N+](=O)[O-])\O	CHEMBL158853	pKd=6.44
CC(C)[C@H]1c2ccc(F)cc2CC[C@@]1(CCN(C)CCCc3nc4ccccc4[nH]3)OC(=O)C(C)C	CHEMBL3609822	pIC50=6.46
CCOC(=O)C1=C(C)NC(=C(C#N)[C@@H]1c2cnccc2c3cccc4ccccc34)C	CHEMBL3392229	pIC50=6.57
CCOC(=O)C1=C(C)NC(=C(C#N)[C@@H]1c2cnccc2c3ccccc3)C	CHEMBL3392227	pIC50=6.6
CCO\C(=C/1\[C@@H]2[C@H](C(=O)OCC)[C@@](C)(Sc3c2cccc3[N+](=O)[O-])N=C1C)\O	CHEMBL2110168	pKi=6.6
CC(C)[C@H]1c2ccc(F)cc2[C@H](C[C@@]1(CCN(C)CCCc3nc4ccccc4[nH]3)OC(=O)C(C)C)OCc5ccccc5	CHEMBL3608316	pIC50=6.65
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc4cc(F)ccc4[C@@H]1C(C)C	CHEMBL45816	pIC50=6.7
CCCC[C@@H]1C[C@@](CCN(C)CCCc2nc3ccccc3[nH]2)(OC(=O)COC)[C@@H](C(C)C)c4ccc(F)cc14	CHEMBL3609824	pIC50=6.76
CC(C)[C@H]1c2ccc(F)cc2[C@@H](C[C@@]1(CCN(C)CCCc3nc4ccccc4[nH]3)OC(=O)C(C)C)OCc5ccccc5	CHEMBL3608941	pIC50=6.81
CN(CCCc1nc2ccccc2[nH]1)CC[C@]3(C[C@@H]4CC[C@H]3c5ccccc45)OC(=O)C6CC6	CHEMBL3608946	pIC50=6.85
CO\C(=C/1\C(C(=C(C)N=C1C)C(=O)OC)c2c(C)onc2C)\O	CHEMBL73647	pKi=6.91
CCOC(=O)C1=C(C)N=C(NC1c2cccc(c2)[N+](=O)[O-])OC	CHEMBL88149	pKd=6.98
CCOC(=O)C1=C(C)NC(=C(C#N)[C@@H]1c2cnccc2c3ccc4ccccc4c3)C	CHEMBL3392230	pIC50=7.0
CCO\C(=C/1\C(C(=C(C)N=C1C)C(=O)OCC)c2c(C)noc2CCc3ccccc3c4ccccc4)\O	CHEMBL105893	pKi=7.04
CCCCCc1onc(c2ccccc2)c1C3C(=C(C)N=C(C)/C/3=C(/O)\OCC)C(=O)OCC	CHEMBL72717	pKi=7.1
CCO\C(=C/1\C(C(=C(C)N=C1C)C(=O)OCC)c2cc(ccc2SC)[N+](=O)[O-])\O	CHEMBL161165	pKi=7.1
CCO\C(=C/1\C(C(=C(C)N=C1C)C(=O)OCC)c2c(CCc3ccccc3)onc2c4ccccc4)\O	CHEMBL107213	pKi=7.14
CCO\C(=C/1\C(C(=C(C)N=C1C)C(=O)OCC)c2c(C)noc2CC)\O	CHEMBL72620	pKi=7.28
CCO\C(=C/1\C(C(=C(C)N=C1C)C(=O)OCC)c2c(CCc3cccc(OC)c3)onc2c4ccccc4)\O	CHEMBL539426	pKi=7.4
CCOC(=O)C1=C(C)NC(=NC1c2ccccc2C(F)(F)F)SC	CHEMBL3392285	pKd=7.46
CCO\C(=C/1\[C@@H]2[C@@H](C(=O)OCC)[C@@](C)(Sc3ccc(cc23)[N+](=O)[O-])N=C1C)\O	CHEMBL2110302	pKi=7.52
COC(=O)C1=C(C)N=C(NC1c2cccc(c2SC)[N+](=O)[O-])SC	CHEMBL280926	pKd=7.52
[2H]C1(C(=C(C)NC(=C1C(=O)OCC)C)C(=O)OCC)c2c(C)onc2C	CHEMBL2114104	pKi=7.55
CCO\C(=C/1\C(C(=C(C)N=C1C)C(=O)OCC)c2c(C)onc2C)\O	CHEMBL74944	pKi=7.57
CCOC(=O)C1=C(C)NC(=NC1c2cccc(c2)[N+](=O)[O-])SC	CHEMBL39925	pKd=7.64
CCO\C(=C/1\C(C(=C(C)N=C1C)C(=O)OCC)c2c(C)noc2CCc3ccccc3)\O	CHEMBL323782	pKi=7.64
CCO\C(=C/1\C(C(=C(C)N=C1C)C(=O)OCC)c2c(C)noc2CCc3ccc4ccccc4c3)\O	CHEMBL317651	pKi=7.7
CCO\C(=C/1\C(C(=C(C)N=C1C)C(=O)OCC)c2c(C)noc2CCc3ccc(cc3)c4ccccc4)\O	CHEMBL104082	pKi=7.74
CO\C(=C/1\[C@@H](C(=C(C)N=C1C)[N+](=O)[O-])c2ccccc2C(F)(F)F)\O	CHEMBL283013	pKd=7.75
CSC1=NC2\C(=C(\O)/OCCCCCSc3ccccc23)\C(=N1)C	CHEMBL282706	pKd=7.75
CCO\C(=C/1\C(C(=C(C)N=C1C)C(=O)OCC)c2c(C)onc2c3ccccc3)\O	CHEMBL305903	pKi=7.86
CSC1=NC(C(=C(C)N1)C(=O)OC(C)C)c2cccc(c2)[N+](=O)[O-]	CHEMBL2398396	pKd=7.92
CCO\C(=C/1\C(C(=C(C)N=C1C)C(=O)OCC)c2c(CCc3cccc(Br)c3)onc2c4ccccc4)\O	CHEMBL325811	pKi=8.16
CSC1=NC2\C(=C(\O)/OCCCCCSc3c2cccc3[N+](=O)[O-])\C(=N1)C	CHEMBL23692	pKd=8.3
CCO\C(=C/1\C(C(=C(C)N=C1C)C(=O)OCC)c2c(C)noc2CCc3cccc4ccccc34)\O	CHEMBL104455	pKi=8.39
CCC(C)OC(=O)C1=C(C)NC(=NC1c2cccc(c2)[N+](=O)[O-])SC	CHEMBL3392281	pKd=8.59
CCO\C(=C/1\C(C(=C(C)N=C1C)C(=O)OCC)c2cccc(c2SC)[N+](=O)[O-])\O	CHEMBL159854	pKi=9.0
