OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)c(O)c3	quercetin	pKd=7.6	pKd=7.6	pKd=7.6	pKd=7.6
Brc1c(Br)c(Br)c2[nH]c(nc2c1Br)N3CCOCC3	CHEMBL3684932	pIC50=7.53
CC(C)Nc1cccc(n1)c2c[nH]c3ccc(cc23)c4nnc(N)s4	CHEMBL3394068	pIC50=7.62
CN1CCN(CC2=Nc3c(oc4ccc(I)cc34)C(=O)N2)CC1	CHEMBL2035640	pIC50=7.62
CNC(=O)c1cccc2c3cnccc3c(Nc4ccccc4F)nc12	CHEMBL1915650	pIC50=7.62
CSc1ncc2ccc3c(cn(CC(C)(C)CN)c3c2n1)C(=O)N	CHEMBL3703187	pIC50=7.62
FC(F)(F)c1cccc(\C=C\2/SC(=O)NC2=O)c1	CHEMBL183906	pIC50=7.62
Fc1ccc(C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)c(Cl)c1	CHEMBL2035620	pIC50=7.62
N[C@@H]1CC[C@H](CC1)Nc2ccn3ncc(c4cccc(Cl)c4)c3n2	CHEMBL3355557	pIC50=7.62
Brc1c(Br)c(Br)c2[nH]c(NCCCn3ccnc3)nc2c1Br	CHEMBL3684960	pIC50=7.64
C1C[C@H](CN1)Oc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660016	pIC50=7.64
CC(C)(O)[C@@H]1CC[C@H](CC1)Nc2ccn3ncc(c4cccc(Cl)c4)c3n2	CHEMBL3355987	pIC50=7.64
COc1cccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c1	CHEMBL1915434	pIC50=7.64
C[C@@H]1C[C@@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3652027	pIC50=7.64
FC(F)(F)c1ccc2oc3C(=O)NC(=Nc3c2c1)c4ccccc4Cl	CHEMBL2035610	pIC50=7.64
Brc1c(Br)c(Br)c2[nH]c(N[C@H]3COC[C@@H]3N4CCCCC4)nc2c1Br	CHEMBL3689333	pIC50=7.66
Brc1ccc2oc3C(=O)NC(=Nc3c2c1)C4CCNCC4	CHEMBL2030396	pIC50=7.66
C1C[C@@H](CN1)Nc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660009	pIC50=7.66
CCN1C2=C(C(=O)ON2)C(=O)c3cc(F)c(Cl)cc13	CHEMBL468280	pKi=7.66
Cn1ncc(NC(=O)c2cncc(n2)c3ccccc3F)c1N4CCC[C@H](N)CC4	CHEMBL3652641	pKi=7.66
N(c1ccccc1)c2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915433	pIC50=7.66
CC(C)CNC(=O)c1cccc2c3cnccc3c(Nc4ccccc4Cl)nc12	CHEMBL1915648	pIC50=7.68
CCOc1cncc(n1)c2c[nH]c3ccc(cc23)c4nnc(N)s4	CHEMBL3394170	pIC50=7.68
CN(c1ccccc1Cl)c2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915439	pIC50=7.68
CN1CCCN(CC1)C(=O)c2ccc(Cl)c(c2)c3oc(\C=C/4\C(=O)Nc5ccc(Cl)cc45)cc3	CHEMBL2037203	pIC50=7.68
CO[C@@H]1C[C@H](N)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676264	pIC50=7.68
Clc1ccc2NC(=O)\C(=C\c3oc(cc3)c4cccc(c4)C(=O)NCCN5CCCC5)\c2c1	CHEMBL2037195	pIC50=7.68
FC(F)(F)c1cccc(c1)c2nnc3ccc(NC4CCNCC4)nn23	CHEMBL493169	pKi=7.68
Fc1cccc(F)c1c2nc(cs2)c3ccc4nccc(N5CCNCC5)c4c3	CHEMBL3354523	pIC50=7.68
NC(=O)c1ccc(cc1)c2c[nH]c3ncnc(NCCO)c23	CHEMBL3354526	pIC50=7.68
N[C@H]1CCCN(C1)c2ccncc2Nc3cccc4cnc(nc34)c5c(F)cccc5F	CHEMBL3685749	pIC50=7.68
CN(C)CCOc1cncc(n1)c2ccc3[nH]cc(c4ccnc(N)n4)c3c2	CHEMBL3264253	pIC50=7.69
CC(C)c1ccc2sc3C(=O)NC(=Nc3c2c1)CN(C)C	CHEMBL583691	pKi=7.7
CCn1ncc(NC(=O)c2nc(sc2N)c3ccccc3F)c1N4CCC[C@@H](N)CC4	CHEMBL3652647	pKi=7.7
COc1cccc(\C=C\2/SC(=O)NC2=O)c1N3CCC[C@@H](N)C3	CHEMBL2048868	pIC50=7.7
N[C@@H]1CCCN(C1)c2c(Cl)cccc2\C=C\3/SC(=O)NC3=O	CHEMBL2048866	pIC50=7.7
O=C1\C(=C\c2c[nH]c3ccccc23)\Oc4c(CN5CCNCC5)cccc14	CHEMBL2147762	pIC50=7.7
OC(=O)c1oc2c(NCC3CCNCC3)cc(Br)cc2c1	CHEMBL1782521	pIC50=7.7
OC(=O)c1oc2ccc3cc4c(ccc5oc(cc45)C(=O)O)cc3c2c1	CHEMBL2177299	pIC50=7.7
FC1CNCCC1Oc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660088	pIC50=7.71
C1CNCCC(C1)Oc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660050	pIC50=7.72
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1N4CCCCCC4=O	CHEMBL3648734	pKi=7.72
N[C@@H]1CC[C@H](CC1)Nc2cc(Br)cc3cc(oc23)C(=O)O	CHEMBL1782531	pIC50=7.72
CN(C)CCCOc1cncc(n1)c2ccc3[nH]cc(c4ccnc(N)n4)c3c2	CHEMBL3264255	pIC50=7.73
NC1CCCC(C1)Nc2nc3c(Br)c(Br)c(Br)c(Br)c3[nH]2	CHEMBL3689331	pIC50=7.73
CN(C)CCCNc1cncc(n1)c2ccc3[nH]cc(c4ccnc(N)n4)c3c2	CHEMBL3264259	pIC50=7.74
Brc1ccc2oc3C(=O)NC(=Nc3c2c1)C4CNC4	CHEMBL2030392	pIC50=7.75
CCN1CCC(CNc2ccc3ncc(c4cccc(OC(F)(F)F)c4)n3n2)CC1	CHEMBL1952331	pIC50=7.75
CN1CCCC(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C1	CHEMBL2035637	pIC50=7.75
C[C@@H]1C[C@H](N)CN(C1)c2ccncc2Nc3cccc4cnc(nc34)c5c(F)cccc5F	CHEMBL3685747	pIC50=7.75
Cc1ccc(NCC2=Nc3c(sc4ccc(Cl)cc34)C(=O)N2)cc1O	CHEMBL575460	pKi=7.75
Clc1cccc(\C=C\2/SC(=O)NC2=O)c1N3CCNCC3	CHEMBL2048864	pIC50=7.75
FC(F)(F)c1cccc(c1)c2nnc3ccc(NC4CC4)nn23	CHEMBL468940	pKi=7.75
FC(F)(F)c1cccc2c3ccc4c(C=O)c[nH]c4c3[nH]c12	CHEMBL1243129	pIC50=7.75
Fc1ccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)cc1	CHEMBL1915441	pIC50=7.75
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3ncccc3N	CHEMBL3103858	pKi=7.75
O[C@@H]1CC[C@H](CC1)Nc2ccn3ncc(c4ccc5ccccc5c4)c3n2	CHEMBL2442315	pIC50=7.75
CCN(CC)CCCNc1cncc(n1)c2ccc3[nH]cc(c4ccnc(N)n4)c3c2	CHEMBL3264260	pIC50=7.76
Cc1ccc2nnc(c3ccc4cccc(OC5CCNCCC5F)c4n3)n2c1	CHEMBL3660090	pIC50=7.76
Cc1ccn2c(nnc2c1)c3ccc4cccc(OC5CCNCCC5F)c4n3	CHEMBL3660086	pIC50=7.76
Brc1c(Br)c(Br)c2[nH]c(nc2c1Br)N3CCNCC3	CHEMBL3684933	pIC50=7.77
CC(C)(O)[C@@H]1CC[C@H](CC1)Nc2ccn3ncc(c4cccc(c4)C(F)(F)F)c3n2	CHEMBL3355552	pIC50=7.77
CCOc1cccc(n1)c2c[nH]c3ccc(cc23)c4nnc(N)s4	CHEMBL3394166	pIC50=7.77
CN(C)CCC1=Nc2c(sc3ccc(Cl)cc23)C(=O)N1	CHEMBL572743	pKi=7.77
Clc1ccccc1C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2	CHEMBL2035603	pIC50=7.77
FC1(COc2cccc3ccc(nc23)c4nnc5ccc(Br)cn45)CCNCC1	CHEMBL3660073	pIC50=7.77
N(c1cccnc1)c2nc3c(cccc3c4sccc24)c5nnc[nH]5	CHEMBL2017337	pIC50=7.77
NC(=O)c1ccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)cc1	CHEMBL2017357	pIC50=7.77
Nc1cc(nc(N)n1)c2ccncc2NC(=O)c3nc(ccc3N)c4ccccc4F	CHEMBL3792905	pKi=7.77
Nc1ncc(s1)c2ccc3[nH]nc(c4cnc5ccccc5c4)c3c2	CHEMBL3394059	pIC50=7.77
O[C@@H]1CC[C@H](CC1)Nc2ccc3nnn(c4cccc(OC(F)(F)F)c4)c3n2	CHEMBL1952132	pIC50=7.77
Oc1ccc2C(=O)\C(=C\c3c[nH]c4ccccc34)\Oc2c1CN5CCNCC5	CHEMBL2147760	pIC50=7.77
COC(=O)N(C)[C@@H]1[C@H](C)C[C@@H](C[C@@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687469	pIC50=7.78
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1N4CCOCCC4=O	CHEMBL3648748	pKi=7.78
Nc1ccccc1Nc2nc3c(Br)c(Br)c(Br)c(Br)c3[nH]2	CHEMBL3689328	pIC50=7.79
C(CC1CCCCN1)Oc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660020	pIC50=7.8
CC(C)CCN(CCCN)c1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3660013	pIC50=7.8
CC(C)NC(=O)c1cccc2c3cnccc3c(Nc4ccccc4Cl)nc12	CHEMBL1915647	pIC50=7.8
CC(N1CCN(C)CC1)C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2	CHEMBL2035634	pIC50=7.8
CN(C)CCOc1ccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)cc1	CHEMBL2017353	pIC50=7.8
CN1CCC(CNc2ccc3ncc(c4cccc(OC(F)(F)F)c4)n3n2)CC1	CHEMBL1952329	pKi=7.8
CNC(=O)c1cccc2c3cnccc3c(Nc4ccccc4Cl)nc12	CHEMBL1915644	pIC50=7.8
CSc1ncc2CCc3c(cn(C(C)C)c3c2n1)C(=O)N	CHEMBL3703178	pIC50=7.8
Cn1cc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)cn1	CHEMBL3652620	pKi=7.8
FC(F)(F)c1cccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c1	CHEMBL2017354	pIC50=7.8
Fc1ccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c(F)c1	CHEMBL1915638	pIC50=7.8
N(c1ccccc1)c2nc3c(cccc3c4ccsc24)c5nnc[nH]5	CHEMBL2017327	pIC50=7.8
NC(=O)c1cccc2c3cnccc3c(Nc4ccccc4Cl)nc12	CHEMBL1915643	pIC50=7.8
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nccnc3N	CHEMBL3103857	pKi=7.8
Nc1nnc(s1)c2ccc3[nH]cc(c4cccc(n4)N5CCOCC5)c3c2	CHEMBL3394067	pIC50=7.8
OC1(COc2cccc3ccc(nc23)c4nnc5ccccn45)CCN(Cc6ccccc6)CC1	CHEMBL3660067	pIC50=7.8
OC1CCC(CC1)Nc2nc3c(Br)c(Br)c(Br)c(Br)c3[nH]2	CHEMBL3689324	pIC50=7.8
OC[C@@H](NC(=O)C[C@H]1CNC(=O)c2cc(cn12)c3cccc(F)c3)C4CCCCC4	CHEMBL3298892	pIC50=7.8
Oc1cccc(OCC2=Nc3c(sc4ccc(Cl)cc34)C(=O)N2)c1	CHEMBL573478	pKi=7.8
C1CC1Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5	CHEMBL2017334	pIC50=7.82
CCCCN1C2=C(C(=O)ON2)C(=O)c3cc(F)c(Cl)cc13	CHEMBL492223	pKi=7.82
COc1cccc(C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)c1Cl	CHEMBL2035625	pIC50=7.82
Cc1cc2c(Nc3ccccc3F)nc4c(cccc4c2s1)c5nnc[nH]5	CHEMBL2017361	pIC50=7.82
Cn1cncc1c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393714	pIC50=7.82
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(NC5CNC5)n4)c3c2	CHEMBL3393700	pIC50=7.82
NC1CCC(CC1)Nc2nc3c(Br)c(Br)c(Br)c(Br)c3[nH]2	CHEMBL3684966	pIC50=7.82
N[C@H]1C[C@@H](O)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676261	pIC50=7.82
Nc1nnc(s1)c2ccc3[nH]cc(c4cccc(OC5CCCC5)n4)c3c2	CHEMBL3394168	pIC50=7.82
Oc1cc(nc2c(cnn12)C(=O)Nc3ccc(F)cc3)C4CCNCC4	CHEMBL2387466	pKi=7.82
NC1CC=CCC1Nc2nc3c(Br)c(Br)c(Br)c(Br)c3[nH]2	CHEMBL3689327	pIC50=7.83
C(Cc1ccccc1)Nc2ccc3nnc(c4ccccc4)n3n2	CHEMBL1952145	pIC50=7.85
C(Oc1cccc2ccc(nc12)c3nnc4ccccn34)C5CNCCO5	CHEMBL3664625	pIC50=7.85
CN(C)CC1=Nc2c(sc3ccc(Cl)cc23)C(=O)N1	CHEMBL572745	pKi=7.85
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccccc4C)C(=O)N1	CHEMBL572815	pKi=7.85
Clc1ccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)cc1	CHEMBL2017340	pIC50=7.85
Cn1ncc(NC(=O)c2nc(sc2N)C3=CC=CC(=O)N3)c1N4CCC[C@H](N)CC4	CHEMBL3648786	pKi=7.85
FC(F)(F)c1cccc(c1)n2nnc3ccc(NC4CC5(CCNCC5)C4)nc23	CHEMBL1952137	pIC50=7.85
FC(F)(F)c1cccc(c1)n2nnc3ccc(NCC4CCNCC4)nc23	CHEMBL1952135	pIC50=7.85
Fc1ccc(Cl)c(c1)C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2	CHEMBL2035621	pIC50=7.85
N(c1ccccc1)c2nc3c(cccc3n4cccc24)c5nnc[nH]5	CHEMBL2017330	pIC50=7.85
NC1CC(CO)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676269	pIC50=7.85
N[C@H]1CCCN(C1)c2ccncc2c3cc4c(n[nH]c4cn3)c5ccccc5F	CHEMBL3634793	pKi=7.85
OC1CCCCC1Nc2nc3c(Br)c(Br)c(Br)c(Br)c3[nH]2	CHEMBL3689330	pIC50=7.85
Oc1ccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c(Cl)c1	CHEMBL2017341	pIC50=7.85
Brc1c(Br)c(Br)c2[nH]c(nc2c1Br)N3CCCC3	CHEMBL3684931	pIC50=7.88
CCO[C@@H]1[C@H](C)C[C@@H](C[C@@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687499	pIC50=7.88
NCC(O)CNc1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1	CHEMBL3684967	pIC50=7.88
Brc1ccc2oc3C(=O)NC(=Nc3c2c1)CN4CCCC4	CHEMBL2030389	pIC50=7.89
C1CC1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915428	pIC50=7.89
CCCC(Oc1cccc2ccc(nc12)c3nnc4ccccn34)[C@@H](CC)CN	CHEMBL3660039	pIC50=7.89
CN1CCN(C[C@@H](NC(=O)C[C@H]2CNC(=O)c3cc(cn23)c4ccnc(F)c4)C5CCCCC5)CC1	CHEMBL3297765	pIC50=7.89
CNC(=O)c1cccc2c3cnccc3c(Nc4c(F)cccc4F)nc12	CHEMBL1914471	pIC50=7.89
COc1cccc(F)c1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915637	pIC50=7.89
CSc1ncc2ccc3c(c[nH]c3c2n1)C(=O)N	CHEMBL3703186	pIC50=7.89
FC1CCNCCC1Oc2cccc3ccc(nc23)c4nnc5ccc(cn45)[N+]#[C-]	CHEMBL3660091	pIC50=7.89
Fc1ccc(\C=C\2/SC(=O)NC2=O)cc1	CHEMBL496786	pIC50=7.89
NC[C@@H](NC(=O)C[C@H]1CNC(=O)c2cc(cn12)c3ccnc(F)c3)c4ccccc4	CHEMBL3298889	pIC50=7.89
N[C@@H]1CC[C@H](CC1)Nc2cncc(n2)c3cccc(\C=C\C(=O)O)c3	CHEMBL494354	pIC50=7.89
O=C1CN(CCN1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5	CHEMBL3634764	pKi=7.89
O[C@@H]1CCN(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C1	CHEMBL2030386	pIC50=7.89
CC(C)(CNCC(F)F)COc1cccc2ccc(nc12)c3nnc4ccccn34	CHEMBL3664632	pIC50=7.9
CC(C)N1C2=C(C(=O)ON2)C(=O)c3cc(F)c(Cl)cc13	CHEMBL509801	pKi=7.91
CC1CC(N)CN(C1)c2ccncc2NC(=O)c3csc(n3)C4CCCCC4	CHEMBL3676276	pIC50=7.92
CCCOc1ccc2C(=O)\C(=C\c3c[nH]c4ccccc34)\Oc2c1CN5CCNCC5	CHEMBL2147765	pIC50=7.92
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(OC(F)(F)F)cc4)C(=O)N1	CHEMBL575254	pKi=7.92
Clc1ccc2sc3C(=O)NC(=Nc3c2c1)CN4CCCCC4	CHEMBL573659	pKi=7.92
Clc1ccccc1Nc2nc3c(cccc3n4cccc24)c5nnc[nH]5	CHEMBL2017331	pIC50=7.92
Cn1cc(C2=C(C(=O)NC2=O)c3cn(CCCN)c4ccccc34)c5ccccc15	CHEMBL269264	pKd=7.92
FC1CCNCCC1Oc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660048	pIC50=7.92
NC(=O)N1CCC(CC1)Oc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660042	pIC50=7.92
NC[C@@H](NC(=O)C[C@H]1CNC(=O)c2cc(cn12)c3cccc(F)c3)C4CCCCC4	CHEMBL3297759	pIC50=7.92
N[C@H]1CCN(C1)c2cc(Cl)ccc2\C=C\3/SC(=O)NC3=O	CHEMBL2046468	pIC50=7.92
Nc1nnc(s1)c2ccc3[nH]cc(c4cccc(NC5CCCC5)n4)c3c2	CHEMBL3394069	pIC50=7.92
Nc1sc(nc1C(=O)Nc2cnn(CCF)c2)c3c(F)cccc3F	CHEMBL3652646	pKi=7.92
OC1(COc2cccc3ccc(nc23)c4nnc5ccccn45)CCCNCC1	CHEMBL3664619	pIC50=7.93
N[C@H]1CCCC[C@@H]1Nc2nc3c(Br)c(Br)c(Br)c(Br)c3[nH]2	CHEMBL3689322	pIC50=7.94
CN(C)CC1=Nc2c(sc3ccc(cc23)C(F)(F)F)C(=O)N1	CHEMBL583581	pKi=7.96
CN(C)CC1=Nc2c(sc3ccc(cc23)c4cscc4C)C(=O)N1	CHEMBL584563	pKi=7.96
CN(C)CCCC1=Nc2c(sc3ccc(Cl)cc23)C(=O)N1	CHEMBL573037	pKi=7.96
CN1CCC[C@H]1C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2	CHEMBL2030398	pIC50=7.96
COCCOc1ccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c(F)c1	CHEMBL1915640	pIC50=7.96
COc1cccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c1	CHEMBL2017351	pIC50=7.96
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cccc(c4F)C(F)(F)F	CHEMBL3652021	pIC50=7.96
Clc1ccc(C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)c(Cl)c1	CHEMBL2035624	pIC50=7.96
Clc1ccc2sc3C(=O)NC(=Nc3c2c1)CN4CCCNC4	CHEMBL573462	pKi=7.96
FC(F)(F)Oc1cccc(c1)n2nnc3ccc(NC4CC5(CCNCC5)C4)nc23	CHEMBL1952125	pIC50=7.96
FC(F)(F)c1ccc(cc1)c2nnc3ccc(NC4CCCCC4)nn23	CHEMBL2032368	pKi=7.96
FC(F)(F)c1cccc(c1)c2nnc3ccc(NC4CCCCC4)cn23	CHEMBL272410	pKi=7.96
FC(F)(F)c1cccc(c1)c2nnc3ccc(NC4CCCCC4)nn23	CHEMBL494360	pKi=7.96
FC1CCNCCC1Oc2cc(F)cc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660085	pIC50=7.96
F[C@@H]1CN[C@@H](C1)C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2	CHEMBL2030401	pIC50=7.96
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(n4)N5CCCNCC5)c3c2	CHEMBL3393694	pIC50=7.96
NC1CC(CN(C1)c2ccncc2NC(=O)c3csc(n3)C4CCCCC4)C(F)(F)F	CHEMBL3676277	pIC50=7.96
NC1CCN(C1)c2cncc(n2)c3n[nH]c4ccc(cc34)c5c(F)cccc5F	CHEMBL3393693	pIC50=7.96
NCC1CCCN(C1)c2ccncc2NC(=O)c3nccnc3N	CHEMBL3103880	pKi=7.96
N[C@@H]1C[C@@H](CC[C@H]1O)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676295	pIC50=7.96
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)[C@@H]4CC[C@@H](O)CC4	CHEMBL3651952	pIC50=7.96
Nc1nnc(s1)c2ccc3[nH]cc(c4cncc(OC5CCCC5)n4)c3c2	CHEMBL3394172	pIC50=7.96
Nc1nnc(s1)c2ccc3[nH]cc(c4cncc(n4)N5CCCC5)c3c2	CHEMBL3394072	pIC50=7.96
O[C@H]1CCN(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C1	CHEMBL2030376	pIC50=7.96
C[C@@H]1C[C@@H](C[C@H](N)[C@@H]1n2cncn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cccc5F	CHEMBL3687458	pIC50=7.97
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1C4CCNCC4	CHEMBL3652644	pKi=7.98
