Cc1c(CCO)sc[n+]1Cc2cc(I)cnc2N	CHEMBL270384	pEC50=6.0
Cc1cc(C)c(C[n+]2csc(CCO)c2C)c(N)n1	CHEMBL271044	pKd=7.47
[Cl-].Cc1ccc(C[n+]2csc(CCO)c2C)c(N)n1	CHEMBL252086	pKd=7.48
CC(=O)N(Cc1ccc(C)nc1N)\C(=C(\CCO)/SS\C(=C(\C)/N(Cc2ccc(C)nc2N)C(=O)C)\CCO)\C	CHEMBL251888	pEC50=7.5
Cc1ccc(C[n+]2csc(CCO)c2)c(N)n1	CHEMBL256454	pKd=7.54
C\C(=C(/CCOC(=O)c1ccccc1)\SC(=O)c2ccccc2)\N(Cc3ccc(C)nc3N)C=O	CHEMBL252844	pEC50=7.55
[Cl-].Cc1ccc(C[n+]2c(C)sc(CCO)c2C)c(N)n1	CHEMBL252441	pEC50=7.55
Cc1ccc(C[n+]2csc([C@@H](O)CO)c2C)c(N)n1	CHEMBL255340	pKd=7.57
Cc1ccc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1	CHEMBL401817	pKd=7.66
CC1=C(CCOP(=O)(O)OP(=O)(O)O)SC(=O)N1Cc2cnc(C)nc2N	CHEMBL403021	pKd=7.8
C\C(=C\1/CCOC(=O)S1)\N(Cc2ccc(C)nc2N)C=O	CHEMBL252845	pEC50=7.82
C\C(=C(/CCO)\SSCCO)\N(Cc1ccc(C)nc1N)C=O	CHEMBL253045	pEC50=7.89
C\C(=C(/CCO)\SS\C(=C(\C)/N(Cc1ccc(C)nc1N)C=O)\CCO)\N(Cc2ccc(C)nc2N)C=O	CHEMBL440237	pEC50=7.92
Cc1ncc(Cc2csc(CCO)c2C)c(N)n1	CHEMBL401772	pKd=7.92
CCc1ccc(C[n+]2csc(CCO)c2C)c(N)n1	CHEMBL256627	pKd=8.0
[Cl-].Cc1c(CCO)sc[n+]1Cc2ccc(Cl)nc2N	CHEMBL401948	pEC50=8.05
CC(=O)OCC\C(=C(/C)\N(Cc1ccc(C)nc1N)C=O)\SC(=O)C	CHEMBL252843	pEC50=8.1
C\C(=C(/CCO)\SS\C(=C(\C)/N(Cc1ccc(Cl)nc1N)C=O)\CCO)\N(Cc2ccc(Cl)nc2N)C=O	CHEMBL402594	pEC50=8.1
Cc1c(CCO)sc[n+]1Cc2ccc(N)nc2	CHEMBL255603	pKd=8.16
CC(=O)OCCc1sc[n+](Cc2ccc(C)nc2N)c1C	CHEMBL403691	pEC50=8.33
CC(=O)Nc1ncc(Cc2csc(CCO)c2C)c(N)n1	CHEMBL255138	pKd=8.52
