C[C@H]1C[C@H](C[C@@H](N)[C@H]1[S+](C)[O-])c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687446	pIC50=7.53
C[C@H]1C[C@H](C[C@@H](N)[C@H]1NC(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687436	pIC50=7.6
Fc1cc(OCC2(F)CCNCC2)c3nc(ccc3c1)c4nnc5ccccn45	CHEMBL3660096	pIC50=7.6
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(F)ccc4F	CHEMBL3651977	pIC50=7.6
N[C@H]1CCN(C1)c2c(Cl)cccc2\C=C\3/SC(=O)NC3=O	CHEMBL2048863	pIC50=7.6
Nc1nnc(s1)c2ccc3[nH]cc(c4cncc(OC5CCCC5)n4)c3c2	CHEMBL3394172	pIC50=7.6
OC(=O)\C=C\c1cccc(c1)c2cncc(NCC3CCNCC3)n2	CHEMBL455255	pIC50=7.6
COCCOc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](NC(=O)OC)[C@H](N)C4	CHEMBL3687516	pIC50=7.61
CSc1ncc2CCc3c(cn(C(C)C)c3c2n1)C(=O)N	CHEMBL3703178	pIC50=7.62
Fc1cc(F)cc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c1	CHEMBL2017344	pIC50=7.62
NCCNc1ccn2ncc(c3ccc4cn[nH]c4c3)c2n1	CHEMBL2442305	pIC50=7.62
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4ccncc4F	CHEMBL3652028	pIC50=7.62
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(F)CCOCC5	CHEMBL3691984	pIC50=7.63
CN(C)CC1=Nc2c(sc3ccc(cc23)C#CCCCCN4CCCCC4)C(=O)N1	CHEMBL576734	pKi=7.64
CSc1ncc2ccc3c(cn(C4CCNCC4)c3c2n1)C(=O)N	CHEMBL3703185	pIC50=7.64
N[C@@H]1CN(CC[C@H]1F)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676260	pIC50=7.64
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3nc(ccc3N)C4CCCCC4	CHEMBL3652000	pKi=7.64
CCOc1cccc(n1)c2c[nH]c3ccc(cc23)c4nnc(N)s4	CHEMBL3394166	pIC50=7.66
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(Cl)c(F)c4)C(=O)N1	CHEMBL575675	pKi=7.66
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3691918	pIC50=7.66
Clc1ccc2NC(=O)\C(=C\c3oc(cc3)c4cccc(c4)C(=O)N5CCCNCC5)\c2c1	CHEMBL2037201	pIC50=7.66
N(c1cccnc1)c2nc3c(cccc3c4sccc24)c5nnc[nH]5	CHEMBL2017337	pIC50=7.66
NC1CCC(CC1)Oc2cccc3ccc(nc23)c4nnc5ccccn45	CHEMBL3660044	pIC50=7.66
NCCCCNc1cncc(n1)c2cccc(\C=C\C(=O)O)c2	CHEMBL454281	pIC50=7.66
COC(=O)N(C)[C@@H]1[C@H](C)C[C@@H](C[C@@H]1N)c2ccncc2NC(=O)c3nc(sc3N)c4c(F)cccc4F	CHEMBL3687456	pIC50=7.67
CC(C)c1ccc2sc3C(=O)NC(=Nc3c2c1)CN(C)C	CHEMBL583691	pKi=7.68
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(cc4)C#N)C(=O)N1	CHEMBL573702	pKi=7.68
CN1CCCN(CC1)c2cncc(n2)c3cccc(\C=C\C(=O)O)c3	CHEMBL493937	pIC50=7.68
COc1cccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c1Cl	CHEMBL2017343	pIC50=7.68
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)C4CCCCC4	CHEMBL3651985	pIC50=7.68
Clc1ccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)cc1	CHEMBL1915437	pIC50=7.68
F[C@@H]1CNCC[C@@H]1CNc2ccn3ncc(C(=O)Nc4c[nH]c5ncccc45)c3n2	CHEMBL2387477	pKi=7.68
NC1CC(CN(C1)c2ccncc2NC(=O)c3csc(n3)C4CCCCC4)C(F)(F)F	CHEMBL3676277	pIC50=7.68
NC[C@@H]1CC[C@H](CC1)Nc2cncc(n2)c3ccc4oc(cc4c3)C(=O)O	CHEMBL1782516	pIC50=7.68
Nc1nnc(s1)c2ccc3[nH]cc(c4cccc(NC5CCCC5)n4)c3c2	CHEMBL3394069	pIC50=7.68
CCOC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687421	pIC50=7.69
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1OS(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687451	pIC50=7.69
C1CC(C1)Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915429	pIC50=7.7
CC(C)Oc1ccc(F)c(c1F)c2nc(cs2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)C[C@H](N)C4	CHEMBL3676306	pIC50=7.7
CC1CC(O)C=C(C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3652029	pIC50=7.7
CCCOc1ccc(\C=C\2/SC(=O)NC2=O)cc1	CHEMBL84558	pIC50=7.7
CN(C)CCOc1ccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c(F)c1	CHEMBL1915642	pIC50=7.7
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(O)ccc4F	CHEMBL3651901	pIC50=7.7
Cn1ncc(NC(=O)c2nc(sc2N)c3ccccc3F)c1N4CCC[C@H](N)C4	CHEMBL3652623	pKi=7.7
Fc1ccccc1Nc2nc3c(cccc3n4cccc24)c5nnc[nH]5	CHEMBL2017332	pIC50=7.7
N[C@@H](COc1cncc(n1)c2ccc3[nH]cc(c4ccc(N)nc4F)c3c2)c5ccccc5	CHEMBL1910915	pIC50=7.7
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cccc(F)c4F	CHEMBL3651975	pIC50=7.7
N[C@H]1C[C@@H](CF)CN(C1)c2ccncc2Nc3cccc4cnc(nc34)c5c(F)cccc5F	CHEMBL3685745	pIC50=7.7
NCCNc1ccn2ncc(c3ccc4NC(=O)Nc4c3)c2n1	CHEMBL2442304	pIC50=7.72
N[C@@H]1CCCN(C1)c2c(\C=C\3/SC(=O)NC3=O)cccc2c4ccncc4	CHEMBL2048873	pIC50=7.72
N[C@@H]1CC[C@@H](CC1)Nc2cncc(n2)c3cccc(\C=C\C(=O)O)c3	CHEMBL494355	pIC50=7.72
CC1CC(N)CN(C1)c2ccncc2NC(=O)c3csc(n3)C4CCCCC4	CHEMBL3676276	pIC50=7.75
CNC(=O)c1cccc2c3cnccc3c(Nc4cccc(Cl)c4)nc12	CHEMBL1915422	pIC50=7.75
C[C@@H]1C[C@H](O)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3651898	pIC50=7.75
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccncc4	CHEMBL3652014	pIC50=7.75
Clc1cccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c1	CHEMBL1915426	pIC50=7.75
F[C@H]1CNCC[C@H]1CNc2ccn3ncc(C(=O)Nc4c[nH]c5ncccc45)c3n2	CHEMBL2387476	pKi=7.75
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(NC5CCNC5)n4)c3c2	CHEMBL3393699	pIC50=7.75
Fc1cccc(F)c1c2nc(cs2)C(=O)Nc3cnccc3OC4CCNCC4	CHEMBL3354513	pIC50=7.75
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3csc(n3)c4ccccc4	CHEMBL3676302	pIC50=7.75
Nc1nnc(s1)c2ccc3[nH]cc(c4cncc(NC5CCCCC5)n4)c3c2	CHEMBL3394165	pIC50=7.75
Cn1ncc(NC(=O)c2ccc(F)c(n2)c3c(F)cccc3F)c1N4CCC[C@@H](N)CC4	CHEMBL3652643	pKi=7.76
CC(C)(CO)COc1cccc2ccc(nc12)c3nnc4cc(CN)ccn34	CHEMBL3660024	pIC50=7.77
CC(C)Oc1cncc(n1)c2c[nH]c3ccc(cc23)c4nnc(N)s4	CHEMBL3394171	pIC50=7.77
CO[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3687460	pIC50=7.77
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4cc(C)ccc4F	CHEMBL3651970	pIC50=7.77
N(c1ccccc1)c2nc3c(cccc3c4cscc24)c5nnc[nH]5	CHEMBL2017325	pIC50=7.77
NC(=O)c1ccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)cc1	CHEMBL2017357	pIC50=7.77
NCC1CCN(CC1)c2cncc(n2)c3cccc(\C=C\C(=O)O)c3	CHEMBL523534	pIC50=7.77
O=C1CN(CCN1)c2cc3c(n[nH]c3cn2)c4cccc(n4)N5CCNCC5	CHEMBL3634764	pKi=7.77
CCOCc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](NC(=O)OC)[C@H](N)C4	CHEMBL3691985	pIC50=7.79
CO\N=C\1/[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687425	pIC50=7.79
CC1(C)CCNCC1Oc2cncc(n2)c3n[nH]c4ccc(cc34)c5c(F)cccc5F	CHEMBL3393705	pIC50=7.8
CC1(C)C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676301	pIC50=7.8
CN(C)CC1=Nc2c(sc3ccc(Br)cc23)C(=O)N1	CHEMBL575470	pKi=7.8
C[C@@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3652026	pIC50=7.8
Fc1ccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)cc1	CHEMBL1915441	pIC50=7.8
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(OC5CCCNC5)n4)c3c2	CHEMBL3393702	pIC50=7.8
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nc(ccc3N)c4ccnc(N)n4	CHEMBL3103863	pKi=7.8
Oc1cccc(c1)c2ccc3c(NC(=O)C4CC4)n[nH]c3n2	CHEMBL408019	pKd=7.8
CN(c1ccccc1Cl)c2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915439	pIC50=7.82
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)ccc(F)c4F	CHEMBL3676308	pIC50=7.82
Fc1ccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c(F)c1	CHEMBL1915638	pIC50=7.82
Fc1ccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)cc1F	CHEMBL2017349	pIC50=7.82
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(NC5CCCNC5)n4)c3c2	CHEMBL3393698	pIC50=7.82
N(c1ccccc1)c2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915433	pIC50=7.82
N(c1ccccc1)c2nc3c(cccc3c4sccc24)c5nnc[nH]5	CHEMBL2017322	pIC50=7.82
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4c(F)cccc4F	CHEMBL3651974	pIC50=7.82
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCOCC5	CHEMBL3691962	pIC50=7.83
Cn1ncc(NC(=O)c2nc(cnc2N)c3ccccc3F)c1N4CCC(N)CC4	CHEMBL3652633	pKi=7.83
COC(=O)N(C)[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687463	pIC50=7.84
C1CN(CCN1)c2cccc(n2)c3n[nH]c4cnc(cc34)N5CCOCC5	CHEMBL3634765	pKi=7.85
Clc1cc(OCCN2CCOCC2)ccc1Nc3nc4c(cccc4c5cnccc35)c6nnc[nH]6	CHEMBL1915448	pIC50=7.85
Fc1cccc(F)c1c2nc(cs2)C(=O)Nc3cnccc3O[C@H]4CCNC4	CHEMBL3354511	pIC50=7.85
N(c1ccccc1)c2nc3c(cccc3c4ccsc24)c5nnc[nH]5	CHEMBL2017327	pIC50=7.85
N[C@@H]1CCCN(C1)c2ccccc2\C=C\3/SC(=O)NC3=O	CHEMBL2048865	pIC50=7.85
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC5CCOCC5)cc4F	CHEMBL3691954	pIC50=7.86
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687423	pIC50=7.86
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cc(cc5F)C6(F)CCOCC6	CHEMBL3691979	pIC50=7.86
COC(=O)N(C)[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687470	pIC50=7.87
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2cc(nn2)C#N)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cccc5F	CHEMBL3691969	pIC50=7.88
CCc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)C[C@H](N)C4	CHEMBL3651917	pIC50=7.89
CCc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](O)[C@H](N)C4	CHEMBL3651913	pIC50=7.89
CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(cc4)N(C)C)C(=O)N1	CHEMBL575255	pKi=7.89
CN(C)CC1=Nc2c(sc3ccc(cc23)c4cccc(Cl)c4)C(=O)N1	CHEMBL582844	pKi=7.89
CN(C)CC1=Nc2c(sc3ccc(cc23)c4cccc(F)c4)C(=O)N1	CHEMBL573705	pKi=7.89
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccc(F)cc4F	CHEMBL3651973	pIC50=7.89
N[C@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651998	pIC50=7.89
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1C4CCC(N)CC4	CHEMBL3652648	pKi=7.9
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OS(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687450	pIC50=7.91
CC1(C)C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccc(O)cc4F	CHEMBL3651906	pIC50=7.92
CCc1ccc(cc1)c2ccc3sc4C(=O)NC(=Nc4c3c2)CN(C)C	CHEMBL572550	pKi=7.92
CN1CCN(CC1)c2ccc(Nc3nc4c(cccc4c5cnccc35)c6nnc[nH]6)c(Cl)c2	CHEMBL1915449	pIC50=7.92
COc1cccc(F)c1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915637	pIC50=7.92
CSc1ncc2ccc3c(C(=O)N)c(C)n(C(C)C)c3c2n1	CHEMBL3703181	pIC50=7.92
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)C4CCCCC4	CHEMBL3651986	pIC50=7.92
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)ccc(Cl)c4F	CHEMBL3676309	pIC50=7.92
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3cccc(n3)c4c(F)ccc(C)c4F	CHEMBL3651926	pIC50=7.92
C[C@H]1C[C@H](C[C@@H](N)[C@H]1C#N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687478	pIC50=7.92
Fc1ccc(Cl)cc1Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915639	pIC50=7.92
N#Cc1cccc(Nc2nc3c(cccc3c4sccc24)c5nnc[nH]5)c1	CHEMBL2017355	pIC50=7.92
NC(=O)c1cccc2c1nc(Nc3ccccc3Cl)c4ccsc24	CHEMBL2017359	pIC50=7.92
N[C@@H]1CC[C@H](CC1)Nc2cncc(n2)c3cccc(\C=C\C(=O)O)c3	CHEMBL494354	pIC50=7.92
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nc(ccc3N)c4cccnc4	CHEMBL3103861	pKi=7.92
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4ccc(O)cc4F	CHEMBL3651902	pIC50=7.92
Nc1nnc(s1)c2ccc3[nH]cc(c4cncc(n4)N5CCOCC5)c3c2	CHEMBL3394073	pIC50=7.92
C[C@H]1CN(C[C@@H](N)[C@H]1C#N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687465	pIC50=7.95
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)[C@@H]4CC[C@@H](O)CC4	CHEMBL3651951	pIC50=7.96
Cc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4CCC[C@H](N)C4	CHEMBL3651924	pIC50=7.96
N[C@@H]1CN(CC[C@H]1O)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676259	pIC50=7.96
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3651984	pIC50=7.96
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(ncc3N)c4c(F)cccc4F	CHEMBL3687480	pIC50=7.97
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1[S+](C)[O-])c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687442	pIC50=7.98
C[C@H]1C[C@H](C[C@@H](N)[C@H]1S(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(F)CCOCC5	CHEMBL3687520	pIC50=7.98
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1N4CC[C@H](CN)C4	CHEMBL3652637	pKi=7.98
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cc(OC6CCOCC6)cc5F	CHEMBL3691955	pIC50=7.99
Cn1ncc(NC(=O)c2nc(ccc2N)c3ccccc3F)c1N4CCC[C@H](CN)C4	CHEMBL3652636	pKi=7.99
C#Cc1cccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c1	CHEMBL1915436	pIC50=8.0
C1CN(CCO1)c2nc3c(cccc3c4sccc24)c5nnc[nH]5	CHEMBL2017335	pIC50=8.0
CC(C)Nc1cncc(n1)c2c[nH]c3ccc(cc23)c4nnc(N)s4	CHEMBL3394074	pIC50=8.0
CC(C)Oc1cccc(n1)c2c[nH]c3ccc(cc23)c4nnc(N)s4	CHEMBL3394167	pIC50=8.0
COCCOc1ccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c(F)c1	CHEMBL1915640	pIC50=8.0
C[C@@H]1C[C@@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651991	pIC50=8.0
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)C4CCCCC4	CHEMBL3639508	pIC50=8.0
Cc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@H]4C[C@@H](N)CC(C)(C)C4	CHEMBL3651908	pIC50=8.0
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(OC5CNCCC5=C)n4)c3c2	CHEMBL3393703	pIC50=8.0
NC(=O)c1cccc2c3cnccc3c(Nc4ccccc4F)nc12	CHEMBL1915649	pIC50=8.0
N[C@H](COc1cncc(n1)c2ccc3[nH]cc(c4ccc(N)nc4F)c3c2)c5ccccc5	CHEMBL1910914	pIC50=8.0
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3csc(n3)c4ccccc4F	CHEMBL3676303	pIC50=8.0
OC(=O)\C=C\c1cccc(c1)c2cncc(n2)N3CCCNCC3	CHEMBL510884	pIC50=8.0
O[C@H]1CCN(CC2=Nc3c(sc4ccc(cc34)c5ccccc5)C(=O)N2)C1	CHEMBL572781	pKi=8.0
C[C@H]1C[C@H](C[C@@H](N)[C@H]1N=[N+]=[N-])c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687440	pIC50=8.03
COCCOc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H]([C@H](N)C4)S(=O)(=O)C	CHEMBL3687528	pIC50=8.04
CCOc1ccc(F)c(c1F)c2nc(cs2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)C[C@H](N)C4	CHEMBL3676307	pIC50=8.05
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC(C)C)cc4F	CHEMBL3691933	pIC50=8.05
C[C@@H]1C[C@H](N)CN(C1)c2ccncc2Nc3cccc4cnc(nc34)c5c(F)cccc5F	CHEMBL3685747	pIC50=8.05
