CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O	ethoxzolamide	pKi=8.6	pKi=8.6	pKi=8.6	pKi=7.6
NCCCCNCCCN	CHEMBL19612	pKi=6.0
CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)C)[C@@H](OC(=O)C)[C@H]1OC(=O)C)n2cc(COC(=O)c3ccc(cc3)S(=O)(=O)N)nn2	CHEMBL216208	pKi=7.19
CC(C)(C)C(=O)NCc1ccc(cc1)S(=O)(=O)N	CHEMBL1084951	pKi=7.19
COc1ccc2CN(CCc2c1)C(=O)c3ccc(cc3)S(=O)(=O)N	CHEMBL3613778	pKi=7.19
NS(=O)(=O)c1ccc(cc1)C#C	CHEMBL272881	pKi=7.19
NS(=O)(=O)c1ccc(cc1)C(=O)N2CCCc3cc(O)ccc23	CHEMBL3613782	pKi=7.19
NS(=O)(=O)c1ccc(cc1)C(=O)NCc2cn(nn2)[C@@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O	CHEMBL384644	pKi=7.19
CCC(CC(C)C)C(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL1083684	pKi=7.21
CCC(=O)NC1Cc2ccc(cc2C1)S(=O)(=O)N	CHEMBL204740	pKi=7.22
NS(=O)(=O)c1ccc(cc1)C(=O)N2CCc3cc(O)ccc3C2	CHEMBL3613779	pKi=7.22
NS(=O)(=O)c1cnccc1Oc2cccc3cccnc23	CHEMBL1165726	pKi=7.22
CCC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CC)[C@@H](OC(=O)CC)[C@H]1OC(=O)CC)n2cc(nn2)c3cccc(c3)S(=O)(=O)N	CHEMBL3092813	pKi=7.23
NS(=O)(=O)c1ccc(CCNC(=O)CCCNC(=O)Nc2ccc(cc2)[N+](=O)[O-])cc1	CHEMBL3360591	pKi=7.23
NS(=O)(=O)c1ccc(cc1)C(=O)NCCc2ccc(O)c(O)c2	CHEMBL3613775	pKi=7.24
NS(=O)(=O)c1ccc(cc1)C(=O)OCc2cn(nn2)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O	CHEMBL425274	pKi=7.24
NS(=O)(=O)c1ccc(cc1)C2NCCc3cc(O)ccc23	CHEMBL2048932	pKi=7.25
NS(=O)(=O)c1cnccc1SCC#C	CHEMBL1164486	pKi=7.25
NS(=O)(=O)c1ccc(NC(=S)N[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1	CHEMBL1956771	pKi=7.26
NS(=O)(=O)c1ccc(cc1)C(=O)NCc2cn(nn2)[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O	CHEMBL386416	pKi=7.26
COc1ccc2C(N(CCc2c1)S(=O)(=O)N)c3ccc(Cl)cc3	CHEMBL1923676	pKi=7.27
