NS(=O)(=O)C1=CC(Cl)=C(Cl)C(=C1)S(N)(=O)=O	dichlorphenamide	pKi=7.301	pKi=7.301	pKi=7.301	pKi=7.25
CC(=O)Nc1nnc(s1)S(=O)(=O)N	acetazolamide	pKi=8.6	pKi=8.6	pKi=8.6	pKd=6.48
CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O	ethoxzolamide	pKi=7.66	pKi=7.66	pKi=7.66	pKi=7.25
CC(C)CSc1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N	CHEMBL385451	pKi=6.0
COc1cc(OC)c2C=CC(=O)Oc2c1OC	CHEMBL596221	pKi=6.08
C\C(=C/COc1ccc2C=CC(=O)Oc2c1)\C3=CC(=O)C(C)(C)O3	CHEMBL56918	pKi=6.08
NS(=O)(=O)c1ccc(CC\N=C/c2cc(Br)cc(Br)c2O)cc1	CHEMBL3423249	pKi=6.08
NS(=O)(=O)c1cccc(c1)N2C(=O)c3cccc(c3C2=O)[N+](=O)[O-]	CHEMBL3113923	pKi=6.08
CC(C)OC(=O)c1cc(O)ccc1O	CHEMBL2333585	pKi=6.09
CCCC1=CC(=O)Oc2c3[C@H](O)[C@H](C)[C@@H](C)Oc3c4C=CC(C)(C)Oc4c12	CHEMBL7121	pKi=6.09
COC(=O)\C=C\c1ccc(O)cc1	CHEMBL146816	pKi=6.09
COC(=O)c1ccc(O)cc1	CHEMBL325372	pKi=6.09
[K+].CCCCCCCCOC(=S)[S-]	CHEMBL2380742	pKi=6.09
[K+].CCOC(=S)[S-]	CHEMBL2380738	pKi=6.09
[K+].COC(=S)[S-]	CHEMBL2380737	pKi=6.09
C=CCOc1ccc2OC(=O)C=Cc2c1	CHEMBL1957172	pKi=6.1
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)NC2CCCC(C)C2	CHEMBL3586212	pKi=6.1
COc1c(\C=C\C(=C)C)c2OC(=O)C=Cc2c3OC(C)(C)C=Cc13	CHEMBL2334004	pKi=6.1
COc1cccc(\C=C\C(=O)C[C@@H]2O[C@H](COC(=O)C)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H]2OC(=O)C)c1	CHEMBL3329921	pKi=6.1
OP(=O)(O)C(NS(=O)(=O)c1cccc(c1)[N+](=O)[O-])P(=O)(O)O	CHEMBL3291008	pIC50=6.1
[Na+].CN(C)C(=S)[S-]	CHEMBL569460	pKi=6.1
CCOC(=O)c1ccc(O)cc1O	CHEMBL466810	pKi=6.11
COc1c(\C=C\C(C)(C)O)c2OC(=O)C=Cc2c3OC(C)(C)C=Cc13	CHEMBL258230	pKi=6.11
COc1cc2C=CC(=O)Oc2cc1O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O	CHEMBL225024	pKi=6.11
COc1ccccc1\C(=C\C(=O)\C=C(/O)\C(=O)O)\O	CHEMBL2070205	pKi=6.11
C\C(=C/Cc1cc2C=CC(=O)Oc2cc1O)\CO	CHEMBL2334353	pKi=6.11
Cc1cc(C)[n+](c(C)c1)c2cc(O)ccc2Cl.[O-]Cl(=O)(=O)=O	CHEMBL2333961	pKi=6.11
Cc1ccc(cc1)S(=O)(=O)Nc2cccc(c2)C3C4=C(CC(C)(C)CC4=O)N(C5=C3C(=O)CC(C)(C)C5)c6ccc(cc6)S(=O)(=O)N	CHEMBL3623642	pKi=6.11
NNc1c(F)c(F)c(c(F)c1F)S(=O)(=O)N	CHEMBL2333414	pKd=6.11
O=S(=O)(NC1CC1)NC2CC2	CHEMBL229189	pKi=6.11
CC(C)OC(=O)\C=C\c1ccc(O)cc1	CHEMBL1940391	pKi=6.12
Cc1cc(C)[n+](CCc2ccccc2C)c(C)c1.[O-]Cl(=O)(=O)=O	CHEMBL2333957	pKi=6.12
Cc1ccc(C)c(c1)N2CCN(CC2)c3ccncc3S(=O)(=O)N	CHEMBL2436882	pKi=6.12
NS(=O)(=O)c1ccc(cc1)c2cnc3ccccc3c2	CHEMBL3764628	pKi=6.12
Oc1ccc2C=CC(=O)Oc2c1	CHEMBL51628	pKi=6.12
[K+].CCCCCOC(=S)[S-]	CHEMBL2380741	pKi=6.12
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)NCC(=O)N	CHEMBL3604416	pKi=6.13
CCOC(=O)c1cc(O)ccc1O	CHEMBL2333584	pKi=6.13
FC(F)(F)c1ccccc1c2cn(nn2)c3ccc4C(=O)NS(=O)(=O)c4c3	CHEMBL3233390	pKi=6.13
[K+].CC(C)(C)OC(=O)NCCCCCCOC(=S)[S-]	CHEMBL2380748	pKi=6.13
[K+].CN(C)CCOC(=S)[S-]	CHEMBL2380745	pKi=6.13
[K+].[S-]C(=S)OCC12CC3CC(CC(C3)C1)C2	CHEMBL2380752	pKi=6.13
[K+].[S-]C(=S)OCCC12CC3CC(CC(C3)C1)C2	CHEMBL2380753	pKi=6.13
CCCCCCOS(=O)(=O)N	CHEMBL2335232	pKi=6.14
COC(=O)c1c(O)cccc1O	CHEMBL2333586	pKi=6.14
O=C1Oc2cc(OCC#C)ccc2C=C1	CHEMBL308819	pKi=6.14
O=S1(=O)Oc2ccc3ccccc3c2C=C1	CHEMBL2326509	pKi=6.14
OC(=O)c1cc(ccc1NC(=S)NCCc2ccc(O)c(O)c2)C3=C4C=CC(=O)C=C4Oc5cc(O)ccc35	CHEMBL2333956	pKi=6.14
CC1=C(Cc2ccccc2)C(=O)NC(=N1)SCC(=O)c3ccc(cc3)S(=O)(=O)N	CHEMBL2010990	pKd=6.15
O=C1N(CC#N)S(=O)(=O)c2ccccc12	CHEMBL3125559	pKi=6.15
[K+].CC(C)(C)OC(=O)NCCCCOC(=S)[S-]	CHEMBL2380747	pKi=6.15
[K+].[S-]C(=S)NC#N	CHEMBL2380755	pKi=6.15
CCCCNS(=O)(=O)NCCCC	CHEMBL229137	pKi=6.16
C\C(=C/COc1ccc2C=CC(=O)Oc2c1)\CCC(=O)C(C)(C)O	CHEMBL2003049	pKi=6.16
O=S(=O)(NC1CCCCC1)NC2CCCCC2	CHEMBL388325	pKi=6.16
[K+].CC(C)OC(=S)[S-]	CHEMBL2380739	pKi=6.16
COc1cccc(\C=C\C(=O)C[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1	CHEMBL3329927	pKi=6.17
NS(=O)(=O)c1c(F)c(F)c(Sc2nc(c3ccccc3)c([nH]2)c4ccccc4)c(F)c1F	CHEMBL2333399	pKd=6.17
Oc1ccc2OC(=O)C=Cc2c1	CHEMBL243263	pKi=6.17
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3C)S(=O)(=O)N4CCCNCC4	CHEMBL3261392	pKi=6.18
NS(=O)(=O)c1c(F)c(F)c(N\N=C\c2ccccc2)c(F)c1F	CHEMBL2333415	pKd=6.18
[N-]=[N+]=Nc1ccc2C(=O)NS(=O)(=O)c2c1	CHEMBL3233387	pKi=6.18
C=CCOc1ccc2C=CC(=O)Oc2c1	CHEMBL432745	pKi=6.19
CC1(C)CC(=O)C2=C(C1)N(C3=C(C2c4ccc(NS(=O)(=O)c5ccccc5)cc4)C(=O)CC(C)(C)C3)c6ccc(cc6)S(=O)(=O)N	CHEMBL3623635	pKi=6.19
CC1=CC(=O)Oc2cc(NC(=O)Nc3cc(C)cc(C)c3)ccc12	CHEMBL1957187	pKi=6.19
COc1cccc(\C=C\C(=O)C[C@@H]2O[C@H](COC(=O)C)[C@H](OC(=O)C)[C@H](OC(=O)C)[C@H]2OC(=O)C)c1	CHEMBL3329924	pKi=6.19
CC(=O)O[C@@H]1[C@@H](COP(=O)(OCCSC(=O)C(C)(C)C)OCCSC(=O)C(C)(C)C)O[C@H]([C@H](OC(=O)C)[C@H]1OC(=O)C)S(=O)(=O)N	CHEMBL3613285	pKi=6.2
CCCc1nn(C)c2nnc(nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4	CHEMBL3356722	pKi=6.2
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3C)S(=O)(=O)N4CCN(C)CC4	CHEMBL3261387	pKi=6.2
O=C1NS(=O)(=O)c2ccccc12	CHEMBL310671	pKi=6.2
OCCOc1ccc2C=CC(=O)Oc2c1	CHEMBL1957184	pKi=6.2
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3C)S(=O)(=O)N4CCNCC4	CHEMBL3261388	pKi=6.21
NS(=O)(=O)c1ccc(CCN2C(=O)c3ccc(cc3C2=O)[N+](=O)[O-])cc1	CHEMBL3113927	pKi=6.21
NS(=O)(=O)c1ccc(\N=C\c2ccc(cc2)c3ccccc3)c(F)c1	CHEMBL3343266	pKi=6.21
NS(=O)(=O)c1ccc(cc1)\N=C\c2ccc(cc2)c3ccccn3	CHEMBL3343262	pKi=6.21
NS(=O)(=O)c1ccc(cc1)\N=C\c2csc3ccccc23	CHEMBL3343263	pKi=6.21
[K+].CN(C)CCOCCOC(=S)[S-]	CHEMBL2380746	pKi=6.21
CC(CCOc1ccc2C=CC(=O)Oc2c1)C3=CC(=O)C(C)(C)O3	CHEMBL1995684	pKi=6.22
CC1(C)CC(=O)C2=C(C1)N(C3=C(C2c4ccc(N)cc4)C(=O)CC(C)(C)C3)c5ccc(cc5)S(=O)(=O)N	CHEMBL3623633	pKi=6.22
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3C)S(=O)(=O)N4CCCC4	CHEMBL3261391	pKi=6.22
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3C)S(=O)(=O)NC(C)(C)CO	CHEMBL3401464	pKi=6.22
[Cl-].CN(C)c1ccc2C(=C3C=CC(=[N+](C)C)C=C3Oc2c1)c4ccc(NC(=S)NCCOc5ccc(cc5)S(=O)(=O)N)cc4C(=O)O	CHEMBL3359177	pKi=6.22
COc1ccc2cc(\C=C\C(=O)C[C@@H]3O[C@H](COC(=O)C)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H]3OC(=O)C)ccc2c1	CHEMBL3329923	pKi=6.23
FCCOc1ccc2C=CC(=O)Oc2c1	CHEMBL1957186	pKi=6.23
NS(=O)(=O)c1c(F)c(F)cc(F)c1F	CHEMBL2333412	pKd=6.23
CC1=CC(=O)Oc2cc(NC(=O)OC(C)(C)C)ccc12	CHEMBL1957188	pKi=6.24
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3C)S(=O)(=O)N4CCCCC4	CHEMBL3261390	pKi=6.24
NS(=O)(=O)NCCc1ccc(cc1)S(=O)(=O)N	CHEMBL2164731	pKi=6.24
O=C1N(CC#C)S(=O)(=O)c2ccccc12	CHEMBL3125560	pKi=6.24
OC[C@H]1O[C@@H](OCc2cn(nn2)c3ccc4C(=O)NS(=O)(=O)c4c3)[C@H](O)[C@@H](O)[C@@H]1O	CHEMBL3233395	pKi=6.24
CC1(C)CC(=O)C2=C(C1)N(C3=C(C2c4cccc(NS(=O)(=O)c5ccc(Br)cc5)c4)C(=O)CC(C)(C)C3)c6ccc(cc6)S(=O)(=O)N	CHEMBL3623644	pKi=6.25
COc1ccccc1N2CCN(CC2)c3ccncc3S(=O)(=O)N	CHEMBL2436881	pKi=6.25
Cc1ccc(cc1S(=O)(=O)N)c2oc(nc2)C(=O)N3CCOCC3	CHEMBL3608882	pKi=6.25
[K+].CC(C)CCOC(=S)[S-]	CHEMBL2380740	pKi=6.25
CC1=CC(=O)NC(=N1)SCC(=O)c2ccc(cc2)S(=O)(=O)N	CHEMBL2010988	pKd=6.26
NOS(=O)(=O)NC(=O)OCc1ccccc1	CHEMBL3609431	pKi=6.26
NS(=O)(=O)c1ccc(cc1)C(=O)CSc2ncccn2	CHEMBL2011156	pKd=6.26
NS(=O)(=O)c1cnccc1N2CCN(CC2)c3ccc(Cl)cc3	CHEMBL2436877	pKi=6.26
O=C1N=C(Nc2ccc(cc2)S(=O)(=O)Nc3ccccn3)S/C/1=C/C4=COc5ccccc5C4=O	CHEMBL3416240	pKi=6.26
CCOc1ccc(cc1c2nnc3c(n2)c(C)nn3c4ccc(cc4)S(=O)(=O)N5CCN(C)CC5)S(=O)(=O)N6CCN(C)CC6	CHEMBL3585748	pKi=6.27
Cc1cc(C)[n+](c(C)c1)c2cccc(O)c2.[O-]Cl(=O)(=O)=O	CHEMBL2333960	pKi=6.27
Cc1cc(c(SCc2cc3OCOc3cc2Cl)cc1Cl)S(=O)(=O)NC(=N)Nc4ccc(cc4)S(=O)(=O)N	CHEMBL3104161	pKi=6.27
Oc1ccccc1\C=N\CCCCC\N=C\c2ccccc2O	CHEMBL3092751	pKi=6.27
CN(C)CCN(C)CCN(C)CCN(C)C	CHEMBL1214194	pKi=6.28
Cc1cc(C)c(c(C)c1)S(=O)(=O)Nc2cccc(c2)C3C4=C(CC(C)(C)CC4=O)N(C5=C3C(=O)CC(C)(C)C5)c6ccc(cc6)S(=O)(=O)N	CHEMBL3623645	pKi=6.28
Cc1cc(c(SCc2cc3OCOc3cc2Cl)cc1Cl)S(=O)(=O)NC(=N)Nc4cccc(c4)S(=O)(=O)N	CHEMBL3104162	pKi=6.28
Cc1ccc(cc1)S(=O)(=O)Nc2ccc(cc2)C3C4=C(CC(C)(C)CC4=O)N(C5=C3C(=O)CC(C)(C)C5)c6ccc(cc6)S(=O)(=O)N	CHEMBL3623636	pKi=6.28
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c2c(O)ccc3C(=O)C(=COc23)c4ccc(O)cc4	CHEMBL486386	pKi=6.29
CC(C)OC(=O)c1ccc(O)cc1O	CHEMBL2333963	pKi=6.3
CC1(C)CC(=O)C2=C(C1)N(C3=C(C2c4cccc(c4)[N+](=O)[O-])C(=O)CC(C)(C)C3)c5ccc(cc5)S(=O)(=O)N	CHEMBL3623632	pKi=6.3
CC1=CC(=O)NC(=N1)SCC(=O)c2ccc(Cl)c(c2)S(=O)(=O)N	CHEMBL2010987	pKd=6.3
NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	CHEMBL2333413	pKd=6.3
NS(=O)(=O)c1c(F)c(F)c(N2CCOCC2)c(F)c1F	CHEMBL2333408	pKd=6.3
NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1NC2CCCCCCC2	CHEMBL3359179	pKd=6.3
NS(=O)(=O)c1cc(ccc1Cl)C(=O)CSc2ncccn2	CHEMBL2011155	pKd=6.3
NS(=O)(=O)c1ccc(CC\N=C\c2cccc(Br)c2O)cc1	CHEMBL3343269	pKi=6.3
CCOC(=O)\C=C\c1ccc(O)cc1	CHEMBL2074640	pKi=6.31
NS(=O)(=O)c1ccc(CN2C(=O)c3cccc(c3C2=O)[N+](=O)[O-])cc1	CHEMBL3113922	pKi=6.31
NC(=N)Nc1ccc(cc1)C(=O)O	CHEMBL20767	pKi=6.32
NS(=O)(=O)c1cnccc1N2CCN(CC2)c3ccc(F)cc3	CHEMBL2436878	pKi=6.32
OC(=O)\C(=C/1\C(=O)Nc2ccccc12)\O	CHEMBL2070210	pKi=6.32
OP(=O)(O)C(NS(=O)(=O)c1ccc(cc1)c2ccc(Cl)cc2)P(=O)(O)O	CHEMBL3291011	pIC50=6.32
OP(=O)(O)C(NS(=O)(=O)c1ccc(Cl)cc1)P(=O)(O)O	CHEMBL3291001	pIC50=6.33
COc1ccc(cc1O)[C@@H]2CC(=O)c3c(O)cc(O)cc3O2	CHEMBL399121	pKi=6.34
Cc1ccc(cc1)S(=O)(=O)NC(P(=O)(O)O)P(=O)(O)O	CHEMBL3291005	pIC50=6.34
OC(O[C@H](Cc1ccc(O)c(O)c1)C(=O)O)[C@@H]2[C@H](Oc3cc(O)cc(\C=C\C(=O)O[C@H](Cc4ccc(O)c(O)c4)C(=O)O)c23)c5ccc(O)c(O)c5	CHEMBL541265	pKi=6.34
Cc1cc(c(SCc2cc3OCOc3cc2Cl)cc1Cl)S(=O)(=O)NC(=N)NNc4ccc(cc4)S(=O)(=O)N	CHEMBL3104163	pKi=6.35
NCCCCCN	CHEMBL119296	pKi=6.35
NS(=O)(=O)c1ccc(cc1Cl)C(=O)Cn2cnc3ccccc23	CHEMBL3798446	pKd=6.35
CC(=O)CN1C(=O)c2ccccc2S1(=O)=O	CHEMBL415079	pKi=6.36
COc1ccc(\C=N\CCc2ccc(cc2)S(=O)(=O)N)c(O)c1	CHEMBL3343270	pKi=6.36
Cc1cc(c(SCc2cc3OCOc3cc2Cl)cc1Cl)S(=O)(=O)NC(=N)NCc4ccc(cc4)S(=O)(=O)N	CHEMBL3104164	pKi=6.36
OP(=O)(O)C(Nc1ccccc1)P(=O)(O)O	CHEMBL2440580	pIC50=6.36
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)Nc2ccc(Cl)cc2	CHEMBL3311025	pKi=6.37
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)Nc2cccc(Cl)c2	CHEMBL3311024	pKi=6.37
CCOC1Oc2ccccc2C(=O)/C/1=C/Nc3ccc(cc3)S(=O)(=O)Nc4cc(C)on4	CHEMBL3416226	pKi=6.37
COc1ccc(CNc2ccc(cc2)S(=O)(=O)N)cc1	CHEMBL1579806	pKi=6.37
Cc1cc(c(SCC2=CC(=O)Nc3ccccc23)cc1Cl)S(=O)(=O)NC(=N)Nc4ccccc4S(=O)(=O)N	CHEMBL3104158	pKi=6.37
Oc1ccccc1\C=N\CCCCCC\N=C\c2ccccc2O	CHEMBL1163022	pKi=6.37
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)NCCCN2CCOCC2	CHEMBL3586214	pKi=6.38
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)Nc2ccccc2	CHEMBL3310915	pKi=6.38
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)Nc2ccccn2	CHEMBL3310916	pKi=6.38
COc1ccc2[nH]c(cc2c1)c3ccc(cc3)S(=O)(=O)N	CHEMBL3765726	pKi=6.38
COc1ccccc1CCNS(=O)(=O)N	CHEMBL2387070	pKi=6.38
NS(=O)(=O)c1cnccc1N2CCN(CC2)c3ccccc3	CHEMBL2436876	pKi=6.38
ONS(=O)(=O)NC1OC[C@H](O)C=C1	CHEMBL3343325	pKi=6.38
OP(=O)(O)C(Nc1ccc(cc1)[N+](=O)[O-])P(=O)(O)O	CHEMBL2440578	pIC50=6.38
[Na+].[S-]C(=S)N1CCN(CC(=O)NC2CCCCC2)CC1	CHEMBL3400814	pKi=6.38
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)Nc2ccccc2N	CHEMBL3311028	pKi=6.39
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)Nc2nncs2	CHEMBL3311023	pKi=6.39
Cc1ccc(cc1)C#Cc2cccc(c2)S(=O)(=O)N	CHEMBL1836405	pKi=6.39
NS(=O)(=O)c1ccc(NCc2ccc(OCc3ccccc3)cc2)cc1	CHEMBL3759307	pKi=6.39
O[C@@H]1[C@@H](COC(=O)\C=C\c2ccc(O)cc2)O[C@@H](OC3=C(Oc4cc(O)cc(O)c4C3=O)c5ccc(O)cc5)[C@H](OC(=O)\C=C\c6ccc(O)cc6)[C@H]1O	CHEMBL3628129	pKi=6.39
S=C1Oc2cc(OCCCC#C)ccc2C=C1	CHEMBL3760055	pKi=6.39
CC(=O)O[C@@H]1[C@@H](COC(=O)\C=C\c2ccc(O)cc2)O[C@@H](OC3=C(Oc4cc(O)cc(O)c4C3=O)c5ccc(O)cc5)[C@H](OC(=O)\C=C\c6ccc(O)cc6)[C@H]1OC(=O)C	CHEMBL3628130	pKi=6.4
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)NC2CCCCC2	CHEMBL3310912	pKi=6.4
CCCSc1ccc(cc1)S(=O)(=O)N	CHEMBL2333400	pKd=6.4
Cc1cc(C)[n+](CCc2ccccc2c3ccccc3)c(C)c1.[O-]Cl(=O)(=O)=O	CHEMBL2333958	pKi=6.4
NS(=O)(=O)c1ccc(CC\N=C/c2cc(Br)ccc2O)cc1	CHEMBL3423253	pKi=6.4
COC(=O)[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)n2cc(CNC(=O)c3ccc(cc3)S(=O)(=O)N)nn2	CHEMBL217683	pKi=6.41
OP(=O)(O)C(NS(=O)(=O)c1ccc(cc1)c2ccccc2)P(=O)(O)O	CHEMBL3291009	pIC50=6.41
COC(=O)Nc1ccccc1C(=O)N2C=CC(=O)C(=C2)S(=O)(=O)N	CHEMBL1241532	pKi=6.42
Cc1ccc(cc1S(=O)(=O)N)c2oc(nc2)C3CC3	CHEMBL3608876	pKi=6.42
NCCNc1cccc2ccccc12	CHEMBL1214195	pKi=6.42
CC1(C)CC(=O)C2=C(C1)N(C3=C(C2c4ccc(NS(=O)(=O)c5ccc6ccccc6c5)cc4)C(=O)CC(C)(C)C3)c7ccc(cc7)S(=O)(=O)N	CHEMBL3623640	pKi=6.43
CCOC(=O)C1=CN=C(NC1=O)SCC(=O)c2ccc(cc2)S(=O)(=O)N	CHEMBL2010996	pKd=6.43
COc1ccc(cc1)S(=O)(=O)NC(P(=O)(O)O)P(=O)(O)O	CHEMBL3291006	pIC50=6.43
NCCCCCCN	CHEMBL303004	pKi=6.43
NS(=O)(=O)c1cc(ccc1Cl)C(=O)Cn2c(Cc3ccccc3)nc4ccccc24	CHEMBL1272242	pKd=6.43
O=C1Oc2cc(OCCCC#C)ccc2C=C1	CHEMBL3121782	pKi=6.43
Oc1ccccc1CNc2ccccc2NCc3ccccc3O	CHEMBL3092750	pKi=6.43
CCOC(=O)c1nc2c3c(cn(c4ccc(cc4)S(=O)(=O)N)c3ncn2n1)c5ccc(Br)cc5	CHEMBL3298347	pKi=6.44
CCCCc1cnc(SCC(=O)c2ccc(c(Cl)c2)S(=O)(=O)N)nc1	CHEMBL2443192	pKd=6.45
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)Nc2ccccc2[N+](=O)[O-]	CHEMBL3311027	pKi=6.45
CC(C)(C)[Si](C)(C)Oc1ccc2C=CC(=S)Oc2c1	CHEMBL1957179	pKi=6.46
CC1(C)CC(=O)C2=C(C1)N(C3=C(C2c4ccc(cc4)[N+](=O)[O-])C(=O)CC(C)(C)C3)c5ccc(cc5)S(=O)(=O)N	CHEMBL3623631	pKi=6.46
CCCc1cnc(SCC(=O)c2ccc(c(Cl)c2)S(=O)(=O)N)nc1	CHEMBL2443190	pKd=6.46
Cc1ccc(NC(P(=O)(O)O)P(=O)(O)O)cc1	CHEMBL2440439	pIC50=6.46
NC1=NC(=S)Nc2c1c(cn2c3ccc(cc3)S(=O)(=O)N)c4ccc(Br)cc4	CHEMBL3342497	pKi=6.46
