O=S(=O)(N1CCCNCC1)C1=CC=CC2=C1C=CN=C2	fasudil	pKi=7.0	pKi=7.0	pKi=7.0
[H][C@]1(C)CNCCCN1S(=O)(=O)C1=CC=CC2=C1C(F)=CN=C2	ripasudil	pIC50=7.29242992	pIC50=7.29242992	pIC50=7.29242992
Oc1cccc(CC(=O)Nc2nc(cs2)c3ccncc3)c1	CHEMBL3581123	pKi=7.55
COc1cccc(CNC(=O)c2c[nH]c3cc(ccc23)c4ccncc4)c1	CHEMBL1923167	pIC50=7.96
COc1cccc(CNC(=O)c2c[nH]c3nc(ccc23)c4cn[nH]c4)c1	CHEMBL1922132	pIC50=7.96
COc1cccc(c1)C(CCO)NC(=O)Nc2ccc(cc2)c3cn[nH]c3	CHEMBL2332076	pIC50=7.96
CC1=C(C(N=C(N1)c2ccnc(C)c2)c3ccc(Cl)cc3F)C(=O)Nc4cc5cn[nH]c5cc4F	CHEMBL485440	pIC50=8.0
COc1ccc2CN[C@H](Cc2c1)C(=O)Nc3ccc(cc3OCC4CCN(C)CC4)c5cn[nH]c5	CHEMBL1215304	pIC50=8.0
COc1cccc(CC(=O)Nc2cc(cs2)c3ccncc3)c1	CHEMBL3581132	pKi=8.0
COc1cccc(CN(CCN(C)C)C(=O)Nc2ccc(cn2)c3cn[nH]c3)c1	CHEMBL2332063	pIC50=8.0
CS(=O)(=O)Nc1cccc(CC(=O)Nc2cc(cs2)c3ccnc(F)c3)c1	CHEMBL3580669	pKi=8.0
Cc1c(sc2ccc(cc12)C(N)c3cccc(O)c3)c4ccnc(N)n4	CHEMBL1083074	pIC50=8.0
OCCC(NC(=O)Nc1ccc(cc1)c2cn[nH]c2)c3cccc(F)c3	CHEMBL2332056	pIC50=8.0
CC1=C(C(CC(=O)N1)c2ccc(cc2)C(F)(F)F)C(=O)Nc3ccc4[nH]nc(C)c4c3	CHEMBL218720	pIC50=8.05
CC1=C(C(CC(=O)N1)c2ccc3ccccc3c2)C(=O)Nc4ccc5[nH]ncc5c4	CHEMBL441702	pIC50=8.05
COc1cccc(CN(CCN(C)C)C(=O)c2cn(C)c3cc(ccc23)c4cn[nH]c4)c1	CHEMBL1922127	pIC50=8.05
C1CN(CCN1)c2nc(Nc3ccncc3)nc(OC4Cc5ccccc5C4)n2	CHEMBL584291	pIC50=8.1
CC1=C(C(CC(=O)N1)c2ccc(Cl)c(Cl)c2)C(=O)Nc3ccc4[nH]ncc4c3	CHEMBL374453	pIC50=8.1
CC1=C(C(CC(=O)N1)c2ccc(cc2)C(F)(F)F)C(=O)Nc3cc(Cl)c4[nH]ncc4c3	CHEMBL427058	pIC50=8.1
CC1=C(C(N=C(N1)c2ccncc2)c3ccc(F)cc3)C(=O)Nc4ccc5[nH]ncc5c4	CHEMBL483395	pIC50=8.1
CCn1c(nc2cncc(OC3CCNCC3)c12)c4nonc4N	CHEMBL493911	pIC50=8.1
COc1cc(cc2C(=O)NC(=Nc12)C(N)c3cccc(Cl)c3)c4cn[nH]c4	CHEMBL2333896	pIC50=8.1
COc1cccc(CNC(=O)c2[nH]c3cc(ccc3c2CN4CCCNCC4)c5cn[nH]c5)c1	CHEMBL1922141	pIC50=8.1
N[C@H](Cc1ccc(F)cc1)C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4	CHEMBL2333906	pIC50=8.1
Oc1cccc(CNC(=O)Nc2nc(cs2)c3ccncc3)c1	CHEMBL3218011	pIC50=8.1
COc1cc(cc2C(=O)NC(=Nc12)[C@H](N)Cc3cccc(F)c3)c4cn[nH]c4	CHEMBL2333908	pIC50=8.16
Clc1c(CC(=O)Nc2nc(cs2)c3ccncc3)ccc4OCOc14	CHEMBL3581126	pKi=8.16
C1CN(CCN1)c2nc(NC3Cc4ccccc4C3)nc(Nc5ccncc5)n2	CHEMBL575741	pIC50=8.22
CC1=C(C(N=C(N1)c2ccnc(Cl)c2)c3ccc(Cl)cc3F)C(=O)Nc4cc5cn[nH]c5cc4F	CHEMBL521347	pIC50=8.22
CN(C)CCC(NC(=O)Nc1ccc(cc1)c2cn[nH]c2)c3ccccc3	CHEMBL2332059	pIC50=8.22
COc1cc(ccn1)C2=NC(C(=C(C)N2)C(=O)Nc3cc4cn[nH]c4cc3F)c5ccc(Cl)cc5F	CHEMBL485612	pIC50=8.22
COc1cccc(CN(CCN(C)C)C(=O)Nc2ccc(cc2)c3cn[nH]c3)c1	CHEMBL2332068	pIC50=8.22
COc1cccc(CN(CCO)C(=O)Nc2ccc(cc2)c3cn[nH]c3)c1	CHEMBL2332065	pIC50=8.22
COc1cccc(CNC(=O)c2[nH]c3cc(ccc3c2CN4CCN(C)CC4)c5cn[nH]c5)c1	CHEMBL1922140	pIC50=8.22
COc1cccc(c1)[C@@H](C)NC(=O)c2cc3ccc(nc3[nH]2)c4cn[nH]c4	CHEMBL1923181	pIC50=8.22
C[C@H]1CNCCCN1S(=O)(=O)c2cccc3cncc(C)c23	CHEMBL406821	pKi=8.22
NC(C(=O)Nc1ccc2cnccc2c1)c3ccccc3	CHEMBL3770730	pIC50=8.22
CC1=C(C(CC(=O)N1)c2ccc(cc2)C(F)(F)F)C(=O)Nc3ccc4[nH]ncc4c3	CHEMBL218719	pIC50=8.3
CCn1c(nc2cncc(C(=O)N3CC[C@@H](N)C3)c12)c4nonc4N	CHEMBL523695	pIC50=8.3
CCn1c(nc2cncc(C(=O)NCCNC)c12)c3nonc3N	CHEMBL506153	pIC50=8.3
COc1ccc(cc1)C2=NC(C(=C(C)N2)C(=O)Nc3ccc4[nH]ncc4c3)c5ccc(Cl)cc5F	CHEMBL520828	pIC50=8.3
COc1cccc(CNC(=O)c2cn(CCN(C)C)c3cc(ccc23)c4cn[nH]c4)c1	CHEMBL1922129	pIC50=8.3
CCn1c(nc2cnc(OC)cc12)c3nonc3N	CHEMBL218257	pIC50=8.36
CC1=C(C(N=C(N1)c2ccnc(Cl)c2)c3ccc(Cl)cc3F)C(=O)Nc4ccc5[nH]ncc5c4	CHEMBL483401	pIC50=8.4
CCN(Cc1cccc(OC)c1)C(=O)Nc2ccc(cc2O[C@H]3CCN(C)C3)c4cn[nH]c4	CHEMBL2332060	pIC50=8.4
CCn1c(nc2cnc(Oc3cccc(NC(=O)c4ccccc4)c3)cc12)c5nonc5N	CHEMBL426526	pIC50=8.4
COc1cccc(CN(C)C(=O)Nc2ccc(cc2)c3cn[nH]c3)c1	CHEMBL2332097	pIC50=8.4
COc1cccc(CN(CCN(C)C)C(=O)c2nc3ccc(cc3s2)c4cn[nH]c4)c1	CHEMBL1080279	pIC50=8.46
CCn1c(nc2cncc(OCC3CCNCC3)c12)c4nonc4N	CHEMBL521823	pIC50=8.52
COc1ccc(cn1)C2=NC(C(=C(C)N2)C(=O)Nc3ccc4[nH]ncc4c3)c5ccc(Cl)cc5F	CHEMBL483574	pIC50=8.52
COc1cccc(CN(C)C(=O)c2cn(C)c3cc(ccc23)c4cn[nH]c4)c1	CHEMBL1922124	pIC50=8.52
COc1cccc(CNC(=O)c2cn(CCCO)c3cc(ccc23)c4cn[nH]c4)c1	CHEMBL1922128	pIC50=8.52
O=C1NC=Cc2cc(O[C@H]3CCCNC3)ccc12	CHEMBL1667967	pKi=8.6
CCn1c(nc2cnc(Oc3cccc(NC(=O)c4ccc(cc4)N(C)C)c3)cc12)c5nonc5N	CHEMBL220465	pIC50=8.7
CN(C)CCCNC(=O)c1ccc2OCC(Cc2c1)c3nc4ccc(cc4s3)c5cn[nH]c5	CHEMBL1079921	pIC50=8.7
COc1cc(ccn1)C2=NC(C(=C(C)N2)C(=O)Nc3ccc4[nH]ncc4c3)c5ccc(Cl)cc5F	CHEMBL483402	pIC50=8.7
COc1cccc(CNC(=O)c2cc3ccc(nc3n2C)c4cn[nH]c4)c1	CHEMBL1922035	pIC50=8.7
COc1cccc(c1)[C@@H](C)NC(=O)c2c[nH]c3cc(ccc23)c4cn[nH]c4	CHEMBL1923173	pIC50=8.7
NC[C@H](Cc1cccc(F)c1)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34	CHEMBL523586	pIC50=8.7
O=C1NC(=Nc2ccc(cc12)c3cn[nH]c3)[C@@H]4CNC[C@H]4c5ccccc5	CHEMBL2334292	pIC50=8.7
CCn1c(nc2cnc(Oc3cccc(NC(=O)C)c3)cc12)c4nonc4N	CHEMBL218868	pIC50=8.75
CCn1c(nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc12)c6nonc6N	CHEMBL220241	pIC50=8.75
CC1(C)C2=C3C=C4C(CC[N+]5=C4C(C)(C)c6cc(ccc56)S(=C)(=O)O)OC3CCN2c7ccc(CC(=O)NCCCC[C@@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)CCCCCNC(=O)[C@@H](CCCNC(=N)N)NC(=O)CCCCCCCNCCNS(=O)(=O)c8cccc9cnccc89)C(=O)N)cc17	CHEMBL2023841	pKd=8.89
NCC(C(=O)Nc1ccc2cnccc2c1)c3ccccc3	CHEMBL3770836	pIC50=8.92
Clc1ccc(cc1)[C@@H]2CNC[C@H]2C3=Nc4ccc(cc4C(=O)N3)c5cn[nH]c5	CHEMBL2333898	pIC50=9.0
CS(=O)(=O)O.Oc1cccc(CNC(=O)Nc2nc(cs2)c3ccncc3)c1	CHEMBL3218297	pIC50=9.28
