CCOC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC	icosapent ethyl
CC(C)(C)OC(=O)NCCNC(=O)c1ccc(OC2C3CC4CC2CC(C4)(C3)C(=O)O)cc1	CHEMBL3613334	pIC50=6.27
COCCN(C)c1ncc(NC(=O)c2nc(oc2C(F)(F)F)c3ccccc3)cn1	CHEMBL1766816	pEC50=6.27
O=C(Nc1ccc(nc1)N2CCOCC2)c3oc(Nc4cccc(OCc5ccccn5)c4)nn3	CHEMBL2036731	pIC50=6.27
CC(C)(C(=O)Nc1oc(nn1)C(=O)Nc2ccc(cc2)N3CCOCC3)c4ccc(Cl)cc4	CHEMBL2036737	pIC50=6.28
CCOC(=O)c1c(C)n2nc(cc(c3ccccc3)c2c1C(=O)OCC)N4CCOCC4	CHEMBL1257677	pIC50=6.28
C[C@H]1CN(C(=O)Nc2ccccc2)c3ccc(cc3O1)c4ccc(cc4)[C@@H]5CC[C@@H](CC(=O)O)CC5	CHEMBL3287866	pIC50=6.28
Cc1cc(NC(=O)c2ccc3ccccc3c2)ccc1c4ccc(OCC(C)(C)C(=O)O)cc4	CHEMBL1939630	pIC50=6.28
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)N)CC3	CHEMBL2178935	pIC50=6.28
Fc1ccccc1Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4	CHEMBL2036567	pIC50=6.28
Fc1ccccc1NC(=O)N2CCN(CC2)c3ccc(NC(=O)c4oc(nc4C(F)(F)F)N5CCCCC5)cn3	CHEMBL2334086	pIC50=6.29
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)C4CCN(CC4)C(=O)C5CCCCC5	CHEMBL2414661	pIC50=6.29
CC(C)Cc1nnc(NC(=O)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3)s1	CHEMBL2012616	pIC50=6.3
COc1cc(C)c(c(C)c1)c2nc3ccc(cc3[nH]2)C(=O)Nc4ccc(C)c(C)c4	CHEMBL2063280	pIC50=6.3
FC(F)(F)c1oc(cc1C(=O)Nc2ccc(nc2)N3CCOCC3)c4ccccc4	CHEMBL1922682	pEC50=6.31
Nc1ncnc2OCC(Nc12)c3ccc(Br)cc3	CHEMBL3235291	pIC50=6.31
OC(=O)[C@@H]1CC[C@H](CC1)C(=O)N2CCC(CC2)c3ccc(NC(=O)c4nc(oc4C(F)(F)F)c5ccccc5)cc3	CHEMBL1766811	pEC50=6.31
CS(=O)(=O)N1CCN(CC1)c2ccc(NC(=O)c3oc(nc3C(F)(F)F)c4ccccc4)cn2	CHEMBL2441014	pIC50=6.32
Cc1c(oc2ccc(cc12)c3ccccc3)C(=O)Nc4ccc(N5CCC(COc6cccc(c6)C(=O)O)CC5)c(F)c4	CHEMBL2334074	pIC50=6.32
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)C4CCC(F)(F)CC4	CHEMBL3235312	pIC50=6.33
CCOC(=O)c1c(C(=O)OCC)c2c(cc(nn2c1c3cccc(OC)c3)N4CCOCC4)c5ccccc5	CHEMBL1258487	pIC50=6.33
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)C4CCN(CC4)C(=O)C5CCOCC5	CHEMBL2414662	pIC50=6.33
CN1CCN(CC1)c2ccc(NC(=O)c3oc(Nc4ccccc4F)nn3)cn2	CHEMBL2036576	pIC50=6.34
Fc1ccccc1Nc2oc(nn2)C(=O)Nc3ccc(N4CCOCC4)c(F)c3	CHEMBL2036568	pIC50=6.34
OC(=O)c1cccc(OCC2CCN(CC2)c3ccc(NC(=O)c4ccc5ccccc5n4)cn3)c1	CHEMBL2334080	pIC50=6.34
CCCC1CN(C(=O)Nc2ccccc2)c3ccc(cc3O1)c4ccc(cc4)[C@@H]5CC[C@@H](CC(=O)O)CC5	CHEMBL3287868	pIC50=6.35
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4cc([nH]c4c3)C(=O)Nc5ccccc5	CHEMBL3233877	pIC50=6.35
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@H](CC(=O)O)CC3	CHEMBL2178944	pIC50=6.37
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(s3)C4CCCC4	CHEMBL2012615	pIC50=6.37
CN(CC(=O)O)C(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O	CHEMBL2414697	pIC50=6.38
CCC1CN(C(=O)Nc2ccccc2)c3ccc(cc3O1)c4ccc(OCC5(CC5)C(=O)O)nc4	CHEMBL3287892	pIC50=6.39
COC(=O)N1CCN(CC1)c2ncc(NC(=O)c3nc(oc3C(F)(F)F)c4ccccc4)cn2	CHEMBL1766889	pEC50=6.39
COCCNc1ccc(NC(=O)c2nc(oc2C(F)(F)F)c3ccccc3)cn1	CHEMBL1922687	pIC50=6.39
Cc1ccc(cc1)C2=Nc3c(N)ncnc3OC2(C)C	CHEMBL3235297	pIC50=6.39
Cc1nc(C(F)F)c(nc1c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3)C(=O)N	CHEMBL2178388	pIC50=6.39
Fc1ccccc1Nc2oc(nn2)C(=O)Nc3ccc(Oc4cccnc4)nc3	CHEMBL2036584	pIC50=6.39
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(s3)C4(CC4)c5ccc(F)cc5	CHEMBL2012617	pIC50=6.39
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(Cl)cc3	CHEMBL3235295	pIC50=6.41
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)C4CCCCC4	CHEMBL3235303	pIC50=6.41
CC1Oc2ncnc(N)c2N=C1c3ccc(Br)cc3	CHEMBL3235289	pIC50=6.41
CCOCC(=O)N1CCC(CC1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O	CHEMBL2414660	pIC50=6.41
Cc1nnc(C[C@@H]2CC[C@H](CC2)c3ccc(cc3)N4CCOc5ncnc(N)c5C4=O)[nH]1	CHEMBL2414673	pIC50=6.41
OC(=O)c1cccc(OCC2CCN(CC2)c3ccc(NC(=O)c4ccc(cc4)C(=O)c5ccccc5)cn3)c1	CHEMBL2334083	pIC50=6.41
CCCc1c(c2onc(C)n2)c(C(=O)OCC)c3c(cc(nn13)N4CCOCC4)c5ccccc5	CHEMBL1258029	pIC50=6.42
FC(F)(F)c1oc(nc1C(=O)Nc2ccc(nc2)C3CCN(CC3)C(=O)C4CC4)c5ccccc5	CHEMBL1766890	pEC50=6.42
FC(F)(F)c1oc(nc1C(=O)Nc2cnc(nc2)N3CCOCC3)c4ccccc4	CHEMBL1922678	pIC50=6.42
COC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(oc3C(F)(F)F)c4ccccc4)cc2	CHEMBL1766806	pEC50=6.43
Cc1cc(NC(=O)c2ccc3ccccc3c2)ccc1c4ccc(OCC(C)(C)C(=O)O)nn4	CHEMBL1939626	pIC50=6.43
Clc1ccc(cc1)C(=O)Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4	CHEMBL2036736	pIC50=6.43
FC(F)(F)c1oc(nc1C(=O)Nc2ccc(cc2)C3CCN(CC3)C(=O)C4CC4)c5ccccc5	CHEMBL1766805	pEC50=6.44
O=C(Nc1ccccc1)N2CCOc3cc(ccc23)c4ccc(cc4)[C@@H]5CC[C@@H](Cc6nnn[nH]6)CC5	CHEMBL3287887	pIC50=6.44
OC(=O)[C@@H]1CC[C@@H](CC1)C(=O)N2CCN(CC2)c3ccc(NC(=O)c4nc(oc4C(F)(F)F)c5ccccc5)cc3	CHEMBL1766810	pEC50=6.44
CC(Sc1nnc(c2ccc(NC(=O)c3ccccc3)cc2)n1C)C(=O)O	CHEMBL1939473	pIC50=6.46
Cc1c(oc2ccc(cc12)c3occn3)C(=O)Nc4ccc(nc4)N5CCC(COc6cccc(c6)C(=O)O)CC5	CHEMBL2334076	pIC50=6.46
Cc1cc(NC(=O)c2oc(Nc3ccccc3F)nn2)ccc1N4CCOCC4	CHEMBL2036569	pIC50=6.46
OC(=O)CC[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(Cc4ccccc4)s3	CHEMBL2012624	pIC50=6.46
Fc1ccc(Nc2oc(nn2)C(=O)Nc3ccc(nc3)N4CCOCC4)cc1F	CHEMBL2036590	pIC50=6.47
FC(F)(F)c1oc(nc1C(=O)Nc2ccc(cc2)N3CCOCC3)c4ccccc4	CHEMBL1922676	pIC50=6.48
OC(=O)CC1CCC(CC1)c2ccc(cc2)c3nc4cc(NC(=O)c5ccc(cc5)c6ccccc6)ccc4[nH]3	CHEMBL2409560	pIC50=6.48
COCCN(C)c1ccc(NC(=O)c2nc(oc2C(F)(F)F)c3ccccc3)cc1	CHEMBL1766817	pIC50=6.49
Cc1nc(C)c(nc1C(=O)N)c2ccc(c3ccc(CC(=O)O)cc3)c(c2)C#N	CHEMBL3133086	pIC50=6.5
Clc1ccc(cc1)C2(CCC2)C(=O)Nc3oc(nn3)C(=O)Nc4ccc(cc4)N5CCOCC5	CHEMBL2036738	pIC50=6.5
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4cccc(C#N)c4Cl	CHEMBL3222252	pIC50=6.5
Cc1c(oc2ccc(cc12)c3ccccc3)C(=O)Nc4ccc(nc4)N5CCC(COc6ccccc6C(=O)O)CC5	CHEMBL2334099	pIC50=6.51
Cc1ncc(nc1c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3)C(=O)N	CHEMBL2178951	pIC50=6.51
Cc1nnc(C[C@@H]2CC[C@H](CC2)c3ccc(cc3)N4CCOc5ncnc(N)c5C4=O)n1C	CHEMBL2414674	pIC50=6.51
FC(F)(F)c1nc(oc1C(=O)Nc2ccc(nc2)N3CCN(CC3)C(=O)C4CCCC4)N5CCCCC5	CHEMBL2441204	pIC50=6.51
Fc1ccccc1Nc2oc(nn2)C(=O)Nc3ccc(cc3)C4CCCCC4	CHEMBL2036579	pIC50=6.51
OC(=O)CC1CCC(CO1)c2ccc(cc2)c3ccc(Nc4oc(nn4)C5CCC5)cc3	CHEMBL3701235	pIC50=6.51
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(cc2)C(=O)Nc3onc(Cc4cc(F)cc(F)c4)n3	CHEMBL3741016	pIC50=6.51
CC(C)[C@H](NC(=O)c1ccc(cc1)c2ccc(Nc3nnc(Cc4ccccc4)s3)cc2)C(=O)O	CHEMBL2012633	pIC50=6.52
O=C(Nc1ccc(cc1)N2CCOCC2)c3oc(Nc4ccccc4)nn3	CHEMBL2036746	pIC50=6.52
OC(=O)[C@@]12CC3CC(C1)[C@H](Oc4ccc(cc4)C(=O)NCCNC(=O)c5ccc(c(Cl)c5)c6ccccc6)C(C3)C2	CHEMBL3613354	pIC50=6.52
ONC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4N(CCOc4c3)C(=O)Nc5ccccc5	CHEMBL3287886	pIC50=6.52
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc(cn3)c4nc5cc(ccc5[nH]4)C(F)(F)F	CHEMBL3037925	pIC50=6.53
CCC1CN(C(=O)Nc2ccccc2)c3ccc(cc3O1)c4ccc(OCC5(CCC5)C(=O)O)nc4	CHEMBL3287893	pIC50=6.54
CCCc1c(C(=O)OCC)c(C(=O)OCC)c2c(cc(nn12)N3CCOCC3)c4ccc(F)cc4	CHEMBL1257679	pIC50=6.54
CCOC(=O)c1c(C(=O)OCC)c2c(cc(nn2c1c3cccc(Cl)c3)N4CCOCC4)c5ccccc5	CHEMBL1258600	pIC50=6.54
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3noc(Cc4ccccc4)n3	CHEMBL3741082	pIC50=6.54
CCCc1ccccc1NC(=O)c2cc(C)nc3cc(ccc23)c4ccc(OCC(C)(C)C(=O)O)nc4	CHEMBL3670344	pIC50=6.55
CN(C)CCNC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(Cc4ccccc4)s3	CHEMBL3741542	pIC50=6.55
Cc1c(oc2ccc(cc12)c3ccccc3)C(=O)Nc4ccc(nc4)N5CCC(COc6ccc(cc6)C(=O)O)CC5	CHEMBL2334101	pIC50=6.55
OC(=O)[C@@H]1CC[C@H](CC1)Oc2ccc(cc2)C(=O)Nc3nnc(Cc4ccccc4)s3	CHEMBL3740040	pIC50=6.55
OC(=O)[C@@]12CC3CC(C1)[C@H](Oc4ccc(cc4)C(=O)NCCNC(=O)c5ccc(cc5)c6c(Cl)cccc6Cl)C(C3)C2	CHEMBL3613356	pIC50=6.55
Cc1cc(C(=O)Nc2ccccc2)c3ccc(cc3n1)c4ccc(OCC(C)(C)C(=O)O)nc4	CHEMBL3233890	pIC50=6.56
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)C4CCN(CC4)C(=O)c5ccccc5	CHEMBL2414664	pIC50=6.56
OC(=O)[C@@H]1CC[C@H](CC1)C(=O)N2CCN(CC2)c3ccc(NC(=O)c4nc(oc4C(F)(F)F)c5ccccc5)cc3	CHEMBL1766809	pIC50=6.56
CCCc1c(C(=O)OCC)c(C(=O)OCC)c2c(cc(nn12)N3CCOCC3)c4cccc(F)c4	CHEMBL1257559	pIC50=6.57
CCOC(=O)c1c(CCCOC)n2nc(cc(c3ccccc3)c2c1C(=O)OCC)N4CCOCC4	CHEMBL1258261	pIC50=6.57
CC1(C)Oc2ncnc(N)c2NC1c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4	CHEMBL1835920	pIC50=6.58
CCOC(=O)c1c(c(CCO)n2nc(cc(c3ccccc3)c12)N4CCOCC4)c5onc(CCO)n5	CHEMBL1257330	pIC50=6.59
CC(C)c1ccc(cc1)c2cnc3ccnn3c2N	CHEMBL2165815	pIC50=6.6
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)C45CC6CC(CC(C6)(C4)C(=O)O)C5	CHEMBL473982	pIC50=6.6
CC1CN(C(=O)Nc2ccccc2)c3ccc(cc3O1)c4ccc(OCC(C)(C)C(=O)O)nc4	CHEMBL3670341	pIC50=6.6
CCCc1c(C(=O)OCC)c(C(=O)OCC)c2c(nc(nn12)N3CCOCC3)c4ccccc4	CHEMBL1257443	pIC50=6.6
CCOC(=O)c1c(C(=O)OCC)c2c(cc(nn2c1c3ccc(cc3)c4ccccc4)N5CCOCC5)c6ccccc6	CHEMBL1256009	pIC50=6.6
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)N5CC(O)C5)CC4	CHEMBL2414657	pIC50=6.6
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4ccccc4	CHEMBL3222254	pIC50=6.6
Nc1ncnc2OC[C@@H](Oc12)c3ccc(cc3)[C@@H]4CC[C@@H](CC#N)CC4	CHEMBL1834556	pIC50=6.6
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3onc(Cc4ccccc4)n3	CHEMBL3740823	pIC50=6.6
CCOC(=O)c1c(CC)n2nc(cc(c3ccccc3)c2c1C(=O)OCC)N4CCOCC4	CHEMBL1257678	pIC50=6.62
CCOC(=O)c1c(COC)n2nc(cc(c3ccccc3)c2c1C(=O)OCC)N4CCOCC4	CHEMBL1258146	pIC50=6.62
Cc1c(oc2ccc(cc12)c3ccccc3)C(=O)Nc4cnc(nc4)N5CCC(COc6cccc(c6)C(=O)O)CC5	CHEMBL2334072	pIC50=6.62
Cc1nc(C)c(nc1C(=O)N)c2ccc3c(CC[C@@]34CC[C@@H](CC4)C(=O)O)c2	CHEMBL2178949	pIC50=6.62
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(CCC4CCOC4)s3	CHEMBL3741457	pIC50=6.63
O[C@H]1CCN(C1)c2ncc(NC(=O)c3nc(oc3C(F)(F)F)c4ccccc4)cn2	CHEMBL1766883	pIC50=6.63
CC(Sc1nnc(c2ccc(NC(=O)c3ccc(Cl)c(Cl)c3)cc2)n1C)C(=O)O	CHEMBL1939477	pIC50=6.64
CCOC(=O)N1CCN(CC1)c2ccc(NC(=O)c3oc(nc3C(F)(F)F)N4CCC(C)CC4)cn2	CHEMBL2441199	pIC50=6.64
CCOC1CN(C1)c2ccc(NC(=O)c3nc(oc3C(F)(F)F)c4ccccc4)cn2	CHEMBL1766882	pEC50=6.64
OC(=O)CCNC(=O)c1ccc(cc1)c2ccc(Nc3cccc(Cl)c3)nn2	CHEMBL3657597	pIC50=6.64
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4N(CCOc4c3)C(=O)NC5CCCCC5	CHEMBL3287883	pIC50=6.64
Cc1noc(C[C@@H]2CC[C@H](CC2)c3ccc(cc3)[C@H]4COc5ncnc(N)c5O4)n1	CHEMBL1834557	pIC50=6.65
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)c4ccccc4	CHEMBL3235304	pIC50=6.66
CCCCCc1c(C(=O)OCC)c(C(=O)OCC)c2c(cc(nn12)N3CCOCC3)c4ccccc4	CHEMBL1257918	pIC50=6.66
CCOc1ccc(cc1)C(=O)NCCNC(=O)c2cn(nc2C(F)(F)F)C3CCCCC3	CHEMBL1092303	pIC50=6.66
COC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(oc3C(F)(F)F)c4ccccc4)cn2	CHEMBL1766891	pEC50=6.66
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(SCc4ccccc4)s3	CHEMBL2012609	pIC50=6.66
OC(=O)[C@@H]1CC[C@@H](CC1)C(=O)N2CCC(CC2)c3ccc(NC(=O)c4nc(oc4C(F)(F)F)c5ccccc5)cc3	CHEMBL1766812	pEC50=6.66
COC(=O)N1CCN(CC1)c2ccc(NC(=O)c3nc(oc3C(F)(F)F)c4ccccc4)cn2	CHEMBL1766887	pEC50=6.67
