CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1	dabrafenib	pIC50=9.1549015	pIC50=9.1549015	pIC50=9.1549015	pIC50=7.96
CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1	sorafenib	pKi=7.66	pKi=7.66	pKi=7.66	pIC50=7.58
CCCS(=O)(=O)NC1=CC=C(F)C(C(=O)C2=CNC3=NC=C(C=C23)C2=CC=C(Cl)C=C2)=C1F	vemurafenib	pIC50=7.68	pIC50=7.68	pIC50=7.68	pIC50=7.64
CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=CC=N1	regorafenib	pIC50=7.55	pIC50=7.55	pIC50=7.55	pIC50=7.55
Cc1ccc(cc1Nc2ncccc2c3ncnc4[nH]cnc34)C(=O)Nc5cccc(c5)C#N	CHEMBL3352837	pIC50=7.53
COc1cc(ccc1O)c2ccc3ncnc(Nc4cc(O)ccc4F)c3c2	CHEMBL3661237	pIC50=7.64
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCC(CC5)N6CCOCC6)c2)cc1C(F)(F)F	CHEMBL3641173	pIC50=7.64
Cc1ccc(cc1Nc2ncnc3ccc(nc23)C4=CCNCC4)C(=O)Nc5cc(on5)C(C)(C)C	CHEMBL3659958	pIC50=7.64
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCC4)C(=O)Nc5ccc6N(CCN7CCCC7)C(=O)C(C)(C)c6c5	CHEMBL3697801	pIC50=7.64
Cn1cc(c2ccc3c(CCc4c[nH]nc34)c2)c(n1)c5ccncc5	CHEMBL1780149	pIC50=7.64
N[C@@H]1CC[C@@H](CC1)n2cc(c3ccc4c(Cc5c[nH]nc45)c3)c(n2)c6ccncc6	CHEMBL1780171	pIC50=7.64
OCCN1C2CCC1CC(C2)c3ccnc4c(c5cccc6[nH]ncc56)c(nn34)c7ccncc7	CHEMBL570443	pIC50=7.64
CCN(C)S(=O)(=O)Nc1ccc(F)c(Nc2ncccc2c3ncnc4[nH]cnc34)c1F	CHEMBL3797223	pIC50=7.66
CCN(CCO)CCCOc1ccc2c(Nc3cccc(NC(=O)Nc4ccc(F)c(Cl)c4)c3)ncnc2c1	CHEMBL3133758	pIC50=7.66
CN1CCC(CC1)N2CCN(CC2)c3nc(N)c4ncnc(Nc5cccc(c5)C(=O)Nc6cccc(c6)C(F)(F)F)c4n3	CHEMBL3689920	pIC50=7.66
CNc1cc2nc(C)c(cc2cn1)c3cc(NC(=O)NC[C@@H](O)C(C)(C)C)c(F)cc3C	CHEMBL3577117	pIC50=7.66
Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc4ncccc4c5ncnc6[nH]cnc56	CHEMBL1197798	pEC50=7.66
Nc1ncnc2c(csc12)C(=O)Nc3c(Cl)ccc(NS(=O)(=O)CCCF)c3F	CHEMBL2047879	pIC50=7.66
OCc1ccc(cc1O)c2[nH]c(nc2c3ccncc3)c4ccccc4	CHEMBL427196	pKd=7.66
Nc1ncc(c2cccnc2)c3scc(c4cccc(NC(=O)Nc5cc(ccc5F)C(F)(F)F)c4)c13	CHEMBL2315061	pIC50=7.67
CC(C)(CNC(=O)Nc1ccc(Cl)cc1)c2nc(c3ccc(Cl)c(O)c3)c([nH]2)c4ccncc4	CHEMBL200863	pKd=7.68
CNc1nccc(n1)c2[nH]c(nc2c3cccc(NC(=O)Nc4ccc(Cl)c(c4)C(F)(F)F)c3)C5CC5	CHEMBL430413	pIC50=7.68
COc1cc(ccc1F)c2c(nn3c(ccnc23)c4ccc(cc4)N5C[C@@H]6C[C@H]5CN6C)c7ccncc7	CHEMBL1080616	pIC50=7.68
COc1cc(ccc1O)c2ccc3nccc(Nc4cc(O)ccc4F)c3c2	CHEMBL3661277	pIC50=7.68
COc1ccc(cc1NC(=O)c2ccc(C)c(Nc3ncnc4c(N)nc(nc34)N5CCN(C)CC5)c2)C(C)(C)C	CHEMBL3689944	pIC50=7.68
COc1ccc(cc1NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CC[C@H](F)C5)c2)C(C)(C)C	CHEMBL3697836	pIC50=7.68
Fc1ccc(NS(=O)(=O)C2CCCC2)c(F)c1Nc3ncccc3c4ncnc5[nH]cnc45	CHEMBL3800364	pIC50=7.68
Fc1ccc(NS(=O)(=O)c2ccccn2)c(F)c1Nc3ncccc3c4ncnc5[nH]cnc45	CHEMBL3799483	pIC50=7.68
Fc1ccc(NS(=O)(=O)c2cccnc2)c(F)c1C#Cc3cnc4[nH]nc(c5ccc(Cl)cc5)c4c3	CHEMBL3582399	pIC50=7.68
Nc1ncc(c2cccnc2)c3scc(c4cccc(NC(=O)NCc5ccccc5)c4)c13	CHEMBL2315075	pIC50=7.68
CC(C)(C)c1cccc(c1)C(=O)Nc2cccc(Nc3ccnc(NC(=O)C4CC4)c3)c2	CHEMBL3797670	pIC50=7.7
CC(C)N1CCC(CC1)C(=O)Nc2cc(Oc3ccc4c(c3)nc(Nc5cccc(c5)C(C)(C)C)n4C)ccn2	CHEMBL3335384	pIC50=7.7
CCCS(=O)(=O)Nc1ccc(Cl)c(c1Cl)c2cc3cnc4[nH]ncc4c3cc2OC	CHEMBL3751892	pIC50=7.7
CNC(=O)c1ncc(C#Cc2cc(ccc2C)C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(c3)C(F)(F)F)n1C	CHEMBL1784637	pIC50=7.7
COc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCC4)C(=O)Nc5cc(on5)C(C)(C)C	CHEMBL3694145	pIC50=7.7
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1Nc3ncnc4c(N)nc(nc34)N5CCCNCC5	CHEMBL3694056	pIC50=7.7
Cc1ccc(cc1Nc2ncnc3cnc(NC4CCOC4)nc23)C(=O)n5nc(cc5N)C(C)(C)C	CHEMBL3697897	pIC50=7.7
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCC4)C(=O)Nc5cccc(OC(F)(F)F)c5	CHEMBL3697816	pIC50=7.7
FC(F)(F)c1cccc(c1)C(=O)Nc2cccc(c2)c3ccnc4c(cnn34)c5ccc(CN6CCCC6)cc5	CHEMBL1087522	pIC50=7.7
COc1cc(ccc1O)c2ccc3ncnc(Nc4cc(O)c(Cl)cc4F)c3c2	CHEMBL3665860	pIC50=7.71
Nc1ncc(c2cccnc2)c3scc(c4cccc(NC(=O)Nc5c(F)cccc5F)c4)c13	CHEMBL2315078	pIC50=7.71
CC(C)c1cccc(NC(=O)c2ccc(C)c(Nc3ncccc3c4ncnc5[nH]cnc45)c2)c1	CHEMBL3354382	pIC50=7.72
CCN1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5c(N)nc(nc45)N(C)C)c3)cc(c2)C(F)(F)F	CHEMBL3694036	pIC50=7.72
CN(C)S(=O)(=O)c1cccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCCN(C)CC5)c2)c1	CHEMBL3697797	pIC50=7.72
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CC[C@@H](F)C4)C(=O)NCc5ccc(cc5)C(F)(F)F	CHEMBL3697788	pIC50=7.72
Clc1cc2C(=O)NNC(=O)c2cc1Nc3cccc(NC(=O)c4cccc(Br)c4)c3	CHEMBL1922595	pIC50=7.72
Cn1cc(cn1)S(=O)(=O)Nc2ccc(F)c(Nc3ncccc3c4ncnc5[nH]cnc45)c2F	CHEMBL3799568	pIC50=7.72
Nc1ncc(c2cccnc2)c3scc(c4cccc(NC(=O)Cc5ccccc5)c4)c13	CHEMBL2315070	pIC50=7.72
Oc1cc(Nc2ncnc3ccc(cc23)c4ccc(Cl)cc4)c(F)cc1F	CHEMBL3665861	pIC50=7.72
Cn1cc(c2ccc(cc2)\C(=N/O)\N)c(n1)c3ccncc3	CHEMBL497866	pIC50=7.74
CCCC(C)S(=O)(=O)Nc1ccc(F)c(Nc2ncccc2c3ncnc4[nH]cnc34)c1F	CHEMBL3799288	pIC50=7.75
CNc1cc2N([C@H]3CCOC3)C(=O)C(=Cc2cn1)c4ccc(F)c(NC(=O)Nc5onc(c5)C(C)(C)C)c4	CHEMBL3577114	pIC50=7.75
CNc1ncc2cc(c(C)nc2n1)c3ccc(F)c(NC(=O)NCCC(C)(C)C)c3	CHEMBL3577119	pIC50=7.75
COCCN1CCN(CC1)c2ccc3ncnc(Nc4cc(NC(=O)c5cccc(c5)C(C)(C)C#N)ccc4C)c3n2	CHEMBL3659965	pIC50=7.75
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCN6CCCCC6C5)c2)cc1C(F)(F)F	CHEMBL3641170	pIC50=7.75
COc1ccc(NC(=O)c2ccc(C)c(c2)N(C)c3ncnc4cnc(nc34)N5CCOCC5)cc1C(F)(F)F	CHEMBL3641192	pIC50=7.75
FC(F)(F)Oc1cccc(c1)C(=O)Nc2cccc(Nc3cc4C(=O)NNC(=O)c4cc3Cl)c2	CHEMBL1922598	pIC50=7.75
Fc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1c3ccnc4c(cnn34)c5cn[nH]c5	CHEMBL1080438	pIC50=7.75
Fc1ccc(NS(=O)(=O)C2CCCCC2)c(F)c1Nc3ncccc3c4ncnc5[nH]cnc45	CHEMBL3799451	pIC50=7.75
CCn1cc(c2ccnc3[nH]ccc23)c(n1)c4cccc(NC(=O)Nc5ccccc5)c4	CHEMBL498307	pIC50=7.76
CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(n1)c3cccc(CC(=O)N)c3	CHEMBL1271376	pIC50=7.77
CC(C)CS(=O)(=O)Nc1ccc(F)c(Nc2ncccc2c3ncnc4[nH]cnc34)c1F	CHEMBL3799488	pIC50=7.77
CCCCS(=O)(=O)Nc1ccc(F)c(c1Cl)c2cc3cnc4[nH]nc(C5CC5)c4c3cc2OC	CHEMBL3753363	pIC50=7.77
CCN1C2CCC1CC(C2)c3ccnc4c(c5ccc(C)c6[nH]ncc56)c(nn34)c7ccncc7	CHEMBL570444	pIC50=7.77
CN(CC1CCCCO1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(nn5C)C(C)(C)C)c3n2	CHEMBL3639399	pIC50=7.77
COc1c(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCCN(C)CC5)c2)cc(cc1NS(=O)(=O)C)C(C)(C)C	CHEMBL3697727	pIC50=7.77
COc1c(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CC[C@H](F)C5)c2)cc(cc1NS(=O)(=O)C)C(C)(C)C	CHEMBL3697840	pIC50=7.77
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCN(CCN6CCOCC6)CC5)c2)cc1C(F)(F)F	CHEMBL3641167	pIC50=7.77
COc1cccc(c1)c2c(nn3c(ccnc23)c4ccc(cc4)N5CC6CCC(C5)N6C)c7ccncc7	CHEMBL1080832	pIC50=7.77
COc1n[nH]c2ncc(cc12)C#Cc3c(F)ccc(NS(=O)(=O)c4cccnc4)c3F	CHEMBL3582391	pIC50=7.77
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCCC4)C(=O)Nc5ccc(F)c(c5)C(F)(F)F	CHEMBL3697873	pIC50=7.77
FC(F)(F)c1cccc(c1)C(=O)Nc2cccc(Nc3cc4C(=O)NNC(=O)c4cc3Cl)c2	CHEMBL1922597	pIC50=7.77
O\N=C/1\CCCc2cc(ccc12)c3[nH]c(nc3c4ccncc4)c5ccccc5	CHEMBL200164	pKd=7.77
Oc1ccccc1C2CC(=NN2C(=O)c3ccc(s3)c4ccccn4)c5cccnc5	CHEMBL1778666	pIC50=7.77
Nc1ncc(c2cccnc2)c3scc(c4cccc(NC(=O)Nc5ccc(Cl)c(c5)C(F)(F)F)c4)c13	CHEMBL2315062	pIC50=7.78
CCCS(=O)(=O)Nc1ccc(F)c(c1F)n2cc(c3cncc(OC)c3)c4nc(cnc24)N(C)C5CCN(C)CC5	CHEMBL3702558	pIC50=7.8
CCCS(=O)(=O)Nc1ccc(F)c(c1F)n2cc(c3cncnc3)c4nc(ncc24)N(C)C5CCN(CC)CC5	CHEMBL3702562	pIC50=7.8
CN(C)CCN(C)c1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4ccc5N(CCN6CCCC6)C(=O)C(C)(C)c5c4)c2n1	CHEMBL3697742	pIC50=7.8
CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]c(Br)cc23)c1	CHEMBL3613183	pIC50=7.8
CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(c4ccc(cc4)C(=O)O)c23)c1	CHEMBL3613182	pIC50=7.8
Cc1ccc(cc1Nc2ncccc2c3ncnc4[nH]cnc34)C(=O)Nc5ccc(Cl)c(C)c5	CHEMBL3354384	pIC50=7.8
Cn1cc(c2ccc3\C(=N/O)\NCCc3c2)c(n1)c4ccncc4	CHEMBL498524	pIC50=7.8
Fc1ccc(NS(=O)(=O)c2cccnc2)c(F)c1C#Cc3cnc4[nH]nc(c5ccccc5)c4c3	CHEMBL3582395	pIC50=7.8
O[C@@H]1CCN(C1)S(=O)(=O)Nc2ccc(F)c(Nc3ncccc3c4ncnc5[nH]cnc45)c2F	CHEMBL3797494	pIC50=7.8
O\N=C\1/CCc2cc(ccc12)c3nc(CN4CCOCC4)[nH]c3c5ccncc5	CHEMBL477987	pKd=7.8
CCn1nc(C#Cc2cc(ccc2C)C(=O)Nc3ccc(CN4CCN(C)CC4)c(c3)C(F)(F)F)c5c(N)ncnc15	CHEMBL3426225	pIC50=7.82
CN(C)c1cccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCCN(C)CC5)c2)c1	CHEMBL3697769	pIC50=7.82
CN(C)c1cccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCNCC5)c2)c1	CHEMBL3697809	pIC50=7.82
CN(C)c1nc(N)c2ncnc(Nc3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C)c2n1	CHEMBL3694052	pIC50=7.82
CN1CCC(CN2CCN(CC2)c3nc(N)c4ncnc(Nc5cc(ccc5Br)C(=O)Nc6cccc(c6)C(F)(F)F)c4n3)CC1	CHEMBL3689928	pIC50=7.82
CNc1ncc2cc(c(C)nc2n1)c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C	CHEMBL3577124	pIC50=7.82
COc1c(CN2CCCC2)cc(cc1NC(=O)c3ccc(C)c(Nc4ncnc5cnc(nc45)N6CC[C@H](F)C6)c3)C(F)(F)F	CHEMBL3641156	pIC50=7.82
COc1ccc(cc1NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N(C)CCN(C)C)c2)C(F)(F)F	CHEMBL3697780	pIC50=7.82
Cc1ccc(cc1Nc2ncnc3ccc(nc23)N4CCOCC4)C(=O)Nc5cc(nn5C)C(C)(C)C	CHEMBL3659913	pIC50=7.82
Fc1ccc(NS(=O)(=O)N2CCCCC2)c(F)c1Nc3ncccc3c4ncnc5[nH]cnc45	CHEMBL3798505	pIC50=7.82
Fc1ccc(Oc2ccc3nc(NC(=O)C4CC4)sc3c2C#N)cc1NC(=O)Cc5cccc(c5)C(F)(F)F	CHEMBL3125890	pIC50=7.82
Fc1cccc(c1)S(=O)(=O)Nc2ccc(F)c(Nc3ncccc3c4ncnc5[nH]cnc45)c2F	CHEMBL3799014	pIC50=7.82
CC(C)(CNS(=O)(=O)C)c1nc(c2ccc(Cl)c(O)c2)c([nH]1)c3ccncc3	CHEMBL381447	pIC50=7.85
CC(C)S(=O)(=O)Nc1ccc(F)c(Nc2ncccc2c3ncnc4[nH]cnc34)c1F	CHEMBL3798327	pIC50=7.85
CN(CCN1CCCC1)c2ncc3ncnc(Nc4cc(ccc4F)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3697862	pIC50=7.85
CN1CCN(CC1)c2nc(N)c3ncnc(Nc4cc(ccc4Cl)C(=O)Nc5cccc(c5)C(F)(F)F)c3n2	CHEMBL3689922	pIC50=7.85
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL388978	pIC50=7.85
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCC(CC5)N6C[C@@H](C)O[C@@H](C)C6)c2)cc1C(F)(F)F	CHEMBL3641174	pIC50=7.85
COc1ccc(cc1Nc2ncnc3c(N)nc(nc23)N4CCN(CC4)C5CCN(C)CC5)C(=O)Nc6cccc(c6)C(F)(F)F	CHEMBL3689931	pIC50=7.85
C[C@@H]1CN(C[C@H](C)O1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(on5)C(C)(C)C)c3n2	CHEMBL3697910	pIC50=7.85
Cc1ccc(cc1Nc2ncnc3cncnc23)C(=O)Nc4cc(nn4C)C(C)(C)C	CHEMBL3643298	pIC50=7.85
Oc1cc(ccc1Cl)c2[nH]c(nc2c3ccncn3)c4ccccc4	CHEMBL370353	pKd=7.85
Nc1ncc(c2cccnc2)c3scc(c4cccc(NC(=O)Nc5ccccc5)c4)c13	CHEMBL2315076	pIC50=7.86
FC(F)(F)c1cc(NC(=O)c2cccc(Nc3ncccc3c4ncnc5[nH]cnc45)c2)ccc1Cl	CHEMBL3354379	pIC50=7.87
CC(C)(C)c1onc(NC(=O)c2ccc(c(Nc3ncnc4cnc(nc34)N5CCOCC5)c2)C(F)(F)F)c1	CHEMBL3694126	pIC50=7.89
CC(C)CN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(n[nH]5)C(C)(C)C)c3n2	CHEMBL3641073	pIC50=7.89
CC(C)CNc1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4cc(on4)C(C)(C)C)c2n1	CHEMBL3641103	pIC50=7.89
CC(C)N1CCN(CC1)c2nc(N)c3ncnc(Nc4cc(NC(=O)c5cccc(c5)C(F)(F)F)ccc4C)c3n2	CHEMBL3694061	pIC50=7.89
CC(C)c1cccc(c1)C(=O)Nc2cccc(Nc3ccnc(NC(=O)C4CC4)c3)c2	CHEMBL3800043	pIC50=7.89
CCCS(=O)(=O)Nc1cc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c(F)c1	CHEMBL3415554	pIC50=7.89
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F	CHEMBL1230020	pIC50=7.89
CN1CCC(CC1)N2CCN(CC2)c3nc(N)c4ncnc(Nc5cc(ccc5Br)C(=O)Nc6cccc(c6)C(F)(F)F)c4n3	CHEMBL3689927	pIC50=7.89
CN1CCC(CN2CCN(CC2)c3nc(N)c4ncnc(Nc5cccc(c5)C(=O)Nc6cccc(c6)C(F)(F)F)c4n3)CC1	CHEMBL3689921	pIC50=7.89
CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(Cl)c23)c1	CHEMBL3612665	pIC50=7.89
CNc1ncc2ccc(Oc3cc(ccc3Cl)C(=O)C4=C(N(C)N(C4=O)c5ccccc5)c6ccccc6)cc2n1	CHEMBL3407851	pIC50=7.89
CNc1ncnc2c(Nc3cccc(NC(=O)c4cccc(c4)C(C)(C)C#N)c3)ncnc12	CHEMBL3643302	pIC50=7.89
