CC(C)[C@@H]1N(C)c2ccc3c(nn4C=C(C[C@@H](CO)NC1=O)c2c34)C(F)(F)F	CHEMBL261387	pKi=7.53
CC(C)[C@@H]1N(C)c2cccc3[nH]cc(C[C@@H](CO)\N=C\1/S)c23	CHEMBL63262	pKi=7.69
CC(CCc1ccc(O)cc1)OC(=O)c2cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c2	CHEMBL148745	pIC50=7.7
CCOC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3CNC[C@H]3NC(=O)c4ccc(O)cc4	CHEMBL307543	pIC50=7.7
CN1CCN(CC1)c2nc(C3=C(C(=O)NC3=O)c4cn(C)c5ccccc45)c6ccccc6n2	CHEMBL2151412	pIC50=7.7
C[C@]1(CCCNC[C@H]1NC(=O)c2ccc(O)cc2)OC(=O)c3cc(O)c(C(=O)c4c(O)cccc4C(=O)O)c(O)c3	CHEMBL433101	pIC50=7.7
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)OC3C4CCC(C4)C3NC(=O)c5ccc(O)cc5	CHEMBL305667	pIC50=7.7
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)OC3CCCNCC3NC(=O)c4ccc(O)cc4	CHEMBL49354	pIC50=7.7
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)OC3CNCC3Cc4ccc(O)cc4	CHEMBL300422	pIC50=7.7
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)OCC(Cc3ccc(O)cc3)NS(=O)(=O)c4ccccc4	CHEMBL358264	pIC50=7.7
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)OC[C@@H]3CCC[C@H]3NC(=O)c4ccc(O)cc4	CHEMBL60455	pIC50=7.7
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)OC[C@H](Cc3ccc(O)cc3)NS(=O)(=O)c4ccccc4	CHEMBL151822	pIC50=7.7
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3C4CCC(C4)[C@H]3NC(=O)c5ccc(O)cc5	CHEMBL80525	pIC50=7.7
OC[C@@H]1C[C@@H](NC(=O)c2ccc(O)cc2)[C@@H](C1)OC(=O)c3cc(O)c(C(=O)c4c(O)cccc4C(=O)O)c(O)c3	CHEMBL75004	pIC50=7.7
OC[C@@H]1C[C@H](NC(=O)c2ccc(O)cc2)[C@@H](C1)OC(=O)c3cc(O)c(C(=O)c4c(O)cccc4C(=O)O)c(O)c3	CHEMBL431955	pIC50=7.7
CN1CCN(CC1)c2nc(C3=C(C(=O)NC3=O)c4c[nH]c5cc(Cl)ccc45)c6ccccc6n2	CHEMBL2151409	pIC50=7.72
CC(C)(N)CNc1nc(cc2cnccc12)c3ccncc3F	CHEMBL2147550	pIC50=7.75
CN1CCN(CC1)c2nc(C3=C(C(=O)NC3=O)c4c[nH]c5c(Cl)cccc45)c6ccccc6n2	CHEMBL2151410	pIC50=7.77
COC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3CNC[C@H]3NC(=O)c4ccc(O)cc4	CHEMBL304626	pIC50=7.8
CC(C)(N)CNc1nc(cc2cnccc12)c3ccncc3Cl	CHEMBL2147551	pIC50=7.82
CCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@H]3CC(=C[C@H]2[C@@H]4C(C)(C)[C@]14OC(=O)CCC)CO	CHEMBL265998	pKi=7.83
CC(=O)OCOC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3CNC[C@H]3NC(=O)c4ccc(O)cc4	CHEMBL67528	pIC50=7.85
NC1CCCN(C1)c2nc(cc3cnccc23)c4ccncc4	CHEMBL2147543	pIC50=7.89
CC1(C)CC[C@@H]2CC(=O)O[C@@H](CO)CC(=O)O[C@@H]3C[C@@H](CCCCc4ccccc4)O[C@@]1(C3)O2	CHEMBL1258117	pKi=7.92
CC(C)n1cc(C2=C(C(=O)NC2=O)c3nc(nc4ccccc34)N5CCN(C)CC5)c6ccccc16	CHEMBL2151413	pIC50=7.96
CN(C)CCOc1cc(C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34)c5ccccc5c1	CHEMBL565632	pIC50=7.96
CCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@@]3(O)[C@H]2C=C(C)C3=O)[C@@H]4C(C)(C)[C@]14OC(=O)CCC	CHEMBL27768	pKi=7.99
CC(C)[C@@H]1N(C)c2ccc3cnn4C=C(C[C@@H](CO)NC1=O)c2c34	CHEMBL271403	pKi=8.0
CN(C)CCCn1cc(C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34)c5ccccc15	CHEMBL7463	pIC50=8.0
NCCCNc1nc(cc2cnccc12)c3ccncc3	CHEMBL2147544	pIC50=8.0
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)OC3CCCC3Cc4ccc(O)cc4	CHEMBL295806	pIC50=8.0
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)OC3CCCC3Oc4ccc(O)cc4	CHEMBL48988	pIC50=8.0
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3CCCOC[C@@H]3NC(=O)c4ccc(O)cc4	CHEMBL70078	pIC50=8.0
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3CCCOC[C@H]3NC(=O)c4ccc(O)cc4	CHEMBL306373	pIC50=8.0
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4ccccc4)c3	CHEMBL379218	pKd=8.02
CN1CCN(CC1)c2nc(C3=C(C(=O)NC3=O)c4c[nH]c5ccc(Cl)cc45)c6ccccc6n2	CHEMBL2151408	pIC50=8.04
CN1CCN(CC1)c2nc(C3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c6c(C)cccc6n2	CHEMBL2153749	pIC50=8.04
CC(C)(N)CNc1nc(cc2cnccc12)c3ccncc3	CHEMBL2147538	pIC50=8.05
CN1CCN(CC1)c2nc(C3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c6ccc(F)cc6n2	CHEMBL2153755	pIC50=8.05
CCCCCCCCCCc1ccc2N(C)[C@@H](C(C)C)C(=O)N[C@H](CO)Cc2c1	CHEMBL28205	pKi=8.19
CN1CCN(CC1)c2cc3ccccc3c(n2)C4=C(C(=O)NC4=O)c5c[nH]c6ccccc56	CHEMBL2153748	pIC50=8.21
C1CN(CCN1)c2nc(cc3cnccc23)c4ccncc4	CHEMBL1214932	pIC50=8.22
CN1CCN(CC1)c2nc(C3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c6ccccc6n2	CHEMBL565612	pIC50=8.22
C[C@@H]1CC(C)(C)[C@@]23C[C@@H](C[C@@H](CCCCc4cccc(O)c4)O2)OC(=O)C[C@H](CO)OC(=O)C[C@@H]1O3	CHEMBL2148107	pKi=8.23
CC(C)[C@@H]1N(C)c2cccc3[nH]cc(C[C@@H](CO)NC1=O)c23	CHEMBL27266	pKi=8.26
CN1CCN(CC1)c2nc(C3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c6cc(Cl)ccc6n2	CHEMBL2153751	pIC50=8.27
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL388978	pIC50=8.3
NCCNc1nc(cc2cnccc12)c3ccncc3	CHEMBL1214929	pIC50=8.3
CC1(C)CC[C@@H]2CC(=O)O[C@@H](CO)CC(=O)O[C@@H]3C[C@@H](CCCCc4cccc(O)c4)O[C@@]1(C3)O2	CHEMBL1258348	pKi=8.36
C1CNCCN(C1)c2nc(cc3cnccc23)c4ccncc4	CHEMBL2147542	pIC50=8.4
CC(C)(C)C(=O)OCOC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3CNC[C@H]3NC(=O)c4ccc(O)cc4	CHEMBL304175	pIC50=8.4
CC(C)C1C[C@@H](NC(=O)c2ccc(O)cc2)[C@@H](C1)OC(=O)c3cc(O)c(C(=O)c4c(O)cccc4C(=O)O)c(O)c3	CHEMBL76920	pIC50=8.4
COC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3CCC[C@H]3NC(=O)c4ccc(O)cc4	CHEMBL66923	pIC50=8.4
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)OC3CNCC3NC(=O)c4ccc(O)cc4	CHEMBL265559	pIC50=8.4
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)OC3CNC[C@H]3NC(=O)c4ccc(O)cc4	CHEMBL177635	pIC50=8.4
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3CNC[C@H]3NC(=O)c4ccc(O)cc4	CHEMBL59828	pIC50=8.4
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@H]3CNCC3NC(=O)c4ccc(O)cc4	CHEMBL422056	pIC50=8.4
O[C@@H]1C[C@@H](NC(=O)c2ccc(O)cc2)[C@@H](C1)OC(=O)c3cc(O)c(C(=O)c4c(O)cccc4C(=O)O)c(O)c3	CHEMBL309034	pIC50=8.4
O[C@H]1C[C@H](NC(=O)c2ccc(O)cc2)[C@@H](C1)OC(=O)c3cc(O)c(C(=O)c4c(O)cccc4C(=O)O)c(O)c3	CHEMBL67716	pIC50=8.4
CC(C)[C@@](C)(O)[C@@H]1CN(CCN1)c2nc(c(F)cc2Cl)c3n[nH]c4ncccc34	CHEMBL2326002	pKi=8.46
Cn1cc(C2=C(C(=O)NC2=O)c3nc(nc4ccccc34)N5CCNCC5)c6ccccc16	CHEMBL2151415	pIC50=8.48
NC[C@@H]1C[C@@H](NC(=O)c2ccc(O)cc2)[C@@H](C1)OC(=O)c3cc(O)c(C(=O)c4c(O)cccc4C(=O)O)c(O)c3	CHEMBL308263	pIC50=8.52
NC[C@@H]1C[C@H](NC(=O)c2ccc(O)cc2)[C@@H](C1)OC(=O)c3cc(O)c(C(=O)c4c(O)cccc4C(=O)O)c(O)c3	CHEMBL67290	pIC50=8.52
NC[C@H]1C[C@@H](NC(=O)c2ccc(O)cc2)[C@@H](C1)OC(=O)c3cc(O)c(C(=O)c4c(O)cccc4C(=O)O)c(O)c3	CHEMBL307708	pIC50=8.52
NC[C@H]1C[C@H](NC(=O)c2ccc(O)cc2)[C@@H](C1)OC(=O)c3cc(O)c(C(=O)c4c(O)cccc4C(=O)O)c(O)c3	CHEMBL421866	pIC50=8.52
N[C@@H]1C[C@@H](NC(=O)c2ccc(O)cc2)[C@@H](C1)OC(=O)c3cc(O)c(C(=O)c4c(O)cccc4C(=O)O)c(O)c3	CHEMBL432168	pIC50=8.52
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)N[C@@H]3CNC[C@H]3NC(=O)c4ccc(O)cc4	CHEMBL59677	pIC50=8.52
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)OC[C@@H](Cc3ccc(O)cc3)NS(=O)(=O)c4ccccc4	CHEMBL345767	pIC50=8.52
OC1C[C@@H](NC(=O)c2ccc(O)cc2)[C@@H](C1)OC(=O)c3cc(O)c(C(=O)c4c(O)cccc4C(=O)O)c(O)c3	CHEMBL306580	pIC50=8.52
O[C@@H]1C[C@H](NC(=O)c2ccc(O)cc2)[C@@H](C1)OC(=O)c3cc(O)c(C(=O)c4c(O)cccc4C(=O)O)c(O)c3.O[C@H]5C[C@H](NC(=O)c6ccc(O)cc6)[C@@H](C5)OC(=O)c7cc(O)c(C(=O)c8c(O)cccc8C(=O)O)c(O)c7	CHEMBL1794808	pIC50=8.52
CCn1c(nc2c(ncc(OC[C@H]3CCCNC3)c12)C#CC(C)(C)O)c4nonc4N	CHEMBL494089	pKd=8.62
C[C@H](N)CNc1nc(cc2cnccc12)c3ccncc3	CHEMBL2147537	pIC50=8.7
N[C@@H]1C[C@H](NC(=O)c2ccc(O)cc2)[C@@H](C1)OC(=O)c3cc(O)c(C(=O)c4c(O)cccc4C(=O)O)c(O)c3	CHEMBL417051	pIC50=8.7
OC[C@H]1C[C@@H](NC(=O)c2ccc(O)cc2)[C@@H](C1)OC(=O)c3cc(O)c(C(=O)c4c(O)cccc4C(=O)O)c(O)c3	CHEMBL75661	pIC50=8.7
OC[C@H]1C[C@H](NC(=O)c2ccc(O)cc2)[C@@H](C1)OC(=O)c3cc(O)c(C(=O)c4c(O)cccc4C(=O)O)c(O)c3	CHEMBL306427	pIC50=8.7
CN1CCN(CC1)c2nc(C3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c6cc(F)ccc6n2	CHEMBL2153750	pIC50=8.72
CN1CCN(CC1)c2nc(C3=C(C(=O)NC3=O)c4c[nH]c5c(C)cccc45)c6ccccc6n2	CHEMBL2151411	pIC50=8.77
O=C1NC(=O)C(=C1c2c[nH]c3ccccc23)c4nc(nc5ccccc45)N6CCNCC6	CHEMBL1996510	pIC50=9.0
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)OC3CCCC3NC(=O)c4ccc(O)cc4	CHEMBL48636	pIC50=9.0
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3CCC[C@H]3NC(=O)c4ccc(O)cc4	CHEMBL52529	pIC50=9.0
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@H]3CCCC3NC(=O)c4ccc(O)cc4	CHEMBL71331	pIC50=9.0
OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)OC3CCC[C@H]3NC(=O)c4ccc(O)cc4	CHEMBL427118	pIC50=9.22
C[C@@H]1[C@@H](CCCCc2cccc(O)c2)O[C@]34C[C@@H]1OC(=O)C[C@H](CO)OC(=O)C[C@@H](CCC3(C)C)O4	CHEMBL2148108	pKi=9.35
CO[C@@H](CC[C@H](C)[C@H]1O[C@@]23C[C@H](OC(=O)C[C@@H](OC(=O)C[C@](O)(O2)[C@H](C)CC3(C)C)[C@@H](C)O)[C@@H]1C)c4cc(O)ccc4Br	CHEMBL1256416	pKi=9.44
CCCCCCn1cc2C[C@@H](CO)NC(=O)[C@H](C(C)C)N(C)c3cccc1c23	CHEMBL399981	pKi=9.47
C[C@@H](O)[C@H]1CC(=O)O[C@H]2C[C@]3(O[C@H]([C@@H](C)CCCc4cccc(O)c4)[C@H]2C)O[C@@](O)(CC(=O)O1)[C@H](C)CC3(C)C	CHEMBL2418196	pKi=9.75
CO[C@@H](CC[C@H](C)[C@H]1O[C@@]23C[C@H](OC(=O)C[C@@H](OC(=O)C[C@](O)(O2)[C@H](C)CC3(C)C)[C@@H](C)O)[C@@H]1C)c4cccc(O)c4	CHEMBL2148106	pKi=9.96
