NC1=C2C(=NC=N1)N(N=C2C1=CC=C(OC2=CC=CC=C2)C=C1)[C@@H]1CCCN(C1)C(=O)C=C	ibrutinib	pKi=9.14266777	pKi=9.14266777	pKi=9.14266777	pIC50=7.85
COc1ccc(cc1)c2ccc(C(=O)N)c3[nH]c4ccc(cc4c23)C(=O)N5CCN(C)CC5	CHEMBL3621460	pIC50=7.54
CN1CCN(C)C(=O)[C@@H]1c2ccc(NC3=NC(=CN(C)C3=O)c4cccc(NC(=O)c5cc6CCCCc6s5)c4C)cc2	CHEMBL3401292	pIC50=7.7
CN1CCn2nc(NC3=CC(=NNC3=O)c4ccc(C)c(NC(=O)c5cc6ccccc6s5)c4C)cc2C1	CHEMBL3746971	pIC50=7.7
C\C=C\C(=O)N1CCCC(C1)n2nc(c3ccc(Oc4ccccc4)cc3)c5c(N)ncnc25	CHEMBL3647971	pIC50=7.7
Cc1ccc(NC(=O)c2cccc(Cl)c2)cc1C(=O)Nc3cnc(Nc4cccc(N)c4)nc3	CHEMBL3290134	pIC50=7.7
Cn1cc(cc1C(=O)N)c2ccnc(N3N=Cc4cc(cc(F)c4C3=O)C(C)(C)C)c2CO	CHEMBL3652649	pIC50=7.7
CCN(C(=O)\C=C\CN(C)C)c1cc2c(cc1OC)nc(Nc3ccccc3C)c4cncn24	CHEMBL1916717	pIC50=7.72
CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(ccc(c5cccc(N)c5C)c34)C(=O)N	CHEMBL3621514	pIC50=7.72
COc1cc2c(Oc3ccc(cc3F)C4=CN=C(Cc5ccccc5)N(C)C4=O)ccnc2cc1OCCCN6CCOCC6	CHEMBL505896	pIC50=7.72
Cc1c(NC(=O)c2ccc(cc2)C(C)(C)C)cccc1c3nc(Nc4ccc(cc4)N5CCNCC5)c6ncn(C)c6n3	CHEMBL3263639	pIC50=7.72
Cn1cc(nc1C(=O)N)c2cccc(N3N=Cc4cc(cc(F)c4C3=O)C(C)(C)C)c2CO	CHEMBL3649454	pIC50=7.74
OCc1c(cccc1c2ncnc3[nH]c(cc23)c4ccc(cc4)C(=O)N5CCOCC5)N6C=Cc7cc(cc(F)c7C6=O)C8CC8	CHEMBL3402569	pIC50=7.74
CN(C)C(=O)c1ccc(cc1)c2cc3c(ncnc3[nH]2)c4cccc(N5C=Cc6cc(cc(F)c6C5=O)C7CC7)c4CO	CHEMBL3400979	pIC50=7.75
CN1C=C(C=C(Nc2ccc(cn2)C(=O)N3CCOCC3)C1=O)c4cccc(N5CNc6cc(ccc6C5=O)C(C)(C)O)c4C	CHEMBL3665117	pIC50=7.75
Cc1c(NC(=O)Nc2ccccc2)cccc1c3nc(Nc4ccc(cc4)C(=O)N5CCOCC5)c6nc[nH]c6n3	CHEMBL3263656	pIC50=7.75
Cc1ccc(NC(=O)c2cc(Cl)cc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(Nc4cccc(N)c4)nc3	CHEMBL3290137	pIC50=7.75
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(Nc4cccc(NC(=O)CN5Sc6ccccc6C5=O)c4)nc3	CHEMBL3290146	pIC50=7.75
Cc1onc(NC2=CC(=NNC2=O)c3cccc(N4Cc5cc(sc5C4=O)C(C)(C)C)c3C)c1	CHEMBL3699643	pIC50=7.75
Oc1cccc(Nc2ccnc3cc(sc23)c4cccc(CN5CCOCC5)c4)c1	CHEMBL2336005	pIC50=7.75
CN1C=C(N=C(Nc2ccc(cc2)C3CCN(CC3)C4COC4)C1=O)c5cccc(N6CCc7c8CCCCc8sc7C6=O)c5CO	CHEMBL3670133	pIC50=7.77
CN1CCN(C)C(=O)C1c2ccc(NC3=NC(=CN(C)C3=O)c4ccc(F)c(NC(=O)c5cc6CCCCc6s5)c4C)cc2	CHEMBL3747322	pIC50=7.77
CN1CCN(CC1)C(=O)c2ccc(Nc3nc(nc4c3ncn4C)c5cccc(NC(=O)c6ccc(cc6)C(C)(C)C)c5C)cc2	CHEMBL3263634	pIC50=7.77
OCc1c(cccc1c2ncnc3[nH]c(cc23)C4=CCN(CC4)C(=O)N5CCOCC5)N6C=Cc7cc(cc(F)c7C6=O)C8CC8	CHEMBL3402585	pIC50=7.77
CCN1CCN(CC1)c2ccc(NC3=CC(=CN(C)C3=O)c4cccc(N5CCc6c(cc7CCCCn67)C5=O)c4CO)nc2	CHEMBL3670137	pIC50=7.78
CN(C)C\C=C\C(=O)N(C)c1ccc2nc(Nc3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C)c5cncn5c2c1	CHEMBL1916879	pIC50=7.78
CN1C=C(C=C(Nc2cc3COCCn3n2)C1=O)c4cccc(N5CCc6c(cc7CCCCn67)C5=O)c4CO	CHEMBL3670136	pIC50=7.78
CC(C)(NC1COC1)\C=C(/C#N)\C(=O)N2CCC[C@H]2Cn3nc(c4ccc(Oc5ccccc5)cc4F)c6c(N)ncnc36	CHEMBL3702837	pIC50=7.79
CN1CCN(CC1)c2ccc(NC3=CC(=CN(C)C3=O)c4cccc(N5CCc6c(cc7CCCCn67)C5=O)c4CO)nc2	CHEMBL3670104	pIC50=7.79
CN1C=C(C=C(Nc2ccc(cn2)N3CCN(CC3)C4COC4)C1=O)c5cccc(N6C=Cc7cc(cc(F)c7C6=O)C8CC8)c5CO	CHEMBL3358396	pIC50=7.8
CN1C=C(N=C(Nc2cnn(C)c2)C1=O)c3cccc(N4CCc5cc(ccc5C4=O)C6CC6)c3CO	CHEMBL3674679	pIC50=7.8
CN1CCC(CC1)c2ccc(NC3=NC(=CN(C)C3=O)c4cc(F)cc(N5CCn6c7CC(C)(C)Cc7cc6C5=O)c4CO)cc2	CHEMBL3670122	pIC50=7.8
CN1CCN(CC1)C(=O)c2ccc3[nH]c4c(ccc(c5ccccc5F)c4c3c2)C(=O)N	CHEMBL3621457	pIC50=7.8
CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(ccc(c5cc(F)ccc5F)c34)C(=O)N	CHEMBL3621517	pIC50=7.8
CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(ccc(c5cccc(NC(=O)C)c5C)c34)C(=O)N	CHEMBL3621515	pIC50=7.8
CS(=O)(=O)N1CCC(=CC1)c2cc3c(ncnc3[nH]2)c4cccc(N5C=Cc6cc(cc(F)c6C5=O)C7CC7)c4CO	CHEMBL3400174	pIC50=7.8
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(Nc4cccc(NS(=O)(=O)C=C)c4)nc3	CHEMBL3290145	pIC50=7.8
CC(C)(C)c1cccc(NC(=O)c2cccc(c2)c3nn(C4CCCN(C4)C(=O)C=C)c5ncnc(N)c35)c1	CHEMBL2179790	pIC50=7.82
CCC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C)cn2)c1	CHEMBL3290124	pIC50=7.82
CN(C)C(=O)c1ccc(NC2=NC(=CN(C)C2=O)c3cccc(N4CCc5cc(ccc5C4=O)C6CC6)c3CO)cc1	CHEMBL3674680	pIC50=7.82
CN(C)C\C=C\C(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C)cn2)c1	CHEMBL3290144	pIC50=7.82
CN1CCN(C)C(=O)C1c2ccc(NC3=NC(=CN(C)C3=O)c4ccc(Cl)c(NC(=O)c5cc6CCCCc6s5)c4Cl)cc2	CHEMBL3747672	pIC50=7.82
CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(ccc(c5ccc(NC(=O)C)cc5)c34)C(=O)N	CHEMBL3621500	pIC50=7.82
CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(ccc(c5ccccc5Cl)c34)C(=O)N	CHEMBL3621503	pIC50=7.82
CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(ccc(c5ccccc5F)c34)C(=O)N	CHEMBL3621496	pIC50=7.82
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(Nc4cccc(NC(=O)CCl)c4)nc3	CHEMBL3286434	pIC50=7.82
CC(C)(C)c1cc(F)c2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c5ccc(nc45)c6ccccc6F	CHEMBL3652675	pIC50=7.85
CN(C)CCC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C)cn2)c1	CHEMBL3290125	pIC50=7.85
CN1CCN(C)C(=O)[C@H]1c2ccc(NC3=NC(=CN(C)C3=O)c4cccc(NC(=O)c5cc6CCCCc6s5)c4C)cc2	CHEMBL2057915	pIC50=7.85
CN1CCn2nc(NC3=CC(=NNC3=O)c4cccc(N5Cc6ccc(cc6C5=O)C(C)(C)C)c4C)cc2C1	CHEMBL3699639	pIC50=7.85
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(Nc4cccc(N)c4)nc3	CHEMBL3290123	pIC50=7.85
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(Nc4cccc(NC(=O)C=C)c4)nc3	CHEMBL3290142	pIC50=7.85
CC(C)(C)c1cc(F)c2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c5ccc(nc45)C(O)CO	CHEMBL3652678	pIC50=7.86
CN(C)C\C=C\C(=O)N(C)c1ccc2nc(Nc3cc(Cl)ccc3C)c4cncn4c2c1	CHEMBL1916884	pIC50=7.88
CC(C)(C)c1ccc(cc1)C(=O)N[C@@H]2CCCN(C2)c3nc(Nc4ccc(cc4)C(=O)N5CCNCC5)c6nccn6n3	CHEMBL2057920	pIC50=7.89
CC(C)(\C=C(/C#N)\C(=O)N1CCC[C@H](C1)n2nc(c3ccc(Oc4ccccc4)cc3F)c5c(N)ncnc25)N6CCNC(=O)C6	CHEMBL3702858	pIC50=7.89
CCNC(=O)NC1=CC(=CN(C)C1=O)c2cccc(NC(=O)c3ccc(cc3)C(C)(C)C)c2C	CHEMBL2057916	pIC50=7.89
CN(C)C\C=C\C(=O)N(C)c1cc2c(cc1F)nc(Oc3cc(F)ccc3C)c4cncn24	CHEMBL1916900	pIC50=7.89
CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(ccc(c5cccc(Cl)c5Cl)c34)C(=O)N	CHEMBL3621511	pIC50=7.89
CNC(=O)Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(Oc5ccccc5)cc4	CHEMBL3605107	pIC50=7.89
CNC(=O)c1cc(Oc2ccc(Nc3ncc4N(C)C(=O)N(c5cccc(NC(=O)C=C)c5)c4n3)cc2)ccn1	CHEMBL3785329	pIC50=7.89
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(Nc4cccc(NC(=O)CNC(=O)C=C)c4)nc3	CHEMBL3290148	pIC50=7.89
Nc1ncnc2c1c(nn2C3CC4(C3)CN(C4)C(=O)C5CO5)c6ccc(Oc7ccccc7)cc6	CHEMBL3647517	pIC50=7.89
CC(C)(C)c1cc(F)c2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c5ccc(nc45)N6CCS(=O)(=O)CC6	CHEMBL3639515	pIC50=7.9
CN(C)C\C=C\C(=O)N(C)c1ccc2nc(Nc3ccc(O)cc3C)c4cncn4c2c1	CHEMBL1916889	pIC50=7.91
Nc1ncc(c2cnn(CC(=O)N3CCCCC3)c2)c4scc(c5ccc(Oc6ccccc6)cc5)c14	CHEMBL3612839	pIC50=7.91
CC(C)(C)c1ccc(CNC(=O)c2cccc(c2)c3nn([C@@H]4CCCN(C4)C(=O)C=C)c5ncnc(N)c35)cc1	CHEMBL2179806	pIC50=7.92
CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(ccc(c5c(F)cccc5F)c34)C(=O)N	CHEMBL3621518	pIC50=7.92
CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(ccc(c5cccc(NC(=O)c6ccc(cc6)C(C)(C)C)c5C)c34)C(=O)N	CHEMBL3622191	pIC50=7.92
OCc1c(cccc1c2ncnc3[nH]c(cc23)c4ccc(CN5CCOCC5)cc4)N6C=Cc7cc(cc(F)c7C6=O)C8CC8	CHEMBL3402572	pIC50=7.92
Nc1ncc(c2cnn(CC(=O)N3CCOCC3)c2)c4scc(c5ccc(Oc6ccccc6)cc5)c14	CHEMBL3612840	pIC50=7.93
CN1C=C(C=C(Nc2ccc3CN(CCc3n2)C4COC4)C1=O)c5cc(F)cc(N6CCn7c8CC(C)(C)Cc8cc7C6=O)c5CO	CHEMBL3670120	pIC50=7.94
Cn1cc(cc1C(=O)N)c2cccc(N3N=Cc4cc(ccc4C3=O)C(C)(C)C)c2CO	CHEMBL3649451	pIC50=7.94
CCOc1ccc(cn1)c2ccc3c(cn(c4cccc(N5N=Cc6cc(cc(F)c6C5=O)C(C)(C)C)c4CO)c3n2)C(=O)N	CHEMBL3652674	pIC50=7.96
CN1CCn2nc(NC3=CC(=NNC3=O)c4ccc(C)c(NC(=O)c5cc6ccccc6s5)c4F)cc2C1	CHEMBL3747019	pIC50=7.96
Cc1c(cccc1c2ccc(C(=O)N)c3[nH]c4cc(ccc4c23)C(O)CO)N5C=Nc6ccc(F)cc6C5=O	CHEMBL2057919	pIC50=7.96
Cc1ccc(NC(=O)c2ccc(Cl)c(c2)C(F)(F)F)cc1C(=O)Nc3cnc(Nc4cccc(NC(=O)C=C)c4)nc3	CHEMBL3290150	pIC50=7.96
Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3Cl)cn2)c1	CHEMBL3290127	pIC50=7.96
CN(C)C\C=C\C(=O)N(C)c1ccc2nc(Nc3c(C)cccc3O)c4cncn4c2c1	CHEMBL1916887	pIC50=7.98
CC(C)(C)c1cc(F)c2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c5ccc(nc45)N6CCOCC6	CHEMBL3652673	pIC50=7.99
CN(C)C\C=C\C(=O)N(C)c1ccc2nc(Nc3c(C)cccc3Cl)c4cncn4c2c1	CHEMBL1916883	pIC50=7.99
CC(C)c1nc(c2ccc(F)c(NS(=O)(=O)c3c(F)cccc3F)c2)c(s1)c4ccnc(Nc5ccc(nc5)N6CCOCC6)n4	CHEMBL1808264	pIC50=8.0
CCn1nc(NC2=CC(=CN(C)C2=O)c3cc(F)cc(N4CCn5c6CC(C)(C)Cc6cc5C4=O)c3CO)cc1C	CHEMBL3670130	pIC50=8.0
CN1C=C(C=C(Nc2ccc(cn2)N3CCOCC3)C1=O)c4cccc(N5CCn6c7CCCCc7cc6C5=O)c4CO	CHEMBL3670084	pIC50=8.0
CN1C=C(C=C(Nc2ccncn2)C1=O)c3cccc(N4CCc5c6CC(C)(C)Cc6sc5C4=O)c3CO	CHEMBL3670082	pIC50=8.0
CN1C=C(N=C(Nc2ccc(cc2)C(=O)N3CCC(O)CC3)C1=O)c4cccc(N5CCc6cc(ccc6C5=O)C7CC7)c4CO	CHEMBL3674682	pIC50=8.0
CN1C=C(N=C(Nc2ccc(cc2)C(=O)N3CCOCC3)C1=O)c4cccc(N5CCc6cc(ccc6C5=O)C7(F)CC7)c4CO	CHEMBL3674681	pIC50=8.0
CN1CCC(CC1)c2ccc(NC3=NC(=CN(C)C3=O)c4cccc(NC(=O)c5cc6CCCCc6s5)c4C)cc2	CHEMBL3401289	pIC50=8.0
CN1CCn2nc(NC3=CC(=NNC3=O)c4ccc(F)c(NC(=O)c5cc6ccccc6s5)c4)cc2C1	CHEMBL3746036	pIC50=8.0
COc1cc2nccc(Oc3ccc(NC(=O)C4=C(C)N(C)N(C4=O)c5ccccc5)cc3F)c2cc1OC	CHEMBL2031893	pIC50=8.0
Nc1ncc(c2cnn(CCNC(=O)C=C)c2)c3scc(c4ccc(Oc5ccccc5)cc4)c13	CHEMBL3612847	pIC50=8.0
CN1CC(C1)Oc2ccc(NC3=CC(=CN(C)C3=O)c4cc(F)cc(N5CCn6c7CCCCc7cc6C5=O)c4CO)nc2	CHEMBL3670121	pIC50=8.01
CN(C)C\C=C\C(=O)N(C)c1cc2c(cc1Cl)nc(Nc3ccc(F)cc3C)c4cncn24	CHEMBL1916898	pIC50=8.02
CN(C)C\C=C\C(=O)N(C)c1cc2c(cc1F)nc(Oc3ccc(F)cc3C)c4cncn24	CHEMBL1916901	pIC50=8.02
Nc1ncc(c2cnn(c2)C3CCCNC3=O)c4scc(c5ccc(Oc6ccccc6)cc5)c14	CHEMBL3612841	pIC50=8.02
CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(ccc(c5cccc(NC(=O)c6ccc(F)cc6)c5F)c34)C(=O)N	CHEMBL3622192	pIC50=8.03
CN1CC(C1)N2CCN(CC2)c3ccc(NC4=CC(=CN(C)C4=O)c5cccc(N6C=Cc7cc(cc(F)c7C6=O)C8CC8)c5CO)nc3	CHEMBL3358397	pIC50=8.05
Cc1c(NC(=O)c2ccc(cc2)C(C)(C)C)cccc1c3nc(Nc4ccc(cc4)C(=O)N5CCOCC5)c6nc[nH]c6n3	CHEMBL3263640	pIC50=8.05
Cc1cc(NC2=CC(=NNC2=O)c3ccc(F)c(c3)N4Cc5cc(sc5C4=O)C(C)(C)C)nn1C	CHEMBL3699642	pIC50=8.05
Cc1ccc(NC(=O)c2ccc(Cl)c(c2)C(F)(F)F)cc1C(=O)Nc3cnc(Nc4cccc(N)c4)nc3	CHEMBL3290138	pIC50=8.05
Cc1ccc(O)cc1Nc2ccnc(Nc3cccc(c3)C(=O)N)n2	CHEMBL249097	pIC50=8.05
CN1C=C(C=C(Nc2ccc(cn2)C3CCN(CC3)C4COC4)C1=O)c5cc(F)cc(N6CCc7c8CC(C)(C)Cc8sc7C6=O)c5CO	CHEMBL3670127	pIC50=8.06
CN1C=C(N=C(Nc2ccc(cc2)C(=O)NCCOCCOCCNC(=S)Nc3ccc(C4=C5C=CC(=O)C=C5Oc6cc(O)ccc46)c(c3)C(=O)O)C1=O)c7cccc(NC(=O)c8ccc(cc8)C(C)(C)C)c7C	CHEMBL3402354	pKd=8.06
CC(C)(CO)\C=C(/C#N)\C(=O)N1CCC[C@H](C1)n2nc(c3ccc(Oc4ccccc4)cc3F)c5c(N)ncnc25	CHEMBL3702829	pIC50=8.09
CN(C)C\C=C\C(=O)N1CC[C@@]2(C[C@H](C2)n3nc(c4ccc(Oc5ccccc5)cn4)c6c(N)ncnc36)C1	CHEMBL3647529	pIC50=8.09
CN1CCc2cc(NC3=NC(=CN(C)C3=O)c4cc(F)cc(N5CCn6c7CCCCc7cc6C5=O)c4CO)ccc2C1	CHEMBL3670112	pIC50=8.09
Nc1ncnc2c1c(nn2C3CCCC3)c4ccc(Oc5ccccc5)cc4	CHEMBL2057912	pIC50=8.09
CN1C=C(N=C(Nc2ccc(cc2)C(=O)N3CCOCC3)C1=O)c4cccc(NC(=O)c5cc6CCCCc6s5)c4C	CHEMBL3401277	pIC50=8.1
CN1C=C(N=C(Nc2ccc(cc2)C(=O)N3CCOCC3)C1=O)c4cccc(NC(=O)c5ccc(cc5)C(C)(C)C)c4C	CHEMBL1230541	pIC50=8.1
CN1CCN(C)C(=O)C1c2ccc(NC3=NC(=CN(C)C3=O)c4cccc(NC(=O)c5cc6CCCCc6s5)c4F)cc2	CHEMBL3746128	pIC50=8.1
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cnc(Nc4ccc(N)cc4)nc3	CHEMBL3290122	pIC50=8.1
CC(=O)Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(Oc5ccccc5)cc4	CHEMBL3612842	pIC50=8.11
CC(C)(C)c1cc(F)c2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c5ccc(Br)nc45	CHEMBL3652677	pIC50=8.11
CN1C=C(C=C(Nc2cc3COCCn3n2)C1=O)c4cccc(N5CCn6c7CCCCc7cc6C5=O)c4CO	CHEMBL3670087	pIC50=8.11
CN1C=C(C=C(Nc2ccc(cn2)N3CCN(CC3)C4COC4)C1=O)c5cc(F)cc(N6CCn7c8CC(C)(C)Cc8cc7C6=O)c5CO	CHEMBL3670132	pIC50=8.11
CN(C)C\C=C\C(=O)N(C)c1ccc2nc(Nc3ccc(Cl)cc3C)c4cncn4c2c1	CHEMBL1916885	pIC50=8.12
Nc1ncc(c2cnn(CC#C)c2)c3scc(c4ccc(Oc5ccccc5)cc4)c13	CHEMBL3612843	pIC50=8.13
CC(C)(C)c1cc(F)c2C(=O)N(N=Cc2c1)c3cccc(c3CO)n4cc(C(=O)N)c5cncnc45	CHEMBL3652671	pIC50=8.14
CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(ccc(c5cccc(NC(=O)c6ccccc6)c5C)c34)C(=O)N	CHEMBL3621519	pIC50=8.14
