[H][C@@]1(CN(C)C)CCN2C=C(C3=CC=CC=C23)C2=C(C(=O)NC2=O)C2=CN(CCO1)C1=CC=CC=C21	ruboxistaurin	pKd=7.92	pKd=7.92	pKd=7.92
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5COC5	CHEMBL3691966	pIC50=7.53
Oc1ccc(cc1)c2ccc3c(c[nH]c3c2)c4ccc(cc4)N5CCNCC5	CHEMBL1910894	pIC50=7.66
c1ccc2c(c1)[nH]c3c4[nH]c5ccccc5c4c6[nH]ncc6c23	CHEMBL3814423	pIC50=7.66
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687423	pIC50=7.68
COc1cccc(C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)c1Cl	CHEMBL2035625	pIC50=7.68
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)C4CCCCC4	CHEMBL3651986	pIC50=7.68
Nc1ccc(nc1C(=O)Nc2cnccc2c3ccncc3)c4ccccc4F	CHEMBL3793440	pKi=7.68
OC1CCN(CC1)c2cncc(n2)c3n[nH]c4ccc(cc34)c5c(F)cccc5F	CHEMBL3393696	pIC50=7.68
CN(C)CCCOc1cncc(n1)c2ccc3[nH]cc(c4ccnc(N)n4)c3c2	CHEMBL3264255	pIC50=7.69
Clc1cc(ccc1C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C(=O)NCCN5CCCCC5	CHEMBL2035627	pIC50=7.7
NC1CC(CN(C1)c2ccncc2NC(=O)c3csc(n3)C4CCCCC4)C(F)(F)F	CHEMBL3676277	pIC50=7.7
N[C@@H]1CCCN(C1)c2c(Cl)cccc2\C=C\3/SC(=O)NC3=O	CHEMBL2048866	pIC50=7.7
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3ncccc3N	CHEMBL3103858	pKi=7.7
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nccnc3N	CHEMBL3103857	pKi=7.7
[O-][N+](=O)c1cc2[nH]ncc2c3c4ccccc4cnc13	CHEMBL3326555	pIC50=7.7
CCOCc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](NC(=O)OC)[C@H](N)C4	CHEMBL3691985	pIC50=7.71
C[C@H]1C[C@H](C[C@@H](N)C1=O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687424	pIC50=7.71
C[C@@H]1C[C@H](N)CN(C1)c2ccncc2Nc3cccc4cnc(nc34)c5c(F)cccc5F	CHEMBL3685747	pIC50=7.72
Nc1sc(nc1C(=O)Nc2cnn(CCF)c2)c3c(F)cccc3F	CHEMBL3652646	pKi=7.72
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(ccc3N)c4cc(ccc4F)C(=O)NC(C)C	CHEMBL3691983	pIC50=7.74
CC(C)OC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687422	pIC50=7.75
CN1C[C@@H]2CC[C@H]1CN2CC3=Nc4c(oc5ccc(Br)cc45)C(=O)N3	CHEMBL2035636	pIC50=7.75
COC1CCN(CC1N)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676263	pIC50=7.75
COc1ccc2C(=O)\C(=C\c3n[nH]c4ncccc34)\Oc2c1CN5CCNC[C@H]5C	CHEMBL3735628	pIC50=7.75
C[C@H]1C[C@H](C[C@@H](N)[C@H]1F)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676311	pIC50=7.75
C[C@H]1C[C@H](C[C@@H](N)[C@H]1S(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(F)CCOCC5	CHEMBL3687520	pIC50=7.75
C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35	CHEMBL603469	pKd=7.75
Clc1ccccc1C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2	CHEMBL2035603	pIC50=7.75
FC(F)(F)c1cccc(c1)n2nnc3ccc(NC4CC5(CCNCC5)C4)nc23	CHEMBL1952137	pIC50=7.75
N[C@@H]1CN(CC[C@@H]1O)c2ccncc2Nc3cccc4cnc(nc34)c5c(F)cccc5F	CHEMBL3685735	pIC50=7.75
N[C@H]1CCCN(C1)c2ccncc2Nc3cccc4cnc(nc34)c5ccccc5F	CHEMBL3685750	pIC50=7.75
Nc1nnc(s1)c2ccc3[nH]cc(c4cccc(OC5CCCCC5)n4)c3c2	CHEMBL3394169	pIC50=7.75
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(ccc4F)C(F)(F)F	CHEMBL3652020	pIC50=7.77
Clc1ccc(C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)c(Cl)c1	CHEMBL2035624	pIC50=7.77
COCCOc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@H](NC(=O)OC)[C@H](N)C4	CHEMBL3687516	pIC50=7.78
CC1CC(N)CN(C1)c2ccncc2NC(=O)c3csc(n3)C4CCCCC4	CHEMBL3676276	pIC50=7.8
CN1CCCN(CC1)C(=O)c2cccc(c2)c3oc(\C=C/4\C(=O)Nc5ccc(Cl)cc45)cc3	CHEMBL2037200	pIC50=7.8
COCC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687415	pIC50=7.8
CO\N=C\1/[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687425	pIC50=7.8
C[C@H]1C[C@H](C[C@@H](N)[C@H]1NC(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687436	pIC50=7.8
FC(F)(F)Oc1cccc(c1)n2nnc3cc(Cl)c(NCC4CCNCC4)nc23	CHEMBL1952144	pIC50=7.8
N[C@H]1CCCN(C1)c2ccncc2Nc3cccc4cnc(nc34)c5c(F)cccc5F	CHEMBL3685749	pIC50=7.8
C[C@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676299	pIC50=7.82
N[C@H]1CCCN(C1)c2ccncc2NC(=O)c3nc(Oc4ccccc4)ccc3N	CHEMBL3103859	pKi=7.82
Nc1cc(nc(N)n1)c2ccncc2NC(=O)c3nc(ccc3N)c4ccccc4F	CHEMBL3792905	pKi=7.82
Nc1nnc(s1)c2ccc3[nH]cc(c4cccc(n4)N5CCCC5)c3c2	CHEMBL3394066	pIC50=7.82
C[C@H]1C[C@H](C[C@@H](N)[C@H]1C#N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687478	pIC50=7.83
CCOC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687421	pIC50=7.85
C[C@H]1C[C@H](C[C@@H](N)[C@H]1n2ccnn2)c3ccncc3NC(=O)c4ccc(F)c(n4)c5c(F)cc(cc5F)C6(F)CCOCC6	CHEMBL3691979	pIC50=7.85
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(O[C@@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393707	pIC50=7.85
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3nc(ccc3N)C4CCCCC4	CHEMBL3652000	pIC50=7.85
Fc1ccc(Cl)c(c1)C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2	CHEMBL2035621	pIC50=7.89
N[C@H]1C[C@@H](O)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676261	pIC50=7.89
O=Cc1cn2CCCCn3c4ccccc4c5ccc1c2c35	CHEMBL1950228	pIC50=7.89
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCC5	CHEMBL3691951	pIC50=7.9
Brc1cccc2[nH]c3c(ccc4c(C=O)c[nH]c34)c12	CHEMBL1240961	pIC50=7.91
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1[S+](C)[O-])c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687442	pIC50=7.91
Brc1ccc2oc3C(=O)NC(=Nc3c2c1)CN4CCCC4	CHEMBL2030389	pIC50=7.92
CCOCc1cc(F)c(c(F)c1)c2nc(ccc2F)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H]([C@H](N)C4)S(=O)(=O)C	CHEMBL3687526	pIC50=7.92
CN(C)C[C@@H]1CCn2cc(C3=C(C(=O)NC3=O)c4cn(CCO1)c5ccccc45)c6ccccc26	CHEMBL91829	pKd=7.92
CN1CCN(C[C@@H](NC(=O)C[C@H]2CNC(=O)c3cc(cn23)c4cccc(Cl)c4)C5CCCCC5)CC1	CHEMBL3297762	pIC50=7.92
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3nc(ccc3F)c4ccc(O)cc4F	CHEMBL3651935	pIC50=7.92
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)C4CCCCC4	CHEMBL3639508	pIC50=7.92
NC1CN(CCC1Cl)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676274	pIC50=7.92
N[C@@H]1C[C@@H](CC[C@H]1O)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676295	pIC50=7.92
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(F)cc(F)c4F	CHEMBL3651910	pIC50=7.92
Nc1ccc(cn1)c2ccncc2NC(=O)c3nc(ccc3N)c4ccccc4F	CHEMBL3793600	pKi=7.92
Oc1ccc(cc1)c2ccc3c(n[nH]c3n2)c4ccc(cc4)N5CCNCC5	CHEMBL1910893	pIC50=7.92
CC(C)NC(=O)c1ccc(F)c(c1)c2ccc(N)c(n2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H]([C@H](N)C4)S(=O)(=O)C	CHEMBL3687519	pIC50=7.95
CN(C)c1cccc(c1)n2nnc3ccc(NCC4CCNCC4)nc23	CHEMBL1952134	pIC50=7.96
CN1CCN(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)CC1	CHEMBL2035633	pIC50=7.96
CN1CCN(CC2=Nc3c(oc4ccc(I)cc34)C(=O)N2)CC1	CHEMBL2035640	pIC50=7.96
C[C@H]1C[C@H](C[C@@H](N)/C/1=N\O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687419	pIC50=7.96
Clc1ccc(Cl)c2c3N=CNC(=O)c3sc12	CHEMBL583144	pKi=7.96
Fc1cccc(F)c1c2nc(cs2)C(=O)Nc3cnccc3OC4CCCCC4	CHEMBL3354514	pIC50=7.96
N[C@@H]1C[C@@H](CC[C@@H]1O)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676293	pIC50=7.96
N[C@@H]1C[C@@H](C[C@@H](C1)C(F)(F)F)c2ccncc2NC(=O)c3ccc(F)c(n3)C4CCCCC4	CHEMBL3652005	pIC50=7.96
N[C@H]1CCN(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C1	CHEMBL2030387	pIC50=7.96
Nc1nnc(s1)c2ccc3[nH]cc(c4cncc(OC5CCCC5)n4)c3c2	CHEMBL3394172	pIC50=7.96
OC1CN(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C1	CHEMBL2035638	pIC50=7.96
COC(=O)N(C)[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687470	pIC50=7.97
COC(=O)N(C)[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687463	pIC50=7.98
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OCCS(=O)(=O)C)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3691917	pIC50=7.98
C[C@H]1C[C@H](C[C@@H](N)[C@H]1S(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(cc4F)C5(O)CCOCC5	CHEMBL3687530	pIC50=7.98
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3691918	pIC50=7.99
Brc1ccc2oc3C(=O)NC(=Nc3c2c1)CN4CCC4	CHEMBL2035632	pIC50=8.0
CC(C)(C)[C@H](N)COc1cncc(n1)c2ccc3[nH]cc(c4ccc(N)nc4F)c3c2	CHEMBL1910913	pIC50=8.0
CCN(CC)CCNc1cncc(n1)c2ccc3[nH]cc(c4ccnc(N)n4)c3c2	CHEMBL3264258	pIC50=8.0
COc1cccc(\C=C\2/SC(=O)NC2=O)c1N3CCC[C@@H](N)C3	CHEMBL2048868	pIC50=8.0
Fc1cccc(F)c1c2nc3c(Nc4cnccc4O[C@H]5CCNC5)cccc3s2	CHEMBL3354522	pIC50=8.0
N[C@@H]1CCCN(C1)c2c(Br)cccc2\C=C\3/SC(=O)NC3=O	CHEMBL2048867	pIC50=8.0
O=Cc1c[nH]c2c1ccc3c4ccccc4[nH]c23	CHEMBL583972	pIC50=8.0
O[C@H]1CCN(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)C1	CHEMBL2030376	pIC50=8.0
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC)cc4F	CHEMBL3691975	pIC50=8.01
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC5CCOCC5)cc4F	CHEMBL3691954	pIC50=8.01
CN1C[C@@H]2C[C@H]1CN2CC3=Nc4c(oc5ccc(Br)cc45)C(=O)N3	CHEMBL2035635	pIC50=8.05
C[C@@H]1CN(C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676291	pIC50=8.05
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cccnc4	CHEMBL3652012	pIC50=8.05
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4cc(O)ccc4F	CHEMBL3651901	pIC50=8.05
C[C@H]1C[C@H](C[C@@H](N)[C@H]1N=[N+]=[N-])c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687440	pIC50=8.05
Cc1n[nH]c2cnc(cc12)c3cncc(n3)N4CCC(N)CC4	CHEMBL3634778	pKi=8.05
N[C@@H]1CCCN(C1)c2c(\C=C\3/SC(=O)NC3=O)cccc2c4ccccc4	CHEMBL2048872	pIC50=8.05
N[C@@H]1CCCN(C1)c2ccccc2\C=C\3/SC(=O)NC3=O	CHEMBL2048865	pIC50=8.05
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccc(F)cc4F	CHEMBL3651978	pIC50=8.05
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3cccc(n3)c4cc(F)cc(F)c4F	CHEMBL3651944	pIC50=8.05
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4ccncc4F	CHEMBL3652028	pIC50=8.05
Nc1nnc(s1)c2ccc3[nH]cc(c4cncc(n4)N5CCCC5)c3c2	CHEMBL3394072	pIC50=8.05
C[C@H]1C[C@H](C[C@@H](N)[C@H]1OS(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687450	pIC50=8.06
Cn1cc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)cn1	CHEMBL3652620	pKi=8.06
CC(C)NC(=O)c1ccc(F)c(c1)c2nc(cs2)C(=O)Nc3cnccc3N4CCC[C@H](N)C4	CHEMBL3676304	pIC50=8.08
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(ncc3N)c4c(F)cccc4F	CHEMBL3687480	pIC50=8.09
Brc1ccc2oc3C(=O)NC(=Nc3c2c1)c4ccc(NCC5CCNCC5)cc4	CHEMBL2035630	pIC50=8.1
CCOc1cncc(n1)c2c[nH]c3ccc(cc23)c4nnc(N)s4	CHEMBL3394170	pIC50=8.1
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(OC(C)C)cc4F	CHEMBL3691933	pIC50=8.1
C[C@@H]1C[C@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3652026	pIC50=8.1
C[C@@H]1C[C@H](O)C[C@@H](C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676287	pIC50=8.1
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676297	pIC50=8.1
C[C@H]1C[C@H](C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3652024	pIC50=8.1
Clc1cc(CNC2CCNCC2)ccc1C3=Nc4c(oc5ccc(Br)cc45)C(=O)N3	CHEMBL2035628	pIC50=8.1
Clc1cccc(C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)c1Cl	CHEMBL2035623	pIC50=8.1
NCc1ccc(C2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)c(Cl)c1	CHEMBL2035626	pIC50=8.1
N[C@H]1C[C@@H](F)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676267	pIC50=8.1
N[C@H]1C[C@H](F)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F	CHEMBL3676273	pIC50=8.1
CN(C)CCN(C)c1cncc(n1)c2ccc3[nH]cc(c4ccnc(N)n4)c3c2	CHEMBL3264261	pIC50=8.11
CO[C@@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3nc(ccc3N)c4cc(ccc4F)C(=O)NC(C)C	CHEMBL3687535	pIC50=8.11
CC(C)NC(=O)c1ccc(F)c(c1)c2ccc(N)c(n2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H]([C@H](N)C4)n5ccnn5	CHEMBL3691980	pIC50=8.16
CC1CC(O)C=C(C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3652029	pIC50=8.16
CCCOc1ccc(F)c(c1)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4CC[C@H](O)[C@H](N)C4	CHEMBL3651980	pIC50=8.16
CCc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4CCC[C@H](N)C4	CHEMBL3651915	pIC50=8.16
CCc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4CC[C@H](O)[C@H](N)C4	CHEMBL3651914	pIC50=8.16
C[C@@H]1C[C@@H](C[C@@H](N)[C@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651991	pIC50=8.16
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3nc(c(F)cc3N)c4c(F)cccc4F	CHEMBL3651947	pIC50=8.16
C[C@H]1CN(C[C@@H](N)[C@@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccncc4	CHEMBL3652014	pIC50=8.16
FC(F)(F)Oc1cccc(c1)n2nnc3ccc(NCC4CCNCC4)nc23	CHEMBL1952113	pIC50=8.16
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(n4)N5CCCNCC5)c3c2	CHEMBL3393694	pIC50=8.16
Fc1cccc(F)c1c2nc(cs2)C(=O)Nc3cnccc3OCC4CCOCC4	CHEMBL3354516	pIC50=8.16
N[C@H]1CCC[C@H](C1)c2ccncc2NC(=O)c3nc(ccc3F)c4c(F)cccc4F	CHEMBL3651976	pIC50=8.16
Nc1ncc(s1)c2ccc3[nH]nc(c4cnc5ccccc5c4)c3c2	CHEMBL3394059	pIC50=8.16
COCCS(=O)(=O)[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687432	pIC50=8.17
COC(=O)N[C@H]1[C@@H](C)C[C@H](C[C@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3691964	pIC50=8.18
CC(N1CCNCC1)c2c(OCCO)ccc3C(=O)\C(=C\c4n[nH]c5ncccc45)\Oc23	CHEMBL3735412	pIC50=8.19
CN(C)CCNc1cncc(n1)c2ccc3[nH]cc(c4ccnc(N)n4)c3c2	CHEMBL3264257	pIC50=8.19
C[C@H]1CN(C[C@@H](N)[C@H]1C#N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cc(C)cc4F	CHEMBL3687465	pIC50=8.2
Cn1ncc(NC(=O)c2nc(sc2N)c3c(F)cccc3F)c1C4CCNCC4	CHEMBL3652644	pKi=8.21
CC(C)[C@H](N)COc1cncc(n1)c2ccc3[nH]cc(c4ccc(N)nc4F)c3c2	CHEMBL1910912	pIC50=8.22
CC1(C)C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccc(O)cc4F	CHEMBL3651906	pIC50=8.22
CCOc1cccc(\C=C\2/SC(=O)NC2=O)c1N3CCC[C@@H](N)C3	CHEMBL2048869	pIC50=8.22
CCc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)C[C@H](N)C4	CHEMBL3651917	pIC50=8.22
CCc1ccc(F)c(c1F)c2cccc(n2)C(=O)Nc3cnccc3[C@@H]4C[C@H](C)[C@@H](O)[C@H](N)C4	CHEMBL3651911	pIC50=8.22
C[C@@H]1C[C@@H](C[C@H](N)[C@H]1O)c2ccncc2NC(=O)c3nc(ccc3N)c4c(F)cccc4F	CHEMBL3651990	pIC50=8.22
C[C@@H]1C[C@H](C[C@@H](O)[C@H]1O)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3652030	pIC50=8.22
C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3nc(ccc3F)c4c(F)cccc4F	CHEMBL3651965	pIC50=8.22
