CCOC(=O)C1=CC=C(N)C=C1	benzocaine
CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C	ropivacaine
CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1	orphenadrine	pIC50=5.2007	pIC50=5.2007	pIC50=5.2007
CCCCOC1=C(N)C=CC(=C1)C(=O)OCCN(CC)CC	oxybuprocaine
CCCOC1=C(N)C=C(C=C1)C(=O)OCCN(CC)CC	proparacaine
CCN(CC)CCOC(=O)C1=CC=C(N)C=C1	procaine
CCCCOC1=CC=C(C=C1)C(=O)CCN1CCCCC1	dyclonine
CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC	cinchocaine
CCN(CC)CCOC(=O)C1=C(Cl)C=C(N)C=C1	chloroprocaine
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C	lidocaine	pIC50=4.0	pIC50=4.0	pIC50=4.0
CC(N)COC1=C(C)C=CC=C1C	mexiletine	pIC50=4.25	pIC50=4.25	pIC50=4.25
CCN1C(=O)NC(C1=O)C1=CC=CC=C1	ethotoin
NC1=NC(N)=C(C=C1)\N=N\C1=CC=CC=C1	phenazopyridine
CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1	mephenytoin
NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1	rufinamide
NC1=NN=C(C(N)=N1)C1=C(Cl)C(Cl)=CC=C1	lamotrigine	pIC50=4.02	pIC50=4.02	pIC50=4.02
CC(=O)O[C@H]1CC2=C(C=CC=C2)N(C(N)=O)C2=CC=CC=C12	eslicarbazepine acetate
CCN(CC)CCNC(=O)C1=CC=C(N)C=C1	procainamide
CC(N)C(=O)NC1=C(C)C=CC=C1C	tocainide
CC(=O)Nc1ccc(c(N)n1)c2cc(Cl)cc(Cl)c2Cl	CHEMBL3589893	pIC50=6.8
Cc1ccccc1CNC(=O)c2cncc(n2)c3ccc(cc3)C#N	CHEMBL1278138	pIC50=6.82
NC(=O)c1cc(C(=O)N)n(n1)c2cccc(c2)c3cc(F)ccc3OCC(F)(F)C(F)(F)F	CHEMBL1631102	pIC50=6.83
Clc1ccc(cc1)c2cncc(c2)C(=O)NCc3cccnc3Cl	CHEMBL1270100	pIC50=6.85
CC(C)CC[C@H](N)c1nc2cc(ccc2[nH]1)C(C)(C)C	CHEMBL3341974	pIC50=6.9
Cc1cc(C)cc(NC(=O)c2cncc(c2)c3ccc(F)cc3)c1	CHEMBL1271415	pIC50=7.0
FC(F)(F)Oc1ccc(cc1)c2cncc(n2)C(=O)NCc3cccnc3Cl	CHEMBL1276881	pIC50=7.0
Clc1ccc(cc1)c2cncc(c2)C(=O)NCc3cccnc3N4CCOCC4	CHEMBL1270302	pIC50=7.06
COc1cc(NC(=O)c2oc(cc2)c3ccc(Cl)cc3)cc(OC)c1	CHEMBL250699	pIC50=7.1
Cc1cccc(NC(=O)c2oc(cc2)c3ccc(cc3)C#N)c1	CHEMBL401258	pIC50=7.1
Cc1cc(C)cc(NC(=O)c2cccc(n2)c3ccc(OC(F)(F)F)cc3)c1	CHEMBL1271205	pIC50=7.19
Cc1cc(C)cc(NC(=O)c2csc(n2)c3ccc(OC(F)(F)F)cc3)c1	CHEMBL1270999	pIC50=7.29
CC(C)Oc1cccc(NC(=O)c2cncc(n2)c3ccc(cc3)C#N)c1	CHEMBL1278045	pIC50=7.31
Clc1ccc(cc1)c2cncc(n2)C(=O)NCc3cccnc3N4CCOCC4	CHEMBL1277700	pIC50=7.43
CC(C)(C)c1ccc(cc1)c2oc(cc2)C(=O)N3CCN(CC3)C4CCCCC4	CHEMBL486495	pIC50=7.52
Clc1ccc(cc1)c2cncc(n2)C(=O)NCc3cccnc3N4CCCC4	CHEMBL1277876	pIC50=7.52
FC(F)(F)Oc1ccc(cc1)c2cncc(n2)C(=O)NCc3cccnc3N4CCOCC4	CHEMBL1276882	pIC50=7.52
Cc1ccccc1CNC(=O)c2cncc(n2)c3ccc(Cl)cc3	CHEMBL1277606	pIC50=7.57
Cc1cc(C)cc(NC(=O)c2cncc(c2)c3ccc(OC(F)(F)F)cc3)c1	CHEMBL1271206	pIC50=7.59
Cc1cc(C)cc(NC(=O)c2cncc(c2)c3ccc(cc3)C#N)c1	CHEMBL1271309	pIC50=7.64
Clc1ccc(cc1)c2cncc(c2)C(=O)NCc3ccccc3	CHEMBL1271417	pIC50=7.66
Cc1cc(C)cc(NC(=O)c2cncc(n2)c3ccc(OC(F)(F)F)cc3)c1	CHEMBL1271106	pIC50=7.68
Clc1ccc(CCNC(=O)c2cncc(n2)c3ccc(Cl)cc3)cc1	CHEMBL1277607	pIC50=7.72
Cc1ccccc1CNC(=O)c2cncc(n2)c3ccc(OC(F)(F)F)cc3	CHEMBL1278224	pIC50=7.75
Clc1ccc(cc1)c2cncc(c2)C(=O)NCc3cccnc3N4CCCCC4	CHEMBL1270301	pIC50=7.85
CO[C@H](C)[C@H](N)c1nc2cc(ccc2[nH]1)c3ccc(C#N)c(F)c3	CHEMBL3617059	pIC50=7.98
Clc1ccc(cc1)c2cncc(c2)C(=O)NCc3ccccc3N4CCOCC4	CHEMBL1269991	pIC50=8.0
Cc1cc(C)cc(NC(=O)c2cncc(c2)c3ccc(Cl)cc3)c1	CHEMBL1271416	pIC50=8.05
Cc1cc(C)cc(NC(=O)c2cncc(n2)c3ccc(cc3)C#N)c1	CHEMBL1278044	pIC50=8.1
Cc1cc(C)cc(NC(=O)c2nsc(n2)c3ccc(OC(F)(F)F)cc3)c1	CHEMBL1271105	pIC50=8.1
Clc1ccc(cc1)c2cncc(c2)C(=O)NCc3ccccc3N4CCCCC4	CHEMBL1269990	pIC50=8.1
CCOc1ncccc1CNC(=O)c2cncc(c2)c3ccc(Cl)cc3	CHEMBL1270207	pIC50=8.16
COc1cc(NC(=O)c2cncc(n2)c3ccc(Cl)cc3)cc(OC)c1	CHEMBL1277512	pIC50=8.22
Cc1cccc(NC(=O)c2cncc(n2)c3ccc(Cl)cc3)c1	CHEMBL1277513	pIC50=8.22
Cc1cccc(NC(=O)c2cncc(n2)c3ccc(OC(F)(F)F)cc3)c1	CHEMBL1278223	pIC50=8.3
Clc1ccc(cc1)c2cncc(c2)C(=O)NCc3ccccc3Cl	CHEMBL1269883	pIC50=8.4
Cc1cc(C)cc(NC(=O)c2cncc(n2)c3ccc(Cl)cc3)c1	CHEMBL1277514	pIC50=8.52
FC(F)(F)COc1ncccc1CNC(=O)c2cncc(c2)c3ccc(Cl)cc3	CHEMBL1270208	pIC50=8.52
CCOc1ccc(cc1)c2cncc(n2)C(=O)NCc3ccccc3C	CHEMBL1277959	pIC50=8.7
CCOc1ccc(cc1)c2cncc(n2)C(=O)Nc3cc(C)cc(C)c3	CHEMBL1277877	pIC50=8.7
Cc1cc(C)cc(NC(=O)c2oc(cc2)c3ccc(OC(F)(F)F)cc3)c1	CHEMBL1270797	pIC50=8.7
Cc1ccccc1CNC(=O)c2cncc(c2)c3ccc(Cl)cc3	CHEMBL1269882	pIC50=8.7
CCOc1ccc(cc1)c2cncc(n2)C(=O)Nc3cccc(C)c3	CHEMBL1277958	pIC50=9.0
