ON1C(=O)Nc2ncccc12	CHEMBL2152718	pIC50=6.0
OC1=NN(CCc2cccc(Oc3ccccc3)c2)C(=O)NC1=O	CHEMBL3613944	pIC50=6.62
OC1=CC(=NNC1=O)CCCc2ccccc2	CHEMBL2338788	pIC50=6.63
Brc1ccnc2NC(=O)C(=O)Nc12	CHEMBL3804953	pIC50=6.64
OC(=O)c1cc2occ(CCc3ccccc3)c2[nH]1	CHEMBL2375519	pIC50=6.66
OC1=NN(Cc2ccc3ccccc3c2)C(=O)NC1=O	CHEMBL3613920	pIC50=6.66
OC(=O)c1cc2occc2[nH]1	CHEMBL492591	pIC50=6.67
Clc1ccnc2NC(=O)C(=O)Nc12	CHEMBL3804851	pIC50=6.68
Cc1cccc2N(O)C(=O)Nc12	CHEMBL2152722	pIC50=6.7
OC1=COC(=CC1=O)CSc2ccc(Cl)cc2	CHEMBL2397748	pIC50=6.7
OC1=COC(=CC1=O)CSc2ccccc2	CHEMBL2158320	pIC50=6.7
OC1=NC(=NNC1=O)SCc2noc3ccccc23	CHEMBL3785419	pIC50=6.7
Cc1ccc2C=C(O)C(=O)Nc2c1	CHEMBL502372	pIC50=6.71
OC1=NN(CCc2cccc(O)c2)C(=O)NC1=O	CHEMBL3613942	pIC50=6.8
OC1=Cc2cc(Cl)ccc2NC1=O	CHEMBL463562	pIC50=6.81
CC1=CNC(=O)C(=C1)O	CHEMBL2338784	pIC50=6.85
OC1=Cc2ncccc2NC1=O	CHEMBL447057	pIC50=6.89
COc1ccc(CCN2N=C(O)C(=O)NC2=O)cc1	CHEMBL3613940	pIC50=6.92
COc1cccc(CCN2N=C(O)C(=O)NC2=O)c1	CHEMBL3613939	pIC50=6.92
OC1=NN(CCc2ccc(O)cc2)C(=O)NC1=O	CHEMBL3613943	pIC50=6.96
COc1cccc2N(O)C(=O)Nc12	CHEMBL2152724	pIC50=7.0
OC1=COC(=CC1=O)CSc2ccc(Cl)c(Cl)c2	CHEMBL2397821	pIC50=7.0
OC1=Cc2ccc(Cl)cc2NC1=O	CHEMBL452361	pIC50=7.0
OC1=NC(=NNC1=O)SCc2ccccc2	CHEMBL3786248	pIC50=7.0
OC1=NN(CCc2cccc(c2)C(F)(F)F)C(=O)NC1=O	CHEMBL3613936	pIC50=7.0
OC1=NN(CCc2cccc3ccccc23)C(=O)NC1=O	CHEMBL3613922	pIC50=7.0
OC1=NN(CCc2ccccc2Cl)C(=O)NC1=O	CHEMBL3613927	pIC50=7.0
ON1C(=O)Nc2c(F)cccc12	CHEMBL2152721	pIC50=7.0
Cc1ccc(CCN2N=C(O)C(=O)NC2=O)cc1	CHEMBL3613935	pIC50=7.05
OC1=NC(=NNC1=O)SCc2ccc(cc2)c3ccccc3	CHEMBL3785277	pIC50=7.05
OC1=NN(CCc2ccccc2O)C(=O)NC1=O	CHEMBL3613941	pIC50=7.05
Cc1ccccc1CCN2N=C(O)C(=O)NC2=O	CHEMBL3613933	pIC50=7.1
OC1=CN(CCc2ccccc2)C(=O)NC1=O	CHEMBL3613952	pIC50=7.1
OC1=NN(CCc2ccc(Oc3ccccc3)cc2)C(=O)NC1=O	CHEMBL3613945	pIC50=7.1
OC1=NN(CCc2ccc(cc2)C(F)(F)F)C(=O)NC1=O	CHEMBL3613937	pIC50=7.1
OC1=NN(CCc2ccccc2F)C(=O)NC1=O	CHEMBL3613930	pIC50=7.1
ON1C(=O)Nc2c(F)cc(F)cc12	CHEMBL2152734	pIC50=7.1
Cc1c(F)ccc2N(O)C(=O)Nc12	CHEMBL2152731	pIC50=7.16
Cc1cccc(CCN2N=C(O)C(=O)NC2=O)c1	CHEMBL3613934	pIC50=7.16
OC1=NC(=NNC1=O)Cc2ccccc2	CHEMBL3786396	pIC50=7.16
OC1=NN(CCc2ccccc2)C(=O)NC1=O	CHEMBL3613918	pIC50=7.16
OC1=NC(=NNC1=O)CCc2ccccc2	CHEMBL3786114	pIC50=7.22
OC1=NC(=NNC1=O)SCc2ccc3OCOc3c2	CHEMBL3785719	pIC50=7.22
OC1=NN(CCc2cccc(Cl)c2)C(=O)NC1=O	CHEMBL3613928	pIC50=7.22
OC1=NN(CCc2cccc(F)c2)C(=O)NC1=O	CHEMBL3613931	pIC50=7.22
OC1=NN(Cc2cccc3ccccc23)C(=O)NC1=O	CHEMBL3613921	pKi=7.22
OC1=NC(=NNC1=O)SCc2ccc(Cl)c(Cl)c2	CHEMBL3785180	pIC50=7.3
OC1=NC(=NNC1=O)SCc2ccc(I)cc2	CHEMBL3786099	pIC50=7.3
OC1=NN(CCc2ccc(F)cc2)C(=O)NC1=O	CHEMBL3613932	pIC50=7.3
OC1=NN(CCc2ccc(cc2)c3ccccc3)C(=O)NC1=O	CHEMBL3613946	pIC50=7.3
OC1=NN(CCc2ccccc2)C(=S)NC1=O	CHEMBL3613951	pIC50=7.3
OC1=Cc2ccccc2NC1=O	CHEMBL146227	pIC50=7.37
OC1=NN(CCc2ccc(Cl)cc2)C(=O)NC1=O	CHEMBL3613929	pIC50=7.4
Cc1cccc2C=C(O)C(=O)Nc12	CHEMBL451958	pIC50=7.42
OC1=Cc2ccc(F)cc2NC1=O	CHEMBL443399	pKd=7.42
OC1=Cc2cccc(Cl)c2NC1=O	CHEMBL446244	pIC50=7.48
OC1=Cc2cnccc2NC1=O	CHEMBL468496	pIC50=7.5
OC1=NC(=NNC1=O)SCc2ccc(Cl)cc2	CHEMBL3787162	pIC50=7.52
OC1=NC(=NNC1=O)SCc2ccc3cc(F)ccc3c2	CHEMBL3786955	pIC50=7.52
OC1=CC(=NNC1=O)CCc2ccc(cc2)C(F)(F)F	CHEMBL2338801	pIC50=7.57
CCc1cccc2NC(=O)C(=Cc12)O	CHEMBL464841	pKd=7.6
COc1cc(CCC2=NNC(=O)C(=C2)O)cc(OC)c1	CHEMBL2338805	pIC50=7.6
OC1=CC(=CNC1=O)CCc2ccccc2	CHEMBL2338785	pIC50=7.7
OC1=Cc2c(F)cccc2NC1=O	CHEMBL495186	pKd=7.75
OC1=Cc2cc(F)ccc2NC1=O	CHEMBL509045	pKd=7.77
Cc1cccc2NC(=O)C(=Cc12)O	CHEMBL495023	pIC50=7.8
OC1=CC(=NNC1=O)CCc2ccccc2C(F)(F)F	CHEMBL2338796	pIC50=7.85
CC(C1=NNC(=O)C(=C1)O)c2ccccc2	CHEMBL2338787	pIC50=7.96
COc1ccc(CCC2=NNC(=O)C(=C2)O)cc1	CHEMBL2338802	pIC50=8.0
OC1=CC(=NNC1=O)CCC2CCCCC2	CHEMBL2338789	pIC50=8.0
OC1=Cc2c(Cl)cccc2NC1=O	CHEMBL495187	pIC50=8.05
COc1cccc(CCC2=NNC(=O)C(=C2)O)c1	CHEMBL2338799	pIC50=8.06
OC1=CC(=NNC1=O)CCc2cccc(c2)C(F)(F)F	CHEMBL2338798	pIC50=8.08
OC1=Cc2c(Cl)c(F)ccc2NC1=O	CHEMBL467660	pIC50=8.09
OC1=Cc2cccnc2NC1=O	CHEMBL468495	pIC50=8.1
OC1=CC(=NNC1=O)CCc2ccc(F)cc2	CHEMBL2338800	pIC50=8.14
OC1=CC(=NNC1=O)CCc2cc(F)cc(F)c2	CHEMBL2338803	pIC50=8.16
OC1=CC(=NNC1=O)CCc2ccc(Cl)cc2	CHEMBL2338790	pIC50=8.2
OC1=CC(=NNC1=O)CCc2cccc(F)c2	CHEMBL2338797	pIC50=8.22
OC1=CC(=NNC1=O)COc2ccccc2	CHEMBL2338794	pIC50=8.29
OC1=CC(=NNC1=O)CCc2ccccc2F	CHEMBL2338795	pIC50=8.36
OC1=CC(=NNC1=O)CCc2ccccc2	CHEMBL2338786	pIC50=8.42
Oc1noc2cc(Cl)c(Cl)cc12	CHEMBL2375520	pIC50=8.51
OC1=Cc2c(Cl)c(F)cnc2NC1=O	CHEMBL467661	pIC50=8.52
OC1=Cc2cccc(F)c2NC1=O	CHEMBL494235	pIC50=8.52
