COC1=CC2=C(C=C1C(N)=O)C(OC1=CC=C(NC(=O)NC3CC3)C(Cl)=C1)=CC=N2	lenvatinib	pIC50=7.65757751	pIC50=7.65757751	pIC50=7.65757751
COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1	nintedanib	pIC50=6.98296642	pIC50=6.98296642	pIC50=6.98296642
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C	sunitinib	pIC50=7.22914791	pIC50=7.22914791	pIC50=7.22914791	pKi=8.7
CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib	pKd=7.85	pKd=7.85	pKd=7.85	pKd=7.85
CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1	sorafenib	pKd=7.51	pKd=7.51	pKd=7.51	pIC50=7.75
CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=CC=CC=N3)=C2)C=CC=C1	axitinib	pKd=8.24	pKd=8.24	pKd=8.24	pKd=8.24
CCN1CCC(CC1)Nc2ccc3NC(=O)C(=C(c4ccccc4F)c5nc(C)c[nH]5)c3c2	CHEMBL2087169	pIC50=7.54
CN(C)CCc1ccc(cc1)c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2	CHEMBL77782	pIC50=7.66
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC4CCN(C)CC4	CHEMBL24828	pIC50=7.66
Nc1c(c(O)nc2ccccc12)c3nc4ccc[nH]c4n3	CHEMBL204727	pIC50=7.66
C(Nc1ccc2[nH]nc(c3nc4cc(ccc4[nH]3)N5CCC(CC5)N6CCCCC6)c2c1)C7CCCCC7	CHEMBL379108	pIC50=7.68
CCN1CCC(CC1)Nc2ccc3NC(=O)C(=C(c4cccc(F)c4)c5nc(C)c[nH]5)c3c2	CHEMBL2087167	pIC50=7.7
CN(Cc1ccc(s1)c2[nH]nc3c2Cc4ccc(CN5CCN(C)CC5)cc34)C(=O)Nc6cccc(Cl)c6	CHEMBL378831	pIC50=7.7
CN1CCN(CC1)c2ccc(cc2)C(=O)Nc3cc(n[nH]3)c4ccc(CNC(=O)OCc5ccccc5)cc4	CHEMBL2063323	pIC50=7.7
CNc1cc2ccc(cc2cn1)C#CCOc3ccc(CN4CCNCC4)c(c3)C(F)(F)F	CHEMBL3355065	pIC50=7.7
COC(=O)C(=O)Nc1cccc2c1Cc3c2n[nH]c3c4csc(c4)C#CCOc5ccccc5	CHEMBL246166	pIC50=7.7
Cc1ccoc1C(=O)Nc2cccc(Oc3ccnc(c3)c4cc(c[nH]4)C(=O)N5CC[C@H](O)C5)c2	CHEMBL3656053	pIC50=7.7
Cl.COc1cc2c(Nc3cc(O)c(Cl)cc3F)ncnc2cc1OCC4CCN(C)CC4	CHEMBL2448066	pIC50=7.7
OC(=O)c1c[nH]c(c1)c2cc(Oc3ccc(NC(=O)Nc4ccc(Cl)c(c4)C(F)(F)F)cc3)ccn2	CHEMBL3660281	pIC50=7.7
CN(Cc1ccc(s1)c2[nH]nc3c2Cc4cc(CN5CCN(C)CC5)ccc34)C(=O)Nc6cccc(OC(F)(F)F)c6	CHEMBL379088	pIC50=7.72
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL388978	pIC50=7.72
NC(=O)C1=C(N)C(=O)C=C(Nc2ccccc2O)C1=O	CHEMBL2332119	pIC50=7.75
NCc1ccc(cc1)c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2	CHEMBL78018	pIC50=7.75
NC(=O)C1CCN(Cc2ccc(cc2)c3cc4nccc(Nc5ccc6[nH]ccc6c5)c4s3)CC1	CHEMBL431977	pIC50=7.77
CC(C)Cn1c2ccc(cc2c3c4CNC(=O)c4c5c(CCc6nn(C)cc56)c13)C7CCCCO7	CHEMBL1084337	pIC50=7.8
CC(C)OCc1ccc2c(c1)c3c4CNC(=O)c4c5c(Cc6ccccc56)c3n2CCCO	CHEMBL150894	pIC50=7.8
COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC	CHEMBL475251	pKd=7.8
COc1ccc(c2ccc(NC(=O)Nc3cccc(c3)C(F)(F)F)cc2)c4c(N)noc14	CHEMBL430090	pIC50=7.8
Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc(c3)c4cc(c[nH]4)C(=O)OCC(O)CO)cc2)c1	CHEMBL3660290	pIC50=7.8
COc1ccc(cc1)c2oc3ncnc(N)c3c2c4ccc(NC(=O)Nc5cc(ccc5F)C(F)(F)F)cc4	CHEMBL194911	pIC50=7.81
CCNC(=O)c1c[nH]c(c1)c2cc(Oc3cccc(c3)C(=O)Nc4occc4C)ccn2	CHEMBL3656037	pIC50=7.82
COC(=O)c1ccc2[nH]nc(c3nc4cc(ccc4[nH]3)N5CCC(CC5)N6CCCCC6)c2c1	CHEMBL380372	pIC50=7.82
Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)c(F)c3)c12	CHEMBL1254007	pIC50=7.82
O=C(Nc1cnc2ccccc2c1)c3ccccc3NCc4ccncc4	CHEMBL202011	pIC50=7.82
CC(C)(C)NC1=C(Nc2ccnc(Nc3ccc(cc3)c4ccncc4)n2)C(=O)C1=O	CHEMBL2205426	pKi=7.85
CN(Cc1ccc(s1)c2[nH]nc3c2Cc4ccc(CN5CCN(C)CC5)cc34)C(=O)Nc6cccc(c6)C(F)(F)F	CHEMBL213910	pIC50=7.85
CN1CCN(CC1)c2ccc3[nH]c(nc3n2)c4c(O)nc5ccccc5c4N	CHEMBL204524	pIC50=7.85
Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc(c3)c4cc(c[nH]4)C(=O)NO)cc2)c1	CHEMBL3660268	pIC50=7.89
Cc1cccc(NC(=O)c2cccc(Oc3ccnc(c3)c4cc(c[nH]4)C(=O)O)c2)c1	CHEMBL3639549	pIC50=7.89
NC(=O)c1c(NC(=O)NCCCN2CCOCC2)snc1c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3	CHEMBL3696075	pIC50=7.89
CC1(C)CNc2cc(NC(=O)c3cccnc3NCc4ccncc4)ccc12	CHEMBL572881	pKd=7.92
COc1cc(O)c2C(=O)O[C@@H](C)C\C=C/C(=O)[C@@H](O)[C@H](O)C\C=C\c2c1	CHEMBL1668411	pIC50=7.92
NC1=C(C(=O)Nc2ccccc12)c3nc4cc(ccc4[nH]3)N5CCOCC5	CHEMBL204426	pIC50=7.92
[2H]C([2H])([2H])Oc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC([2H])([2H])[2H]	CHEMBL3426917	pIC50=7.95
C(CN1CCCCC1)Oc2ccc(cc2)c3cnc4c(cnn4c3)c5ccncc5	CHEMBL478629	pIC50=7.96
C(Oc1ccc2c([nH]nc2c1)c3nc4cc(ccc4[nH]3)N5CCC(CC5)N6CCCCC6)c7ccccc7	CHEMBL209704	pIC50=7.96
CCN1CCC(CC1)Nc2ccc3NC(=O)C(=C(c4cc(F)cc(F)c4)c5nc(C)c[nH]5)c3c2	CHEMBL2087168	pIC50=7.96
Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3nsc(NC(=O)NCCCN4CCOCC4)c3C(=O)N)c1	CHEMBL3696073	pIC50=7.96
CN(C[C@@H]1COCCO1)S(=O)(=O)Nc2ccc3C=Cc4ncc(cc4C(=O)c3c2)c5cnn(C)c5	CHEMBL1822792	pIC50=8.0
CN1CCN(CC1)c2ccc3[nH]c(nc3c2)C4=C(N)c5ccccc5NC4=O	CHEMBL204427	pIC50=8.0
C[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C	CHEMBL377300	pKd=8.0
Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc(c3)c4cc(c[nH]4)C(=O)NCCCO)cc2)c1	CHEMBL3660270	pIC50=8.0
Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3nsc4ncnc(N)c34)c1	CHEMBL262433	pIC50=8.0
Fc1ccc2c([nH]nc2c1)c3nc4cc(ccc4[nH]3)N5CCC(CC5)N6CCCCC6	CHEMBL212054	pIC50=8.0
Nc1c(c(O)nc2ccccc12)c3nc4ccc([nH]c4n3)N5CCOCC5	CHEMBL380702	pIC50=8.0
O=C(NC1CC1)Nc2c[nH]nc2c3nc4cc(CN5CCOCC5)ccc4[nH]3	CHEMBL495727	pIC50=8.0
Clc1ccc(Nc2nnc(Cc3ccncc3)c4ccccc24)cc1	CHEMBL101253	pKd=8.02
CS(=O)(=O)Cc1cccc(Nc2nccc(Oc3ccc4c(cccc4c3)C(=O)Nc5ccccc5)n2)c1	CHEMBL3740721	pIC50=8.03
NC(=O)c1c(NC(=O)NCCCN2CCOCC2)snc1c3ccc(NC(=O)Nc4ccccc4)cc3	CHEMBL3696072	pIC50=8.05
Nc1ncnc2occ(c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3)c12	CHEMBL247228	pIC50=8.07
FC(F)(F)c1cccc(c1)C(=O)Nc2cccc(Oc3ccc4nccn4n3)c2	CHEMBL2206666	pIC50=8.08
CN(C1CCN(C)CC1)c2ccc3[nH]c(nc3c2)c4[nH]nc5ccccc45	CHEMBL212429	pIC50=8.1
CO\N=C(/C)\c1ccc2c(c1)c3c4CNC(=O)c4c5c(CCc6nn(C)cc56)c3n2CC(C)C	CHEMBL258015	pIC50=8.1
Cc1cc(C)c(\C=C\2/C(=O)Nc3ccccc23)[nH]1	CHEMBL276711	pIC50=8.1
Cl.CC1=[N+](C(=O)C(C=C1)C(=O)Nc2ccc(Oc3ccc4nc(NC(=O)C5CC5)cn4c3)c(F)c2)c6ccccc6	CHEMBL3765306	pIC50=8.11
Cc1cc(C(=O)Nc2cccc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)c2)n(C)n1	CHEMBL2348996	pIC50=8.13
Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)c1	CHEMBL223360	pKd=8.13
Nc1ncnc2occ(c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3)c12	CHEMBL273564	pIC50=8.15
C(CN1CCNCC1)NCc2ccc(cc2)c3cc4nccc(Nc5ccc6[nH]ccc6c5)c4s3	CHEMBL80540	pIC50=8.16
CCN1CCC(CC1)Nc2ccc3NC(=O)C(=C(c4ccc(Cl)cc4)c5ncc[nH]5)c3c2	CHEMBL2086760	pIC50=8.16
Cc1ccc(NC(=O)Nc2ccc(cc2)c3nsc(NC(=O)NCCCN4CCOCC4)c3C(=O)N)cc1	CHEMBL3696076	pIC50=8.16
Cc1cccc(NC(=O)Nc2ccc(cc2)c3cncc4c3c(N)nn4C)c1	CHEMBL404367	pIC50=8.16
Cl.CNC(=O)c1cccc2cc(Oc3ccnc4cc(OCC5(N)CC5)c(OC)cc34)ccc12	CHEMBL2180605	pIC50=8.16
COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc5ccc(F)cc5)cc3F)ccnc2cc1OCCCN6CCOCC6	CHEMBL1230609	pIC50=8.17
Cc1cc(C(=O)Nc2cccc(Oc3ccc4nc(NC(=O)C5CC5)cn4c3)c2)n(C)n1	CHEMBL2409779	pIC50=8.19
COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC	CHEMBL1289494	pIC50=8.2
CN1CCN(CC(=O)Nc2cccc3c2Cc4c3n[nH]c4c5csc(c5)C#CCOc6ccccc6)CC1	CHEMBL245377	pIC50=8.22
Cc1cccc(NC(=O)Nc2ccc(Oc3ccnc(c3)c4cc(c[nH]4)C(=O)N5CCC[C@@H](O)C5)cc2)c1	CHEMBL3656111	pIC50=8.22
Nc1c(c(O)nc2cnccc12)c3nc4ccc[nH]c4n3	CHEMBL204985	pIC50=8.22
OCCNCc1ccc(cc1)c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2	CHEMBL310740	pIC50=8.22
C[C@H](Nc1cncc(Cl)n1)c2cccc(NC(=O)c3cccc(C)c3)c2	CHEMBL504075	pKd=8.24
CNC(=O)c1ncc(C#Cc2cc(ccc2C)C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(c3)C(F)(F)F)n1C	CHEMBL1784637	pIC50=8.28
C(N1CCOCC1)c2ccc(cc2)c3cc4nccc(Nc5ccc6[nH]ccc6c5)c4s3	CHEMBL312482	pIC50=8.3
CCNC(=O)c1c[nH]c(c1)c2cc(Oc3ccc(NC(=O)Nc4cccc(C)c4)cc3)ccn2	CHEMBL3656114	pIC50=8.3
COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN5CCCC5	CHEMBL491473	pIC50=8.3
Cc1cc2cc(Nc3ccnc4cc(sc34)c5ccc(CN6CCOCC6)cc5)ccc2[nH]1	CHEMBL311111	pIC50=8.3
Cc1cc2cc(Nc3ccnc4cc(sc34)c5ccc(CNCCCO)cc5)ccc2[nH]1	CHEMBL78700	pIC50=8.3
Cc1cc2cc(Nc3ccnc4cc(sc34)c5ccc(CNCCOCCO)cc5)ccc2[nH]1	CHEMBL77342	pIC50=8.3
Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc(c3)c4cc(c[nH]4)C(=O)N5CCC(C5)C(=O)O)cc2)c1	CHEMBL3656104	pIC50=8.3
Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc(c3)c4cc(c[nH]4)C(=O)NCCC(=O)O)cc2F)c1	CHEMBL3656090	pIC50=8.3
Nc1n[nH]c2nccc(c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3)c12	CHEMBL255955	pIC50=8.3
CS(=O)(=O)Cc1cccc(Nc2nccc(Oc3ccc4c(cccc4c3)C(=O)Nc5cccnc5)n2)c1	CHEMBL3739732	pIC50=8.31
Cc1[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c(C)c1C(=O)NC[C@H](O)CN4CCOCC4	CHEMBL1721885	pKd=8.33
COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(CC(C)(C)O)c5)cc1	CHEMBL2004290	pIC50=8.37
CS(=O)(=O)Cc1cccc(Nc2nccc(Oc3ccc4c(cccc4c3)C(=O)Nc5cccc(F)c5)n2)c1	CHEMBL3740487	pIC50=8.38
C(CN(c1cc2ncnc(Nc3ccc4[nH]ccc4c3)c2s1)n5ccnc5)Cc6ccccc6	CHEMBL312818	pIC50=8.4
C(CN1CCOCC1)Oc2ccc(cc2)c3cnc4c(cnn4c3)c5cn[nH]c5	CHEMBL1271532	pIC50=8.4
CC(=O)NCCNCc1ccc(cc1)c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2	CHEMBL80809	pIC50=8.4
CC(C)(C)NC(=O)Nc1cccc2[nH]nc(c3nc4cc(ccc4[nH]3)N5CCC(CC5)N6CCCCC6)c12	CHEMBL379740	pIC50=8.4
CN(CCO)Cc1ccc(cc1)c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2	CHEMBL79206	pIC50=8.4
Cc1cc2cc(Nc3ccnc4cc(sc34)c5ccc(CNCCO)cc5)ccc2[nH]1	CHEMBL80164	pIC50=8.4
Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc(c3)c4cc(c[nH]4)C(=O)N5CCC(C5)C(=O)O)cc2F)c1	CHEMBL3656086	pIC50=8.4
Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc(c3)c4cc(c[nH]4)C(=O)NCCCC(=O)O)cc2)c1	CHEMBL3656099	pIC50=8.4
Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc(c3)c4cc(c[nH]4)C(=O)O)cc2)c1	CHEMBL3660294	pIC50=8.4
Nc1c(c(O)nc2cnccc12)c3nc4cc(ccc4[nH]3)N5CCOCC5	CHEMBL205108	pIC50=8.4
Nc1c(c(O)nc2cnccc12)c3nc4ccccc4[nH]3	CHEMBL383618	pIC50=8.4
OCCCNCc1ccc(cc1)c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2	CHEMBL77452	pIC50=8.4
OCCOCCNCc1ccc(cc1)c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2	CHEMBL421326	pIC50=8.4
Cc1cc(C(=O)Nc2cc(Oc3ccc4nc(NC(=O)C5CC5)nn4c3)ccc2F)n(C)n1	CHEMBL2409778	pIC50=8.44
Cc1cc(C(=O)Nc2cc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)ccc2C)n(C)n1	CHEMBL2180604	pIC50=8.5
C(Oc1ccc2[nH]nc(c3nc4cc(ccc4[nH]3)N5CCC(CC5)N6CCCCC6)c2c1)c7ccccc7	CHEMBL377346	pIC50=8.52
CC(C)Cn1c2ccc(Nc3ncccn3)cc2c4c5CNC(=O)c5c6c(CCc7nn(C)cc67)c14	CHEMBL2010872	pIC50=8.52
CN(CCO)Cc1ccc(cc1)c2cc3nccc(Nc4ccc5[nH]c(C)cc5c4)c3s2	CHEMBL81375	pIC50=8.52
CN1CCN(CC1)c2ccc3[nH]c(nc3c2)c4c(O)nc5cnccc5c4N	CHEMBL205893	pIC50=8.52
CN1CCN(CC1)c2ccc3nc([nH]c3c2)C4=C(N)c5c(F)cccc5NC4=O	CHEMBL522892	pIC50=8.52
COCCOc1cc2nccc(Nc3cc(O)c(Cl)cc3F)c2cc1OC	CHEMBL433936	pIC50=8.52
Cc1cc2cc(Nc3ccnc4cc(sc34)c5ccc(CNCCN6CCNCC6)cc5)ccc2[nH]1	CHEMBL79060	pIC50=8.52
Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc(c3)c4cc(c[nH]4)C(=O)NCCCC(=O)O)cc2F)c1	CHEMBL3656087	pIC50=8.52
Cc1cccc(NC(=O)Nc2ccc(Oc3ccnc(c3)c4cc(c[nH]4)C(=O)O)cc2F)c1	CHEMBL3656096	pIC50=8.52
Cc1cccc(NC(=O)Nc2ccc(cc2)c3cnc4c(ccn4c3N)c5cnn(C)c5)c1	CHEMBL453057	pIC50=8.52
Cc1cccc(NC(=O)Nc2ccc(cc2)c3nsc(NC(=O)NCCCN4CCOCC4)c3C(=O)N)c1	CHEMBL3696074	pIC50=8.52
Cn1ccnc1c2cc3c(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)ccnc3s2	CHEMBL3764474	pIC50=8.52
Clc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl	CHEMBL30327	pIC50=8.57
Nc1ncc(c2cnn(CCO)c2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13	CHEMBL1980297	pIC50=8.68
C[C@H](O)Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(C)c5)cc4	CHEMBL3646210	pIC50=8.69
CN1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5csc(c5)C#CCOc6ccccc6)c2)CC1	CHEMBL390156	pIC50=8.7
Cc1cccc(NC(=O)Nc2ccc(Oc3ccnc(c3)c4cc(c[nH]4)C(=O)O)cc2)c1	CHEMBL3660275	pIC50=8.7
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4ncnc(N)c34)c1	CHEMBL196363	pIC50=8.7
FC(F)(F)c1ccc2c([nH]nc2c1)c3nc4cc(ccc4[nH]3)N5CCC(CC5)N6CCCCC6	CHEMBL377230	pIC50=8.7
NC(=O)C1CCN(Cc2ccc(cc2)c3cc4ncnc(Nc5ccc6[nH]ccc6c5)c4s3)CC1	CHEMBL311109	pIC50=8.7
Oc1ccc(cc1O)c2cnn3cc(cnc23)c4ccc(OCCN5CCOCC5)cc4	CHEMBL1271641	pIC50=8.7
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cn[nH]c5)c1	CHEMBL1969102	pIC50=8.72
COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C[C@H](O)CO)c5)cc1	CHEMBL3646211	pIC50=8.84
CCN(CC)CCNC(=O)c1c(C)[nH]c2\C(=C\3/C(=O)Nc4ccc(F)cc34)\CCCc12	CHEMBL2180602	pIC50=8.89
CC(C)(C)NC(=O)Nc1ccc2[nH]nc(c3nc4cc(ccc4[nH]3)N5CCC(CC5)N6CCCCC6)c2c1	CHEMBL378024	pIC50=9.0
CCCNC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1Cl	CHEMBL406381	pIC50=9.0
COc1cc2nccc(Oc3ccc4c(cccc4c3)C(=O)Nc5ccc(Cl)cc5)c2cc1OC	CHEMBL429743	pIC50=9.3
