CCC(=O)NS(=O)(=O)C1=CC=C(C=C1)C1=C(C)ON=C1C1=CC=CC=C1	parecoxib	pIC50=8.30103016	pIC50=8.30103016	pIC50=8.30103016
OC(=O)COC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1	aceclofenac
NC1=CC(O)=C(C=C1)C(O)=O	aminosalicylic acid
Nc1ccc(O)c(c1)C(=O)O	mesalazine
COC1=CC=C2C=C(CCC(C)=O)C=CC2=C1	nabumetone
COC1=CC=C2C=C(C=CC2=C1)[C@H](C)C(O)=O	naproxen	pIC50=5.6	pIC50=5.6	pIC50=5.6
CC(C(O)=O)C1=CC=C(CC2CCCC2=O)C=C1	loxoprofen	pIC50=5.0	pIC50=5.0	pIC50=5.0
C[C@H](C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	dexketoprofen	pIC50=7.57	pIC50=7.57	pIC50=7.57	pIC50=6.64
CC(C(O)=O)C1=CC2=C(C=C1)C1=CC(Cl)=CC=C1N2	carprofen	pIC50=7.0	pIC50=7.0	pIC50=7.0	pIC50=6.99
CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(O)=O	etodolac	pIC50=5.7	pIC50=5.7	pIC50=5.7	pIC50=6.25
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1	lumiracoxib	pKi=6.49	pKi=6.49	pKi=6.49	pKi=6.5
OC(=O)C1=CC(=CC=C1O)N=NC1=CC(C(O)=O)=C(O)C=C1	olsalazine
CCCCC1C(=O)N(N(C1=O)C1=CC=C(O)C=C1)C1=CC=CC=C1	oxyphenbutazone
Cc1onc(c2ccccc2)c1c3ccc(cc3)S(=O)(=O)N	valdecoxib	pIC50=8.3	pIC50=8.3	pIC50=8.3	pIC50=6.18
CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1	tolmetin	pIC50=6.84	pIC50=6.84	pIC50=6.84
CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1	suprofen	pIC50=5.06	pIC50=5.06	pIC50=5.06
C[S+]([O-])c1ccc(\C=C/2\C(=C(CC(=O)O)c3cc(F)ccc23)C)cc1	sulindac	pIC50=4.25	pIC50=4.25	pIC50=4.25
CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1	rofecoxib	pIC50=6.51	pIC50=6.51	pIC50=6.51	pIC50=6.12
CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=CC=CC=C2S1(=O)=O	piroxicam	pIC50=4.7	pIC50=4.7	pIC50=4.7
OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1	oxaprozin	pIC50=4.44000006	pIC50=4.44000006	pIC50=4.44000006
Cc1cccc(Nc2ccccc2C(=O)O)c1C	mefenamic acid	pIC50=6.83	pIC50=6.83	pIC50=6.83	pIC50=6.22
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl	meclofenamic acid	pIC50=6.7	pIC50=6.7	pIC50=6.7	pIC50=6.16
OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1	ketorolac	pIC50=6.9	pIC50=6.9	pIC50=6.9	pIC50=6.37
CC(C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	ketoprofen	pIC50=6.62	pIC50=6.62	pIC50=6.62	pIC50=6.11
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3	indomethacin	pIC50=6.33	pIC50=6.33	pIC50=6.33	pIC50=6.02
CC(C)CC1=CC=C(C=C1)C(C)C(O)=O	ibuprofen	pIC50=5.14	pIC50=5.14	pIC50=5.14	pIC50=7.0
CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1	flurbiprofen	pIC50=8.39	pIC50=8.39	pIC50=8.39	pIC50=6.45
CC(C(O)=O)C1=CC=CC(OC2=CC=CC=C2)=C1	fenoprofen	pIC50=5.23	pIC50=5.23	pIC50=5.23
CC1=NC=C(C=C1)C1=C(C=C(Cl)C=N1)C1=CC=C(C=C1)S(C)(=O)=O	etoricoxib	pIC50=6.1	pIC50=6.1	pIC50=6.1	pIC50=6.09
OC(=O)c1cc(ccc1O)c2ccc(F)cc2F	diflunisal	pIC50=5.09	pIC50=5.09	pIC50=5.09
OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1	diclofenac	pIC50=7.7	pIC50=7.7	pIC50=7.7	pIC50=6.2
Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F	celecoxib	pIC50=7.24	pIC50=7.24	pIC50=7.24	pIC50=6.0
NC1=C(C=CC=C1CC(O)=O)C(=O)C1=CC=C(Br)C=C1	bromfenac	pIC50=8.4	pIC50=8.4	pIC50=8.4
OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O	balsalazide
NC(=O)CC1=C(N)C(=CC=C1)C(=O)C1=CC=CC=C1	nepafenac	pIC50=6.82	pIC50=6.82	pIC50=6.82
CC(=O)OC1=CC=CC=C1C(O)=O	acetylsalicylic acid	pIC50=5.12	pIC50=5.12	pIC50=5.12
CC(=O)NC1=CC=C(O)C=C1	paracetamol	pIC50=4.31	pIC50=4.31	pIC50=4.31
CC(C(O)=O)C1=CC=C(S1)C(=O)C1=CC=CC=C1	tiaprofenic acid	pIC50=7.1	pIC50=7.1	pIC50=7.1
OC(=O)c1ccccc1Nc2cccc(c2)C(F)(F)F	flufenamic acid	pIC50=6.93	pIC50=6.93	pIC50=6.93	pIC50=7.7
OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1	fenbufen
CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=CC=CC=C2S1(=O)=O	meloxicam	pIC50=6.8	pIC50=6.8	pIC50=6.8	pIC50=6.03
OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1	sulfasalazine
O[Bi]1OC(=O)C2=CC=CC=C2O1	bismuth subsalicylate
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O	acemetacin
OC(=O)CC1=CC=C(C=C1)C1=CC=CC=C1	felbinac
OCC(O)COC(=O)C1=C(NC2=CC=NC3=C(C=CC=C23)C(F)(F)F)C=CC=C1	floctafenine	pIC50=5.9586072	pIC50=5.9586072	pIC50=5.9586072
CC(C(=O)NC1=CC(C)=CC=N1)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	piketoprofen
CCCCCCNC(=O)Oc1cccc(c1)c2ccc(cc2[N+](=O)[O-])C(C)C(=O)O	CHEMBL3775430	pIC50=6.03
COc1ccccc1c2csc(Nc3ccc4OCOc4c3)n2	CHEMBL2023860	pIC50=6.03
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)CC2)c3cc(Cl)c(Cl)c(Cl)c3	CHEMBL278392	pIC50=6.03
CS(=O)(=O)c1ccc2c(Sc3ccc(F)cc3F)c(C#N)[nH]c2c1	CHEMBL184764	pIC50=6.03
Cc1ccc(cc1)c2nn(cc2C3N[C@@H](CS3)C(=O)O)c4ccccc4	CHEMBL1631308	pIC50=6.03
Cc1nc(cs1)c2nc(cn2c3ccc(cc3)S(=O)(=O)C)C(F)(F)F	CHEMBL326639	pIC50=6.03
Cc1oc(c2ccc(c(N)c2)S(=O)(=O)N)c(n1)C3CCCCC3	CHEMBL416589	pIC50=6.03
Clc1ccc2oc(nc2c1)N3CCC(CC3)C(=O)N[C@H]4CCC[C@@H]4OCc5ccccc5	CHEMBL2315853	pIC50=6.03
CC(C)Cc1cc2O[C@@H](C(=Cc2cc1Cl)C(=O)O)C(F)(F)F	CHEMBL1630252	pIC50=6.04
CCOC(=O)Cc1cc(c2ccc(cc2)S(=O)(=O)N)n(c1C)c3cccc(F)c3	CHEMBL3402596	pIC50=6.04
CCc1ccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)cc1	CHEMBL1080406	pIC50=6.04
CNc1cccc(c1)c2nc(cn2c3ccc(cc3)S(=O)(=O)C)C(F)(F)F	CHEMBL46667	pIC50=6.04
COc1ccc(cc1)c2csc(Nc3ccc4OCOc4c3)n2	CHEMBL2023862	pIC50=6.04
COc1cccc(c1)c2csc(Nc3ccc4OCOc4c3)n2	CHEMBL2023861	pIC50=6.04
C[C@H](C(=O)O)c1ccc(c(F)c1)c2ccccc2	CHEMBL435298	pIC50=6.04
C[S+]([O-])c1ccc(cc1)C2=C(Oc3ccc(F)cc3F)C(=O)C=C(C)O2	CHEMBL209883	pIC50=6.04
Clc1ccccc1c2csc(Nc3ccc4OCOc4c3)n2	CHEMBL2023859	pIC50=6.04
FC(F)(F)S(=O)(=O)Nc1ccncc1Nc2ccc(Br)cc2	CHEMBL1081855	pIC50=6.04
OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F	CHEMBL63323	pIC50=6.04
CC(=O)OCON=[N+]([O-])N1CCC[C@H]1COC(=O)Cc2ccc(cc2)c3cc(nn3c4ccc(cc4)S(=O)(=O)C)C(F)(F)F	CHEMBL568723	pIC50=6.05
CC(=O)OCON=[N+]([O-])N1CCC[C@H]1COC(=O)Cc2ccc(cc2)c3cc(nn3c4ccc(cc4)S(=O)(=O)N)C(F)(F)F	CHEMBL567160	pIC50=6.05
CCOC(=O)c1csc2nc(c3ccccc3)c(c4ccc(cc4)S(=O)(=O)C)n12	CHEMBL149936	pIC50=6.05
CCOc1ccc(cc1)c2cc(nn2c3ccc(c(CO)c3)S(=O)(=O)N)C(F)(F)F	CHEMBL146247	pIC50=6.05
COc1ccc(NC(=O)c2nc(c3ccccc3)n(n2)c4ccc(cc4)S(=O)(=O)N)cc1	CHEMBL3290201	pIC50=6.05
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)N(C2)c3ccccc3F)c4ccccc4	CHEMBL298762	pIC50=6.05
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)N(Cc3ccccc3)N=C2)c4ccccc4	CHEMBL155994	pIC50=6.05
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)OC2)c3ccc(F)c(F)c3	CHEMBL18264	pIC50=6.05
CS(=O)(=O)c1ccc(cc1)C2=C(Oc3ccc(Cl)cn3)C(=O)N(Cc4ccccc4)N=C2	CHEMBL347842	pIC50=6.05
CS(=O)(=O)c1ccc(cc1)c2c(nc3sccn23)c4ccccc4	CHEMBL146742	pIC50=6.05
CS(=O)(=O)c1ccc(cc1)c2cc(Cl)cnc2c3cccnc3	CHEMBL94938	pIC50=6.05
CS(=O)(=O)c1ccc(cc1)n2cc(nc2c3ccccc3Cl)C(F)(F)F	CHEMBL289169	pIC50=6.05
Cc1ccc(cc1)S(=O)(=O)n2cc(C(=O)C(=O)NCC(=O)NCC(=O)O)c3ccccc23	CHEMBL3576973	pIC50=6.05
Cc1ccc(cc1)c2cc(CO[N+](=O)[O-])nn2c3ccc(cc3)S(=O)(=O)N	CHEMBL3601276	pIC50=6.05
NS(=O)(=O)c1ccc(cc1)n2nc(CCCNC(=O)Nc3ccc(OC(F)(F)F)cc3)cc2c4ccccc4	CHEMBL1766288	pIC50=6.05
NS(=O)(=O)c1ccc(cc1)n2nc(cc2c3oc4ccccc4c3)C(F)(F)F	CHEMBL29562	pIC50=6.05
OC(=O)Cc1ccc(cc1)C2=CC(=O)N(C=C2)C(F)F	CHEMBL596692	pIC50=6.05
CC(C)CN(C)c1cc2O[C@@H](C(=Cc2cc1Cl)C(=O)O)C(F)(F)F	CHEMBL1630256	pIC50=6.06
COc1ccc(cc1)S2=NS(=O)(=O)c3cc(ccc23)[N+](=O)[O-]	CHEMBL1917100	pIC50=6.06
CS(=O)(=O)c1ccc(cc1)C2=C(CCC2)c3ccc(cc3)C(F)(F)F	CHEMBL109030	pIC50=6.06
Cc1cnc(Sc2cc3C(=O)CCc3cc2NS(=O)(=O)C)s1	CHEMBL43402	pIC50=6.06
CC1(C)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)Oc3ncccn3	CHEMBL326254	pIC50=6.07
CC1(O)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)c3ccc(Cl)c(Cl)c3	CHEMBL18251	pIC50=6.07
CCc1cc(OC(F)(F)F)cc2C=C([C@@H](Oc12)C(F)(F)F)C(=O)O	CHEMBL1290803	pIC50=6.07
CCc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F	CHEMBL28801	pIC50=6.07
CS(=O)(=O)c1ccc(cc1)c2cc(nc(NCc3ccc(I)cc3)n2)C(F)(F)F	CHEMBL3774612	pIC50=6.07
CSc1ccc(cc1)C2=C3c4ccccc4CCC3(O)OC2=O	CHEMBL295640	pIC50=6.07
OC(=O)Cc1ccccc1C2=CC(=O)N(C=C2)C(F)F	CHEMBL598972	pIC50=6.07
CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3nc(C)cs3	CHEMBL367864	pIC50=6.08
CSc1ccc(cc1)C2=C3C(CCc4ccccc34)OC2=O	CHEMBL42011	pIC50=6.08
Cc1ccncc1c2ncc(Cl)cc2c3ccc(cc3)S(=O)(=O)C	CHEMBL92233	pIC50=6.08
Clc1ccc(cc1)c2csc(Nc3ccc4OCOc4c3)n2	CHEMBL2023847	pIC50=6.08
FC(F)(F)c1ccc(cc1)\N=C\c2cn(Cc3ccccc3)c4ccccc24	CHEMBL1957882	pIC50=6.08
NS(=O)(=O)c1ccc(cc1)n2nc(CO)cc2c3ccc(Cl)cc3	CHEMBL282838	pIC50=6.08
COc1cc(OC)cc(\C=C\c2ccc(O)cc2)c1	CHEMBL83527	pIC50=6.09
COc1ccc(cc1)c2csc(Nc3ccc(C)cc3)n2	CHEMBL2023858	pIC50=6.09
CS(=O)(=O)Nc1cc2CCC(=O)c2cc1Sc3ccccn3	CHEMBL35992	pIC50=6.09
Oc1cc(O)cc(\C=C\c2cccc(F)c2)c1	CHEMBL490482	pIC50=6.09
Brc1ccc(cc1)S(=O)(=O)NC(=O)c2cccc(n2)C(=O)NS(=O)(=O)c3ccc(Br)cc3	CHEMBL1916969	pIC50=6.1
CC(C)CNc1cc(nc(n1)c2ccc(cc2)S(=O)(=O)C)C(F)(F)F	CHEMBL257483	pIC50=6.1
