Nc1cc(ccn1)c2cc3C(=O)NCCc3[nH]2	CHEMBL254597	pIC50=7.55
FCCC1CNC(=O)c2cc([nH]c12)c3ccncc3	CHEMBL447369	pIC50=8.7
NC(=O)c1cc([nH]c1c2ccccc2)c3nc(N)ncc3Br	CHEMBL1271443	pIC50=8.7
Nc1nccc(n1)c2cc3C(=O)NC[C@H](CCF)c3[nH]2	CHEMBL524266	pIC50=8.7
O=C1NCCc2[nH]c3c(ccc4cnccc34)c12	CHEMBL399492	pIC50=8.7
O[C@@H]1CC[C@H](CC1)Nc2cc(cc(F)n2)c3c[nH]c4ncccc34	CHEMBL2322683	pKi=8.77
N#Cc1cc(cc(NCc2ccccc2)n1)c3c[nH]c4ncccc34	CHEMBL2322674	pKi=8.85
Cc1ccsc1C\N=C/2\CC(=O)\C(=C/c3c[nH]c4ncccc34)\O2	CHEMBL3670787	pIC50=9.0
O=C1C\C(=N\c2ccc3[nH]ncc3c2)\O/C/1=C\c4c[nH]c5ncccc45	CHEMBL3670786	pIC50=9.0
Clc1cc(cc(NC2CCCCC2)n1)c3c[nH]c4ncccc34	CHEMBL2322677	pKi=9.05
Clc1cccc(c1)C(=O)Nc2n[nH]c3ccc(cc23)c4cn(Cc5ccccc5)nn4	CHEMBL1983595	pKi=9.1
O=C(Nc1n[nH]c2ccc(cc12)c3cn(Cc4ccccc4)nn3)c5ccccc5	CHEMBL1999931	pKi=9.3
CN(C)[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34	CHEMBL2062937	pKi=9.5
O=C1NC(=CC(=C1)c2c[nH]c3ncccc23)NC4CCCCC4	CHEMBL1958408	pKi=9.55
O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34	CHEMBL2062936	pKi=9.8
