CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib	pKd=6.21	pKd=6.21	pKd=6.21
COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1	nintedanib	pKd=7.03	pKd=7.03	pKd=7.03
CCNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ncc(F)c(N)n4	CHEMBL3690515	pIC50=7.53
CC(O)C#Cc1ccn2c(cnc2c1)c3cccc(NC(=O)NCC(F)(F)F)c3	CHEMBL3690383	pIC50=7.88
Nc1cnc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690526	pIC50=7.88
CC(=O)N1CC(C1)n2cc(cn2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690561	pIC50=7.89
CC1=CC(=O)N2N=C(SC2=N1)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3690392	pIC50=7.89
CN(C)c1ccnc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690482	pIC50=7.89
CN1C(=O)N(Cc2cnc(N)nc12)c3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C	CHEMBL459850	pIC50=7.89
Cc1nc(cc(n1)C(F)(F)F)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690586	pIC50=7.89
Cc1nc2cc(ccc2[nH]1)n3ncc(C(=O)c4cc5ccc(CN6CCC(O)CC6)cc5[nH]4)c3N	CHEMBL3676313	pIC50=7.89
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4cnc(nc4)N5CC(F)(F)C5	CHEMBL3690450	pIC50=7.89
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4nccc(n4)C(=O)N5CCOCC5	CHEMBL3690570	pIC50=7.89
COc1cncc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690453	pIC50=7.91
CC1CCC(C)N1Cc2ccc3[nH]c(cc3c2)C(=O)c4cnn(c4N)c5ccc6[nH]c(C)nc6c5	CHEMBL3681271	pIC50=7.92
CCN(CC)CCCCNc1ncc2CN(C(=O)N(Cc3cccc(NC(=O)C=C)c3)c2n1)c4c(Cl)c(OC)cc(OC)c4Cl	CHEMBL2216830	pIC50=7.92
CN1CCN(Cc2ccc3[nH]c(cc3c2)C(=O)c4cnn(c4N)c5ccc6[nH]c(C)nc6c5)CC1	CHEMBL3681291	pIC50=7.92
COc1cc(OC)c(Cl)c(c1F)c2ccc(C(=O)Nc3ncc(CN4CCNC(=O)C4)[nH]3)c5nccnc25	CHEMBL3653139	pIC50=7.92
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4nccc(n4)C#N	CHEMBL3694649	pIC50=7.92
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4nccc(n4)N5CCNCC5	CHEMBL3694662	pIC50=7.92
COc1nccc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690533	pIC50=7.94
CC(C)c1cc(N)nc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694712	pIC50=7.96
CN(C)CC#Cc1ccn2c(cnc2c1)c3cccc(NC(=O)NCC(F)(F)F)c3	CHEMBL3690379	pIC50=7.96
COc1cc(OC)c(Cl)c(c1F)c2ccc(C(=O)Nc3ncc(CN(C)C)[nH]3)c4nccnc24	CHEMBL3653137	pIC50=7.96
COc1cc(OC)c(F)c(c1F)c2ccc(C(=O)Nc3ccc(CN(C)CC(=O)N)cn3)c4nccnc24	CHEMBL3653120	pIC50=7.96
COc1cc(OC)c(F)c(c1F)c2ccc(C(=O)Nc3ncc(CN4CCOCC4)[nH]3)c5nccnc25	CHEMBL3653136	pIC50=7.96
Cc1cc(nc(n1)C(F)(F)F)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690585	pIC50=7.96
Cn1ccnc1\C=C\c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690540	pIC50=7.96
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ccc(cn4)C(=O)N5CCOCC5	CHEMBL3690572	pIC50=7.96
NC(=O)c1ccnc(c1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690559	pIC50=7.96
CNC(=O)c1ncc(C#Cc2cc(ccc2C)C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(c3)C(F)(F)F)n1C	CHEMBL1784637	pIC50=7.98
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)C#Cc4cccnc4	CHEMBL3690376	pIC50=7.98
NC(=O)c1sccc1c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690407	pIC50=7.99
COc1cc(OC)c(Cl)c(c1Cl)c2ccc(C(=O)Nc3ncc(CN(C)C)[nH]3)c4nccnc24	CHEMBL3653131	pIC50=8.0
COc1cc(OC)c(Cl)c(c1F)c2ccc(C(=O)Nc3ncc(CN(C)C)[nH]3)c4ncccc24	CHEMBL3653142	pIC50=8.0
COc1cc(OC)c(F)c(c1F)c2ccc(C(=O)Nc3ccc(CN4CCN(C)CC4)cn3)c5nccnc25	CHEMBL3674746	pIC50=8.0
COc1cc(OC)c(F)c(c1F)c2ccc(C(=O)Nc3ccc(CN4CCNCC4)cn3)c5nccnc25	CHEMBL3653134	pIC50=8.0
Cc1nc2cc(ccc2[nH]1)n3ncc(C(=O)c4cc5cc(CN6CCCC6)ccc5[nH]4)c3N	CHEMBL3681292	pIC50=8.0
Cc1nc2cc(ccc2[nH]1)n3ncc(C(=O)c4cc5cc(ccc5[nH]4)C(=O)N6CCOCC6)c3N	CHEMBL3681285	pIC50=8.0
O=C(NC1CC1)Nc2c[nH]nc2c3nc4cc(CN5CCOCC5)ccc4[nH]3	CHEMBL495727	pIC50=8.0
Cn1cncc1C#Cc2ccn3c(cnc3c2)c4cccc(NC(=O)N)c4	CHEMBL3694660	pIC50=8.02
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)C4=CC(=O)NC=N4	CHEMBL3690536	pIC50=8.02
COc1ccnc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694723	pIC50=8.03
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ccnc(n4)C(F)(F)F	CHEMBL3690549	pIC50=8.03
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4cnccn4	CHEMBL3690395	pIC50=8.03
OCc1cnc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694668	pIC50=8.03
Cc1cc(N)nc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690523	pIC50=8.04
Cc1cnc(cn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690456	pIC50=8.04
OCCN1CCN(CC1)c2ccnc(n2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3694663	pIC50=8.04
COc1cc(OC)c(Cl)c(c1F)c2ccc(C(=O)Nc3ncc(CN4CCN(C)CC4)[nH]3)c5nccnc25	CHEMBL3653138	pIC50=8.05
COc1cc(OC)c(F)c(c1F)c2ccc(C(=O)Nc3ncc(CN(C)C)[nH]3)c4ncccc24	CHEMBL3653141	pIC50=8.05
CC(C)n1ccnc1C#Cc2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694659	pIC50=8.06
COC(=O)c1cnc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694682	pIC50=8.07
COc1cnc(cn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690452	pIC50=8.08
Cc1nc2cc(ccc2[nH]1)n3ncc(C(=O)c4cc5cc(ccc5[nH]4)C(=O)O)c3N	CHEMBL3681295	pIC50=8.08
Cn1cncc1C#Cc2ccn3c(cnc3c2)c4cc(NC(=O)NCC(F)(F)F)ccc4F	CHEMBL3694716	pIC50=8.09
FC(F)(F)CNC(=O)Nc1cc(Cl)cc(c1)c2cnc3cc(ccn23)c4ncccn4	CHEMBL3694699	pIC50=8.09
OC(=O)c1cnc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694721	pIC50=8.09
CCN1CCC(CC1)c2ccc(cc2)C(=O)Nc3cc(Oc4cc5ccn(C(=O)NC)c5cc4OC)ccn3	CHEMBL3686864	pIC50=8.1
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ccnnc4	CHEMBL3690451	pIC50=8.1
FC(F)(F)CNC(=O)Nc1cncc(c1)c2cnc3cc(ccn23)c4nncs4	CHEMBL3690389	pIC50=8.1
CN1CCC(O)(CC1)C#Cc2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690428	pIC50=8.11
COc1cnc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690496	pIC50=8.11
OC\C=C\c1ccn2c(cnc2c1)c3cccc(NC(=O)NCC(F)(F)F)c3	CHEMBL3690556	pIC50=8.11
NC(=O)c1ccnc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690537	pIC50=8.12
FC(F)(F)CNC(=O)Nc1cncc(c1)c2cnc3cc(ccn23)c4cccnn4	CHEMBL3690385	pIC50=8.13
Nc1nc(cc(n1)C(F)(F)F)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690593	pIC50=8.13
Cn1ccnc1C#Cc2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694674	pIC50=8.14
COc1cc(OC)c(Cl)c(c1F)c2ccc(C(=O)Nc3ccc(CN4CCN(C)CC4)cn3)c5nccnc25	CHEMBL3653123	pIC50=8.16
COc1cc(OC)c(F)c(c1F)c2ccc(C(=O)Nc3ncc(CN4CCCC4)[nH]3)c5nccnc25	CHEMBL3653133	pIC50=8.16
Nc1nc(ncc1F)c2ccn3c(cnc3c2)c4cncc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690520	pIC50=8.16
Cc1nc2cc(ccc2[nH]1)n3ncc(C(=O)c4cc5ccc(OC6CCOCC6)cc5[nH]4)c3N	CHEMBL3676316	pIC50=8.17
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(\C=C\c4ccccn4)ccn23	CHEMBL3690538	pIC50=8.17
Cc1nc(cc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4)N5CCN(CCO)CC5	CHEMBL3690545	pIC50=8.19
Cc1ccc(nn1)c2ccn3c(cnc3c2)c4cncc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690386	pIC50=8.2
Cn1ccc(n1)C#Cc2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690449	pIC50=8.2
Nc1ccnc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690473	pIC50=8.2
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)C4=CNC(=O)C=N4	CHEMBL3690468	pIC50=8.21
CNC(=O)n1ccc2cc(Oc3ccnc(NC(=O)c4ccc(cc4)C5CCN(C)CC5)c3)c(OCCOC)cc12	CHEMBL3686883	pIC50=8.22
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4nnc(CCN5CCCC5)s4	CHEMBL3690589	pIC50=8.22
COc1ncc(cc1C)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690539	pIC50=8.23
Cc1cnc(nc1N)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690527	pIC50=8.23
NC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ncc(F)c(N)n4	CHEMBL3690519	pIC50=8.24
COCc1cc(N)nc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694713	pIC50=8.25
Cc1nc2cc(ccc2[nH]1)n3ncc(C(=O)c4cc5c(NC(CO)CO)cccc5[nH]4)c3N	CHEMBL3681282	pIC50=8.25
Nc1nc(ncc1F)c2ccn3c(cnc3c2)c4cc(Cl)cc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694692	pIC50=8.26
CNC(=O)n1ccc2cc(Oc3ccnc(NC(=O)c4ccc(cc4)C5CCN(CCO)CC5)c3)c(OCCOC)cc12	CHEMBL3686884	pIC50=8.27
C[C@H]1COCCN1Cc2ccc3cc([nH]c3c2)C(=O)c4cnn(c4N)c5ccc6[nH]c(C)nc6c5	CHEMBL3676328	pIC50=8.27
Cc1nc2cc(ccc2[nH]1)n3ncc(C(=O)c4cc5ccc(OCCN6CCOCC6)cc5[nH]4)c3N	CHEMBL3676315	pIC50=8.27
Nc1nc(ncc1CO)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694720	pIC50=8.27
CC(=O)c1cnc(nc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694684	pIC50=8.28
Nc1cnc(nc1N)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694702	pIC50=8.28
Fc1cc(NC(=O)NCC(F)(F)F)cc(c1)c2cnc3cc(ccn23)c4ccnc(n4)C(F)(F)F	CHEMBL3694647	pIC50=8.29
COc1cc(CCc2cc(Nc3ncnc4cc(ccc34)N5CCN6CCCCC6C5)n[nH]2)cc(OC)c1	CHEMBL3800526	pIC50=8.3
Cc1ncc(C#Cc2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4)n1C	CHEMBL3690427	pIC50=8.31
NC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4nncs4	CHEMBL3694661	pIC50=8.31
Nc1cnc(cn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690448	pIC50=8.31
Cc1nsc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3647346	pIC50=8.32
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4cnc(nc4)N5CCNC(=O)C5	CHEMBL3690457	pIC50=8.32
Nc1nc(ncc1F)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690465	pIC50=8.32
CCOC(=O)c1cnc(nc1N)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694679	pIC50=8.34
Cn1cc(cn1)C#Cc2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690419	pIC50=8.34
Cn1cncc1\C=C\c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690508	pIC50=8.34
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4nnc(NC5CC5)s4	CHEMBL3694646	pIC50=8.34
Cn1cncc1C#Cc2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690378	pIC50=8.35
Fc1cc(NC(=O)NCC(F)(F)F)cc(c1)c2cnc3cc(ccn23)c4ncccn4	CHEMBL3694694	pIC50=8.36
OCCn1ccnc1C#Cc2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3694655	pIC50=8.36
CCN(CC)CCc1nnc(s1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690594	pIC50=8.37
CC(C)(C)OC(=O)NCC1CCN(CC1)c2ccc(cn2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5	CHEMBL3694707	pIC50=8.38
CCOc1cccc(n1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4	CHEMBL3690462	pIC50=8.38
