NC(N)=N	guanidine
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1	sotalol	pKi=4.0	pKi=4.0	pKi=4.0
CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3	amiodarone	pIC50=5.0	pIC50=5.0	pIC50=5.0	pIC50=5.0
CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1	dofetilide	pKi=8.19	pKi=8.19	pKi=8.19	pIC50=7.31
NC1=CC=NC=C1	fampridine
NC1=CC=NC=C1N	amifampridine
CC(C)N1CCCC(CN2C(=O)c3nn(cc3N=C2c4ccccc4C)c5cccc(Cl)c5)C1	CHEMBL3218885	pIC50=5.0
CC(C)c1c(CNC2CCCC2)nc(c3ncccc3Cl)n1c4ccc(C)nc4	CHEMBL561396	pIC50=5.0
CC(C)c1cn(c2ccc(F)cc2)c3ccc(Cl)cc13	CHEMBL53089	pIC50=5.0
CC(C)c1onc(n1)N2CCN([C@H](C)C2)c3ncc(OCc4ccncc4C#N)cn3	CHEMBL2086690	pIC50=5.0
CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(C(=O)N)c(F)c3)n2	CHEMBL455427	pIC50=5.0
CC(CCSc1nnc(c2cccc3nc(C)ccc23)n1C)N4CCc5cc6nc(C)oc6c(Br)c5CC4	CHEMBL273165	pIC50=5.0
CC(N)COC1=C(C)C=CC=C1C	mexiletine	pIC50=5.0
CC(Oc1ccc(cc1C(=O)N2CCN(CC2)c3ccc(cc3)C(F)(F)F)S(=O)(=O)C)C(F)(F)F	CHEMBL1171499	pIC50=5.0
CC(Oc1ccc(cc1C(=O)N2CCN(CC2)c3ncc(cc3Cl)C(F)(F)F)S(=O)(=O)C)C(F)(F)F	CHEMBL1169701	pIC50=5.0
CC1(CN(C1)c2cc(COc3ccc(F)c(F)c3F)nc(n2)c4ccccn4)C#N	CHEMBL3740291	pIC50=5.0
CC1=Nc2c(F)cccc2C(=O)N1c3ccc(OCCCN4CCCC4)cc3	CHEMBL515150	pIC50=5.0
CC1=Nc2ccc(C)cc2C(=O)N1c3ccc(OCCCN4CCCC4)cc3	CHEMBL478406	pIC50=5.0
CC1=Nc2cccc(F)c2C(=O)N1c3ccc(OCCCN4CCCC4)cc3	CHEMBL477356	pIC50=5.0
CC1=Nc2cccc(c2C(=O)N1c3ccc(OCCCN4CCCC4)cc3)C(F)(F)F	CHEMBL476323	pIC50=5.0
CC1=Nc2ccccc2C(=O)N1c3ccc(OC4CCC(C4)N5CCCC5)cc3	CHEMBL484740	pIC50=5.0
CC1=Nc2ccccc2C(=O)N1c3ccc(OCCCN4CCCC4)cc3	CHEMBL476373	pIC50=5.0
CCC(NCCCC[C@@H](C[C@@H](OC)c1ccc(F)cc1)C(=O)NO)c2ccc(F)cc2	CHEMBL2012838	pIC50=5.0
CCCCN(CC)CC#CC#Cc1ccc(Cl)cc1	CHEMBL3093979	pIC50=5.0
CCCc1nc(Nc2cc(NCCN)nnc2C(=O)N)ccc1OC	CHEMBL3237579	pIC50=5.0
CCN1CCN[C@H](C1)C(=O)N2CCN(CC2)C(=O)Nc3ccc(Cl)c(Cl)c3	CHEMBL2036780	pIC50=5.0
CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC	nitrendipine	pIC50=5.0
CCOC(=O)Nc1ccccc1[C@H](N2CCN(Cc3ccccn3)CC2)c4ccc(cc4)C(=O)N(CC)CC	CHEMBL1939748	pIC50=5.0
CCOC[C@H](Oc1ncnc2c1cnn2c3ncccc3Cl)C(=O)Nc4ccc(Cl)cn4	CHEMBL3221495	pIC50=5.0
CN(C)C1CCC(CC1)c2ccc(OCCCN3CCCCC3)cc2	CHEMBL1822862	pKi=5.0
CN(C)CCC=C1c2ccccc2CCc3ccccc13	CHEMBL629	pIC50=5.0
CN(C)Cc1ccc2C[C@H](CCc2c1)N(C)C(=O)c3ccc(nc3)c4ccc(F)cc4	CHEMBL216314	pIC50=5.0
CN([C@@H]1CCN(Cc2ccc(cn2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4	CHEMBL2010848	pIC50=5.0
CN1C(=O)C=C(NCCN(CCO)CCCc2ccc(cc2)[N+](=O)[O-])N(C)C1=O	CHEMBL360861	pIC50=5.0
CN1CC=CC[C@@H](C1)c2ccc(Cl)c(Cl)c2	CHEMBL2321996	pIC50=5.0
CN1CCCCC(C1)c2ccc(Cl)c(Cl)c2	CHEMBL2326691	pIC50=5.0
CN1CCN(CC1)c2cccc3OC[C@H](Cc23)NC(=O)c4nn(nc4C)c5ccc(C)cc5C	CHEMBL2069404	pIC50=5.0
CN1C[C@@H]([C@H](C1)c2ccc(\C=C\C(=O)Nc3ccccc3N)cc2)C(=O)Nc4ccc(Cl)cc4	CHEMBL2177587	pIC50=5.0
CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2	CHEMBL41	pKi=5.0
CNCc1cc(OC)c(OC)cc1Oc2ccc(Cl)c(Cl)c2	CHEMBL487188	pIC50=5.0
COC(=O)N1CC(CC1C(=O)N2CCCN(CC2)C3CCC3)Oc4ccc(F)cc4	CHEMBL1823050	pIC50=5.0
COC(=O)N1CC(CC1C(=O)N2CCCN(CC2)C3CCC3)Oc4cccc(F)c4	CHEMBL1823049	pIC50=5.0
COCCCc1cc(C)c(C)c(CN(C2CC2)C(=O)[C@H]3CNCC[C@@]34OCc5cc(F)c(F)cc45)c1	CHEMBL1923119	pKi=5.0
CO[C@@H]1CN(CC2CCN(CC2)C(=O)CC(C)C)CC[C@@H]1NC(=O)c3cc(Cl)c(N)cc3OC	CHEMBL3758433	pIC50=5.0
CO[C@@H]1CN(CC2CCN(CC2)C(=O)OC)CC[C@@H]1NC(=O)c3cc(Cl)c(N)cc3OC	CHEMBL3759969	pIC50=5.0
COc1cc(CN2CCOCC2)ccc1Nc3ncc(Cl)c(n3)c4cnc5ccccn45	CHEMBL1809054	pIC50=5.0
COc1cc(OC2CCN(CC2)C(=O)C)ccc1Nc3ncc(Cl)c(n3)c4cnc5ccccn45	CHEMBL1809049	pIC50=5.0
COc1cc(cc(COCC2(CCN(C)CC2)c3ccc(F)cc3)n1)C(F)(F)F	CHEMBL2333632	pIC50=5.0
COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)N5CC6COCC(C5)N6	CHEMBL1809060	pIC50=5.0
COc1ccc(CC(=O)NCc2ccccc2c3ccccc3C(=O)NCCc4cccnc4)cc1	CHEMBL1671897	pIC50=5.0
COc1ccc(C[C@H](N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2)C(=O)O)cc1	CHEMBL2158776	pIC50=5.0
COc1ccc(cc1)C2(SCC(=N2)N)c3cccc(c3)c4cccnc4	CHEMBL2380455	pIC50=5.0
COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN(C)C)c(C)c4	CHEMBL3786272	pIC50=5.0
COc1ccc(cc1)c2oc(nn2)C(=O)N3CCC(CC3)Oc4ccc(CN5CC(O)C(C)(C)C5)cc4	CHEMBL3787462	pIC50=5.0
COc1ccc2C(=O)N(C(=Nc2c1)C)c3ccc(OCCCN4CCCC4)cc3	CHEMBL477201	pIC50=5.0
COc1ccc2C(=O)N(CC(CO)NCc3cccnc3)C(=C(c4ccccc4)c2c1)C#N	CHEMBL214553	pIC50=5.0
COc1ccc2N(CCN3CCC(CC3)NCc4cnc(C)c(c4)C#N)C(=O)C=Cc2n1	CHEMBL3290342	pIC50=5.0
COc1ccc2N=C(C)N(C(=O)c2c1)c3ccc(OCCCN4CCCC4)cc3	CHEMBL477991	pIC50=5.0
COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C[C@@H]3C(=O)O)C4CC(C4)c5cc(F)ccc5F)c2c1	CHEMBL2382345	pIC50=5.0
COc1cccc2C(=O)N(C(=Nc12)C)c3ccc(OCCCN4CCCC4)cc3	CHEMBL477152	pIC50=5.0
COc1cccc2C(=O)N(C)C(=Nc12)c3ccc(OC4CCN(CC4)C5CCC5)cc3	CHEMBL453892	pIC50=5.0
COc1cccc2N=C(C)N(C(=O)c12)c3ccc(OCCCN4CCCC4)cc3	CHEMBL477990	pIC50=5.0
COc1cccc2N=C(N(C)C(=O)c12)c3ccc(OC4CCN(CC4)C5CCC5)cc3	CHEMBL453653	pIC50=5.0
COc1ccccc1C[C@H](N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2)C(=O)O	CHEMBL2158775	pIC50=5.0
COc1cnc2C=CC(=O)N(CCN3CCC(CC3)c4nc5cc(C#N)c(C)cc5[nH]4)c2c1	CHEMBL3318997	pIC50=5.0
COc1cnc2C=CC(=O)N(CCN3CCN(CC3)c4nc5cc(ccc5[nH]4)C(F)(F)F)c2c1	CHEMBL3318984	pIC50=5.0
COc1cnc2N=CC(=O)N(CCN3CCC(CC3)c4nc5cc(Cl)c(C)cc5[nH]4)c2c1	CHEMBL3318995	pIC50=5.0
COc1ncc(cn1)c2ccccc2CCNC(=O)c3ccc(OCCC(F)(F)F)nc3	CHEMBL2147210	pIC50=5.0
COc1nccc2C(=O)N(C)C(=Nc12)c3ccc(OC4CCN(CC4)C5CCC5)cc3	CHEMBL507360	pIC50=5.0
COc1nn(cc1Nc2ncc(Cl)c(n2)c3cnn4ccccc34)C5CCN(CC5)C(=O)C	CHEMBL3823522	pIC50=5.0
C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N5CCOCC5	CHEMBL403774	pIC50=5.0
C[C@@H]([C@@H](O)c1ccc(O)cc1)N2CCC(O)(CC2)c3ccccc3	CHEMBL17350	pIC50=5.0
C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=CC(=O)NN=C3	CHEMBL1813065	pIC50=5.0
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(C)n[nH]c4C	CHEMBL1084826	pKi=5.0
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(O)ccnc4C(F)(F)F	CHEMBL1085783	pKi=5.0
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cc(C(=O)N)c(C)nc4C	CHEMBL1085782	pKi=5.0
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cc5cccnc5nc4C	CHEMBL263101	pKi=5.0
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccn[nH]4	CHEMBL1084581	pKi=5.0
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cn5CCSc5n4	CHEMBL1084384	pKi=5.0
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cn[nH]c4	CHEMBL1084582	pKi=5.0
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnc5OCOc5c4	CHEMBL1086074	pKi=5.0
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cncnc4	CHEMBL1085828	pKi=5.0
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnn(C)c4C	CHEMBL1084827	pKi=5.0
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4oc(C)nc4C	CHEMBL1083274	pKi=5.0
C[C@@H]1CCCN1CCc2ccc3ncccc3c2	CHEMBL1086032	pKi=5.0
C[C@@H]1CN(CCN1CCc2cccc3N(C)C(=O)COc23)c4cccc5nc(C)ccc45	CHEMBL511815	pKi=5.0
C[C@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)C	CHEMBL255968	pIC50=5.0
C[C@H]1CN(Cc2cccc(c2)c3cc(CNC(=O)c4cccc(CC5CCNCC5)c4)ccc3F)CCN1	CHEMBL521523	pIC50=5.0
Cc1c(CCN2CCNCC2)ccc3cc(F)ccc13	CHEMBL443090	pKi=5.0
Cc1c2COC(=O)c2ccc1[C@@H](O)CN3CCN(CC(O)c4cc(C5CC5)c(cn4)C#N)CC3	CHEMBL3612924	pIC50=5.0
Cc1c2COC(=O)c2ccc1[C@@H](O)CN3CCN(CC(O)c4cc(c(cn4)C#N)C(F)(F)F)CC3	CHEMBL3612927	pIC50=5.0
Cc1cc(CCN2CCN(CC2)C(=O)Cc3ccc(cc3)n4cnnn4)cc5COC(=O)c15	CHEMBL2441426	pIC50=5.0
Cc1cc(Cl)ccc1OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)C=C3C(F)(F)F)CC2	CHEMBL2207663	pIC50=5.0
Cc1cc(on1)[C@H]2C[C@H]3[C@@H](CF)SC(=N[C@]3(CO2)c4ccc(F)cc4F)N	CHEMBL3422245	pIC50=5.0
Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(sc3C)c4ccc(Cl)cc4)c2)cc1	CHEMBL1091664	pIC50=5.0
Cc1cccc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(=O)N)n1	CHEMBL3233058	pIC50=5.0
Cc1nc(Oc2ccc(cc2)C(=O)O)ccc1CN3CCC(CC3)N4[C@@H](CN(C5CCOCC5)C4=O)c6cccc(Cl)c6	CHEMBL2435853	pIC50=5.0
Cc1nc2ccccc2n1C3CC4CCC(C3)N4CCC5(CCN(CC5)C(=O)c6ccc(NS(=O)(=O)C)cc6Cl)c7cccc(F)c7	CHEMBL1784522	pIC50=5.0
Cc1ncc(cn1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCC(F)(F)F)nc4	CHEMBL2069424	pIC50=5.0
Cc1ncccc1C(=O)N2CC[C@H](NCc3cncn3Cc4ccc(cc4)C#N)C2=O	CHEMBL483805	pIC50=5.0
Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5cc(ccc5F)C(F)(F)F)n2C	CHEMBL1082111	pIC50=5.0
Cc1oc2cc3CCN(CCCSc4nnc(c5ccc(F)c(F)c5)n4C)CCc3cc2n1	CHEMBL269995	pIC50=5.0
Cl.CNCC[C@@H](Oc1cc(Cl)ccc1C#N)c2ccccc2	CHEMBL1762472	pIC50=5.0
Cl.Cl.CNCc1cc(cc(c1)C(F)(F)F)C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5NC(=O)CCc45)cc3C2	CHEMBL3764238	pIC50=5.0
Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)NS(=O)(=O)c4ccccc4)cc1Cl	CHEMBL2171033	pIC50=5.0
Clc1ccc(cc1Cl)C23CNCC2C3	CHEMBL528995	pIC50=5.0
Clc1cccc(OC([C@H]2CCNC2)c3ccccn3)c1Cl	CHEMBL563495	pIC50=5.0
Cn1cc(cn1)c2cnc3C=Cc4ccc(NS(=O)(=O)C)cc4C(=O)c3c2	CHEMBL1802602	pIC50=5.0
Cn1cc2c(OCC3CCN(CCc4ccc(cc4)C(=O)O)CC3)nc5ccccc5c2c1	CHEMBL2179674	pIC50=5.0
Cn1nc(NCC(=O)NC2CN(C2)[C@@H]3CC[C@@H](CC3)c4ccccc4)c5cc(ccc15)C(F)(F)F	CHEMBL1834785	pIC50=5.0
FC(F)(F)COC(=O)N1CCN(CC1)c2ncc(OCc3ccncc3C#N)cn2	CHEMBL2382414	pIC50=5.0
FC(F)(F)Oc1ccc(cc1)S(=O)(=O)Nc2ccc(cc2)[C@]34CNC[C@H]3C4	CHEMBL1224701	pIC50=5.0
FC(F)(F)Oc1cccc(c1)n2nnc3ccc(NCC4CCNCC4)nc23	CHEMBL1952113	pIC50=5.0
FC(F)(F)c1ccc(cc1)n2ccc(CN3CCC(CC(=O)N4CCCCC4C(=O)N5CCCC5)CC3)c2	CHEMBL559237	pIC50=5.0
FC(F)(F)c1ccc(cc1)n2ccc(CN3CCC(CC3)C(=O)NCCc4ccccn4)c2	CHEMBL560584	pIC50=5.0
Fc1ccc(CCN2CCC(F)(CC2)S(=O)(=O)c3ccc(cc3)N4CCC4)c(F)c1	CHEMBL176109	pKi=5.0
Fc1ccc(F)c(c1)C(=O)N2CCC(CCN3CC[C@H](C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F)CC2	CHEMBL1092921	pIC50=5.0
Fc1ccc(OC2CNC(C2)C(=O)N3CCCN(CC3)C4CCC4)cc1	CHEMBL1823044	pIC50=5.0
Fc1ccc(cc1)C(=O)Nc2ccc(cc2)c3oc(NCCCN4CCCCC4)nn3	CHEMBL2021948	pIC50=5.0
Fc1ccc(cc1C#N)N2CCN(CCN3Cc4ccccc4C3)C2=O	CHEMBL562176	pIC50=5.0
Fc1cccc(OC2CNC(C2)C(=O)N3CCCN(CC3)C4CCC4)c1	CHEMBL1823042	pIC50=5.0
Fc1ccccc1C(=O)Nc2ccc(c(F)c2)c3oc(NCCCN4CCCCC4)nn3	CHEMBL2023928	pIC50=5.0
N[C@H]1CCCC[C@H]1Nc2cnc(C(=O)N)c(Nc3cccc(c3)n4nccn4)n2	CHEMBL3416023	pIC50=5.0
N[C@H]1CCCC[C@H]1Nc2ncc(C(=O)N)c(Nc3cccc(c3)n4nccn4)n2	CHEMBL2177736	pIC50=5.0
N[C@H]1CN(CC[C@@H]1c2cc(F)c(F)cc2F)c3cnc4nccnc4n3.OC(=O)C(F)(F)F	CHEMBL231196	pIC50=5.0
Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CCNC4)CC3)c5cccs5	CHEMBL513568	pEC50=5.0
Nc1ccc(cn1)c2nnc([nH]2)C3CCN(Cc4ccc(cc4)c5nc6C=CNC(=O)c6cc5c7ccccc7)CC3	CHEMBL502393	pIC50=5.0
O=C(C1CC(CN1)Oc2ccc(cc2)C#N)N3CCCN(CC3)C4CCC4	CHEMBL1823046	pIC50=5.0
O=C(NC1CC1c2ccccc2)N3CCC(CC3)c4onc(n4)c5ccncc5	CHEMBL556487	pIC50=5.0
O=C(NCC1(CCCC1)N2CCOCC2)N3CCC(CC3)c4onc(n4)c5ccc6ccccc6n5	CHEMBL1822294	pIC50=5.0
O=C(NCCCCN1CCN(CC1)c2ccccc2)c3ccc4ncccc4c3	CHEMBL3358509	pIC50=5.0
O=C1Cc2cncn2Cc3ccc(C#N)c(Oc4ccc5cccc(N6CC[C@@H](N1)C6=O)c5c4)c3	CHEMBL524082	pIC50=5.0
O=C1Cc2cncn2Cc3ccc(C#N)c(Oc4ccc5cccc(N6CC[C@H](N1)C6=O)c5c4)c3	CHEMBL523080	pIC50=5.0
O=C1O[C@@]2(CC[C@H](CC2)c3nc4cc(ccc4[nH]3)C#N)CN1c5ccccc5	CHEMBL1290037	pIC50=5.0
OC(=O)COc1ccc(cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158830	pIC50=5.0
OC(=O)COc1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158829	pIC50=5.0
OC(=O)[C@@H]1CC[C@H](CC1)OC2CCN(CC2)c3ccc(cn3)c4nc5cc(ccc5[nH]4)C(F)(F)F	CHEMBL3342775	pKi=5.0
OC1CN(C[C@H](Oc2ncnc3c2cnn3c4ccccc4Cl)C(=O)Nc5ccc(Cl)cn5)C1	CHEMBL3221517	pIC50=5.0
OC1CN(C[C@H](Oc2ncnc3c2cnn3c4ccccc4Cl)C(=O)Nc5ccc(cn5)C#N)C1	CHEMBL3221519	pIC50=5.0
OCC(=O)NC1CCN(Cc2ccc(Oc3nc4ccccc4s3)cc2)CC1	CHEMBL479383	pIC50=5.0
OCCN1CC=CC[C@@H](C1)c2ccc(Cl)c(Cl)c2	CHEMBL2326693	pIC50=5.0
OCc1ccc(cn1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCC(F)(F)F)nc4	CHEMBL2069411	pIC50=5.0
O[C@@]1(CC[C@@H](CC1)N2CC(C2)NC(=O)CNC(=O)c3cccc(c3)C(F)(F)F)c4ccccc4	CHEMBL1829628	pIC50=5.0
O[C@@]1(CC[C@H](CC1)N2CC(C2)NC(=O)CNC(=O)c3cccc(c3)C(F)(F)F)c4ccc(F)nc4	CHEMBL2204270	pIC50=5.0
O[C@@]1(CC[C@H](CC1)N[C@H]2CCN(C2)C(=O)C3CCN(CC3)c4cccc(n4)C(F)(F)F)c5ccc(cn5)c6ncccn6	CHEMBL2029567	pIC50=5.0
O[C@H](CNC(=O)C1=CNC(=O)C=C1C(F)(F)F)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3	CHEMBL2207662	pIC50=5.0
O[C@H](COc1ccc2NC(=O)Cc2c1)CN3CCN(CC3)c4ccc(Cl)cc4	CHEMBL3688394	pKi=5.0
Oc1ccc(nc1)[C@@H]2CC[C@H](CC2)N3CC(C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F	CHEMBL1829624	pIC50=5.0
CC(=O)N1CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6	CHEMBL2069510	pIC50=5.01
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2	CHEMBL651	pIC50=5.01
CCc1n[nH]c(CC)c1Oc2cc(cc(c2)C#N)C#N	CHEMBL565829	pIC50=5.01
CN(C)c1ncc(cn1)[C@@H]2CC[C@H](CC2)N3CC(C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F	CHEMBL1829623	pIC50=5.01
CN1CCN(CC1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8cc[n+]([O-])cc8)cc5	CHEMBL507204	pIC50=5.01
COC(=O)Cc1ccc(CNC(=O)[C@@H]2CSCN2C(=O)CC(N)Cc3ccccc3F)cc1.OC(=O)C(F)(F)F	CHEMBL186482	pIC50=5.01
COC(=O)N[C@@H](C(=O)N1CCC[C@H]1C(=O)Nc2ccc(cc2)c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@H](NC(=O)OC)c5ccccc5)cc3)c6ccccc6	CHEMBL3125176	pEC50=5.01
COCC(F)(F)COCc1ccc(cc1)[C@@]2(O)CCNC[C@@H]2c3ccc(cc3C)c4ccccc4CCNC(=O)C	CHEMBL1957789	pIC50=5.01
COc1ccc(cc1)N2C=Nc3c(csc3C2=O)c4ccccc4C	CHEMBL3330823	pIC50=5.01
COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN5CCOCC5)c(OC)c4	CHEMBL3785102	pIC50=5.01
COc1ccc(cn1)c2cc(cnc2N)c3ccc(cc3)S(=O)(=O)N(C)C	CHEMBL2181492	pIC50=5.01
COc1ccc2cc(ccc2c1)c3cc(nn3[C@@H](C)c4ccc(cc4)C(=O)NCCC(=O)O)c5cc(Cl)ccc5Cl	CHEMBL2159347	pIC50=5.01
COc1cccc(c1)C(=O)N(C2CCN(CC2)c3cc(N)ccn3)c4ccccn4	CHEMBL493517	pKi=5.01
COc1ccnc(c1)c2ccc3OC(C)(C)C4(COC4)C5(COC(=N5)N)c3c2	CHEMBL3703266	pIC50=5.01
Cc1cccc(C)c1C(=O)N2CCC(CC2)N3CC[C@H](C3)N(Cc4ccccc4)C(=O)C5CC5	CHEMBL471623	pIC50=5.01
Cl.Cl.Cl.Cc1c(Cl)cccc1N2CCN(CCCNC(=O)c3nc(c4ccccc4)n(c3Cn5cncn5)c6ccccc6)CC2	CHEMBL3215850	pIC50=5.01
Clc1ccc(cc1)c2nc(COc3ccccc3C(=O)N4CCCC4)cs2	CHEMBL195235	pIC50=5.01
Cn1cnc(c1)c2ccc(N)c(NC(=O)c3ccc(nc3)N4CCC5(CCNC5)CC4)c2	CHEMBL472252	pKi=5.01
FC(F)(F)Oc1ccc(CNC(=O)C2N(CC(F)(F)c3ccccn3)C(=O)c4ccccc24)cc1	CHEMBL2164363	pIC50=5.01
OC(CN1CCC(O)(CC1)c2cccc(F)c2)c3ccc4NC(=O)CCc4c3	CHEMBL246819	pIC50=5.01
O[C@@]1(CCNC[C@@H]1c2cc(on2)c3c(Cl)cccc3Cl)c4ccc(F)c(F)c4	CHEMBL2017103	pKi=5.01
O[C@@]1(CC[C@H](CC1)N2CC(C2)NC(=O)CNC(=O)c3cccc(c3)C(F)(F)F)c4ccc(OC5CCC5)nc4	CHEMBL2204253	pIC50=5.01
CC(C)CN(CC(C)C)c1cc(cc(COCC2(CCN(C)CC2)c3ccc(F)cc3)n1)C(F)(F)F	CHEMBL2333622	pIC50=5.02
CC(C)N1CCC[C@H](CN2C(=Nc3cnc(Oc4ccc(F)c5cccnc45)cc3C2=O)C)C1	CHEMBL1957002	pIC50=5.02
CCNCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O	CHEMBL1235	pIC50=5.02
CCc1onc(n1)[C@@]2(N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(F)cn6)c7cnn(C)c7	CHEMBL3582320	pIC50=5.02
