C(C1=NCCN1)C1=CC=CC=C1	tolazoline	pKi=5.43	pKi=5.43	pKi=5.43
ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1	tizanidine
CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1	dipivefrine
ClC1=CC=CC(Cl)=C1NC1=NCCN1	clonidine	pEC50=6.7	pEC50=6.7	pEC50=6.7	pKi=7.25
BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12	brimonidine	pEC50=8.4685	pEC50=8.4685	pEC50=8.4685	pKi=7.08
C(C1=NCCN1)C1=CC=CC2=CC=CC=C12	naphazoline	pKi=6.38999987	pKi=6.38999987	pKi=6.38999987	pEC50=7.26
NC[C@H](O)c1ccc(O)c(O)c1	norepinephrine	pKi=7.2	pKi=7.2	pKi=7.2	pKi=7.2
C[C@H](c1c[nH]cn1)c2cccc(C)c2C	dexmedetomidine	pKi=8.15	pKi=8.15	pKi=8.15	pKi=7.51
CNC[C@H](O)C1=CC=C(O)C(O)=C1	epinephrine	pKi=6.44855	pKi=6.44855	pKi=6.44855
NC(=N)N\N=C\c1c(Cl)cccc1Cl	guanabenz	pKi=6.79317412	pKi=6.79317412	pKi=6.79317412
[H]C1(CCCC2=CC=CC=C12)C1=NCCN1	tetryzoline
N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O	droxidopa
NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1	apraclonidine	pKi=7.52	pKi=7.52	pKi=7.52	pKi=7.52
Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(O)c3	phentolamine	pKi=8.08	pKi=8.08	pKi=8.08	pKi=7.1
[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=C3C=CC=C1)C2	yohimbine	pKi=9.3	pKi=9.3	pKi=9.3	pIC50=7.44
CCOC(=O)[C@@](C)(N)CC1=CC(O)=C(O)C=C1	methyldopate
C[C@H](N)[C@H](O)c1ccc(O)c(O)c1	corbadrine
C[C@H](Oc1ccccc1CC=C)C2=NCCN2	CHEMBL1276140	pKi=7.15
CC(OC1=C(Cl)C=CC=C1Cl)C1=NCCN1	lofexidine	pKi=7.16
CN(C)C[C@H]1C[C@H]2[C@H](O1)c3ccccc3Cc4ccccc24	CHEMBL329566	pKi=7.16
C([C@H]1CCCC[C@@H]1NC2=NCCO2)c3ccccc3	CHEMBL50719	pKi=7.18
CO[C@@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256502	pKi=7.18
C1CN=C(N1)C(Oc2ccccc2)c3ccccc3	CHEMBL494885	pKi=7.19
CC(Oc1ccccc1c2cccnc2)C3=NCCN3	CHEMBL373535	pKi=7.19
CN1CCc2c(Cl)ccc(OCC=C(C)C)c2CC1	CHEMBL114166	pKi=7.19
C[C@H](Oc1ccccc1C2CC2)C3=NCCN3	CHEMBL1276220	pKi=7.2
O=C(C1CC1)c2ccc(OCCCc3c[nH]cn3)cc2	CHEMBL14638	pKi=7.2
CC(C)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4cncn4)(O3)c5ccc(Cl)cc5Cl)cc2	CHEMBL1306	pKi=7.22
CN(C)CCC=C1c2ccccc2CCc3ccccc13	amitriptyline	pIC50=7.23
CC1=CC(=C(O)C(C)=C1CC1=NCCN1)C(C)(C)C	oxymetazoline	pKi=7.23
CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(c3ccccc3)c4ccccc4	benzatropine	pKi=7.24
COC1=CN2C(=O)C(=C(C)N=C2C=C1OC)CCN3CCc4oc5ccccc5c4C3	CHEMBL162058	pIC50=7.24
C1CN=C(N1)C2COc3ccccc3O2	CHEMBL10316	pIC50=7.27
CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13	chlorpromazine	pKi=7.27
C1CC[C@@H]([C@H](C1)NC2=NCCO2)c3ccccc3	CHEMBL297228	pKi=7.28
CC(C)c1c(C)nc2ccccc2c1Nc3ccc(cc3)N4CCN(C)CC4	CHEMBL425622	pKi=7.28
CN1CCN(CC1(C)C)c2ccc(Nc3c(CO)cnc4ccc(F)cc34)cc2	CHEMBL424917	pKi=7.3
CC(Oc1ccccc1OC2CC2)C3=NCCN3	CHEMBL1956197	pEC50=7.32
CO\C(=C/1\C(C(=C(C)N=C1C)C(=O)NCCCN2CCC(CC2)c3ccccc3)c4ccc(Cl)c(c4)[N+](=O)[O-])\O	CHEMBL327931	pKi=7.32
Fc1ccc(SCCCN2CCN(CC2)c3ccccn3)cc1	CHEMBL1940419	pKi=7.35
NC(=O)C1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1	CHEMBL1909072	pIC50=7.35
CC1CN(CCN1C)c2ccc(Nc3c(CO)cnc4ccc(F)cc34)cc2	CHEMBL276417	pKi=7.37
[H]C12CN(C)CCN1C1=C(CC3=C2C=CC=C3)C=CC=C1	mianserin	pIC50=7.37
CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4	ebastine	pKi=7.4
CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C	CHEMBL1403281	pIC50=7.42
C[C@@H]1CN(CCN1C)c2ccc(Nc3c(CO)cnc4ccc(F)cc34)cc2	CHEMBL214661	pKi=7.42
CCN1CCN(CC1)c2ccc(Nc3c4ccccc4nc5ccccc35)cc2	CHEMBL217366	pKi=7.43
CN(C)CCCN1c2ccccc2Sc3ccccc13	promazine	pKi=7.43
COc1cc2OCC3C(CN4CCN(Cc5ccc6ncccc6c5)CC4)ON=C3c2cc1OC	CHEMBL90966	pKi=7.44
CCc1sc2ccc(Cl)c3CCN(C)Cc1c23	CHEMBL123448	pKi=7.46
CN1CCN(CC1)c2ccc(Nc3c(C)c(C)nc4ccccc34)cc2	CHEMBL267464	pKi=7.46
CN1CCN(CC1)c2ccc(Nc3c(Cc4ccccc4)c(C)nc5ccccc35)cc2	CHEMBL384925	pKi=7.46
CN1CCN(CC1)c2ccc(Nc3c(c(C)nc4ccccc34)c5ccccc5)cc2	CHEMBL216290	pKi=7.46
C1CCCC(CC1)NC2=NCCO2	CHEMBL305928	pKi=7.48
COc1ccccc1N2CCN(CC3COc4ccccc4O3)CC2	CHEMBL518592	pKi=7.48
C(C[C@H]1CCCC[C@@H]1NC2=NCCO2)Cc3ccccc3	CHEMBL50720	pKi=7.49
CN1CCC2C(C1)c3cccc4SCc5ccccc5N2c34	CHEMBL3217984	pKi=7.5
C[C@@H](Oc1ccccc1c2cccc(O)c2)C3=NCCN3	CHEMBL1278084	pKi=7.5
Fc1ccc(cc1)C(N2CCN(C\C=C\c3ccccc3)CC2)c4ccc(F)cc4	flunarizine	pKi=7.5
NCCCNC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3CC12	CHEMBL196344	pKi=7.5
CNCCC=C1c2ccccc2CCc3ccccc13	nortriptyline	pKi=7.52
COc1cc2OCC3C(CN4CCN(Cc5cnc6ccccc6c5)CC4)ON=C3c2cc1OC	CHEMBL91824	pKi=7.52
CN1CCN(CC1)c2ccc(Nc3c4ccccc4nc5ccccc35)cc2	CHEMBL106525	pKi=7.55
CN1CCc2c(Cl)ccc3oc(Br)c(C1)c23	CHEMBL123138	pKi=7.55
COC(=O)C1=CO[C@@H](C)[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@H]3C[C@H]12	CHEMBL122404	pKi=7.55
Cc1c(NC2=NCCN2)ccc3nccnc13	CHEMBL49137	pKi=7.55
CC1=C(CCN2CCc3oc4ccc(Cl)cc4c3C2)C(=O)N5C=CC=CC5=N1	CHEMBL165677	pIC50=7.56
CC(Oc1ccccc1C2CCCC2)C3=NCCN3	CHEMBL495096	pKi=7.57
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]3[C@H]1Cc4cn(C)c5cccc3c45	CHEMBL19215	pKi=7.57
Cl.COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12	CHEMBL537669	pIC50=7.57
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]4NCCc5cc(OC)c(OC)cc45	CHEMBL50588	pKi=7.59
CN(C)C[C@H]1CC2[C@H](O1)c3cc(Cl)ccc3Oc4ccccc24	CHEMBL435301	pKi=7.59
Cc1sc(C)c2C(=CCCc12)c3c[nH]cn3	CHEMBL284795	pKi=7.59
CCCc1ccccc1OC(C)C2=NCCN2	CHEMBL2431282	pEC50=7.6
CCc1c(C)nc2ccccc2c1Nc3ccc(cc3)N4CCN(C)CC4	CHEMBL425803	pKi=7.6
CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1	thioridazine	pKi=7.6
CCC[C@H]1CCCCC1NC2=NCCO2	CHEMBL310335	pKi=7.61
CCC[C@H]1CCCC[C@@H]1NC2=NCCO2	CHEMBL297752	pKi=7.61
[11CH3]Oc1ccc2cccc(N3CCN(CCCCN4N=CC(=O)N(C)C4=O)CC3)c2c1	CHEMBL199824	pKi=7.63
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C\c5ccc(F)cc5)CC4)ON=C3c2cc1OC	CHEMBL419894	pKi=7.64
OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1	fluphenazine	pKi=7.66
CN1CCc2c(Cl)ccc3sc(C=C)c(C1)c23	CHEMBL25467	pKi=7.68
C1CC12c3ccccc3[C@H]4C[C@@]24c5c[nH]cn5	CHEMBL1255617	pKi=7.69
CN1CCc2cccc(Cl)c2CC1	CHEMBL123349	pKi=7.7
COc1cc2CCN(Cc3ccc(OC)c4oc(cc34)c5ccccc5)Cc2cc1OC	CHEMBL392992	pKi=7.7
Fc1cccc(CCNC23OC4C5C6CC(C7C6C4C27)C35)c1	CHEMBL590615	pKi=7.7
C(C1CCc2ccccc2O1)N3CCN(Cc4ccccc4)CC3	CHEMBL179648	pKi=7.71
COc1cc2CCN(Cc3cnc(N)n4nc(nc34)c5occc5)Cc2cc1OC	CHEMBL246228	pKi=7.72
COc1cccc(c1)c2oc3c(OC)ccc(CN4CCc5cc(OC)c(OC)cc5C4)c3c2	CHEMBL246639	pKi=7.72
Cc1c(Nc2ncc[nH]2)ccc3OCCOc13	CHEMBL308570	pKi=7.72
Fc1ccc2CC(CC3CN=CN3)Cc2c1	CHEMBL90997	pKi=7.72
O[C@H]1CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3CC2[C@H]1C(=O)O	CHEMBL382310	pKi=7.72
CC(Oc1ccccc1c2cccc(O)c2)C3=NCCN3	CHEMBL374584	pKi=7.75
[H]C12CN(C)CCN1C1=C(CC3=C2C=CC=C3)C=CC=N1	mirtazapine	pKi=7.75
COc1cc2CCN(Cc3ccc(OC)c4oc(cc34)c5ccccc5C(F)(F)F)Cc2cc1OC	CHEMBL246852	pKi=7.75
CC(C)[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C	CHEMBL1385840	pIC50=7.77
CC(Oc1ccccc1c2cccc(F)c2)C3=NCCN3	CHEMBL223836	pKi=7.77
COc1cccc2[C@@H]3CN(CCN4C(=O)Nc5c(sc6cccnc56)C4=O)C[C@@H]3CCc12	CHEMBL40650	pKi=7.78
CC1CN(CCN1C)c2ccc(Nc3c(C)c(C)nc4ccc(F)cc34)cc2	CHEMBL216727	pKi=7.8
O=C(NCCN1CCCN(CC2COc3ccccc3O2)CC1)c4cccnc4	CHEMBL476774	pKi=7.8
CC1CN(CCN1C)c2ccc(Nc3c(C)c(C)nc4cc(C)ccc34)cc2	CHEMBL262901	pKi=7.82
COc1ccccc1N2CCN(CCCCN3N=CC(=O)N(C)C3=O)CC2	CHEMBL2413154	pKi=7.82
CC1=C(CCN2CCc3sc4ccccc4c3C2)C(=O)N5C=CC=CC5=N1	CHEMBL165181	pIC50=7.85
CCC1(Cc2ccc(F)cc2C1)c3c[nH]cn3	CHEMBL1255582	pKi=7.86
COc1cc2OCC3C(CN4CCN(Cc5csc6ccccc56)CC4)ON=C3c2cc1OC	CHEMBL93801	pKi=7.89
Cc1ccc(cc1)N(NC2=NCCN2)c3cccc(O)c3	CHEMBL194849	pKi=7.89
C1CN=C(NC(C2CC2)C3CC3)O1	CHEMBL289480	pKi=7.9
C1CC(NC2=NCCO2)c3ccccc3C1	CHEMBL75030	pKi=7.92
CN1C[C@@H](C=C2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O	ergotamine	pIC50=7.92
NCCc1ccccc1c2cccc(c2)C#N	CHEMBL3590203	pKi=7.93
COc1cc2CCN(Cc3ccc(OC)c4oc(cc34)c5ccccc5F)Cc2cc1OC	CHEMBL393597	pKi=7.96
C(Cc1ccccc1)[C@H]2CCCC[C@@H]2NC3=NCCO3	CHEMBL47313	pKi=7.97
C[C@H]1[C@H]2CC[C@H]3[C@@H]4CC=C5C[C@H](CC[C@]5(C)[C@H]4CC[C@]23CN1C)N(C)C	CHEMBL191703	pKi=7.98
CCO[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256565	pKi=7.99
CC(Oc1ccccc1Br)C2=NCCN2	CHEMBL1956192	pEC50=8.0
CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1	risperidone	pKi=8.0
CN1C[C@@H](C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O	dihydroergotamine	pIC50=8.0
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5ccc(F)cc5)\C)CC4)ON=C3c2cc1OC	CHEMBL318235	pKi=8.0
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL419316	pKi=8.0
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C\c5ccc(Cl)cc5)CC4)ON=C3c2cc1OC	CHEMBL101411	pKi=8.0
COc1cc2CCN(Cc3ccc(OC)c4oc(cc34)c5ccccn5)Cc2cc1OC	CHEMBL246229	pKi=8.02
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C/c5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL420830	pKi=8.02
COc1cc2OC[C@H]3[C@H](CN4CCN(Cc5ccc6ccccc6c5)CC4)ON=C3c2cc1OC	CHEMBL92860	pKi=8.02
COc1cc2CCN(Cc3ccc(OC)c4oc(cc34)C(=O)NCCN(C)C)Cc2cc1OC	CHEMBL428407	pKi=8.03
COc1cc2CCN(Cc3ccc(OC)c4oc(cc34)c5cccc(c5)C(=O)NCCN(C)C)Cc2cc1OC	CHEMBL392771	pKi=8.03
C[C@@H]1CN(CCN1C)c2ccc(Nc3c(CO)cnc4ccccc34)cc2	CHEMBL217542	pKi=8.04
O=C(NCCN1CCCN(C[C@@H]2COc3ccccc3O2)CC1)c4cccnc4Oc5ccccc5	CHEMBL488974	pKi=8.04
C[C@@H]1CN(CCN1C)c2ccc(Nc3c(C)c(CO)nc4ccccc34)cc2	CHEMBL217254	pKi=8.05
Cc1c(NC2=NCCN2)ccc3OCCNc13	CHEMBL298936	pKi=8.05
CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C1=O.CS(=O)(=O)O	CHEMBL1255837	pIC50=8.06
CC1CN(CCN1C)c2ccc(Nc3c(C)cnc4ccccc34)cc2	CHEMBL217202	pKi=8.07
CCc1c(C)nc2c(C)cccc2c1Nc3ccc(cc3)N4CCCN(C)CC4	CHEMBL386169	pKi=8.07
O[C@@H]1CC[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@H]3C[C@H]2[C@@H]1C(=O)NCCCNC(=O)[C@H]6[C@@H](O)CC[C@H]7CN8CCc9c([nH]c%10ccccc9%10)[C@@H]8CC67	CHEMBL371516	pKi=8.07
CC1CN(CCN1C)c2ccc(Nc3c(C)c(C)nc4cc(Cl)ccc34)cc2	CHEMBL1689423	pKi=8.08
COc1cc2NCC3C(CN4CCN(C\C(=C\c5ccccc5)\C)CC4)ON=C3c2cc1OC	CHEMBL390718	pKi=8.08
C[C@@H]1CN(CCN1C)c2ccc(Nc3c(C)c(C)nc4cc(C)ccc34)cc2	CHEMBL383978	pKi=8.08
CCOc1ccccc1OCCN[C@H](C)Cc2ccc(OC)c(c2)S(=O)(=O)N	CHEMBL836	pKi=8.1
COC(=O)CNC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3CC12	CHEMBL370005	pKi=8.1
COc1cc2CCN(Cc3ccc(OC)c4oc(cc34)c5occc5)Cc2cc1OC	CHEMBL392991	pKi=8.1
C[C@@H]1CN(CCN1C)c2ccc(Nc3c(C)c(C)nc4c(C)c(C)ccc34)cc2	CHEMBL217567	pKi=8.11
CC1CN(CCN1C)c2ccc(Nc3c(CO)c(C)nc4ccccc34)cc2	CHEMBL214996	pKi=8.13
CC1CN(CCN1C)c2ccc(Nc3c(C)c(C)nc4c(C)cccc34)cc2	CHEMBL217177	pKi=8.16
CC1=C(CCCN2CCc3oc4ccccc4c3C2)C(=O)N5C=CC=CC5=N1	CHEMBL165776	pIC50=8.18
CN1CCN(CC1(C)C)c2ccc(Nc3c(CO)cnc4ccccc34)cc2	CHEMBL268217	pKi=8.19
COc1cc2OCC3C(CN4CCN(C\C=C\c5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL93489	pKi=8.21
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C\c5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL328114	pKi=8.21
CN1CCN(CC1(C)C)c2ccc(Nc3c(CO)cnc4cc(Cl)ccc34)cc2	CHEMBL216464	pKi=8.23
CO[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256503	pKi=8.24
CN1CCN(CC1(C)C)c2ccc(Nc3c(C)cnc4ccccc34)cc2	CHEMBL218679	pKi=8.27
COC(=O)CNC(=O)CNC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3CC12	CHEMBL193458	pKi=8.28
COc1cc2OCC3C(CN4CCN(CCC(=O)c5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL328735	pKi=8.28
CC1CN(CCN1C)c2ccc(Nc3c(C)c(C)nc4c(C)c(C)ccc34)cc2	CHEMBL217203	pKi=8.3
CC1CN(CCN1C)c2ccc(Nc3c(c(C)nc4ccccc34)c5ccccc5)cc2	CHEMBL218457	pKi=8.3
COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12	CHEMBL123325	pKi=8.3
O=C(NCCN1CCCN(CC2COc3ccccc3O2)CC1)c4cccnc4Oc5ccccc5	CHEMBL477816	pKi=8.3
CC(O)c1c(C)nc2ccccc2c1Nc3ccc(cc3)N4CCN(C)C(C)C4	CHEMBL217253	pKi=8.31
COc1cc2OCC3C(CN4CCN(CC5=Cc6ccccc6C5)CC4)ON=C3c2cc1OC	CHEMBL328377	pKi=8.33
CN1CC2[C@H](CN3CCN(C\C=C\c4ccccc4)CC3)ON=C2c5ccccc15	CHEMBL1085510	pKi=8.35
[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@@H](CN2C)NC(=O)N(CC)CC	lisuride	pIC50=8.37
CCC1(Cc2ccccc2C1)c3cnc[nH]3	CHEMBL353972	pKi=8.38
