NNCCC1=CC=CC=C1	phenelzine	pIC50=7.7	pIC50=7.7	pIC50=7.7	pIC50=7.7
CC(=O)Nc1nc(CCc2ccc(NC=N)cc2)cs1	CHEMBL2326865	pIC50=6.14
CC(NC(=O)c1ccc(OC\C(=C/CN)\F)cc1)c2ccccc2	CHEMBL2029548	pIC50=7.4
C[C@H](NC(=O)c1ccc(OC\C(=C/CN)\F)cc1)c2ccccc2	CHEMBL2029550	pIC50=7.4
NC\C=C(\F)/COc1ccc(cc1)C(F)(F)F	CHEMBL2029539	pIC50=7.4
NNC[C@H](O)c1ccccc1	CHEMBL1766380	pIC50=7.4
CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)c(Cc3cccc(c3)S(=O)(=O)C)s1	CHEMBL2376162	pIC50=7.44
CC(C)C1N(CCc2nc[nH]c12)C(=O)OCc3cccnc3	CHEMBL3655077	pIC50=7.47
Cl.CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)c(s1)c3ccc(cc3)S(=O)(=O)C	CHEMBL2376169	pIC50=7.47
CN(Cc1cccc(c1)c2cnc(nc2)N3CCN(CC3)c4ncccc4C)C(=O)CN	CHEMBL3643997	pIC50=7.5
CN(Cc1cccc(c1)c2cnc(nc2)N3CCOCC3)C(=O)CN	CHEMBL3644004	pIC50=7.5
CN(Cc1cccc(c1)c2cnc(nc2)N3CCN(CC3)c4ncc(\C=C\C(=O)O)cc4Cl)C(=O)CN	CHEMBL3644001	pIC50=7.51
C[C@@H](NC(=O)c1ccc(OC\C(=C/CN)\F)cc1)c2ccccc2	CHEMBL2029549	pIC50=7.52
COc1ccc(cc1)C(O)CNN	CHEMBL1241119	pIC50=7.54
CN(Cc1cccc(c1)c2cnc(nc2)N3CCN(CC3)c4ccc(cc4Cl)C(=O)O)C(=O)CN	CHEMBL3644018	pIC50=7.6
CN(Cc1cccc(c1)c2cnc(nc2)N3CCC(CC3)c4cccnc4)C(=O)CN	CHEMBL3644014	pIC50=7.64
CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)c(Cc3ccc(cc3)S(=O)(=O)C)s1	CHEMBL2376161	pIC50=7.7
CN(Cc1cccc(c1)c2cnc(nc2)N3CCc4nc(C)sc4C3)C(=O)CN	CHEMBL3644012	pIC50=7.7
CSc1ccc(OC\C(=C/CN)\F)cc1	CHEMBL2029534	pIC50=7.7
Cl.CN1CCN(CC1)c2ccc(NC3=CC(=O)N(N=C3c4nc[nH]n4)c5ccc(Cl)cc5)cc2	CHEMBL3110302	pIC50=7.7
Cl.Cl.CCNc1cncc(N(C)CC)c1CN	CHEMBL537623	pIC50=7.7
NC\C(=C\F)\CCc1ccc(F)cc1	CHEMBL489079	pIC50=7.7
NC\C=C(\F)/COc1ccc(cc1)C(=O)NC2CCCC2	CHEMBL2029545	pIC50=7.7
O=C1NNC(=O)C=C1	CHEMBL1489913	pIC50=7.7
Cl.CC(=O)Nc1nc(CCc2ccc(Cc3c[nH]c(N)n3)cc2)cs1	CHEMBL2392121	pIC50=7.72
CN(Cc1cccc(c1)c2cnc(nc2)N3CCN(CC3)c4cccnc4C)C(=O)CN	CHEMBL3644010	pIC50=7.75
CN(Cc1cccc(c1)c2cnc(nc2)N3CCN(CC3)c4ncc(cc4Cl)C(=O)O)C(=O)CN	CHEMBL3644000	pIC50=7.75
CN(Cc1cccc(c1)c2cnc(nc2)N3CCS(=O)(=O)CC3)C(=O)CN	CHEMBL3644016	pIC50=7.77
CN(Cc1cccc(c1)c2cnc(nc2)N3Cc4cccnc4C3)C(=O)CN	CHEMBL3644011	pIC50=7.96
NC\C=C(\F)/COc1ccc(cc1)C(=O)NC2CCCCC2	CHEMBL2029546	pIC50=8.0
CN(Cc1cccc(c1)c2cnc(nc2)N3CCN(CC3)c4ncc(CCC(=O)O)cc4C)C(=O)CN	CHEMBL3644003	pIC50=8.03
CN(Cc1cccc(c1)c2cnc(nc2)N3CCC(=CC3)c4cccnc4)C(=O)CN	CHEMBL3644015	pIC50=8.16
CN(Cc1cccc(c1)c2cnc(nc2)N3CCN(CC3)c4ncc(\C=C\C(=O)O)cc4C)C(=O)CN	CHEMBL3643999	pIC50=8.16
