COc1ccc(cc1)n2nc(cc2c3ccccc3)C(=O)O	CHEMBL1402320	pKd=6.05
CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccc(Cl)c(Cl)c1)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@]4(C)CCC\C=C/CCC[C@@](C)(NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](Cc5ccccc5)NC(=O)[C@H](CC(=O)N)NC(=S)Nc6ccc(C7=C8C=CC(=O)C=C8Oc9cc(O)ccc79)c(c6)C(=O)O)[C@@H](C)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N4)C(=O)O	CHEMBL3236544	pKd=7.32
COc1ccc(CNC(=O)c2ccc(cc2)c3cc(nn3c4ccc(Cl)c(Cl)c4)C(=O)O)cc1	CHEMBL3422456	pKd=7.35
CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccc(Cl)c(Cl)c1)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@]4(C)CCC\C=C/CCC[C@@](C)(NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](Cc5ccccc5)NC(=O)[C@H](CC(=O)N)NC(=S)Nc6ccc(C7=C8C=CC(=O)C=C8Oc9cc(O)ccc79)c(c6)C(=O)O)[C@@H](C)O)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N4)C(=O)O	CHEMBL3236545	pKd=7.38
OC(=O)c1cc(c2ccc(CNC(=O)c3ccc(Br)cc3)cc2)n(n1)c4ccc(Cl)c(Cl)c4	CHEMBL3422458	pKd=7.46
NS(=O)(=O)c1ccc(cc1)C(=S)NCc2ccc(cc2)c3cc(nn3c4ccc(Cl)c(Cl)c4)C(=O)O	CHEMBL3422473	pKd=7.47
COc1ccc(CNC(=S)c2ccc(cc2)c3cc(nn3c4ccc(Cl)c(Cl)c4)C(=O)O)cc1	CHEMBL3422460	pKd=7.64
OC(=O)c1oc(cc1)c2ccc(CNC(=O)c3cccc(c3)c4cc(nn4c5ccc(Cl)c(Cl)c5)C(=O)O)cc2	CHEMBL3422466	pKd=7.66
OC(=O)c1cc(c2ccc(cc2)C(=S)NCc3ccccc3)n(n1)c4ccc(Cl)c(Cl)c4	CHEMBL3422459	pKd=7.75
OC(=O)c1cc(c2ccc(CNC(=S)c3ccc(Br)cc3)cc2)n(n1)c4ccc(Cl)c(Cl)c4	CHEMBL3422461	pKd=7.82
OC(=O)c1cc(c2ccc(CNC(=S)c3ccc(cc3)C4=NC(=O)ON4)cc2)n(n1)c5ccc(Cl)c(Cl)c5	CHEMBL3422475	pKd=8.03
OC(=O)c1oc(cc1)c2ccc(CNC(=O)c3ccc(cc3)c4cc(nn4c5ccc(Cl)c(Cl)c5)C(=O)O)c(Cl)c2	CHEMBL3422470	pKd=8.03
CC(=O)N(Cc1ccc(cc1)c2oc(cc2)C(=O)O)Cc3cccc(c3)c4cc(nn4c5ccc(Cl)c(Cl)c5)C(=O)O	CHEMBL3422465	pKd=8.09
OC(=O)c1oc(cc1)c2cccc(CNC(=S)c3ccc(cc3)c4cc(nn4c5ccc(Cl)c(Cl)c5)C(=O)O)c2	CHEMBL3422467	pKd=8.6
OC(=O)c1cc(c2ccc(CNC(=S)c3ccc(cc3)c4nnn[nH]4)cc2)n(n1)c5ccc(Cl)c(Cl)c5	CHEMBL3422474	pKd=8.66
OC(=O)c1oc(cc1)c2ccc(C(=S)NCc3ccc(cc3)c4ccnn4c5ccc(Cl)c(Cl)c5)c(Cl)c2	CHEMBL3422476	pKd=8.77
OC(=O)c1oc(cc1)c2ccc(CNC(=S)c3ccc(cc3)c4cc(nn4c5ccc(Cl)c(Cl)c5)C(=O)O)cc2	CHEMBL3422468	pKd=8.82
OC(=O)c1oc(cc1)c2ccc(cc2)C(=S)NCc3ccc(cc3)c4cc(nn4c5ccc(Cl)c(Cl)c5)C(=O)O	CHEMBL3422469	pKd=9.26
OC(=O)c1oc(cc1)c2ccc3C(=S)N(Cc4ccc(cc4)c5cc(nn5c6ccc(Cl)c(Cl)c6)C(=O)O)CCc3c2	CHEMBL3422472	pKd=9.27
OC(=O)c1oc(cc1)c2ccc(CNC(=S)c3ccc(cc3)c4cc(nn4c5ccc(Cl)c(Cl)c5)C(=O)O)c(Cl)c2	CHEMBL3422471	pKd=9.32
