[H][C@]12CC(=O)N[C@]([H])(C(C)C)C(=O)N[C@]([H])(CSSCC\C=C\1)C(=O)N\C(=C/C)C(=O)N[C@@]([H])(C(C)C)C(=O)O2	romidepsin	pIC50=7.4
CCCCN(Cc1ccc(cc1)C(=O)NO)C(=O)Nc2ccccc2	CHEMBL2179618	pIC50=6.02
C[C@H](\C=C(/C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C	CHEMBL99	pIC50=6.02
FC(F)(F)C(=O)CCCCCCc1onc(n1)c2cccs2	CHEMBL3585988	pIC50=6.02
ONC(=O)CCCCCCC(=O)NO	CHEMBL320497	pKi=6.02
ONC(=O)\C=C\c1ccc(cc1)C(F)(F)F	CHEMBL3394285	pIC50=6.02
CNc1ccc(cc1)C(=O)NO	CHEMBL3415449	pIC50=6.03
Nc1cccc(c1)c2onc(c2)C(=O)NCCCCCCC(=O)NO	CHEMBL468595	pIC50=6.03
ONC(=O)CCCCCCC(=O)Nc1cccc(c1)c2cnnn2c3ccccc3	CHEMBL520056	pIC50=6.03
ONC(=O)c1cc2CC(CCc2cc1F)NS(=O)(=O)c3cccc(Cl)c3	CHEMBL3694321	pIC50=6.03
ONC(=O)c1ccc2CCC(Cc2c1)Nc3ccc(cn3)[N+](=O)[O-]	CHEMBL3694285	pIC50=6.03
CCCCS(=O)(=O)NC1CCc2ccc(cc2C1)C(=O)NO	CHEMBL3694311	pIC50=6.04
COc1ccc(NC(=O)[C@H](Cc2ccc(OCC(=O)NO)cc2)NCCCc3ccccc3)cc1	CHEMBL1808382	pIC50=6.04
C[C@@]12Nc3ccccc3[C@]1(O)CCN2Cc4ccc(\C=C\C(=O)NO)cc4	CHEMBL3526395	pIC50=6.04
Cl.CC(C)C[C@H](N)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2	CHEMBL1835353	pIC50=6.04
OC1=CC=CN(CCCCCn2cc(nn2)c3ccccc3)C1=S	CHEMBL3110287	pIC50=6.04
SCCCCCCC(=O)NCc1cccc(OCc2ccccc2)c1	CHEMBL3356934	pIC50=6.04
CCC1=Nc2cc(\C=C\C(=O)NO)ccc2C(=O)N1CCc3ccc(F)cc3	CHEMBL2425966	pIC50=6.05
Cn1cccc1C(=O)N2CCCc3cc(ccc3C2)C(=O)NO	CHEMBL2431912	pIC50=6.05
OCCn1c(nc2cc(\C=C\C(=O)NO)ccc12)c3ccncc3	CHEMBL3645373	pIC50=6.05
ONC(=O)Cc1ccc(NS(=O)(=O)c2ccccc2)cc1	CHEMBL319248	pIC50=6.05
ONC(=O)c1ccc2CCC(Cc2c1)Nc3nccc(n3)c4ccc(Cl)nc4	CHEMBL3694302	pIC50=6.05
CC(C)(C)OC(=O)N[C@@H](CO)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2	CHEMBL1835410	pIC50=6.06
CC(C)C[C@H]1CC(=O)NC(C)(C)C(=O)N[C@@H](CCCCCC(=O)O)C(=O)N[C@@H](Cc2cccc3ccccc23)C(=O)N1	CHEMBL569446	pIC50=6.06
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)Cc4ccc(cc4)c5cn(CCCCC(=O)NO)nn5)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC	CHEMBL3736241	pIC50=6.06
ONC(=O)[C@@H]1[C@@H]([C@H]1c2ccc3nccnc3c2)c4ccccc4	CHEMBL3110001	pIC50=6.06
CC(C)Cc1nc2cc(\C=C\C(=O)NO)ccc2n1Cc3ccccc3	CHEMBL3648269	pIC50=6.07
CN1CCc2c(C1)c3ccccc3n2Cc4ccc(cc4)C(=O)NO	CHEMBL2018302	pIC50=6.07
COc1ccc(cc1)c2noc(CNCc3ccc(cc3)C(=O)NO)n2	CHEMBL3421749	pIC50=6.07
ONC(=O)c1ccc(NC2CCN(C2)c3ccc(Cl)cc3)cc1	CHEMBL3415625	pIC50=6.07
ONC(=O)c1ccc2CCC(Cc2c1)NS(=O)(=O)c3ccc(Cl)cc3	CHEMBL3694312	pIC50=6.07
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)Cc3ccc(cc3)c4cn(CCCCCCCCCC(=O)NO)nn4)[C@@](C)(C[C@@H](C)C5=NCCN6[C@H]([C@H]5C)[C@]1(C)OC6=O)OC	CHEMBL1214763	pIC50=6.08
Cc1ccc(cc1C)C(=O)NOCCCCCC(=O)NO	CHEMBL2312167	pIC50=6.08
Cl.N[C@@H](Cc1ccccc1)C(=O)N2CC3(C[C@H]2C(=O)NCCCCCC(=O)NO)SCCS3	CHEMBL1835417	pIC50=6.08
ONC(=O)[C@@H]1[C@@H]([C@H]1c2cc(Cl)c3OCCOc3c2)c4ccccc4	CHEMBL3109980	pIC50=6.08
ONC(=O)\C=C\c1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1	CHEMBL552465	pIC50=6.08
ONC(=O)c1ccc2OCC(Cc2c1)Nc3nccc(n3)c4cccnc4	CHEMBL3694334	pIC50=6.08
ONC(=O)c1cccc(NC2CCCCC2)c1	CHEMBL3800299	pIC50=6.08
[O-][N+](=O)c1cccc(c1)c2noc(CCCCCCC(=O)C(F)(F)F)n2	CHEMBL3585987	pIC50=6.08
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@](O)(CN(C)Cc3ccc(cc3)c4cn(CCCCCCC(=O)NO)nn4)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]5O[C@H](C)C[C@@H]([C@H]5O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	CHEMBL3735753	pIC50=6.09
CN(C)CCCNC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4nc(NC(=O)CCCNC(=O)c5cc(NC(=O)c6cc(NC(=O)c7cc(NC(=O)c8nc(NC(=O)CCNC(=O)CCNC(=O)c9ccc(NC(=O)CCCCCCC(=O)NO)cc9)cn8C)cn7C)cn6C)cn5C)cn4C)cn3C)cn2C)cn1C	CHEMBL2396901	pIC50=6.09
COc1ccc(OC)c(c1)C2=CC=CC=C(O)C2=O	CHEMBL2408240	pKi=6.09
CC(C)(C)OC(=O)NCCC[C@@H]1NC(=O)[C@]2(C)CSC(=N2)c3csc(CNC(=O)C[C@H](OC1=O)\C=C\CCS)n3	CHEMBL3317817	pIC50=6.1
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)Cc3ccc(cc3)c4cn(CCCCCC(=O)NO)nn4)[C@@](C)(C[C@@H](C)C5=NCCN6[C@H]([C@H]5C)[C@]1(C)OC6=O)OC	CHEMBL1214759	pIC50=6.1
CN(C)c1cccc(c1)c2ccnc(NC3CCc4ccc(cc4C3)C(=O)NO)n2	CHEMBL3694290	pIC50=6.1
COc1cc(ccc1OCc2ccccc2)c3nc4cc(\C=C\C(=O)NO)ccc4n3CCCO	CHEMBL3648314	pIC50=6.1
Cc1ccc(cc1)c2ccc(CN3C=CC=C(O)C3=S)cc2	CHEMBL2337869	pIC50=6.1
Cc1ccc(cc1)c2ccnc(NC3CCc4ccc(cc4C3)C(=O)NO)n2	CHEMBL3694288	pIC50=6.1
ON(CCCCCC(C(=O)Nc1ccc2ncccc2c1)C(=O)Nc3ccc4ncccc4c3)C=O	CHEMBL336935	pIC50=6.1
ONC(=O)CCCCCCC(=O)Nc1ccc(cc1)c2cn(Cc3ccc(F)cc3)nn2	CHEMBL483494	pIC50=6.1
ONC(=O)CCCCCCC(=O)Nc1ccc(cc1)c2cnnn2Cc3ccccc3	CHEMBL519746	pIC50=6.1
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@](O)(CN(C)Cc3ccc(cc3)c4cn(CCCCCC(=O)NO)nn4)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]5O[C@H](C)C[C@@H]([C@H]5O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	CHEMBL3735122	pIC50=6.11
ON(CCCCCCCC(=O)Nc1ccc2ccccc2c1)C=O	CHEMBL141909	pIC50=6.11
ONC(=O)CCCCCNC(=O)C=C1c2ccccc2c3ccccc13	CHEMBL485514	pIC50=6.11
CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)N2CC3(C[C@H]2C(=O)NCCCCCC(=O)NO)SCCS3	CHEMBL1835412	pIC50=6.12
CCC1=Nc2cc(F)c(\C=C\C(=O)NO)cc2C(=O)N1CCc3ccccc3	CHEMBL2425968	pIC50=6.12
FC(F)(F)C(=O)CCCCCCc1onc(n1)c2ccccc2	CHEMBL3585980	pIC50=6.12
ONC(=O)COc1ccc2C[C@H](N(Cc2c1)C(=O)CCc3ccccc3)C(=O)Nc4ccccc4	CHEMBL1797978	pIC50=6.12
ONC(=O)\C=C\c1ccccc1	CHEMBL154574	pIC50=6.12
ONC(=O)c1ccc(NC2CCN(Cc3ccccc3)C2=O)cc1	CHEMBL3415451	pIC50=6.12
CCC(=O)CCCCC[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)CCN(CC(C)C)C(=O)CN(CCc2c[nH]c3ccccc23)C1=O	CHEMBL2170019	pIC50=6.13
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@](O)(CN(C)C)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)Cc4ccc(cc4)c5cn(CCCCCCC(=O)NO)nn5)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	CHEMBL3735441	pIC50=6.13
CN1CC(Cc2cc(ccc12)C(=O)NO)NS(=O)(=O)c3ccc(Cl)cc3	CHEMBL3694333	pIC50=6.13
OCc1ccc(cc1)[C@@H]2C[C@H](CSc3oc(c4ccccc4)c(n3)c5ccccc5)O[C@@H](O2)c6ccc(NC(=O)CCCCCCC(=O)O)cc6	CHEMBL1213539	pKi=6.13
ONC(=O)CCCCCCC(=O)Nc1ccc(cc1)c2cnnn2CC(O)c3cccc(Br)c3	CHEMBL487943	pIC50=6.13
CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2	CHEMBL1835350	pIC50=6.14
CC(C)c1cc(c(O)cc1O)n2nnc(C(=O)NCCCCCCC(=O)NO)c2c3ccc(CN4CCOCC4)cc3	CHEMBL3235118	pIC50=6.14
ONC(=O)\C=C\c1ccc(cc1)C(c2c[nH]c3ccccc23)c4c[nH]c5ccccc45	CHEMBL564382	pIC50=6.14
ONC(=O)\C=C\c1ccc2c(c1)nc(CCc3ccccc3)n2CCCN4CCCC4=O	CHEMBL523646	pIC50=6.14
ONC(=O)c1ccc(CN2[C@H](Cc3ccc(O)cc3)C(=O)Nc4ccccc24)cc1	CHEMBL481538	pIC50=6.14
ONC(=O)c1ccc2CCC(Cc2c1)Nc3nccc(n3)c4cccnc4	CHEMBL3357482	pIC50=6.14
ONC(=O)c1ccc2CCC(Cc2c1)Nc3ncccn3	CHEMBL3357477	pIC50=6.14
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)Cc4ccc(cc4)c5cn(CCCCCCC(=O)NO)nn5)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC	CHEMBL3734969	pIC50=6.15
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@](O)(CN(C)Cc3ccc(cc3)c4cn(CCCCC(=O)NO)nn4)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]5O[C@H](C)C[C@@H]([C@H]5O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	CHEMBL3735366	pIC50=6.15
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](NCc6ccc(cc6)c7cn(CCCCCCC(=O)NO)nn7)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)C	CHEMBL2023529	pIC50=6.15
FC(F)(F)C(=O)CCCCCCc1onc(n1)c2ccccc2Cl	CHEMBL3585355	pIC50=6.15
ONC(=O)CCCCCCNC(=O)c1cc(on1)c2ccc(cc2)N=[N+]=[N-]	CHEMBL1914701	pIC50=6.15
Cl.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N3CC4(C[C@H]3C(=O)NCCCCCC(=O)NO)SCCS4	CHEMBL1835421	pIC50=6.16
Cn1cccc1C(=O)NCc2ccc(cc2)C(=O)NO	CHEMBL2431862	pIC50=6.16
ON(CCCCCC(C(=O)Nc1cnc2ccccc2c1)C(=O)Nc3cnc4ccccc4c3)C=O	CHEMBL140525	pIC50=6.16
ONC(=O)COc1ccc2C[C@H](N(Cc2c1)C(=O)CCc3ccccc3)C(=O)NCCc4ccccc4	CHEMBL1797977	pIC50=6.16
ONC(=O)\C=C\c1cccc2ccccc12	CHEMBL245548	pIC50=6.16
ONC(=O)c1ccc(CN2[C@H](Cc3cccs3)C(=O)Nc4ccccc24)cc1	CHEMBL518957	pIC50=6.16
ONC(=O)c1ccc(cc1)C(=O)Nc2ccccc2	CHEMBL2333342	pIC50=6.16
SCC(=O)CCCCCCC(=O)Nc1ccccc1	CHEMBL402451	pIC50=6.16
Cl.COc1ccc(NC(=O)[C@@H]2Cc3ccc(OCC(=O)NO)cc3CN2C(=O)[C@@H](N)CC(C)C)cc1	CHEMBL1797995	pIC50=6.17
ONC(=O)c1ccc2CCC(Cc2c1)Nc3ccc(Br)cc3	CHEMBL3694283	pIC50=6.17
COc1ccc(NC(=O)[C@H](Cc2ccc(OCC(=O)NO)cc2)NCCc3ccccc3)cc1	CHEMBL1808381	pIC50=6.18
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)Cc4ccc(cc4)c5cn(CCCCCC(=O)NO)nn5)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	CHEMBL3735805	pIC50=6.19
ON(CCCCCCCC(=O)Nc1cccc2ccccc12)C=O	CHEMBL137875	pIC50=6.19
ONC(=O)CCCCCC1OCCCCCOc2ccccc2NC1=O	CHEMBL1631910	pIC50=6.19
ONC(=O)CCCCCCNC(=O)c1cc(on1)c2ccc(NC(=O)c3cc(CN=[N+]=[N-])cc(c3)N=[N+]=[N-])cc2	CHEMBL1914702	pIC50=6.19
ONC(=O)c1ccc(CN2[C@H](CCc3ccccc3)C(=O)Nc4ccccc24)cc1	CHEMBL482358	pIC50=6.19
Cl.COc1ccc(NC(=O)[C@@H]2Cc3ccc(OCC(=O)NO)cc3CN2C(=O)[C@@H](N)Cc4ccc(O)cc4)cc1	CHEMBL1797992	pIC50=6.2
ONC(=O)\C=C\c1cccc(c1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2	CHEMBL1630109	pIC50=6.2
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)Cc3ccc(cc3)c4cn(CCCCCCCCC(=O)NO)nn4)[C@@](C)(C[C@@H](C)C5=NCCN6[C@H]([C@H]5C)[C@]1(C)OC6=O)OC	CHEMBL1214762	pIC50=6.21
ONC(=O)c1ccc2SCCC(=O)Nc2c1	CHEMBL3798613	pIC50=6.21
CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2	CHEMBL1835352	pIC50=6.22
CC(C)C[C@H]1CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCCC(=O)O)C(=O)N[C@@H](Cc2cccc3ccccc23)C(=O)N1	CHEMBL569306	pIC50=6.22
CC(C)Cc1nc2cc(\C=C\C(=O)NO)ccc2n1CCc3ccccc3	CHEMBL3648266	pIC50=6.22
CC(C)c1cc(C(C)C)c(cc1CS(=O)(=O)Nc2ccc(\C=C/C(=O)NO)cc2)C(C)C	CHEMBL2235663	pIC50=6.22
CC(CCCCCC(=O)c1ccc2ccccc2c1)C(=O)NOCCCCC(=O)NO	CHEMBL2235267	pIC50=6.22
CC1=Nc2ccc(\C=C\C(=O)NO)cc2C(=O)N1c3ccccc3	CHEMBL2425954	pIC50=6.22
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)Cc4cccc(c4)c5cn(CCCCCC(=O)NO)nn5)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	CHEMBL3735649	pIC50=6.22
CN(c1ccc(\C=C\C(=O)NO)cc1)S(=O)(=O)c2ccccc2	CHEMBL97387	pIC50=6.22
COC(=O)c1ccc(CO\N=C\c2ccc(\C=C\C(=O)NO)cc2)cc1	CHEMBL471043	pIC50=6.22
Cn1c(\C=C\C(=O)NO)ccc1C(=O)Cc2ccccc2	CHEMBL1213458	pKi=6.22
ONC(=O)CCCCCC(c1c[nH]c2ccc(cc12)[N+](=O)[O-])c3c[nH]c4ccc(cc34)[N+](=O)[O-]	CHEMBL561604	pIC50=6.22
ONC(=O)CCCCCNC(=O)NC(=O)c1ccccc1	CHEMBL1083439	pIC50=6.22
ONC(=O)CCCCSC1=NC(=CC(=O)N1)c2ccc(cc2)c3ccccc3	CHEMBL3426803	pIC50=6.22
ONC(=O)Cc1ccc(CCCCc2ccccc2C(F)(F)F)cc1	CHEMBL3698523	pIC50=6.22
ONC(=O)\C=C\c1ccc(NC(=O)C(Cc2ccccc2)c3ccccc3)cn1	CHEMBL3426804	pIC50=6.22
ONC(=O)\C=C\c1ccc(NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)cc1	CHEMBL97384	pIC50=6.22
ONC(=O)\C=C\c1ccc2C(=O)N(CCc3ccccc3)C=Nc2c1	CHEMBL2425960	pIC50=6.22
CC1(CCN(C1=O)c2ccccc2)Nc3ccc(cc3)C(=O)NO	CHEMBL3415626	pIC50=6.23
CCC1=Nc2cc(\C=C\C(=O)NO)ccc2C(=O)N1CCc3ccc(OC)cc3	CHEMBL2425965	pIC50=6.23
C[C@]1(CCN(C1=O)c2ccc(Cl)cc2)Nc3ccc(cc3)C(=O)NO	CHEMBL3415630	pIC50=6.23
ONC(=O)\C=C\c1ccc(cc1)c2ccc(O)cc2	CHEMBL556332	pIC50=6.23
ONC(=O)\C=C\c1ccn(c1)S(=O)(=O)c2ccc3ncnc(Nc4cccc(c4)C#C)c3c2	CHEMBL3218002	pIC50=6.23
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)Cc3ccc(cc3)c4cn(CCCCCCCC(=O)NO)nn4)[C@@](C)(C[C@@H](C)C5=NCCN6[C@H]([C@H]5C)[C@]1(C)OC6=O)OC	CHEMBL1214761	pIC50=6.24
COc1ccc(cc1)c2nc(NC(=O)NCCCC(=O)NO)cc3c4ccccc4n(C)c23	CHEMBL3747076	pIC50=6.24
Cc1[nH]c2ccccc2c1\C=C\c3ccccc3c4ccc(\C=C\C(=O)NO)cc4	CHEMBL3793310	pIC50=6.24
NC1=Nc2ncc(CNc3ccc(cc3)C(=O)NO)nc2C(=O)N1	CHEMBL3415959	pIC50=6.24
ONC(=O)COc1ccc2C[C@H](N(Cc2c1)C(=O)OCc3ccccc3)C(=O)NCCc4ccccc4	CHEMBL604178	pIC50=6.24
ONC(=O)c1ccc2ccccc2n1	CHEMBL3798481	pIC50=6.24
ONC(=O)c1cccc(NC(=O)c2ccccc2)c1	CHEMBL3797314	pIC50=6.24
COc1ccc(cc1)c2cc([nH]c2C(=O)NCc3ccc(cc3)C(=O)Nc4ccccc4S)c5ccccc5	CHEMBL3670667	pIC50=6.25
CC(C)CCc1c(OCCCCCCC(=O)NO)ccc2C=CC(=O)Oc12	CHEMBL1822046	pIC50=6.26
CN1[C@H](CCC1=O)C(=O)N[C@@H](CCCCCS)C(=O)Nc2ccccc2	CHEMBL3356921	pIC50=6.26
COc1ccc(cc1NC(=O)c2ccc(Cl)cc2Cl)C(=O)NO	CHEMBL3797442	pIC50=6.26
ONC(=O)CCCCCCC(=O)Nc1cccc(c1)c2cn(Cc3ccc(F)cc3)nn2	CHEMBL483892	pIC50=6.26
CC(C)(C)OC(=O)n1cnc(C[C@@H]2NC(=O)[C@]3(C)CSC(=N3)c4csc(CNC(=O)C[C@H](OC2=O)\C=C\CCS)n4)c1	CHEMBL3317818	pIC50=6.27
OCCCn1c(nc2cc(\C=C\C(=O)NO)ccc12)c3ccsc3	CHEMBL474546	pIC50=6.27
CC(C)C[C@H]1CC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCCCC(=O)O)C(=O)N[C@@H](Cc3cccc4ccccc34)C(=O)N1	CHEMBL569211	pIC50=6.28
COc1cncc(c1)c2ccnc(NC3CCc4ccc(cc4C3)C(=O)NO)n2	CHEMBL3694300	pIC50=6.28
Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1	CHEMBL3098603	pIC50=6.28
Cc1cncc(c1)c2ccnc(NC3CCc4ccc(cc4C3)C(=O)NO)n2	CHEMBL3694299	pIC50=6.28
ONC(=O)CCCCCCC(=O)Nc1cccc(c1)c2cnnn2Cc3ccc(F)cc3	CHEMBL487106	pIC50=6.28
ONC(=O)Cc1ccc(CCCCc2cc(F)c(F)cc2F)cc1	CHEMBL3698520	pIC50=6.28
ONC(=O)c1ccc(CN2CC(=O)Nc3ccccc23)cc1	CHEMBL481802	pIC50=6.28
ONC(=O)c1ccc(CN2[C@H](Cc3ccccc3)C(=O)Nc4ccccc24)cc1	CHEMBL479842	pIC50=6.28
COc1ccc(NC(=O)[C@@H]2Cc3ccc(OCC(=O)NO)cc3CN2C(=O)CNC(=O)OC(C)(C)C)cc1	CHEMBL1797979	pIC50=6.29
COc1ccc(cc1NC(=O)Cc2ccccc2)C(=O)NO	CHEMBL3799265	pIC50=6.29
ONC(=O)CCCCCCC(=O)Nc1ccc(cc1)c2cnnn2c3ccccc3	CHEMBL487742	pIC50=6.29
ONC(=O)c1ccc2CCC(Cc2c1)Nc3nccc(n3)c4cccnc4Cl	CHEMBL3694303	pIC50=6.29
CCN1CCC[C@H](C1)n2c(C)nc(C)c2c3cccc(\C=C\C(=O)NO)c3	CHEMBL1095085	pIC50=6.3
COc1ccc(NC(=O)[C@@H]2Cc3ccc(OCC(=O)NO)cc3CN2C(=O)CCc4ccccc4)cc1	CHEMBL1797976	pIC50=6.3
ONC(=O)CCCCCCC(=O)c1ccccc1	CHEMBL95959	pIC50=6.3
S=C1NC=C(N1)c2ccncc2	CHEMBL406800	pIC50=6.3
COc1ccc(Cn2ccc3ccc(cc23)C(=O)NO)cc1	CHEMBL2170177	pIC50=6.31
